sequence,v115@1gB8FeE8DeH8BeG8CeH8AeB8JeT1IvhFxWB/dB0cBO?jBCjBlsB,v115@1gB8FeE8DeH8BeG8CeH8AeB8JeT1IvhFmWBqcBxYBX?eB0iBlsB,v115@1gB8FeE8DeH8BeG8CeH8AeB8JeT1IvhFmWBqcBxYB0?dBXjBlsB,v115@1gB8FeE8DeH8BeG8CeH8AeB8JeT1IvhFmWBRiBcjBq?nBfnBlsB
LJTSZOI,X,O,O,X
LJTSOIZ,X,O,X,X
LJTSOZI,X,O,O,X
LJTZISO,X,X,O,X
LJTZIOS,X,X,O,X
LJTZSIO,X,O,O,X
LJTZSOI,X,O,O,X
LJTZOIS,X,X,O,X
LJTZOSI,X,O,O,X
LJTOISZ,X,O,X,X
LJTOIZS,X,X,O,X
LJTOSIZ,X,O,X,X
LJTOSZI,X,O,O,X
LJTOZIS,X,X,O,X
LJTOZSI,X,O,O,X
LJITSZO,X,O,X,X
LJITSOZ,X,O,X,X
LJITZSO,X,X,O,O
LJITZOS,X,X,O,O
LJITOSZ,X,O,X,X
LJITOZS,X,X,O,O
LJISTZO,X,X,X,X
LJISTOZ,X,O,X,X
LJISZTO,X,O,X,O
LJISZOT,X,O,X,O
LJISOTZ,X,O,X,X
LJISOZT,X,O,X,O
LJIZTSO,X,X,X,O
LJIZTOS,X,X,O,O
LJIZSTO,X,X,O,O
LJIZSOT,O,X,O,O
LJIZOTS,X,X,O,O
LJIZOST,O,X,O,O
LJIOTSZ,X,O,X,X
LJIOTZS,X,X,O,O
LJIOSTZ,X,O,X,X
LJIOSZT,X,O,X,O
LJIOZTS,X,X,O,O
LJIOZST,O,X,O,O
LJSTIZO,X,O,X,X
LJSTIOZ,X,O,X,X
LJSTZIO,X,O,O,X
LJSTZOI,X,O,O,X
LJSTOIZ,X,O,X,X
LJSTOZI,X,O,O,X
LJSITZO,X,X,X,X
LJSITOZ,X,O,X,X
LJSIZTO,X,O,X,X
LJSIZOT,X,O,X,X
LJSIOTZ,X,O,X,X
LJSIOZT,X,O,X,X
LJSZTIO,X,O,O,X
LJSZTOI,X,O,O,X
LJSZITO,X,O,O,X
LJSZIOT,X,O,O,X
LJSZOTI,X,O,O,X
LJSZOIT,X,O,O,X
LJSOTIZ,X,O,X,X
LJSOTZI,X,O,O,X
LJSOITZ,X,O,X,X
LJSOIZT,X,O,X,X
LJSOZTI,X,O,O,X
LJSOZIT,X,O,O,X
LJZTISO,X,X,O,X
LJZTIOS,X,X,O,X
LJZTSIO,X,O,O,X
LJZTSOI,X,O,O,X
LJZTOIS,X,X,O,X
LJZTOSI,X,O,O,X
LJZITSO,X,X,X,X
LJZITOS,X,X,O,X
LJZISTO,X,X,O,X
LJZISOT,O,X,O,X
LJZIOTS,X,X,O,X
LJZIOST,O,X,O,X
LJZSTIO,X,O,O,X
LJZSTOI,X,O,O,X
LJZSITO,X,O,O,X
LJZSIOT,O,O,O,X
LJZSOTI,O,O,O,X
LJZSOIT,O,O,O,X
LJZOTIS,X,X,O,X
LJZOTSI,X,O,O,X
LJZOITS,X,X,O,X
LJZOIST,O,X,O,X
LJZOSTI,O,O,O,X
LJZOSIT,O,O,O,X
LJOTISZ,X,O,X,X
LJOTIZS,X,X,O,X
LJOTSIZ,X,O,X,X
LJOTSZI,X,O,O,X
LJOTZIS,X,X,O,X
LJOTZSI,X,O,O,X
LJOITSZ,X,O,X,X
LJOITZS,X,X,O,O
LJOISTZ,X,O,X,X
LJOISZT,X,O,X,O
LJOIZTS,X,X,O,O
LJOIZST,O,X,O,O
LJOSTIZ,X,O,X,X
LJOSTZI,X,O,O,X
LJOSITZ,X,O,X,X
LJOSIZT,X,O,X,X
LJOSZTI,X,O,O,X
LJOSZIT,X,O,O,X
LJOZTIS,X,X,O,X
LJOZTSI,X,O,O,X
LJOZITS,X,X,O,X
LJOZIST,O,X,O,X
LJOZSTI,O,O,O,X
LJOZSIT,O,O,O,X
LSTIJZO,X,O,X,X
LSTIJOZ,X,O,X,X
LSTIZJO,X,O,X,X
LSTIZOJ,X,O,X,X
LSTIOJZ,X,O,X,X
LSTIOZJ,X,O,X,X
LSTJIZO,X,O,X,X
LSTJIOZ,X,O,X,X
LSTJZIO,X,O,O,X
LSTJZOI,X,O,O,X
LSTJOIZ,X,O,X,X
LSTJOZI,X,O,O,X
LSTZIJO,X,O,O,X
LSTZIOJ,X,O,O,X
LSTZJIO,X,O,O,X
LSTZJOI,X,O,O,X
LSTZOIJ,X,O,O,X
LSTZOJI,X,O,O,X
LSTOIJZ,X,O,X,X
LSTOIZJ,X,O,X,X
LSTOJIZ,X,O,X,X
LSTOJZI,X,O,O,X
LSTOZIJ,X,O,O,X
LSTOZJI,X,O,O,X
LSITJZO,X,X,X,X
LSITJOZ,X,O,X,X
LSITZJO,X,X,X,X
LSITZOJ,X,X,X,X
LSITOJZ,X,O,X,X
LSITOZJ,X,X,X,X
LSIJTZO,X,X,X,X
LSIJTOZ,X,O,X,X
LSIJZTO,X,O,X,X
LSIJZOT,X,O,X,X
LSIJOTZ,X,O,X,X
LSIJOZT,X,O,X,X
LSIZTJO,X,O,X,X
LSIZTOJ,X,O,X,X
LSIZJTO,X,O,X,X
LSIZJOT,X,O,X,X
LSIZOTJ,X,O,X,X
LSIZOJT,X,O,X,X
LSIOTJZ,X,O,X,X
LSIOTZJ,X,X,X,X
LSIOJTZ,X,O,X,X
LSIOJZT,X,O,X,X
LSIOZTJ,X,O,X,X
LSIOZJT,X,O,X,X
LSJTIZO,X,O,X,X
LSJTIOZ,X,O,X,X
LSJTZIO,X,O,O,X
LSJTZOI,X,O,O,X
LSJTOIZ,X,O,X,X
LSJTOZI,X,O,O,X
LSJITZO,X,X,X,X
LSJITOZ,X,O,X,X
LSJIZTO,X,O,X,X
LSJIZOT,X,O,X,X
LSJIOTZ,X,O,X,X
LSJIOZT,X,O,X,X
LSJZTIO,X,O,O,X
LSJZTOI,X,O,O,X
LSJZITO,X,O,O,X
LSJZIOT,X,O,O,X
LSJZOTI,X,O,O,X
LSJZOIT,X,O,O,X
LSJOTIZ,X,O,X,X
LSJOTZI,X,O,O,X
LSJOITZ,X,O,X,X
LSJOIZT,X,O,X,X
LSJOZTI,X,O,O,X
LSJOZIT,X,O,O,X
LSZTIJO,X,O,O,X
LSZTIOJ,X,O,O,X
LSZTJIO,X,O,O,X
LSZTJOI,X,O,O,X
LSZTOIJ,X,O,O,X
LSZTOJI,X,O,O,X
LSZITJO,X,O,O,X
LSZITOJ,X,O,O,X
LSZIJTO,X,O,O,X
LSZIJOT,X,O,O,X
LSZIOTJ,X,O,O,X
LSZIOJT,X,O,O,X
LSZJTIO,X,O,O,X
LSZJTOI,X,O,O,X
LSZJITO,X,O,O,X
LSZJIOT,X,O,O,X
LSZJOTI,X,O,O,X
LSZJOIT,X,O,O,X
LSZOTIJ,X,O,O,X
LSZOTJI,X,O,O,X
LSZOITJ,X,O,O,X
LSZOIJT,X,O,O,X
LSZOJTI,X,O,O,X
LSZOJIT,X,O,O,X
LSOTIJZ,X,O,X,X
LSOTIZJ,X,O,X,X
LSOTJIZ,X,O,X,X
LSOTJZI,X,O,O,X
LSOTZIJ,X,O,O,X
LSOTZJI,X,O,O,X
LSOITJZ,X,O,X,X
LSOITZJ,X,X,X,X
LSOIJTZ,X,O,X,X
LSOIJZT,X,O,X,X
LSOIZTJ,X,O,X,X
LSOIZJT,X,O,X,X
LSOJTIZ,X,O,X,X
LSOJTZI,X,O,O,X
LSOJITZ,X,O,X,X
LSOJIZT,X,O,X,X
LSOJZTI,X,O,O,X
LSOJZIT,X,O,O,X
LSOZTIJ,X,O,O,X
LSOZTJI,X,O,O,X
LSOZITJ,X,O,O,X
LSOZIJT,X,O,O,X
LSOZJTI,X,O,O,X
LSOZJIT,X,O,O,X
LZTIJSO,O,X,O,X
LZTIJOS,O,X,O,X
LZTISJO,O,X,O,X
LZTISOJ,O,X,O,X
LZTIOJS,O,X,O,X
LZTIOSJ,O,X,O,X
LZTJISO,O,X,O,X
LZTJIOS,O,X,O,X
LZTJSIO,O,O,O,X
LZTJSOI,O,O,O,X
LZTJOIS,O,X,O,X
LZTJOSI,O,O,O,X
LZTSIJO,O,O,O,X
LZTSIOJ,O,O,O,X
LZTSJIO,O,O,O,X
LZTSJOI,O,O,O,X
LZTSOIJ,O,O,O,X
LZTSOJI,O,O,O,X
LZTOIJS,O,X,O,X
LZTOISJ,O,X,O,X
LZTOJIS,O,X,O,X
LZTOJSI,O,O,O,X
LZTOSIJ,O,O,O,X
LZTOSJI,O,O,O,X
LZITJSO,O,X,X,X
LZITJOS,O,X,O,X
LZITSJO,O,X,X,X
LZITSOJ,O,X,X,X
LZITOJS,O,X,O,X
LZITOSJ,O,X,X,X
LZIJTSO,X,X,X,X
LZIJTOS,X,X,O,X
LZIJSTO,X,X,O,X
LZIJSOT,O,X,O,X
LZIJOTS,X,X,O,X
LZIJOST,O,X,O,X
LZISTJO,X,X,O,X
LZISTOJ,X,X,O,X
LZISJTO,X,X,O,X
LZISJOT,O,X,O,X
LZISOTJ,X,X,O,X
LZISOJT,O,X,O,X
LZIOTJS,O,X,O,X
LZIOTSJ,O,X,X,X
LZIOJTS,X,X,O,X
LZIOJST,O,X,O,X
LZIOSTJ,X,X,O,X
LZIOSJT,O,X,O,X
LZJTISO,X,X,O,X
LZJTIOS,X,X,O,X
LZJTSIO,X,O,O,X
LZJTSOI,X,O,O,X
LZJTOIS,X,X,O,X
LZJTOSI,X,O,O,X
LZJITSO,X,X,X,X
LZJITOS,X,X,O,X
LZJISTO,X,X,O,X
LZJISOT,O,X,O,X
LZJIOTS,X,X,O,X
LZJIOST,O,X,O,X
LZJSTIO,X,O,O,X
LZJSTOI,X,O,O,X
LZJSITO,X,O,O,X
LZJSIOT,O,O,O,X
LZJSOTI,O,O,O,X
LZJSOIT,O,O,O,X
LZJOTIS,X,X,O,X
LZJOTSI,X,O,O,X
LZJOITS,X,X,O,X
LZJOIST,O,X,O,X
LZJOSTI,O,O,O,X
LZJOSIT,O,O,O,X
LZSTIJO,X,O,O,X
LZSTIOJ,X,O,O,X
LZSTJIO,X,O,O,X
LZSTJOI,X,O,O,X
LZSTOIJ,X,O,O,X
LZSTOJI,X,O,O,X
LZSITJO,X,O,O,X
LZSITOJ,X,O,O,X
LZSIJTO,X,O,O,X
LZSIJOT,O,O,O,X
LZSIOTJ,X,O,O,X
LZSIOJT,O,O,O,X
LZSJTIO,X,O,O,X
LZSJTOI,X,O,O,X
LZSJITO,X,O,O,X
LZSJIOT,O,O,O,X
LZSJOTI,O,O,O,X
LZSJOIT,O,O,O,X
LZSOTIJ,X,O,O,X
LZSOTJI,X,O,O,X
LZSOITJ,X,O,O,X
LZSOIJT,O,O,O,X
LZSOJTI,O,O,O,X
LZSOJIT,O,O,O,X
LZOTIJS,O,X,O,X
LZOTISJ,O,X,O,X
LZOTJIS,O,X,O,X
LZOTJSI,O,O,O,X
LZOTSIJ,O,O,O,X
LZOTSJI,O,O,O,X
LZOITJS,O,X,O,X
LZOITSJ,O,X,X,X
LZOIJTS,X,X,O,X
LZOIJST,O,X,O,X
LZOISTJ,X,X,O,X
LZOISJT,O,X,O,X
LZOJTIS,X,X,O,X
LZOJTSI,X,O,O,X
LZOJITS,X,X,O,X
LZOJIST,O,X,O,X
LZOJSTI,O,O,O,X
LZOJSIT,O,O,O,X
LZOSTIJ,X,O,O,X
LZOSTJI,X,O,O,X
LZOSITJ,X,O,O,X
LZOSIJT,O,O,O,X
LZOSJTI,O,O,O,X
LZOSJIT,O,O,O,X
LOTIJSZ,X,O,X,X
LOTIJZS,O,X,O,X
LOTISJZ,X,O,X,X
LOTISZJ,X,O,X,X
LOTIZJS,O,X,O,X
LOTIZSJ,O,X,O,X
LOTJISZ,X,O,X,X
LOTJIZS,O,X,O,X
LOTJSIZ,X,O,X,X
LOTJSZI,X,O,O,X
LOTJZIS,O,X,O,X
LOTJZSI,O,O,O,X
LOTSIJZ,X,O,X,X
LOTSIZJ,X,O,X,X
LOTSJIZ,X,O,X,X
LOTSJZI,X,O,O,X
LOTSZIJ,X,O,O,X
LOTSZJI,X,O,O,X
LOTZIJS,O,X,O,X
LOTZISJ,O,X,O,X
LOTZJIS,O,X,O,X
LOTZJSI,O,O,O,X
LOTZSIJ,O,O,O,X
LOTZSJI,O,O,O,X
LOITJSZ,X,O,X,X
LOITJZS,O,X,O,O
LOITSJZ,X,O,X,X
LOITSZJ,X,O,X,X
LOITZJS,O,X,O,O
LOITZSJ,O,X,O,O
LOIJTSZ,X,O,X,X
LOIJTZS,X,X,O,O
LOIJSTZ,X,O,X,X
LOIJSZT,X,O,X,O
LOIJZTS,X,X,O,O
LOIJZST,O,X,O,O
LOISTJZ,X,O,X,X
LOISTZJ,X,X,X,X
LOISJTZ,X,O,X,X
LOISJZT,X,O,X,O
LOISZTJ,X,O,X,O
LOISZJT,X,O,X,O
LOIZTJS,O,X,O,O
LOIZTSJ,O,X,X,O
LOIZJTS,X,X,O,O
LOIZJST,O,X,O,O
LOIZSTJ,X,X,O,O
LOIZSJT,O,X,O,O
LOJTISZ,X,O,X,X
LOJTIZS,X,X,O,X
LOJTSIZ,X,O,X,X
LOJTSZI,X,O,O,X
LOJTZIS,X,X,O,X
LOJTZSI,X,O,O,X
LOJITSZ,X,O,X,X
LOJITZS,X,X,O,O
LOJISTZ,X,O,X,X
LOJISZT,X,O,X,O
LOJIZTS,X,X,O,O
LOJIZST,O,X,O,O
LOJSTIZ,X,O,X,X
LOJSTZI,X,O,O,X
LOJSITZ,X,O,X,X
LOJSIZT,X,O,X,X
LOJSZTI,X,O,O,X
LOJSZIT,X,O,O,X
LOJZTIS,X,X,O,X
LOJZTSI,X,O,O,X
LOJZITS,X,X,O,X
LOJZIST,O,X,O,X
LOJZSTI,O,O,O,X
LOJZSIT,O,O,O,X
LOSTIJZ,X,O,X,X
LOSTIZJ,X,O,X,X
LOSTJIZ,X,O,X,X
LOSTJZI,X,O,O,X
LOSTZIJ,X,O,O,X
LOSTZJI,X,O,O,X
LOSITJZ,X,O,X,X
LOSITZJ,X,X,X,X
LOSIJTZ,X,O,X,X
LOSIJZT,X,O,X,X
LOSIZTJ,X,O,X,X
LOSIZJT,X,O,X,X
LOSJTIZ,X,O,X,X
LOSJTZI,X,O,O,X
LOSJITZ,X,O,X,X
LOSJIZT,X,O,X,X
LOSJZTI,X,O,O,X
LOSJZIT,X,O,O,X
LOSZTIJ,X,O,O,X
LOSZTJI,X,O,O,X
LOSZITJ,X,O,O,X
LOSZIJT,X,O,O,X
LOSZJTI,X,O,O,X
LOSZJIT,X,O,O,X
LOZTIJS,O,X,O,X
LOZTISJ,O,X,O,X
LOZTJIS,O,X,O,X
LOZTJSI,O,O,O,X
LOZTSIJ,O,O,O,X
LOZTSJI,O,O,O,X
LOZITJS,O,X,O,X
LOZITSJ,O,X,X,X
LOZIJTS,X,X,O,X
LOZIJST,O,X,O,X
LOZISTJ,X,X,O,X
LOZISJT,O,X,O,X
LOZJTIS,X,X,O,X
LOZJTSI,X,O,O,X
LOZJITS,X,X,O,X
LOZJIST,O,X,O,X
LOZJSTI,O,O,O,X
LOZJSIT,O,O,O,X
LOZSTIJ,X,O,O,X
LOZSTJI,X,O,O,X
LOZSITJ,X,O,O,X
LOZSIJT,O,O,O,X
LOZSJTI,O,O,O,X
LOZSJIT,O,O,O,X
JTILSZO,X,O,X,X
JTILSOZ,X,O,X,X
JTILZSO,O,X,O,O
JTILZOS,O,X,O,O
JTILOSZ,X,O,X,X
JTILOZS,O,X,O,O
JTISLZO,X,O,X,X
JTISLOZ,X,O,X,X
JTISZLO,O,O,X,X
JTISZOL,O,O,X,X
JTISOLZ,X,O,X,X
JTISOZL,O,O,X,X
JTIZLSO,O,X,X,O
JTIZLOS,O,X,X,O
JTIZSLO,O,X,X,X
JTIZSOL,O,X,X,X
JTIZOLS,O,X,X,O
JTIZOSL,O,X,X,X
JTIOLSZ,X,O,X,X
JTIOLZS,O,X,O,O
JTIOSLZ,X,O,X,X
JTIOSZL,O,O,X,X
JTIOZLS,O,X,X,O
JTIOZSL,O,X,X,X
JTLISZO,X,O,X,X
JTLISOZ,X,O,X,X
JTLIZSO,O,X,O,X
JTLIZOS,O,X,O,X
JTLIOSZ,X,O,X,X
JTLIOZS,O,X,O,X
JTLSIZO,X,O,X,X
JTLSIOZ,X,O,X,X
JTLSZIO,X,O,O,X
JTLSZOI,X,O,O,X
JTLSOIZ,X,O,X,X
JTLSOZI,X,O,O,X
JTLZISO,O,X,O,X
JTLZIOS,O,X,O,X
JTLZSIO,O,O,O,X
JTLZSOI,O,O,O,X
JTLZOIS,O,X,O,X
JTLZOSI,O,O,O,X
JTLOISZ,X,O,X,X
JTLOIZS,O,X,O,X
JTLOSIZ,X,O,X,X
JTLOSZI,X,O,O,X
JTLOZIS,O,X,O,X
JTLOZSI,O,O,O,X
JTSILZO,X,O,X,X
JTSILOZ,X,O,X,X
JTSIZLO,O,O,X,X
JTSIZOL,O,O,X,X
JTSIOLZ,X,O,X,X
JTSIOZL,O,O,X,X
JTSLIZO,X,O,X,X
JTSLIOZ,X,O,X,X
JTSLZIO,X,O,O,X
JTSLZOI,X,O,O,X
JTSLOIZ,X,O,X,X
JTSLOZI,X,O,O,X
JTSZILO,O,O,X,X
JTSZIOL,O,O,X,X
JTSZLIO,O,O,X,X
JTSZLOI,O,O,X,X
JTSZOIL,O,O,X,X
JTSZOLI,O,O,X,X
JTSOILZ,X,O,X,X
JTSOIZL,O,O,X,X
JTSOLIZ,X,O,X,X
JTSOLZI,X,O,O,X
JTSOZIL,O,O,X,X
JTSOZLI,O,O,X,X
JTZILSO,O,X,X,X
JTZILOS,O,X,X,X
JTZISLO,O,X,X,X
JTZISOL,O,X,X,X
JTZIOLS,O,X,X,X
JTZIOSL,O,X,X,X
JTZLISO,O,X,O,X
JTZLIOS,O,X,O,X
JTZLSIO,O,O,O,X
JTZLSOI,O,O,O,X
JTZLOIS,O,X,O,X
JTZLOSI,O,O,O,X
JTZSILO,O,O,X,X
JTZSIOL,O,O,X,X
JTZSLIO,O,O,X,X
JTZSLOI,O,O,X,X
JTZSOIL,O,O,X,X
JTZSOLI,O,O,X,X
JTZOILS,O,X,X,X
JTZOISL,O,X,X,X
JTZOLIS,O,X,O,X
JTZOLSI,O,O,O,X
JTZOSIL,O,O,X,X
JTZOSLI,O,O,X,X
JTOILSZ,X,O,X,X
JTOILZS,O,X,O,O
JTOISLZ,X,O,X,X
JTOISZL,O,O,X,X
JTOIZLS,O,X,X,O
JTOIZSL,O,X,X,X
JTOLISZ,X,O,X,X
JTOLIZS,O,X,O,X
JTOLSIZ,X,O,X,X
JTOLSZI,X,O,O,X
JTOLZIS,O,X,O,X
JTOLZSI,O,O,O,X
JTOSILZ,X,O,X,X
JTOSIZL,O,O,X,X
JTOSLIZ,X,O,X,X
JTOSLZI,X,O,O,X
JTOSZIL,O,O,X,X
JTOSZLI,O,O,X,X
JTOZILS,O,X,X,X
JTOZISL,O,X,X,X
JTOZLIS,O,X,O,X
JTOZLSI,O,O,O,X
JTOZSIL,O,O,X,X
JTOZSLI,O,O,X,X
JITLSZO,X,O,X,X
JITLSOZ,X,O,X,X
JITLZSO,O,X,O,O
JITLZOS,O,X,O,O
JITLOSZ,X,O,X,X
JITLOZS,O,X,O,O
JITSLZO,X,O,X,X
JITSLOZ,X,O,X,X
JITSZLO,O,O,X,X
JITSZOL,O,O,X,X
JITSOLZ,X,O,X,X
JITSOZL,O,O,X,X
JITZLSO,O,X,X,O
JITZLOS,O,X,X,O
JITZSLO,O,X,X,X
JITZSOL,O,X,X,X
JITZOLS,O,X,X,O
JITZOSL,O,X,X,X
JITOLSZ,X,O,X,X
JITOLZS,O,X,O,O
JITOSLZ,X,O,X,X
JITOSZL,O,O,X,X
JITOZLS,O,X,X,O
JITOZSL,O,X,X,X
JILTSZO,X,O,X,X
JILTSOZ,X,O,X,X
JILTZSO,X,X,O,O
JILTZOS,X,X,O,O
JILTOSZ,X,O,X,X
JILTOZS,X,X,O,O
JILSTZO,X,X,X,X
JILSTOZ,X,O,X,X
JILSZTO,X,O,X,O
JILSZOT,X,O,X,O
JILSOTZ,X,O,X,X
JILSOZT,X,O,X,O
JILZTSO,X,X,X,O
JILZTOS,X,X,O,O
JILZSTO,X,X,O,O
JILZSOT,O,X,O,O
JILZOTS,X,X,O,O
JILZOST,O,X,O,O
JILOTSZ,X,O,X,X
JILOTZS,X,X,O,O
JILOSTZ,X,O,X,X
JILOSZT,X,O,X,O
JILOZTS,X,X,O,O
JILOZST,O,X,O,O
JISTLZO,X,X,X,X
JISTLOZ,X,O,X,X
JISTZLO,X,X,X,X
JISTZOL,X,X,X,X
JISTOLZ,X,O,X,X
JISTOZL,X,X,X,X
JISLTZO,X,X,X,X
JISLTOZ,X,O,X,X
JISLZTO,X,O,X,O
JISLZOT,X,O,X,O
JISLOTZ,X,O,X,X
JISLOZT,X,O,X,O
JISZTLO,X,X,X,X
JISZTOL,O,X,X,X
JISZLTO,X,X,X,O
JISZLOT,O,O,X,O
JISZOTL,O,X,X,X
JISZOLT,O,O,X,O
JISOTLZ,X,O,X,X
JISOTZL,X,X,X,X
JISOLTZ,X,O,X,X
JISOLZT,X,O,X,O
JISOZTL,O,X,X,X
JISOZLT,O,O,X,O
JIZTLSO,O,X,X,O
JIZTLOS,O,X,X,O
JIZTSLO,O,X,X,X
JIZTSOL,O,X,X,X
JIZTOLS,O,X,X,O
JIZTOSL,O,X,X,X
JIZLTSO,X,X,X,O
JIZLTOS,X,X,X,O
JIZLSTO,X,X,X,O
JIZLSOT,O,X,X,O
JIZLOTS,X,X,X,O
JIZLOST,O,X,X,O
JIZSTLO,X,X,X,X
JIZSTOL,O,X,X,X
JIZSLTO,X,X,X,O
JIZSLOT,O,X,X,O
JIZSOTL,O,X,X,X
JIZSOLT,O,X,X,O
JIZOTLS,O,X,X,O
JIZOTSL,O,X,X,X
JIZOLTS,X,X,X,O
JIZOLST,O,X,X,O
JIZOSTL,O,X,X,X
JIZOSLT,O,X,X,O
JIOTLSZ,X,O,X,X
JIOTLZS,O,X,O,O
JIOTSLZ,X,O,X,X
JIOTSZL,O,O,X,X
JIOTZLS,O,X,X,O
JIOTZSL,O,X,X,X
JIOLTSZ,X,O,X,X
JIOLTZS,X,X,O,O
JIOLSTZ,X,O,X,X
JIOLSZT,X,O,X,O
JIOLZTS,X,X,O,O
JIOLZST,O,X,O,O
JIOSTLZ,X,O,X,X
JIOSTZL,X,X,X,X
JIOSLTZ,X,O,X,X
JIOSLZT,X,O,X,O
JIOSZTL,O,X,X,X
JIOSZLT,O,O,X,O
JIOZTLS,O,X,X,O
JIOZTSL,O,X,X,X
JIOZLTS,X,X,X,O
JIOZLST,O,X,X,O
JIOZSTL,O,X,X,X
JIOZSLT,O,X,X,O
JLTISZO,X,O,X,X
JLTISOZ,X,O,X,X
JLTIZSO,X,X,O,X
JLTIZOS,X,X,O,X
JLTIOSZ,X,O,X,X
JLTIOZS,X,X,O,X
JLTSIZO,X,O,X,X
JLTSIOZ,X,O,X,X
JLTSZIO,X,O,O,X
JLTSZOI,X,O,O,X
JLTSOIZ,X,O,X,X
JLTSOZI,X,O,O,X
JLTZISO,X,X,O,X
JLTZIOS,X,X,O,X
JLTZSIO,X,O,O,X
JLTZSOI,X,O,O,X
JLTZOIS,X,X,O,X
JLTZOSI,X,O,O,X
JLTOISZ,X,O,X,X
JLTOIZS,X,X,O,X
JLTOSIZ,X,O,X,X
JLTOSZI,X,O,O,X
JLTOZIS,X,X,O,X
JLTOZSI,X,O,O,X
JLITSZO,X,O,X,X
JLITSOZ,X,O,X,X
JLITZSO,X,X,O,O
JLITZOS,X,X,O,O
JLITOSZ,X,O,X,X
JLITOZS,X,X,O,O
JLISTZO,X,X,X,X
JLISTOZ,X,O,X,X
JLISZTO,X,O,X,O
JLISZOT,X,O,X,O
JLISOTZ,X,O,X,X
JLISOZT,X,O,X,O
JLIZTSO,X,X,X,O
JLIZTOS,X,X,O,O
JLIZSTO,X,X,O,O
JLIZSOT,O,X,O,O
JLIZOTS,X,X,O,O
JLIZOST,O,X,O,O
JLIOTSZ,X,O,X,X
JLIOTZS,X,X,O,O
JLIOSTZ,X,O,X,X
JLIOSZT,X,O,X,O
JLIOZTS,X,X,O,O
JLIOZST,O,X,O,O
JLSTIZO,X,O,X,X
JLSTIOZ,X,O,X,X
JLSTZIO,X,O,O,X
JLSTZOI,X,O,O,X
JLSTOIZ,X,O,X,X
JLSTOZI,X,O,O,X
JLSITZO,X,X,X,X
JLSITOZ,X,O,X,X
JLSIZTO,X,O,X,X
JLSIZOT,X,O,X,X
JLSIOTZ,X,O,X,X
JLSIOZT,X,O,X,X
JLSZTIO,X,O,O,X
JLSZTOI,X,O,O,X
JLSZITO,X,O,O,X
JLSZIOT,X,O,O,X
JLSZOTI,X,O,O,X
JLSZOIT,X,O,O,X
JLSOTIZ,X,O,X,X
JLSOTZI,X,O,O,X
JLSOITZ,X,O,X,X
JLSOIZT,X,O,X,X
JLSOZTI,X,O,O,X
JLSOZIT,X,O,O,X
JLZTISO,X,X,O,X
JLZTIOS,X,X,O,X
JLZTSIO,X,O,O,X
JLZTSOI,X,O,O,X
JLZTOIS,X,X,O,X
JLZTOSI,X,O,O,X
JLZITSO,X,X,X,X
JLZITOS,X,X,O,X
JLZISTO,X,X,O,X
JLZISOT,O,X,O,X
JLZIOTS,X,X,O,X
JLZIOST,O,X,O,X
JLZSTIO,X,O,O,X
JLZSTOI,X,O,O,X
JLZSITO,X,O,O,X
JLZSIOT,O,O,O,X
JLZSOTI,O,O,O,X
JLZSOIT,O,O,O,X
JLZOTIS,X,X,O,X
JLZOTSI,X,O,O,X
JLZOITS,X,X,O,X
JLZOIST,O,X,O,X
JLZOSTI,O,O,O,X
JLZOSIT,O,O,O,X
JLOTISZ,X,O,X,X
JLOTIZS,X,X,O,X
JLOTSIZ,X,O,X,X
JLOTSZI,X,O,O,X
JLOTZIS,X,X,O,X
JLOTZSI,X,O,O,X
JLOITSZ,X,O,X,X
JLOITZS,X,X,O,O
JLOISTZ,X,O,X,X
JLOISZT,X,O,X,O
JLOIZTS,X,X,O,O
JLOIZST,O,X,O,O
JLOSTIZ,X,O,X,X
JLOSTZI,X,O,O,X
JLOSITZ,X,O,X,X
JLOSIZT,X,O,X,X
JLOSZTI,X,O,O,X
JLOSZIT,X,O,O,X
JLOZTIS,X,X,O,X
JLOZTSI,X,O,O,X
JLOZITS,X,X,O,X
JLOZIST,O,X,O,X
JLOZSTI,O,O,O,X
JLOZSIT,O,O,O,X
JSTILZO,X,O,X,X
JSTILOZ,X,O,X,X
JSTIZLO,X,O,X,X
JSTIZOL,X,O,X,X
JSTIOLZ,X,O,X,X
JSTIOZL,X,O,X,X
JSTLIZO,X,O,X,X
JSTLIOZ,X,O,X,X
JSTLZIO,X,O,O,X
JSTLZOI,X,O,O,X
JSTLOIZ,X,O,X,X
JSTLOZI,X,O,O,X
JSTZILO,X,O,X,X
JSTZIOL,X,O,X,X
JSTZLIO,X,O,X,X
JSTZLOI,X,O,X,X
JSTZOIL,X,O,X,X
JSTZOLI,X,O,X,X
JSTOILZ,X,O,X,X
JSTOIZL,X,O,X,X
JSTOLIZ,X,O,X,X
JSTOLZI,X,O,O,X
JSTOZIL,X,O,X,X
JSTOZLI,X,O,X,X
JSITLZO,X,X,X,X
JSITLOZ,X,O,X,X
JSITZLO,X,X,X,X
JSITZOL,X,X,X,X
JSITOLZ,X,O,X,X
JSITOZL,X,X,X,X
JSILTZO,X,X,X,X
JSILTOZ,X,O,X,X
JSILZTO,X,O,X,O
JSILZOT,X,O,X,O
JSILOTZ,X,O,X,X
