sequence,v115@vhGRRYaAFLDmClcJSAVDEHBEooRBJoAVBvXExCz/AA?ATqB0nB6tB1rB/pBmqB,v115@vhGUMYaAFLDmClcJSAVDEHBEooRBaoAVBp+ytCs/AA?AxvBFtBTlB/pBimBGtB,v115@vhGUMYaAFLDmClcJSAVDEHBEooRBaoAVBpvytCsOBA?AxvBGtBTlB/pBimBFtB,v115@vhGxRYaAFLDmClcJSAVDEHBEooRBJoAVBaH+tCqCBA?A0qBToBlrB/pBGnBiqB,v115@vhGUNYaAFLDmClcJSAVDEHBEooRBaoAVBJ3TWCqOBA?AxwBzmB/pBiqBGoBlqB,v115@vhGTNYaAFLDmClcJSAVDEHBEooRBPoAVBpX+tCqCBA?ARwBUnBVrB/pBOqBCtB,v115@vhGUNYaAFLDmClcJSAVDEHBEooRBaoAVBJ3TxCqCBA?AxwBzmB/pBlqBGoBiqB,v115@vhGTNYaAFLDmClcJSAVDEHBEooRBPoAVBTezPC0CBA?AXsBRvB0lB2pBlmBCtB,v115@vhGxRYaAFLDmClcJSAVDEHBEooRBJoAVBKHUFDzOBA?A2vBToBSsB0lB/pBlrB,v115@vhGVSYaAFLDmClcJSAVDEHBEooRBUoAVBaujPCvCBA?A0qBxrB/pBGoBzrBiqB,v115@vhG2QYaAFLDmClcJSAVDEHBEooRBKoAVBvuLuCM+AA?ATqBVsBUoB/pBSyBxqB,v115@vhG0LYaAFLDmClcJSAVDEHBEooRBaoAVBUuTWCv/AA?A1vBxsB/pBilBTtBGsB,v115@vhGWSYaAFLDmClcJSAVDEHBEooRBKoAVBPN8LC6OBA?AToB/pBKqBRrBUrBFsB,v115@vhGUNYaAFLDmClcJSAVDEHBEooRBaoAVBUdNPCvCBA?AVxB/pBxqBGoBTqBirB,v115@vhGyPYaAFLDmClcJSAVDEHBEooRBMoAVBKuytC6OBA?A+tBRsBTlB/pB0rBlsB,v115@vhG2PYaAFLDmClcJSAVDEHBEooRBKoAVBpHUxCMHBA?AxrBUoB/pBllBSyBzrB,v115@vhGWSYaAFLDmClcJSAVDEHBEooRBKoAVBJ9aFD0CBA?ARwBXqBToBUmBFnBikB,v115@vhGUMYaAFLDmClcJSAVDEHBEooRBaoAVBUtHgCpCBA?AVwBXqB+tBznBRmBikB,v115@vhGWSYaAFLDmClcJSAVDEHBEooRBKoAVBauytC0CBA?A0rBRvBToB3lBFnBikB,v115@vhGzLYaAFLDmClcJSAVDEHBEooRBPoAVB0fLuCpCBA?AVvB+tBssBfrBxmBikB
TLIJZOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLIJOSZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
TLIJOZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLISJZO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O
TLISJOZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
TLISZJO,O,O,X,O,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X
TLISZOJ,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TLISOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLISOZJ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIZJSO,O,O,X,O,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X
TLIZJOS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIZSJO,O,O,X,O,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X
TLIZSOJ,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TLIZOJS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLIOJZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLIOSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLIOSZJ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O
TLJISOZ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O
TLJIZSO,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O
TLJIZOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLJIOSZ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O
TLJIOZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJSIZO,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O
TLJSIOZ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O
TLJSZIO,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O
TLJSZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLJSOIZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O
TLJSOZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLJZISO,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O
TLJZIOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLJZSIO,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O
TLJZSOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLJZOIS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLJZOSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLJOISZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O
TLJOIZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJOSIZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O
TLJOSZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLJOZIS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJOZSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSIJZO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O
TLSIJOZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
TLSIZJO,O,O,X,O,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X
TLSIZOJ,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TLSIOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLSIOZJ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLSJIZO,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O
TLSJIOZ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O
TLSJZIO,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O
TLSJZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLSJOIZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O
TLSJOZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLSZIJO,X,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TLSZIOJ,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TLSZJIO,X,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O
TLSZJOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLSZOIJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TLSZOJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLSOIJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLSOIZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLSOJIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TLSOJZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLSOZIJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TLSOZJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLZIJSO,X,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TLZIJOS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLZISJO,X,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TLZISOJ,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TLZIOJS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZJISO,X,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O
TLZJIOS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLZJSIO,X,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O
TLZJSOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLZJOIS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLZJOSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLZSIJO,X,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X
TLZSIOJ,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TLZSJIO,X,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O
TLZSJOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLZSOIJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TLZSOJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLZOIJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZOJIS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZOJSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLZOSIJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZOSJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOIJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOIJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOISJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOISZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJISZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TLOJIZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOJSIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TLOJSZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOJZIS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOJZSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOSIJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOSIZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TLOSJZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOSZIJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOSZJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOZIJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZISJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOZJIS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOZJSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
