sequence,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jex1IvhFTXB/dB?0bBOjBCjBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFqbBTXB?xYB0dBXjBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFqbBTXB?xYBXeB0iBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jex1IvhFTXB0bB?6iBOjB/sBFtB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFqbBTXB?xdB0dBXjBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFScBxdB?zbB0dBXjBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFRXBzbB?FeBfoBUnBCtB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFRcBFeB?zbBfoBUnBCtB
TLSZJIO,O,O,O,X,X,X,X,X
TLSZJOI,O,O,O,X,X,X,X,X
TLSZOIJ,O,O,O,X,X,X,X,X
TLSZOJI,O,O,O,X,X,X,X,X
TLSOIJZ,X,X,O,X,O,X,X,X
TLSOIZJ,X,X,O,X,X,X,X,X
TLSOJIZ,X,X,O,X,O,X,X,X
TLSOJZI,X,O,O,X,X,X,X,X
TLSOZIJ,X,O,O,X,X,X,X,X
TLSOZJI,X,O,O,X,X,X,X,X
TLZIJSO,O,O,X,X,X,O,X,X
TLZIJOS,O,O,X,O,O,O,X,X
TLZISJO,O,O,X,X,X,X,X,X
TLZISOJ,O,O,X,X,X,X,X,X
TLZIOJS,O,O,X,O,O,X,X,X
TLZIOSJ,O,O,X,X,X,X,X,X
TLZJISO,O,O,X,X,X,O,X,X
TLZJIOS,O,O,X,O,O,O,X,X
TLZJSIO,O,O,O,X,X,X,X,X
TLZJSOI,O,O,O,X,X,X,X,X
TLZJOIS,O,O,X,O,O,X,X,X
TLZJOSI,O,O,O,O,X,X,X,X
TLZSIJO,O,O,O,X,X,X,X,X
TLZSIOJ,O,O,O,X,X,X,X,X
TLZSJIO,O,O,O,X,X,X,X,X
TLZSJOI,O,O,O,X,X,X,X,X
TLZSOIJ,O,O,O,X,X,X,X,X
TLZSOJI,O,O,O,X,X,X,X,X
TLZOIJS,O,O,X,O,O,X,X,X
TLZOISJ,O,O,X,X,X,X,X,X
TLZOJIS,O,O,X,O,O,X,X,X
TLZOJSI,O,O,O,O,X,X,X,X
TLZOSIJ,O,O,O,X,X,X,X,X
TLZOSJI,O,O,O,X,X,X,X,X
TLOIJSZ,X,X,O,X,O,O,X,X
TLOIJZS,X,O,X,X,O,O,X,X
TLOISJZ,X,X,O,X,O,X,X,X
TLOISZJ,X,X,O,X,X,X,X,X
TLOIZJS,X,O,X,X,O,X,X,X
TLOIZSJ,X,O,X,X,X,X,X,X
TLOJISZ,X,X,O,X,O,O,X,X
TLOJIZS,X,O,X,X,O,O,X,X
TLOJSIZ,X,X,O,X,O,X,X,X
TLOJSZI,X,O,O,X,X,X,X,X
TLOJZIS,X,O,X,X,O,X,X,X
TLOJZSI,X,O,O,X,X,X,X,X
TLOSIJZ,X,X,O,X,O,X,X,X
TLOSIZJ,X,X,O,X,X,X,X,X
TLOSJIZ,X,X,O,X,O,X,X,X
TLOSJZI,X,O,O,X,X,X,X,X
TLOSZIJ,X,O,O,X,X,X,X,X
TLOSZJI,X,O,O,X,X,X,X,X
TLOZIJS,X,O,X,X,O,X,X,X
TLOZISJ,X,O,X,X,X,X,X,X
TLOZJIS,X,O,X,X,O,X,X,X
TLOZJSI,X,O,O,X,X,X,X,X
TLOZSIJ,X,O,O,X,X,X,X,X
