sequence,v115@HhA8IeB8CeA8DeB8BeB8NeT6IvhFXmBpoByxB8nBOn?BFlB,v115@HhA8IeB8CeA8DeB8BeB8NeT6IvhFXmBpoBetBMsBii?BFlB,v115@HhA8IeB8CeA8DeB8BeB8NeT6IvhFXmBxxBKnBUoBGj?BFlB,v115@HhA8IeB8CeA8DeB8BeB8NeT6IvhFXmBxxB2sB0iB6o?BFlB,v115@HhA8IeB8CeA8DeB8BeB8NeT6IvhFXmB2xBknB6tBxi?BFlB,v115@HhA8IeB8CeA8DeB8BeB8NeT6IvhFXmBKsBEtBGoBxi?BFlB,v115@HhA8IeB8CeA8DeB8BeB8NeT6IvhFXmB0sBmnBpoBFl?BisB,v115@HhA8IeB8CeA8DeB8BeB8NeT6IvhFXmB6tB2xBpZBkn?BFlB,v115@HhA8IeB8CeA8DeB8BeB8NeT6IvhF8qB/hBGtBSoBJn?BFlB,v115@HhA8IeB8CeA8DeB8BeB8NeT6IvhF8qB/hBisB2nBpo?BFlB
TLIOZJS,O,X,X,X,X,X,X,X,X,O
TLIOZSJ,O,X,X,X,X,X,X,X,X,O
TLJISZO,X,X,X,X,X,X,X,O,X,O
TLJISOZ,X,X,X,X,X,X,X,O,X,O
TLJIZSO,X,X,X,X,X,X,X,O,X,O
TLJIZOS,X,X,X,X,X,X,X,O,X,O
TLJIOSZ,X,X,X,X,X,X,X,O,X,O
TLJIOZS,X,X,X,X,X,X,X,O,X,O
TLJSIZO,X,X,X,X,X,X,X,O,X,O
TLJSIOZ,X,X,X,X,X,X,X,O,X,O
TLJSZIO,X,X,X,X,O,X,X,O,X,O
TLJSZOI,X,X,X,X,O,X,X,O,X,O
TLJSOIZ,X,X,X,X,X,X,X,O,X,O
TLJSOZI,X,X,X,X,O,X,X,O,X,O
TLJZISO,X,X,X,X,O,X,X,O,X,O
TLJZIOS,X,X,X,X,O,X,X,O,X,O
TLJZSIO,X,X,X,X,O,X,X,O,X,O
TLJZSOI,X,X,X,X,O,X,X,O,X,O
TLJZOIS,X,X,X,X,O,X,X,O,X,O
TLJZOSI,X,X,X,X,O,X,X,O,X,O
TLJOISZ,X,X,X,X,X,X,X,O,X,O
TLJOIZS,X,X,X,X,X,X,X,O,X,O
TLJOSIZ,X,X,X,X,X,X,X,O,X,O
TLJOSZI,X,X,X,X,O,X,X,O,X,O
TLJOZIS,X,X,X,X,O,X,X,O,X,O
TLJOZSI,X,X,X,X,O,X,X,O,X,O
TLSIJZO,X,X,X,X,X,X,X,O,X,O
TLSIJOZ,X,X,X,X,X,X,X,O,X,O
TLSIZJO,O,X,X,X,X,X,X,X,X,O
TLSIZOJ,O,X,X,X,X,X,X,X,X,O
TLSIOJZ,X,X,X,X,X,X,X,O,X,O
TLSIOZJ,O,X,X,X,X,X,X,X,X,O
TLSJIZO,X,X,X,X,X,X,X,O,X,O
TLSJIOZ,X,X,X,X,X,X,X,O,X,O
TLSJZIO,X,X,X,X,O,X,X,O,X,O
TLSJZOI,X,X,X,X,O,X,X,O,X,O
TLSJOIZ,X,X,X,X,X,X,X,O,X,O
TLSJOZI,X,X,X,X,O,X,X,O,X,O
TLSZIJO,O,X,X,X,X,X,X,X,X,O
TLSZIOJ,O,X,X,X,X,X,X,X,X,O
TLSZJIO,O,X,X,X,X,O,X,X,X,O
TLSZJOI,O,X,X,X,X,O,X,X,X,O
TLSZOIJ,O,X,X,X,X,X,X,X,X,O
TLSZOJI,O,X,X,X,X,O,X,X,X,O
TLSOIJZ,X,X,X,X,X,X,X,O,X,O
TLSOIZJ,O,X,X,X,X,X,X,X,X,O
TLSOJIZ,X,X,X,X,X,X,X,O,X,O
TLSOJZI,X,X,X,X,O,X,X,O,X,O
TLSOZIJ,O,X,X,X,X,X,X,X,X,O
TLSOZJI,O,X,X,X,X,O,X,X,X,O
TLZIJSO,O,X,X,X,X,X,X,X,X,O
TLZIJOS,O,X,X,X,X,X,X,X,X,O
TLZISJO,O,X,X,X,X,X,X,X,X,O
TLZISOJ,O,X,X,X,X,X,X,X,X,O
TLZIOJS,O,X,X,X,X,X,X,X,X,O
TLZIOSJ,O,X,X,X,X,X,X,X,X,O
TLZJISO,O,X,X,X,X,O,X,X,X,O
TLZJIOS,O,X,X,X,X,O,X,X,X,O
TLZJSIO,O,X,X,X,X,O,X,X,X,O
TLZJSOI,O,X,X,X,X,O,X,X,X,O
TLZJOIS,O,X,X,X,X,O,X,X,X,O
TLZJOSI,O,X,X,X,X,O,X,X,X,O
TLZSIJO,O,X,X,X,X,X,X,X,X,O
TLZSIOJ,O,X,X,X,X,X,X,X,X,O
TLZSJIO,O,X,X,X,X,O,X,X,X,O
TLZSJOI,O,X,X,X,X,O,X,X,X,O
TLZSOIJ,O,X,X,X,X,X,X,X,X,O
TLZSOJI,O,X,X,X,X,O,X,X,X,O
TLZOIJS,O,X,X,X,X,X,X,X,X,O
TLZOISJ,O,X,X,X,X,X,X,X,X,O
TLZOJIS,O,X,X,X,X,O,X,X,X,O
TLZOJSI,O,X,X,X,X,O,X,X,X,O
TLZOSIJ,O,X,X,X,X,X,X,X,X,O
TLZOSJI,O,X,X,X,X,O,X,X,X,O
TLOIJSZ,X,X,X,X,X,X,X,O,X,O
TLOIJZS,X,X,X,X,X,X,X,O,X,O
TLOISJZ,X,X,X,X,X,X,X,O,X,O
TLOISZJ,O,X,X,X,X,X,X,X,X,O
TLOIZJS,O,X,X,X,X,X,X,X,X,O
TLOIZSJ,O,X,X,X,X,X,X,X,X,O
TLOJISZ,X,X,X,X,X,X,X,O,X,O
TLOJIZS,X,X,X,X,X,X,X,O,X,O
TLOJSIZ,X,X,X,X,X,X,X,O,X,O
TLOJSZI,X,X,X,X,O,X,X,O,X,O
TLOJZIS,X,X,X,X,O,X,X,O,X,O
TLOJZSI,X,X,X,X,O,X,X,O,X,O
TLOSIJZ,X,X,X,X,X,X,X,O,X,O
TLOSIZJ,O,X,X,X,X,X,X,X,X,O
TLOSJIZ,X,X,X,X,X,X,X,O,X,O
TLOSJZI,X,X,X,X,O,X,X,O,X,O
TLOSZIJ,O,X,X,X,X,X,X,X,X,O
TLOSZJI,O,X,X,X,X,O,X,X,X,O
TLOZIJS,O,X,X,X,X,X,X,X,X,O
TLOZISJ,O,X,X,X,X,X,X,X,X,O
TLOZJIS,O,X,X,X,X,O,X,X,X,O
TLOZJSI,O,X,X,X,X,O,X,X,X,O
TLOZSIJ,O,X,X,X,X,X,X,X,X,O
TLOZSJI,O,X,X,X,X,O,X,X,X,O
TJILSZO,X,X,X,X,X,X,X,X,O,X
TJILSOZ,X,X,X,X,X,X,X,X,O,X
TJILZSO,X,X,X,X,X,X,X,X,O,X
TJILZOS,X,X,X,X,X,X,X,X,O,X
TJILOSZ,X,X,X,X,X,X,X,X,O,X
TJILOZS,X,X,X,X,X,X,X,X,O,X
TJISLZO,X,X,X,X,X,X,X,X,O,X
TJISLOZ,X,X,X,X,X,X,X,X,O,X
TJISZLO,X,O,X,X,X,X,X,X,O,X
TJISZOL,X,O,X,X,X,X,X,X,O,X
TJISOLZ,X,X,X,X,X,X,X,X,O,X
TJISOZL,X,O,X,X,X,X,X,X,O,X
TJIZLSO,X,O,X,X,X,X,X,X,O,X
TJIZLOS,X,O,X,X,X,X,X,X,O,X
TJIZSLO,X,O,X,X,X,X,X,X,O,X
TJIZSOL,X,O,X,X,X,X,X,X,O,X
TJIZOLS,X,O,X,X,X,X,X,X,O,X
TJIZOSL,X,O,X,X,X,X,X,X,O,X
TJIOLSZ,X,X,X,X,X,X,X,X,O,X
TJIOLZS,X,X,X,X,X,X,X,X,O,X
TJIOSLZ,X,X,X,X,X,X,X,X,O,X
TJIOSZL,X,O,X,X,X,X,X,X,O,X
TJIOZLS,X,O,X,X,X,X,X,X,O,X
TJIOZSL,X,O,X,X,X,X,X,X,O,X
TJLISZO,X,X,X,X,X,X,X,O,O,X
TJLISOZ,X,X,X,X,X,X,X,O,O,X
TJLIZSO,X,X,X,X,X,X,X,O,O,X
TJLIZOS,X,X,X,X,X,X,X,O,O,X
TJLIOSZ,X,X,X,X,X,X,X,O,O,X
TJLIOZS,X,X,X,X,X,X,X,O,O,X
TJLSIZO,X,X,X,X,X,X,X,O,O,X
TJLSIOZ,X,X,X,X,X,X,X,O,O,X
TJLSZIO,X,X,X,X,O,X,X,O,O,X
TJLSZOI,X,X,X,X,O,X,X,O,O,X
TJLSOIZ,X,X,X,X,X,X,X,O,O,X
TJLSOZI,X,X,X,X,O,X,X,O,O,X
TJLZISO,X,X,X,X,O,X,X,O,O,X
TJLZIOS,X,X,X,X,O,X,X,O,O,X
TJLZSIO,X,X,X,X,O,X,X,O,O,X
TJLZSOI,X,X,X,X,O,X,X,O,O,X
TJLZOIS,X,X,X,X,O,X,X,O,O,X
TJLZOSI,X,X,X,X,O,X,X,O,O,X
TJLOISZ,X,X,X,X,X,X,X,O,O,X
TJLOIZS,X,X,X,X,X,X,X,O,O,X
TJLOSIZ,X,X,X,X,X,X,X,O,O,X
TJLOSZI,X,X,X,X,O,X,X,O,O,X
TJLOZIS,X,X,X,X,O,X,X,O,O,X
TJLOZSI,X,X,X,X,O,X,X,O,O,X
TJSILZO,X,X,X,X,X,X,X,X,O,X
TJSILOZ,X,X,X,X,X,X,X,X,O,X
TJSIZLO,X,O,X,X,X,X,X,X,O,X
TJSIZOL,X,O,X,X,X,X,X,X,O,X
TJSIOLZ,X,X,X,X,X,X,X,X,O,X
TJSIOZL,X,O,X,X,X,X,X,X,O,X
TJSLIZO,X,X,X,X,X,X,X,O,O,X
TJSLIOZ,X,X,X,X,X,X,X,O,O,X
TJSLZIO,X,X,X,X,O,X,X,O,O,X
TJSLZOI,X,X,X,X,O,X,X,O,O,X
TJSLOIZ,X,X,X,X,X,X,X,O,O,X
TJSLOZI,X,X,X,X,O,X,X,O,O,X
TJSZILO,X,O,X,X,X,X,X,X,O,X
TJSZIOL,X,O,X,X,X,X,X,X,O,X
TJSZLIO,X,O,X,X,O,X,X,O,O,X
TJSZLOI,X,O,X,X,O,X,X,O,O,X
TJSZOIL,X,O,X,X,X,X,X,X,O,X
TJSZOLI,X,O,X,X,O,X,X,O,O,X
TJSOILZ,X,X,X,X,X,X,X,X,O,X
TJSOIZL,X,O,X,X,X,X,X,X,O,X
TJSOLIZ,X,X,X,X,X,X,X,O,O,X
TJSOLZI,X,X,X,X,O,X,X,O,O,X
TJSOZIL,X,O,X,X,X,X,X,X,O,X
TJSOZLI,X,O,X,X,O,X,X,O,O,X
TJZILSO,X,O,X,X,X,X,X,X,O,X
TJZILOS,X,O,X,X,X,X,X,X,O,X
TJZISLO,X,O,X,X,X,X,X,X,O,X
TJZISOL,X,O,X,X,X,X,X,X,O,X
TJZIOLS,X,O,X,X,X,X,X,X,O,X
TJZIOSL,X,O,X,X,X,X,X,X,O,X
TJZLISO,X,O,X,X,O,X,X,O,O,X
TJZLIOS,X,O,X,X,O,X,X,O,O,X
TJZLSIO,X,O,X,X,O,X,X,O,O,X
TJZLSOI,X,O,X,X,O,X,X,O,O,X
TJZLOIS,X,O,X,X,O,X,X,O,O,X
TJZLOSI,X,O,X,X,O,X,X,O,O,X
TJZSILO,X,O,X,X,X,X,X,X,O,X
TJZSIOL,X,O,X,X,X,X,X,X,O,X
TJZSLIO,X,O,X,X,O,X,X,O,O,X
TJZSLOI,X,O,X,X,O,X,X,O,O,X
TJZSOIL,X,O,X,X,X,X,X,X,O,X
TJZSOLI,X,O,X,X,O,X,X,O,O,X
TJZOILS,X,O,X,X,X,X,X,X,O,X
TJZOISL,X,O,X,X,X,X,X,X,O,X
TJZOLIS,X,O,X,X,O,X,X,O,O,X
TJZOLSI,X,O,X,X,O,X,X,O,O,X
TJZOSIL,X,O,X,X,X,X,X,X,O,X
TJZOSLI,X,O,X,X,O,X,X,O,O,X
TJOILSZ,X,X,X,X,X,X,X,X,O,X
TJOILZS,X,X,X,X,X,X,X,X,O,X
TJOISLZ,X,X,X,X,X,X,X,X,O,X
TJOISZL,X,O,X,X,X,X,X,X,O,X
TJOIZLS,X,O,X,X,X,X,X,X,O,X
TJOIZSL,X,O,X,X,X,X,X,X,O,X
TJOLISZ,X,X,X,X,X,X,X,O,O,X
TJOLIZS,X,X,X,X,X,X,X,O,O,X
TJOLSIZ,X,X,X,X,X,X,X,O,O,X
TJOLSZI,X,X,X,X,O,X,X,O,O,X
TJOLZIS,X,X,X,X,O,X,X,O,O,X
TJOLZSI,X,X,X,X,O,X,X,O,O,X
TJOSILZ,X,X,X,X,X,X,X,X,O,X
TJOSIZL,X,O,X,X,X,X,X,X,O,X
TJOSLIZ,X,X,X,X,X,X,X,O,O,X
TJOSLZI,X,X,X,X,O,X,X,O,O,X
TJOSZIL,X,O,X,X,X,X,X,X,O,X
TJOSZLI,X,O,X,X,O,X,X,O,O,X
TJOZILS,X,O,X,X,X,X,X,X,O,X
TJOZISL,X,O,X,X,X,X,X,X,O,X
TJOZLIS,X,O,X,X,O,X,X,O,O,X
TJOZLSI,X,O,X,X,O,X,X,O,O,X
TJOZSIL,X,O,X,X,X,X,X,X,O,X
TJOZSLI,X,O,X,X,O,X,X,O,O,X
TSILJZO,X,X,X,O,X,X,X,X,X,O
TSILJOZ,X,X,X,O,X,X,X,X,X,O
TSILZJO,O,X,O,X,X,X,X,X,X,O
TSILZOJ,O,X,O,X,X,X,X,X,X,O
TSILOJZ,X,X,X,O,X,X,X,X,X,O
TSILOZJ,O,X,O,X,X,X,X,X,X,O
TSIJLZO,X,X,X,O,X,X,X,X,O,X
TSIJLOZ,X,X,X,O,X,X,X,X,O,X
TSIJZLO,X,O,X,O,X,X,X,X,O,X
TSIJZOL,X,O,X,O,X,X,X,X,O,X
TSIJOLZ,X,X,X,O,X,X,X,X,O,X
TSIJOZL,X,O,X,O,X,X,X,X,O,X
TSIZLJO,X,X,O,X,X,X,X,X,X,O
TSIZLOJ,X,X,O,X,X,X,X,X,X,O
TSIZJLO,X,X,O,X,X,X,X,X,O,X
TSIZJOL,X,X,O,X,X,X,O,X,O,X
TSIZOLJ,X,X,O,X,X,X,X,X,X,O
TSIZOJL,X,X,O,X,X,X,O,X,O,X
TSIOLJZ,X,X,X,O,X,X,X,X,X,O
TSIOLZJ,O,X,O,X,X,X,X,X,X,O
TSIOJLZ,X,X,X,O,X,X,X,X,O,X
TSIOJZL,X,O,X,O,X,X,X,X,O,X
TSIOZLJ,X,X,O,X,X,X,X,X,X,O
TSIOZJL,X,X,O,X,X,X,O,X,O,X
TSLIJZO,X,X,X,X,X,X,X,O,X,O
TSLIJOZ,X,X,X,X,X,X,X,O,X,O
TSLIZJO,O,X,X,X,X,X,X,X,X,O
TSLIZOJ,O,X,X,X,X,X,X,X,X,O
TSLIOJZ,X,X,X,X,X,X,X,O,X,O
TSLIOZJ,O,X,X,X,X,X,X,X,X,O
TSLJIZO,X,X,X,X,X,X,X,O,X,O
TSLJIOZ,X,X,X,X,X,X,X,O,X,O
TSLJZIO,X,X,X,X,O,X,X,O,X,O
TSLJZOI,X,X,X,X,O,X,X,O,X,O
TSLJOIZ,X,X,X,X,X,X,X,O,X,O
TSLJOZI,X,X,X,X,O,X,X,O,X,O
TSLZIJO,O,X,X,X,X,X,X,X,X,O
TSLZIOJ,O,X,X,X,X,X,X,X,X,O
TSLZJIO,O,X,X,X,X,O,X,X,X,O
TSLZJOI,O,X,X,X,X,O,X,X,X,O
TSLZOIJ,O,X,X,X,X,X,X,X,X,O
TSLZOJI,O,X,X,X,X,O,X,X,X,O
TSLOIJZ,X,X,X,X,X,X,X,O,X,O
TSLOIZJ,O,X,X,X,X,X,X,X,X,O
TSLOJIZ,X,X,X,X,X,X,X,O,X,O
TSLOJZI,X,X,X,X,O,X,X,O,X,O
TSLOZIJ,O,X,X,X,X,X,X,X,X,O
TSLOZJI,O,X,X,X,X,O,X,X,X,O
TSJILZO,X,X,X,X,X,X,X,X,O,X
TSJILOZ,X,X,X,X,X,X,X,X,O,X
TSJIZLO,X,O,X,X,X,X,X,X,O,X
TSJIZOL,X,O,X,X,X,X,X,X,O,X
TSJIOLZ,X,X,X,X,X,X,X,X,O,X
TSJIOZL,X,O,X,X,X,X,X,X,O,X
TSJLIZO,X,X,X,X,X,X,X,O,O,X
TSJLIOZ,X,X,X,X,X,X,X,O,O,X
TSJLZIO,X,X,X,X,O,X,X,O,O,X
TSJLZOI,X,X,X,X,O,X,X,O,O,X
TSJLOIZ,X,X,X,X,X,X,X,O,O,X
TSJLOZI,X,X,X,X,O,X,X,O,O,X
TSJZILO,X,O,X,X,X,X,X,X,O,X
TSJZIOL,X,O,X,X,X,X,X,X,O,X
TSJZLIO,X,O,X,X,O,X,X,O,O,X
TSJZLOI,X,O,X,X,O,X,X,O,O,X
TSJZOIL,X,O,X,X,X,X,X,X,O,X
TSJZOLI,X,O,X,X,O,X,X,O,O,X
TSJOILZ,X,X,X,X,X,X,X,X,O,X
TSJOIZL,X,O,X,X,X,X,X,X,O,X
TSJOLIZ,X,X,X,X,X,X,X,O,O,X
TSJOLZI,X,X,X,X,O,X,X,O,O,X
TSJOZIL,X,O,X,X,X,X,X,X,O,X
TSJOZLI,X,O,X,X,O,X,X,O,O,X
TSZILJO,X,X,X,X,X,X,X,X,X,O
TSZILOJ,X,X,X,X,X,X,X,X,X,O
TSZIJLO,X,X,X,X,X,X,X,X,O,X
TSZIJOL,X,X,X,X,X,X,O,X,O,X
TSZIOLJ,X,X,X,X,X,X,X,X,X,O
TSZIOJL,X,X,X,X,X,X,O,X,O,X
TSZLIJO,X,X,X,X,X,X,X,X,X,O
TSZLIOJ,X,X,X,X,X,X,X,X,X,O
TSZLJIO,X,X,X,X,X,X,X,X,X,O
TSZLJOI,X,X,X,X,X,X,X,X,X,O
TSZLOIJ,X,X,X,X,X,X,X,X,X,O
TSZLOJI,X,X,X,X,X,X,X,X,X,O
TSZJILO,X,O,X,X,X,X,X,X,O,X
TSZJIOL,X,O,X,X,X,X,O,X,O,X
TSZJLIO,X,O,X,X,X,X,X,X,O,X
TSZJLOI,X,O,X,X,X,X,X,X,O,X
TSZJOIL,X,O,X,X,X,X,O,X,O,X
TSZJOLI,X,O,X,X,X,X,X,X,O,X
TSZOILJ,X,X,X,X,X,X,X,X,X,O
TSZOIJL,X,X,X,X,X,X,O,X,O,X
TSZOLIJ,X,X,X,X,X,X,X,X,X,O
TSZOLJI,X,X,X,X,X,X,X,X,X,O
TSZOJIL,X,O,X,X,X,X,O,X,O,X
TSZOJLI,X,O,X,X,X,X,X,X,O,X
TSOILJZ,X,X,X,O,X,X,X,X,X,O
TSOILZJ,O,X,O,X,X,X,X,X,X,O
TSOIJLZ,X,X,X,O,X,X,X,X,O,X
TSOIJZL,X,O,X,O,X,X,X,X,O,X
