sequence,v115@/gB8GeB8HeC8FeE8OexCJvhFXhBOkB6tBFnBzsB0rB,v115@/gB8GeB8HeC8FeE8Oe6IJvhF0iBXhBOkBVyBxrBzrB,v115@/gB8GeB8HeC8FeE8OeMIJvhFliBXhBOkBSyBxrBzrB,v115@/gB8GeB8HeC8FeE8OexCJvhFOkB6tBXnBFmBzsB0rB,v115@/gB8GeB8HeC8FeE8OexBJvhFOkB6tB0nBFmBzrBXtB,v115@/gB8GeB8HeC8FeE8OevIJvhFxhBOkB0nBFmBzrBSyB,v115@/gB8GeB8HeC8FeE8OexCJvhFXhBOkBFnBCtB0rBTtB,v115@/gB8GeB8HeC8FeE8OexCJvhFOkBXnBFmBCtBTtB0rB
TZJOSLI,O,O,X,O,O,O,O,X
TZSILJO,O,O,X,X,X,X,O,X
TZSILOJ,O,O,X,X,X,X,O,X
TZSIJLO,O,O,X,X,X,X,O,X
TZSIJOL,O,O,X,X,X,X,O,X
TZSIOLJ,O,O,X,X,X,X,X,X
TZSIOJL,O,O,X,X,X,X,O,X
TZSLIJO,O,O,X,X,X,X,O,X
TZSLIOJ,O,O,X,X,X,X,O,X
TZSLJIO,O,O,X,X,X,X,O,X
TZSLJOI,O,O,X,X,X,X,O,X
TZSLOIJ,O,X,X,X,X,X,O,X
TZSLOJI,O,O,X,X,X,X,O,X
TZSJILO,O,O,X,X,X,X,O,X
TZSJIOL,O,O,X,X,X,X,O,X
TZSJLIO,O,O,X,X,X,X,O,X
TZSJLOI,O,O,X,X,X,X,O,X
TZSJOIL,O,X,X,X,X,X,O,X
TZSJOLI,O,O,X,X,X,X,O,X
TZSOILJ,O,X,X,X,X,X,X,X
TZSOIJL,O,X,X,X,X,X,O,X
TZSOLIJ,O,X,X,X,X,X,O,X
TZSOLJI,O,O,X,X,X,X,O,X
TZSOJIL,O,X,X,X,X,X,O,X
TZSOJLI,O,O,X,X,X,X,O,X
TZOILJS,O,O,X,X,O,O,X,X
TZOILSJ,O,O,X,X,O,O,X,X
TZOIJLS,O,O,X,X,O,O,X,X
TZOIJSL,O,O,X,X,O,O,O,X
TZOISLJ,O,O,X,X,O,O,X,X
TZOISJL,O,O,X,X,O,O,O,X
TZOLIJS,O,O,X,X,O,O,O,X
TZOLISJ,O,O,X,X,O,O,O,X
TZOLJIS,O,O,X,X,O,O,O,X
TZOLJSI,O,O,X,O,O,O,O,X
TZOLSIJ,O,X,X,O,O,O,O,X
TZOLSJI,O,O,X,O,O,O,O,X
TZOJILS,O,O,X,X,O,O,X,X
TZOJISL,O,O,X,X,O,O,O,X
TZOJLIS,O,O,X,X,O,O,O,X
TZOJLSI,O,O,X,O,O,O,O,X
TZOJSIL,O,X,X,X,O,O,O,X
TZOJSLI,O,O,X,O,O,O,O,X
TZOSILJ,O,X,X,X,O,O,X,X
TZOSIJL,O,X,X,X,O,O,O,X
TZOSLIJ,O,X,X,O,O,O,O,X
TZOSLJI,O,O,X,O,O,O,O,X
TZOSJIL,O,X,X,X,O,O,O,X
TZOSJLI,O,O,X,O,O,O,O,X
TOILJSZ,O,O,X,O,X,X,X,X
TOILJZS,O,O,X,X,O,O,X,X
TOILSJZ,O,O,X,O,X,X,X,X
TOILSZJ,O,O,X,O,X,X,X,X
TOILZJS,O,O,X,X,O,O,X,X
TOILZSJ,O,O,X,X,O,O,X,X
TOIJLSZ,O,O,X,O,X,X,X,X
TOIJLZS,O,O,X,X,O,O,X,X
TOIJSLZ,O,O,X,O,X,X,X,X
TOIJSZL,O,O,X,X,O,O,X,X
TOIJZLS,X,O,X,X,O,O,X,X
TOIJZSL,O,O,X,X,O,O,X,X
TOISLJZ,O,O,X,O,X,X,X,X
TOISLZJ,O,O,X,O,X,X,X,X
TOISJLZ,O,O,X,O,X,X,X,X
TOISJZL,O,O,X,X,O,O,X,X
TOISZLJ,X,O,X,X,O,O,X,X
TOISZJL,O,O,X,X,O,O,X,X
TOIZLJS,X,O,X,X,O,O,X,X
TOIZLSJ,X,O,X,X,O,O,X,X
TOIZJLS,X,O,X,X,O,O,X,X
TOIZJSL,O,O,X,X,O,O,X,X
TOIZSLJ,X,O,X,X,O,O,X,X
TOIZSJL,O,O,X,X,O,O,X,X
TOLIJSZ,O,O,X,O,X,X,X,X
TOLIJZS,O,O,X,X,O,O,X,X
TOLISJZ,O,O,X,O,X,X,X,X
TOLISZJ,O,O,X,O,X,X,X,X
TOLIZJS,O,O,X,X,O,O,X,X
TOLIZSJ,O,O,X,X,O,O,X,X
TOLJISZ,O,O,X,O,X,X,X,X
TOLJIZS,O,O,X,X,O,O,X,X
TOLJSIZ,O,O,X,O,X,X,X,O
TOLJSZI,O,O,X,O,O,X,X,O
TOLJZIS,O,O,X,X,O,O,X,X
TOLJZSI,O,O,X,O,O,O,X,X
TOLSIJZ,O,O,X,O,X,X,X,X
TOLSIZJ,O,O,X,O,X,X,X,X
TOLSJIZ,O,O,X,O,X,X,X,O
TOLSJZI,O,O,X,O,O,X,X,O
TOLSZIJ,O,X,X,O,O,X,X,X
TOLSZJI,O,O,X,O,O,X,X,X
TOLZIJS,O,O,X,X,O,O,X,X
TOLZISJ,O,O,X,X,O,O,X,X
TOLZJIS,O,O,X,X,O,O,X,X
TOLZJSI,O,O,X,O,O,O,X,X
TOLZSIJ,O,X,X,O,O,O,X,X
TOLZSJI,O,O,X,O,O,O,X,X
TOJILSZ,O,O,X,O,X,X,X,X
TOJILZS,O,O,X,X,O,O,X,X
TOJISLZ,O,O,X,O,X,X,X,X
TOJISZL,O,O,X,X,O,O,X,X
TOJIZLS,X,O,X,X,O,O,X,X
TOJIZSL,O,O,X,X,O,O,X,X
TOJLISZ,O,O,X,O,X,X,X,X
TOJLIZS,O,O,X,X,O,O,X,X
TOJLSIZ,O,O,X,O,X,X,X,O
TOJLSZI,O,O,X,O,O,X,X,O
TOJLZIS,O,O,X,X,O,O,X,X
TOJLZSI,O,O,X,O,O,O,X,X
TOJSILZ,O,O,X,O,X,X,X,X
TOJSIZL,O,O,X,X,O,O,X,X
TOJSLIZ,O,O,X,O,X,X,X,X
TOJSLZI,O,O,X,O,O,X,X,X
TOJSZIL,O,X,X,X,O,O,X,X
TOJSZLI,O,O,X,O,O,O,X,X
TOJZILS,O,O,X,X,O,O,X,X
TOJZISL,O,O,X,X,O,O,X,X
TOJZLIS,O,O,X,X,O,O,X,X
TOJZLSI,O,O,X,O,O,O,X,X
TOJZSIL,O,X,X,X,O,O,X,X
TOJZSLI,O,O,X,O,O,O,X,X
TOSILJZ,O,O,X,O,X,X,X,X
TOSILZJ,O,O,X,O,X,X,X,X
TOSIJLZ,O,O,X,O,X,X,X,X
TOSIJZL,O,O,X,X,O,O,X,X
TOSIZLJ,X,O,X,X,O,O,X,X
TOSIZJL,O,O,X,X,O,O,X,X
TOSLIJZ,O,O,X,O,X,X,X,X
TOSLIZJ,O,O,X,O,X,X,X,X
TOSLJIZ,O,O,X,O,X,X,X,X
TOSLJZI,O,O,X,O,O,X,X,X
TOSLZIJ,O,X,X,O,O,X,X,X
TOSLZJI,O,O,X,O,O,X,X,X
TOSJILZ,O,O,X,O,X,X,X,X
TOSJIZL,O,O,X,X,O,O,X,X
TOSJLIZ,O,O,X,O,X,X,X,X
TOSJLZI,O,O,X,O,O,X,X,X
TOSJZIL,O,X,X,X,O,O,X,X
TOSJZLI,O,O,X,O,O,O,X,X
TOSZILJ,O,X,X,X,O,O,X,X
TOSZIJL,O,X,X,X,O,O,X,X
TOSZLIJ,O,X,X,O,O,O,X,X
TOSZLJI,O,O,X,O,O,O,X,X
TOSZJIL,O,X,X,X,O,O,X,X
TOSZJLI,O,O,X,O,O,O,X,X
TOZILJS,O,O,X,X,O,O,X,X
TOZILSJ,O,O,X,X,O,O,X,X
TOZIJLS,O,O,X,X,O,O,X,X
TOZIJSL,O,O,X,X,O,O,X,X
TOZISLJ,O,O,X,X,O,O,X,X
TOZISJL,O,O,X,X,O,O,X,X
TOZLIJS,O,O,X,X,O,O,X,X
TOZLISJ,O,O,X,X,O,O,X,X
TOZLJIS,O,O,X,X,O,O,X,X
TOZLJSI,O,O,X,O,O,O,X,X
TOZLSIJ,O,X,X,O,O,O,X,X
TOZLSJI,O,O,X,O,O,O,X,X
TOZJILS,O,O,X,X,O,O,X,X
TOZJISL,O,O,X,X,O,O,X,X
TOZJLIS,O,O,X,X,O,O,X,X
TOZJLSI,O,O,X,O,O,O,X,X
TOZJSIL,O,X,X,X,O,O,X,X
TOZJSLI,O,O,X,O,O,O,X,X
TOZSILJ,O,X,X,X,O,O,X,X
TOZSIJL,O,X,X,X,O,O,X,X
TOZSLIJ,O,X,X,O,O,O,X,X
TOZSLJI,O,O,X,O,O,O,X,X
TOZSJIL,O,X,X,X,O,O,X,X
TOZSJLI,O,O,X,O,O,O,X,X
ITLJSZO,X,O,O,X,X,X,X,X
ITLJSOZ,X,O,X,X,X,X,X,O
ITLJZSO,X,O,O,X,X,X,X,X
ITLJZOS,X,O,O,X,X,X,X,X
ITLJOSZ,X,O,X,O,X,X,X,X
ITLJOZS,X,O,X,X,O,O,X,X
ITLSJZO,X,O,O,X,X,X,X,X
ITLSJOZ,X,O,X,X,X,X,X,O
ITLSZJO,X,O,O,X,X,X,X,X
ITLSZOJ,X,O,O,X,X,X,X,X
ITLSOJZ,X,O,X,X,X,X,X,X
ITLSOZJ,X,O,X,X,X,X,X,X
ITLZJSO,X,O,O,X,X,X,X,X
ITLZJOS,X,O,O,X,X,X,X,X
ITLZSJO,X,O,O,X,X,X,X,X
ITLZSOJ,X,O,O,X,X,X,X,X
ITLZOJS,X,O,O,X,X,X,X,X
ITLZOSJ,X,O,O,X,X,X,X,X
ITLOJSZ,X,O,X,O,X,X,X,X
ITLOJZS,X,O,X,X,O,O,X,X
ITLOSJZ,X,O,X,O,X,X,X,X
ITLOSZJ,X,O,X,O,X,X,X,X
ITLOZJS,X,O,X,X,O,O,X,X
ITLOZSJ,X,O,X,X,O,O,X,X
ITJLSZO,X,O,O,X,X,X,X,X
ITJLSOZ,X,O,X,X,X,X,X,O
ITJLZSO,X,O,O,X,X,X,X,X
ITJLZOS,X,O,O,X,X,X,X,X
ITJLOSZ,X,O,X,O,X,X,X,X
ITJLOZS,X,O,X,X,O,O,X,X
ITJSLZO,X,O,O,X,X,X,X,X
ITJSLOZ,X,O,X,X,X,X,X,X
ITJSZLO,X,O,X,X,X,X,X,X
ITJSZOL,X,O,X,X,X,X,X,X
ITJSOLZ,X,O,X,X,X,X,X,X
ITJSOZL,X,O,X,X,O,O,X,X
ITJZLSO,X,O,X,X,X,X,X,X
ITJZLOS,X,O,X,X,X,X,X,X
ITJZSLO,X,O,X,X,X,X,X,X
ITJZSOL,X,O,X,X,X,X,X,X
ITJZOLS,X,O,X,X,O,O,X,X
ITJZOSL,X,O,X,X,O,O,X,X
ITJOLSZ,X,O,X,O,X,X,X,X
ITJOLZS,X,O,X,X,O,O,X,X
ITJOSLZ,X,O,X,O,X,X,X,X
ITJOSZL,X,O,X,X,O,O,X,X
ITJOZLS,X,O,X,X,O,O,X,X
ITJOZSL,X,O,X,X,O,O,X,X
ITSLJZO,X,O,O,X,X,X,X,X
ITSLJOZ,X,O,X,X,X,X,X,X
ITSLZJO,X,O,O,X,X,X,X,X
ITSLZOJ,X,O,O,X,X,X,X,X
ITSLOJZ,X,O,X,X,X,X,X,X
ITSLOZJ,X,O,X,X,X,X,X,X
ITSJLZO,X,O,O,X,X,X,X,X
ITSJLOZ,X,O,X,X,X,X,X,X
ITSJZLO,X,O,X,X,X,X,X,X
ITSJZOL,X,O,X,X,X,X,X,X
ITSJOLZ,X,O,X,X,X,X,X,X
ITSJOZL,X,O,X,X,O,O,X,X
ITSZLJO,X,O,X,X,X,X,X,X
ITSZLOJ,X,O,X,X,X,X,X,X
ITSZJLO,X,O,X,X,X,X,X,X
ITSZJOL,X,O,X,X,X,X,X,X
ITSZOLJ,X,O,X,X,X,X,X,X
ITSZOJL,X,O,X,X,X,X,X,X
ITSOLJZ,X,O,X,X,X,X,X,X
ITSOLZJ,X,O,X,X,X,X,X,X
ITSOJLZ,X,O,X,X,X,X,X,X
ITSOJZL,X,O,X,X,O,O,X,X
ITSOZLJ,X,O,X,X,O,O,X,X
ITSOZJL,X,O,X,X,O,O,X,X
ITZLJSO,X,O,X,X,X,X,X,X
ITZLJOS,X,O,X,X,X,X,X,X
ITZLSJO,X,O,X,X,X,X,X,X
ITZLSOJ,X,O,X,X,X,X,X,X
ITZLOJS,X,O,X,X,X,X,X,X
ITZLOSJ,X,O,X,X,X,X,X,X
ITZJLSO,X,O,X,X,X,X,X,X
ITZJLOS,X,O,X,X,X,X,X,X
ITZJSLO,X,O,X,X,X,X,X,X
ITZJSOL,X,O,X,X,X,X,X,X
ITZJOLS,X,O,X,X,O,O,X,X
ITZJOSL,X,O,X,X,O,O,X,X
ITZSLJO,X,O,X,X,X,X,X,X
ITZSLOJ,X,O,X,X,X,X,X,X
ITZSJLO,X,O,X,X,X,X,X,X
ITZSJOL,X,O,X,X,X,X,X,X
ITZSOLJ,X,O,X,X,X,X,X,X
ITZSOJL,X,O,X,X,X,X,X,X
ITZOLJS,X,O,X,X,O,O,X,X
ITZOLSJ,X,O,X,X,O,O,X,X
ITZOJLS,X,O,X,X,O,O,X,X
ITZOJSL,X,O,X,X,O,O,X,X
ITZOSLJ,X,O,X,X,O,O,X,X
ITZOSJL,X,O,X,X,O,O,X,X
ITOLJSZ,X,O,X,O,X,X,X,X
ITOLJZS,X,O,X,X,O,O,X,X
ITOLSJZ,X,O,X,O,X,X,X,X
ITOLSZJ,X,O,X,O,X,X,X,X
ITOLZJS,X,O,X,X,O,O,X,X
ITOLZSJ,X,O,X,X,O,O,X,X
ITOJLSZ,X,O,X,O,X,X,X,X
ITOJLZS,X,O,X,X,O,O,X,X
ITOJSLZ,X,O,X,O,X,X,X,X
ITOJSZL,X,O,X,X,O,O,X,X
ITOJZLS,X,O,X,X,O,O,X,X
ITOJZSL,X,O,X,X,O,O,X,X
ITOSLJZ,X,O,X,O,X,X,X,X
ITOSLZJ,X,O,X,O,X,X,X,X
ITOSJLZ,X,O,X,O,X,X,X,X
ITOSJZL,X,O,X,X,O,O,X,X
ITOSZLJ,X,O,X,X,O,O,X,X
ITOSZJL,X,O,X,X,O,O,X,X
ITOZLJS,X,O,X,X,O,O,X,X
ITOZLSJ,X,O,X,X,O,O,X,X
ITOZJLS,X,O,X,X,O,O,X,X
ITOZJSL,X,O,X,X,O,O,X,X
ITOZSLJ,X,O,X,X,O,O,X,X
ITOZSJL,X,O,X,X,O,O,X,X
ILTJSZO,O,O,O,X,X,X,X,X
ILTJSOZ,O,O,X,X,X,X,X,O
ILTJZSO,O,O,O,X,X,X,X,X
ILTJZOS,O,O,O,X,X,X,X,X
ILTJOSZ,O,O,X,O,X,X,X,X
ILTJOZS,O,O,X,X,O,X,X,X
ILTSJZO,O,O,O,X,X,X,X,X
ILTSJOZ,O,O,X,X,X,X,X,O
ILTSZJO,X,O,O,X,X,X,X,X
ILTSZOJ,X,O,O,X,X,X,X,X
ILTSOJZ,X,O,X,X,X,X,X,X
ILTSOZJ,X,O,X,X,X,X,X,X
ILTZJSO,O,O,O,X,X,X,X,X
ILTZJOS,O,O,O,X,X,X,X,X
ILTZSJO,O,O,O,X,X,X,X,X
ILTZSOJ,O,O,O,X,X,X,X,X
ILTZOJS,O,O,O,X,X,X,X,X
ILTZOSJ,O,O,O,X,X,X,X,X
ILTOJSZ,O,O,X,O,X,X,X,X
ILTOJZS,O,O,X,X,O,X,X,X
ILTOSJZ,O,O,X,O,X,X,X,X
ILTOSZJ,O,O,X,O,X,X,X,X
ILTOZJS,O,O,X,X,O,X,X,X
ILTOZSJ,O,O,X,X,O,X,X,X
ILJTSZO,O,O,O,X,X,X,X,X
ILJTSOZ,O,O,X,X,X,X,X,O
ILJTZSO,O,O,O,X,X,X,X,X
ILJTZOS,O,O,O,X,X,X,X,X
ILJTOSZ,O,O,X,O,X,X,X,X
ILJTOZS,O,O,X,X,O,X,X,X
ILJSTZO,O,O,O,X,X,X,X,X
ILJSTOZ,O,O,X,X,X,X,X,O
ILJSZTO,O,X,O,X,X,X,O,X
ILJSZOT,O,X,O,X,X,X,X,X
ILJSOTZ,O,X,X,O,X,X,X,X
ILJSOZT,O,X,O,O,X,X,X,X
ILJZTSO,O,X,O,X,X,X,O,X
ILJZTOS,O,X,O,X,X,X,O,X
ILJZSTO,O,X,O,X,X,X,O,X
ILJZSOT,O,X,O,X,X,X,X,X
ILJZOTS,O,X,O,X,X,X,X,X
ILJZOST,O,X,O,O,X,X,X,X
ILJOTSZ,O,X,X,O,X,X,X,X
ILJOTZS,O,X,X,X,O,X,X,X
ILJOSTZ,O,X,X,O,X,X,X,X
ILJOSZT,O,X,O,O,X,X,X,X
ILJOZTS,O,X,O,X,O,X,X,X
ILJOZST,O,X,O,O,X,X,X,X
ILSTJZO,O,O,O,X,X,X,X,X
ILSTJOZ,O,O,X,X,X,X,X,O
ILSTZJO,X,O,O,X,X,X,X,X
ILSTZOJ,X,O,O,X,X,X,X,X
ILSTOJZ,X,O,X,X,X,X,X,X
ILSTOZJ,X,O,X,X,X,X,X,X
ILSJTZO,O,O,O,X,X,X,X,X
ILSJTOZ,O,O,X,X,X,X,X,O
ILSJZTO,O,X,O,X,X,X,O,X
ILSJZOT,O,X,O,X,X,X,X,X
ILSJOTZ,O,X,X,O,X,X,X,X
ILSJOZT,O,X,O,O,X,X,X,X
ILSZTJO,O,X,O,X,X,X,O,X
ILSZTOJ,O,X,O,X,X,X,O,X
ILSZJTO,O,X,O,X,X,X,O,X
ILSZJOT,O,X,O,X,X,X,X,X
ILSZOTJ,X,X,O,X,X,X,X,X
ILSZOJT,O,X,O,X,X,X,X,X
ILSOTJZ,O,X,X,O,X,X,X,X
ILSOTZJ,O,X,X,O,X,X,X,X
ILSOJTZ,O,X,X,O,X,X,X,X
ILSOJZT,O,X,O,O,X,X,X,X
ILSOZTJ,O,X,O,O,X,X,X,X
ILSOZJT,O,X,O,O,X,X,X,X
ILZTJSO,O,X,O,X,X,X,O,X
ILZTJOS,O,X,O,X,X,X,O,X
ILZTSJO,O,X,O,X,X,X,O,X
ILZTSOJ,O,X,O,X,X,X,O,X
ILZTOJS,O,X,O,X,X,X,O,X
ILZTOSJ,O,X,O,X,X,X,O,X
ILZJTSO,O,X,O,X,X,X,O,X
ILZJTOS,O,X,O,X,X,X,O,X
ILZJSTO,O,X,O,X,X,X,O,X
ILZJSOT,O,X,O,X,X,X,X,X
ILZJOTS,O,X,O,X,X,X,X,X
ILZJOST,O,X,O,O,X,X,X,X
ILZSTJO,O,X,O,X,X,X,O,X
ILZSTOJ,O,X,O,X,X,X,O,X
ILZSJTO,O,X,O,X,X,X,O,X
ILZSJOT,O,X,O,X,X,X,X,X
ILZSOTJ,X,X,O,X,X,X,X,X
ILZSOJT,O,X,O,X,X,X,X,X
ILZOTJS,O,X,O,X,X,X,X,X
ILZOTSJ,O,X,O,X,X,X,X,X
ILZOJTS,O,X,O,X,X,X,X,X
ILZOJST,O,X,O,O,X,X,X,X
ILZOSTJ,O,X,O,O,X,X,X,X
ILZOSJT,O,X,O,O,X,X,X,X
ILOTJSZ,O,X,X,O,X,X,X,X
ILOTJZS,O,X,X,X,O,X,X,X
ILOTSJZ,O,X,X,O,X,X,X,X
ILOTSZJ,O,X,X,O,X,X,X,X
ILOTZJS,O,X,X,X,O,X,X,X
ILOTZSJ,O,X,X,X,O,X,X,X
ILOJTSZ,O,X,X,O,X,X,X,X
ILOJTZS,O,X,X,X,O,X,X,X
ILOJSTZ,O,X,X,O,X,X,X,X
ILOJSZT,O,X,O,O,X,X,X,X
ILOJZTS,O,X,O,X,O,X,X,X
ILOJZST,O,X,O,O,X,X,X,X
ILOSTJZ,O,X,X,O,X,X,X,X
ILOSTZJ,O,X,X,O,X,X,X,X
ILOSJTZ,O,X,X,O,X,X,X,X
ILOSJZT,O,X,O,O,X,X,X,X
ILOSZTJ,O,X,O,O,X,X,X,X
ILOSZJT,O,X,O,O,X,X,X,X
ILOZTJS,O,X,O,X,O,X,X,X
ILOZTSJ,O,X,O,X,O,X,X,X
ILOZJTS,O,X,O,X,O,X,X,X
ILOZJST,O,X,O,O,X,X,X,X
ILOZSTJ,O,X,O,O,X,X,X,X
ILOZSJT,O,X,O,O,X,X,X,X
IJTLSZO,X,O,O,X,X,X,X,X
IJTLSOZ,X,O,X,X,X,X,X,O
IJTLZSO,X,O,O,X,X,X,X,X
IJTLZOS,X,O,O,X,X,X,X,X
IJTLOSZ,X,O,X,O,X,X,X,X
IJTLOZS,X,O,X,X,O,O,X,X
IJTSLZO,X,O,O,X,X,X,X,X
IJTSLOZ,X,O,X,X,X,X,X,X
IJTSZLO,X,O,X,X,X,X,X,X
IJTSZOL,X,O,X,X,X,X,X,X
IJTSOLZ,X,O,X,X,X,X,X,X
IJTSOZL,X,O,X,X,O,O,X,X
IJTZLSO,X,O,X,X,X,X,X,X
IJTZLOS,X,O,X,X,X,X,X,X
IJTZSLO,X,O,X,X,X,X,X,X
IJTZSOL,X,O,X,X,X,X,X,X
IJTZOLS,X,O,X,X,O,O,X,X
IJTZOSL,X,O,X,X,O,O,X,X
IJTOLSZ,X,O,X,O,X,X,X,X
IJTOLZS,X,O,X,X,O,O,X,X
IJTOSLZ,X,O,X,O,X,X,X,X
IJTOSZL,X,O,X,X,O,O,X,X
IJTOZLS,X,O,X,X,O,O,X,X
IJTOZSL,X,O,X,X,O,O,X,X
IJLTSZO,O,O,O,X,X,X,X,X
IJLTSOZ,O,O,X,X,X,X,X,O
IJLTZSO,O,O,O,X,X,X,X,X
IJLTZOS,O,O,O,X,X,X,X,X
IJLTOSZ,O,O,X,O,X,X,X,X
IJLTOZS,O,O,X,X,O,X,X,X
IJLSTZO,O,O,O,X,X,X,X,X
IJLSTOZ,O,O,X,X,X,X,X,O
IJLSZTO,O,X,O,X,X,X,O,X
IJLSZOT,O,X,O,X,X,X,X,X
IJLSOTZ,O,X,X,O,X,X,X,X
IJLSOZT,O,X,O,O,X,X,X,X
IJLZTSO,O,X,O,X,X,X,O,X
IJLZTOS,O,X,O,X,X,X,O,X
IJLZSTO,O,X,O,X,X,X,O,X
IJLZSOT,O,X,O,X,X,X,X,X
IJLZOTS,O,X,O,X,X,X,X,X
IJLZOST,O,X,O,O,X,X,X,X
IJLOTSZ,O,X,X,O,X,X,X,X
IJLOTZS,O,X,X,X,O,X,X,X
IJLOSTZ,O,X,X,O,X,X,X,X
IJLOSZT,O,X,O,O,X,X,X,X
IJLOZTS,O,X,O,X,O,X,X,X
IJLOZST,O,X,O,O,X,X,X,X
IJSTLZO,X,O,O,X,X,X,X,X
IJSTLOZ,X,O,X,X,X,X,X,X
IJSTZLO,X,O,X,X,X,X,X,X
IJSTZOL,X,O,X,X,X,X,X,X
IJSTOLZ,X,O,X,X,X,X,X,X
IJSTOZL,X,O,X,X,X,X,X,X
IJSLTZO,O,O,O,X,X,X,X,X
IJSLTOZ,O,O,X,X,X,X,X,X
IJSLZTO,O,X,O,X,X,X,O,X
IJSLZOT,O,X,O,X,X,X,X,X
IJSLOTZ,O,X,X,X,X,X,X,X
IJSLOZT,O,X,O,X,X,X,X,X
IJSZTLO,O,O,X,X,X,X,O,X
IJSZTOL,O,O,X,X,X,X,O,X
IJSZLTO,O,X,O,X,X,X,O,X
IJSZLOT,O,X,O,X,X,X,X,X
IJSZOTL,O,X,X,X,X,X,X,X
IJSZOLT,O,X,X,X,X,X,X,X
IJSOTLZ,O,O,X,X,X,X,X,X
IJSOTZL,O,O,X,X,X,X,X,X
IJSOLTZ,O,X,X,X,X,X,X,X
IJSOLZT,O,X,O,X,X,X,X,X
IJSOZTL,O,X,X,X,X,X,X,X
IJSOZLT,O,X,X,X,X,X,X,X
IJZTLSO,O,O,X,X,X,X,O,X
IJZTLOS,O,O,X,X,X,X,O,X
IJZTSLO,O,O,X,X,X,X,O,X
IJZTSOL,O,O,X,X,X,X,O,X
IJZTOLS,O,O,X,X,X,X,X,X
IJZTOSL,O,O,X,X,X,X,O,X
IJZLTSO,O,X,O,X,X,X,O,X
IJZLTOS,O,X,O,X,X,X,O,X
IJZLSTO,O,X,O,X,X,X,O,X
IJZLSOT,O,X,O,X,X,X,X,X
IJZLOTS,O,X,O,X,X,X,X,X
IJZLOST,O,X,O,X,X,X,X,X
IJZSTLO,O,O,X,X,X,X,O,X
IJZSTOL,O,O,X,X,X,X,O,X
IJZSLTO,O,X,O,X,X,X,O,X
IJZSLOT,O,X,O,X,X,X,X,X
IJZSOTL,O,X,X,X,X,X,X,X
IJZSOLT,O,X,X,X,X,X,X,X
IJZOTLS,O,X,X,X,X,X,X,X
IJZOTSL,O,X,X,X,X,X,X,X
IJZOLTS,O,X,X,X,X,X,X,X
IJZOLST,O,X,X,X,X,X,X,X
IJZOSTL,O,X,X,X,X,X,X,X
IJZOSLT,O,X,X,X,X,X,X,X
IJOTLSZ,O,O,X,O,X,X,X,X
IJOTLZS,O,O,X,X,O,O,X,X
IJOTSLZ,O,O,X,O,X,X,X,X
IJOTSZL,O,O,X,X,O,O,X,X
IJOTZLS,X,O,X,X,O,O,X,X
IJOTZSL,O,O,X,X,O,O,X,X
IJOLTSZ,O,X,X,O,X,X,X,X
IJOLTZS,O,X,X,X,O,X,X,X
IJOLSTZ,O,X,X,O,X,X,X,X
IJOLSZT,O,X,O,O,X,X,X,X
IJOLZTS,O,X,O,X,O,X,X,X
IJOLZST,O,X,O,O,X,X,X,X
IJOSTLZ,O,O,X,O,X,X,X,X
IJOSTZL,O,O,X,X,X,X,X,X
IJOSLTZ,O,X,X,O,X,X,X,X
IJOSLZT,O,X,O,O,X,X,X,X
IJOSZTL,O,X,X,X,X,X,X,X
IJOSZLT,O,X,X,X,X,X,X,X
IJOZTLS,O,X,X,X,O,O,X,X
IJOZTSL,O,X,X,X,O,O,X,X
IJOZLTS,O,X,X,X,O,X,X,X
IJOZLST,O,X,X,X,X,X,X,X
IJOZSTL,O,X,X,X,X,O,X,X
IJOZSLT,O,X,X,X,X,X,X,X
ISTLJZO,X,O,O,X,X,X,X,X
ISTLJOZ,X,O,X,X,X,X,X,X
ISTLZJO,X,O,O,X,X,X,X,X
ISTLZOJ,X,O,O,X,X,X,X,X
ISTLOJZ,X,O,X,X,X,X,X,X
ISTLOZJ,X,O,X,X,X,X,X,X
ISTJLZO,X,O,O,X,X,X,X,X
ISTJLOZ,X,O,X,X,X,X,X,X
ISTJZLO,X,O,X,X,X,X,X,X
ISTJZOL,X,O,X,X,X,X,X,X
ISTJOLZ,X,O,X,X,X,X,X,X
ISTJOZL,X,O,X,X,X,X,X,X
ISTZLJO,X,O,X,X,X,X,X,X
ISTZLOJ,X,O,X,X,X,X,X,X
ISTZJLO,X,O,X,X,X,X,X,X
ISTZJOL,X,O,X,X,X,X,X,X
ISTZOLJ,X,O,X,X,X,X,X,X
ISTZOJL,X,O,X,X,X,X,X,X
ISTOLJZ,X,O,X,X,X,X,X,X
ISTOLZJ,X,O,X,X,X,X,X,X
ISTOJLZ,X,O,X,X,X,X,X,X
ISTOJZL,X,O,X,X,X,X,X,X
ISTOZLJ,X,O,X,X,X,X,X,X
ISTOZJL,X,O,X,X,X,X,X,X
ISLTJZO,O,O,O,X,X,X,X,X
ISLTJOZ,O,O,X,X,X,X,X,X
ISLTZJO,X,O,O,X,X,X,X,X
ISLTZOJ,X,O,O,X,X,X,X,X
ISLTOJZ,X,O,X,X,X,X,X,X
ISLTOZJ,X,O,X,X,X,X,X,X
ISLJTZO,O,O,O,X,X,X,X,X
ISLJTOZ,O,O,X,X,X,X,X,X
ISLJZTO,O,X,O,X,X,X,O,X
