sequence,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeC8IvhEZi?BGeBXhBziBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeuAJvhEch?BZiBqiBTjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeG8IvhEZi?BCeBzgBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeuAJvhEch?BZiBCeBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeC8IvhEZi?BuiBcjBXhBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeR8IvhEui?BcjBzgBanBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeqAJvhETc?BxdBOnBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeqAJvhETc?BZiBuiBcjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeWBJvhEZi?BqiBTeBXhBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JecBJvhEZi?BqiBTeB1qBuqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeSBJvhExd?BOnBXjBzgBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeSBJvhEZi?BuiBcjBzgBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JecBJvhEZi?BCeBXjB1qBuqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeC8IvhETe?BXhBOnB0iBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeuAJvhEch?BZiBSjBziBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeC8IvhETe?BXhB0iBOnBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeSBJvhExi?BzgBOnBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeWDJvhERh?BzgBanBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeSBJvhEZi?BWjBzgBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeWBJvhEZi?BSjBXhBziBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeZCJvhEqi?BTeB3lBcmBuqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeR8IvhEWj?BzgBanBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeT8IvhEcj?BOnByqB5lBlsB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeWBJvhEcj?BTiBXhBinBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeuCJvhEcj?BRhBzgBanBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeqAJvhETc?BZiBWjBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeZCJvhEGe?BziB3lBFmBCrB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeZCJvhEui?BcjB3lBFmBCrB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeqAJvhETc?BxiBOnBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeqAJvhEcj?BxhB3iBmmBlqB
JITOZLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JITOZSL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JILTSZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JILTSOZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X
JILTZSO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JILTZOS,X,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X
JILTOSZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X
JILTOZS,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X
JILSTZO,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JILSTOZ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JILSZTO,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JILSZOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
JILSOTZ,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JILSOZT,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
JILZTSO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JILZTOS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JILZSTO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JILZSOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JILZOTS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JILZOST,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JILOTSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JILOTZS,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JILOSTZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JILOSZT,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
JILOZTS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JILOZST,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JISTLZO,O,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JISTLOZ,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JISTZLO,O,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JISTZOL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JISTOLZ,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JISTOZL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JISLTZO,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JISLTOZ,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JISLZTO,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JISLZOT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JISLOTZ,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JISLOZT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JISZTLO,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JISZTOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JISZLTO,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JISZLOT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISZOTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JISZOLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISOTLZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JISOTZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JISOLTZ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JISOLZT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISOZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JISOZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZTLSO,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JIZTLOS,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X
JIZTSLO,O,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X
JIZTSOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X
JIZTOLS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JIZTOSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JIZLTSO,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JIZLTOS,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
JIZLSTO,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X
JIZLSOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JIZLOTS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
JIZLOST,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JIZSTLO,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X
JIZSTOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X
JIZSLTO,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X
JIZSLOT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZSOTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JIZSOLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZOTLS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JIZOTSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JIZOLTS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JIZOLST,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZOSTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JIZOSLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JIOTLSZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JIOTLZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JIOTSLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JIOTSZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JIOTZLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIOTZSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JIOLTSZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JIOLTZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JIOLSTZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
JIOLSZT,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JIOLZTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOLZST,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JIOSTLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JIOSTZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JIOSLTZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JIOSLZT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOSZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JIOSZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOZTLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOZTSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOZLTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOZLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOZSTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JIOZSLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLTISZO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JLTISOZ,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JLTIZSO,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JLTIZOS,X,O,X,X,X,O,O,X,O,O,X,X,X,X,O,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JLTIOSZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X
JLTIOZS,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O,O,O,X,O,O,X,X,O,X,X,X,X
JLTSIZO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JLTSIOZ,O,X,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JLTSZIO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTSZOI,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTSOIZ,O,X,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JLTSOZI,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLTZISO,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JLTZIOS,X,O,X,X,X,O,O,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X
JLTZSIO,X,O,X,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTZSOI,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTZOIS,X,O,X,X,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
JLTZOSI,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLTOISZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X
JLTOIZS,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X,X
JLTOSIZ,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JLTOSZI,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLTOZIS,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
JLTOZSI,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLITSZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JLITSOZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X
JLITZSO,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JLITZOS,X,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X
JLITOSZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X
JLITOZS,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X
JLISTZO,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JLISTOZ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JLISZTO,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JLISZOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
JLISOTZ,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JLISOZT,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
JLIZTSO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JLIZTOS,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JLIZSTO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JLIZSOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLIZOTS,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLIZOST,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLIOTSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JLIOTZS,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JLIOSTZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JLIOSZT,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
JLIOZTS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLIOZST,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
JLSTIZO,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTIOZ,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTZIO,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTZOI,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTOIZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLSTOZI,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLSITZO,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLSITOZ,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JLSIZTO,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLSIZOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
JLSIOTZ,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JLSIOZT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
JLSZTIO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZTOI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZITO,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZIOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSZOTI,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSZOIT,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLSOTIZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOTZI,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOITZ,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOIZT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JLSOZTI,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOZIT,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLZTISO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTIOS,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLZTSIO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTSOI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTOIS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JLZTOSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLZITSO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZITOS,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JLZISTO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JLZISOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
