sequence,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?BOhB8hB5iBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?B2hB5iB3hBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?B5iBXmB8mBOrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhE2g?B5iBXmB8mBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhEFc?B5iBOrB/qB8rB
TJIZOSL,O,X,X,X,X
TJIOLSZ,X,O,X,X,X
TJIOLZS,O,O,X,X,X
TJIOSLZ,X,O,X,X,X
TJIOSZL,X,X,X,X,X
TJIOZLS,O,O,X,X,X
TJIOZSL,O,X,X,X,X
TJLISZO,X,X,X,X,O
TJLISOZ,X,O,X,X,X
TJLIZSO,O,X,X,X,O
TJLIZOS,O,O,X,X,X
TJLIOSZ,X,O,X,X,X
TJLIOZS,O,O,X,X,X
TJLSIZO,X,X,X,X,X
TJLSIOZ,X,O,X,X,X
TJLSZIO,X,X,X,X,X
TJLSZOI,X,X,X,X,X
TJLSOIZ,X,O,X,X,X
TJLSOZI,X,X,X,X,X
TJLZISO,O,X,X,X,X
TJLZIOS,O,O,X,X,X
TJLZSIO,O,X,X,X,X
TJLZSOI,O,X,X,X,X
TJLZOIS,O,O,X,X,X
TJLZOSI,O,X,X,X,X
TJLOISZ,X,O,X,X,X
TJLOIZS,O,O,X,X,X
TJLOSIZ,X,O,X,X,X
TJLOSZI,X,X,X,X,X
TJLOZIS,O,O,X,X,X
TJLOZSI,O,X,X,X,X
TJSILZO,X,X,X,X,X
TJSILOZ,X,O,X,X,X
TJSIZLO,X,X,X,X,X
TJSIZOL,X,X,X,X,X
TJSIOLZ,X,O,X,X,X
TJSIOZL,X,X,X,X,X
TJSLIZO,X,X,X,X,X
TJSLIOZ,X,O,X,X,X
TJSLZIO,X,X,X,X,X
TJSLZOI,X,X,X,X,X
TJSLOIZ,X,O,X,X,X
TJSLOZI,X,X,X,X,X
TJSZILO,X,X,X,X,X
TJSZIOL,X,X,X,X,X
TJSZLIO,X,X,X,X,X
TJSZLOI,X,X,X,X,X
TJSZOIL,X,X,X,X,X
TJSZOLI,X,X,X,X,X
TJSOILZ,X,O,X,X,X
TJSOIZL,X,X,X,X,X
TJSOLIZ,X,O,X,X,X
TJSOLZI,X,X,X,X,X
TJSOZIL,X,X,X,X,X
TJSOZLI,X,X,X,X,X
TJZILSO,O,X,X,X,X
TJZILOS,O,O,X,X,X
TJZISLO,O,X,X,X,X
TJZISOL,O,X,X,X,X
TJZIOLS,O,O,X,X,X
TJZIOSL,O,X,X,X,X
TJZLISO,O,X,X,X,X
TJZLIOS,O,O,X,X,X
TJZLSIO,O,X,X,X,X
TJZLSOI,O,X,X,X,X
TJZLOIS,O,O,X,X,X
TJZLOSI,O,X,X,X,X
TJZSILO,O,X,X,X,X
TJZSIOL,O,X,X,X,X
TJZSLIO,O,X,X,X,X
TJZSLOI,O,X,X,X,X
TJZSOIL,O,X,X,X,X
TJZSOLI,O,X,X,X,X
TJZOILS,O,O,X,X,X
TJZOISL,O,X,X,X,X
TJZOLIS,O,O,X,X,X
TJZOLSI,O,X,X,X,X
TJZOSIL,O,X,X,X,X
TJZOSLI,O,X,X,X,X
TJOILSZ,X,O,X,X,X
TJOILZS,O,O,X,X,X
TJOISLZ,X,O,X,X,X
TJOISZL,X,X,X,X,X
TJOIZLS,O,O,X,X,X
TJOIZSL,O,X,X,X,X
TJOLISZ,X,O,X,X,X
TJOLIZS,O,O,X,X,X
TJOLSIZ,X,O,X,X,X
TJOLSZI,X,X,X,X,X
TJOLZIS,O,O,X,X,X
TJOLZSI,O,X,X,X,X
TJOSILZ,X,O,X,X,X
TJOSIZL,X,X,X,X,X
TJOSLIZ,X,O,X,X,X
TJOSLZI,X,X,X,X,X
TJOSZIL,X,X,X,X,X
TJOSZLI,X,X,X,X,X
TJOZILS,O,O,X,X,X
TJOZISL,O,X,X,X,X
TJOZLIS,O,O,X,X,X
TJOZLSI,O,X,X,X,X
TJOZSIL,O,X,X,X,X
TJOZSLI,O,X,X,X,X
TSILJZO,X,X,X,O,X
TSILJOZ,X,O,X,X,X
TSILZJO,O,X,O,O,X
TSILZOJ,O,X,O,X,X
TSILOJZ,X,O,X,X,X
TSILOZJ,O,X,O,X,X
TSIJLZO,X,X,X,O,X
TSIJLOZ,X,O,X,X,X
TSIJZLO,X,X,X,X,X
TSIJZOL,X,X,X,X,X
TSIJOLZ,X,O,X,X,X
TSIJOZL,X,X,X,X,X
TSIZLJO,O,X,X,X,X
TSIZLOJ,O,X,X,X,X
TSIZJLO,O,X,X,X,X
TSIZJOL,O,X,X,X,X
TSIZOLJ,O,X,X,X,X
TSIZOJL,O,X,X,X,X
TSIOLJZ,X,O,X,X,X
TSIOLZJ,O,X,O,X,X
TSIOJLZ,X,O,X,X,X
TSIOJZL,X,X,X,X,X
TSIOZLJ,O,X,X,X,X
TSIOZJL,O,X,X,X,X
TSLIJZO,X,X,X,O,X
TSLIJOZ,X,O,X,X,X
TSLIZJO,O,X,O,O,X
TSLIZOJ,O,X,O,X,X
TSLIOJZ,X,O,X,X,X
TSLIOZJ,O,X,O,X,X
TSLJIZO,X,X,X,O,X
TSLJIOZ,X,O,X,X,X
TSLJZIO,X,X,X,X,X
TSLJZOI,X,X,X,X,X
TSLJOIZ,X,O,X,X,X
TSLJOZI,X,X,X,X,X
TSLZIJO,O,X,X,X,X
TSLZIOJ,O,X,X,X,X
TSLZJIO,O,X,X,X,X
TSLZJOI,O,X,X,X,X
TSLZOIJ,O,X,X,X,X
TSLZOJI,O,X,X,X,X
TSLOIJZ,X,O,X,X,X
TSLOIZJ,O,X,O,X,X
TSLOJIZ,X,O,X,X,X
TSLOJZI,X,X,X,X,X
TSLOZIJ,O,X,X,X,X
TSLOZJI,O,X,X,X,X
TSJILZO,X,X,X,O,X
TSJILOZ,X,O,X,X,X
TSJIZLO,X,X,X,X,X
TSJIZOL,X,X,X,X,X
TSJIOLZ,X,O,X,X,X
TSJIOZL,X,X,X,X,X
TSJLIZO,X,X,X,O,X
TSJLIOZ,X,O,X,X,X
TSJLZIO,X,X,X,X,X
TSJLZOI,X,X,X,X,X
TSJLOIZ,X,O,X,X,X
TSJLOZI,X,X,X,X,X
TSJZILO,X,X,X,X,X
TSJZIOL,X,X,X,X,X
TSJZLIO,X,X,X,X,X
TSJZLOI,X,X,X,X,X
TSJZOIL,X,X,X,X,X
TSJZOLI,X,X,X,X,X
TSJOILZ,X,O,X,X,X
TSJOIZL,X,X,X,X,X
TSJOLIZ,X,O,X,X,X
TSJOLZI,X,X,X,X,X
TSJOZIL,X,X,X,X,X
TSJOZLI,X,X,X,X,X
TSZILJO,O,X,X,X,X
TSZILOJ,O,X,X,X,X
TSZIJLO,O,X,X,X,X
TSZIJOL,O,X,X,X,X
TSZIOLJ,O,X,X,X,X
TSZIOJL,O,X,X,X,X
TSZLIJO,O,X,X,X,X
TSZLIOJ,O,X,X,X,X
TSZLJIO,O,X,X,X,X
TSZLJOI,O,X,X,X,X
TSZLOIJ,O,X,X,X,X
TSZLOJI,O,X,X,X,X
TSZJILO,O,X,X,X,X
TSZJIOL,O,X,X,X,X
TSZJLIO,O,X,X,X,X
TSZJLOI,O,X,X,X,X
TSZJOIL,O,X,X,X,X
TSZJOLI,O,X,X,X,X
TSZOILJ,O,X,X,X,X
TSZOIJL,O,X,X,X,X
TSZOLIJ,O,X,X,X,X
TSZOLJI,O,X,X,X,X
TSZOJIL,O,X,X,X,X
TSZOJLI,O,X,X,X,X
TSOILJZ,X,O,X,X,X
TSOILZJ,O,X,O,X,X
TSOIJLZ,X,O,X,X,X
TSOIJZL,X,X,X,X,X
TSOIZLJ,O,X,X,X,X
TSOIZJL,O,X,X,X,X
TSOLIJZ,X,O,X,X,X
TSOLIZJ,O,X,O,X,X
TSOLJIZ,X,O,X,X,X
TSOLJZI,X,X,X,X,X
TSOLZIJ,O,X,X,X,X
TSOLZJI,O,X,X,X,X
TSOJILZ,X,O,X,X,X
TSOJIZL,X,X,X,X,X
TSOJLIZ,X,O,X,X,X
TSOJLZI,X,X,X,X,X
TSOJZIL,X,X,X,X,X
TSOJZLI,X,X,X,X,X
TSOZILJ,O,X,X,X,X
TSOZIJL,O,X,X,X,X
TSOZLIJ,O,X,X,X,X
TSOZLJI,O,X,X,X,X
TSOZJIL,O,X,X,X,X
TSOZJLI,O,X,X,X,X
TZILJSO,O,X,X,X,X
TZILJOS,O,O,X,X,X
TZILSJO,O,X,X,X,X
TZILSOJ,O,X,X,X,X
TZILOJS,O,O,X,X,X
TZILOSJ,O,X,X,X,X
TZIJLSO,O,X,X,X,X
TZIJLOS,O,O,X,X,X
TZIJSLO,O,X,X,X,X
TZIJSOL,O,X,X,X,X
TZIJOLS,O,O,X,X,X
TZIJOSL,O,X,X,X,X
TZISLJO,O,X,X,X,X
