sequence,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?BOhB8hB5iBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?B2hB5iB3hBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?B5iBXmB8mBOrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhE2g?B5iBXmB8mBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhEFc?B5iBOrB/qB8rB
JTLZSOI,O,X,X,X,X
JTLZOIS,O,O,X,X,X
JTLZOSI,O,X,X,X,X
JTLOISZ,X,O,X,X,X
JTLOIZS,O,O,X,X,X
JTLOSIZ,X,O,X,X,X
JTLOSZI,X,X,X,X,X
JTLOZIS,O,O,X,X,X
JTLOZSI,O,X,X,X,X
JTSILZO,X,X,X,X,X
JTSILOZ,X,O,X,X,X
JTSIZLO,X,X,X,X,X
JTSIZOL,X,X,X,X,X
JTSIOLZ,X,O,X,X,X
JTSIOZL,X,X,X,X,X
JTSLIZO,X,X,X,X,X
JTSLIOZ,X,O,X,X,X
JTSLZIO,X,X,X,X,X
JTSLZOI,X,X,X,X,X
JTSLOIZ,X,O,X,X,X
JTSLOZI,X,X,X,X,X
JTSZILO,X,X,X,X,X
JTSZIOL,X,X,X,X,X
JTSZLIO,X,X,X,X,X
JTSZLOI,X,X,X,X,X
JTSZOIL,X,X,X,X,X
JTSZOLI,X,X,X,X,X
JTSOILZ,X,O,X,X,X
JTSOIZL,X,X,X,X,X
JTSOLIZ,X,O,X,X,X
JTSOLZI,X,X,X,X,X
JTSOZIL,X,X,X,X,X
JTSOZLI,X,X,X,X,X
JTZILSO,O,X,X,X,X
JTZILOS,O,O,X,X,X
JTZISLO,O,X,X,X,X
JTZISOL,O,X,X,X,X
JTZIOLS,O,O,X,X,X
JTZIOSL,O,X,X,X,X
JTZLISO,O,X,X,X,X
JTZLIOS,O,O,X,X,X
JTZLSIO,O,X,X,X,X
JTZLSOI,O,X,X,X,X
JTZLOIS,O,O,X,X,X
JTZLOSI,O,X,X,X,X
JTZSILO,O,X,X,X,X
JTZSIOL,O,X,X,X,X
JTZSLIO,O,X,X,X,X
JTZSLOI,O,X,X,X,X
JTZSOIL,O,X,X,X,X
JTZSOLI,O,X,X,X,X
JTZOILS,O,O,X,X,X
JTZOISL,O,X,X,X,X
JTZOLIS,O,O,X,X,X
JTZOLSI,O,X,X,X,X
JTZOSIL,O,X,X,X,X
JTZOSLI,O,X,X,X,X
JTOILSZ,X,O,X,X,X
JTOILZS,O,O,X,X,X
JTOISLZ,X,O,X,X,X
JTOISZL,X,X,X,X,X
JTOIZLS,O,O,X,X,X
JTOIZSL,O,X,X,X,X
JTOLISZ,X,O,X,X,X
JTOLIZS,O,O,X,X,X
JTOLSIZ,X,O,X,X,X
JTOLSZI,X,X,X,X,X
JTOLZIS,O,O,X,X,X
JTOLZSI,O,X,X,X,X
JTOSILZ,X,O,X,X,X
JTOSIZL,X,X,X,X,X
JTOSLIZ,X,O,X,X,X
JTOSLZI,X,X,X,X,X
JTOSZIL,X,X,X,X,X
JTOSZLI,X,X,X,X,X
JTOZILS,O,O,X,X,X
JTOZISL,O,X,X,X,X
JTOZLIS,O,O,X,X,X
JTOZLSI,O,X,X,X,X
JTOZSIL,O,X,X,X,X
JTOZSLI,O,X,X,X,X
JITLSZO,X,X,X,X,O
JITLSOZ,X,O,X,X,X
JITLZSO,O,X,X,X,O
JITLZOS,O,O,X,X,X
JITLOSZ,X,O,X,X,X
JITLOZS,O,O,X,X,X
JITSLZO,X,X,X,X,X
JITSLOZ,X,O,X,X,X
JITSZLO,X,X,X,X,X
JITSZOL,X,X,X,X,X
JITSOLZ,X,O,X,X,X
JITSOZL,X,X,X,X,X
JITZLSO,O,X,X,X,X
JITZLOS,O,O,X,X,X
JITZSLO,O,X,X,X,X
JITZSOL,O,X,X,X,X
JITZOLS,O,O,X,X,X
JITZOSL,O,X,X,X,X
JITOLSZ,X,O,X,X,X
JITOLZS,O,O,X,X,X
JITOSLZ,X,O,X,X,X
JITOSZL,X,X,X,X,X
JITOZLS,O,O,X,X,X
JITOZSL,O,X,X,X,X
JILTSZO,X,X,X,X,O
JILTSOZ,X,O,X,X,X
JILTZSO,O,X,X,X,O
JILTZOS,O,O,X,X,X
JILTOSZ,X,O,X,X,X
JILTOZS,O,O,X,X,X
JILSTZO,X,X,X,O,O
JILSTOZ,X,X,X,X,X
JILSZTO,X,X,O,O,O
JILSZOT,X,X,O,O,O
JILSOTZ,X,O,X,X,X
JILSOZT,X,O,O,O,O
JILZTSO,X,X,X,X,O
JILZTOS,O,X,X,X,X
JILZSTO,X,X,X,X,O
JILZSOT,O,X,X,X,O
JILZOTS,O,X,X,X,X
JILZOST,O,O,X,X,O
JILOTSZ,X,O,X,X,X
JILOTZS,O,O,X,X,X
JILOSTZ,X,O,X,X,X
JILOSZT,X,O,O,X,O
JILOZTS,O,X,X,X,X
JILOZST,O,O,X,X,O
JISTLZO,X,X,X,O,X
JISTLOZ,X,X,X,X,X
JISTZLO,X,X,X,X,X
JISTZOL,X,X,X,X,X
JISTOLZ,X,X,X,X,X
JISTOZL,X,X,X,X,X
JISLTZO,X,X,X,O,O
JISLTOZ,X,X,X,X,X
JISLZTO,X,X,O,O,O
JISLZOT,X,X,O,O,O
JISLOTZ,X,O,X,X,X
JISLOZT,X,O,O,O,O
JISZTLO,X,X,X,X,X
JISZTOL,X,X,X,X,X
JISZLTO,X,X,X,O,X
JISZLOT,X,X,X,O,X
JISZOTL,X,X,X,X,X
JISZOLT,X,X,X,X,X
JISOTLZ,X,X,X,X,X
JISOTZL,X,X,X,X,X
JISOLTZ,X,O,X,X,X
JISOLZT,X,O,O,O,X
JISOZTL,X,X,X,X,X
JISOZLT,X,X,X,X,X
JIZTLSO,X,X,X,X,X
JIZTLOS,O,X,X,X,X
JIZTSLO,X,X,X,X,X
JIZTSOL,X,X,X,X,X
JIZTOLS,O,X,X,X,X
JIZTOSL,X,X,X,X,X
JIZLTSO,X,X,X,X,O
JIZLTOS,O,X,X,X,X
JIZLSTO,X,X,X,X,O
JIZLSOT,O,X,X,X,O
JIZLOTS,O,X,X,X,X
JIZLOST,O,O,X,X,O
JIZSTLO,X,X,X,X,X
JIZSTOL,X,X,X,X,X
JIZSLTO,X,X,X,X,X
JIZSLOT,O,X,X,X,X
JIZSOTL,X,X,X,X,X
JIZSOLT,O,X,X,X,X
JIZOTLS,O,X,X,X,X
JIZOTSL,X,X,X,X,X
JIZOLTS,O,X,X,X,X
JIZOLST,O,O,X,X,X
JIZOSTL,X,X,X,X,X
JIZOSLT,O,X,X,X,X
JIOTLSZ,X,O,X,X,X
JIOTLZS,O,O,X,X,X
JIOTSLZ,X,O,X,X,X
JIOTSZL,X,X,X,X,X
JIOTZLS,O,O,X,X,X
JIOTZSL,O,X,X,X,X
JIOLTSZ,X,O,X,X,X
JIOLTZS,O,O,X,X,X
JIOLSTZ,X,O,X,X,X
JIOLSZT,X,O,O,X,O
JIOLZTS,O,X,X,X,X
JIOLZST,O,O,X,X,O
JIOSTLZ,X,X,X,X,X
JIOSTZL,X,X,X,X,X
JIOSLTZ,X,O,X,X,X
JIOSLZT,X,O,O,X,X
JIOSZTL,X,X,X,X,X
JIOSZLT,X,X,X,X,X
JIOZTLS,O,X,X,X,X
JIOZTSL,X,X,X,X,X
JIOZLTS,O,X,X,X,X
JIOZLST,O,O,X,X,X
JIOZSTL,X,X,X,X,X
JIOZSLT,O,X,X,X,X
JLTISZO,X,X,X,X,O
JLTISOZ,X,O,X,X,X
JLTIZSO,O,X,X,X,O
JLTIZOS,O,O,X,X,X
JLTIOSZ,X,O,X,X,X
JLTIOZS,O,O,X,X,X
JLTSIZO,X,X,X,X,X
JLTSIOZ,X,O,X,X,X
JLTSZIO,X,X,X,X,X
JLTSZOI,X,X,X,X,X
JLTSOIZ,X,O,X,X,X
JLTSOZI,X,X,X,X,X
JLTZISO,O,X,X,X,X
JLTZIOS,O,O,X,X,X
JLTZSIO,O,X,X,X,X
JLTZSOI,O,X,X,X,X
JLTZOIS,O,O,X,X,X
JLTZOSI,O,X,X,X,X
JLTOISZ,X,O,X,X,X
JLTOIZS,O,O,X,X,X
JLTOSIZ,X,O,X,X,X
JLTOSZI,X,X,X,X,X
JLTOZIS,O,O,X,X,X
JLTOZSI,O,X,X,X,X
JLITSZO,X,X,X,X,O
JLITSOZ,X,O,X,X,X
JLITZSO,O,X,X,X,O
JLITZOS,O,O,X,X,X
JLITOSZ,X,O,X,X,X
JLITOZS,O,O,X,X,X
JLISTZO,X,X,X,O,O
JLISTOZ,X,X,X,X,X
JLISZTO,X,X,O,O,O
JLISZOT,X,X,O,O,O
JLISOTZ,X,O,X,X,X
JLISOZT,X,O,O,O,O
JLIZTSO,X,X,X,X,O
JLIZTOS,O,X,X,X,X
JLIZSTO,X,X,X,X,O
JLIZSOT,O,X,X,X,O
JLIZOTS,O,X,X,X,X
JLIZOST,O,O,X,X,O
JLIOTSZ,X,O,X,X,X
JLIOTZS,O,O,X,X,X
JLIOSTZ,X,O,X,X,X
JLIOSZT,X,O,O,X,O
JLIOZTS,O,X,X,X,X
JLIOZST,O,O,X,X,O
JLSTIZO,X,X,X,O,X
JLSTIOZ,X,X,X,X,X
JLSTZIO,X,X,X,X,X
JLSTZOI,X,X,X,X,X
JLSTOIZ,X,X,X,X,X
JLSTOZI,X,X,X,X,X
JLSITZO,X,X,X,O,O
JLSITOZ,X,X,X,X,X
JLSIZTO,X,X,O,O,O
JLSIZOT,X,X,O,O,O
JLSIOTZ,X,O,X,X,X
JLSIOZT,X,O,O,O,O
JLSZTIO,X,X,X,X,X
JLSZTOI,X,X,X,X,X
JLSZITO,X,X,X,O,X
JLSZIOT,X,X,X,O,X
JLSZOTI,X,X,X,X,X
JLSZOIT,X,X,X,X,X
JLSOTIZ,X,X,X,X,X
JLSOTZI,X,X,X,X,X
JLSOITZ,X,O,X,X,X
JLSOIZT,X,O,O,O,X
JLSOZTI,X,X,X,X,X
JLSOZIT,X,X,X,X,X
JLZTISO,X,X,X,X,X
JLZTIOS,O,X,X,X,X
JLZTSIO,X,X,X,X,X
JLZTSOI,X,X,X,X,X
JLZTOIS,O,X,X,X,X
JLZTOSI,X,X,X,X,X
JLZITSO,X,X,X,X,O
JLZITOS,O,X,X,X,X
JLZISTO,X,X,X,X,O
JLZISOT,O,X,X,X,O
JLZIOTS,O,X,X,X,X
JLZIOST,O,O,X,X,O
JLZSTIO,X,X,X,X,X
JLZSTOI,X,X,X,X,X
JLZSITO,X,X,X,X,X
JLZSIOT,O,X,X,X,X
JLZSOTI,X,X,X,X,X
JLZSOIT,O,X,X,X,X
JLZOTIS,O,X,X,X,X
JLZOTSI,X,X,X,X,X
JLZOITS,O,X,X,X,X
JLZOIST,O,O,X,X,X
JLZOSTI,X,X,X,X,X
JLZOSIT,O,X,X,X,X
JLOTISZ,X,O,X,X,X
JLOTIZS,O,O,X,X,X
JLOTSIZ,X,O,X,X,X
JLOTSZI,X,X,X,X,X
JLOTZIS,O,O,X,X,X
JLOTZSI,O,X,X,X,X
JLOITSZ,X,O,X,X,X
JLOITZS,O,O,X,X,X
JLOISTZ,X,O,X,X,X
JLOISZT,X,O,O,X,O
JLOIZTS,O,X,X,X,X
JLOIZST,O,O,X,X,O
JLOSTIZ,X,X,X,X,X
JLOSTZI,X,X,X,X,X
JLOSITZ,X,O,X,X,X
JLOSIZT,X,O,O,X,X
JLOSZTI,X,X,X,X,X
JLOSZIT,X,X,X,X,X
JLOZTIS,O,X,X,X,X
JLOZTSI,X,X,X,X,X
JLOZITS,O,X,X,X,X
JLOZIST,O,O,X,X,X
JLOZSTI,X,X,X,X,X
JLOZSIT,O,X,X,X,X
JSTILZO,X,X,X,O,X
JSTILOZ,X,X,X,X,X
JSTIZLO,X,X,X,X,X
JSTIZOL,X,X,X,X,X
JSTIOLZ,X,X,X,X,X
JSTIOZL,X,X,X,X,X
JSTLIZO,X,X,X,O,X
JSTLIOZ,X,X,X,X,X
JSTLZIO,X,X,X,X,X
JSTLZOI,X,X,X,X,X
JSTLOIZ,X,X,X,X,X
JSTLOZI,X,X,X,X,X
JSTZILO,X,X,X,X,X
JSTZIOL,X,X,X,X,X
JSTZLIO,X,X,X,X,X
JSTZLOI,X,X,X,X,X
JSTZOIL,X,X,X,X,X
JSTZOLI,X,X,X,X,X
JSTOILZ,X,X,X,X,X
JSTOIZL,X,X,X,X,X
JSTOLIZ,X,X,X,X,X
JSTOLZI,X,X,X,X,X
JSTOZIL,X,X,X,X,X
JSTOZLI,X,X,X,X,X
JSITLZO,X,X,X,O,X
JSITLOZ,X,X,X,X,X
JSITZLO,X,X,X,X,X
JSITZOL,X,X,X,X,X
JSITOLZ,X,X,X,X,X
JSITOZL,X,X,X,X,X
JSILTZO,X,X,X,O,O
JSILTOZ,X,X,X,X,X
JSILZTO,X,X,O,O,O
JSILZOT,X,X,O,O,O
JSILOTZ,X,O,X,X,X
JSILOZT,X,O,O,O,O
JSIZTLO,X,X,X,X,X
JSIZTOL,X,X,X,X,X
JSIZLTO,X,X,X,O,X
JSIZLOT,X,X,X,O,X
JSIZOTL,X,X,X,X,X
JSIZOLT,X,X,X,X,X
JSIOTLZ,X,X,X,X,X
JSIOTZL,X,X,X,X,X
JSIOLTZ,X,O,X,X,X
JSIOLZT,X,O,O,O,X
JSIOZTL,X,X,X,X,X
JSIOZLT,X,X,X,X,X
JSLTIZO,X,X,X,O,X
JSLTIOZ,X,X,X,X,X
JSLTZIO,X,X,X,X,X
JSLTZOI,X,X,X,X,X
JSLTOIZ,X,X,X,X,X
JSLTOZI,X,X,X,X,X
JSLITZO,X,X,X,O,O
JSLITOZ,X,X,X,X,X
JSLIZTO,X,X,O,O,O
JSLIZOT,X,X,O,O,O
JSLIOTZ,X,O,X,X,X
JSLIOZT,X,O,O,O,O
JSLZTIO,X,X,X,X,X
JSLZTOI,X,X,X,X,X
JSLZITO,X,X,X,O,X
JSLZIOT,X,X,X,O,X
JSLZOTI,X,X,X,X,X
JSLZOIT,X,X,X,X,X
JSLOTIZ,X,X,X,X,X
JSLOTZI,X,X,X,X,X
JSLOITZ,X,O,X,X,X
JSLOIZT,X,O,O,O,X
JSLOZTI,X,X,X,X,X
JSLOZIT,X,X,X,X,X
JSZTILO,X,X,X,X,X
JSZTIOL,X,X,X,X,X
JSZTLIO,X,X,X,X,X
JSZTLOI,X,X,X,X,X
JSZTOIL,X,X,X,X,X
JSZTOLI,X,X,X,X,X
JSZITLO,X,X,X,X,X
JSZITOL,X,X,X,X,X
JSZILTO,X,X,X,O,X
JSZILOT,X,X,X,O,X
JSZIOTL,X,X,X,X,X
JSZIOLT,X,X,X,X,X
JSZLTIO,X,X,X,X,X
JSZLTOI,X,X,X,X,X
JSZLITO,X,X,X,O,X
JSZLIOT,X,X,X,O,X
JSZLOTI,X,X,X,X,X
JSZLOIT,X,X,X,X,X
JSZOTIL,X,X,X,X,X
JSZOTLI,X,X,X,X,X
JSZOITL,X,X,X,X,X
JSZOILT,X,X,X,X,X
JSZOLTI,X,X,X,X,X
JSZOLIT,X,X,X,X,X
JSOTILZ,X,X,X,X,X
JSOTIZL,X,X,X,X,X
JSOTLIZ,X,X,X,X,X
JSOTLZI,X,X,X,X,X
JSOTZIL,X,X,X,X,X
JSOTZLI,X,X,X,X,X
JSOITLZ,X,X,X,X,X
JSOITZL,X,X,X,X,X
JSOILTZ,X,O,X,X,X
JSOILZT,X,O,O,O,X
JSOIZTL,X,X,X,X,X
JSOIZLT,X,X,X,X,X
JSOLTIZ,X,X,X,X,X
JSOLTZI,X,X,X,X,X
JSOLITZ,X,O,X,X,X
JSOLIZT,X,O,O,O,X
JSOLZTI,X,X,X,X,X
JSOLZIT,X,X,X,X,X
JSOZTIL,X,X,X,X,X
JSOZTLI,X,X,X,X,X
JSOZITL,X,X,X,X,X
JSOZILT,X,X,X,X,X
JSOZLTI,X,X,X,X,X
JSOZLIT,X,X,X,X,X
JZTILSO,X,X,X,X,X
JZTILOS,O,X,X,X,X
JZTISLO,X,X,X,X,X
JZTISOL,X,X,X,X,X
JZTIOLS,O,X,X,X,X
JZTIOSL,X,X,X,X,X
JZTLISO,X,X,X,X,X
JZTLIOS,O,X,X,X,X
JZTLSIO,X,X,X,X,X
JZTLSOI,X,X,X,X,X
JZTLOIS,O,X,X,X,X
JZTLOSI,X,X,X,X,X
JZTSILO,X,X,X,X,X
JZTSIOL,X,X,X,X,X
JZTSLIO,X,X,X,X,X
JZTSLOI,X,X,X,X,X
JZTSOIL,X,X,X,X,X
JZTSOLI,X,X,X,X,X
JZTOILS,O,X,X,X,X
JZTOISL,X,X,X,X,X
JZTOLIS,O,X,X,X,X
JZTOLSI,X,X,X,X,X
JZTOSIL,X,X,X,X,X
JZTOSLI,X,X,X,X,X
JZITLSO,X,X,X,X,X
JZITLOS,O,X,X,X,X
JZITSLO,X,X,X,X,X
JZITSOL,X,X,X,X,X
JZITOLS,O,X,X,X,X
JZITOSL,X,X,X,X,X
JZILTSO,X,X,X,X,O
JZILTOS,O,X,X,X,X
JZILSTO,X,X,X,X,O
JZILSOT,O,X,X,X,O
JZILOTS,O,X,X,X,X
JZILOST,O,O,X,X,O
JZISTLO,X,X,X,X,X
JZISTOL,X,X,X,X,X
JZISLTO,X,X,X,X,X
JZISLOT,O,X,X,X,X
JZISOTL,X,X,X,X,X
JZISOLT,O,X,X,X,X
JZIOTLS,O,X,X,X,X
JZIOTSL,X,X,X,X,X
JZIOLTS,O,X,X,X,X
JZIOLST,O,O,X,X,X
JZIOSTL,X,X,X,X,X
JZIOSLT,O,X,X,X,X
JZLTISO,X,X,X,X,X
JZLTIOS,O,X,X,X,X
JZLTSIO,X,X,X,X,X
JZLTSOI,X,X,X,X,X
JZLTOIS,O,X,X,X,X
JZLTOSI,X,X,X,X,X
JZLITSO,X,X,X,X,O
JZLITOS,O,X,X,X,X
JZLISTO,X,X,X,X,O
JZLISOT,O,X,X,X,O
JZLIOTS,O,X,X,X,X
JZLIOST,O,O,X,X,O
JZLSTIO,X,X,X,X,X
JZLSTOI,X,X,X,X,X
JZLSITO,X,X,X,X,X
JZLSIOT,O,X,X,X,X
JZLSOTI,X,X,X,X,X
JZLSOIT,O,X,X,X,X
JZLOTIS,O,X,X,X,X
JZLOTSI,X,X,X,X,X
JZLOITS,O,X,X,X,X
JZLOIST,O,O,X,X,X
JZLOSTI,X,X,X,X,X
JZLOSIT,O,X,X,X,X
JZSTILO,X,X,X,X,X
JZSTIOL,X,X,X,X,X
JZSTLIO,X,X,X,X,X
JZSTLOI,X,X,X,X,X
JZSTOIL,X,X,X,X,X
JZSTOLI,X,X,X,X,X
JZSITLO,X,X,X,X,X
JZSITOL,X,X,X,X,X
JZSILTO,X,X,X,X,X
JZSILOT,O,X,X,X,X
JZSIOTL,X,X,X,X,X
JZSIOLT,O,X,X,X,X
JZSLTIO,X,X,X,X,X
JZSLTOI,X,X,X,X,X
JZSLITO,X,X,X,X,X
JZSLIOT,O,X,X,X,X
JZSLOTI,X,X,X,X,X
JZSLOIT,O,X,X,X,X
JZSOTIL,X,X,X,X,X
JZSOTLI,X,X,X,X,X
JZSOITL,X,X,X,X,X
JZSOILT,O,X,X,X,X
JZSOLTI,X,X,X,X,X
JZSOLIT,O,X,X,X,X
JZOTILS,O,X,X,X,X
JZOTISL,X,X,X,X,X
JZOTLIS,O,X,X,X,X
JZOTLSI,X,X,X,X,X
JZOTSIL,X,X,X,X,X
JZOTSLI,X,X,X,X,X
JZOITLS,O,X,X,X,X
JZOITSL,X,X,X,X,X
JZOILTS,O,X,X,X,X
JZOILST,O,O,X,X,X
JZOISTL,X,X,X,X,X
JZOISLT,O,X,X,X,X
JZOLTIS,O,X,X,X,X
JZOLTSI,X,X,X,X,X
JZOLITS,O,X,X,X,X
JZOLIST,O,O,X,X,X
JZOLSTI,X,X,X,X,X
JZOLSIT,O,X,X,X,X
JZOSTIL,X,X,X,X,X
JZOSTLI,X,X,X,X,X
JZOSITL,X,X,X,X,X
JZOSILT,O,X,X,X,X
JZOSLTI,X,X,X,X,X
JZOSLIT,O,X,X,X,X
JOTILSZ,X,O,X,X,X
JOTILZS,O,O,X,X,X
JOTISLZ,X,O,X,X,X
JOTISZL,X,X,X,X,X
JOTIZLS,O,O,X,X,X
JOTIZSL,O,X,X,X,X
JOTLISZ,X,O,X,X,X
JOTLIZS,O,O,X,X,X
JOTLSIZ,X,O,X,X,X
JOTLSZI,X,X,X,X,X
JOTLZIS,O,O,X,X,X
JOTLZSI,O,X,X,X,X
JOTSILZ,X,O,X,X,X
JOTSIZL,X,X,X,X,X
JOTSLIZ,X,O,X,X,X
JOTSLZI,X,X,X,X,X
JOTSZIL,X,X,X,X,X
JOTSZLI,X,X,X,X,X
JOTZILS,O,O,X,X,X
JOTZISL,O,X,X,X,X
JOTZLIS,O,O,X,X,X
JOTZLSI,O,X,X,X,X
JOTZSIL,O,X,X,X,X
JOTZSLI,O,X,X,X,X
JOITLSZ,X,O,X,X,X
JOITLZS,O,O,X,X,X
JOITSLZ,X,O,X,X,X
JOITSZL,X,X,X,X,X
JOITZLS,O,O,X,X,X
JOITZSL,O,X,X,X,X
JOILTSZ,X,O,X,X,X
JOILTZS,O,O,X,X,X
JOILSTZ,X,O,X,X,X
JOILSZT,X,O,O,X,O
JOILZTS,O,X,X,X,X
JOILZST,O,O,X,X,O
JOISTLZ,X,X,X,X,X
JOISTZL,X,X,X,X,X
JOISLTZ,X,O,X,X,X
JOISLZT,X,O,O,X,X
JOISZTL,X,X,X,X,X
JOISZLT,X,X,X,X,X
JOIZTLS,O,X,X,X,X
JOIZTSL,X,X,X,X,X
JOIZLTS,O,X,X,X,X
JOIZLST,O,O,X,X,X
JOIZSTL,X,X,X,X,X
JOIZSLT,O,X,X,X,X
JOLTISZ,X,O,X,X,X
JOLTIZS,O,O,X,X,X
JOLTSIZ,X,O,X,X,X
JOLTSZI,X,X,X,X,X
JOLTZIS,O,O,X,X,X
JOLTZSI,O,X,X,X,X
JOLITSZ,X,O,X,X,X
JOLITZS,O,O,X,X,X
JOLISTZ,X,O,X,X,X
JOLISZT,X,O,O,X,O
JOLIZTS,O,X,X,X,X
JOLIZST,O,O,X,X,O
JOLSTIZ,X,X,X,X,X
JOLSTZI,X,X,X,X,X
JOLSITZ,X,O,X,X,X
JOLSIZT,X,O,O,X,X
JOLSZTI,X,X,X,X,X
JOLSZIT,X,X,X,X,X
JOLZTIS,O,X,X,X,X
JOLZTSI,X,X,X,X,X
JOLZITS,O,X,X,X,X
JOLZIST,O,O,X,X,X
JOLZSTI,X,X,X,X,X
JOLZSIT,O,X,X,X,X
JOSTILZ,X,X,X,X,X
JOSTIZL,X,X,X,X,X
JOSTLIZ,X,X,X,X,X
JOSTLZI,X,X,X,X,X
JOSTZIL,X,X,X,X,X
JOSTZLI,X,X,X,X,X
JOSITLZ,X,X,X,X,X
JOSITZL,X,X,X,X,X
JOSILTZ,X,O,X,X,X
JOSILZT,X,O,O,X,X
JOSIZTL,X,X,X,X,X
JOSIZLT,X,X,X,X,X
JOSLTIZ,X,X,X,X,X
JOSLTZI,X,X,X,X,X
JOSLITZ,X,O,X,X,X
JOSLIZT,X,O,O,X,X
JOSLZTI,X,X,X,X,X
JOSLZIT,X,X,X,X,X
JOSZTIL,X,X,X,X,X
JOSZTLI,X,X,X,X,X
JOSZITL,X,X,X,X,X
JOSZILT,X,X,X,X,X
JOSZLTI,X,X,X,X,X
JOSZLIT,X,X,X,X,X
JOZTILS,O,X,X,X,X
JOZTISL,X,X,X,X,X
JOZTLIS,O,X,X,X,X
JOZTLSI,X,X,X,X,X
JOZTSIL,X,X,X,X,X
JOZTSLI,X,X,X,X,X
JOZITLS,O,X,X,X,X
JOZITSL,X,X,X,X,X
JOZILTS,O,X,X,X,X
JOZILST,O,O,X,X,X
JOZISTL,X,X,X,X,X
JOZISLT,O,X,X,X,X
JOZLTIS,O,X,X,X,X
JOZLTSI,X,X,X,X,X
JOZLITS,O,X,X,X,X
JOZLIST,O,O,X,X,X
JOZLSTI,X,X,X,X,X
JOZLSIT,O,X,X,X,X
JOZSTIL,X,X,X,X,X
JOZSTLI,X,X,X,X,X
JOZSITL,X,X,X,X,X
JOZSILT,O,X,X,X,X
JOZSLTI,X,X,X,X,X
JOZSLIT,O,X,X,X,X
STILJZO,X,X,X,O,X
STILJOZ,X,O,X,X,X
STILZJO,O,X,O,O,X
STILZOJ,O,X,O,X,X
STILOJZ,X,O,X,X,X
STILOZJ,O,X,O,X,X
STIJLZO,X,X,X,O,X
STIJLOZ,X,O,X,X,X
STIJZLO,X,X,X,X,X
STIJZOL,X,X,X,X,X
STIJOLZ,X,O,X,X,X
STIJOZL,X,X,X,X,X
STIZLJO,O,X,X,X,X
STIZLOJ,O,X,X,X,X
STIZJLO,O,X,X,X,X
STIZJOL,O,X,X,X,X
STIZOLJ,O,X,X,X,X
STIZOJL,O,X,X,X,X
STIOLJZ,X,O,X,X,X
STIOLZJ,O,X,O,X,X
STIOJLZ,X,O,X,X,X
STIOJZL,X,X,X,X,X
STIOZLJ,O,X,X,X,X
STIOZJL,O,X,X,X,X
STLIJZO,X,X,X,O,X
STLIJOZ,X,O,X,X,X
STLIZJO,O,X,O,O,X
STLIZOJ,O,X,O,X,X
STLIOJZ,X,O,X,X,X
STLIOZJ,O,X,O,X,X
STLJIZO,X,X,X,O,X
STLJIOZ,X,O,X,X,X
STLJZIO,X,X,X,X,X
STLJZOI,X,X,X,X,X
STLJOIZ,X,O,X,X,X
STLJOZI,X,X,X,X,X
STLZIJO,O,X,X,X,X
STLZIOJ,O,X,X,X,X
STLZJIO,O,X,X,X,X
STLZJOI,O,X,X,X,X
STLZOIJ,O,X,X,X,X
STLZOJI,O,X,X,X,X
STLOIJZ,X,O,X,X,X
STLOIZJ,O,X,O,X,X
STLOJIZ,X,O,X,X,X
STLOJZI,X,X,X,X,X
STLOZIJ,O,X,X,X,X
STLOZJI,O,X,X,X,X
STJILZO,X,X,X,O,X
STJILOZ,X,O,X,X,X
STJIZLO,X,X,X,X,X
STJIZOL,X,X,X,X,X
STJIOLZ,X,O,X,X,X
STJIOZL,X,X,X,X,X
STJLIZO,X,X,X,O,X
STJLIOZ,X,O,X,X,X
STJLZIO,X,X,X,X,X
STJLZOI,X,X,X,X,X
STJLOIZ,X,O,X,X,X
STJLOZI,X,X,X,X,X
STJZILO,X,X,X,X,X
STJZIOL,X,X,X,X,X
STJZLIO,X,X,X,X,X
STJZLOI,X,X,X,X,X
STJZOIL,X,X,X,X,X
STJZOLI,X,X,X,X,X
STJOILZ,X,O,X,X,X
STJOIZL,X,X,X,X,X
STJOLIZ,X,O,X,X,X
STJOLZI,X,X,X,X,X
STJOZIL,X,X,X,X,X
STJOZLI,X,X,X,X,X
STZILJO,O,X,X,X,X
STZILOJ,O,X,X,X,X
STZIJLO,O,X,X,X,X
STZIJOL,O,X,X,X,X
STZIOLJ,O,X,X,X,X
STZIOJL,O,X,X,X,X
STZLIJO,O,X,X,X,X
STZLIOJ,O,X,X,X,X
STZLJIO,O,X,X,X,X
STZLJOI,O,X,X,X,X
STZLOIJ,O,X,X,X,X
STZLOJI,O,X,X,X,X
STZJILO,O,X,X,X,X
STZJIOL,O,X,X,X,X
STZJLIO,O,X,X,X,X
STZJLOI,O,X,X,X,X
STZJOIL,O,X,X,X,X
STZJOLI,O,X,X,X,X
STZOILJ,O,X,X,X,X
STZOIJL,O,X,X,X,X
STZOLIJ,O,X,X,X,X
STZOLJI,O,X,X,X,X
