sequence,v115@IhA8HeB8AeD8CeG8AeB8Je3BJvhEicB+oBMlBzaBJa?B,v115@IhA8HeB8AeD8CeG8AeB8Je+IJvhEJaBilBshBXcBza?B,v115@IhA8HeB8AeD8CeG8AeB8Je+IJvhEJaBalB3hBsgBzV?B,v115@IhA8HeB8AeD8CeG8AeB8Je+IJvhEThBPdBqNBMlBJa?B,v115@IhA8HeB8AeD8CeG8AeB8JeJ6IvhEuaBUhBvnBToBSj?B,v115@IhA8HeB8AeD8CeG8AeB8JeTIJvhEvnBUhBuaBJaBKL?B
IZOJLST,O,O,O,O,O,O
IZOJSTL,O,X,X,O,O,O
IZOJSLT,O,O,O,O,O,O
IZOSTLJ,O,X,X,O,O,O
IZOSTJL,O,X,X,O,O,O
IZOSLTJ,O,O,O,O,O,O
IZOSLJT,O,O,O,O,O,O
IZOSJTL,O,X,X,O,O,O
IZOSJLT,O,O,O,O,O,O
IOTLJSZ,X,O,X,X,X,O
IOTLJZS,X,O,X,X,X,O
IOTLSJZ,X,O,X,X,X,O
IOTLSZJ,X,O,X,X,X,O
IOTLZJS,X,O,X,X,X,O
IOTLZSJ,X,O,X,X,X,O
IOTJLSZ,X,O,X,X,X,O
IOTJLZS,X,O,X,X,X,O
IOTJSLZ,X,X,X,O,O,O
IOTJSZL,X,X,X,O,O,O
IOTJZLS,X,O,X,X,X,O
IOTJZSL,X,X,X,O,O,O
IOTSLJZ,X,X,X,O,O,O
IOTSLZJ,X,X,X,O,O,O
IOTSJLZ,X,X,X,O,O,O
IOTSJZL,X,X,X,O,O,O
IOTSZLJ,X,X,X,O,O,O
IOTSZJL,X,X,X,O,O,O
IOTZLJS,X,O,X,X,X,O
IOTZLSJ,X,O,X,X,X,O
IOTZJLS,X,O,X,X,X,O
IOTZJSL,X,X,X,O,O,O
IOTZSLJ,X,X,X,O,O,O
IOTZSJL,X,X,X,O,O,O
IOLTJSZ,X,O,O,X,X,O
IOLTJZS,X,O,O,X,X,O
IOLTSJZ,X,O,O,X,X,O
IOLTSZJ,X,O,O,X,X,O
IOLTZJS,X,O,O,X,X,O
IOLTZSJ,X,O,O,X,X,O
IOLJTSZ,X,O,O,X,X,O
IOLJTZS,X,O,O,X,X,O
IOLJSTZ,X,O,O,O,O,O
IOLJSZT,X,O,O,O,O,O
IOLJZTS,X,O,O,X,X,O
IOLJZST,X,O,O,O,O,O
IOLSTJZ,X,O,O,O,O,O
IOLSTZJ,X,O,O,O,O,O
IOLSJTZ,X,O,O,O,O,O
IOLSJZT,X,O,O,O,O,O
IOLSZTJ,X,O,O,O,O,O
IOLSZJT,X,O,O,O,O,O
IOLZTJS,X,O,O,X,X,O
IOLZTSJ,X,O,O,X,X,O
IOLZJTS,X,O,O,X,X,O
IOLZJST,X,O,O,O,O,O
IOLZSTJ,X,O,O,O,O,O
IOLZSJT,X,O,O,O,O,O
IOJTLSZ,X,O,X,X,X,O
IOJTLZS,X,O,X,X,X,O
IOJTSLZ,X,X,X,O,O,O
IOJTSZL,X,X,X,O,O,O
IOJTZLS,X,O,X,X,X,O
IOJTZSL,X,X,X,O,O,O
IOJLTSZ,X,O,O,X,X,O
IOJLTZS,X,O,O,X,X,O
IOJLSTZ,X,O,O,O,O,O
IOJLSZT,X,O,O,O,O,O
IOJLZTS,X,O,O,X,X,O
IOJLZST,X,O,O,O,O,O
IOJSTLZ,X,X,X,O,O,O
IOJSTZL,X,X,X,O,O,O
IOJSLTZ,X,O,O,O,O,O
IOJSLZT,O,O,O,O,O,O
IOJSZTL,O,X,X,O,O,O
IOJSZLT,O,O,O,O,O,O
IOJZTLS,X,O,X,X,X,O
IOJZTSL,O,X,X,O,O,O
IOJZLTS,X,O,O,X,X,O
IOJZLST,O,O,O,O,O,O
IOJZSTL,O,X,X,O,O,O
IOJZSLT,O,O,O,O,O,O
IOSTLJZ,X,X,X,O,O,O
IOSTLZJ,X,X,X,O,O,O
IOSTJLZ,X,X,X,O,O,O
IOSTJZL,X,X,X,O,O,O
IOSTZLJ,X,X,X,O,O,O
IOSTZJL,X,X,X,O,O,O
IOSLTJZ,X,O,O,O,O,O
IOSLTZJ,X,O,O,O,O,O
IOSLJTZ,X,O,O,O,O,O
IOSLJZT,O,O,O,O,O,O
IOSLZTJ,O,O,O,O,O,O
IOSLZJT,O,O,O,O,O,O
IOSJTLZ,X,X,X,O,O,O
IOSJTZL,X,X,X,O,O,O
IOSJLTZ,X,O,O,O,O,O
IOSJLZT,O,O,O,O,O,O
IOSJZTL,O,X,X,O,O,O
IOSJZLT,O,O,O,O,O,O
IOSZTLJ,O,X,X,O,O,O
IOSZTJL,O,X,X,O,O,O
IOSZLTJ,O,O,O,O,O,O
IOSZLJT,O,O,O,O,O,O
IOSZJTL,O,X,X,O,O,O
IOSZJLT,O,O,O,O,O,O
IOZTLJS,X,O,X,X,X,O
IOZTLSJ,X,O,X,X,X,O
IOZTJLS,X,O,X,X,X,O
IOZTJSL,O,X,X,O,O,O
IOZTSLJ,O,X,X,O,O,O
IOZTSJL,O,X,X,O,O,O
IOZLTJS,X,O,O,X,X,O
IOZLTSJ,X,O,O,X,X,O
IOZLJTS,X,O,O,X,X,O
IOZLJST,O,O,O,O,O,O
IOZLSTJ,O,O,O,O,O,O
IOZLSJT,O,O,O,O,O,O
IOZJTLS,X,O,X,X,X,O
IOZJTSL,O,X,X,O,O,O
IOZJLTS,X,O,O,X,X,O
IOZJLST,O,O,O,O,O,O
IOZJSTL,O,X,X,O,O,O
IOZJSLT,O,O,O,O,O,O
IOZSTLJ,O,X,X,O,O,O
IOZSTJL,O,X,X,O,O,O
IOZSLTJ,O,O,O,O,O,O
IOZSLJT,O,O,O,O,O,O
IOZSJTL,O,X,X,O,O,O
IOZSJLT,O,O,O,O,O,O
LTIJSZO,X,O,O,X,X,X
LTIJSOZ,X,O,O,X,X,X
LTIJZSO,X,O,O,X,X,X
LTIJZOS,X,O,O,X,X,X
LTIJOSZ,X,O,O,X,X,X
LTIJOZS,X,O,O,X,X,X
LTISJZO,X,O,O,X,X,X
LTISJOZ,X,O,O,X,X,X
LTISZJO,X,O,O,X,X,X
LTISZOJ,X,O,O,X,X,X
LTISOJZ,X,O,O,X,X,X
LTISOZJ,X,O,O,X,X,X
LTIZJSO,X,O,O,X,X,X
LTIZJOS,X,O,O,X,X,X
LTIZSJO,X,O,O,X,X,X
LTIZSOJ,X,O,O,X,X,X
LTIZOJS,X,O,O,X,X,X
LTIZOSJ,X,O,O,X,X,X
LTIOJSZ,X,O,O,X,X,X
LTIOJZS,X,O,O,X,X,X
LTIOSJZ,X,O,O,X,X,X
LTIOSZJ,X,O,O,X,X,X
LTIOZJS,X,O,O,X,X,X
LTIOZSJ,X,O,O,X,X,X
LTJISZO,X,O,O,X,X,X
LTJISOZ,X,O,O,X,X,X
LTJIZSO,X,O,O,X,X,X
LTJIZOS,X,O,O,X,X,X
LTJIOSZ,X,O,O,X,X,X
LTJIOZS,X,O,O,X,X,X
LTJSIZO,X,O,O,X,X,X
LTJSIOZ,X,O,O,X,X,X
LTJSZIO,X,O,O,X,X,X
LTJSZOI,X,O,O,X,X,X
LTJSOIZ,X,O,O,X,X,X
LTJSOZI,X,O,O,X,X,X
LTJZISO,X,O,O,X,X,X
LTJZIOS,X,O,O,X,X,X
LTJZSIO,X,O,O,X,X,X
LTJZSOI,X,O,O,X,X,X
LTJZOIS,X,O,O,X,X,X
LTJZOSI,X,O,O,X,X,X
LTJOISZ,X,O,O,X,X,X
LTJOIZS,X,O,O,X,X,X
LTJOSIZ,X,O,O,X,X,X
LTJOSZI,X,O,O,X,X,X
LTJOZIS,X,O,O,X,X,X
LTJOZSI,X,O,O,X,X,X
LTSIJZO,X,O,O,X,X,X
LTSIJOZ,X,O,O,X,X,X
LTSIZJO,X,O,O,X,X,X
LTSIZOJ,X,O,O,X,X,X
LTSIOJZ,X,O,O,X,X,X
LTSIOZJ,X,O,O,X,X,X
LTSJIZO,X,O,O,X,X,X
LTSJIOZ,X,O,O,X,X,X
LTSJZIO,X,O,O,X,X,X
LTSJZOI,X,O,O,X,X,X
LTSJOIZ,X,O,O,X,X,X
LTSJOZI,X,O,O,X,X,X
LTSZIJO,X,O,O,X,X,X
LTSZIOJ,X,O,O,X,X,X
LTSZJIO,X,O,O,X,X,X
LTSZJOI,X,O,O,X,X,X
LTSZOIJ,X,O,O,X,X,X
LTSZOJI,X,O,O,X,X,X
LTSOIJZ,X,O,O,X,X,X
LTSOIZJ,X,O,O,X,X,X
LTSOJIZ,X,O,O,X,X,X
LTSOJZI,X,O,O,X,X,X
LTSOZIJ,X,O,O,X,X,X
LTSOZJI,X,O,O,X,X,X
LTZIJSO,X,O,O,X,X,X
LTZIJOS,X,O,O,X,X,X
LTZISJO,X,O,O,X,X,X
LTZISOJ,X,O,O,X,X,X
LTZIOJS,X,O,O,X,X,X
LTZIOSJ,X,O,O,X,X,X
LTZJISO,X,O,O,X,X,X
LTZJIOS,X,O,O,X,X,X
LTZJSIO,X,O,O,X,X,X
LTZJSOI,X,O,O,X,X,X
LTZJOIS,X,O,O,X,X,X
LTZJOSI,X,O,O,X,X,X
LTZSIJO,X,O,O,X,X,X
LTZSIOJ,X,O,O,X,X,X
LTZSJIO,X,O,O,X,X,X
LTZSJOI,X,O,O,X,X,X
LTZSOIJ,X,O,O,X,X,X
LTZSOJI,X,O,O,X,X,X
LTZOIJS,X,O,O,X,X,X
LTZOISJ,X,O,O,X,X,X
LTZOJIS,X,O,O,X,X,X
LTZOJSI,X,O,O,X,X,X
LTZOSIJ,X,O,O,X,X,X
LTZOSJI,X,O,O,X,X,X
LTOIJSZ,X,O,O,X,X,X
LTOIJZS,X,O,O,X,X,X
LTOISJZ,X,O,O,X,X,X
LTOISZJ,X,O,O,X,X,X
LTOIZJS,X,O,O,X,X,X
LTOIZSJ,X,O,O,X,X,X
LTOJISZ,X,O,O,X,X,X
LTOJIZS,X,O,O,X,X,X
LTOJSIZ,X,O,O,X,X,X
LTOJSZI,X,O,O,X,X,X
LTOJZIS,X,O,O,X,X,X
LTOJZSI,X,O,O,X,X,X
LTOSIJZ,X,O,O,X,X,X
LTOSIZJ,X,O,O,X,X,X
LTOSJIZ,X,O,O,X,X,X
LTOSJZI,X,O,O,X,X,X
LTOSZIJ,X,O,O,X,X,X
LTOSZJI,X,O,O,X,X,X
LTOZIJS,X,O,O,X,X,X
LTOZISJ,X,O,O,X,X,X
LTOZJIS,X,O,O,X,X,X
LTOZJSI,X,O,O,X,X,X
LTOZSIJ,X,O,O,X,X,X
LTOZSJI,X,O,O,X,X,X
LITJSZO,X,O,O,X,X,O
LITJSOZ,X,O,O,X,X,O
LITJZSO,X,O,O,X,X,O
LITJZOS,X,O,O,X,X,O
LITJOSZ,X,O,O,X,X,O
LITJOZS,X,O,O,X,X,O
LITSJZO,X,O,O,X,X,O
LITSJOZ,X,O,O,X,X,O
LITSZJO,X,O,O,X,X,O
LITSZOJ,X,O,O,X,X,O
LITSOJZ,X,O,O,X,X,O
LITSOZJ,X,O,O,X,X,O
LITZJSO,X,O,O,X,X,O
LITZJOS,X,O,O,X,X,O
LITZSJO,X,O,O,X,X,O
LITZSOJ,X,O,O,X,X,O
LITZOJS,X,O,O,X,X,O
LITZOSJ,X,O,O,X,X,O
LITOJSZ,X,O,O,X,X,O
LITOJZS,X,O,O,X,X,O
LITOSJZ,X,O,O,X,X,O
LITOSZJ,X,O,O,X,X,O
LITOZJS,X,O,O,X,X,O
LITOZSJ,X,O,O,X,X,O
LIJTSZO,X,O,O,X,X,O
LIJTSOZ,X,O,O,X,X,O
LIJTZSO,X,O,O,X,X,O
LIJTZOS,X,O,O,X,X,O
LIJTOSZ,X,O,O,X,X,O
LIJTOZS,X,O,O,X,X,O
LIJSTZO,O,O,O,X,X,O
LIJSTOZ,X,O,O,X,X,O
LIJSZTO,O,O,O,X,X,O
LIJSZOT,O,O,O,X,O,O
LIJSOTZ,X,O,O,X,O,O
LIJSOZT,O,O,O,X,O,O
LIJZTSO,X,O,O,X,X,O
LIJZTOS,X,O,O,X,X,O
LIJZSTO,O,O,O,X,X,O
LIJZSOT,O,O,O,X,O,O
LIJZOTS,X,O,O,X,X,O
LIJZOST,O,O,O,O,O,O
LIJOTSZ,X,O,O,X,X,O
LIJOTZS,X,O,O,X,X,O
LIJOSTZ,X,O,O,O,O,O
LIJOSZT,X,O,O,O,O,O
LIJOZTS,X,O,O,X,X,O
LIJOZST,X,O,O,O,O,O
LISTJZO,O,O,O,X,X,O
LISTJOZ,X,O,O,X,X,O
LISTZJO,O,O,O,X,X,O
LISTZOJ,O,O,O,X,X,O
LISTOJZ,X,O,O,X,X,O
LISTOZJ,X,O,O,X,X,O
LISJTZO,O,O,O,X,X,O
LISJTOZ,X,O,O,X,X,O
LISJZTO,O,O,O,X,X,O
LISJZOT,O,O,O,X,O,O
LISJOTZ,X,O,O,X,O,O
LISJOZT,O,O,O,X,O,O
LISZTJO,O,O,O,X,X,O
LISZTOJ,O,O,O,X,X,O
LISZJTO,O,O,O,X,X,O
LISZJOT,O,O,O,X,O,O
LISZOTJ,O,O,O,X,O,O
LISZOJT,O,O,O,X,O,O
LISOTJZ,X,O,O,X,O,O
LISOTZJ,X,O,O,X,O,O
LISOJTZ,X,O,O,X,O,O
LISOJZT,O,O,O,X,O,O
LISOZTJ,O,O,O,X,O,O
LISOZJT,O,O,O,X,O,O
LIZTJSO,X,O,O,X,X,O
LIZTJOS,X,O,O,X,X,O
LIZTSJO,X,O,O,X,X,O
LIZTSOJ,X,O,O,X,X,O
LIZTOJS,X,O,O,X,X,O
LIZTOSJ,X,O,O,X,X,O
LIZJTSO,X,O,O,X,X,O
LIZJTOS,X,O,O,X,X,O
LIZJSTO,O,O,O,X,X,O
LIZJSOT,O,O,O,X,O,O
LIZJOTS,X,O,O,X,X,O
LIZJOST,O,O,O,O,O,O
LIZSTJO,O,O,O,X,X,O
LIZSTOJ,O,O,O,X,X,O
LIZSJTO,O,O,O,X,X,O
LIZSJOT,O,O,O,X,O,O
LIZSOTJ,O,O,O,X,O,O
LIZSOJT,O,O,O,X,O,O
LIZOTJS,X,O,O,X,X,O
LIZOTSJ,X,O,O,X,X,O
LIZOJTS,X,O,O,X,X,O
LIZOJST,O,O,O,O,O,O
LIZOSTJ,O,O,O,O,O,O
LIZOSJT,O,O,O,O,O,O
LIOTJSZ,X,O,O,X,X,O
LIOTJZS,X,O,O,X,X,O
LIOTSJZ,X,O,O,X,X,O
LIOTSZJ,X,O,O,X,X,O
LIOTZJS,X,O,O,X,X,O
LIOTZSJ,X,O,O,X,X,O
LIOJTSZ,X,O,O,X,X,O
LIOJTZS,X,O,O,X,X,O
LIOJSTZ,X,O,O,O,O,O
LIOJSZT,X,O,O,O,O,O
LIOJZTS,X,O,O,X,X,O
LIOJZST,X,O,O,O,O,O
LIOSTJZ,X,O,O,O,O,O
LIOSTZJ,X,O,O,O,O,O
LIOSJTZ,X,O,O,O,O,O
LIOSJZT,X,O,O,O,O,O
LIOSZTJ,X,O,O,O,O,O
LIOSZJT,X,O,O,O,O,O
LIOZTJS,X,O,O,X,X,O
LIOZTSJ,X,O,O,X,X,O
LIOZJTS,X,O,O,X,X,O
LIOZJST,X,O,O,O,O,O
LIOZSTJ,X,O,O,O,O,O
LIOZSJT,X,O,O,O,O,O
LJTISZO,X,O,O,X,X,X
LJTISOZ,X,O,O,X,X,X
LJTIZSO,X,O,O,X,X,X
LJTIZOS,X,O,O,X,X,X
LJTIOSZ,X,O,O,X,X,X
LJTIOZS,X,O,O,X,X,X
LJTSIZO,X,O,O,X,X,X
LJTSIOZ,X,O,O,X,X,X
LJTSZIO,X,O,O,X,X,X
LJTSZOI,X,O,O,X,X,X
LJTSOIZ,X,O,O,X,X,X
LJTSOZI,X,O,O,X,X,X
LJTZISO,X,O,O,X,X,X
LJTZIOS,X,O,O,X,X,X
LJTZSIO,X,O,O,X,X,X
LJTZSOI,X,O,O,X,X,X
LJTZOIS,X,O,O,X,X,X
LJTZOSI,X,O,O,X,X,X
LJTOISZ,X,O,O,X,X,X
LJTOIZS,X,O,O,X,X,X
LJTOSIZ,X,O,O,X,X,X
LJTOSZI,X,O,O,X,X,X
LJTOZIS,X,O,O,X,X,X
LJTOZSI,X,O,O,X,X,X
LJITSZO,X,O,O,X,X,O
LJITSOZ,X,O,O,X,X,O
LJITZSO,X,O,O,X,X,O
LJITZOS,X,O,O,X,X,O
LJITOSZ,X,O,O,X,X,O
LJITOZS,X,O,O,X,X,O
LJISTZO,O,O,O,X,X,O
LJISTOZ,X,O,O,X,X,O
LJISZTO,O,O,O,X,X,O
LJISZOT,O,O,O,X,O,O
LJISOTZ,X,O,O,X,O,O
LJISOZT,O,O,O,X,O,O
LJIZTSO,X,O,O,X,X,O
LJIZTOS,X,O,O,X,X,O
LJIZSTO,O,O,O,X,X,O
LJIZSOT,O,O,O,X,O,O
LJIZOTS,X,O,O,X,X,O
LJIZOST,O,O,O,O,O,O
LJIOTSZ,X,O,O,X,X,O
LJIOTZS,X,O,O,X,X,O
LJIOSTZ,X,O,O,O,O,O
LJIOSZT,X,O,O,O,O,O
LJIOZTS,X,O,O,X,X,O
LJIOZST,X,O,O,O,O,O
LJSTIZO,O,O,O,X,X,X
LJSTIOZ,X,O,O,X,X,X
LJSTZIO,O,O,O,X,X,X
LJSTZOI,O,O,O,X,X,X
LJSTOIZ,X,O,O,X,X,X
LJSTOZI,X,O,O,X,X,X
LJSITZO,O,O,O,X,X,O
LJSITOZ,X,O,O,X,X,O
LJSIZTO,O,O,O,X,X,O
LJSIZOT,O,O,O,X,O,O
LJSIOTZ,X,O,O,X,O,O
LJSIOZT,O,O,O,X,O,O
LJSZTIO,O,O,O,X,X,X
LJSZTOI,O,O,O,X,X,X
LJSZITO,O,O,O,X,X,O
LJSZIOT,O,O,O,X,O,O
LJSZOTI,O,O,O,X,O,X
LJSZOIT,O,O,O,X,O,O
LJSOTIZ,X,O,O,X,O,X
LJSOTZI,X,O,O,X,O,X
LJSOITZ,X,O,O,X,O,O
LJSOIZT,O,O,O,X,O,O
LJSOZTI,O,O,O,X,O,X
LJSOZIT,O,O,O,X,O,O
LJZTISO,X,O,O,X,X,X
LJZTIOS,X,O,O,X,X,X
LJZTSIO,X,O,O,X,X,X
LJZTSOI,X,O,O,X,X,X
LJZTOIS,X,O,O,X,X,X
LJZTOSI,X,O,O,X,X,X
LJZITSO,X,O,O,X,X,O
LJZITOS,X,O,O,X,X,O
LJZISTO,O,O,O,X,X,O
LJZISOT,O,O,O,X,O,O
LJZIOTS,X,O,O,X,X,O
LJZIOST,O,O,O,O,O,O
LJZSTIO,O,O,O,X,X,X
LJZSTOI,O,O,O,X,X,X
LJZSITO,O,O,O,X,X,O
LJZSIOT,O,O,O,X,O,O
LJZSOTI,O,O,O,X,O,X
LJZSOIT,O,O,O,X,O,O
LJZOTIS,X,O,O,X,X,X
LJZOTSI,X,O,O,X,X,X
LJZOITS,X,O,O,X,X,O
LJZOIST,O,O,O,O,O,O
LJZOSTI,O,O,O,O,O,X
LJZOSIT,O,O,O,O,O,O
LJOTISZ,X,O,O,X,X,X
LJOTIZS,X,O,O,X,X,X
LJOTSIZ,X,O,O,X,X,X
LJOTSZI,X,O,O,X,X,X
LJOTZIS,X,O,O,X,X,X
LJOTZSI,X,O,O,X,X,X
LJOITSZ,X,O,O,X,X,O
LJOITZS,X,O,O,X,X,O
LJOISTZ,X,O,O,O,O,O
LJOISZT,X,O,O,O,O,O
LJOIZTS,X,O,O,X,X,O
LJOIZST,X,O,O,O,O,O
LJOSTIZ,X,O,O,O,O,X
LJOSTZI,X,O,O,O,O,X
LJOSITZ,X,O,O,O,O,O
LJOSIZT,X,O,O,O,O,O
LJOSZTI,X,O,O,O,O,X
LJOSZIT,X,O,O,O,O,O
LJOZTIS,X,O,O,X,X,X
LJOZTSI,X,O,O,X,X,X
LJOZITS,X,O,O,X,X,O
LJOZIST,X,O,O,O,O,O
LJOZSTI,X,O,O,O,O,X
LJOZSIT,X,O,O,O,O,O
LSTIJZO,O,O,O,X,X,X
LSTIJOZ,X,O,O,X,X,X
LSTIZJO,O,O,O,X,X,X
LSTIZOJ,O,O,O,X,X,X
LSTIOJZ,X,O,O,X,X,X
LSTIOZJ,X,O,O,X,X,X
LSTJIZO,O,O,O,X,X,X
LSTJIOZ,X,O,O,X,X,X
LSTJZIO,O,O,O,X,X,X
LSTJZOI,O,O,O,X,X,X
LSTJOIZ,X,O,O,X,X,X
LSTJOZI,X,O,O,X,X,X
LSTZIJO,O,O,O,X,X,X
LSTZIOJ,O,O,O,X,X,X
LSTZJIO,O,O,O,X,X,X
LSTZJOI,O,O,O,X,X,X
LSTZOIJ,O,O,O,X,X,X
LSTZOJI,O,O,O,X,X,X
LSTOIJZ,X,O,O,X,X,X
LSTOIZJ,X,O,O,X,X,X
LSTOJIZ,X,O,O,X,X,X
LSTOJZI,X,O,O,X,X,X
LSTOZIJ,X,O,O,X,X,X
LSTOZJI,X,O,O,X,X,X
LSITJZO,O,O,O,X,X,O
LSITJOZ,X,O,O,X,X,O
LSITZJO,O,O,O,X,X,O
LSITZOJ,O,O,O,X,X,O
LSITOJZ,X,O,O,X,X,O
LSITOZJ,X,O,O,X,X,O
LSIJTZO,O,O,O,X,X,O
LSIJTOZ,X,O,O,X,X,O
LSIJZTO,O,O,O,X,X,O
LSIJZOT,O,O,O,X,O,O
LSIJOTZ,X,O,O,X,O,O
LSIJOZT,O,O,O,X,O,O
LSIZTJO,O,O,O,X,X,O
LSIZTOJ,O,O,O,X,X,O
LSIZJTO,O,O,O,X,X,O
LSIZJOT,O,O,O,X,O,O
LSIZOTJ,O,O,O,X,O,O
LSIZOJT,O,O,O,X,O,O
LSIOTJZ,X,O,O,X,O,O
LSIOTZJ,X,O,O,X,O,O
LSIOJTZ,X,O,O,X,O,O
LSIOJZT,O,O,O,X,O,O
LSIOZTJ,O,O,O,X,O,O
LSIOZJT,O,O,O,X,O,O
LSJTIZO,O,O,O,X,X,X
LSJTIOZ,X,O,O,X,X,X
LSJTZIO,O,O,O,X,X,X
LSJTZOI,O,O,O,X,X,X
LSJTOIZ,X,O,O,X,X,X
LSJTOZI,X,O,O,X,X,X
LSJITZO,O,O,O,X,X,O
LSJITOZ,X,O,O,X,X,O
LSJIZTO,O,O,O,X,X,O
LSJIZOT,O,O,O,X,O,O
LSJIOTZ,X,O,O,X,O,O
LSJIOZT,O,O,O,X,O,O
LSJZTIO,O,O,O,X,X,X
LSJZTOI,O,O,O,X,X,X
LSJZITO,O,O,O,X,X,O
LSJZIOT,O,O,O,X,O,O
LSJZOTI,O,O,O,X,O,X
LSJZOIT,O,O,O,X,O,O
LSJOTIZ,X,O,O,X,O,X
LSJOTZI,X,O,O,X,O,X
LSJOITZ,X,O,O,X,O,O
LSJOIZT,O,O,O,X,O,O
LSJOZTI,O,O,O,X,O,X
LSJOZIT,O,O,O,X,O,O
LSZTIJO,O,O,O,X,X,X
LSZTIOJ,O,O,O,X,X,X
LSZTJIO,O,O,O,X,X,X
LSZTJOI,O,O,O,X,X,X
LSZTOIJ,O,O,O,X,X,X
LSZTOJI,O,O,O,X,X,X
LSZITJO,O,O,O,X,X,O
LSZITOJ,O,O,O,X,X,O
LSZIJTO,O,O,O,X,X,O
LSZIJOT,O,O,O,X,O,O
LSZIOTJ,O,O,O,X,O,O
LSZIOJT,O,O,O,X,O,O
LSZJTIO,O,O,O,X,X,X
LSZJTOI,O,O,O,X,X,X
LSZJITO,O,O,O,X,X,O
LSZJIOT,O,O,O,X,O,O
LSZJOTI,O,O,O,X,O,X
LSZJOIT,O,O,O,X,O,O
LSZOTIJ,O,O,O,X,O,X
LSZOTJI,O,O,O,X,O,X
LSZOITJ,O,O,O,X,O,O
LSZOIJT,O,O,O,X,O,O
LSZOJTI,O,O,O,X,O,X
LSZOJIT,O,O,O,X,O,O
LSOTIJZ,X,O,O,X,O,X
LSOTIZJ,X,O,O,X,O,X
LSOTJIZ,X,O,O,X,O,X
LSOTJZI,X,O,O,X,O,X
LSOTZIJ,X,O,O,X,O,X
LSOTZJI,X,O,O,X,O,X
LSOITJZ,X,O,O,X,O,O
LSOITZJ,X,O,O,X,O,O
LSOIJTZ,X,O,O,X,O,O
LSOIJZT,O,O,O,X,O,O
LSOIZTJ,O,O,O,X,O,O
LSOIZJT,O,O,O,X,O,O
LSOJTIZ,X,O,O,X,O,X
LSOJTZI,X,O,O,X,O,X
LSOJITZ,X,O,O,X,O,O
LSOJIZT,O,O,O,X,O,O
LSOJZTI,O,O,O,X,O,X
LSOJZIT,O,O,O,X,O,O
LSOZTIJ,O,O,O,X,O,X
LSOZTJI,O,O,O,X,O,X
LSOZITJ,O,O,O,X,O,O
LSOZIJT,O,O,O,X,O,O
LSOZJTI,O,O,O,X,O,X
LSOZJIT,O,O,O,X,O,O
LZTIJSO,X,O,O,X,X,X
LZTIJOS,X,O,O,X,X,X
LZTISJO,X,O,O,X,X,X
LZTISOJ,X,O,O,X,X,X
LZTIOJS,X,O,O,X,X,X
LZTIOSJ,X,O,O,X,X,X
LZTJISO,X,O,O,X,X,X
LZTJIOS,X,O,O,X,X,X
LZTJSIO,X,O,O,X,X,X
LZTJSOI,X,O,O,X,X,X
LZTJOIS,X,O,O,X,X,X
LZTJOSI,X,O,O,X,X,X
LZTSIJO,X,O,O,X,X,X
LZTSIOJ,X,O,O,X,X,X
LZTSJIO,X,O,O,X,X,X
LZTSJOI,X,O,O,X,X,X
LZTSOIJ,X,O,O,X,X,X
LZTSOJI,X,O,O,X,X,X
LZTOIJS,X,O,O,X,X,X
LZTOISJ,X,O,O,X,X,X
LZTOJIS,X,O,O,X,X,X
LZTOJSI,X,O,O,X,X,X
LZTOSIJ,X,O,O,X,X,X
LZTOSJI,X,O,O,X,X,X
LZITJSO,X,O,O,X,X,O
LZITJOS,X,O,O,X,X,O
LZITSJO,X,O,O,X,X,O
LZITSOJ,X,O,O,X,X,O
LZITOJS,X,O,O,X,X,O
LZITOSJ,X,O,O,X,X,O
LZIJTSO,X,O,O,X,X,O
LZIJTOS,X,O,O,X,X,O
LZIJSTO,O,O,O,X,X,O
LZIJSOT,O,O,O,X,O,O
LZIJOTS,X,O,O,X,X,O
LZIJOST,O,O,O,O,O,O
LZISTJO,O,O,O,X,X,O
LZISTOJ,O,O,O,X,X,O
LZISJTO,O,O,O,X,X,O
LZISJOT,O,O,O,X,O,O
LZISOTJ,O,O,O,X,O,O
LZISOJT,O,O,O,X,O,O
LZIOTJS,X,O,O,X,X,O
LZIOTSJ,X,O,O,X,X,O
LZIOJTS,X,O,O,X,X,O
LZIOJST,O,O,O,O,O,O
LZIOSTJ,O,O,O,O,O,O
LZIOSJT,O,O,O,O,O,O
LZJTISO,X,O,O,X,X,X
LZJTIOS,X,O,O,X,X,X
LZJTSIO,X,O,O,X,X,X
LZJTSOI,X,O,O,X,X,X
LZJTOIS,X,O,O,X,X,X
LZJTOSI,X,O,O,X,X,X
LZJITSO,X,O,O,X,X,O
LZJITOS,X,O,O,X,X,O
LZJISTO,O,O,O,X,X,O
LZJISOT,O,O,O,X,O,O
LZJIOTS,X,O,O,X,X,O
LZJIOST,O,O,O,O,O,O
LZJSTIO,O,O,O,X,X,X
LZJSTOI,O,O,O,X,X,X
LZJSITO,O,O,O,X,X,O
LZJSIOT,O,O,O,X,O,O
LZJSOTI,O,O,O,X,O,X
LZJSOIT,O,O,O,X,O,O
LZJOTIS,X,O,O,X,X,X
LZJOTSI,X,O,O,X,X,X
LZJOITS,X,O,O,X,X,O
LZJOIST,O,O,O,O,O,O
LZJOSTI,O,O,O,O,O,X
LZJOSIT,O,O,O,O,O,O
LZSTIJO,O,O,O,X,X,X
