sequence,v115@IhA8HeB8AeD8CeG8AeB8Je3BJvhEicB+oBMlBzaBJa?B,v115@IhA8HeB8AeD8CeG8AeB8Je+IJvhEJaBilBshBXcBza?B,v115@IhA8HeB8AeD8CeG8AeB8Je+IJvhEJaBalB3hBsgBzV?B,v115@IhA8HeB8AeD8CeG8AeB8Je+IJvhEThBPdBqNBMlBJa?B,v115@IhA8HeB8AeD8CeG8AeB8JeJ6IvhEuaBUhBvnBToBSj?B,v115@IhA8HeB8AeD8CeG8AeB8JeTIJvhEvnBUhBuaBJaBKL?B
TLOSZIJ,X,O,O,X,X,X
TLOSZJI,X,O,O,X,X,X
TLOZIJS,X,O,O,X,X,X
TLOZISJ,X,O,O,X,X,X
TLOZJIS,X,O,O,X,X,X
TLOZJSI,X,O,O,X,X,X
TLOZSIJ,X,O,O,X,X,X
TLOZSJI,X,O,O,X,X,X
TJILSZO,X,O,O,X,X,O
TJILSOZ,X,O,O,X,X,O
TJILZSO,X,O,O,X,X,O
TJILZOS,X,O,O,X,X,O
TJILOSZ,X,O,O,X,X,O
TJILOZS,X,O,O,X,X,O
TJISLZO,O,X,O,X,X,O
TJISLOZ,X,X,O,X,X,O
TJISZLO,O,X,O,X,X,O
TJISZOL,O,X,X,X,O,O
TJISOLZ,X,X,X,X,O,O
TJISOZL,X,X,X,X,O,O
TJIZLSO,X,O,O,X,X,O
TJIZLOS,X,O,O,X,X,O
TJIZSLO,O,O,O,X,X,O
TJIZSOL,O,X,X,X,O,O
TJIZOLS,X,O,X,X,X,O
TJIZOSL,O,X,X,O,O,O
TJIOLSZ,X,O,X,X,X,O
TJIOLZS,X,O,X,X,X,O
TJIOSLZ,X,X,X,O,O,O
TJIOSZL,X,X,X,O,O,O
TJIOZLS,X,O,X,X,X,O
TJIOZSL,X,X,X,O,O,O
TJLISZO,X,O,O,X,X,X
TJLISOZ,X,O,O,X,X,X
TJLIZSO,X,O,O,X,X,X
TJLIZOS,X,O,O,X,X,X
TJLIOSZ,X,O,O,X,X,X
TJLIOZS,X,O,O,X,X,X
TJLSIZO,X,O,O,X,X,X
TJLSIOZ,X,O,O,X,X,X
TJLSZIO,X,O,O,X,X,X
TJLSZOI,X,O,O,X,X,X
TJLSOIZ,X,O,O,X,X,X
TJLSOZI,X,O,O,X,X,X
TJLZISO,X,O,O,X,X,X
TJLZIOS,X,O,O,X,X,X
TJLZSIO,X,O,O,X,X,X
TJLZSOI,X,O,O,X,X,X
TJLZOIS,X,O,O,X,X,X
TJLZOSI,X,O,O,X,X,X
TJLOISZ,X,O,O,X,X,X
TJLOIZS,X,O,O,X,X,X
TJLOSIZ,X,O,O,X,X,X
TJLOSZI,X,O,O,X,X,X
TJLOZIS,X,O,O,X,X,X
TJLOZSI,X,O,O,X,X,X
TJSILZO,O,X,O,X,X,O
TJSILOZ,X,X,O,X,X,O
TJSIZLO,O,X,O,X,X,O
TJSIZOL,O,X,X,X,O,O
TJSIOLZ,X,X,X,X,O,O
TJSIOZL,X,X,X,X,O,O
TJSLIZO,O,X,O,X,X,X
TJSLIOZ,X,X,O,X,X,X
TJSLZIO,O,X,O,X,X,X
TJSLZOI,O,X,O,X,X,X
TJSLOIZ,X,X,O,X,X,X
TJSLOZI,X,X,O,X,X,X
TJSZILO,O,X,O,X,X,O
TJSZIOL,O,X,X,X,O,O
TJSZLIO,O,X,O,X,X,X
TJSZLOI,O,X,O,X,X,X
TJSZOIL,O,X,X,X,O,O
TJSZOLI,O,X,X,X,O,X
TJSOILZ,X,X,X,X,O,O
TJSOIZL,X,X,X,X,O,O
TJSOLIZ,X,X,X,X,O,X
TJSOLZI,X,X,X,X,O,X
TJSOZIL,X,X,X,X,O,O
TJSOZLI,X,X,X,X,O,X
TJZILSO,X,O,O,X,X,O
TJZILOS,X,O,O,X,X,O
TJZISLO,O,O,O,X,X,O
TJZISOL,O,X,X,X,O,O
TJZIOLS,X,O,X,X,X,O
TJZIOSL,O,X,X,O,O,O
TJZLISO,X,O,O,X,X,X
TJZLIOS,X,O,O,X,X,X
TJZLSIO,X,O,O,X,X,X
TJZLSOI,X,O,O,X,X,X
TJZLOIS,X,O,O,X,X,X
TJZLOSI,X,O,O,X,X,X
TJZSILO,O,O,O,X,X,O
TJZSIOL,O,X,X,X,O,O
TJZSLIO,O,O,O,X,X,X
TJZSLOI,O,O,O,X,X,X
TJZSOIL,O,X,X,X,O,O
TJZSOLI,O,X,X,X,O,X
TJZOILS,X,O,X,X,X,O
TJZOISL,O,X,X,O,O,O
TJZOLIS,X,O,X,X,X,X
TJZOLSI,X,O,X,X,X,X
TJZOSIL,O,X,X,O,O,O
TJZOSLI,O,X,X,O,O,X
TJOILSZ,X,O,X,X,X,O
TJOILZS,X,O,X,X,X,O
TJOISLZ,X,X,X,O,O,O
TJOISZL,X,X,X,O,O,O
TJOIZLS,X,O,X,X,X,O
TJOIZSL,X,X,X,O,O,O
TJOLISZ,X,O,X,X,X,X
TJOLIZS,X,O,X,X,X,X
TJOLSIZ,X,O,X,X,X,X
TJOLSZI,X,O,X,X,X,X
TJOLZIS,X,O,X,X,X,X
TJOLZSI,X,O,X,X,X,X
TJOSILZ,X,X,X,O,O,O
TJOSIZL,X,X,X,O,O,O
TJOSLIZ,X,X,X,O,O,X
TJOSLZI,X,X,X,O,O,X
TJOSZIL,X,X,X,O,O,O
TJOSZLI,X,X,X,O,O,X
TJOZILS,X,O,X,X,X,O
TJOZISL,X,X,X,O,O,O
TJOZLIS,X,O,X,X,X,X
TJOZLSI,X,O,X,X,X,X
TJOZSIL,X,X,X,O,O,O
TJOZSLI,X,X,X,O,O,X
TSILJZO,O,X,O,X,X,O
TSILJOZ,X,X,O,X,X,O
TSILZJO,O,X,O,X,X,O
TSILZOJ,O,X,O,X,X,O
TSILOJZ,X,X,O,X,X,O
TSILOZJ,X,X,O,X,X,O
TSIJLZO,O,X,O,X,X,O
TSIJLOZ,X,X,O,X,X,O
TSIJZLO,O,X,O,X,X,O
TSIJZOL,O,X,X,X,O,O
TSIJOLZ,X,X,X,X,O,O
TSIJOZL,X,X,X,X,O,O
TSIZLJO,O,X,O,X,X,O
TSIZLOJ,O,X,O,X,X,O
TSIZJLO,O,X,O,X,X,O
TSIZJOL,O,X,X,X,O,O
TSIZOLJ,O,X,X,X,O,O
TSIZOJL,O,X,X,X,O,O
TSIOLJZ,X,X,X,X,O,O
TSIOLZJ,X,X,X,X,O,O
TSIOJLZ,X,X,X,X,O,O
TSIOJZL,X,X,X,X,O,O
TSIOZLJ,X,X,X,X,O,O
TSIOZJL,X,X,X,X,O,O
TSLIJZO,O,X,O,X,X,X
TSLIJOZ,X,X,O,X,X,X
TSLIZJO,O,X,O,X,X,X
TSLIZOJ,O,X,O,X,X,X
TSLIOJZ,X,X,O,X,X,X
TSLIOZJ,X,X,O,X,X,X
TSLJIZO,O,X,O,X,X,X
TSLJIOZ,X,X,O,X,X,X
TSLJZIO,O,X,O,X,X,X
TSLJZOI,O,X,O,X,X,X
TSLJOIZ,X,X,O,X,X,X
TSLJOZI,X,X,O,X,X,X
TSLZIJO,O,X,O,X,X,X
TSLZIOJ,O,X,O,X,X,X
TSLZJIO,O,X,O,X,X,X
TSLZJOI,O,X,O,X,X,X
TSLZOIJ,O,X,O,X,X,X
TSLZOJI,O,X,O,X,X,X
TSLOIJZ,X,X,O,X,X,X
TSLOIZJ,X,X,O,X,X,X
TSLOJIZ,X,X,O,X,X,X
TSLOJZI,X,X,O,X,X,X
TSLOZIJ,X,X,O,X,X,X
TSLOZJI,X,X,O,X,X,X
TSJILZO,O,X,O,X,X,O
TSJILOZ,X,X,O,X,X,O
TSJIZLO,O,X,O,X,X,O
TSJIZOL,O,X,X,X,O,O
TSJIOLZ,X,X,X,X,O,O
TSJIOZL,X,X,X,X,O,O
TSJLIZO,O,X,O,X,X,X
TSJLIOZ,X,X,O,X,X,X
TSJLZIO,O,X,O,X,X,X
TSJLZOI,O,X,O,X,X,X
TSJLOIZ,X,X,O,X,X,X
TSJLOZI,X,X,O,X,X,X
TSJZILO,O,X,O,X,X,O
TSJZIOL,O,X,X,X,O,O
TSJZLIO,O,X,O,X,X,X
TSJZLOI,O,X,O,X,X,X
TSJZOIL,O,X,X,X,O,O
TSJZOLI,O,X,X,X,O,X
TSJOILZ,X,X,X,X,O,O
TSJOIZL,X,X,X,X,O,O
TSJOLIZ,X,X,X,X,O,X
TSJOLZI,X,X,X,X,O,X
TSJOZIL,X,X,X,X,O,O
TSJOZLI,X,X,X,X,O,X
TSZILJO,O,X,O,X,X,O
TSZILOJ,O,X,O,X,X,O
TSZIJLO,O,X,O,X,X,O
TSZIJOL,O,X,X,X,O,O
TSZIOLJ,O,X,X,X,O,O
TSZIOJL,O,X,X,X,O,O
TSZLIJO,O,X,O,X,X,X
TSZLIOJ,O,X,O,X,X,X
TSZLJIO,O,X,O,X,X,X
TSZLJOI,O,X,O,X,X,X
TSZLOIJ,O,X,O,X,X,X
TSZLOJI,O,X,O,X,X,X
TSZJILO,O,X,O,X,X,O
TSZJIOL,O,X,X,X,O,O
TSZJLIO,O,X,O,X,X,X
TSZJLOI,O,X,O,X,X,X
TSZJOIL,O,X,X,X,O,O
TSZJOLI,O,X,X,X,O,X
TSZOILJ,O,X,X,X,O,O
TSZOIJL,O,X,X,X,O,O
TSZOLIJ,O,X,X,X,O,X
TSZOLJI,O,X,X,X,O,X
TSZOJIL,O,X,X,X,O,O
TSZOJLI,O,X,X,X,O,X
TSOILJZ,X,X,X,X,O,O
TSOILZJ,X,X,X,X,O,O
TSOIJLZ,X,X,X,X,O,O
TSOIJZL,X,X,X,X,O,O
TSOIZLJ,X,X,X,X,O,O
TSOIZJL,X,X,X,X,O,O
TSOLIJZ,X,X,X,X,O,X
TSOLIZJ,X,X,X,X,O,X
TSOLJIZ,X,X,X,X,O,X
TSOLJZI,X,X,X,X,O,X
TSOLZIJ,X,X,X,X,O,X
TSOLZJI,X,X,X,X,O,X
TSOJILZ,X,X,X,X,O,O
TSOJIZL,X,X,X,X,O,O
TSOJLIZ,X,X,X,X,O,X
TSOJLZI,X,X,X,X,O,X
TSOJZIL,X,X,X,X,O,O
TSOJZLI,X,X,X,X,O,X
TSOZILJ,X,X,X,X,O,O
TSOZIJL,X,X,X,X,O,O
TSOZLIJ,X,X,X,X,O,X
TSOZLJI,X,X,X,X,O,X
TSOZJIL,X,X,X,X,O,O
TSOZJLI,X,X,X,X,O,X
TZILJSO,X,O,O,X,X,O
TZILJOS,X,O,O,X,X,O
TZILSJO,X,O,O,X,X,O
TZILSOJ,X,O,O,X,X,O
TZILOJS,X,O,O,X,X,O
TZILOSJ,X,O,O,X,X,O
TZIJLSO,X,O,O,X,X,O
TZIJLOS,X,O,O,X,X,O
TZIJSLO,O,O,O,X,X,O
TZIJSOL,O,X,X,X,O,O
TZIJOLS,X,O,X,X,X,O
TZIJOSL,O,X,X,O,O,O
TZISLJO,O,O,O,X,X,O
TZISLOJ,O,O,O,X,X,O
TZISJLO,O,O,O,X,X,O
TZISJOL,O,X,X,X,O,O
TZISOLJ,O,X,X,X,O,O
TZISOJL,O,X,X,X,O,O
TZIOLJS,X,O,X,X,X,O
TZIOLSJ,X,O,X,X,X,O
TZIOJLS,X,O,X,X,X,O
TZIOJSL,O,X,X,O,O,O
TZIOSLJ,O,X,X,O,O,O
TZIOSJL,O,X,X,O,O,O
TZLIJSO,X,O,O,X,X,X
TZLIJOS,X,O,O,X,X,X
TZLISJO,X,O,O,X,X,X
TZLISOJ,X,O,O,X,X,X
TZLIOJS,X,O,O,X,X,X
TZLIOSJ,X,O,O,X,X,X
TZLJISO,X,O,O,X,X,X
TZLJIOS,X,O,O,X,X,X
TZLJSIO,X,O,O,X,X,X
TZLJSOI,X,O,O,X,X,X
TZLJOIS,X,O,O,X,X,X
TZLJOSI,X,O,O,X,X,X
TZLSIJO,X,O,O,X,X,X
TZLSIOJ,X,O,O,X,X,X
TZLSJIO,X,O,O,X,X,X
TZLSJOI,X,O,O,X,X,X
TZLSOIJ,X,O,O,X,X,X
TZLSOJI,X,O,O,X,X,X
TZLOIJS,X,O,O,X,X,X
TZLOISJ,X,O,O,X,X,X
TZLOJIS,X,O,O,X,X,X
TZLOJSI,X,O,O,X,X,X
TZLOSIJ,X,O,O,X,X,X
TZLOSJI,X,O,O,X,X,X
TZJILSO,X,O,O,X,X,O
TZJILOS,X,O,O,X,X,O
TZJISLO,O,O,O,X,X,O
TZJISOL,O,X,X,X,O,O
TZJIOLS,X,O,X,X,X,O
TZJIOSL,O,X,X,O,O,O
TZJLISO,X,O,O,X,X,X
TZJLIOS,X,O,O,X,X,X
TZJLSIO,X,O,O,X,X,X
TZJLSOI,X,O,O,X,X,X
TZJLOIS,X,O,O,X,X,X
TZJLOSI,X,O,O,X,X,X
TZJSILO,O,O,O,X,X,O
TZJSIOL,O,X,X,X,O,O
TZJSLIO,O,O,O,X,X,X
TZJSLOI,O,O,O,X,X,X
TZJSOIL,O,X,X,X,O,O
TZJSOLI,O,X,X,X,O,X
TZJOILS,X,O,X,X,X,O
TZJOISL,O,X,X,O,O,O
TZJOLIS,X,O,X,X,X,X
TZJOLSI,X,O,X,X,X,X
TZJOSIL,O,X,X,O,O,O
TZJOSLI,O,X,X,O,O,X
TZSILJO,O,O,O,X,X,O
TZSILOJ,O,O,O,X,X,O
TZSIJLO,O,O,O,X,X,O
TZSIJOL,O,X,X,X,O,O
TZSIOLJ,O,X,X,X,O,O
TZSIOJL,O,X,X,X,O,O
TZSLIJO,O,O,O,X,X,X
TZSLIOJ,O,O,O,X,X,X
TZSLJIO,O,O,O,X,X,X
TZSLJOI,O,O,O,X,X,X
TZSLOIJ,O,O,O,X,X,X
TZSLOJI,O,O,O,X,X,X
TZSJILO,O,O,O,X,X,O
TZSJIOL,O,X,X,X,O,O
TZSJLIO,O,O,O,X,X,X
TZSJLOI,O,O,O,X,X,X
TZSJOIL,O,X,X,X,O,O
TZSJOLI,O,X,X,X,O,X
TZSOILJ,O,X,X,X,O,O
TZSOIJL,O,X,X,X,O,O
TZSOLIJ,O,X,X,X,O,X
TZSOLJI,O,X,X,X,O,X
TZSOJIL,O,X,X,X,O,O
TZSOJLI,O,X,X,X,O,X
