sequence,v115@FhF8BeG8CeH8AeE8JeT6IvhE2gBRcBCeB3hBFrB,v115@FhF8BeG8CeH8AeE8JeT6IvhEibBWiBxdBUhBFrB,v115@FhF8BeG8CeH8AeE8Je2/IvhERbBzcBCeBUhBFrB,v115@FhF8BeG8CeH8AeE8JeT6IvhExbB8hBCeBmgBFrB,v115@FhF8BeG8CeH8AeE8JeT6IvhEFcBxdBOrB/qBCsB,v115@FhF8BeG8CeH8AeE8JeT6IvhERcBCeBOrB/qBlrB,v115@FhF8BeG8CeH8AeE8JeT6IvhExbBCeBOrB8rBlqB,v115@FhF8BeG8CeH8AeE8JeT6IvhEFcBCeBOrB/qB8rB,v115@FhF8BeG8CeH8AeE8JeT6IvhExbB8hBCeBVrBmqB,v115@FhF8BeG8CeH8AeE8JeT6IvhExbBCeBXmB8mBmqB,v115@FhF8BeG8CeH8AeE8JeT6IvhE2gBxdBXmBCnBFrB,v115@FhF8BeG8CeH8AeE8JeT6IvhE2gBCeBXmB8mBFrB,v115@FhF8BeG8CeH8AeE8JeT6IvhE8hBCeBZmB/qBGrB,v115@FhF8BeG8CeH8AeE8JeT6IvhExdBmgBCiBllBcrB
TILZOJS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TILZOSJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TILOJSZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TILOSJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TILOZSJ,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TIJLSZO,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJLZOS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIJLOZS,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TIJSLZO,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIJSZLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJSOLZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIJSOZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJZLSO,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TIJZLOS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TIJZSLO,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TIJZSOL,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TIJZOLS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TIJZOSL,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIJOLZS,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TIJOSLZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJOZLS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TIJOZSL,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TISLZJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLZOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOJZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TISLOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TISJZLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TISJOZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZLJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISZLOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISZJLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISZJOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISZOLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISZOJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISOLJZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TISOLZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TISOJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TIZLJOS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TIZLSJO,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TIZLSOJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TIZLOJS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TIZLOSJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TIZJLSO,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TIZJLOS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TIZJSLO,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TIZJSOL,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TIZJOLS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TIZJOSL,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TIZSLJO,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TIZSLOJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TIZSJLO,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TIZSJOL,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TIZSOLJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TIZSOJL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZOLJS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TIZOLSJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TIZOJLS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TIZOJSL,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TIZOSLJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TIZOSJL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TIOLSJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TIOLZSJ,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TIOJLSZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOJLZS,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TIOJSLZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOJSZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOJZLS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOSLZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOSJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TIOZLSJ,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TIOZJLS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TIOZJSL,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TIOZSLJ,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TIOZSJL,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIJZOS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TLISJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLIZJOS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLIZSJO,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLIZSOJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TLIZOJS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLIZOSJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TLIOJSZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TLIOSJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLIOZSJ,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TLJISZO,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJISOZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJIZSO,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TLJIZOS,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TLJIOSZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJIOZS,O,O,O,O,X,X,O,X,X,X,X,X,X,O
TLJSIZO,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJSIOZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJSZIO,O,X,O,O,X,O,O,O,X,X,X,X,X,X
TLJSZOI,O,X,O,O,X,O,O,O,X,X,X,X,X,X
TLJSOIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJSOZI,O,X,X,O,X,O,O,O,X,X,X,X,X,X
TLJZISO,X,O,O,O,X,X,O,X,O,X,X,X,X,X
TLJZIOS,O,O,O,O,X,X,O,X,O,X,X,X,X,X
TLJZSIO,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TLJZSOI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TLJZOIS,O,O,O,O,X,X,O,X,O,X,X,X,X,X
TLJZOSI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TLJOISZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJOIZS,O,O,O,O,X,X,O,X,X,X,X,X,X,O
TLJOSIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJOSZI,O,X,X,O,X,O,O,O,X,X,X,X,X,X
TLJOZIS,O,O,O,O,X,X,O,X,O,X,X,X,X,O
TLJOZSI,O,O,O,O,X,O,O,O,O,X,X,X,X,O
TLSIJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,X,O,O,X,X,X,X,X,X,X,O,X,X
TLSJOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TLSZIJO,O,O,O,O,X,X,X,X,O,O,X,X,X,X
TLSZIOJ,O,O,O,O,X,X,X,X,O,O,X,X,X,X
TLSZJIO,O,O,O,O,X,X,X,X,O,O,X,X,X,X
TLSZJOI,O,O,O,O,X,X,X,X,O,O,X,O,X,X
TLSZOIJ,O,O,O,O,X,X,X,X,O,O,X,X,X,X
TLSZOJI,O,O,O,O,X,X,X,X,O,O,X,O,X,X
TLSOIJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TLSOZIJ,O,O,X,O,X,X,X,X,O,O,X,X,X,X
TLSOZJI,O,O,X,O,X,X,X,X,O,O,X,O,X,X
TLZIJSO,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZIJOS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZISJO,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZISOJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TLZIOJS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZIOSJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TLZJISO,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZJIOS,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZJSIO,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZJSOI,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZJOIS,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZJOSI,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZSIJO,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZSIOJ,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZSJIO,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZSJOI,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZSOIJ,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZSOJI,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZOIJS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZOISJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TLZOJIS,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZOJSI,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZOSIJ,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZOSJI,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLOIJSZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOIJZS,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TLOISJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOISZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZJS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLOIZSJ,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TLOJISZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TLOJIZS,O,O,O,O,X,X,O,X,X,X,X,X,X,O
TLOJSIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TLOJSZI,O,X,X,O,X,O,O,O,X,X,X,X,X,X
TLOJZIS,O,O,O,O,X,X,O,X,O,X,X,X,X,O
TLOJZSI,O,O,O,O,X,O,O,O,O,X,X,X,X,O
TLOSIJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOSJZI,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TLOSZIJ,O,O,X,O,X,X,X,X,O,O,X,X,X,X
TLOSZJI,O,O,X,O,X,X,X,X,O,O,X,O,X,X
TLOZIJS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLOZISJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TLOZJIS,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLOZJSI,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLOZSIJ,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLOZSJI,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TJILSZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TJILSOZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJILZSO,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TJILZOS,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TJILOSZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJILOZS,O,O,O,O,X,X,O,X,X,X,X,X,X,O
TJISLZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TJISLOZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJISZLO,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJISZOL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TJISOLZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJISOZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TJIZLSO,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJIZLOS,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TJIZSLO,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJIZSOL,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJIZOLS,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TJIZOSL,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJIOLSZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJIOLZS,O,O,O,O,X,X,O,X,X,X,X,X,X,O
TJIOSLZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJIOSZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TJIOZLS,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TJIOZSL,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJLISZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TJLISOZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJLIZSO,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TJLIZOS,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TJLIOSZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJLIOZS,O,O,O,O,X,X,O,X,X,X,X,X,X,O
TJLSIZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TJLSIOZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJLSZIO,O,X,O,O,O,O,O,O,X,X,X,X,X,X
TJLSZOI,O,X,O,O,O,O,O,O,X,X,X,X,X,X
TJLSOIZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJLSOZI,O,X,X,O,O,O,O,O,X,X,X,X,X,X
TJLZISO,X,O,O,O,X,X,O,X,O,X,X,X,X,X
TJLZIOS,O,O,O,O,X,X,O,X,O,X,X,X,X,X
TJLZSIO,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TJLZSOI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TJLZOIS,O,O,O,O,X,X,O,X,O,X,X,X,X,X
TJLZOSI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TJLOISZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJLOIZS,O,O,O,O,X,X,O,X,X,X,X,X,X,O
TJLOSIZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJLOSZI,O,X,X,O,O,O,O,O,X,X,X,X,X,X
TJLOZIS,O,O,O,O,X,X,O,X,O,X,X,X,X,O
TJLOZSI,O,O,O,O,X,O,O,O,O,X,X,X,X,O
TJSILZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TJSILOZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJSIZLO,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSIZOL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TJSIOLZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJSIOZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TJSLIZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TJSLIOZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJSLZIO,O,X,O,O,O,O,O,O,X,X,X,X,X,X
TJSLZOI,O,X,O,O,O,O,O,O,X,X,X,X,X,X
TJSLOIZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJSLOZI,O,X,X,O,O,O,O,O,X,X,X,X,X,X
TJSZILO,O,X,O,O,X,O,O,O,X,X,X,X,X,X
TJSZIOL,O,X,O,O,O,O,O,O,X,X,X,X,X,X
TJSZLIO,O,X,O,O,X,O,O,O,X,X,X,X,X,X
TJSZLOI,O,X,O,O,X,O,O,O,X,X,X,X,X,X
TJSZOIL,O,X,O,O,O,O,O,O,X,X,X,X,X,X
TJSZOLI,O,X,O,O,X,O,O,O,X,X,X,X,X,X
TJSOILZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJSOIZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TJSOLIZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJSOLZI,O,X,X,O,O,O,O,O,X,X,X,X,X,X
TJSOZIL,O,X,X,O,O,O,O,O,X,X,X,X,X,X
TJSOZLI,O,X,X,O,X,O,O,O,X,X,X,X,X,X
TJZILSO,X,O,O,O,X,X,O,X,O,X,X,X,X,X
TJZILOS,O,O,O,O,X,X,O,X,O,X,X,X,X,X
TJZISLO,X,O,O,O,X,X,O,X,O,X,X,X,X,X
TJZISOL,X,O,O,O,X,X,O,X,O,X,X,X,X,X
TJZIOLS,O,O,O,O,X,X,O,X,O,X,X,X,X,X
TJZIOSL,X,O,O,O,X,X,O,X,O,X,X,X,X,X
TJZLISO,X,O,O,O,X,X,O,X,O,X,X,X,X,X
TJZLIOS,O,O,O,O,X,X,O,X,O,X,X,X,X,X
TJZLSIO,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TJZLSOI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TJZLOIS,O,O,O,O,X,X,O,X,O,X,X,X,X,X
TJZLOSI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TJZSILO,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TJZSIOL,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TJZSLIO,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TJZSLOI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TJZSOIL,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TJZSOLI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TJZOILS,O,O,O,O,X,X,O,X,O,X,X,X,X,X
TJZOISL,X,O,O,O,X,X,O,X,O,X,X,X,X,X
TJZOLIS,O,O,O,O,X,X,O,X,O,X,X,X,X,X
TJZOLSI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TJZOSIL,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TJZOSLI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
TJOILSZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJOILZS,O,O,O,O,X,X,O,X,X,X,X,X,X,O
TJOISLZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJOISZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TJOIZLS,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TJOIZSL,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJOLISZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJOLIZS,O,O,O,O,X,X,O,X,X,X,X,X,X,O
TJOLSIZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJOLSZI,O,X,X,O,O,O,O,O,X,X,X,X,X,X
TJOLZIS,O,O,O,O,X,X,O,X,O,X,X,X,X,O
TJOLZSI,O,O,O,O,X,O,O,O,O,X,X,X,X,O
TJOSILZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJOSIZL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TJOSLIZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TJOSLZI,O,X,X,O,O,O,O,O,X,X,X,X,X,X
TJOSZIL,O,X,X,O,O,O,O,O,X,X,X,X,X,X
TJOSZLI,O,X,X,O,X,O,O,O,X,X,X,X,X,X
TJOZILS,O,O,O,O,X,X,O,X,O,X,X,X,X,X
