sequence,v115@RhE8AeJ8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBv+jFDK+AAAvhFzhB1lBXeBsfBOfBxhB,v115@RhE8AeJ8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBv3ntCpOBAAvhFzhB0gB2kBXjBxhBlfB,v115@RhE8AeJ8AeC8JezBYaAFLDmClcJSAVDEHBEooRBPoA?VBUtPFDpCBAAvhF1lB3fB+jBsiBxhBifB,v115@RhE8AeJ8AeC8JezBYaAFLDmClcJSAVDEHBEooRBPoA?VB6/9tCM+AAAvhF0fBGjBlgBXjBifBxhB,v115@RhE8AeJ8AeC8JeTDYaAFLDmClcJSAVDEHBEooRBPoA?VBz/lFDM+AAAvhF3gBGiBlfB0hBifBxiB,v115@RhE8AeJ8AeC8JeTDYaAFLDmClcJSAVDEHBEooRBPoA?VBz/TFDU+AAAvhF3gBGiBifB0hBlfBxiB,v115@RhE8AeJ8AeC8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBJNUPCvOBAAvhFxkBfjB6jB2gBTaBlhB,v115@RhE8AeJ8AeC8JexHYaAFLDmClcJSAVDEHBEooRBJoA?VBTHUFDqOBAAvhF3gBTeBSiBsfBOfBlhB,v115@RhE8AeJ8AeC8JezBYaAFLDmClcJSAVDEHBEooRBPoA?VBzfjxCM+AAAvhF3gB+jBsiBlfBifBxhB,v115@RhE8AeJ8AeC8JezBYaAFLDmClcJSAVDEHBEooRBPoA?VBzfjWCU+AAAvhF3gB+jBsiBifBlfBxhB,v115@RhE8AeJ8AeC8JeTDYaAFLDmClcJSAVDEHBEooRBPoA?VBsX+tCK+AAAvhFSnB0cBlgB3aB2kBxiB,v115@RhE8AeJ8AeC8JeXCYaAFLDmClcJSAVDEHBEooRBToA?VBp3HgC0CBAAvhFxkBUeB2gBTaBlcBSoB,v115@RhE8AeJ8AeC8Je3AYaAFLDmClcJSAVDEHBEooRBToA?VBK+LgC6OBAAvhF+jBRiBKfBzaB0hBliB,v115@RhE8AeJ8AeC8Je3AYaAFLDmClcJSAVDEHBEooRBToA?VBK+TFDvOBAAvhF+jBRiByfB0hBTfBliB,v115@RhE8AeJ8AeC8JeUDYaAFLDmClcJSAVDEHBEooRBaoA?VBUubgCqCBAAvhFVnBxkB3cBTaBGeBibB,v115@RhE8AeJ8AeC8JeVHYaAFLDmClcJSAVDEHBEooRBUoA?VBK3TWCa+AAAvhF+jBzdB3cBKfBUgBRbB
JSLOZTI,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O
JSLOZIT,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,O
JSZTILO,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JSZTIOL,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X
JSZTLIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTLOI,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JSZTOIL,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JSZTOLI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JSZITLO,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X
JSZITOL,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X
JSZILTO,X,X,O,X,X,X,O,O,X,X,X,O,X,O,X,X
JSZILOT,X,X,O,X,X,X,O,O,X,O,X,O,O,O,X,X
JSZIOTL,X,X,O,X,X,X,O,O,O,O,X,O,X,X,X,X
JSZIOLT,X,X,O,X,X,X,O,O,O,O,X,O,X,X,X,X
JSZLTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTOI,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JSZLITO,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X
JSZLIOT,O,O,O,X,X,X,O,O,X,O,X,X,O,O,X,X
JSZLOTI,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JSZLOIT,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X
JSZOTIL,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JSZOTLI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JSZOITL,X,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
JSZOILT,X,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X
JSZOLTI,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JSZOLIT,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JSOTILZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O
JSOTIZL,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JSOTLIZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O
JSOTLZI,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,O
JSOTZIL,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JSOTZLI,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O
JSOITLZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSOITZL,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JSOILTZ,X,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X
JSOILZT,X,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X
JSOIZTL,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JSOIZLT,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JSOLTIZ,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O
JSOLTZI,O,O,O,X,O,O,X,X,O,O,X,X,X,X,X,O
JSOLITZ,X,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X
JSOLIZT,O,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X
JSOLZTI,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O
JSOLZIT,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,O
JSOZTIL,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JSOZTLI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JSOZITL,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JSOZILT,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JSOZLTI,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JSOZLIT,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JZTILSO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
JZTILOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
JZTISLO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
JZTISOL,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X
JZTIOLS,O,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X
JZTIOSL,O,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X
JZTLISO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
JZTLIOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
JZTLSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZTLSOI,O,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O
JZTLOIS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O
JZTLOSI,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O
JZTSILO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
JZTSIOL,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X
JZTSLIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZTSLOI,O,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O
JZTSOIL,O,O,O,O,O,X,X,X,O,O,X,X,X,X,O,X
JZTSOLI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,O,O
JZTOILS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X
JZTOISL,O,O,O,O,O,X,X,X,O,O,X,X,X,X,O,X
JZTOLIS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O
JZTOLSI,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O
JZTOSIL,O,O,O,O,O,X,X,X,O,O,X,X,X,X,O,X
JZTOSLI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,O,O
JZITLSO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
JZITLOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
JZITSLO,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JZITSOL,X,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X
JZITOLS,O,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X
JZITOSL,O,O,O,O,X,X,O,O,O,O,X,X,X,X,O,X
JZILTSO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
JZILTOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
JZILSTO,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X
JZILSOT,O,O,X,X,X,X,O,O,X,O,X,X,O,X,O,X
JZILOTS,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O,X
JZILOST,O,O,X,X,X,X,O,O,O,O,X,X,O,X,O,X
JZISTLO,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JZISTOL,X,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X
JZISLTO,X,X,O,X,X,X,O,O,X,X,X,X,X,O,O,X
JZISLOT,X,X,O,X,X,X,O,O,X,O,X,X,O,O,O,X
JZISOTL,X,X,O,X,X,X,O,O,O,O,X,X,X,X,O,X
JZISOLT,X,X,O,X,X,X,O,O,O,O,X,X,X,X,O,X
JZIOTLS,O,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X
JZIOTSL,O,O,O,O,X,X,O,O,O,O,X,X,X,X,O,X
JZIOLTS,O,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X
JZIOLST,O,O,X,X,X,X,O,O,O,O,X,X,X,X,O,X
JZIOSTL,X,O,O,O,X,X,O,O,O,O,X,X,X,X,O,X
JZIOSLT,X,O,O,X,X,X,O,O,O,O,X,X,X,X,O,X
JZLTISO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
JZLTIOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
JZLTSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZLTSOI,O,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O
JZLTOIS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O
JZLTOSI,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O
JZLITSO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O
JZLITOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O
JZLISTO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O
JZLISOT,O,O,X,X,X,X,X,O,X,O,X,X,O,X,O,O
JZLIOTS,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O,O
JZLIOST,O,O,X,X,X,X,X,O,O,O,X,X,O,X,O,O
JZLSTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JZLSTOI,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O
JZLSITO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O
JZLSIOT,O,O,O,X,X,X,X,O,X,O,X,X,O,X,X,O
JZLSOTI,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O
JZLSOIT,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,O
JZLOTIS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O
JZLOTSI,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O
JZLOITS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O
JZLOIST,O,O,X,X,X,O,X,X,O,O,X,X,O,X,X,O
JZLOSTI,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O
JZLOSIT,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,O
JZSTILO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
JZSTIOL,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X
JZSTLIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JZSTLOI,O,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X
JZSTOIL,O,O,O,O,O,X,X,X,O,O,X,X,X,X,O,X
JZSTOLI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,O,X
JZSITLO,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
JZSITOL,X,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X
JZSILTO,X,X,O,X,X,X,O,O,X,X,X,X,X,O,O,X
JZSILOT,X,X,O,X,X,X,O,O,X,O,X,X,O,O,O,X
JZSIOTL,X,X,O,X,X,X,O,O,O,O,X,X,X,X,O,X
JZSIOLT,X,X,O,X,X,X,O,O,O,O,X,X,X,X,O,X
JZSLTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTOI,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
JZSLITO,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X
JZSLIOT,O,O,O,X,X,X,O,O,X,O,X,X,O,O,X,X
JZSLOTI,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JZSLOIT,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X
JZSOTIL,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JZSOTLI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JZSOITL,X,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
JZSOILT,X,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X
JZSOLTI,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JZSOLIT,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JZOTILS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X
JZOTISL,O,O,O,O,O,X,X,X,O,O,X,X,X,X,O,X
JZOTLIS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O
JZOTLSI,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O
JZOTSIL,O,O,O,O,O,X,X,X,O,O,X,X,X,X,O,X
JZOTSLI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,O,O
JZOITLS,O,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X
JZOITSL,O,O,O,O,O,X,X,O,O,O,X,X,X,X,O,X
JZOILTS,O,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X
JZOILST,O,O,X,X,X,O,X,O,O,O,X,X,X,X,O,X
JZOISTL,X,O,O,O,O,X,X,O,O,O,X,X,X,X,O,X
JZOISLT,X,O,O,X,X,O,X,O,O,O,X,X,X,X,O,X
JZOLTIS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O
JZOLTSI,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O
JZOLITS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O
JZOLIST,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O
JZOLSTI,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O
JZOLSIT,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O
JZOSTIL,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JZOSTLI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JZOSITL,X,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
JZOSILT,X,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X
JZOSLTI,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JZOSLIT,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JOTILSZ,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O
JOTILZS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O
JOTISLZ,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O
JOTISZL,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JOTIZLS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JOTIZSL,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JOTLISZ,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O
JOTLIZS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O
JOTLSIZ,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,O
JOTLSZI,O,O,O,X,O,O,X,X,O,O,O,X,X,X,X,O
JOTLZIS,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O
JOTLZSI,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O
JOTSILZ,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O
JOTSIZL,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JOTSLIZ,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,O
JOTSLZI,X,O,O,X,O,O,X,X,O,O,O,X,X,X,X,O
JOTSZIL,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JOTSZLI,X,O,O,O,O,X,X,X,O,O,O,X,X,X,X,O
JOTZILS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
JOTZISL,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JOTZLIS,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O
JOTZLSI,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O
JOTZSIL,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JOTZSLI,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,O
JOITLSZ,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O
JOITLZS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O
JOITSLZ,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O
JOITSZL,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JOITZLS,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X
JOITZSL,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X
JOILTSZ,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,O
JOILTZS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O
JOILSTZ,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
JOILSZT,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
JOILZTS,O,O,X,O,X,X,X,O,X,O,O,X,X,X,X,O
JOILZST,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,O
JOISTLZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JOISTZL,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JOISLTZ,X,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X
JOISLZT,X,O,O,X,X,O,X,O,X,O,X,X,O,O,X,X
JOISZTL,X,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
JOISZLT,X,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X
JOIZTLS,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
JOIZTSL,O,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
JOIZLTS,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
JOIZLST,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JOIZSTL,X,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
JOIZSLT,X,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X
JOLTISZ,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,O
JOLTIZS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O
JOLTSIZ,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,O
JOLTSZI,O,O,O,X,O,O,X,X,O,O,O,X,X,X,X,O
JOLTZIS,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O
JOLTZSI,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O
JOLITSZ,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,O
JOLITZS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O
JOLISTZ,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
JOLISZT,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X
JOLIZTS,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,O
JOLIZST,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,O
JOLSTIZ,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O
JOLSTZI,O,O,O,X,O,O,X,X,O,O,X,X,X,X,X,O
JOLSITZ,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
JOLSIZT,O,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
JOLSZTI,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O
JOLSZIT,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,O
JOLZTIS,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O
JOLZTSI,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O
JOLZITS,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O
JOLZIST,O,O,X,X,X,O,X,X,O,O,X,X,O,X,X,O
JOLZSTI,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O
JOLZSIT,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,O
JOSTILZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O
JOSTIZL,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JOSTLIZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O
JOSTLZI,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,O
JOSTZIL,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JOSTZLI,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O
JOSITLZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JOSITZL,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JOSILTZ,X,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X
JOSILZT,X,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X
JOSIZTL,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JOSIZLT,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JOSLTIZ,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O
JOSLTZI,O,O,O,X,O,O,X,X,O,O,X,X,X,X,X,O
JOSLITZ,X,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X
JOSLIZT,O,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X
JOSLZTI,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O
JOSLZIT,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,O
JOSZTIL,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JOSZTLI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JOSZITL,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JOSZILT,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JOSZLTI,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JOSZLIT,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JOZTILS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
JOZTISL,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JOZTLIS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O
JOZTLSI,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O
JOZTSIL,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JOZTSLI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O
JOZITLS,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
JOZITSL,O,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
JOZILTS,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
JOZILST,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JOZISTL,X,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
JOZISLT,X,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X
JOZLTIS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O
JOZLTSI,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O
JOZLITS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O
JOZLIST,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O
JOZLSTI,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O
JOZLSIT,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O
JOZSTIL,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JOZSTLI,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JOZSITL,X,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
JOZSILT,X,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X
JOZSLTI,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
JOZSLIT,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
STILJZO,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O
STILJOZ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O
STILZJO,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,O
STILZOJ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,O,O
STILOJZ,X,X,O,X,X,X,O,X,X,X,O,O,X,X,O,O
STILOZJ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,O,X
STIJLZO,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O
STIJLOZ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O
STIJZLO,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
STIJZOL,X,X,O,X,X,X,O,X,O,X,X,O,X,X,O,X
STIJOLZ,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,O
STIJOZL,X,X,O,X,O,X,O,X,O,X,X,O,X,X,O,X
STIZLJO,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
STIZLOJ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,O,X
STIZJLO,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
STIZJOL,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
STIZOLJ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,O,X
STIZOJL,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O,X
STIOLJZ,X,X,O,X,O,X,O,X,X,X,O,O,X,X,O,X
STIOLZJ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,O,X
STIOJLZ,X,X,O,X,O,X,O,X,X,X,O,O,X,X,O,X
STIOJZL,X,X,O,O,O,X,O,X,O,X,X,O,X,X,O,X
STIOZLJ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,O,X
STIOZJL,X,X,X,O,O,X,O,O,X,X,X,O,X,X,O,X
STLIJZO,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O
STLIJOZ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O
STLIZJO,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,O
STLIZOJ,O,X,X,X,X,X,O,X,X,X,O,O,X,X,O,O
STLIOJZ,O,X,O,X,X,X,O,X,X,X,O,O,X,X,O,O
STLIOZJ,O,X,X,X,X,X,O,X,X,X,O,O,X,X,O,X
STLJIZO,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,O
