sequence,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeW2IvhFxR?ByXBTbB0hBXhBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JezwIvhFXS?B8XBibBWhBRmBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeCxIvhFmS?BTWBxgB0hBXhBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8Jef2IvhFmR?BzSBxgBqgB0hBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8Jef2IvhF6W?BZXBucB0gBzhBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeCxIvhFOX?B8XBTWBRmB/qBFrB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JezwIvhFRS?BWcB/gB0hBihBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeCxIvhFmS?BxbBTbB0hBXhBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeR2IvhF3X?BTbB0hBGgBihBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeZ3IvhFzS?BGWB/gBqhB8qBFqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JezwIvhFOX?B8XB/gB1mByqB5lB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JezyIvhFRW?BFWBqhB3lBmlB8qB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeRxIvhFzS?BFWBqhB3lBmlB8qB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JezyIvhFxb?BfbB+lB0hBamBlqB
TIJLSZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TIJLZSO,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TIJLZOS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TIJLOSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJLOZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJSZLO,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJSZOL,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIJSOLZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TIJZLSO,O,O,O,O,O,X,X,O,X,X,X,X,X,X
TIJZLOS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TIJZSLO,O,O,O,X,O,X,X,O,X,X,X,X,X,X
TIJZSOL,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TIJZOLS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TIJZOSL,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TIJOLSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJOLZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJOSZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOZLS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TIJOZSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
TISLJOZ,X,X,O,O,X,O,X,X,X,X,O,X,X,X
TISLZJO,X,O,O,O,O,O,X,X,X,X,O,X,X,X
TISLZOJ,X,O,X,O,O,O,X,X,O,X,O,X,X,X
TISLOJZ,X,X,O,O,X,O,X,X,X,X,O,X,X,X
TISLOZJ,X,O,O,O,X,O,X,X,O,X,O,X,X,X
TISJLZO,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TISJLOZ,X,X,O,O,X,O,O,X,X,X,X,X,X,X
TISJZLO,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TISJZOL,X,X,O,O,O,O,O,X,O,X,X,X,X,X
TISJOLZ,X,X,O,O,X,O,O,X,X,X,X,X,X,X
TISJOZL,X,X,X,O,X,O,O,X,O,X,X,X,X,X
TISZLJO,X,O,O,O,O,O,X,X,X,X,O,X,X,X
TISZLOJ,X,O,X,O,O,O,X,X,O,X,O,X,X,X
TISZJLO,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TISZJOL,X,O,O,O,O,O,O,X,O,X,X,X,X,X
TISZOLJ,X,O,O,O,O,O,X,X,O,X,O,X,X,X
TISZOJL,X,O,O,O,O,O,O,X,O,X,X,X,X,X
TISOLJZ,X,X,O,O,X,O,X,X,X,X,O,X,X,X
TISOLZJ,X,O,O,O,X,O,X,X,O,X,O,X,X,X
TISOJLZ,X,X,O,O,X,O,O,X,X,X,X,X,X,X
TISOJZL,X,X,X,O,X,O,O,X,O,X,X,X,X,X
TISOZLJ,X,O,O,O,X,O,X,X,O,X,O,X,X,X
TISOZJL,X,O,O,O,X,O,O,X,O,X,X,X,X,X
TIZLJSO,O,O,O,O,O,O,X,O,X,X,X,X,X,X
TIZLJOS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TIZLSJO,O,O,O,O,O,O,X,O,X,X,X,X,X,X
TIZLSOJ,X,O,X,O,O,O,X,X,O,X,X,X,X,X
TIZLOJS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TIZLOSJ,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TIZJLSO,O,O,O,O,O,O,X,O,X,X,X,X,X,X
TIZJLOS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TIZJSLO,O,O,O,X,O,O,X,O,X,X,X,X,X,X
TIZJSOL,X,O,O,X,O,O,X,O,O,X,X,X,X,X
TIZJOLS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TIZJOSL,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TIZSLJO,X,O,O,O,O,O,X,O,X,X,O,X,X,X
TIZSLOJ,X,O,X,O,O,O,X,X,O,X,O,X,X,X
TIZSJLO,X,O,O,X,O,O,O,O,X,X,X,X,X,X
TIZSJOL,X,O,O,O,O,O,O,O,O,X,X,X,X,X
TIZSOLJ,X,O,O,O,O,O,X,O,O,X,O,X,X,X
TIZSOJL,X,O,O,O,O,O,O,O,O,X,X,X,X,X
TIZOLJS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TIZOLSJ,O,O,O,O,X,X,X,O,O,X,X,X,X,X
TIZOJLS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TIZOJSL,O,O,O,X,O,X,X,O,O,X,X,X,X,X
TIZOSLJ,O,O,O,O,O,X,X,O,O,X,O,X,X,X
TIZOSJL,O,O,O,O,O,X,O,O,O,X,X,X,X,X
TIOLJSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X
TIOLSZJ,X,O,O,O,X,O,X,X,O,X,X,X,X,X
TIOLZJS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOJLZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TIOJZLS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TIOJZSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,O,O,X,X,X,X,X,X,O,O,X,X
TIOSLZJ,X,O,O,O,X,X,X,X,O,X,O,X,X,X
TIOSJLZ,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TIOSJZL,X,X,X,O,X,X,O,X,O,X,X,X,X,X
TIOSZLJ,X,O,O,O,X,X,X,X,O,X,O,X,X,X
TIOSZJL,X,O,O,O,X,X,O,X,O,X,X,X,X,X
TIOZLJS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TIOZJLS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TIOZJSL,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TIOZSLJ,O,O,O,O,X,X,X,X,O,X,O,X,X,X
TIOZSJL,O,O,O,O,X,X,O,X,O,X,X,X,X,X
TLIJSZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIJZSO,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TLIJZOS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TLIJOSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIJOZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLISJOZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLISZJO,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TLISZOJ,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TLISOJZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLISOZJ,X,O,O,O,X,O,X,X,O,X,X,X,X,X
TLIZJSO,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TLIZJOS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TLIZSJO,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TLIZSOJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLIZOJS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TLIZOSJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIOJZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X
TLIOSZJ,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TLIOZJS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJISZO,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJIZOS,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJIOSZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLJSZOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,O,O,O,X,O,X,X,O,X,X,X,X,X,X
TLJZIOS,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TLJZSIO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLJZSOI,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLJZOIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJZOSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJOZSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,X,O,O,X,X,X,X,X,X,O,X,X,X
TLSIJOZ,O,X,O,O,X,X,X,X,X,X,O,X,X,X
TLSIZJO,X,X,O,O,O,X,X,X,X,X,O,X,X,X
TLSIZOJ,X,X,X,O,O,X,X,X,O,X,O,X,X,X
TLSIOJZ,X,X,O,O,X,X,X,X,X,X,O,O,X,X
TLSIOZJ,X,X,O,O,X,X,X,X,O,X,O,X,X,X
TLSJIZO,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLSJIOZ,X,X,O,O,X,X,O,X,X,X,O,O,X,X
TLSJZIO,X,X,X,X,O,X,O,O,X,X,O,X,O,X
TLSJZOI,O,X,X,X,O,X,O,X,X,X,O,X,O,X
TLSJOIZ,O,X,X,O,X,X,O,X,X,X,O,O,X,X
TLSJOZI,O,X,X,X,X,X,O,X,X,X,O,X,O,X
TLSZIJO,O,O,X,X,O,X,X,O,X,X,O,X,X,X
TLSZIOJ,X,O,X,X,O,X,X,X,O,X,O,X,X,X
TLSZJIO,X,X,X,X,O,X,O,O,X,X,O,X,X,X
TLSZJOI,O,O,X,X,O,X,O,X,X,X,O,X,X,X
TLSZOIJ,O,O,X,X,O,X,X,X,O,X,O,X,X,X
TLSZOJI,O,O,X,X,O,X,O,X,X,X,O,X,X,X
TLSOIJZ,O,X,X,O,X,X,X,X,X,X,O,O,X,X
TLSOIZJ,X,X,X,O,X,X,X,X,O,X,O,X,X,X
TLSOJIZ,O,X,X,O,X,X,O,X,X,X,O,O,X,X
TLSOJZI,O,X,X,X,X,X,O,X,X,X,O,X,O,X
TLSOZIJ,X,O,X,X,O,X,X,X,X,X,O,X,X,X
TLSOZJI,X,O,X,X,O,X,O,X,X,X,O,X,X,X
TLZIJSO,O,O,O,X,O,O,X,O,X,X,X,X,X,X
TLZIJOS,O,O,O,X,X,X,X,O,X,O,X,X,X,X
TLZISJO,O,O,O,X,O,O,X,O,X,O,X,X,X,X
TLZISOJ,X,O,X,X,O,X,X,X,O,O,X,X,X,X
TLZIOJS,O,O,O,X,X,X,X,O,X,O,X,X,X,X
TLZIOSJ,O,O,O,X,X,X,X,O,X,O,X,X,X,X
TLZJISO,O,O,O,X,O,O,X,O,X,X,X,X,X,X
TLZJIOS,O,O,O,X,X,X,X,O,X,O,X,X,X,X
TLZJSIO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLZJSOI,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZJOIS,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TLZJOSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,O,X,X,O,X,X,O,X,O,O,X,X,X
TLZSIOJ,X,O,X,X,O,X,X,X,O,O,O,X,X,X
TLZSJIO,X,X,X,X,O,X,O,O,X,O,O,X,X,X
TLZSJOI,O,O,X,X,O,X,O,X,X,O,O,X,X,X
TLZSOIJ,O,O,X,X,O,X,X,X,O,O,O,X,X,X
TLZSOJI,O,O,X,X,O,X,O,X,X,O,O,X,X,X
TLZOIJS,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TLZOISJ,O,O,X,X,X,X,X,X,O,O,X,X,X,X
TLZOJIS,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TLZOJSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,O,X,X,X,X,X,X,O,O,O,X,X,X
TLZOSJI,O,O,X,X,X,X,O,X,X,O,O,X,X,X
TLOIJSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOIJZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOISJZ,O,X,O,O,X,X,X,X,X,X,X,O,X,X
TLOISZJ,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLOIZJS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOJISZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOJIZS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJZIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLOJZSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,X,X,O,X,X,X,X,X,X,O,O,X,X
TLOSIZJ,X,X,X,O,X,X,X,X,O,X,O,X,X,X
TLOSJIZ,O,X,X,O,X,X,O,X,X,X,O,O,X,X
TLOSJZI,O,X,X,X,X,X,O,X,X,X,O,X,O,X
TLOSZIJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLOSZJI,X,O,X,X,X,X,O,X,X,X,O,X,X,X
TLOZIJS,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TLOZISJ,O,O,X,X,X,X,X,X,O,O,X,X,X,X
TLOZJIS,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TLOZJSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,O,X,X,X,X,X,X,O,O,O,X,X,X
TLOZSJI,O,O,X,X,X,X,O,X,X,O,O,X,X,X
TJILSZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJILSOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJILZSO,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TJILZOS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TJILOSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJILOZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJISLZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJISLOZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJISZLO,X,X,O,X,O,X,X,X,X,X,X,X,X,O
TJISZOL,X,X,O,O,O,X,X,X,O,X,X,X,X,O
TJISOLZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJISOZL,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TJIZLSO,O,O,O,O,O,X,X,O,X,X,X,X,X,X
TJIZLOS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TJIZSLO,O,O,O,X,O,X,X,O,X,X,X,X,X,O
TJIZSOL,X,O,O,X,O,X,X,O,X,X,X,X,X,O
TJIZOLS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TJIZOSL,X,O,O,X,O,X,X,O,X,X,X,X,X,O
TJIOLSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJIOLZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJIOSLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJIOSZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIOZLS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJIOZSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLISZO,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLISOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLIZSO,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TJLIZOS,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TJLIOSZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLIOZS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLSIZO,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLSZIO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJLSZOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TJLSOIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSOZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZISO,O,O,O,X,O,X,X,O,X,X,X,X,X,X
TJLZIOS,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TJLZSIO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJLZSOI,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJLZOIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJLZOSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLOISZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLOIZS,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOSZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOZIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJLOZSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSILZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJSILOZ,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TJSIZLO,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TJSIZOL,X,X,O,O,O,X,O,X,O,X,X,X,X,X
TJSIOLZ,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TJSIOZL,X,X,X,O,X,X,O,X,O,X,X,X,X,X
TJSLIZO,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TJSLIOZ,X,X,O,O,X,X,O,X,X,X,O,X,X,X
TJSLZIO,X,X,X,X,O,X,O,O,X,X,O,X,X,X
TJSLZOI,O,X,X,X,O,X,O,X,X,X,O,X,X,X
TJSLOIZ,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TJSLOZI,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TJSZILO,O,X,X,X,O,X,O,O,X,X,X,X,X,X
TJSZIOL,X,X,X,O,O,X,O,O,O,X,X,X,X,X
TJSZLIO,X,X,X,X,O,X,O,O,X,X,O,X,X,X
TJSZLOI,O,X,X,X,O,X,O,X,X,X,O,X,X,X
TJSZOIL,X,X,X,O,O,X,O,X,O,X,X,X,X,X
TJSZOLI,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TJSOILZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TJSOIZL,X,X,X,O,X,X,O,X,O,X,X,X,X,X
TJSOLIZ,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TJSOLZI,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TJSOZIL,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TJSOZLI,O,X,X,X,O,X,O,X,X,X,O,X,X,X
TJZILSO,O,O,O,X,O,X,X,O,X,X,X,X,X,X
TJZILOS,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TJZISLO,O,O,O,X,O,X,X,O,X,X,X,X,X,O
TJZISOL,X,O,O,X,O,X,X,O,O,X,X,X,X,O
TJZIOLS,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TJZIOSL,X,O,O,X,O,X,X,O,X,X,X,X,X,O
TJZLISO,O,O,O,X,O,X,X,O,X,X,X,X,X,X
TJZLIOS,O,O,O,X,X,X,X,O,X,O,X,X,X,X
TJZLSIO,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJZLSOI,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJZLOIS,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TJZLOSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZSILO,O,X,X,X,O,X,O,O,X,X,X,X,X,X
TJZSIOL,X,X,X,X,O,X,O,O,O,X,X,X,X,X
TJZSLIO,X,X,X,X,O,X,O,O,X,X,O,X,X,X
TJZSLOI,O,O,X,X,O,X,O,X,X,X,O,X,X,X
TJZSOIL,X,O,X,X,O,X,O,X,O,X,X,X,X,X
TJZSOLI,X,O,X,X,O,X,O,X,X,X,O,X,X,X
TJZOILS,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJZOISL,O,O,X,X,O,X,X,O,O,X,X,X,X,O
TJZOLIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJZOLSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZOSIL,O,O,X,X,O,X,O,X,O,X,X,X,X,X
TJZOSLI,O,O,X,X,O,X,O,X,X,X,O,X,X,X
TJOILSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJOILZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJOISLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
