sequence,v115@9gB8HeC8DeA8BeC8AeJ8AeE8JeK1IvhF6QBObBTjBp?UB0hB3dB,v115@9gB8HeC8DeA8BeC8AeJ8AeE8JeK9IvhFajBpeB0hBP?bBOVBTRB,v115@9gB8HeC8DeA8BeC8AeJ8AeE8JeK9IvhFajBpeB0hBX?UBTVBObB
LTJOZSIL,O,X,X
LTJOZSLI,O,X,X
LTSILJZO,X,O,X
LTSILJOZ,X,O,X
LTSILZJO,X,O,X
LTSILZOJ,X,O,X
LTSILOJZ,X,O,X
LTSILOZJ,X,O,X
LTSIJLZO,X,O,X
LTSIJLOZ,X,O,X
LTSIJZLO,X,O,X
LTSIJZOL,X,O,X
LTSIJOLZ,X,O,X
LTSIJOZL,X,O,X
LTSIZLJO,X,O,X
LTSIZLOJ,X,O,X
LTSIZJLO,X,O,X
LTSIZJOL,X,O,X
LTSIZOLJ,X,O,X
LTSIZOJL,X,O,X
LTSIOLJZ,X,O,X
LTSIOLZJ,X,O,X
LTSIOJLZ,X,O,X
LTSIOJZL,X,O,X
LTSIOZLJ,X,O,X
LTSIOZJL,X,O,X
LTSLIJZO,X,O,X
LTSLIJOZ,X,O,X
LTSLIZJO,X,O,X
LTSLIZOJ,X,O,X
LTSLIOJZ,X,O,X
LTSLIOZJ,X,O,X
LTSLJIZO,X,O,X
LTSLJIOZ,X,O,X
LTSLJZIO,X,O,X
LTSLJZOI,X,O,X
LTSLJOIZ,X,O,X
LTSLJOZI,X,O,X
LTSLZIJO,X,O,X
LTSLZIOJ,X,O,X
LTSLZJIO,X,O,X
LTSLZJOI,X,O,X
LTSLZOIJ,X,O,X
LTSLZOJI,X,O,X
LTSLOIJZ,X,O,X
LTSLOIZJ,X,O,X
LTSLOJIZ,X,O,X
LTSLOJZI,X,O,X
LTSLOZIJ,X,O,X
LTSLOZJI,X,O,X
LTSJILZO,X,O,X
LTSJILOZ,X,O,X
LTSJIZLO,X,O,X
LTSJIZOL,X,O,X
LTSJIOLZ,X,O,X
LTSJIOZL,X,O,X
LTSJLIZO,X,O,X
LTSJLIOZ,X,O,X
LTSJLZIO,X,O,X
LTSJLZOI,X,O,X
LTSJLOIZ,X,O,X
LTSJLOZI,X,O,X
LTSJZILO,X,O,X
LTSJZIOL,X,O,X
LTSJZLIO,X,O,X
LTSJZLOI,X,O,X
LTSJZOIL,X,O,X
LTSJZOLI,X,O,X
LTSJOILZ,X,O,X
LTSJOIZL,X,O,X
LTSJOLIZ,X,O,X
LTSJOLZI,X,O,X
LTSJOZIL,X,O,X
LTSJOZLI,X,O,X
LTSZILJO,X,O,X
LTSZILOJ,X,O,X
LTSZIJLO,X,O,X
LTSZIJOL,X,O,X
LTSZIOLJ,X,O,X
LTSZIOJL,X,O,X
LTSZLIJO,X,O,X
LTSZLIOJ,X,O,X
LTSZLJIO,X,O,X
LTSZLJOI,X,O,X
LTSZLOIJ,X,O,X
LTSZLOJI,X,O,X
LTSZJILO,X,O,X
LTSZJIOL,X,O,X
LTSZJLIO,X,O,X
LTSZJLOI,X,O,X
LTSZJOIL,X,O,X
LTSZJOLI,X,O,X
LTSZOILJ,X,O,X
LTSZOIJL,X,O,X
LTSZOLIJ,X,O,X
LTSZOLJI,X,O,X
LTSZOJIL,X,O,X
LTSZOJLI,X,O,X
LTSOILJZ,X,O,X
LTSOILZJ,X,O,X
LTSOIJLZ,X,O,X
LTSOIJZL,X,O,X
LTSOIZLJ,X,O,X
LTSOIZJL,X,O,X
LTSOLIJZ,X,O,X
LTSOLIZJ,X,O,X
LTSOLJIZ,X,O,X
LTSOLJZI,X,O,X
LTSOLZIJ,X,O,X
LTSOLZJI,X,O,X
LTSOJILZ,X,O,X
LTSOJIZL,X,O,X
LTSOJLIZ,X,O,X
LTSOJLZI,X,O,X
LTSOJZIL,X,O,X
LTSOJZLI,X,O,X
LTSOZILJ,X,O,X
LTSOZIJL,X,O,X
LTSOZLIJ,X,O,X
LTSOZLJI,X,O,X
LTSOZJIL,X,O,X
LTSOZJLI,X,O,X
LTZILJSO,X,O,O
LTZILJOS,X,X,O
LTZILSJO,X,O,O
LTZILSOJ,X,O,O
LTZILOJS,X,X,O
LTZILOSJ,X,X,O
LTZIJLSO,X,O,O
LTZIJLOS,X,X,O
LTZIJSLO,X,O,O
LTZIJSOL,X,O,O
LTZIJOLS,X,X,O
LTZIJOSL,X,X,O
LTZISLJO,X,O,O
LTZISLOJ,X,O,O
LTZISJLO,X,O,O
LTZISJOL,X,O,O
LTZISOLJ,X,O,O
LTZISOJL,X,O,O
LTZIOLJS,X,X,O
LTZIOLSJ,X,X,O
LTZIOJLS,X,X,O
LTZIOJSL,X,X,O
LTZIOSLJ,X,X,O
LTZIOSJL,X,X,O
LTZLIJSO,X,O,O
LTZLIJOS,X,X,O
LTZLISJO,X,O,O
LTZLISOJ,X,O,O
LTZLIOJS,X,X,O
LTZLIOSJ,X,X,O
LTZLJISO,X,O,O
LTZLJIOS,X,X,O
LTZLJSIO,X,O,X
LTZLJSOI,X,O,X
LTZLJOIS,O,X,O
LTZLJOSI,O,X,X
LTZLSIJO,X,O,X
LTZLSIOJ,X,O,X
LTZLSJIO,X,O,X
LTZLSJOI,X,O,X
LTZLSOIJ,X,O,X
LTZLSOJI,X,O,X
LTZLOIJS,O,X,O
LTZLOISJ,O,X,O
LTZLOJIS,O,X,O
LTZLOJSI,O,X,X
LTZLOSIJ,O,X,X
LTZLOSJI,O,X,X
LTZJILSO,X,O,O
LTZJILOS,X,X,O
LTZJISLO,X,O,O
LTZJISOL,X,O,O
LTZJIOLS,X,X,O
LTZJIOSL,X,X,O
LTZJLISO,X,O,O
LTZJLIOS,X,X,O
LTZJLSIO,X,O,X
LTZJLSOI,X,O,X
LTZJLOIS,O,X,O
LTZJLOSI,O,X,X
LTZJSILO,X,O,X
LTZJSIOL,X,O,X
LTZJSLIO,X,O,X
LTZJSLOI,X,O,X
LTZJSOIL,X,O,X
LTZJSOLI,X,O,X
LTZJOILS,O,X,O
LTZJOISL,O,X,O
LTZJOLIS,O,X,O
LTZJOLSI,O,X,X
LTZJOSIL,O,X,X
LTZJOSLI,O,X,X
LTZSILJO,X,O,X
LTZSILOJ,X,O,X
LTZSIJLO,X,O,X
LTZSIJOL,X,O,X
LTZSIOLJ,X,O,X
LTZSIOJL,X,O,X
LTZSLIJO,X,O,X
LTZSLIOJ,X,O,X
LTZSLJIO,X,O,X
LTZSLJOI,X,O,X
LTZSLOIJ,X,O,X
LTZSLOJI,X,O,X
LTZSJILO,X,O,X
LTZSJIOL,X,O,X
LTZSJLIO,X,O,X
LTZSJLOI,X,O,X
LTZSJOIL,X,O,X
LTZSJOLI,X,O,X
LTZSOILJ,X,O,X
LTZSOIJL,X,O,X
LTZSOLIJ,X,O,X
LTZSOLJI,X,O,X
LTZSOJIL,X,O,X
LTZSOJLI,X,O,X
LTZOILJS,O,X,O
LTZOILSJ,O,X,O
LTZOIJLS,O,X,O
LTZOIJSL,O,X,O
LTZOISLJ,O,X,O
LTZOISJL,O,X,O
LTZOLIJS,O,X,O
LTZOLISJ,O,X,O
LTZOLJIS,O,X,O
LTZOLJSI,O,X,X
LTZOLSIJ,O,X,X
LTZOLSJI,O,X,X
LTZOJILS,O,X,O
LTZOJISL,O,X,O
LTZOJLIS,O,X,O
LTZOJLSI,O,X,X
LTZOJSIL,O,X,X
LTZOJSLI,O,X,X
LTZOSILJ,O,X,X
LTZOSIJL,O,X,X
LTZOSLIJ,O,X,X
LTZOSLJI,O,X,X
LTZOSJIL,O,X,X
LTZOSJLI,O,X,X
LTOILJSZ,O,X,O
LTOILJZS,O,X,O
LTOILSJZ,O,X,O
LTOILSZJ,O,X,O
LTOILZJS,O,X,O
LTOILZSJ,O,X,O
LTOIJLSZ,O,X,O
LTOIJLZS,O,X,O
LTOIJSLZ,O,X,O
LTOIJSZL,O,X,O
LTOIJZLS,O,X,O
LTOIJZSL,O,X,O
LTOISLJZ,O,X,O
LTOISLZJ,O,X,O
LTOISJLZ,O,X,O
LTOISJZL,O,X,O
LTOISZLJ,O,X,O
LTOISZJL,O,X,O
LTOIZLJS,O,X,O
LTOIZLSJ,O,X,O
LTOIZJLS,O,X,O
LTOIZJSL,O,X,O
LTOIZSLJ,O,X,O
LTOIZSJL,O,X,O
LTOLIJSZ,O,X,O
LTOLIJZS,O,X,O
LTOLISJZ,O,X,O
LTOLISZJ,O,X,O
LTOLIZJS,O,X,O
LTOLIZSJ,O,X,O
LTOLJISZ,O,X,O
LTOLJIZS,O,X,O
LTOLJSIZ,O,X,X
LTOLJSZI,O,X,X
LTOLJZIS,O,X,O
LTOLJZSI,O,X,X
LTOLSIJZ,O,X,X
LTOLSIZJ,O,X,X
LTOLSJIZ,O,X,X
LTOLSJZI,O,X,X
LTOLSZIJ,O,X,X
LTOLSZJI,O,X,X
LTOLZIJS,O,X,O
LTOLZISJ,O,X,O
LTOLZJIS,O,X,O
LTOLZJSI,O,X,X
LTOLZSIJ,O,X,X
LTOLZSJI,O,X,X
LTOJILSZ,O,X,O
LTOJILZS,O,X,O
LTOJISLZ,O,X,O
LTOJISZL,O,X,O
LTOJIZLS,O,X,O
LTOJIZSL,O,X,O
LTOJLISZ,O,X,O
LTOJLIZS,O,X,O
LTOJLSIZ,O,X,X
LTOJLSZI,O,X,X
LTOJLZIS,O,X,O
LTOJLZSI,O,X,X
LTOJSILZ,O,X,X
LTOJSIZL,O,X,X
LTOJSLIZ,O,X,X
LTOJSLZI,O,X,X
LTOJSZIL,O,X,X
LTOJSZLI,O,X,X
LTOJZILS,O,X,O
LTOJZISL,O,X,O
LTOJZLIS,O,X,O
LTOJZLSI,O,X,X
LTOJZSIL,O,X,X
LTOJZSLI,O,X,X
LTOSILJZ,O,X,X
LTOSILZJ,O,X,X
LTOSIJLZ,O,X,X
LTOSIJZL,O,X,X
LTOSIZLJ,O,X,X
LTOSIZJL,O,X,X
LTOSLIJZ,O,X,X
LTOSLIZJ,O,X,X
LTOSLJIZ,O,X,X
LTOSLJZI,O,X,X
LTOSLZIJ,O,X,X
LTOSLZJI,O,X,X
LTOSJILZ,O,X,X
LTOSJIZL,O,X,X
LTOSJLIZ,O,X,X
LTOSJLZI,O,X,X
LTOSJZIL,O,X,X
LTOSJZLI,O,X,X
LTOSZILJ,O,X,X
LTOSZIJL,O,X,X
LTOSZLIJ,O,X,X
LTOSZLJI,O,X,X
LTOSZJIL,O,X,X
LTOSZJLI,O,X,X
LTOZILJS,O,X,O
LTOZILSJ,O,X,O
LTOZIJLS,O,X,O
LTOZIJSL,O,X,O
LTOZISLJ,O,X,O
LTOZISJL,O,X,O
LTOZLIJS,O,X,O
LTOZLISJ,O,X,O
LTOZLJIS,O,X,O
