sequence,v115@ygA8IeB8EeA8BeC8BeD8AeH8AeE8CeD8Je+vIvhEZQ?BTWBfgB8gBCdB,v115@ygA8IeB8EeA8BeC8BeD8AeH8AeE8CeD8Je+vIvhEZQ?B8aBfcBCdBTgB,v115@ygA8IeB8EeA8BeC8BeD8AeH8AeE8CeD8Je+vIvhEZQ?B0WBzaBCdB3gB,v115@ygA8IeB8EeA8BeC8BeD8AeH8AeE8CeD8Je+vIvhEZQ?BXWBzbBCdBUgB
ITOZSLJ,X,O,X,O
ITOZSJL,X,O,X,O
ILTJSZO,O,X,X,X
ILTJSOZ,X,X,O,X
ILTJZSO,O,X,X,X
ILTJZOS,X,X,X,O
ILTJOSZ,X,O,O,X
ILTJOZS,X,O,X,O
ILTSJZO,O,X,X,X
ILTSJOZ,X,X,O,X
ILTSZJO,O,X,X,X
ILTSZOJ,O,X,X,X
ILTSOJZ,X,X,O,X
ILTSOZJ,X,X,O,X
ILTZJSO,O,X,X,X
ILTZJOS,X,X,X,O
ILTZSJO,O,X,X,X
ILTZSOJ,O,X,X,X
ILTZOJS,X,X,X,O
ILTZOSJ,X,X,X,O
ILTOJSZ,X,O,O,X
ILTOJZS,X,O,X,O
ILTOSJZ,X,O,O,X
ILTOSZJ,X,O,O,X
ILTOZJS,X,O,X,O
ILTOZSJ,X,O,X,O
ILJTSZO,O,X,X,X
ILJTSOZ,X,X,O,X
ILJTZSO,O,X,X,X
ILJTZOS,X,X,X,O
ILJTOSZ,X,O,O,X
ILJTOZS,X,O,X,O
ILJSTZO,O,X,X,X
ILJSTOZ,X,X,O,X
ILJSZTO,O,X,X,X
ILJSZOT,O,X,O,O
ILJSOTZ,X,O,O,X
ILJSOZT,O,O,O,O
ILJZTSO,O,X,X,X
ILJZTOS,X,X,X,O
ILJZSTO,O,X,X,X
ILJZSOT,O,X,O,O
ILJZOTS,X,O,X,O
ILJZOST,O,O,O,O
ILJOTSZ,X,O,O,X
ILJOTZS,X,O,X,O
ILJOSTZ,X,O,O,X
ILJOSZT,O,O,O,O
ILJOZTS,X,O,X,O
ILJOZST,O,O,O,O
ILSTJZO,O,X,X,X
ILSTJOZ,X,X,O,X
ILSTZJO,O,X,X,X
ILSTZOJ,O,X,X,X
ILSTOJZ,X,X,O,X
ILSTOZJ,X,X,O,X
ILSJTZO,O,X,X,X
ILSJTOZ,X,X,O,X
ILSJZTO,O,X,X,X
ILSJZOT,O,X,O,O
ILSJOTZ,X,O,O,X
ILSJOZT,O,O,O,O
ILSZTJO,O,X,X,X
ILSZTOJ,O,X,X,X
ILSZJTO,O,X,X,X
ILSZJOT,O,X,O,O
ILSZOTJ,O,X,O,O
ILSZOJT,O,X,O,O
ILSOTJZ,X,O,O,X
ILSOTZJ,X,O,O,X
ILSOJTZ,X,O,O,X
ILSOJZT,O,O,O,O
ILSOZTJ,O,O,O,O
ILSOZJT,O,O,O,O
ILZTJSO,O,X,X,X
ILZTJOS,X,X,X,O
ILZTSJO,O,X,X,X
ILZTSOJ,O,X,X,X
ILZTOJS,X,X,X,O
ILZTOSJ,X,X,X,O
ILZJTSO,O,X,X,X
ILZJTOS,X,X,X,O
ILZJSTO,O,X,X,X
ILZJSOT,O,X,O,O
ILZJOTS,X,O,X,O
ILZJOST,O,O,O,O
ILZSTJO,O,X,X,X
ILZSTOJ,O,X,X,X
ILZSJTO,O,X,X,X
ILZSJOT,O,X,O,O
ILZSOTJ,O,X,O,O
ILZSOJT,O,X,O,O
ILZOTJS,X,O,X,O
ILZOTSJ,X,O,X,O
ILZOJTS,X,O,X,O
ILZOJST,O,O,O,O
ILZOSTJ,O,O,O,O
ILZOSJT,O,O,O,O
ILOTJSZ,X,O,O,X
ILOTJZS,X,O,X,O
ILOTSJZ,X,O,O,X
ILOTSZJ,X,O,O,X
ILOTZJS,X,O,X,O
ILOTZSJ,X,O,X,O
ILOJTSZ,X,O,O,X
ILOJTZS,X,O,X,O
ILOJSTZ,X,O,O,X
ILOJSZT,O,O,O,O
ILOJZTS,X,O,X,O
ILOJZST,O,O,O,O
ILOSTJZ,X,O,O,X
ILOSTZJ,X,O,O,X
ILOSJTZ,X,O,O,X
ILOSJZT,O,O,O,O
ILOSZTJ,O,O,O,O
ILOSZJT,O,O,O,O
ILOZTJS,X,O,X,O
ILOZTSJ,X,O,X,O
ILOZJTS,X,O,X,O
ILOZJST,O,O,O,O
ILOZSTJ,O,O,O,O
ILOZSJT,O,O,O,O
IJTLSZO,O,X,X,X
IJTLSOZ,X,X,O,X
IJTLZSO,O,X,X,X
IJTLZOS,X,X,X,O
IJTLOSZ,X,O,O,X
IJTLOZS,X,O,X,O
IJTSLZO,O,X,X,X
IJTSLOZ,X,X,O,X
IJTSZLO,O,X,X,X
IJTSZOL,O,X,X,X
IJTSOLZ,X,X,O,X
IJTSOZL,X,X,O,X
IJTZLSO,O,X,X,X
IJTZLOS,X,X,X,O
IJTZSLO,O,X,X,X
IJTZSOL,O,X,X,O
IJTZOLS,X,X,X,O
IJTZOSL,X,X,X,O
IJTOLSZ,X,O,O,X
IJTOLZS,X,O,X,O
IJTOSLZ,X,O,X,X
IJTOSZL,X,O,X,X
IJTOZLS,X,O,X,O
IJTOZSL,X,O,X,O
IJLTSZO,O,X,X,X
IJLTSOZ,X,X,O,X
IJLTZSO,O,X,X,X
IJLTZOS,X,X,X,O
IJLTOSZ,X,O,O,X
IJLTOZS,X,O,X,O
IJLSTZO,O,X,X,X
IJLSTOZ,X,X,O,X
IJLSZTO,O,X,X,X
IJLSZOT,O,X,O,O
IJLSOTZ,X,O,O,X
IJLSOZT,O,O,O,O
IJLZTSO,O,X,X,X
IJLZTOS,X,X,X,O
IJLZSTO,O,X,X,X
IJLZSOT,O,X,O,O
IJLZOTS,X,O,X,O
IJLZOST,O,O,O,O
IJLOTSZ,X,O,O,X
IJLOTZS,X,O,X,O
IJLOSTZ,X,O,O,X
IJLOSZT,O,O,O,O
IJLOZTS,X,O,X,O
IJLOZST,O,O,O,O
IJSTLZO,O,X,X,X
IJSTLOZ,X,X,O,X
IJSTZLO,O,X,X,X
IJSTZOL,O,X,X,X
IJSTOLZ,X,X,O,X
IJSTOZL,X,X,O,X
IJSLTZO,O,X,X,X
IJSLTOZ,X,X,O,X
IJSLZTO,O,X,X,X
IJSLZOT,O,X,O,O
IJSLOTZ,X,O,O,X
IJSLOZT,O,O,O,O
IJSZTLO,O,X,X,X
IJSZTOL,O,X,X,O
IJSZLTO,O,X,X,X
IJSZLOT,O,X,O,O
IJSZOTL,O,X,O,O
IJSZOLT,O,X,O,O
IJSOTLZ,X,O,O,X
IJSOTZL,X,O,O,X
IJSOLTZ,X,O,O,X
IJSOLZT,O,O,O,O
IJSOZTL,O,O,O,O
IJSOZLT,O,O,O,O
IJZTLSO,O,X,X,X
IJZTLOS,X,X,X,O
IJZTSLO,O,X,X,X
IJZTSOL,O,X,X,O
IJZTOLS,X,X,X,O
IJZTOSL,X,X,X,O
IJZLTSO,O,X,X,X
IJZLTOS,X,X,X,O
IJZLSTO,O,X,X,X
IJZLSOT,O,X,O,O
IJZLOTS,X,O,X,O
IJZLOST,O,O,O,O
IJZSTLO,O,X,X,X
IJZSTOL,O,X,X,O
IJZSLTO,O,X,X,X
IJZSLOT,O,X,O,O
IJZSOTL,O,X,O,O
IJZSOLT,O,X,O,O
IJZOTLS,X,O,X,O
IJZOTSL,X,O,X,O
IJZOLTS,X,O,X,O
IJZOLST,O,O,O,O
IJZOSTL,O,O,X,O
IJZOSLT,O,O,X,O
IJOTLSZ,X,O,O,X
IJOTLZS,X,O,X,O
IJOTSLZ,X,O,X,X
IJOTSZL,X,O,X,X
IJOTZLS,X,O,X,O
IJOTZSL,X,O,X,O
IJOLTSZ,X,O,O,X
IJOLTZS,X,O,X,O
IJOLSTZ,X,O,O,X
IJOLSZT,O,O,O,O
IJOLZTS,X,O,X,O
IJOLZST,O,O,O,O
IJOSTLZ,X,O,O,X
IJOSTZL,X,O,O,X
IJOSLTZ,X,O,O,X
IJOSLZT,O,O,O,O
IJOSZTL,O,O,O,O
IJOSZLT,O,O,O,O
IJOZTLS,X,O,X,O
IJOZTSL,X,O,X,O
IJOZLTS,X,O,X,O
IJOZLST,O,O,O,O
IJOZSTL,O,O,X,O
IJOZSLT,O,O,X,O
ISTLJZO,O,X,X,X
ISTLJOZ,X,X,O,X
ISTLZJO,O,X,X,X
ISTLZOJ,O,X,X,X
ISTLOJZ,X,X,O,X
ISTLOZJ,X,X,O,X
ISTJLZO,O,X,X,X
ISTJLOZ,X,X,O,X
ISTJZLO,O,X,X,X
ISTJZOL,O,X,X,X
ISTJOLZ,X,X,O,X
ISTJOZL,X,X,O,X
ISTZLJO,O,X,X,X
ISTZLOJ,O,X,X,X
ISTZJLO,O,X,X,X
ISTZJOL,O,X,X,X
ISTZOLJ,O,X,X,X
ISTZOJL,O,X,X,X
ISTOLJZ,X,X,O,X
ISTOLZJ,X,X,O,X
ISTOJLZ,X,X,O,X
ISTOJZL,X,X,O,X
ISTOZLJ,X,X,O,X
ISTOZJL,X,X,O,X
ISLTJZO,O,X,X,X
ISLTJOZ,X,X,O,X
ISLTZJO,O,X,X,X
ISLTZOJ,O,X,X,X
ISLTOJZ,X,X,O,X
ISLTOZJ,X,X,O,X
ISLJTZO,O,X,X,X
ISLJTOZ,X,X,O,X
ISLJZTO,O,X,X,X
ISLJZOT,O,X,O,O
ISLJOTZ,X,O,O,X
ISLJOZT,O,O,O,O
ISLZTJO,O,X,X,X
ISLZTOJ,O,X,X,X
ISLZJTO,O,X,X,X
ISLZJOT,O,X,O,O
ISLZOTJ,O,X,O,O
ISLZOJT,O,X,O,O
ISLOTJZ,X,O,O,X
ISLOTZJ,X,O,O,X
ISLOJTZ,X,O,O,X
ISLOJZT,O,O,O,O
ISLOZTJ,O,O,O,O
ISLOZJT,O,O,O,O
ISJTLZO,O,X,X,X
ISJTLOZ,X,X,O,X
ISJTZLO,O,X,X,X
ISJTZOL,O,X,X,X
ISJTOLZ,X,X,O,X
ISJTOZL,X,X,O,X
ISJLTZO,O,X,X,X
ISJLTOZ,X,X,O,X
ISJLZTO,O,X,X,X
ISJLZOT,O,X,O,O
ISJLOTZ,X,O,O,X
ISJLOZT,O,O,O,O
ISJZTLO,O,X,X,X
ISJZTOL,O,X,X,O
ISJZLTO,O,X,X,X
ISJZLOT,O,X,O,O
ISJZOTL,O,X,O,O
ISJZOLT,O,X,O,O
ISJOTLZ,X,O,O,X
ISJOTZL,X,O,O,X
ISJOLTZ,X,O,O,X
ISJOLZT,O,O,O,O
ISJOZTL,O,O,O,O
ISJOZLT,O,O,O,O
ISZTLJO,O,X,X,X
ISZTLOJ,O,X,X,X
ISZTJLO,O,X,X,X
ISZTJOL,O,X,X,O
ISZTOLJ,O,X,X,O
ISZTOJL,O,X,X,O
ISZLTJO,O,X,X,X
ISZLTOJ,O,X,X,X
ISZLJTO,O,X,X,X
ISZLJOT,O,X,O,O
ISZLOTJ,O,X,O,O
ISZLOJT,O,X,O,O
ISZJTLO,O,X,X,X
ISZJTOL,O,X,X,O
ISZJLTO,O,X,X,X
ISZJLOT,O,X,O,O
ISZJOTL,O,X,O,O
ISZJOLT,O,X,O,O
ISZOTLJ,O,X,O,O
ISZOTJL,O,X,O,O
ISZOLTJ,O,X,O,O
ISZOLJT,O,X,O,O
ISZOJTL,O,X,O,O
ISZOJLT,O,X,O,O
ISOTLJZ,X,O,O,X
ISOTLZJ,X,O,O,X
ISOTJLZ,X,O,O,X
ISOTJZL,X,O,O,X
ISOTZLJ,X,O,O,X
ISOTZJL,X,O,O,X
ISOLTJZ,X,O,O,X
ISOLTZJ,X,O,O,X
ISOLJTZ,X,O,O,X
ISOLJZT,O,O,O,O
ISOLZTJ,O,O,O,O
ISOLZJT,O,O,O,O
ISOJTLZ,X,O,O,X
ISOJTZL,X,O,O,X
ISOJLTZ,X,O,O,X
ISOJLZT,O,O,O,O
ISOJZTL,O,O,O,O
ISOJZLT,O,O,O,O
ISOZTLJ,O,O,O,O
ISOZTJL,O,O,O,O
ISOZLTJ,O,O,O,O
ISOZLJT,O,O,O,O
ISOZJTL,O,O,O,O
ISOZJLT,O,O,O,O
IZTLJSO,O,X,X,X
IZTLJOS,X,X,X,O
IZTLSJO,O,X,X,X
IZTLSOJ,O,X,X,X
IZTLOJS,X,X,X,O
IZTLOSJ,X,X,X,O
IZTJLSO,O,X,X,X
IZTJLOS,X,X,X,O
IZTJSLO,O,X,X,X
IZTJSOL,O,X,X,O
IZTJOLS,X,X,X,O
IZTJOSL,X,X,X,O
IZTSLJO,O,X,X,X
IZTSLOJ,O,X,X,X
IZTSJLO,O,X,X,X
IZTSJOL,O,X,X,O
IZTSOLJ,O,X,X,O
IZTSOJL,O,X,X,O
IZTOLJS,X,X,X,O
IZTOLSJ,X,X,X,O
IZTOJLS,X,X,X,O
IZTOJSL,X,X,X,O
IZTOSLJ,X,X,X,O
IZTOSJL,X,X,X,O
IZLTJSO,O,X,X,X
IZLTJOS,X,X,X,O
IZLTSJO,O,X,X,X
IZLTSOJ,O,X,X,X
IZLTOJS,X,X,X,O
IZLTOSJ,X,X,X,O
IZLJTSO,O,X,X,X
IZLJTOS,X,X,X,O
IZLJSTO,O,X,X,X
IZLJSOT,O,X,O,O
IZLJOTS,X,O,X,O
IZLJOST,O,O,O,O
IZLSTJO,O,X,X,X
IZLSTOJ,O,X,X,X
IZLSJTO,O,X,X,X
IZLSJOT,O,X,O,O
IZLSOTJ,O,X,O,O
IZLSOJT,O,X,O,O
IZLOTJS,X,O,X,O
IZLOTSJ,X,O,X,O
IZLOJTS,X,O,X,O
IZLOJST,O,O,O,O
IZLOSTJ,O,O,O,O
IZLOSJT,O,O,O,O
IZJTLSO,O,X,X,X
IZJTLOS,X,X,X,O
IZJTSLO,O,X,X,X
IZJTSOL,O,X,X,O
IZJTOLS,X,X,X,O
IZJTOSL,X,X,X,O
IZJLTSO,O,X,X,X
IZJLTOS,X,X,X,O
IZJLSTO,O,X,X,X
IZJLSOT,O,X,O,O
IZJLOTS,X,O,X,O
IZJLOST,O,O,O,O
IZJSTLO,O,X,X,X
IZJSTOL,O,X,X,O
IZJSLTO,O,X,X,X
IZJSLOT,O,X,O,O
IZJSOTL,O,X,O,O
IZJSOLT,O,X,O,O
IZJOTLS,X,O,X,O
IZJOTSL,X,O,X,O
IZJOLTS,X,O,X,O
IZJOLST,O,O,O,O
IZJOSTL,O,O,X,O
IZJOSLT,O,O,X,O
IZSTLJO,O,X,X,X
IZSTLOJ,O,X,X,X
IZSTJLO,O,X,X,X
IZSTJOL,O,X,X,O
IZSTOLJ,O,X,X,O
IZSTOJL,O,X,X,O
IZSLTJO,O,X,X,X
IZSLTOJ,O,X,X,X
IZSLJTO,O,X,X,X
IZSLJOT,O,X,O,O
IZSLOTJ,O,X,O,O
IZSLOJT,O,X,O,O
IZSJTLO,O,X,X,X
IZSJTOL,O,X,X,O
IZSJLTO,O,X,X,X
IZSJLOT,O,X,O,O
IZSJOTL,O,X,O,O
IZSJOLT,O,X,O,O
IZSOTLJ,O,X,O,O
IZSOTJL,O,X,O,O
IZSOLTJ,O,X,O,O
IZSOLJT,O,X,O,O
IZSOJTL,O,X,O,O
IZSOJLT,O,X,O,O
IZOTLJS,X,O,X,O
IZOTLSJ,X,O,X,O
IZOTJLS,X,O,X,O
IZOTJSL,X,O,X,O
IZOTSLJ,X,O,X,O
IZOTSJL,X,O,X,O
IZOLTJS,X,O,X,O
IZOLTSJ,X,O,X,O
IZOLJTS,X,O,X,O
IZOLJST,O,O,O,O
IZOLSTJ,O,O,O,O
IZOLSJT,O,O,O,O
IZOJTLS,X,O,X,O
IZOJTSL,X,O,X,O
IZOJLTS,X,O,X,O
IZOJLST,O,O,O,O
IZOJSTL,O,O,X,O
IZOJSLT,O,O,X,O
IZOSTLJ,O,O,X,O
IZOSTJL,O,O,X,O
IZOSLTJ,O,O,X,O
IZOSLJT,O,O,X,O
IZOSJTL,O,O,X,O
IZOSJLT,O,O,X,O
IOTLJSZ,X,O,O,X
IOTLJZS,X,O,X,O
IOTLSJZ,X,O,O,X
IOTLSZJ,X,O,O,X
IOTLZJS,X,O,X,O
IOTLZSJ,X,O,X,O
IOTJLSZ,X,O,O,X
IOTJLZS,X,O,X,O
IOTJSLZ,X,O,X,X
IOTJSZL,X,O,X,X
IOTJZLS,X,O,X,O
IOTJZSL,X,O,X,O
IOTSLJZ,X,O,X,X
IOTSLZJ,X,O,X,X
IOTSJLZ,X,O,X,X
IOTSJZL,X,O,X,X
IOTSZLJ,X,O,X,X
IOTSZJL,X,O,X,X
IOTZLJS,X,O,X,O
IOTZLSJ,X,O,X,O
IOTZJLS,X,O,X,O
IOTZJSL,X,O,X,O
IOTZSLJ,X,O,X,O
IOTZSJL,X,O,X,O
IOLTJSZ,X,O,O,X
IOLTJZS,X,O,X,O
IOLTSJZ,X,O,O,X
IOLTSZJ,X,O,O,X
IOLTZJS,X,O,X,O
IOLTZSJ,X,O,X,O
IOLJTSZ,X,O,O,X
IOLJTZS,X,O,X,O
IOLJSTZ,X,O,O,X
IOLJSZT,O,O,O,O
IOLJZTS,X,O,X,O
IOLJZST,O,O,O,O
IOLSTJZ,X,O,O,X
IOLSTZJ,X,O,O,X
IOLSJTZ,X,O,O,X
IOLSJZT,O,O,O,O
IOLSZTJ,O,O,O,O
IOLSZJT,O,O,O,O
IOLZTJS,X,O,X,O
IOLZTSJ,X,O,X,O
IOLZJTS,X,O,X,O
IOLZJST,O,O,O,O
IOLZSTJ,O,O,O,O
IOLZSJT,O,O,O,O
IOJTLSZ,X,O,O,X
IOJTLZS,X,O,X,O
IOJTSLZ,X,O,X,X
IOJTSZL,X,O,X,X
IOJTZLS,X,O,X,O
IOJTZSL,X,O,X,O
IOJLTSZ,X,O,O,X
IOJLTZS,X,O,X,O
IOJLSTZ,X,O,O,X
IOJLSZT,O,O,O,O
IOJLZTS,X,O,X,O
IOJLZST,O,O,O,O
IOJSTLZ,X,O,O,X
IOJSTZL,X,O,O,X
IOJSLTZ,X,O,O,X
IOJSLZT,O,O,O,O
IOJSZTL,O,O,O,O
IOJSZLT,O,O,O,O
IOJZTLS,X,O,X,O
IOJZTSL,X,O,X,O
IOJZLTS,X,O,X,O
IOJZLST,O,O,O,O
IOJZSTL,O,O,X,O
IOJZSLT,O,O,X,O
IOSTLJZ,X,O,O,X
IOSTLZJ,X,O,O,X
IOSTJLZ,X,O,O,X
IOSTJZL,X,O,O,X
IOSTZLJ,X,O,O,X
IOSTZJL,X,O,O,X
IOSLTJZ,X,O,O,X
IOSLTZJ,X,O,O,X
IOSLJTZ,X,O,O,X
IOSLJZT,O,O,O,O
IOSLZTJ,O,O,O,O
IOSLZJT,O,O,O,O
IOSJTLZ,X,O,O,X
IOSJTZL,X,O,O,X
IOSJLTZ,X,O,O,X
IOSJLZT,O,O,O,O
IOSJZTL,O,O,O,O
IOSJZLT,O,O,O,O
IOSZTLJ,O,O,O,O
IOSZTJL,O,O,O,O
IOSZLTJ,O,O,O,O
IOSZLJT,O,O,O,O
IOSZJTL,O,O,O,O
IOSZJLT,O,O,O,O
IOZTLJS,X,O,X,O
IOZTLSJ,X,O,X,O
IOZTJLS,X,O,X,O
IOZTJSL,X,O,X,O
IOZTSLJ,X,O,X,O
IOZTSJL,X,O,X,O
IOZLTJS,X,O,X,O
IOZLTSJ,X,O,X,O
IOZLJTS,X,O,X,O
IOZLJST,O,O,O,O
IOZLSTJ,O,O,O,O
IOZLSJT,O,O,O,O
IOZJTLS,X,O,X,O
IOZJTSL,X,O,X,O
IOZJLTS,X,O,X,O
IOZJLST,O,O,O,O
IOZJSTL,O,O,X,O
IOZJSLT,O,O,X,O
IOZSTLJ,O,O,X,O
IOZSTJL,O,O,X,O
IOZSLTJ,O,O,X,O
IOZSLJT,O,O,X,O
IOZSJTL,O,O,X,O
IOZSJLT,O,O,X,O
LTIJSZO,O,X,X,X
LTIJSOZ,X,X,O,X
LTIJZSO,O,X,X,X
LTIJZOS,X,X,X,O
LTIJOSZ,X,O,O,X
LTIJOZS,X,O,X,O
LTISJZO,O,X,X,X
LTISJOZ,X,X,O,X
LTISZJO,O,X,X,X
LTISZOJ,O,X,X,X
LTISOJZ,X,X,O,X
LTISOZJ,X,X,O,X
LTIZJSO,O,X,X,X
LTIZJOS,X,X,X,O
LTIZSJO,O,X,X,X
LTIZSOJ,O,X,X,X
LTIZOJS,X,X,X,O
LTIZOSJ,X,X,X,O
LTIOJSZ,X,O,O,X
LTIOJZS,X,O,X,O
LTIOSJZ,X,O,O,X
LTIOSZJ,X,O,O,X
LTIOZJS,X,O,X,O
LTIOZSJ,X,O,X,O
LTJISZO,O,X,X,X
LTJISOZ,X,X,O,X
LTJIZSO,O,X,X,X
LTJIZOS,X,X,X,O
LTJIOSZ,X,O,O,X
LTJIOZS,X,O,X,O
LTJSIZO,O,X,X,X
LTJSIOZ,X,X,O,X
LTJSZIO,O,X,X,X
LTJSZOI,O,X,X,X
LTJSOIZ,X,X,O,X
LTJSOZI,X,X,O,X
LTJZISO,O,X,X,X
LTJZIOS,X,X,X,O
LTJZSIO,O,X,X,X
LTJZSOI,O,X,X,X
LTJZOIS,X,X,X,O
LTJZOSI,X,X,X,O
LTJOISZ,X,O,O,X
LTJOIZS,X,O,X,O
LTJOSIZ,X,O,O,X
LTJOSZI,X,O,O,X
LTJOZIS,X,O,X,X
LTJOZSI,X,O,X,X
LTSIJZO,O,X,X,X
LTSIJOZ,X,X,O,X
LTSIZJO,O,X,X,X
LTSIZOJ,O,X,X,X
LTSIOJZ,X,X,O,X
LTSIOZJ,X,X,O,X
LTSJIZO,O,X,X,X
LTSJIOZ,X,X,O,X
LTSJZIO,O,X,X,X
LTSJZOI,O,X,X,X
LTSJOIZ,X,X,O,X
LTSJOZI,X,X,O,X
LTSZIJO,O,X,X,X
LTSZIOJ,O,X,X,X
LTSZJIO,O,X,X,X
LTSZJOI,O,X,X,X
LTSZOIJ,O,X,X,X
LTSZOJI,O,X,X,X
LTSOIJZ,X,X,O,X
LTSOIZJ,X,X,O,X
LTSOJIZ,X,X,O,X
LTSOJZI,X,X,O,X
LTSOZIJ,X,X,O,X
LTSOZJI,X,X,O,X
LTZIJSO,O,X,X,X
LTZIJOS,X,X,X,O
LTZISJO,O,X,X,X
LTZISOJ,O,X,X,X
LTZIOJS,X,X,X,O
LTZIOSJ,X,X,X,O
LTZJISO,O,X,X,X
LTZJIOS,X,X,X,O
LTZJSIO,O,X,X,X
LTZJSOI,O,X,X,X
LTZJOIS,X,X,X,O
LTZJOSI,X,X,X,O
LTZSIJO,O,X,X,X
LTZSIOJ,O,X,X,X
LTZSJIO,O,X,X,X
LTZSJOI,O,X,X,X
LTZSOIJ,O,X,X,X
LTZSOJI,O,X,X,X
LTZOIJS,X,X,X,O
LTZOISJ,X,X,X,O
LTZOJIS,X,X,X,O
LTZOJSI,X,X,X,O
LTZOSIJ,X,X,X,O
LTZOSJI,X,X,X,O
LTOIJSZ,X,O,O,X
LTOIJZS,X,O,X,O
LTOISJZ,X,O,O,X
LTOISZJ,X,O,O,X
LTOIZJS,X,O,X,O
LTOIZSJ,X,O,X,O
LTOJISZ,X,O,O,X
LTOJIZS,X,O,X,O
LTOJSIZ,X,O,O,X
LTOJSZI,X,O,O,X
LTOJZIS,X,O,X,X
LTOJZSI,X,O,X,X
LTOSIJZ,X,O,O,X
LTOSIZJ,X,O,O,X
LTOSJIZ,X,O,O,X
LTOSJZI,X,O,O,X
LTOSZIJ,X,O,O,X
LTOSZJI,X,O,O,X
LTOZIJS,X,O,X,X
LTOZISJ,X,O,X,X
LTOZJIS,X,O,X,X
LTOZJSI,X,O,X,X
LTOZSIJ,X,O,X,X
LTOZSJI,X,O,X,X
LITJSZO,O,X,X,X
LITJSOZ,X,X,O,X
LITJZSO,O,X,X,X
LITJZOS,X,X,X,O
LITJOSZ,X,O,O,X
LITJOZS,X,O,X,O
LITSJZO,O,X,X,X
LITSJOZ,X,X,O,X
LITSZJO,O,X,X,X
LITSZOJ,O,X,X,X
LITSOJZ,X,X,O,X
LITSOZJ,X,X,O,X
LITZJSO,O,X,X,X
LITZJOS,X,X,X,O
LITZSJO,O,X,X,X
LITZSOJ,O,X,X,X
LITZOJS,X,X,X,O
LITZOSJ,X,X,X,O
LITOJSZ,X,O,O,X
LITOJZS,X,O,X,O
LITOSJZ,X,O,O,X
LITOSZJ,X,O,O,X
LITOZJS,X,O,X,O
LITOZSJ,X,O,X,O
LIJTSZO,O,X,X,X
LIJTSOZ,X,X,O,X
LIJTZSO,O,X,X,X
LIJTZOS,X,X,X,O
LIJTOSZ,X,O,O,X
LIJTOZS,X,O,X,O
LIJSTZO,O,X,X,X
LIJSTOZ,X,X,O,X
LIJSZTO,O,X,X,X
LIJSZOT,O,X,O,O
LIJSOTZ,X,O,O,X
LIJSOZT,O,O,O,O
LIJZTSO,O,X,X,X
LIJZTOS,X,X,X,O
LIJZSTO,O,X,X,X
LIJZSOT,O,X,O,O
LIJZOTS,X,O,X,O
LIJZOST,O,O,O,O
LIJOTSZ,X,O,O,X
LIJOTZS,X,O,X,O
LIJOSTZ,X,O,O,X
LIJOSZT,O,O,O,O
LIJOZTS,X,O,X,O
LIJOZST,O,O,O,O
LISTJZO,O,X,X,X
LISTJOZ,X,X,O,X
LISTZJO,O,X,X,X
LISTZOJ,O,X,X,X
LISTOJZ,X,X,O,X
LISTOZJ,X,X,O,X
LISJTZO,O,X,X,X
LISJTOZ,X,X,O,X
LISJZTO,O,X,X,X
LISJZOT,O,X,O,O
LISJOTZ,X,O,O,X
LISJOZT,O,O,O,O
LISZTJO,O,X,X,X
LISZTOJ,O,X,X,X
LISZJTO,O,X,X,X
LISZJOT,O,X,O,O
LISZOTJ,O,X,O,O
LISZOJT,O,X,O,O
LISOTJZ,X,O,O,X
LISOTZJ,X,O,O,X
LISOJTZ,X,O,O,X
LISOJZT,O,O,O,O
LISOZTJ,O,O,O,O
LISOZJT,O,O,O,O
LIZTJSO,O,X,X,X
LIZTJOS,X,X,X,O
LIZTSJO,O,X,X,X
LIZTSOJ,O,X,X,X
LIZTOJS,X,X,X,O
LIZTOSJ,X,X,X,O
LIZJTSO,O,X,X,X
LIZJTOS,X,X,X,O
LIZJSTO,O,X,X,X
LIZJSOT,O,X,O,O
LIZJOTS,X,O,X,O
LIZJOST,O,O,O,O
LIZSTJO,O,X,X,X
LIZSTOJ,O,X,X,X
LIZSJTO,O,X,X,X
LIZSJOT,O,X,O,O
LIZSOTJ,O,X,O,O
LIZSOJT,O,X,O,O
LIZOTJS,X,O,X,O
LIZOTSJ,X,O,X,O
LIZOJTS,X,O,X,O
LIZOJST,O,O,O,O
LIZOSTJ,O,O,O,O
LIZOSJT,O,O,O,O
LIOTJSZ,X,O,O,X
LIOTJZS,X,O,X,O
LIOTSJZ,X,O,O,X
LIOTSZJ,X,O,O,X
LIOTZJS,X,O,X,O
LIOTZSJ,X,O,X,O
LIOJTSZ,X,O,O,X
LIOJTZS,X,O,X,O
LIOJSTZ,X,O,O,X
LIOJSZT,O,O,O,O
LIOJZTS,X,O,X,O
LIOJZST,O,O,O,O
LIOSTJZ,X,O,O,X
LIOSTZJ,X,O,O,X
LIOSJTZ,X,O,O,X
LIOSJZT,O,O,O,O
LIOSZTJ,O,O,O,O
LIOSZJT,O,O,O,O
LIOZTJS,X,O,X,O
LIOZTSJ,X,O,X,O
LIOZJTS,X,O,X,O
LIOZJST,O,O,O,O
LIOZSTJ,O,O,O,O
LIOZSJT,O,O,O,O
LJTISZO,O,X,X,X
LJTISOZ,X,X,O,X
LJTIZSO,O,X,X,X
LJTIZOS,X,X,X,O
LJTIOSZ,X,O,O,X
