sequence,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeRzXaAFLDmClc?JSAVDEHBEooRBJoAVBTHUFDqOBAAvhFXNBzLB6PB0JBOLBl?MB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTvXaAFLDmClc?JSAVDEHBEooRBPoAVBMtPFDpOBAAvhFSTBXNB2QB0LBxOBl?MB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTvXaAFLDmClc?JSAVDEHBEooRBPoAVB03ntCM+AAAvhFVSB0LBGOB3HBiLBx?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeXvXaAFLDmClc?JSAVDEHBEooRBToAVBa+dgCs/AAAvhFUNBxQBVOBTGBiHBG?PB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTvXaAFLDmClc?JSAVDEHBEooRBPoAVB6/rtCU+AAAvhFUNBGOBKLBfMBlMBx?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTvXaAFLDmClc?JSAVDEHBEooRBPoAVB6/9tCM+AAAvhFUNBGOBlLB3MBiLBx?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTvXaAFLDmClc?JSAVDEHBEooRBPoAVB6/rtCU+AAAvhFUNBGOBiLB3MBlLBx?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeVyXaAFLDmClc?JSAVDEHBEooRBUoAVBvSltC6/AAAvhFTLB6PBROB3HB0OBm?LB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTrXaAFLDmClc?JSAVDEHBEooRBPoAVBqHUWCU+AAAvhF+PBsOBXJBiMBVSBx?LB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JexxXaAFLDmClc?JSAVDEHBEooRBJoAVBqHcgCsOBAAvhF+PBsOBXJBzHBiLBl?LB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeUtXaAFLDmClc?JSAVDEHBEooRBaoAVBK+LgCzOBAAvhF+PBROBKLBzGB3MBl?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8Je3sXaAFLDmClc?JSAVDEHBEooRBToAVBK+LgC6OBAAvhF+PBROBKLBzGBUNBl?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JexxXaAFLDmClc?JSAVDEHBEooRBJoAVBqHcgC0CBAAvhF+PBsOBXJBzHBlLBi?LB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8Je3sXaAFLDmClc?JSAVDEHBEooRBToAVBK+TFDvOBAAvhF+PBROByLBUNBTLBl?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JexxXaAFLDmClc?JSAVDEHBEooRBJoAVB0HbPCMNBAAvhFVOBUKBzHB2LBSUB3?LB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeVyXaAFLDmClc?JSAVDEHBEooRBUoAVBqHMMCvCBAAvhF+PBsOBXJBxLBTLBi?MB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeV0XaAFLDmClc?JSAVDEHBEooRBUoAVBJtrgCqCBAAvhFxRB3LBUJBzHBGKBi?GB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeS0XaAFLDmClc?JSAVDEHBEooRBMoAVBJ9aFDqOBAAvhFxRBXKBzHBsLBOLBF?JB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JexxXaAFLDmClc?JSAVDEHBEooRBJoAVBzfrgC0CBAAvhF3LB+PBsOBzHBFJBi?GB
TIJZOLS,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,O
TIJZOSL,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,X,O
TIJOLSZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIJOLZS,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X
TIJOSLZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TIJOSZL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O
TIJOZLS,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,O
TIJOZSL,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,X,O
TISLJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TISLJOZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TISLZJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TISLZOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TISLOJZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TISLOZJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TISJLZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TISJLOZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TISJZLO,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O
TISJZOL,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O
TISJOLZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TISJOZL,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O
TISZLJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TISZLOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TISZJLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TISZJOL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TISZOLJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TISZOJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TISOLJZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TISOLZJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TISOJLZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TISOJZL,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O
TISOZLJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TISOZJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TIZLJSO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TIZLJOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X
TIZLSJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TIZLSOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TIZLOJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X
TIZLOSJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TIZJLSO,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X
TIZJLOS,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X
TIZJSLO,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X
TIZJSOL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X
TIZJOLS,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,O,O,X
TIZJOSL,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,O,O,X,X
TIZSLJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIZSLOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIZSJLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIZSJOL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TIZSOLJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIZSOJL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TIZOLJS,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X
TIZOLSJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TIZOJLS,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,O,O,X
TIZOJSL,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X
TIZOSLJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIZOSJL,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TIOLJSZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIOLJZS,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X
TIOLSJZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TIOLSZJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TIOLZJS,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X
TIOLZSJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TIOJLSZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIOJLZS,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X
TIOJSLZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TIOJSZL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O
TIOJZLS,O,X,O,X,X,O,X,X,X,O,X,X,O,X,O,X,O,X,O
TIOJZSL,O,X,O,X,X,O,X,X,X,O,X,X,O,X,O,O,O,X,O
TIOSLJZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TIOSLZJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIOSJLZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TIOSJZL,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O
TIOSZLJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIOSZJL,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TIOZLJS,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X
TIOZLSJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TIOZJLS,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,O,O,X
TIOZJSL,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X
TIOZSLJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIOZSJL,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TLIJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIJSOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLIJZSO,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X
TLIJZOS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X
TLIJOSZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLIJOZS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X
TLISJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLISJOZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLISZJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLISZOJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLISOJZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLISOZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLIZJSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLIZJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLIZSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLIZSOJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLIZOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLIZOSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLIOJSZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLIOJZS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X
TLIOSJZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLIOSZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLIOZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLIOZSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLJISZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLJISOZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
TLJIZSO,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X
TLJIZOS,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X
TLJIOSZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
TLJIOZS,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X
TLJSIZO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLJSIOZ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
TLJSZIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLJSZOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLJSOIZ,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
TLJSOZI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLJZISO,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,O,X
TLJZIOS,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,O,O,X
TLJZSIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X
TLJZSOI,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X
TLJZOIS,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJZOSI,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOISZ,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJOIZS,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJOSIZ,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJOSZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJOZSI,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLSIJOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLSIZJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLSIZOJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLSIOJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLSIOZJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLSJIZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLSJIOZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X
TLSJZIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLSJZOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLSJOIZ,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
TLSJOZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLSZIJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLSZIOJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLSZJIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLSZJOI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLSZOIJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLSZOJI,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLSOIJZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLSOIZJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLSOJIZ,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
TLSOJZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLSOZIJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLSOZJI,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLZIJSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLZIJOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLZISJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLZISOJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLZIOJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLZIOSJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLZJISO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLZJIOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
TLZJSIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLZJSOI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLZJOIS,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLZJOSI,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLZSIOJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLZSJIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLZSJOI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLZSOIJ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TLZSOJI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLZOIJS,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLZOJSI,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOSJI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOIJZS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOISJZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOISZJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOIZJS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOJISZ,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLOJIZS,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
