sequence,v115@9gC8EeE8DeF8CeG8DeC8JepFJvhGqrBdiB8dBpUBzV?BOVB3TB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCxhBlmB2wB,v115@9gC8EeE8DeF8CeG8DeC8JeuFJvhCFiBTmBRwB,v115@9gC8EeE8DeF8CeG8DeC8JeFBJvhCXiBWrBRwB,v115@9gC8EeE8DeF8CeG8DeC8JexBJvhCRmBqqB0rB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCxhBNrBzrB,v115@9gC8EeE8DeF8CeG8DeC8JetFJvhCxhB3mBRwB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCxhBTrBmrB,v115@9gC8EeE8DeF8CeG8DeC8JeCBJvhCXiBVrBRwB,v115@9gC8EeE8DeF8CeG8DeC8JeUBJvhCFiBWrBRwB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCzlBCnBRwB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCxhBimB1wB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCZmBFiBqrB,v115@9gC8EeE8DeF8CeG8DeC8JeqFJvhCxhBlmBRwB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCxhB3mB2wB,v115@9gC8EeE8DeF8CeG8DeC8JezAJvhCFiBSrBRwB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCxhB0rBirB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCCrBUrBFsB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCZmBtmBXsB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCZmBurBFsB,v115@9gC8EeE8DeF8CeG8DeC8JeFCJvhCCmBUmBRwB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCCrBFrBXsB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCXiB0rBOrB,v115@9gC8EeE8DeF8CeG8DeC8JeXCJvhCzlBGmBRwB,v115@9gC8EeE8DeF8CeG8DeC8Je5GJvhCtqBarBOsB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCtqBCnB2wB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCNrB6rBOsB,v115@9gC8EeE8DeF8CeG8DeC8JeXCJvhCUmBCmBRwB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCuqBcrBXsB,v115@9gC8EeE8DeF8CeG8DeC8JeFCJvhCGmBzlBRwB,v115@9gC8EeE8DeF8CeG8DeC8JetFJvhCXiBTmBRwB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCOmBXiB1wB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCFrBCrBXsB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCGrBzqBFsB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCqqB/rBFsB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhC0hBNrBXsB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhClmBOrBXsB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhC2mBcrBXsB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCqqBTmBXsB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCzlBSwBFsB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhC2mBTrBFsB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCuqBTrBFsB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCUmBWwBFsB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhC/mBFiB2wB,v115@9gC8EeE8DeF8CeG8DeC8JeqFJvhC/mBFnBRwB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCGmBzqBXsB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCXiBNrB0rB,v115@9gC8EeE8DeF8CeG8DeC8JexBJvhCCrBfrBzrB,v115@9gC8EeE8DeF8CeG8DeC8JetFJvhCxhBXrBzrB,v115@9gC8EeE8DeF8CeG8DeC8JeXCJvhCuqB0rBFrB,v115@9gC8EeE8DeF8CeG8DeC8JeFBJvhCXiBqqB0rB,v115@9gC8EeE8DeF8CeG8DeC8JeCBJvhCXiB8qB1wB,v115@9gC8EeE8DeF8CeG8DeC8JeuKJvhC3mBUrBFsB,v115@9gC8EeE8DeF8CeG8DeC8JeuFJvhCFiBXrB0rB,v115@9gC8EeE8DeF8CeG8DeC8JeFCJvhCCmB0rBzqB,v115@9gC8EeE8DeF8CeG8DeC8JeXCJvhCzlB1wBCrB,v115@9gC8EeE8DeF8CeG8DeC8JetGJvhCuqBarBXsB,v115@9gC8EeE8DeF8CeG8DeC8JezAJvhCCrB3rBFsB,v115@9gC8EeE8DeF8CeG8DeC8JetGJvhCarBuqBXsB,v115@9gC8EeE8DeF8CeG8DeC8JezAJvhC3mBWwBFsB,v115@9gC8EeE8DeF8CeG8DeC8Je8FJvhC3mBWwBFsB,v115@9gC8EeE8DeF8CeG8DeC8JetFJvhCXrB6rBOsB,v115@9gC8EeE8DeF8CeG8DeC8JeCBJvhClmBzqBXsB,v115@9gC8EeE8DeF8CeG8DeC8Je1GJvhCqqBUmBXsB,v115@9gC8EeE8DeF8CeG8DeC8JepFJvhG9ZBqYBJQBzVB0r?BXnBOrB,v115@9gC8EeE8DeF8CeG8DeC8JepFJvhG9ZBqYBJQBzVB2m?BMrBXsB
ITILOJSZ,O,X,X,X,X,O,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITILOJZS,O,X,X,X,X,O,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ITILOSJZ,O,X,X,X,X,O,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITILOSZJ,O,X,X,X,X,O,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ITILOZJS,O,X,X,X,X,O,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ITILOZSJ,O,X,X,X,X,O,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ITIJLSZO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITIJLSOZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITIJLZSO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ITIJLZOS,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ITIJLOSZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITIJLOZS,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ITIJSLZO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITIJSLOZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITIJSZLO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITIJSZOL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITIJSOLZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITIJSOZL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITIJZLSO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ITIJZLOS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ITIJZSLO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ITIJZSOL,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ITIJZOLS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ITIJZOSL,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ITIJOLSZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITIJOLZS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ITIJOSLZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITIJOSZL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITIJOZLS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ITIJOZSL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ITISLJZO,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITISLJOZ,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITISLZJO,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ITISLZOJ,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ITISLOJZ,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITISLOZJ,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ITISJLZO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITISJLOZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITISJZLO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITISJZOL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITISJOLZ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITISJOZL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
