sequence,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhEWhBxcBzfBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhEygBGdB0fBz?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhERcBciBzfBG?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem6IvhEzbBCdB0fBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhERbBGdBigBz?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhEagBzbBuhBc?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhERbBuhBciBi?gBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhEagBRcBciBG?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhEygBWiB0fBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8JeT6IvhEegBCcBxhBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhETdB0fBfnBm?lB6rB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhExcBzfBurBf?rBFsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhERcBzfBurBc?sBFrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhESiB0fBzmBm?lBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhEciBzfB5mBf?rBmrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhElcBzfBurBf?rBcsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem6IvhExcB0fBzmBf?mBCsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8JeT6IvhEXgBxhBCiB8?rBmqB
TIJZOLS,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJZOSL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOLZS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOZSL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TISLJOZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISLZJO,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TISLZOJ,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TISLOJZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TISJLOZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJZLO,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TISJZOL,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TISJOLZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJOZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZLJO,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TISZJLO,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TISZJOL,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TISZOLJ,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TISZOJL,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TISOLJZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLZJ,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TISOZJL,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TIZLJOS,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZLSJO,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZLOJS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLSO,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TIZJLOS,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZJSLO,X,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIZJSOL,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TIZJOLS,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZJOSL,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZSLJO,X,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIZSLOJ,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TIZSJLO,X,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TIZSJOL,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TIZSOJL,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TIZOLJS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZOJLS,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZOJSL,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TIZOSJL,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLJZS,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOJLSZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJLZS,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJSZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJZSL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOZJLS,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOZJSL,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOZSJL,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJZSO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIJZOS,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIJOSZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJOZS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLISJZO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLISZJO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLIZJOS,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIZSJO,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOJZS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOSJZ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJIZSO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJIZOS,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLJIOSZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJIOZS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSIZO,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSZIO,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSOZI,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJZISO,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLJZIOS,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLJZSIO,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLJZOIS,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLJZOSI,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOISZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOIZS,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOSIZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOSZI,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLJOZSI,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSIJZO,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSIZJO,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSJZIO,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLSJZOI,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLSZIOJ,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLSZJOI,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLSZOJI,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLSOZJI,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZIJSO,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLZIJOS,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZISJO,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLZISOJ,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZIOJS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZIOSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLZJIOS,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZJSIO,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZJSOI,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZJOIS,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZJOSI,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLZSIJO,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZSIOJ,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZSJIO,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZSJOI,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZSOJI,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZOIJS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZOISJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZOJSI,X,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLZOSIJ,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZOSJI,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOIJZS,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOISJZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISZJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJISZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOJIZS,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOJSZI,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJZIS,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLOJZSI,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJZI,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOSZIJ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOSZJI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOZIJS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOZISJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZJIS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOZJSI,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOZSJI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJILSZO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILSOZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJILZSO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJILZOS,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TJILOSZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJILOZS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJISLZO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJISLOZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJISZLO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJISZOL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJISOLZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJISOZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZLSO,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJIZLOS,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TJIZSLO,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJIZSOL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIZOLS,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TJIZOSL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIOLZS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIOSZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOZLS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIOZSL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLISZO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLISOZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLIZSO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJLIZOS,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TJLIOSZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLIOZS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLSIZO,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLSZIO,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TJLSZOI,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJLSOIZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLSOZI,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
