sequence,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXYBTZBUcB1?iBSrBOrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXXBceBGdBi?dBThBFrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXXBTZBFdB0?dBSrBOrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXXBSeBUdBm?dBThBFrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXXBGZBzdBi?hB8hBFrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFlXBGZBzdBX?mB8mBarB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFTZBFcB0dBX?dBSrBOrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFzXBCZBXeBO?rBlrB8qB
TIJLSZO,O,O,X,O,X,X,X,X
TIJLSOZ,O,X,X,X,X,X,X,X
TIJLZSO,O,O,X,O,X,X,X,X
TIJLZOS,O,X,X,X,X,X,X,X
TIJLOSZ,O,X,X,O,O,X,X,X
TIJLOZS,O,X,X,O,O,X,X,X
TIJSLZO,X,O,X,O,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,X,X
TIJSZLO,X,O,X,O,X,O,X,X
TIJSZOL,O,O,X,X,X,O,X,X
TIJSOLZ,X,X,X,X,O,X,X,X
TIJSOZL,O,O,O,X,X,O,X,X
TIJZLSO,X,O,X,O,X,X,X,X
TIJZLOS,X,X,X,X,X,X,X,X
TIJZSLO,X,O,X,O,X,X,X,X
TIJZSOL,O,O,X,X,X,X,X,X
TIJZOLS,X,O,X,X,O,X,X,X
TIJZOSL,O,O,X,X,X,X,O,X
TIJOLSZ,O,O,X,O,O,X,X,X
TIJOLZS,O,O,X,O,O,X,X,X
TIJOSLZ,X,O,X,O,O,X,X,X
TIJOSZL,O,O,O,O,X,O,X,X
TIJOZLS,X,O,X,O,O,X,X,X
TIJOZSL,O,O,X,O,X,X,O,X
TISLJZO,O,O,X,O,X,X,X,X
TISLJOZ,O,X,X,X,X,X,X,X
TISLZJO,O,O,X,O,X,X,X,X
TISLZOJ,O,X,X,O,X,X,X,X
TISLOJZ,O,X,X,O,O,X,X,X
TISLOZJ,O,X,O,O,O,X,X,X
TISJLZO,X,O,X,O,X,X,X,X
TISJLOZ,X,X,X,X,X,X,X,X
TISJZLO,X,O,X,O,X,O,X,X
TISJZOL,O,O,X,X,X,O,X,X
TISJOLZ,X,X,X,X,O,X,X,X
TISJOZL,O,O,O,X,X,O,X,X
TISZLJO,X,O,X,O,X,O,X,X
TISZLOJ,O,X,X,O,X,O,X,X
TISZJLO,X,O,X,O,X,O,X,X
TISZJOL,O,O,X,X,X,O,X,X
TISZOLJ,O,O,O,O,X,O,O,X
TISZOJL,O,O,O,X,X,O,O,X
TISOLJZ,O,O,X,O,O,X,X,X
TISOLZJ,O,O,O,O,O,X,X,X
TISOJLZ,X,O,X,O,O,X,X,X
TISOJZL,O,O,O,O,X,O,X,X
TISOZLJ,O,O,O,O,X,O,O,X
TISOZJL,O,O,O,O,X,O,O,X
TIZLJSO,O,O,X,O,X,X,X,X
TIZLJOS,O,X,X,X,X,X,O,X
TIZLSJO,O,O,X,O,X,X,X,X
TIZLSOJ,O,X,X,O,X,X,O,X
TIZLOJS,O,O,X,O,O,X,O,X
TIZLOSJ,O,O,X,O,O,X,O,X
TIZJLSO,X,O,X,O,X,X,X,X
TIZJLOS,X,X,X,X,X,X,X,X
TIZJSLO,X,O,X,O,X,X,X,X
TIZJSOL,O,O,X,X,X,X,X,X
TIZJOLS,X,O,X,X,O,X,X,X
TIZJOSL,O,O,X,X,X,X,O,X
TIZSLJO,X,O,X,O,X,X,X,X
TIZSLOJ,O,X,X,O,X,X,X,X
TIZSJLO,X,O,X,O,X,X,X,X
TIZSJOL,O,O,X,X,X,X,X,X
TIZSOLJ,O,O,O,O,X,X,O,X
TIZSOJL,O,O,O,X,X,X,O,X
TIZOLJS,O,O,X,O,O,X,O,X
TIZOLSJ,O,O,X,O,O,X,O,X
TIZOJLS,X,O,X,O,O,X,X,X
TIZOJSL,O,O,X,O,X,X,O,X
TIZOSLJ,O,O,O,O,X,X,O,X
TIZOSJL,O,O,O,O,X,X,O,X
TIOLJSZ,O,O,O,O,O,X,X,X
TIOLJZS,O,O,O,O,O,X,O,X
TIOLSJZ,O,O,O,O,O,X,X,X
TIOLSZJ,O,O,O,O,O,X,O,X
TIOLZJS,O,O,X,O,O,X,O,X
TIOLZSJ,O,O,O,O,O,X,O,X
TIOJLSZ,O,O,X,O,O,X,X,X
TIOJLZS,O,O,X,O,O,X,X,X
TIOJSLZ,X,O,X,O,O,X,X,X
TIOJSZL,O,O,O,O,X,O,X,X
TIOJZLS,X,O,X,O,O,X,X,X
TIOJZSL,O,O,X,O,X,X,O,X
TIOSLJZ,O,O,X,O,O,X,X,X
TIOSLZJ,O,O,O,O,O,X,X,X
TIOSJLZ,X,O,X,O,O,X,X,X
TIOSJZL,O,O,O,O,X,O,X,X
TIOSZLJ,O,O,O,O,X,O,O,X
TIOSZJL,O,O,O,O,X,O,O,X
TIOZLJS,O,O,X,O,O,X,O,X
TIOZLSJ,O,O,X,O,O,X,O,X
TIOZJLS,X,O,X,O,O,X,X,X
TIOZJSL,O,O,X,O,X,X,O,X
TIOZSLJ,O,O,O,O,X,X,O,X
TIOZSJL,O,O,O,O,X,X,O,X
TLIJSZO,O,O,O,O,X,X,X,X
TLIJSOZ,O,X,O,X,X,X,X,X
TLIJZSO,O,O,O,O,X,X,X,X
TLIJZOS,O,X,O,X,X,X,O,X
TLIJOSZ,O,X,O,O,O,X,X,X
TLIJOZS,O,X,O,O,O,X,O,X
TLISJZO,O,O,X,O,X,X,X,X
TLISJOZ,O,X,O,X,X,X,X,X
TLISZJO,O,O,X,O,X,X,X,X
TLISZOJ,O,X,O,O,X,X,O,X
TLISOJZ,O,X,O,O,O,X,X,X
TLISOZJ,O,X,O,O,O,X,O,X
TLIZJSO,O,O,X,O,X,X,X,X
TLIZJOS,O,X,X,X,X,X,O,X
TLIZSJO,O,O,X,O,X,X,X,X
TLIZSOJ,O,X,O,O,X,X,O,X
TLIZOJS,O,O,X,O,O,X,O,X
TLIZOSJ,O,O,O,O,O,X,O,X
TLIOJSZ,O,O,O,O,O,X,X,X
TLIOJZS,O,O,O,O,O,X,O,X
TLIOSJZ,O,O,O,O,O,X,X,X
TLIOSZJ,O,O,O,O,O,X,O,X
TLIOZJS,O,O,X,O,O,X,O,X
TLIOZSJ,O,O,O,O,O,X,O,X
TLJISZO,O,O,O,O,X,X,X,X
TLJISOZ,O,X,O,X,X,X,X,X
TLJIZSO,O,O,O,O,X,X,X,X
TLJIZOS,O,X,O,X,X,X,O,X
TLJIOSZ,O,X,O,O,O,X,X,X
TLJIOZS,O,X,O,O,O,X,O,X
TLJSIZO,O,O,O,O,X,X,X,X
TLJSIOZ,O,X,O,X,X,X,X,X
TLJSZIO,O,O,O,O,X,X,X,X
TLJSZOI,O,O,O,O,X,X,X,X
TLJSOIZ,O,X,O,X,X,X,X,X
TLJSOZI,O,X,O,X,X,X,X,X
TLJZISO,O,O,O,O,X,X,X,X
TLJZIOS,O,X,O,X,X,X,O,X
TLJZSIO,O,O,O,O,X,X,X,X
TLJZSOI,O,O,O,O,X,X,X,X
TLJZOIS,O,X,O,X,X,X,O,X
TLJZOSI,O,X,O,X,X,X,O,X
TLJOISZ,O,X,O,O,O,X,X,X
TLJOIZS,O,X,O,O,O,X,O,X
TLJOSIZ,O,X,O,O,O,X,X,X
TLJOSZI,O,X,O,O,O,X,X,X
TLJOZIS,O,X,O,O,O,X,O,X
TLJOZSI,O,X,O,O,O,X,O,X
TLSIJZO,O,O,X,O,X,X,X,X
TLSIJOZ,O,X,O,X,X,X,X,X
TLSIZJO,O,O,X,O,X,X,X,X
TLSIZOJ,O,X,O,O,X,X,O,X
TLSIOJZ,O,X,O,O,O,X,X,X
TLSIOZJ,O,X,O,O,O,X,O,X
TLSJIZO,O,O,X,O,X,X,X,X
TLSJIOZ,O,X,O,X,X,X,X,X
TLSJZIO,O,O,X,O,X,X,X,X
TLSJZOI,O,O,X,O,X,X,X,X
TLSJOIZ,O,X,O,X,X,X,X,X
TLSJOZI,O,X,O,X,X,X,X,X
TLSZIJO,O,O,X,O,X,X,X,X
TLSZIOJ,O,X,O,O,X,X,O,X
TLSZJIO,O,O,X,O,X,X,X,X
TLSZJOI,O,O,X,O,X,X,X,X
TLSZOIJ,O,X,O,O,X,X,O,X
TLSZOJI,O,X,O,O,X,X,O,X
TLSOIJZ,O,X,O,O,O,X,X,X
TLSOIZJ,O,X,O,O,O,X,O,X
TLSOJIZ,O,X,O,O,O,X,X,X
TLSOJZI,O,X,O,O,O,X,X,X
TLSOZIJ,O,X,O,O,O,X,O,X
TLSOZJI,O,X,O,O,O,X,O,X
TLZIJSO,O,O,X,O,X,X,X,X
TLZIJOS,O,X,X,X,X,X,O,X
TLZISJO,O,O,X,O,X,X,X,X
TLZISOJ,O,X,O,O,X,X,O,X
TLZIOJS,O,O,X,O,O,X,O,X
TLZIOSJ,O,O,O,O,O,X,O,X
TLZJISO,O,O,X,O,X,X,X,X
TLZJIOS,O,X,X,X,X,X,O,X
TLZJSIO,O,O,X,O,X,X,X,X
TLZJSOI,O,O,X,O,X,X,X,X
TLZJOIS,O,X,X,X,X,X,O,X
TLZJOSI,O,X,X,X,X,X,O,X
TLZSIJO,O,O,X,O,X,X,X,X
TLZSIOJ,O,X,O,O,X,X,O,X
TLZSJIO,O,O,X,O,X,X,X,X
TLZSJOI,O,O,X,O,X,X,X,X
TLZSOIJ,O,X,O,O,X,X,O,X
TLZSOJI,O,X,O,O,X,X,O,X
TLZOIJS,O,O,X,O,O,X,O,X
TLZOISJ,O,O,O,O,O,X,O,X
TLZOJIS,O,O,X,O,O,X,O,X
TLZOJSI,O,O,X,O,O,X,O,X
TLZOSIJ,O,O,O,O,O,X,O,X
TLZOSJI,O,O,O,O,O,X,O,X
TLOIJSZ,O,O,O,O,O,X,X,X
TLOIJZS,O,O,O,O,O,X,O,X
TLOISJZ,O,O,O,O,O,X,X,X
TLOISZJ,O,O,O,O,O,X,O,X
TLOIZJS,O,O,X,O,O,X,O,X
TLOIZSJ,O,O,O,O,O,X,O,X
TLOJISZ,O,O,O,O,O,X,X,X
TLOJIZS,O,O,O,O,O,X,O,X
TLOJSIZ,O,O,O,O,O,X,X,X
TLOJSZI,O,O,O,O,O,X,X,X
TLOJZIS,O,O,O,O,O,X,O,X
TLOJZSI,O,O,O,O,O,X,O,X
TLOSIJZ,O,O,O,O,O,X,X,X
TLOSIZJ,O,O,O,O,O,X,O,X
TLOSJIZ,O,O,O,O,O,X,X,X
TLOSJZI,O,O,O,O,O,X,X,X
TLOSZIJ,O,O,O,O,O,X,O,X
TLOSZJI,O,O,O,O,O,X,O,X
TLOZIJS,O,O,X,O,O,X,O,X
TLOZISJ,O,O,O,O,O,X,O,X
TLOZJIS,O,O,X,O,O,X,O,X
TLOZJSI,O,O,X,O,O,X,O,X
TLOZSIJ,O,O,O,O,O,X,O,X
TLOZSJI,O,O,O,O,O,X,O,X
TJILSZO,O,O,X,O,X,X,X,X
TJILSOZ,O,X,X,X,X,X,X,X
TJILZSO,O,O,X,O,X,X,X,X
TJILZOS,O,X,X,X,X,X,X,X
TJILOSZ,O,X,X,O,O,X,X,X
TJILOZS,O,X,X,O,O,X,X,X
TJISLZO,X,O,X,O,X,X,X,O
TJISLOZ,X,X,X,X,X,X,X,O
TJISZLO,X,O,X,O,X,O,X,O
TJISZOL,O,O,X,X,X,O,X,O
TJISOLZ,X,X,X,X,O,X,X,O
TJISOZL,O,O,O,X,X,O,X,O
TJIZLSO,X,O,X,O,X,X,X,X
TJIZLOS,X,X,X,X,X,X,X,X
TJIZSLO,X,O,X,O,X,X,X,X
TJIZSOL,O,O,X,X,X,X,X,X
TJIZOLS,X,O,X,X,O,X,X,X
TJIZOSL,O,O,X,X,X,X,O,X
TJIOLSZ,O,O,X,O,O,X,X,X
TJIOLZS,O,O,X,O,O,X,X,X
TJIOSLZ,X,O,X,O,O,X,X,O
TJIOSZL,O,O,O,O,X,O,X,O
TJIOZLS,X,O,X,O,O,X,X,X
TJIOZSL,O,O,X,O,X,X,O,X
TJLISZO,O,O,X,O,X,X,X,X
TJLISOZ,O,X,O,X,X,X,X,X
TJLIZSO,O,O,X,O,X,X,X,X
TJLIZOS,O,X,X,X,X,X,X,X
TJLIOSZ,O,X,O,O,O,X,X,X
TJLIOZS,O,X,X,O,O,X,X,X
TJLSIZO,O,O,X,O,X,X,X,O
TJLSIOZ,O,X,O,X,X,X,X,O
TJLSZIO,O,O,X,O,X,X,X,O
TJLSZOI,O,O,X,O,X,X,X,O
TJLSOIZ,O,X,O,X,X,X,X,O
TJLSOZI,O,X,O,X,X,X,X,O
TJLZISO,O,O,X,O,X,X,X,X
TJLZIOS,O,X,X,X,X,X,X,X
TJLZSIO,O,O,X,O,X,X,X,X
TJLZSOI,O,O,X,O,X,X,X,X
TJLZOIS,O,X,X,X,X,X,X,X
TJLZOSI,O,X,X,X,X,X,X,X
TJLOISZ,O,X,O,O,O,X,X,X
TJLOIZS,O,X,X,O,O,X,X,X
TJLOSIZ,O,X,O,O,O,X,X,O
TJLOSZI,O,X,O,O,O,X,X,O
TJLOZIS,O,X,X,O,O,X,X,X
TJLOZSI,O,X,X,O,O,X,X,X
TJSILZO,X,O,X,O,X,X,X,O
TJSILOZ,X,X,X,X,X,X,X,O
TJSIZLO,X,O,X,O,X,O,X,O
TJSIZOL,O,O,X,X,X,O,X,O
TJSIOLZ,X,X,X,X,O,X,X,O
TJSIOZL,O,O,O,X,X,O,X,O
TJSLIZO,O,O,X,O,X,X,X,O
TJSLIOZ,O,X,X,X,X,X,X,O
TJSLZIO,O,O,X,O,X,X,X,O
TJSLZOI,O,O,X,O,X,X,X,O
TJSLOIZ,O,X,X,X,X,X,X,O
TJSLOZI,O,X,X,X,X,X,X,O
TJSZILO,X,O,X,O,X,O,X,O
TJSZIOL,O,O,X,X,X,O,X,O
TJSZLIO,X,O,X,O,X,O,X,O
TJSZLOI,X,O,X,O,X,O,X,O
TJSZOIL,O,O,X,X,X,O,X,O
TJSZOLI,O,O,X,X,X,X,X,O
TJSOILZ,X,X,X,X,O,X,X,O
TJSOIZL,O,O,O,X,X,O,X,O
TJSOLIZ,O,X,X,X,O,X,X,O
TJSOLZI,O,X,X,X,O,X,X,O
TJSOZIL,O,O,O,X,X,O,X,O
TJSOZLI,O,O,X,X,X,O,X,O
TJZILSO,X,O,X,O,X,X,X,X
TJZILOS,X,X,X,X,X,X,X,X
TJZISLO,X,O,X,O,X,X,X,X
TJZISOL,O,O,X,X,X,X,X,X
TJZIOLS,X,O,X,X,O,X,X,X
TJZIOSL,O,O,X,X,X,X,O,X
TJZLISO,X,O,X,O,X,X,X,X
TJZLIOS,X,X,X,X,X,X,X,X
TJZLSIO,X,O,X,O,X,X,X,X
TJZLSOI,X,O,X,O,X,X,X,X
TJZLOIS,X,X,X,X,X,X,X,X
TJZLOSI,X,X,X,X,X,X,X,X
TJZSILO,X,O,X,O,X,X,X,O
TJZSIOL,O,O,X,X,X,X,X,O
TJZSLIO,X,O,X,O,X,X,X,O
TJZSLOI,X,O,X,O,X,X,X,O
TJZSOIL,O,O,X,X,X,X,X,O
TJZSOLI,O,O,X,X,X,X,X,O
TJZOILS,X,O,X,X,O,X,X,X
TJZOISL,O,O,X,X,X,X,O,X
TJZOLIS,X,O,X,X,O,X,X,X
TJZOLSI,X,O,X,X,O,X,X,X
TJZOSIL,O,O,X,X,X,X,O,O
TJZOSLI,O,O,X,X,X,X,O,O
TJOILSZ,O,O,X,O,O,X,X,X
TJOILZS,O,O,X,O,O,X,X,X
TJOISLZ,X,O,X,O,O,X,X,O
TJOISZL,O,O,O,O,X,O,X,O
TJOIZLS,X,O,X,O,O,X,X,X
TJOIZSL,O,O,X,O,X,X,O,X
TJOLISZ,O,O,O,O,O,X,X,X
TJOLIZS,O,O,X,O,O,X,X,X
TJOLSIZ,O,O,O,O,O,X,X,O
TJOLSZI,O,O,O,O,O,X,X,O
TJOLZIS,O,O,X,O,O,X,X,X
TJOLZSI,O,O,X,O,O,X,X,X
TJOSILZ,X,O,X,O,O,X,X,O
TJOSIZL,O,O,O,O,X,O,X,O
TJOSLIZ,O,O,X,O,O,X,X,O
TJOSLZI,O,O,X,O,O,X,X,O
TJOSZIL,O,O,O,O,X,O,X,O
TJOSZLI,O,O,X,O,X,O,X,O
TJOZILS,X,O,X,O,O,X,X,X
TJOZISL,O,O,X,O,X,X,O,X
TJOZLIS,X,O,X,O,O,X,X,X
TJOZLSI,X,O,X,O,O,X,X,X
TJOZSIL,O,O,X,O,X,X,O,O
TJOZSLI,O,O,X,O,X,X,O,O
TSILJZO,O,O,X,O,X,X,X,X
TSILJOZ,O,X,X,X,X,X,X,X
TSILZJO,O,O,X,O,X,X,X,X
TSILZOJ,O,X,X,O,X,X,X,X
TSILOJZ,O,X,X,O,O,X,X,X
TSILOZJ,O,X,O,O,O,X,X,X
TSIJLZO,X,O,X,O,X,X,X,X
TSIJLOZ,X,X,X,X,X,X,X,X
TSIJZLO,X,O,X,O,X,O,X,X
TSIJZOL,O,O,X,X,X,O,X,X
TSIJOLZ,X,X,X,X,O,X,X,X
TSIJOZL,O,O,O,X,X,O,X,X
TSIZLJO,X,O,X,O,X,O,X,X
TSIZLOJ,O,X,X,O,X,O,X,X
TSIZJLO,X,O,X,O,X,O,X,X
TSIZJOL,O,O,X,X,X,O,X,X
TSIZOLJ,O,O,O,O,X,O,O,X
TSIZOJL,O,O,O,X,X,O,O,X
TSIOLJZ,O,O,X,O,O,X,X,X
TSIOLZJ,O,O,O,O,O,X,X,X
TSIOJLZ,X,O,X,O,O,X,X,X
TSIOJZL,O,O,O,O,X,O,X,X
TSIOZLJ,O,O,O,O,X,O,O,X
TSIOZJL,O,O,O,O,X,O,O,X
TSLIJZO,O,O,X,O,X,X,X,X
TSLIJOZ,O,X,O,X,X,X,X,X
TSLIZJO,O,O,X,O,X,X,X,X
TSLIZOJ,O,X,O,O,X,X,X,X
TSLIOJZ,O,X,O,O,O,X,X,X
TSLIOZJ,O,X,O,O,O,X,X,X
TSLJIZO,O,O,X,O,X,X,X,O
TSLJIOZ,O,X,O,X,X,X,X,O
TSLJZIO,O,O,X,O,X,X,X,O
TSLJZOI,O,O,X,O,X,X,X,O
TSLJOIZ,O,X,O,X,X,X,X,O
TSLJOZI,O,X,O,X,X,X,X,O
TSLZIJO,O,O,X,O,X,X,X,X
TSLZIOJ,O,X,O,O,X,X,X,X
TSLZJIO,O,O,X,O,X,X,X,X
TSLZJOI,O,O,X,O,X,X,X,X
TSLZOIJ,O,X,O,O,X,X,X,X
TSLZOJI,O,X,O,O,X,X,X,X
TSLOIJZ,O,X,O,O,O,X,X,X
TSLOIZJ,O,X,O,O,O,X,X,X
TSLOJIZ,O,X,O,O,O,X,X,X
TSLOJZI,O,X,O,O,O,X,X,X
TSLOZIJ,O,X,O,O,O,X,X,X
TSLOZJI,O,X,O,O,O,X,X,X
TSJILZO,X,O,X,O,X,X,X,O
TSJILOZ,X,X,X,X,X,X,X,O
TSJIZLO,X,O,X,O,X,O,X,O
TSJIZOL,O,O,X,X,X,O,X,O
TSJIOLZ,X,X,X,X,O,X,X,O
TSJIOZL,O,O,O,X,X,O,X,O
TSJLIZO,O,O,X,O,X,X,X,O
TSJLIOZ,O,X,X,X,X,X,X,O
TSJLZIO,O,O,X,O,X,X,X,O
TSJLZOI,O,O,X,O,X,X,X,O
TSJLOIZ,O,X,X,X,X,X,X,O
TSJLOZI,O,X,X,X,X,X,X,O
TSJZILO,X,O,X,O,X,O,X,O
TSJZIOL,O,O,X,X,X,O,X,O
TSJZLIO,X,O,X,O,X,O,X,O
TSJZLOI,X,O,X,O,X,O,X,O
TSJZOIL,O,O,X,X,X,O,X,O
TSJZOLI,O,O,X,X,X,X,X,O
TSJOILZ,X,X,X,X,O,X,X,O
TSJOIZL,O,O,O,X,X,O,X,O
TSJOLIZ,O,X,X,X,O,X,X,O
TSJOLZI,O,X,X,X,O,X,X,O
TSJOZIL,O,O,O,X,X,O,X,O
TSJOZLI,O,O,X,X,X,O,X,O
TSZILJO,X,O,X,O,X,O,X,X
TSZILOJ,O,X,X,O,X,O,X,X
TSZIJLO,X,O,X,O,X,O,X,X
TSZIJOL,O,O,X,X,X,O,X,X
TSZIOLJ,O,O,O,O,X,O,O,X
TSZIOJL,O,O,O,X,X,O,O,X
TSZLIJO,O,O,X,O,X,O,X,X
TSZLIOJ,O,X,X,O,X,O,X,X
TSZLJIO,O,O,X,O,X,O,X,X
TSZLJOI,O,O,X,O,X,O,X,X
TSZLOIJ,O,X,X,O,X,O,X,X
TSZLOJI,O,X,X,O,X,O,X,X
TSZJILO,X,O,X,O,X,O,X,X
TSZJIOL,O,O,X,X,X,O,X,X
TSZJLIO,X,O,X,O,X,O,X,X
TSZJLOI,X,O,X,O,X,O,X,X
TSZJOIL,O,O,X,X,X,O,X,X
TSZJOLI,O,O,X,X,X,O,X,X
TSZOILJ,O,O,O,O,X,O,O,X
TSZOIJL,O,O,O,X,X,O,O,X
TSZOLIJ,O,O,O,O,X,O,O,X
TSZOLJI,O,O,X,O,X,O,O,X
TSZOJIL,O,O,O,X,X,O,O,X
TSZOJLI,O,O,X,X,X,O,O,X
TSOILJZ,O,O,X,O,O,X,X,X
TSOILZJ,O,O,O,O,O,X,X,X
TSOIJLZ,X,O,X,O,O,X,X,X
TSOIJZL,O,O,O,O,X,O,X,X
TSOIZLJ,O,O,O,O,X,O,O,X
TSOIZJL,O,O,O,O,X,O,O,X
TSOLIJZ,O,O,O,O,O,X,X,X
TSOLIZJ,O,O,O,O,O,X,X,X
TSOLJIZ,O,O,O,O,O,X,X,X
TSOLJZI,O,O,O,O,O,X,X,X
TSOLZIJ,O,O,O,O,O,X,X,X
TSOLZJI,O,O,O,O,O,X,X,X
TSOJILZ,X,O,X,O,O,X,X,X
TSOJIZL,O,O,O,O,X,O,X,X
TSOJLIZ,O,O,X,O,O,X,X,X
TSOJLZI,O,O,X,O,O,X,X,X
TSOJZIL,O,O,O,O,X,O,X,X
TSOJZLI,O,O,X,O,X,O,X,X
TSOZILJ,O,O,O,O,X,O,O,X
TSOZIJL,O,O,O,O,X,O,O,X
TSOZLIJ,O,O,O,O,X,O,O,X
TSOZLJI,O,O,X,O,X,O,O,X
TSOZJIL,O,O,O,O,X,O,O,X
TSOZJLI,O,O,X,O,X,O,O,X
TZILJSO,O,O,X,O,X,X,X,X
TZILJOS,O,X,X,X,X,X,O,X
TZILSJO,O,O,X,O,X,X,X,X
TZILSOJ,O,X,X,O,X,X,O,X
TZILOJS,O,O,X,O,O,X,O,X
TZILOSJ,O,O,X,O,O,X,O,X
TZIJLSO,X,O,X,O,X,X,X,X
TZIJLOS,X,X,X,X,X,X,X,X
TZIJSLO,X,O,X,O,X,X,X,X
TZIJSOL,O,O,X,X,X,X,X,X
TZIJOLS,X,O,X,X,O,X,X,X
TZIJOSL,O,O,X,X,X,X,O,X
TZISLJO,X,O,X,O,X,X,X,X
TZISLOJ,O,X,X,O,X,X,X,X
TZISJLO,X,O,X,O,X,X,X,X
TZISJOL,O,O,X,X,X,X,X,X
TZISOLJ,O,O,O,O,X,X,O,X
TZISOJL,O,O,O,X,X,X,O,X
TZIOLJS,O,O,X,O,O,X,O,X
TZIOLSJ,O,O,X,O,O,X,O,X
TZIOJLS,X,O,X,O,O,X,X,X
TZIOJSL,O,O,X,O,X,X,O,X
TZIOSLJ,O,O,O,O,X,X,O,X
TZIOSJL,O,O,O,O,X,X,O,X
TZLIJSO,O,O,X,O,X,X,X,X
TZLIJOS,O,X,X,X,X,X,O,X
TZLISJO,O,O,X,O,X,X,X,X
TZLISOJ,O,X,O,O,X,X,O,X
TZLIOJS,O,O,X,O,O,X,O,X
TZLIOSJ,O,O,O,O,O,X,O,X
TZLJISO,O,O,X,O,X,X,X,X
TZLJIOS,O,X,X,X,X,X,O,X
TZLJSIO,O,O,X,O,X,X,X,X
TZLJSOI,O,O,X,O,X,X,X,X
TZLJOIS,O,X,X,X,X,X,O,X
TZLJOSI,O,X,X,X,X,X,O,X
TZLSIJO,O,O,X,O,X,X,X,X
TZLSIOJ,O,X,O,O,X,X,O,X
TZLSJIO,O,O,X,O,X,X,X,X
TZLSJOI,O,O,X,O,X,X,X,X
TZLSOIJ,O,X,O,O,X,X,O,X
TZLSOJI,O,X,O,O,X,X,O,X
TZLOIJS,O,O,X,O,O,X,O,X
TZLOISJ,O,O,O,O,O,X,O,X
TZLOJIS,O,O,X,O,O,X,O,X
TZLOJSI,O,O,X,O,O,X,O,X
TZLOSIJ,O,O,O,O,O,X,O,X
TZLOSJI,O,O,O,O,O,X,O,X
TZJILSO,X,O,X,O,X,X,X,X
TZJILOS,X,X,X,X,X,X,X,X
TZJISLO,X,O,X,O,X,X,X,X
TZJISOL,O,O,X,X,X,X,X,X
TZJIOLS,X,O,X,X,O,X,X,X
TZJIOSL,O,O,X,X,X,X,O,X
TZJLISO,X,O,X,O,X,X,X,X
TZJLIOS,X,X,X,X,X,X,X,X
TZJLSIO,X,O,X,O,X,X,X,X
TZJLSOI,X,O,X,O,X,X,X,X
TZJLOIS,X,X,X,X,X,X,X,X
TZJLOSI,X,X,X,X,X,X,X,X
TZJSILO,X,O,X,O,X,X,X,X
TZJSIOL,O,O,X,X,X,X,X,X
TZJSLIO,X,O,X,O,X,X,X,X
TZJSLOI,X,O,X,O,X,X,X,X
TZJSOIL,O,O,X,X,X,X,X,X
