sequence,v115@9gA8FeA8BeB8DeB8BeB8AeJ8AeF8JeKDJvhF6eBTPB?JQBuaBUhBXdB,v115@9gA8FeA8BeB8DeB8BeB8AeJ8AeF8JeTDJvhFKZB6UB?JQBuaBUhBXdB,v115@9gA8FeA8BeB8DeB8BeB8AeJ8AeF8JeKDJvhF6eBJQB?uaBzLBUhBXdB,v115@9gA8FeA8BeB8DeB8BeB8AeJ8AeF8JeaDJvhFvaBeRB?TLBUhBqcBpeB,v115@9gA8FeA8BeB8DeB8BeB8AeJ8AeF8Jeq8IvhFKYBTjB?fZBJQBuaBUhB
LTISZLOJ,O,X,X,O,X
LTISZJLO,O,X,O,O,X
LTISZJOL,X,X,O,O,X
LTISZOLJ,X,X,X,O,X
LTISZOJL,X,X,X,O,X
LTISOLJZ,X,X,X,O,X
LTISOLZJ,X,X,X,O,X
LTISOJLZ,X,X,X,O,X
LTISOJZL,X,X,X,O,X
LTISOZLJ,X,X,X,O,X
LTISOZJL,X,X,X,O,X
LTIZLJSO,O,X,O,X,X
LTIZLJOS,O,X,O,X,O
LTIZLSJO,O,X,O,O,X
LTIZLSOJ,O,X,X,O,X
LTIZLOJS,O,X,X,X,O
LTIZLOSJ,O,X,X,X,O
LTIZJLSO,O,X,O,X,X
LTIZJLOS,O,X,O,X,O
LTIZJSLO,O,X,O,X,X
LTIZJSOL,X,X,O,X,X
LTIZJOLS,X,X,O,X,O
LTIZJOSL,X,X,O,X,O
LTIZSLJO,O,X,O,O,X
LTIZSLOJ,O,X,X,O,X
LTIZSJLO,O,X,O,O,X
LTIZSJOL,X,X,O,O,X
LTIZSOLJ,X,X,X,O,X
LTIZSOJL,X,X,X,O,X
LTIZOLJS,X,X,X,X,O
LTIZOLSJ,X,X,X,X,O
LTIZOJLS,X,X,X,X,O
LTIZOJSL,X,X,X,X,O
LTIZOSLJ,X,X,X,X,O
LTIZOSJL,X,X,X,X,O
LTIOLJSZ,X,X,X,X,O
LTIOLJZS,X,X,X,X,O
LTIOLSJZ,X,X,X,X,O
LTIOLSZJ,X,X,X,X,O
LTIOLZJS,X,X,X,X,O
LTIOLZSJ,X,X,X,X,O
LTIOJLSZ,X,X,X,X,O
LTIOJLZS,X,X,X,X,O
LTIOJSLZ,X,X,X,X,O
LTIOJSZL,X,X,X,X,O
LTIOJZLS,X,X,X,X,O
LTIOJZSL,X,X,X,X,O
LTIOSLJZ,X,X,X,X,O
LTIOSLZJ,X,X,X,X,O
LTIOSJLZ,X,X,X,X,O
LTIOSJZL,X,X,X,X,O
LTIOSZLJ,X,X,X,X,O
LTIOSZJL,X,X,X,X,O
LTIOZLJS,X,X,X,X,O
LTIOZLSJ,X,X,X,X,O
LTIOZJLS,X,X,X,X,O
LTIOZJSL,X,X,X,X,O
LTIOZSLJ,X,X,X,X,O
LTIOZSJL,X,X,X,X,O
LTLIJSZO,O,X,O,X,X
LTLIJSOZ,O,X,O,X,X
LTLIJZSO,O,X,O,X,X
LTLIJZOS,O,X,O,X,O
LTLIJOSZ,O,X,O,X,O
LTLIJOZS,O,X,O,X,O
LTLISJZO,O,X,O,O,X
LTLISJOZ,O,X,O,O,X
LTLISZJO,O,X,O,O,X
LTLISZOJ,O,X,X,O,X
LTLISOJZ,O,X,X,O,X
LTLISOZJ,O,X,X,O,X
LTLIZJSO,O,X,O,X,X
LTLIZJOS,O,X,O,X,O
LTLIZSJO,O,X,O,O,X
LTLIZSOJ,O,X,X,O,X
LTLIZOJS,O,X,X,X,O
LTLIZOSJ,O,X,X,X,O
LTLIOJSZ,O,X,X,X,O
LTLIOJZS,O,X,X,X,O
LTLIOSJZ,O,X,X,X,O
LTLIOSZJ,O,X,X,X,O
LTLIOZJS,O,X,X,X,O
LTLIOZSJ,O,X,X,X,O
LTLJISZO,O,X,O,X,X
LTLJISOZ,O,X,O,X,X
LTLJIZSO,O,X,O,X,X
LTLJIZOS,O,X,O,X,O
LTLJIOSZ,O,X,O,X,O
LTLJIOZS,O,X,O,X,O
LTLJSIZO,O,X,O,X,X
LTLJSIOZ,O,X,O,X,X
LTLJSZIO,O,X,O,X,X
LTLJSZOI,O,X,O,X,X
LTLJSOIZ,O,X,O,X,X
LTLJSOZI,O,X,O,X,X
LTLJZISO,O,X,O,X,X
LTLJZIOS,O,X,O,X,O
LTLJZSIO,O,X,O,X,X
LTLJZSOI,O,X,O,X,X
LTLJZOIS,O,X,O,X,O
LTLJZOSI,O,X,O,X,O
LTLJOISZ,O,X,O,X,O
LTLJOIZS,O,X,O,X,O
LTLJOSIZ,O,X,O,X,O
LTLJOSZI,O,X,O,X,O
LTLJOZIS,O,X,O,X,O
LTLJOZSI,O,X,O,X,O
LTLSIJZO,O,X,O,O,X
LTLSIJOZ,O,X,O,O,X
LTLSIZJO,O,X,O,O,X
LTLSIZOJ,O,X,X,O,X
LTLSIOJZ,O,X,X,O,X
LTLSIOZJ,O,X,X,O,X
LTLSJIZO,O,X,O,O,X
LTLSJIOZ,O,X,O,O,X
LTLSJZIO,O,X,O,O,X
LTLSJZOI,O,X,O,O,X
LTLSJOIZ,O,X,O,O,X
LTLSJOZI,O,X,O,O,X
LTLSZIJO,O,X,O,O,X
LTLSZIOJ,O,X,X,O,X
LTLSZJIO,O,X,O,O,X
LTLSZJOI,O,X,O,O,X
LTLSZOIJ,O,X,X,O,X
LTLSZOJI,O,X,X,O,X
LTLSOIJZ,O,X,X,O,X
LTLSOIZJ,O,X,X,O,X
LTLSOJIZ,O,X,X,O,X
LTLSOJZI,O,X,X,O,X
LTLSOZIJ,O,X,X,O,X
LTLSOZJI,O,X,X,O,X
LTLZIJSO,O,X,O,X,X
LTLZIJOS,O,X,O,X,O
LTLZISJO,O,X,O,O,X
LTLZISOJ,O,X,X,O,X
LTLZIOJS,O,X,X,X,O
LTLZIOSJ,O,X,X,X,O
LTLZJISO,O,X,O,X,X
LTLZJIOS,O,X,O,X,O
LTLZJSIO,O,X,O,X,X
LTLZJSOI,O,X,O,X,X
LTLZJOIS,O,X,O,X,O
LTLZJOSI,O,X,O,X,O
LTLZSIJO,O,X,O,O,X
LTLZSIOJ,O,X,X,O,X
LTLZSJIO,O,X,O,O,X
LTLZSJOI,O,X,O,O,X
LTLZSOIJ,O,X,X,O,X
LTLZSOJI,O,X,X,O,X
LTLZOIJS,O,X,X,X,O
LTLZOISJ,O,X,X,X,O
LTLZOJIS,O,X,X,X,O
LTLZOJSI,O,X,X,X,O
LTLZOSIJ,O,X,X,X,O
LTLZOSJI,O,X,X,X,O
LTLOIJSZ,O,X,X,X,O
LTLOIJZS,O,X,X,X,O
LTLOISJZ,O,X,X,X,O
LTLOISZJ,O,X,X,X,O
LTLOIZJS,O,X,X,X,O
LTLOIZSJ,O,X,X,X,O
LTLOJISZ,O,X,X,X,O
LTLOJIZS,O,X,X,X,O
LTLOJSIZ,O,X,X,X,O
LTLOJSZI,O,X,X,X,O
LTLOJZIS,O,X,X,X,O
LTLOJZSI,O,X,X,X,O
LTLOSIJZ,O,X,X,X,O
LTLOSIZJ,O,X,X,X,O
LTLOSJIZ,O,X,X,X,O
LTLOSJZI,O,X,X,X,O
LTLOSZIJ,O,X,X,X,O
LTLOSZJI,O,X,X,X,O
LTLOZIJS,O,X,X,X,O
LTLOZISJ,O,X,X,X,O
LTLOZJIS,O,X,X,X,O
LTLOZJSI,O,X,X,X,O
LTLOZSIJ,O,X,X,X,O
LTLOZSJI,O,X,X,X,O
LTJILSZO,O,X,O,X,X
LTJILSOZ,O,X,O,X,X
LTJILZSO,O,X,O,X,X
LTJILZOS,O,X,O,X,O
LTJILOSZ,O,X,O,X,O
LTJILOZS,O,X,O,X,O
LTJISLZO,O,X,O,X,X
LTJISLOZ,O,X,O,X,X
LTJISZLO,O,X,O,X,X
LTJISZOL,X,X,O,X,X
LTJISOLZ,X,X,O,X,X
LTJISOZL,X,X,O,X,X
LTJIZLSO,O,X,O,X,X
LTJIZLOS,O,X,O,X,O
LTJIZSLO,O,X,O,X,X
LTJIZSOL,X,X,O,X,X
LTJIZOLS,X,X,O,X,O
LTJIZOSL,X,X,O,X,O
LTJIOLSZ,X,X,O,X,O
LTJIOLZS,X,X,O,X,O
LTJIOSLZ,X,X,O,X,O
LTJIOSZL,X,X,O,X,O
LTJIOZLS,X,X,O,X,O
LTJIOZSL,X,X,O,X,O
LTJLISZO,O,X,O,X,X
LTJLISOZ,O,X,O,X,X
LTJLIZSO,O,X,O,X,X
LTJLIZOS,O,X,O,X,O
LTJLIOSZ,O,X,O,X,O
LTJLIOZS,O,X,O,X,O
LTJLSIZO,O,X,O,X,X
LTJLSIOZ,O,X,O,X,X
LTJLSZIO,O,X,O,X,X
LTJLSZOI,O,X,O,X,X
LTJLSOIZ,O,X,O,X,X
LTJLSOZI,O,X,O,X,X
LTJLZISO,O,X,O,X,X
LTJLZIOS,O,X,O,X,O
LTJLZSIO,O,X,O,X,X
LTJLZSOI,O,X,O,X,X
LTJLZOIS,O,X,O,X,O
LTJLZOSI,O,X,O,X,O
LTJLOISZ,O,X,O,X,O
LTJLOIZS,O,X,O,X,O
LTJLOSIZ,O,X,O,X,O
LTJLOSZI,O,X,O,X,O
LTJLOZIS,O,X,O,X,O
LTJLOZSI,O,X,O,X,O
LTJSILZO,O,X,O,X,X
LTJSILOZ,O,X,O,X,X
LTJSIZLO,O,X,O,X,X
LTJSIZOL,X,X,O,X,X
LTJSIOLZ,X,X,O,X,X
LTJSIOZL,X,X,O,X,X
LTJSLIZO,O,X,O,X,X
LTJSLIOZ,O,X,O,X,X
LTJSLZIO,O,X,O,X,X
LTJSLZOI,O,X,O,X,X
LTJSLOIZ,O,X,O,X,X
LTJSLOZI,O,X,O,X,X
LTJSZILO,O,X,O,X,X
LTJSZIOL,X,X,O,X,X
LTJSZLIO,O,X,O,X,X
LTJSZLOI,O,X,O,X,X
LTJSZOIL,X,X,O,X,X
LTJSZOLI,X,X,O,X,X
LTJSOILZ,X,X,O,X,X
LTJSOIZL,X,X,O,X,X
LTJSOLIZ,X,X,O,X,X
LTJSOLZI,X,X,O,X,X
LTJSOZIL,X,X,O,X,X
LTJSOZLI,X,X,O,X,X
LTJZILSO,O,X,O,X,X
LTJZILOS,O,X,O,X,O
LTJZISLO,O,X,O,X,X
LTJZISOL,X,X,O,X,X
LTJZIOLS,X,X,O,X,O
LTJZIOSL,X,X,O,X,O
LTJZLISO,O,X,O,X,X
LTJZLIOS,O,X,O,X,O
LTJZLSIO,O,X,O,X,X
LTJZLSOI,O,X,O,X,X
LTJZLOIS,O,X,O,X,O
LTJZLOSI,O,X,O,X,O
LTJZSILO,O,X,O,X,X
LTJZSIOL,X,X,O,X,X
LTJZSLIO,O,X,O,X,X
LTJZSLOI,O,X,O,X,X
LTJZSOIL,X,X,O,X,X
LTJZSOLI,X,X,O,X,X
LTJZOILS,X,X,O,X,O
LTJZOISL,X,X,O,X,O
LTJZOLIS,X,X,O,X,O
LTJZOLSI,X,X,O,X,O
LTJZOSIL,X,X,O,X,O
LTJZOSLI,X,X,O,X,O
LTJOILSZ,X,X,O,X,O
LTJOILZS,X,X,O,X,O
LTJOISLZ,X,X,O,X,O
LTJOISZL,X,X,O,X,O
LTJOIZLS,X,X,O,X,O
LTJOIZSL,X,X,O,X,O
LTJOLISZ,X,X,O,X,O
LTJOLIZS,X,X,O,X,O
LTJOLSIZ,X,X,O,X,O
LTJOLSZI,X,X,O,X,O
LTJOLZIS,X,X,O,X,O
LTJOLZSI,X,X,O,X,O
LTJOSILZ,X,X,O,X,O
LTJOSIZL,X,X,O,X,O
LTJOSLIZ,X,X,O,X,O
LTJOSLZI,X,X,O,X,O
LTJOSZIL,X,X,O,X,O
LTJOSZLI,X,X,O,X,O
LTJOZILS,X,X,O,X,O
LTJOZISL,X,X,O,X,O
LTJOZLIS,X,X,O,X,O
LTJOZLSI,X,X,O,X,O
LTJOZSIL,X,X,O,X,O
LTJOZSLI,X,X,O,X,O
LTSILJZO,O,X,O,O,X
LTSILJOZ,O,X,O,O,X
LTSILZJO,O,X,O,O,X
LTSILZOJ,O,X,X,O,X
LTSILOJZ,O,X,X,O,X
LTSILOZJ,O,X,X,O,X
LTSIJLZO,O,X,O,O,X
LTSIJLOZ,O,X,O,O,X
LTSIJZLO,O,X,O,O,X
LTSIJZOL,X,X,O,O,X
LTSIJOLZ,X,X,O,O,X
LTSIJOZL,X,X,O,O,X
LTSIZLJO,O,X,O,O,X
LTSIZLOJ,O,X,X,O,X
LTSIZJLO,O,X,O,O,X
LTSIZJOL,X,X,O,O,X
LTSIZOLJ,X,X,X,O,X
LTSIZOJL,X,X,X,O,X
LTSIOLJZ,X,X,X,O,X
LTSIOLZJ,X,X,X,O,X
LTSIOJLZ,X,X,X,O,X
LTSIOJZL,X,X,X,O,X
LTSIOZLJ,X,X,X,O,X
LTSIOZJL,X,X,X,O,X
LTSLIJZO,O,X,O,O,X
LTSLIJOZ,O,X,O,O,X
LTSLIZJO,O,X,O,O,X
LTSLIZOJ,O,X,X,O,X
LTSLIOJZ,O,X,X,O,X
LTSLIOZJ,O,X,X,O,X
LTSLJIZO,O,X,O,O,X
LTSLJIOZ,O,X,O,O,X
LTSLJZIO,O,X,O,O,X
LTSLJZOI,O,X,O,O,X
LTSLJOIZ,O,X,O,O,X
LTSLJOZI,O,X,O,O,X
LTSLZIJO,O,X,O,O,X
LTSLZIOJ,O,X,X,O,X
LTSLZJIO,O,X,O,O,X
LTSLZJOI,O,X,O,O,X
LTSLZOIJ,O,X,X,O,X
LTSLZOJI,O,X,X,O,X
LTSLOIJZ,O,X,X,O,X
LTSLOIZJ,O,X,X,O,X
LTSLOJIZ,O,X,X,O,X
LTSLOJZI,O,X,X,O,X
LTSLOZIJ,O,X,X,O,X
LTSLOZJI,O,X,X,O,X
LTSJILZO,O,X,O,O,X
LTSJILOZ,O,X,O,O,X
LTSJIZLO,O,X,O,O,X
LTSJIZOL,X,X,O,O,X
LTSJIOLZ,X,X,O,O,X
LTSJIOZL,X,X,O,O,X
LTSJLIZO,O,X,O,O,X
LTSJLIOZ,O,X,O,O,X
LTSJLZIO,O,X,O,O,X
LTSJLZOI,O,X,O,O,X
LTSJLOIZ,O,X,O,O,X
LTSJLOZI,O,X,O,O,X
LTSJZILO,O,X,O,O,X
LTSJZIOL,X,X,O,O,X
LTSJZLIO,O,X,O,O,X
LTSJZLOI,O,X,O,O,X
LTSJZOIL,X,X,O,O,X
LTSJZOLI,X,X,O,O,X
LTSJOILZ,X,X,O,O,X
LTSJOIZL,X,X,O,O,X
LTSJOLIZ,X,X,O,O,X
LTSJOLZI,X,X,O,O,X
LTSJOZIL,X,X,O,O,X
LTSJOZLI,X,X,O,O,X
LTSZILJO,O,X,O,O,X
LTSZILOJ,O,X,X,O,X
LTSZIJLO,O,X,O,O,X
LTSZIJOL,X,X,O,O,X
LTSZIOLJ,X,X,X,O,X
LTSZIOJL,X,X,X,O,X
LTSZLIJO,O,X,O,O,X
LTSZLIOJ,O,X,X,O,X
LTSZLJIO,O,X,O,O,X
LTSZLJOI,O,X,O,O,X
LTSZLOIJ,O,X,X,O,X
LTSZLOJI,O,X,X,O,X
LTSZJILO,O,X,O,O,X
LTSZJIOL,X,X,O,O,X
LTSZJLIO,O,X,O,O,X
LTSZJLOI,O,X,O,O,X
LTSZJOIL,X,X,O,O,X
LTSZJOLI,X,X,O,O,X
LTSZOILJ,X,X,X,O,X
LTSZOIJL,X,X,X,O,X
LTSZOLIJ,X,X,X,O,X
LTSZOLJI,X,X,X,O,X
LTSZOJIL,X,X,X,O,X
LTSZOJLI,X,X,X,O,X
LTSOILJZ,X,X,X,O,X
LTSOILZJ,X,X,X,O,X
LTSOIJLZ,X,X,X,O,X
LTSOIJZL,X,X,X,O,X
LTSOIZLJ,X,X,X,O,X
LTSOIZJL,X,X,X,O,X
LTSOLIJZ,X,X,X,O,X
LTSOLIZJ,X,X,X,O,X
LTSOLJIZ,X,X,X,O,X
LTSOLJZI,X,X,X,O,X
LTSOLZIJ,X,X,X,O,X
LTSOLZJI,X,X,X,O,X
LTSOJILZ,X,X,X,O,X
LTSOJIZL,X,X,X,O,X
LTSOJLIZ,X,X,X,O,X
LTSOJLZI,X,X,X,O,X
LTSOJZIL,X,X,X,O,X
LTSOJZLI,X,X,X,O,X
LTSOZILJ,X,X,X,O,X
LTSOZIJL,X,X,X,O,X
LTSOZLIJ,X,X,X,O,X
LTSOZLJI,X,X,X,O,X
LTSOZJIL,X,X,X,O,X
LTSOZJLI,X,X,X,O,X
LTZILJSO,O,X,O,X,X
LTZILJOS,O,X,O,X,O
LTZILSJO,O,X,O,O,X
LTZILSOJ,O,X,X,O,X
LTZILOJS,O,X,X,X,O
LTZILOSJ,O,X,X,X,O
LTZIJLSO,O,X,O,X,X
LTZIJLOS,O,X,O,X,O
LTZIJSLO,O,X,O,X,X
LTZIJSOL,X,X,O,X,X
LTZIJOLS,X,X,O,X,O
LTZIJOSL,X,X,O,X,O
LTZISLJO,O,X,O,O,X
LTZISLOJ,O,X,X,O,X
LTZISJLO,O,X,O,O,X
LTZISJOL,X,X,O,O,X
LTZISOLJ,X,X,X,O,X
LTZISOJL,X,X,X,O,X
LTZIOLJS,X,X,X,X,O
LTZIOLSJ,X,X,X,X,O
LTZIOJLS,X,X,X,X,O
LTZIOJSL,X,X,X,X,O
LTZIOSLJ,X,X,X,X,O
LTZIOSJL,X,X,X,X,O
LTZLIJSO,O,X,O,X,X
LTZLIJOS,O,X,O,X,O
LTZLISJO,O,X,O,O,X
LTZLISOJ,O,X,X,O,X
LTZLIOJS,O,X,X,X,O
LTZLIOSJ,O,X,X,X,O
LTZLJISO,O,X,O,X,X
LTZLJIOS,O,X,O,X,O
LTZLJSIO,O,X,O,X,X
LTZLJSOI,O,X,O,X,X
LTZLJOIS,O,X,O,X,O
LTZLJOSI,O,X,O,X,O
LTZLSIJO,O,X,O,O,X
LTZLSIOJ,O,X,X,O,X
LTZLSJIO,O,X,O,O,X
LTZLSJOI,O,X,O,O,X
LTZLSOIJ,O,X,X,O,X
LTZLSOJI,O,X,X,O,X
LTZLOIJS,O,X,X,X,O
LTZLOISJ,O,X,X,X,O
LTZLOJIS,O,X,X,X,O
LTZLOJSI,O,X,X,X,O
LTZLOSIJ,O,X,X,X,O
LTZLOSJI,O,X,X,X,O
LTZJILSO,O,X,O,X,X
LTZJILOS,O,X,O,X,O
LTZJISLO,O,X,O,X,X
LTZJISOL,X,X,O,X,X
LTZJIOLS,X,X,O,X,O
LTZJIOSL,X,X,O,X,O
LTZJLISO,O,X,O,X,X
LTZJLIOS,O,X,O,X,O
LTZJLSIO,O,X,O,X,X
LTZJLSOI,O,X,O,X,X
LTZJLOIS,O,X,O,X,O
LTZJLOSI,O,X,O,X,O
LTZJSILO,O,X,O,X,X
LTZJSIOL,X,X,O,X,X
LTZJSLIO,O,X,O,X,X
LTZJSLOI,O,X,O,X,X
LTZJSOIL,X,X,O,X,X
LTZJSOLI,X,X,O,X,X
LTZJOILS,X,X,O,X,O
LTZJOISL,X,X,O,X,O
LTZJOLIS,X,X,O,X,O
LTZJOLSI,X,X,O,X,O
LTZJOSIL,X,X,O,X,O
LTZJOSLI,X,X,O,X,O
LTZSILJO,O,X,O,O,X
LTZSILOJ,O,X,X,O,X
LTZSIJLO,O,X,O,O,X
LTZSIJOL,X,X,O,O,X
LTZSIOLJ,X,X,X,O,X
LTZSIOJL,X,X,X,O,X
LTZSLIJO,O,X,O,O,X
LTZSLIOJ,O,X,X,O,X
LTZSLJIO,O,X,O,O,X
LTZSLJOI,O,X,O,O,X
LTZSLOIJ,O,X,X,O,X
LTZSLOJI,O,X,X,O,X
LTZSJILO,O,X,O,O,X
LTZSJIOL,X,X,O,O,X
LTZSJLIO,O,X,O,O,X
LTZSJLOI,O,X,O,O,X
LTZSJOIL,X,X,O,O,X
LTZSJOLI,X,X,O,O,X
LTZSOILJ,X,X,X,O,X
LTZSOIJL,X,X,X,O,X
LTZSOLIJ,X,X,X,O,X
LTZSOLJI,X,X,X,O,X
LTZSOJIL,X,X,X,O,X
LTZSOJLI,X,X,X,O,X
LTZOILJS,X,X,X,X,O
LTZOILSJ,X,X,X,X,O
LTZOIJLS,X,X,X,X,O
LTZOIJSL,X,X,X,X,O
LTZOISLJ,X,X,X,X,O
LTZOISJL,X,X,X,X,O
LTZOLIJS,X,X,X,X,O
LTZOLISJ,X,X,X,X,O
LTZOLJIS,X,X,X,X,O
LTZOLJSI,X,X,X,X,O
LTZOLSIJ,X,X,X,X,O
LTZOLSJI,X,X,X,X,O
LTZOJILS,X,X,X,X,O
LTZOJISL,X,X,X,X,O
LTZOJLIS,X,X,X,X,O
LTZOJLSI,X,X,X,X,O
LTZOJSIL,X,X,X,X,O
LTZOJSLI,X,X,X,X,O
LTZOSILJ,X,X,X,X,O
LTZOSIJL,X,X,X,X,O
LTZOSLIJ,X,X,X,X,O
LTZOSLJI,X,X,X,X,O
LTZOSJIL,X,X,X,X,O
LTZOSJLI,X,X,X,X,O
LTOILJSZ,X,X,X,X,O
LTOILJZS,X,X,X,X,O
LTOILSJZ,X,X,X,X,O
LTOILSZJ,X,X,X,X,O
LTOILZJS,X,X,X,X,O
LTOILZSJ,X,X,X,X,O
LTOIJLSZ,X,X,X,X,O
LTOIJLZS,X,X,X,X,O
LTOIJSLZ,X,X,X,X,O
LTOIJSZL,X,X,X,X,O
LTOIJZLS,X,X,X,X,O
LTOIJZSL,X,X,X,X,O
LTOISLJZ,X,X,X,X,O
LTOISLZJ,X,X,X,X,O
LTOISJLZ,X,X,X,X,O
LTOISJZL,X,X,X,X,O
LTOISZLJ,X,X,X,X,O
LTOISZJL,X,X,X,X,O
LTOIZLJS,X,X,X,X,O
LTOIZLSJ,X,X,X,X,O
LTOIZJLS,X,X,X,X,O
LTOIZJSL,X,X,X,X,O
LTOIZSLJ,X,X,X,X,O
LTOIZSJL,X,X,X,X,O
LTOLIJSZ,X,X,X,X,O
LTOLIJZS,X,X,X,X,O
LTOLISJZ,X,X,X,X,O
LTOLISZJ,X,X,X,X,O
LTOLIZJS,X,X,X,X,O
LTOLIZSJ,X,X,X,X,O
LTOLJISZ,X,X,X,X,O
LTOLJIZS,X,X,X,X,O
LTOLJSIZ,X,X,X,X,O
LTOLJSZI,X,X,X,X,O
LTOLJZIS,X,X,X,X,O
LTOLJZSI,X,X,X,X,O
LTOLSIJZ,X,X,X,X,O
LTOLSIZJ,X,X,X,X,O
LTOLSJIZ,X,X,X,X,O
LTOLSJZI,X,X,X,X,O
LTOLSZIJ,X,X,X,X,O
LTOLSZJI,X,X,X,X,O
LTOLZIJS,X,X,X,X,O
LTOLZISJ,X,X,X,X,O
LTOLZJIS,X,X,X,X,O
LTOLZJSI,X,X,X,X,O
LTOLZSIJ,X,X,X,X,O
LTOLZSJI,X,X,X,X,O
LTOJILSZ,X,X,X,X,O
LTOJILZS,X,X,X,X,O
LTOJISLZ,X,X,X,X,O
LTOJISZL,X,X,X,X,O
LTOJIZLS,X,X,X,X,O
LTOJIZSL,X,X,X,X,O
LTOJLISZ,X,X,X,X,O
LTOJLIZS,X,X,X,X,O
LTOJLSIZ,X,X,X,X,O
LTOJLSZI,X,X,X,X,O
LTOJLZIS,X,X,X,X,O
LTOJLZSI,X,X,X,X,O
LTOJSILZ,X,X,X,X,O
LTOJSIZL,X,X,X,X,O
LTOJSLIZ,X,X,X,X,O
LTOJSLZI,X,X,X,X,O
LTOJSZIL,X,X,X,X,O
LTOJSZLI,X,X,X,X,O
LTOJZILS,X,X,X,X,O
LTOJZISL,X,X,X,X,O
LTOJZLIS,X,X,X,X,O
LTOJZLSI,X,X,X,X,O
LTOJZSIL,X,X,X,X,O
LTOJZSLI,X,X,X,X,O
LTOSILJZ,X,X,X,X,O
LTOSILZJ,X,X,X,X,O
LTOSIJLZ,X,X,X,X,O
LTOSIJZL,X,X,X,X,O
LTOSIZLJ,X,X,X,X,O
LTOSIZJL,X,X,X,X,O
LTOSLIJZ,X,X,X,X,O
LTOSLIZJ,X,X,X,X,O
LTOSLJIZ,X,X,X,X,O
LTOSLJZI,X,X,X,X,O
LTOSLZIJ,X,X,X,X,O
LTOSLZJI,X,X,X,X,O
LTOSJILZ,X,X,X,X,O
LTOSJIZL,X,X,X,X,O
LTOSJLIZ,X,X,X,X,O
LTOSJLZI,X,X,X,X,O
LTOSJZIL,X,X,X,X,O
LTOSJZLI,X,X,X,X,O
LTOSZILJ,X,X,X,X,O
LTOSZIJL,X,X,X,X,O
LTOSZLIJ,X,X,X,X,O
LTOSZLJI,X,X,X,X,O
LTOSZJIL,X,X,X,X,O
LTOSZJLI,X,X,X,X,O
LTOZILJS,X,X,X,X,O
