sequence,v115@RhA8DeA8BeH8BeB8JepHJvhFJnBToBMrBuqBvpBaqB?,v115@RhA8DeA8BeH8BeB8JepHJvhFJnBToBMrBWvB3qBipB?,v115@RhA8DeA8BeH8BeB8JepHJvhFJnBToBvpByvBUqBGrB?,v115@RhA8DeA8BeH8BeB8JeTMJvhFxsBxnByvBGmBvpBUqB?,v115@RhA8DeA8BeH8BeB8JeTMJvhFxsBxnBWvBikBMrB3qB?,v115@RhA8DeA8BeH8BeB8JeTDJvhFOsBXmBxkB0kBxlB6sB?,v115@RhA8DeA8BeH8BeB8JeTDJvhF6sBxlB0kBxkBXmBOsB?
ITLISZJO,X,X,O,O,X,X,X
ITLISZOJ,X,X,O,X,X,X,X
ITLISOJZ,X,X,O,X,X,X,X
ITLISOZJ,X,X,O,X,X,X,X
ITLIZJSO,X,O,X,X,O,X,X
ITLIZJOS,X,O,X,X,X,X,X
ITLIZSJO,X,X,X,X,O,X,X
ITLIZSOJ,X,O,X,X,X,X,X
ITLIZOJS,X,O,X,X,X,X,X
ITLIZOSJ,X,O,X,X,X,X,X
ITLIOJSZ,X,X,O,X,X,X,X
ITLIOJZS,X,O,X,X,X,X,X
ITLIOSJZ,X,X,O,X,X,X,X
ITLIOSZJ,X,X,O,X,X,X,X
ITLIOZJS,X,O,X,X,X,X,X
ITLIOZSJ,X,O,X,X,X,X,X
ITLJISZO,X,X,O,O,X,X,X
ITLJISOZ,X,X,O,X,X,X,X
ITLJIZSO,X,O,X,X,O,X,X
ITLJIZOS,X,O,X,X,X,X,X
ITLJIOSZ,X,X,O,X,X,X,X
ITLJIOZS,X,O,X,X,X,X,X
ITLJSIZO,X,X,O,O,X,X,X
ITLJSIOZ,X,X,O,X,X,X,X
ITLJSZIO,X,X,O,O,X,X,X
ITLJSZOI,X,X,O,O,X,X,X
ITLJSOIZ,X,X,O,X,X,X,X
ITLJSOZI,X,X,O,X,X,X,X
ITLJZISO,X,O,X,X,O,X,X
ITLJZIOS,X,O,X,X,X,X,X
ITLJZSIO,X,O,X,X,O,X,X
ITLJZSOI,X,O,X,X,O,X,X
ITLJZOIS,X,O,X,X,X,X,X
ITLJZOSI,X,O,X,X,X,X,X
ITLJOISZ,X,X,O,X,X,X,X
ITLJOIZS,X,O,X,X,X,X,X
ITLJOSIZ,X,X,O,X,X,X,X
ITLJOSZI,X,X,O,X,X,X,X
ITLJOZIS,X,O,X,X,X,X,X
ITLJOZSI,X,O,X,X,X,X,X
ITLSIJZO,X,X,O,O,X,X,X
ITLSIJOZ,X,X,O,X,X,X,X
ITLSIZJO,X,X,O,O,X,X,X
ITLSIZOJ,X,X,O,X,X,X,X
ITLSIOJZ,X,X,O,X,X,X,X
ITLSIOZJ,X,X,O,X,X,X,X
ITLSJIZO,X,X,O,O,X,X,X
ITLSJIOZ,X,X,O,X,X,X,X
ITLSJZIO,X,X,O,O,X,X,X
ITLSJZOI,X,X,O,O,X,X,X
ITLSJOIZ,X,X,O,X,X,X,X
ITLSJOZI,X,X,O,X,X,X,X
ITLSZIJO,X,X,O,O,X,X,X
ITLSZIOJ,X,X,O,X,X,X,X
ITLSZJIO,X,X,O,O,X,X,X
ITLSZJOI,X,X,O,O,X,X,X
ITLSZOIJ,X,X,O,X,X,X,X
ITLSZOJI,X,X,O,X,X,X,X
ITLSOIJZ,X,X,O,X,X,X,X
ITLSOIZJ,X,X,O,X,X,X,X
ITLSOJIZ,X,X,O,X,X,X,X
ITLSOJZI,X,X,O,X,X,X,X
ITLSOZIJ,X,X,O,X,X,X,X
ITLSOZJI,X,X,O,X,X,X,X
ITLZIJSO,X,O,X,X,O,X,X
ITLZIJOS,X,O,X,X,X,X,X
ITLZISJO,X,X,X,X,O,X,X
ITLZISOJ,X,O,X,X,X,X,X
ITLZIOJS,X,O,X,X,X,X,O
ITLZIOSJ,X,O,X,X,X,X,O
ITLZJISO,X,O,X,X,O,X,X
ITLZJIOS,X,O,X,X,X,X,X
ITLZJSIO,X,O,X,X,O,X,X
ITLZJSOI,X,O,X,X,O,X,X
ITLZJOIS,X,O,X,X,X,X,X
ITLZJOSI,X,O,X,X,X,X,X
ITLZSIJO,X,X,X,X,O,X,X
ITLZSIOJ,X,O,X,X,X,X,X
ITLZSJIO,X,X,X,X,X,X,X
ITLZSJOI,X,X,X,X,X,X,X
ITLZSOIJ,X,O,X,X,X,X,X
ITLZSOJI,X,X,X,X,X,X,X
ITLZOIJS,X,O,X,X,X,X,O
ITLZOISJ,X,O,X,X,X,X,O
ITLZOJIS,X,O,X,X,X,X,O
ITLZOJSI,X,O,X,X,X,X,O
ITLZOSIJ,X,O,X,X,X,X,O
ITLZOSJI,X,X,X,X,X,X,O
ITLOIJSZ,X,X,O,X,X,X,X
ITLOIJZS,X,O,X,X,X,X,X
ITLOISJZ,X,X,O,X,X,X,X
ITLOISZJ,X,X,O,X,X,X,X
ITLOIZJS,X,O,X,X,X,X,X
ITLOIZSJ,X,O,X,X,X,X,X
ITLOJISZ,X,X,O,X,X,X,X
ITLOJIZS,X,O,X,X,X,X,X
ITLOJSIZ,X,X,O,X,X,X,X
ITLOJSZI,X,X,O,X,X,X,X
ITLOJZIS,X,O,X,X,X,X,X
ITLOJZSI,X,O,X,X,X,X,X
ITLOSIJZ,X,X,O,X,X,X,X
ITLOSIZJ,X,X,O,X,X,X,X
ITLOSJIZ,X,X,O,X,X,X,X
ITLOSJZI,X,X,O,X,X,X,X
ITLOSZIJ,X,X,O,X,X,X,X
ITLOSZJI,X,X,O,X,X,X,X
ITLOZIJS,X,O,X,X,X,X,O
ITLOZISJ,X,O,X,X,X,X,O
ITLOZJIS,X,O,X,X,X,X,O
ITLOZJSI,X,O,X,X,X,X,O
ITLOZSIJ,X,O,X,X,X,X,O
ITLOZSJI,X,X,X,X,X,X,O
ITJILSZO,X,X,O,O,X,X,X
ITJILSOZ,X,X,O,X,X,X,X
ITJILZSO,X,O,X,X,O,X,X
ITJILZOS,X,O,X,X,X,X,X
ITJILOSZ,X,X,O,X,X,X,X
ITJILOZS,X,O,X,X,X,X,X
ITJISLZO,X,X,O,O,X,X,X
ITJISLOZ,X,X,O,X,X,X,X
ITJISZLO,X,X,X,O,X,X,X
ITJISZOL,X,X,O,X,X,X,X
ITJISOLZ,X,X,O,X,X,X,X
ITJISOZL,X,X,O,X,X,X,X
ITJIZLSO,X,O,X,X,O,X,X
ITJIZLOS,X,O,X,X,X,X,X
ITJIZSLO,X,O,X,X,O,X,X
ITJIZSOL,X,O,X,X,X,X,X
ITJIZOLS,X,O,X,X,X,X,X
ITJIZOSL,X,O,X,X,X,X,X
ITJIOLSZ,X,X,O,X,X,X,X
ITJIOLZS,X,O,X,X,X,X,X
ITJIOSLZ,X,X,O,X,X,X,X
ITJIOSZL,X,X,O,X,X,X,X
ITJIOZLS,X,O,X,X,X,X,X
ITJIOZSL,X,O,X,X,X,X,X
ITJLISZO,X,X,O,O,X,X,X
ITJLISOZ,X,X,O,X,X,X,X
ITJLIZSO,X,O,X,X,O,X,X
ITJLIZOS,X,O,X,X,X,X,X
ITJLIOSZ,X,X,O,X,X,X,X
ITJLIOZS,X,O,X,X,X,X,X
ITJLSIZO,X,X,O,O,X,X,X
ITJLSIOZ,X,X,O,X,X,X,X
ITJLSZIO,X,X,O,O,X,X,X
ITJLSZOI,X,X,O,O,X,X,X
ITJLSOIZ,X,X,O,X,X,X,X
ITJLSOZI,X,X,O,X,X,X,X
ITJLZISO,X,O,X,X,O,X,X
ITJLZIOS,X,O,X,X,X,X,X
ITJLZSIO,X,O,X,X,O,X,X
ITJLZSOI,X,O,X,X,O,X,X
ITJLZOIS,X,O,X,X,X,X,X
ITJLZOSI,X,O,X,X,X,X,X
ITJLOISZ,X,X,O,X,X,X,X
ITJLOIZS,X,O,X,X,X,X,X
ITJLOSIZ,X,X,O,X,X,X,X
ITJLOSZI,X,X,O,X,X,X,X
ITJLOZIS,X,O,X,X,X,X,X
ITJLOZSI,X,O,X,X,X,X,X
ITJSILZO,X,X,O,O,X,X,X
ITJSILOZ,X,X,O,X,X,X,X
ITJSIZLO,X,X,X,O,X,X,X
ITJSIZOL,X,X,O,X,X,X,X
ITJSIOLZ,X,X,O,X,X,O,X
ITJSIOZL,X,X,O,X,X,O,X
ITJSLIZO,X,X,O,O,X,X,X
ITJSLIOZ,X,X,O,X,X,X,X
ITJSLZIO,X,X,O,O,X,X,X
ITJSLZOI,X,X,O,O,X,X,X
ITJSLOIZ,X,X,O,X,X,X,X
ITJSLOZI,X,X,O,X,X,X,X
ITJSZILO,X,X,X,O,X,X,X
ITJSZIOL,X,X,O,X,X,X,X
ITJSZLIO,X,X,X,X,X,X,X
ITJSZLOI,X,X,X,X,X,X,X
ITJSZOIL,X,X,O,X,X,X,X
ITJSZOLI,X,X,X,X,X,X,X
ITJSOILZ,X,X,O,X,X,O,X
ITJSOIZL,X,X,O,X,X,O,X
ITJSOLIZ,X,X,O,X,X,O,X
ITJSOLZI,X,X,O,X,X,O,X
ITJSOZIL,X,X,O,X,X,O,X
ITJSOZLI,X,X,X,X,X,O,X
ITJZILSO,X,O,X,X,O,X,X
ITJZILOS,X,O,X,X,X,X,X
ITJZISLO,X,O,X,X,O,X,X
ITJZISOL,X,O,X,X,X,X,X
ITJZIOLS,X,O,X,X,X,X,X
ITJZIOSL,X,O,X,X,X,X,X
ITJZLISO,X,O,X,X,O,X,X
ITJZLIOS,X,O,X,X,X,X,X
ITJZLSIO,X,O,X,X,O,X,X
ITJZLSOI,X,O,X,X,O,X,X
ITJZLOIS,X,O,X,X,X,X,X
ITJZLOSI,X,O,X,X,X,X,X
ITJZSILO,X,O,X,X,O,X,X
ITJZSIOL,X,O,X,X,X,X,X
ITJZSLIO,X,O,X,X,O,X,X
ITJZSLOI,X,O,X,X,O,X,X
ITJZSOIL,X,O,X,X,X,X,X
ITJZSOLI,X,O,X,X,X,X,X
ITJZOILS,X,O,X,X,X,X,X
ITJZOISL,X,O,X,X,X,X,X
ITJZOLIS,X,O,X,X,X,X,X
ITJZOLSI,X,O,X,X,X,X,X
ITJZOSIL,X,O,X,X,X,X,X
ITJZOSLI,X,O,X,X,X,X,X
ITJOILSZ,X,X,O,X,X,X,X
ITJOILZS,X,O,X,X,X,X,X
ITJOISLZ,X,X,O,X,X,X,X
ITJOISZL,X,X,O,X,X,X,X
ITJOIZLS,X,O,X,X,X,X,X
ITJOIZSL,X,O,X,X,X,X,X
ITJOLISZ,X,X,O,X,X,X,X
ITJOLIZS,X,O,X,X,X,X,X
ITJOLSIZ,X,X,O,X,X,X,X
ITJOLSZI,X,X,O,X,X,X,X
ITJOLZIS,X,O,X,X,X,X,X
ITJOLZSI,X,O,X,X,X,X,X
ITJOSILZ,X,X,O,X,X,O,X
ITJOSIZL,X,X,O,X,X,O,X
ITJOSLIZ,X,X,O,X,X,O,X
ITJOSLZI,X,X,O,X,X,O,X
ITJOSZIL,X,X,O,X,X,O,X
ITJOSZLI,X,X,X,X,X,O,X
ITJOZILS,X,O,X,X,X,X,X
ITJOZISL,X,O,X,X,X,X,X
ITJOZLIS,X,O,X,X,X,X,X
ITJOZLSI,X,O,X,X,X,X,X
ITJOZSIL,X,O,X,X,X,X,X
ITJOZSLI,X,O,X,X,X,X,X
ITSILJZO,X,X,O,O,X,X,X
ITSILJOZ,X,X,O,X,X,X,X
ITSILZJO,O,X,O,O,X,X,X
ITSILZOJ,O,X,O,X,X,X,X
ITSILOJZ,X,X,O,X,X,X,X
ITSILOZJ,O,X,O,X,X,X,X
ITSIJLZO,X,X,O,O,X,X,X
ITSIJLOZ,X,X,O,X,X,X,X
ITSIJZLO,X,X,X,O,X,X,X
ITSIJZOL,X,X,O,X,X,X,X
ITSIJOLZ,X,X,O,X,X,O,X
ITSIJOZL,X,X,O,X,X,O,X
ITSIZLJO,O,X,O,O,X,X,X
ITSIZLOJ,O,X,O,X,X,X,X
ITSIZJLO,O,X,X,O,X,X,X
ITSIZJOL,O,X,O,X,X,X,X
ITSIZOLJ,O,X,O,X,X,X,X
ITSIZOJL,O,X,O,X,X,X,X
ITSIOLJZ,X,X,O,X,X,X,X
ITSIOLZJ,O,X,O,X,X,X,X
ITSIOJLZ,X,X,O,X,X,O,X
ITSIOJZL,X,X,O,X,X,O,X
ITSIOZLJ,O,X,O,X,X,X,X
ITSIOZJL,O,X,O,X,X,X,X
ITSLIJZO,X,X,O,O,X,X,X
ITSLIJOZ,X,X,O,X,X,X,X
ITSLIZJO,O,X,O,O,X,X,X
ITSLIZOJ,O,X,O,X,X,X,X
ITSLIOJZ,X,X,O,X,X,X,X
ITSLIOZJ,O,X,O,X,X,X,X
ITSLJIZO,X,X,O,O,X,X,X
ITSLJIOZ,X,X,O,X,X,X,X
ITSLJZIO,X,X,O,O,X,X,X
ITSLJZOI,X,X,O,O,X,X,X
ITSLJOIZ,X,X,O,X,X,X,X
ITSLJOZI,X,X,O,X,X,X,X
ITSLZIJO,O,X,O,O,X,X,X
ITSLZIOJ,O,X,O,X,X,X,X
ITSLZJIO,O,X,O,O,X,X,X
ITSLZJOI,O,X,O,O,X,X,X
ITSLZOIJ,O,X,O,X,X,X,X
ITSLZOJI,O,X,O,X,X,X,X
ITSLOIJZ,X,X,O,X,X,X,X
ITSLOIZJ,O,X,O,X,X,X,X
ITSLOJIZ,X,X,O,X,X,X,X
ITSLOJZI,X,X,O,X,X,X,X
ITSLOZIJ,O,X,O,X,X,X,X
ITSLOZJI,O,X,O,X,X,X,X
ITSJILZO,X,X,O,O,X,X,X
ITSJILOZ,X,X,O,X,X,X,X
ITSJIZLO,X,X,X,O,X,X,X
ITSJIZOL,X,X,O,X,X,X,X
ITSJIOLZ,X,X,O,X,X,O,X
ITSJIOZL,X,X,O,X,X,O,X
ITSJLIZO,X,X,O,O,X,X,X
ITSJLIOZ,X,X,O,X,X,X,X
ITSJLZIO,X,X,O,O,X,X,X
ITSJLZOI,X,X,O,O,X,X,X
ITSJLOIZ,X,X,O,X,X,X,X
ITSJLOZI,X,X,O,X,X,X,X
ITSJZILO,X,X,X,O,X,X,X
ITSJZIOL,X,X,O,X,X,X,X
ITSJZLIO,X,X,X,X,X,X,X
ITSJZLOI,X,X,X,X,X,X,X
ITSJZOIL,X,X,O,X,X,X,X
ITSJZOLI,X,X,X,X,X,X,X
ITSJOILZ,X,X,O,X,X,O,X
ITSJOIZL,X,X,O,X,X,O,X
ITSJOLIZ,X,X,O,X,X,O,X
ITSJOLZI,X,X,O,X,X,O,X
ITSJOZIL,X,X,O,X,X,O,X
ITSJOZLI,X,X,X,X,X,O,X
ITSZILJO,O,X,O,O,X,X,X
ITSZILOJ,O,X,O,X,X,X,X
ITSZIJLO,O,X,X,O,X,X,X
ITSZIJOL,O,X,O,X,X,X,X
ITSZIOLJ,O,X,O,X,X,X,X
ITSZIOJL,O,X,O,X,X,X,X
ITSZLIJO,O,X,O,O,X,X,X
ITSZLIOJ,O,X,O,X,X,X,X
ITSZLJIO,O,X,O,O,X,X,X
ITSZLJOI,O,X,O,O,X,X,X
ITSZLOIJ,O,X,O,X,X,X,X
ITSZLOJI,O,X,O,X,X,X,X
ITSZJILO,O,X,X,O,X,X,X
ITSZJIOL,O,X,O,X,X,X,X
ITSZJLIO,O,X,X,X,X,X,X
ITSZJLOI,O,X,X,X,X,X,X
ITSZJOIL,O,X,O,X,X,X,X
ITSZJOLI,O,X,X,X,X,X,X
ITSZOILJ,O,X,O,X,X,X,X
ITSZOIJL,O,X,O,X,X,X,X
ITSZOLIJ,O,X,O,X,X,X,X
ITSZOLJI,O,X,O,X,X,X,X
ITSZOJIL,O,X,O,X,X,X,X
ITSZOJLI,O,X,X,X,X,X,X
ITSOILJZ,X,X,O,X,X,X,X
ITSOILZJ,O,X,O,X,X,X,X
ITSOIJLZ,X,X,O,X,X,O,X
ITSOIJZL,X,X,O,X,X,O,X
ITSOIZLJ,O,X,O,X,X,X,X
ITSOIZJL,O,X,O,X,X,X,X
ITSOLIJZ,X,X,O,X,X,X,X
ITSOLIZJ,O,X,O,X,X,X,X
ITSOLJIZ,X,X,O,X,X,X,X
ITSOLJZI,X,X,O,X,X,X,X
ITSOLZIJ,O,X,O,X,X,X,X
ITSOLZJI,O,X,O,X,X,X,X
ITSOJILZ,X,X,O,X,X,O,X
ITSOJIZL,X,X,O,X,X,O,X
ITSOJLIZ,X,X,O,X,X,O,X
ITSOJLZI,X,X,O,X,X,O,X
ITSOJZIL,X,X,O,X,X,O,X
ITSOJZLI,X,X,X,X,X,O,X
ITSOZILJ,O,X,O,X,X,X,X
ITSOZIJL,O,X,O,X,X,X,X
ITSOZLIJ,O,X,O,X,X,X,X
ITSOZLJI,O,X,O,X,X,X,X
ITSOZJIL,O,X,O,X,X,X,X
ITSOZJLI,O,X,X,X,X,X,X
ITZILJSO,X,O,X,X,O,X,X
ITZILJOS,X,O,X,X,X,X,X
ITZILSJO,X,X,X,X,O,X,X
ITZILSOJ,X,O,X,X,X,X,X
ITZILOJS,X,O,X,X,X,X,O
ITZILOSJ,X,O,X,X,X,X,O
ITZIJLSO,X,O,X,X,O,X,X
ITZIJLOS,X,O,X,X,X,X,X
ITZIJSLO,O,O,X,X,O,X,X
ITZIJSOL,O,O,X,X,X,X,X
ITZIJOLS,X,O,X,X,X,X,X
ITZIJOSL,O,O,X,X,X,X,X
ITZISLJO,O,X,X,X,O,X,X
ITZISLOJ,O,O,X,X,X,X,X
ITZISJLO,O,O,X,X,O,X,X
ITZISJOL,O,O,X,X,X,X,X
ITZISOLJ,O,O,X,X,X,X,X
ITZISOJL,O,O,X,X,X,X,X
ITZIOLJS,X,O,X,X,X,X,O
ITZIOLSJ,X,O,X,X,X,X,O
ITZIOJLS,X,O,X,X,X,X,X
ITZIOJSL,O,O,X,X,X,X,X
ITZIOSLJ,O,O,X,X,X,X,X
ITZIOSJL,O,O,X,X,X,X,X
ITZLIJSO,X,O,X,X,O,X,X
ITZLIJOS,X,O,X,X,X,X,X
ITZLISJO,X,X,X,X,O,X,X
ITZLISOJ,X,O,X,X,X,X,X
ITZLIOJS,X,O,X,X,X,X,O
ITZLIOSJ,X,O,X,X,X,X,O
ITZLJISO,X,O,X,X,O,X,X
ITZLJIOS,X,O,X,X,X,X,X
ITZLJSIO,X,O,X,X,O,X,X
ITZLJSOI,X,O,X,X,O,X,X
ITZLJOIS,X,O,X,X,X,X,X
ITZLJOSI,X,O,X,X,X,X,X
ITZLSIJO,X,X,X,X,O,X,X
ITZLSIOJ,X,O,X,X,X,X,X
ITZLSJIO,X,X,X,X,X,X,X
ITZLSJOI,X,X,X,X,X,X,X
ITZLSOIJ,X,O,X,X,X,X,X
ITZLSOJI,X,X,X,X,X,X,X
ITZLOIJS,X,O,X,X,X,X,O
ITZLOISJ,X,O,X,X,X,X,O
ITZLOJIS,X,O,X,X,X,X,O
ITZLOJSI,X,O,X,X,X,X,O
ITZLOSIJ,X,O,X,X,X,X,O
ITZLOSJI,X,X,X,X,X,X,O
ITZJILSO,X,O,X,X,O,X,X
ITZJILOS,X,O,X,X,X,X,X
ITZJISLO,O,O,X,X,O,X,X
ITZJISOL,O,O,X,X,X,X,X
ITZJIOLS,X,O,X,X,X,X,X
ITZJIOSL,O,O,X,X,X,X,X
ITZJLISO,X,O,X,X,O,X,X
ITZJLIOS,X,O,X,X,X,X,X
ITZJLSIO,X,O,X,X,O,X,X
ITZJLSOI,X,O,X,X,O,X,X
ITZJLOIS,X,O,X,X,X,X,X
ITZJLOSI,X,O,X,X,X,X,X
ITZJSILO,O,O,X,X,O,X,X
ITZJSIOL,O,O,X,X,X,X,X
ITZJSLIO,O,O,X,X,O,X,X
ITZJSLOI,O,O,X,X,O,X,X
ITZJSOIL,O,O,X,X,X,X,X
ITZJSOLI,O,O,X,X,X,X,X
ITZJOILS,X,O,X,X,X,X,X
ITZJOISL,O,O,X,X,X,X,X
ITZJOLIS,X,O,X,X,X,X,X
ITZJOLSI,X,O,X,X,X,X,X
ITZJOSIL,O,O,X,X,X,X,X
ITZJOSLI,O,O,X,X,X,X,X
ITZSILJO,O,X,X,X,O,X,X
ITZSILOJ,O,O,X,X,X,X,X
ITZSIJLO,O,O,X,X,O,X,X
ITZSIJOL,O,O,X,X,X,X,X
ITZSIOLJ,O,O,X,X,X,X,X
ITZSIOJL,O,O,X,X,X,X,X
ITZSLIJO,O,X,X,X,O,X,X
ITZSLIOJ,O,O,X,X,X,X,X
ITZSLJIO,O,X,X,X,X,X,X
ITZSLJOI,O,X,X,X,X,X,X
ITZSLOIJ,O,O,X,X,X,X,X
ITZSLOJI,O,X,X,X,X,X,X
ITZSJILO,O,O,X,X,O,X,X
ITZSJIOL,O,O,X,X,X,X,X
ITZSJLIO,O,O,X,X,O,X,X
ITZSJLOI,O,O,X,X,O,X,X
ITZSJOIL,O,O,X,X,X,X,X
ITZSJOLI,O,O,X,X,X,X,X
ITZSOILJ,O,O,X,X,X,X,X
ITZSOIJL,O,O,X,X,X,X,X
ITZSOLIJ,O,O,X,X,X,X,X
ITZSOLJI,O,X,X,X,X,X,X
ITZSOJIL,O,O,X,X,X,X,X
ITZSOJLI,O,O,X,X,X,X,X
ITZOILJS,X,O,X,X,X,X,O
ITZOILSJ,X,O,X,X,X,X,O
ITZOIJLS,X,O,X,X,X,X,X
