sequence,v115@vhFZEJWvBPlB0rB9sBTtB
TOSLZJI,X
TOSJILZ,O
TOSJIZL,O
TOSJLIZ,O
TOSJLZI,O
TOSJZIL,O
TOSJZLI,O
TOSZILJ,X
TOSZIJL,O
TOSZLIJ,X
TOSZLJI,X
TOSZJIL,O
TOSZJLI,O
TOZILJS,O
TOZILSJ,X
TOZIJLS,O
TOZIJSL,O
TOZISLJ,X
TOZISJL,O
TOZLIJS,O
TOZLISJ,X
TOZLJIS,O
TOZLJSI,O
TOZLSIJ,X
TOZLSJI,X
TOZJILS,O
TOZJISL,O
TOZJLIS,O
TOZJLSI,O
TOZJSIL,O
TOZJSLI,O
TOZSILJ,X
TOZSIJL,O
TOZSLIJ,X
TOZSLJI,X
TOZSJIL,O
TOZSJLI,O
ITLJSZO,O
ITLJSOZ,O
ITLJZSO,O
ITLJZOS,O
ITLJOSZ,O
ITLJOZS,O
ITLSJZO,X
ITLSJOZ,X
ITLSZJO,X
ITLSZOJ,X
ITLSOJZ,X
ITLSOZJ,X
ITLZJSO,O
ITLZJOS,O
ITLZSJO,X
ITLZSOJ,X
ITLZOJS,O
ITLZOSJ,X
ITLOJSZ,O
ITLOJZS,O
ITLOSJZ,X
ITLOSZJ,X
ITLOZJS,O
ITLOZSJ,X
ITJLSZO,O
ITJLSOZ,O
ITJLZSO,O
ITJLZOS,O
ITJLOSZ,O
ITJLOZS,O
ITJSLZO,O
ITJSLOZ,O
ITJSZLO,O
ITJSZOL,O
ITJSOLZ,O
ITJSOZL,O
ITJZLSO,O
ITJZLOS,O
ITJZSLO,O
ITJZSOL,O
ITJZOLS,O
ITJZOSL,O
ITJOLSZ,O
ITJOLZS,O
ITJOSLZ,O
ITJOSZL,O
ITJOZLS,O
ITJOZSL,O
ITSLJZO,X
ITSLJOZ,X
ITSLZJO,X
ITSLZOJ,X
ITSLOJZ,X
ITSLOZJ,X
ITSJLZO,O
ITSJLOZ,O
ITSJZLO,O
ITSJZOL,O
ITSJOLZ,O
ITSJOZL,O
ITSZLJO,X
ITSZLOJ,X
ITSZJLO,O
ITSZJOL,O
ITSZOLJ,X
ITSZOJL,O
ITSOLJZ,X
ITSOLZJ,X
ITSOJLZ,O
ITSOJZL,O
ITSOZLJ,X
ITSOZJL,O
ITZLJSO,O
ITZLJOS,O
ITZLSJO,X
ITZLSOJ,X
ITZLOJS,O
ITZLOSJ,X
ITZJLSO,O
ITZJLOS,O
ITZJSLO,O
ITZJSOL,O
ITZJOLS,O
ITZJOSL,O
ITZSLJO,X
ITZSLOJ,X
ITZSJLO,O
ITZSJOL,O
ITZSOLJ,X
ITZSOJL,O
ITZOLJS,O
ITZOLSJ,X
ITZOJLS,O
ITZOJSL,O
ITZOSLJ,X
ITZOSJL,O
ITOLJSZ,O
ITOLJZS,O
ITOLSJZ,X
ITOLSZJ,X
ITOLZJS,O
ITOLZSJ,X
ITOJLSZ,O
ITOJLZS,O
ITOJSLZ,O
ITOJSZL,O
ITOJZLS,O
ITOJZSL,O
ITOSLJZ,X
ITOSLZJ,X
ITOSJLZ,O
ITOSJZL,O
ITOSZLJ,X
ITOSZJL,O
ITOZLJS,O
ITOZLSJ,X
ITOZJLS,O
ITOZJSL,O
ITOZSLJ,X
ITOZSJL,O
ILTJSZO,O
ILTJSOZ,O
ILTJZSO,O
ILTJZOS,O
ILTJOSZ,O
ILTJOZS,O
ILTSJZO,X
ILTSJOZ,X
ILTSZJO,X
ILTSZOJ,X
ILTSOJZ,X
ILTSOZJ,X
ILTZJSO,O
ILTZJOS,O
ILTZSJO,X
ILTZSOJ,X
ILTZOJS,O
ILTZOSJ,X
ILTOJSZ,O
ILTOJZS,O
ILTOSJZ,X
ILTOSZJ,X
ILTOZJS,O
ILTOZSJ,X
ILJTSZO,O
ILJTSOZ,O
ILJTZSO,O
ILJTZOS,O
ILJTOSZ,O
ILJTOZS,O
ILJSTZO,O
ILJSTOZ,O
ILJSZTO,O
ILJSZOT,O
ILJSOTZ,O
ILJSOZT,O
ILJZTSO,O
ILJZTOS,O
ILJZSTO,O
ILJZSOT,O
ILJZOTS,O
ILJZOST,O
ILJOTSZ,O
ILJOTZS,O
ILJOSTZ,O
ILJOSZT,O
ILJOZTS,O
ILJOZST,O
ILSTJZO,X
ILSTJOZ,X
ILSTZJO,X
ILSTZOJ,X
ILSTOJZ,X
ILSTOZJ,X
ILSJTZO,X
ILSJTOZ,X
ILSJZTO,X
ILSJZOT,X
ILSJOTZ,X
ILSJOZT,X
ILSZTJO,X
ILSZTOJ,X
ILSZJTO,X
ILSZJOT,X
ILSZOTJ,X
ILSZOJT,X
ILSOTJZ,X
ILSOTZJ,X
ILSOJTZ,X
ILSOJZT,X
ILSOZTJ,X
ILSOZJT,X
ILZTJSO,O
ILZTJOS,O
ILZTSJO,X
ILZTSOJ,X
ILZTOJS,O
ILZTOSJ,X
ILZJTSO,O
ILZJTOS,O
ILZJSTO,O
ILZJSOT,O
ILZJOTS,O
ILZJOST,O
ILZSTJO,X
ILZSTOJ,X
ILZSJTO,X
ILZSJOT,X
ILZSOTJ,X
ILZSOJT,X
ILZOTJS,O
ILZOTSJ,X
ILZOJTS,O
ILZOJST,O
ILZOSTJ,X
ILZOSJT,X
ILOTJSZ,O
ILOTJZS,O
ILOTSJZ,X
ILOTSZJ,X
ILOTZJS,O
ILOTZSJ,X
ILOJTSZ,O
ILOJTZS,O
ILOJSTZ,O
ILOJSZT,O
ILOJZTS,O
ILOJZST,O
ILOSTJZ,X
ILOSTZJ,X
ILOSJTZ,X
ILOSJZT,X
ILOSZTJ,X
ILOSZJT,X
ILOZTJS,O
ILOZTSJ,X
ILOZJTS,O
ILOZJST,O
ILOZSTJ,X
ILOZSJT,X
IJTLSZO,O
IJTLSOZ,O
IJTLZSO,O
IJTLZOS,O
IJTLOSZ,O
IJTLOZS,O
IJTSLZO,O
IJTSLOZ,O
IJTSZLO,O
IJTSZOL,O
IJTSOLZ,O
IJTSOZL,O
IJTZLSO,O
IJTZLOS,O
IJTZSLO,O
IJTZSOL,O
IJTZOLS,O
IJTZOSL,O
IJTOLSZ,O
IJTOLZS,O
IJTOSLZ,O
IJTOSZL,O
IJTOZLS,O
IJTOZSL,O
IJLTSZO,O
IJLTSOZ,O
IJLTZSO,O
IJLTZOS,O
IJLTOSZ,O
IJLTOZS,O
IJLSTZO,O
IJLSTOZ,O
IJLSZTO,O
IJLSZOT,O
IJLSOTZ,O
IJLSOZT,O
IJLZTSO,O
IJLZTOS,O
IJLZSTO,O
IJLZSOT,O
IJLZOTS,O
IJLZOST,O
IJLOTSZ,O
IJLOTZS,O
IJLOSTZ,O
IJLOSZT,O
IJLOZTS,O
IJLOZST,O
IJSTLZO,O
IJSTLOZ,O
IJSTZLO,O
IJSTZOL,O
IJSTOLZ,O
IJSTOZL,O
IJSLTZO,O
IJSLTOZ,O
IJSLZTO,O
IJSLZOT,O
IJSLOTZ,O
IJSLOZT,O
IJSZTLO,O
IJSZTOL,O
IJSZLTO,O
IJSZLOT,O
IJSZOTL,O
IJSZOLT,O
IJSOTLZ,O
IJSOTZL,O
IJSOLTZ,O
IJSOLZT,O
IJSOZTL,O
IJSOZLT,O
IJZTLSO,O
IJZTLOS,O
IJZTSLO,O
IJZTSOL,O
IJZTOLS,O
IJZTOSL,O
IJZLTSO,O
IJZLTOS,O
IJZLSTO,O
IJZLSOT,O
IJZLOTS,O
IJZLOST,O
IJZSTLO,O
IJZSTOL,O
IJZSLTO,O
IJZSLOT,O
IJZSOTL,O
IJZSOLT,O
IJZOTLS,O
IJZOTSL,O
IJZOLTS,O
IJZOLST,O
IJZOSTL,O
IJZOSLT,O
IJOTLSZ,O
IJOTLZS,O
IJOTSLZ,O
IJOTSZL,O
IJOTZLS,O
IJOTZSL,O
IJOLTSZ,O
IJOLTZS,O
IJOLSTZ,O
IJOLSZT,O
IJOLZTS,O
IJOLZST,O
IJOSTLZ,O
IJOSTZL,O
IJOSLTZ,O
IJOSLZT,O
IJOSZTL,O
IJOSZLT,O
IJOZTLS,O
IJOZTSL,O
IJOZLTS,O
IJOZLST,O
IJOZSTL,O
IJOZSLT,O
ISTLJZO,X
ISTLJOZ,X
ISTLZJO,X
ISTLZOJ,X
ISTLOJZ,X
ISTLOZJ,X
ISTJLZO,O
ISTJLOZ,O
ISTJZLO,O
ISTJZOL,O
ISTJOLZ,O
ISTJOZL,O
ISTZLJO,X
ISTZLOJ,X
ISTZJLO,O
ISTZJOL,O
ISTZOLJ,X
ISTZOJL,O
ISTOLJZ,X
ISTOLZJ,X
ISTOJLZ,O
ISTOJZL,O
ISTOZLJ,X
ISTOZJL,O
ISLTJZO,X
ISLTJOZ,X
ISLTZJO,X
ISLTZOJ,X
ISLTOJZ,X
ISLTOZJ,X
ISLJTZO,X
ISLJTOZ,X
ISLJZTO,X
ISLJZOT,X
ISLJOTZ,X
ISLJOZT,X
ISLZTJO,X
ISLZTOJ,X
ISLZJTO,X
ISLZJOT,X
ISLZOTJ,X
ISLZOJT,X
ISLOTJZ,X
ISLOTZJ,X
ISLOJTZ,X
ISLOJZT,X
ISLOZTJ,X
ISLOZJT,X
ISJTLZO,O
ISJTLOZ,O
ISJTZLO,O
ISJTZOL,O
ISJTOLZ,O
ISJTOZL,O
ISJLTZO,O
ISJLTOZ,O
ISJLZTO,O
ISJLZOT,O
ISJLOTZ,O
ISJLOZT,O
ISJZTLO,O
ISJZTOL,O
ISJZLTO,O
ISJZLOT,O
ISJZOTL,O
ISJZOLT,O
ISJOTLZ,O
ISJOTZL,O
ISJOLTZ,O
ISJOLZT,O
ISJOZTL,O
ISJOZLT,O
ISZTLJO,X
ISZTLOJ,X
ISZTJLO,O
ISZTJOL,O
ISZTOLJ,X
ISZTOJL,O
ISZLTJO,X
ISZLTOJ,X
ISZLJTO,X
ISZLJOT,X
ISZLOTJ,X
ISZLOJT,X
ISZJTLO,O
ISZJTOL,O
ISZJLTO,O
ISZJLOT,O
ISZJOTL,O
ISZJOLT,O
ISZOTLJ,X
ISZOTJL,O
ISZOLTJ,X
ISZOLJT,X
ISZOJTL,O
ISZOJLT,O
ISOTLJZ,X
ISOTLZJ,X
ISOTJLZ,O
ISOTJZL,O
ISOTZLJ,X
ISOTZJL,O
ISOLTJZ,X
ISOLTZJ,X
ISOLJTZ,X
ISOLJZT,X
ISOLZTJ,X
ISOLZJT,X
ISOJTLZ,O
ISOJTZL,O
ISOJLTZ,O
ISOJLZT,O
ISOJZTL,O
ISOJZLT,O
ISOZTLJ,X
ISOZTJL,O
ISOZLTJ,X
ISOZLJT,X
ISOZJTL,O
ISOZJLT,O
IZTLJSO,O
IZTLJOS,O
IZTLSJO,X
IZTLSOJ,X
IZTLOJS,O
IZTLOSJ,X
IZTJLSO,O
IZTJLOS,O
IZTJSLO,O
IZTJSOL,O
IZTJOLS,O
IZTJOSL,O
IZTSLJO,X
IZTSLOJ,X
IZTSJLO,O
IZTSJOL,O
IZTSOLJ,X
IZTSOJL,O
IZTOLJS,O
IZTOLSJ,X
IZTOJLS,O
IZTOJSL,O
IZTOSLJ,X
IZTOSJL,O
IZLTJSO,O
IZLTJOS,O
IZLTSJO,X
IZLTSOJ,X
IZLTOJS,O
IZLTOSJ,X
IZLJTSO,O
IZLJTOS,O
IZLJSTO,O
IZLJSOT,O
IZLJOTS,O
IZLJOST,O
IZLSTJO,X
IZLSTOJ,X
IZLSJTO,X
IZLSJOT,X
IZLSOTJ,X
IZLSOJT,X
IZLOTJS,O
IZLOTSJ,X
IZLOJTS,O
IZLOJST,O
IZLOSTJ,X
IZLOSJT,X
IZJTLSO,O
IZJTLOS,O
IZJTSLO,O
IZJTSOL,O
IZJTOLS,O
IZJTOSL,O
IZJLTSO,O
IZJLTOS,O
IZJLSTO,O
IZJLSOT,O
IZJLOTS,O
IZJLOST,O
IZJSTLO,O
IZJSTOL,O
IZJSLTO,O
IZJSLOT,O
IZJSOTL,O
IZJSOLT,O
IZJOTLS,O
IZJOTSL,O
IZJOLTS,O
IZJOLST,O
IZJOSTL,O
IZJOSLT,O
IZSTLJO,X
IZSTLOJ,X
IZSTJLO,O
IZSTJOL,O
IZSTOLJ,X
IZSTOJL,O
IZSLTJO,X
IZSLTOJ,X
IZSLJTO,X
IZSLJOT,X
IZSLOTJ,X
IZSLOJT,X
IZSJTLO,O
IZSJTOL,O
IZSJLTO,O
IZSJLOT,O
IZSJOTL,O
IZSJOLT,O
IZSOTLJ,X
IZSOTJL,O
IZSOLTJ,X
IZSOLJT,X
IZSOJTL,O
IZSOJLT,O
IZOTLJS,O
IZOTLSJ,X
IZOTJLS,O
IZOTJSL,O
IZOTSLJ,X
IZOTSJL,O
IZOLTJS,O
IZOLTSJ,X
IZOLJTS,O
IZOLJST,O
IZOLSTJ,X
IZOLSJT,X
IZOJTLS,O
IZOJTSL,O
IZOJLTS,O
IZOJLST,O
IZOJSTL,O
IZOJSLT,O
IZOSTLJ,X
IZOSTJL,O
IZOSLTJ,X
IZOSLJT,X
IZOSJTL,O
IZOSJLT,O
IOTLJSZ,O
IOTLJZS,O
IOTLSJZ,X
IOTLSZJ,X
IOTLZJS,O
IOTLZSJ,X
IOTJLSZ,O
IOTJLZS,O
IOTJSLZ,O
IOTJSZL,O
IOTJZLS,O
IOTJZSL,O
IOTSLJZ,X
IOTSLZJ,X
IOTSJLZ,O
IOTSJZL,O
IOTSZLJ,X
IOTSZJL,O
IOTZLJS,O
IOTZLSJ,X
IOTZJLS,O
IOTZJSL,O
IOTZSLJ,X
IOTZSJL,O
IOLTJSZ,O
IOLTJZS,O
IOLTSJZ,X
IOLTSZJ,X
IOLTZJS,O
IOLTZSJ,X
IOLJTSZ,O
IOLJTZS,O
IOLJSTZ,O
IOLJSZT,O
IOLJZTS,O
IOLJZST,O
IOLSTJZ,X
IOLSTZJ,X
IOLSJTZ,X
IOLSJZT,X
IOLSZTJ,X
IOLSZJT,X
IOLZTJS,O
IOLZTSJ,X
IOLZJTS,O
IOLZJST,O
IOLZSTJ,X
IOLZSJT,X
IOJTLSZ,O
