sequence,v115@PhA8FeE8DeF8JeZEJvhFzfBUiBGjBFmBCqB3qB
TOSLJZI,X
TOSLZIJ,X
TOSLZJI,X
TOSJILZ,X
TOSJIZL,X
TOSJLIZ,X
TOSJLZI,X
TOSJZIL,X
TOSJZLI,X
TOSZILJ,X
TOSZIJL,X
TOSZLIJ,X
TOSZLJI,X
TOSZJIL,X
TOSZJLI,X
TOZILJS,O
TOZILSJ,O
TOZIJLS,O
TOZIJSL,X
TOZISLJ,X
TOZISJL,X
TOZLIJS,O
TOZLISJ,O
TOZLJIS,O
TOZLJSI,O
TOZLSIJ,O
TOZLSJI,O
TOZJILS,O
TOZJISL,X
TOZJLIS,O
TOZJLSI,O
TOZJSIL,X
TOZJSLI,X
TOZSILJ,X
TOZSIJL,X
TOZSLIJ,X
TOZSLJI,X
TOZSJIL,X
TOZSJLI,X
ITLJSZO,O
ITLJSOZ,O
ITLJZSO,O
ITLJZOS,O
ITLJOSZ,O
ITLJOZS,O
ITLSJZO,O
ITLSJOZ,O
ITLSZJO,O
ITLSZOJ,O
ITLSOJZ,O
ITLSOZJ,O
ITLZJSO,O
ITLZJOS,O
ITLZSJO,O
ITLZSOJ,O
ITLZOJS,O
ITLZOSJ,O
ITLOJSZ,O
ITLOJZS,O
ITLOSJZ,O
ITLOSZJ,O
ITLOZJS,O
ITLOZSJ,O
ITJLSZO,O
ITJLSOZ,O
ITJLZSO,O
ITJLZOS,O
ITJLOSZ,O
ITJLOZS,O
ITJSLZO,O
ITJSLOZ,O
ITJSZLO,O
ITJSZOL,X
ITJSOLZ,X
ITJSOZL,X
ITJZLSO,O
ITJZLOS,O
ITJZSLO,O
ITJZSOL,X
ITJZOLS,O
ITJZOSL,X
ITJOLSZ,O
ITJOLZS,O
ITJOSLZ,X
ITJOSZL,X
ITJOZLS,O
ITJOZSL,X
ITSLJZO,O
ITSLJOZ,O
ITSLZJO,O
ITSLZOJ,O
ITSLOJZ,O
ITSLOZJ,O
ITSJLZO,O
ITSJLOZ,O
ITSJZLO,O
ITSJZOL,X
ITSJOLZ,X
ITSJOZL,X
ITSZLJO,O
ITSZLOJ,O
ITSZJLO,O
ITSZJOL,X
ITSZOLJ,X
ITSZOJL,X
ITSOLJZ,X
ITSOLZJ,X
ITSOJLZ,X
ITSOJZL,X
ITSOZLJ,X
ITSOZJL,X
ITZLJSO,O
ITZLJOS,O
ITZLSJO,O
ITZLSOJ,O
ITZLOJS,O
ITZLOSJ,O
ITZJLSO,O
ITZJLOS,O
ITZJSLO,O
ITZJSOL,X
ITZJOLS,O
ITZJOSL,X
ITZSLJO,O
ITZSLOJ,O
ITZSJLO,O
ITZSJOL,X
ITZSOLJ,X
ITZSOJL,X
ITZOLJS,O
ITZOLSJ,O
ITZOJLS,O
ITZOJSL,X
ITZOSLJ,X
ITZOSJL,X
ITOLJSZ,O
ITOLJZS,O
ITOLSJZ,O
ITOLSZJ,O
ITOLZJS,O
ITOLZSJ,O
ITOJLSZ,O
ITOJLZS,O
ITOJSLZ,X
ITOJSZL,X
ITOJZLS,O
ITOJZSL,X
ITOSLJZ,X
ITOSLZJ,X
ITOSJLZ,X
ITOSJZL,X
ITOSZLJ,X
ITOSZJL,X
ITOZLJS,O
ITOZLSJ,O
ITOZJLS,O
ITOZJSL,X
ITOZSLJ,X
ITOZSJL,X
ILTJSZO,O
ILTJSOZ,O
ILTJZSO,O
ILTJZOS,O
ILTJOSZ,O
ILTJOZS,O
ILTSJZO,O
ILTSJOZ,O
ILTSZJO,O
ILTSZOJ,O
ILTSOJZ,O
ILTSOZJ,O
ILTZJSO,O
ILTZJOS,O
ILTZSJO,O
ILTZSOJ,O
ILTZOJS,O
ILTZOSJ,O
ILTOJSZ,O
ILTOJZS,O
ILTOSJZ,O
ILTOSZJ,O
ILTOZJS,O
ILTOZSJ,O
ILJTSZO,O
ILJTSOZ,O
ILJTZSO,O
ILJTZOS,O
ILJTOSZ,O
ILJTOZS,O
ILJSTZO,O
ILJSTOZ,O
ILJSZTO,O
ILJSZOT,O
ILJSOTZ,O
ILJSOZT,O
ILJZTSO,O
ILJZTOS,O
ILJZSTO,O
ILJZSOT,O
ILJZOTS,O
ILJZOST,O
ILJOTSZ,O
ILJOTZS,O
ILJOSTZ,O
ILJOSZT,O
ILJOZTS,O
ILJOZST,O
ILSTJZO,O
ILSTJOZ,O
ILSTZJO,O
ILSTZOJ,O
ILSTOJZ,O
ILSTOZJ,O
ILSJTZO,O
ILSJTOZ,O
ILSJZTO,O
ILSJZOT,O
ILSJOTZ,O
ILSJOZT,O
ILSZTJO,O
ILSZTOJ,O
ILSZJTO,O
ILSZJOT,O
ILSZOTJ,O
ILSZOJT,O
ILSOTJZ,O
ILSOTZJ,O
ILSOJTZ,O
ILSOJZT,O
ILSOZTJ,O
ILSOZJT,O
ILZTJSO,O
ILZTJOS,O
ILZTSJO,O
ILZTSOJ,O
ILZTOJS,O
ILZTOSJ,O
ILZJTSO,O
ILZJTOS,O
ILZJSTO,O
ILZJSOT,O
ILZJOTS,O
ILZJOST,O
ILZSTJO,O
ILZSTOJ,O
ILZSJTO,O
ILZSJOT,O
ILZSOTJ,O
ILZSOJT,O
ILZOTJS,O
ILZOTSJ,O
ILZOJTS,O
ILZOJST,O
ILZOSTJ,O
ILZOSJT,O
ILOTJSZ,O
ILOTJZS,O
ILOTSJZ,O
ILOTSZJ,O
ILOTZJS,O
ILOTZSJ,O
ILOJTSZ,O
ILOJTZS,O
ILOJSTZ,O
ILOJSZT,O
ILOJZTS,O
ILOJZST,O
ILOSTJZ,O
ILOSTZJ,O
ILOSJTZ,O
ILOSJZT,O
ILOSZTJ,O
ILOSZJT,O
ILOZTJS,O
ILOZTSJ,O
ILOZJTS,O
ILOZJST,O
ILOZSTJ,O
ILOZSJT,O
IJTLSZO,O
IJTLSOZ,O
IJTLZSO,O
IJTLZOS,O
IJTLOSZ,O
IJTLOZS,O
IJTSLZO,O
IJTSLOZ,O
IJTSZLO,O
IJTSZOL,X
IJTSOLZ,X
IJTSOZL,X
IJTZLSO,O
IJTZLOS,O
IJTZSLO,O
IJTZSOL,X
IJTZOLS,O
IJTZOSL,X
IJTOLSZ,O
IJTOLZS,O
IJTOSLZ,X
IJTOSZL,X
IJTOZLS,O
IJTOZSL,X
IJLTSZO,O
IJLTSOZ,O
IJLTZSO,O
IJLTZOS,O
IJLTOSZ,O
IJLTOZS,O
IJLSTZO,O
IJLSTOZ,O
IJLSZTO,O
IJLSZOT,O
IJLSOTZ,O
IJLSOZT,O
IJLZTSO,O
IJLZTOS,O
IJLZSTO,O
IJLZSOT,O
IJLZOTS,O
IJLZOST,O
IJLOTSZ,O
IJLOTZS,O
IJLOSTZ,O
IJLOSZT,O
IJLOZTS,O
IJLOZST,O
IJSTLZO,O
IJSTLOZ,O
IJSTZLO,O
IJSTZOL,X
IJSTOLZ,X
IJSTOZL,X
IJSLTZO,O
IJSLTOZ,O
IJSLZTO,O
IJSLZOT,O
IJSLOTZ,O
IJSLOZT,O
IJSZTLO,O
IJSZTOL,X
IJSZLTO,O
IJSZLOT,O
IJSZOTL,X
IJSZOLT,X
IJSOTLZ,X
IJSOTZL,X
IJSOLTZ,X
IJSOLZT,X
IJSOZTL,X
IJSOZLT,X
IJZTLSO,O
IJZTLOS,O
IJZTSLO,O
IJZTSOL,X
IJZTOLS,O
IJZTOSL,X
IJZLTSO,O
IJZLTOS,O
IJZLSTO,O
IJZLSOT,O
IJZLOTS,O
IJZLOST,O
IJZSTLO,O
IJZSTOL,X
IJZSLTO,O
IJZSLOT,O
IJZSOTL,X
IJZSOLT,X
IJZOTLS,O
IJZOTSL,X
IJZOLTS,O
IJZOLST,O
IJZOSTL,X
IJZOSLT,X
IJOTLSZ,O
IJOTLZS,O
IJOTSLZ,X
IJOTSZL,X
IJOTZLS,O
IJOTZSL,X
IJOLTSZ,O
IJOLTZS,O
IJOLSTZ,O
IJOLSZT,O
IJOLZTS,O
IJOLZST,O
IJOSTLZ,X
IJOSTZL,X
IJOSLTZ,X
IJOSLZT,X
IJOSZTL,X
IJOSZLT,X
IJOZTLS,O
IJOZTSL,X
IJOZLTS,O
IJOZLST,O
IJOZSTL,X
IJOZSLT,X
ISTLJZO,O
ISTLJOZ,O
ISTLZJO,O
ISTLZOJ,O
ISTLOJZ,O
ISTLOZJ,O
ISTJLZO,O
ISTJLOZ,O
ISTJZLO,O
ISTJZOL,X
ISTJOLZ,X
ISTJOZL,X
ISTZLJO,O
ISTZLOJ,O
ISTZJLO,O
ISTZJOL,X
ISTZOLJ,X
ISTZOJL,X
ISTOLJZ,X
ISTOLZJ,X
ISTOJLZ,X
ISTOJZL,X
ISTOZLJ,X
ISTOZJL,X
ISLTJZO,O
ISLTJOZ,O
ISLTZJO,O
ISLTZOJ,O
ISLTOJZ,O
ISLTOZJ,O
ISLJTZO,O
ISLJTOZ,O
ISLJZTO,O
ISLJZOT,O
ISLJOTZ,O
ISLJOZT,O
ISLZTJO,O
ISLZTOJ,O
ISLZJTO,O
ISLZJOT,O
ISLZOTJ,O
ISLZOJT,O
ISLOTJZ,O
ISLOTZJ,O
ISLOJTZ,O
ISLOJZT,O
ISLOZTJ,O
ISLOZJT,O
ISJTLZO,O
ISJTLOZ,O
ISJTZLO,O
ISJTZOL,X
ISJTOLZ,X
ISJTOZL,X
ISJLTZO,O
ISJLTOZ,O
ISJLZTO,O
ISJLZOT,O
ISJLOTZ,O
ISJLOZT,O
ISJZTLO,O
ISJZTOL,X
ISJZLTO,O
ISJZLOT,O
ISJZOTL,X
ISJZOLT,X
ISJOTLZ,X
ISJOTZL,X
ISJOLTZ,X
ISJOLZT,X
ISJOZTL,X
ISJOZLT,X
ISZTLJO,O
ISZTLOJ,O
ISZTJLO,O
ISZTJOL,X
ISZTOLJ,X
ISZTOJL,X
ISZLTJO,O
ISZLTOJ,O
ISZLJTO,O
ISZLJOT,O
ISZLOTJ,O
ISZLOJT,O
ISZJTLO,O
ISZJTOL,X
ISZJLTO,O
ISZJLOT,O
ISZJOTL,X
ISZJOLT,X
ISZOTLJ,X
ISZOTJL,X
ISZOLTJ,X
ISZOLJT,X
ISZOJTL,X
ISZOJLT,X
ISOTLJZ,X
ISOTLZJ,X
ISOTJLZ,X
ISOTJZL,X
ISOTZLJ,X
ISOTZJL,X
ISOLTJZ,X
ISOLTZJ,X
ISOLJTZ,X
ISOLJZT,X
ISOLZTJ,X
ISOLZJT,X
ISOJTLZ,X
ISOJTZL,X
ISOJLTZ,X
ISOJLZT,X
ISOJZTL,X
ISOJZLT,X
ISOZTLJ,X
ISOZTJL,X
ISOZLTJ,X
ISOZLJT,X
ISOZJTL,X
ISOZJLT,X
IZTLJSO,O
IZTLJOS,O
IZTLSJO,O
IZTLSOJ,O
IZTLOJS,O
IZTLOSJ,O
IZTJLSO,O
IZTJLOS,O
IZTJSLO,O
IZTJSOL,X
IZTJOLS,O
IZTJOSL,X
IZTSLJO,O
IZTSLOJ,O
IZTSJLO,O
IZTSJOL,X
IZTSOLJ,X
IZTSOJL,X
IZTOLJS,O
IZTOLSJ,O
IZTOJLS,O
IZTOJSL,X
IZTOSLJ,X
IZTOSJL,X
IZLTJSO,O
IZLTJOS,O
IZLTSJO,O
IZLTSOJ,O
IZLTOJS,O
IZLTOSJ,O
IZLJTSO,O
IZLJTOS,O
IZLJSTO,O
IZLJSOT,O
IZLJOTS,O
IZLJOST,O
IZLSTJO,O
IZLSTOJ,O
IZLSJTO,O
IZLSJOT,O
IZLSOTJ,O
IZLSOJT,O
IZLOTJS,O
IZLOTSJ,O
IZLOJTS,O
IZLOJST,O
IZLOSTJ,O
IZLOSJT,O
IZJTLSO,O
IZJTLOS,O
IZJTSLO,O
IZJTSOL,X
IZJTOLS,O
IZJTOSL,X
IZJLTSO,O
IZJLTOS,O
IZJLSTO,O
IZJLSOT,O
IZJLOTS,O
IZJLOST,O
IZJSTLO,O
IZJSTOL,X
IZJSLTO,O
IZJSLOT,O
IZJSOTL,X
IZJSOLT,X
IZJOTLS,O
IZJOTSL,X
IZJOLTS,O
IZJOLST,O
IZJOSTL,X
IZJOSLT,X
IZSTLJO,O
IZSTLOJ,O
IZSTJLO,O
IZSTJOL,X
IZSTOLJ,X
IZSTOJL,X
IZSLTJO,O
IZSLTOJ,O
IZSLJTO,O
IZSLJOT,O
IZSLOTJ,O
IZSLOJT,O
IZSJTLO,O
IZSJTOL,X
IZSJLTO,O
IZSJLOT,O
IZSJOTL,X
IZSJOLT,X
IZSOTLJ,X
IZSOTJL,X
IZSOLTJ,X
IZSOLJT,X
IZSOJTL,X
IZSOJLT,X
IZOTLJS,O
IZOTLSJ,O
IZOTJLS,O
IZOTJSL,X
IZOTSLJ,X
IZOTSJL,X
IZOLTJS,O
IZOLTSJ,O
IZOLJTS,O
IZOLJST,O
IZOLSTJ,O
IZOLSJT,O
IZOJTLS,O
IZOJTSL,X
IZOJLTS,O
IZOJLST,O
IZOJSTL,X
IZOJSLT,X
IZOSTLJ,X
IZOSTJL,X
IZOSLTJ,X
IZOSLJT,X
IZOSJTL,X
IZOSJLT,X
IOTLJSZ,O
IOTLJZS,O
IOTLSJZ,O
IOTLSZJ,O
IOTLZJS,O
IOTLZSJ,O
IOTJLSZ,O
IOTJLZS,O
IOTJSLZ,X
IOTJSZL,X
IOTJZLS,O
IOTJZSL,X
IOTSLJZ,X
IOTSLZJ,X
IOTSJLZ,X
IOTSJZL,X
IOTSZLJ,X
IOTSZJL,X
IOTZLJS,O
IOTZLSJ,O
IOTZJLS,O
IOTZJSL,X
IOTZSLJ,X
IOTZSJL,X
IOLTJSZ,O
IOLTJZS,O
IOLTSJZ,O
IOLTSZJ,O
IOLTZJS,O
IOLTZSJ,O
IOLJTSZ,O
IOLJTZS,O
IOLJSTZ,O
IOLJSZT,O
IOLJZTS,O
IOLJZST,O
IOLSTJZ,O
IOLSTZJ,O
IOLSJTZ,O
IOLSJZT,O
IOLSZTJ,O
IOLSZJT,O
IOLZTJS,O
IOLZTSJ,O
IOLZJTS,O
IOLZJST,O
