sequence,v115@RhG8AeH8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBJ3jFDqOBAAvhFRmBzfB3dB0bBOfBlhB,v115@RhG8AeH8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VB6+ytCp/AAAvhF0hB1lBTfB3iBRhBmfB,v115@RhG8AeH8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBz+aFDp/AAAvhFXiB1lBTfBUhBRiBmfB,v115@RhG8AeH8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBJ9aFDqOBAAvhFxlBfiBzbBsfBOfBliB,v115@RhG8AeH8AeC8JeUBYaAFLDmClcJSAVDEHBEooRBaoA?VBJNegCs/AAAvhFxkB/jBFiBTaBibBGiB,v115@RhG8AeH8AeC8JexGYaAFLDmClcJSAVDEHBEooRBJoA?VBa9KxCqCBAAvhF0fB/jBTdBlgBGcBifB,v115@RhG8AeH8AeC8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBJ9KWCqOBAAvhFxlB/jBzbBifBGdBlfB,v115@RhG8AeH8AeC8JeUBYaAFLDmClcJSAVDEHBEooRBaoA?VBpvbgCsOBAAvhFxkBGjBfiBTaBibBliB,v115@RhG8AeH8AeC8JeTCYaAFLDmClcJSAVDEHBEooRBPoA?VBJtjxCqCBAAvhFRlB/jBUcBVgBOfBCiB,v115@RhG8AeH8AeC8JeUBYaAFLDmClcJSAVDEHBEooRBaoA?VBJtHgCsOBAAvhFxkB/jBGiBTaBibBFiB,v115@RhG8AeH8AeC8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBJ9KxCqCBAAvhFxlB/jBzbBlfBGdBifB,v115@RhG8AeH8AeC8JexGYaAFLDmClcJSAVDEHBEooRBJoA?VBK9KWC6OBAAvhF2kB/jBTdBShB0aBlgB,v115@RhG8AeH8AeC8JeRGYaAFLDmClcJSAVDEHBEooRBJoA?VBPtjWC0/AAAvhFTfB/jB0cB6iB1gBmfB,v115@RhG8AeH8AeC8JeVHYaAFLDmClcJSAVDEHBEooRBUoA?VBadNPCvCBAAvhF0fB/jBxgBGdBzgBifB,v115@RhG8AeH8AeC8Je2FYaAFLDmClcJSAVDEHBEooRBKoA?VBPNmFDM+AAAvhFTfB/jBVhBUdBSnBxfB,v115@RhG8AeH8AeC8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBUdNPCvCBAAvhFVmB/jBxfBGdBTfBigB,v115@RhG8AeH8AeC8Je0AYaAFLDmClcJSAVDEHBEooRBaoA?VBUd9VCv/AAAvhF1kB/jBxhBiaBTiBGhB,v115@RhG8AeH8AeC8JeyEYaAFLDmClcJSAVDEHBEooRBMoA?VBzPFgC6OBAAvhF/jB+iBRhBTaB0gBlhB,v115@RhG8AeH8AeC8JeWHYaAFLDmClcJSAVDEHBEooRBKoA?VBTH8LC6OBAAvhF/jBTdBKfBRgBUgBFhB,v115@RhG8AeH8AeC8Je2EYaAFLDmClcJSAVDEHBEooRBKoA?VBTejxCMHBAAvhF/jBxgBUdBlaBSnBzgB
TIZJSOL,X,X,X,O,O,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X
TIZJOLS,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TIZJOSL,O,O,X,O,O,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X
TIZSLJO,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X
TIZSLOJ,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X
TIZSJLO,X,X,X,O,O,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X
TIZSJOL,X,X,X,O,O,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X
TIZSOLJ,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X
TIZSOJL,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X
TIZOLJS,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TIZOLSJ,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X
TIZOJLS,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TIZOJSL,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X
TIZOSLJ,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X
TIZOSJL,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X
TIOLJSZ,O,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOLJZS,O,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOLSZJ,O,O,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TIOLZJS,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TIOLZSJ,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TIOJLSZ,O,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOJLZS,O,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOJSZL,O,O,O,X,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIOJZLS,O,O,O,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TIOJZSL,O,O,O,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
TIOSLJZ,O,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOSLZJ,O,X,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TIOSJLZ,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOSJZL,O,O,O,X,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIOSZLJ,O,O,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TIOSZJL,O,O,O,O,O,O,O,X,O,O,O,X,O,O,X,O,X,X,X,X
TIOZLJS,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TIOZLSJ,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TIOZJLS,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TIOZJSL,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X
TIOZSLJ,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TIOZSJL,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X
TLIJSZO,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJSOZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIJZSO,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJZOS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIJOZS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLISJOZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLISZJO,O,O,O,O,O,O,O,X,X,X,O,X,X,O,X,O,O,X,X,X
TLISZOJ,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TLISOJZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZJSO,O,O,X,O,O,O,O,X,X,X,O,X,X,O,X,O,O,X,X,X
TLIZJOS,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZSJO,O,O,O,O,O,O,O,X,X,X,O,X,X,O,X,O,O,X,X,X
TLIZSOJ,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TLIZOJS,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TLIOJSZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOZJS,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJISOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLJIZSO,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJIZOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLJIOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJSIOZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLJSZIO,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJSZOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLJSOZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJZIOS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLJZSOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLJOIZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLJOSZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSIJOZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSIZJO,O,O,O,O,O,O,O,X,X,X,O,X,X,O,X,O,O,X,X,X
TLSIZOJ,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TLSIOJZ,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSJIZO,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLSJIOZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLSJZIO,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TLSJZOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TLSJOZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
TLSZIOJ,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSZJIO,X,O,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
TLSZJOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSZOJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLSOJZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSOZJI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
TLZIJOS,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZISJO,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
TLZISOJ,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZIOJS,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZJISO,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
TLZJIOS,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSIO,X,O,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
TLZJSOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
TLZSIOJ,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZSJIO,X,O,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
TLZSJOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZSOJI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZOJIS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZOSJI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISZJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJISZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLOJIZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLOJSZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
