sequence,v115@vhFm/IXjBTkB9tByuB0sB,v115@vhFi/IXjBzkB9tB2uB0sB,v115@vhGm/I5lBXjBTkB9tByuB0sB,v115@vhGi/I5lBXjBzkB9tB2uB0sB,v115@vhGZEJCgBXjBTlB9tBWvB0sB,v115@vhGx/IXjBOpB6qB9tBzpB0sB,v115@vhGx/IXjBKpBzkB+qB9tB0sB,v115@vhGOEJ6lBXjBzkB9tB0sBxuB,v115@vhGZEJGgBXjBzkB9tBSvB0sB,v115@vhGKEJzfB+lBXjB9tB0sBxuB,v115@vhG9IJmgBTfBPrBypBUtBxuB
TIZJOSL,X,O,X,O,O,O,X,O,X,O,X
TIZSLJO,X,X,O,O,O,X,O,O,O,O,O
TIZSLOJ,O,X,O,X,X,O,O,O,O,O,O
TIZSJLO,X,O,O,O,O,O,O,O,O,O,O
TIZSJOL,X,O,X,O,O,O,X,O,X,O,O
TIZSOLJ,X,X,O,X,X,O,X,O,O,O,O
TIZSOJL,X,X,X,O,O,O,X,O,X,O,O
TIZOLJS,X,X,O,X,X,O,X,O,O,O,O
TIZOLSJ,X,X,O,X,X,O,X,O,O,O,O
TIZOJLS,X,X,X,O,O,O,X,O,X,O,X
TIZOJSL,X,X,X,O,O,O,X,O,X,O,X
TIZOSLJ,X,X,O,X,X,O,X,O,O,O,O
TIZOSJL,X,X,X,O,O,O,X,O,X,O,O
TIOLJSZ,X,X,O,X,X,O,X,O,O,O,X
TIOLJZS,X,X,O,X,X,O,X,O,O,O,X
TIOLSJZ,X,X,O,X,X,O,X,O,O,O,X
TIOLSZJ,X,X,O,X,X,O,X,O,O,O,X
TIOLZJS,X,X,O,X,X,O,X,O,O,O,X
TIOLZSJ,X,X,O,X,X,O,X,O,O,O,X
TIOJLSZ,X,X,X,O,O,O,X,O,X,O,X
TIOJLZS,X,X,X,O,O,O,X,O,X,O,X
TIOJSLZ,X,X,X,O,O,O,X,O,X,O,X
TIOJSZL,X,X,X,O,O,O,X,O,X,O,X
TIOJZLS,X,X,X,O,O,O,X,O,X,O,X
TIOJZSL,X,X,X,O,O,O,X,O,X,O,X
TIOSLJZ,X,X,O,X,X,O,X,O,O,O,X
TIOSLZJ,X,X,O,X,X,O,X,O,O,O,X
TIOSJLZ,X,X,X,O,O,O,X,O,X,O,X
TIOSJZL,X,X,X,O,O,O,X,O,X,O,X
TIOSZLJ,X,X,O,X,X,O,X,O,O,O,X
TIOSZJL,X,X,X,O,O,O,X,O,X,O,X
TIOZLJS,X,X,O,X,X,O,X,O,O,O,X
TIOZLSJ,X,X,O,X,X,O,X,O,O,O,X
TIOZJLS,X,X,X,O,O,O,X,O,X,O,X
TIOZJSL,X,X,X,O,O,O,X,O,X,O,X
TIOZSLJ,X,X,O,X,X,O,X,O,O,O,X
TIOZSJL,X,X,X,O,O,O,X,O,X,O,X
TLIJSZO,X,X,O,O,O,X,O,O,O,O,X
TLIJSOZ,X,X,O,O,O,X,O,O,O,O,X
TLIJZSO,X,X,O,O,O,X,O,O,O,O,X
TLIJZOS,X,X,O,O,O,X,O,O,O,O,X
TLIJOSZ,X,X,O,O,O,X,O,O,O,O,X
TLIJOZS,X,X,O,O,O,X,O,O,O,O,X
TLISJZO,X,X,O,O,O,X,O,O,O,O,X
TLISJOZ,X,X,O,O,O,X,O,O,O,O,X
TLISZJO,X,X,O,O,O,X,O,O,O,O,X
TLISZOJ,O,X,O,X,X,O,O,O,O,O,X
TLISOJZ,O,X,O,X,X,O,O,O,O,O,X
TLISOZJ,O,X,O,X,X,O,O,O,O,O,X
TLIZJSO,X,X,O,O,O,X,O,O,O,O,X
TLIZJOS,X,X,O,O,O,X,O,O,O,O,X
TLIZSJO,X,X,O,O,O,X,O,O,O,O,X
TLIZSOJ,O,X,O,X,X,O,O,O,O,O,X
TLIZOJS,O,X,O,X,X,O,O,O,O,O,X
TLIZOSJ,O,X,O,X,X,O,O,O,O,O,X
TLIOJSZ,O,X,O,X,X,O,O,O,O,O,X
TLIOJZS,O,X,O,X,X,O,O,O,O,O,X
TLIOSJZ,O,X,O,X,X,O,O,O,O,O,X
TLIOSZJ,O,X,O,X,X,O,O,O,O,O,X
TLIOZJS,O,X,O,X,X,O,O,O,O,O,X
TLIOZSJ,O,X,O,X,X,O,O,O,O,O,X
TLJISZO,X,O,O,O,O,O,O,X,O,X,X
TLJISOZ,X,O,O,O,O,O,O,X,O,X,X
TLJIZSO,X,O,O,O,O,O,O,X,O,X,X
TLJIZOS,X,O,O,O,O,O,O,X,O,X,X
TLJIOSZ,X,O,O,O,O,O,O,X,O,X,X
TLJIOZS,X,O,O,O,O,O,O,X,O,X,X
TLJSIZO,X,O,O,O,O,O,O,X,O,X,X
TLJSIOZ,X,O,O,O,O,O,O,X,O,X,X
TLJSZIO,X,O,O,O,O,O,O,X,O,X,X
TLJSZOI,O,O,O,O,O,O,O,X,O,X,X
TLJSOIZ,O,O,O,O,O,O,O,X,O,X,X
TLJSOZI,O,O,O,O,O,O,O,X,O,X,X
TLJZISO,X,O,O,O,O,O,O,X,O,X,X
TLJZIOS,X,O,O,O,O,O,O,X,O,X,X
TLJZSIO,X,O,O,O,O,O,O,X,O,X,X
TLJZSOI,O,O,O,O,O,O,O,X,O,X,X
TLJZOIS,O,O,O,O,O,O,O,X,O,X,X
TLJZOSI,O,O,O,O,O,O,O,X,O,X,X
TLJOISZ,O,O,O,O,O,O,O,X,O,X,X
TLJOIZS,O,O,O,O,O,O,O,X,O,X,X
TLJOSIZ,O,O,O,O,O,O,O,X,O,X,X
TLJOSZI,O,O,O,O,O,O,O,X,O,X,X
TLJOZIS,O,O,O,O,O,O,O,X,O,X,X
TLJOZSI,O,O,O,O,O,O,O,X,O,X,X
TLSIJZO,X,X,O,O,O,X,O,O,O,O,X
TLSIJOZ,X,X,O,O,O,X,O,O,O,O,X
TLSIZJO,X,X,O,O,O,X,O,O,O,O,X
TLSIZOJ,O,X,O,X,X,O,O,O,O,O,X
TLSIOJZ,O,X,O,X,X,O,O,O,O,O,X
TLSIOZJ,O,X,O,X,X,O,O,O,O,O,X
TLSJIZO,X,O,O,O,O,O,O,X,O,X,X
TLSJIOZ,X,O,O,O,O,O,O,X,O,X,X
TLSJZIO,X,O,O,O,O,O,O,X,O,X,X
TLSJZOI,O,O,O,O,O,O,O,X,O,X,X
TLSJOIZ,O,O,O,O,O,O,O,X,O,X,X
TLSJOZI,O,O,O,O,O,O,O,X,O,X,X
TLSZIJO,X,X,O,O,O,X,O,O,O,O,X
TLSZIOJ,O,X,O,X,X,O,O,O,O,O,X
TLSZJIO,X,O,O,O,O,O,O,X,O,X,X
TLSZJOI,O,O,O,O,O,O,O,X,O,X,X
TLSZOIJ,O,X,O,X,X,O,O,X,O,X,X
TLSZOJI,O,X,O,X,X,O,O,X,O,X,X
TLSOIJZ,O,X,O,X,X,O,O,X,O,X,X
TLSOIZJ,O,X,O,X,X,O,O,X,O,X,X
TLSOJIZ,O,X,O,X,X,O,O,X,O,X,X
TLSOJZI,O,X,O,X,X,O,O,X,O,X,X
TLSOZIJ,O,X,O,X,X,O,O,X,O,X,X
TLSOZJI,O,X,O,X,X,O,O,X,O,X,X
TLZIJSO,X,X,O,O,O,X,O,O,O,O,X
TLZIJOS,X,X,O,O,O,X,O,O,O,O,X
TLZISJO,X,X,O,O,O,X,O,O,O,O,X
TLZISOJ,O,X,O,X,X,O,O,O,O,O,X
TLZIOJS,O,X,O,X,X,O,O,O,O,O,X
TLZIOSJ,O,X,O,X,X,O,O,O,O,O,X
TLZJISO,X,O,O,O,O,O,O,X,O,X,X
TLZJIOS,X,O,O,O,O,O,O,X,O,X,X
TLZJSIO,X,O,O,O,O,O,O,X,O,X,X
