sequence,v115@zgC8GeC8GeC8EeD8DeG8AeF8Jez7IvhERdBSjBUiBG?mBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeuAJvhERdBSjB/mBU?iBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8Jez7IvhEfiBxdBCjBG?mBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeG8IvhExdBzgB8mBC?jBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeF9IvhETeBXhBSnBx?qBuqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JefCJvhE6iBTeBxqBu?qBUrB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeWBJvhE6iBTeB8mBX?hBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JefCJvhE6iBTeBVmBx?qBuqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeWBJvhExdB8mBCjBX?hBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JefCJvhE6iBTeBUhBx?qBuqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeR8IvhE+iBTeBUhB9?qB3rB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeX9IvhETeBSnBxqBu?qBFrB,v115@zgC8GeC8GeC8EeD8DeG8AeF8Je8BJvhEGeBzgB3iBx?qBCrB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeuAJvhESiBTeB/mBU?iBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeR8IvhESjBzgBumB3?iBlqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeR9IvhESjBVnB3lBT?mBuqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JefCJvhESjBxqBuqBU?rBlsB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JefCJvhESjBUhBliBx?qBuqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeC8IvhETeBGiBxqB8?qBXsB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeU8IvhETeBXiBxqBt?qBGsB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeR8IvhE+iBTeB3hB9?qBUrB,v115@zgC8GeC8GeC8EeD8DeG8AeF8Je8BJvhESjBxqBuqBF?rB3sB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeR9IvhESjB/mBUiB1?qBuqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8Je+CJvhETeBRhBUhB9?qB3rB,v115@zgC8GeC8GeC8EeD8DeG8AeF8Je+CJvhETeBRhB3hB9?qBUrB,v115@zgC8GeC8GeC8EeD8DeG8AeF8JeU9IvhETeBFhBSnBx?qBuqB,v115@zgC8GeC8GeC8EeD8DeG8AeF8Jez8IvhESjBUhB3iBx?qBuqB
TIZOSLJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIZOSJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIOLJSZ,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOLZJS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOLZSJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIOJLSZ,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TIOJLZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOJSLZ,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X
TIOJSZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X
TIOJZLS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X
TIOJZSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X
TIOSLJZ,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOSJLZ,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIOSZJL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIOZLJS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIOZLSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIOZJLS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
TIOZJSL,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIOZSLJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIOZSJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TLIJSZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJZSO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIJZOS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIJOSZ,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLISJOZ,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLISZJO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLISZOJ,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLISOJZ,X,O,O,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIZJOS,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIZSJO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZOJS,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLIZOSJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLIOJSZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLJIOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLJSIZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJSZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TLJSZOI,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLJSOIZ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TLJSOZI,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TLJZISO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,O,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,O,X,O,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLJOIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLJOSIZ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJOSZI,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJOZIS,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,O,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,O,O,X,O,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSIZJO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLSIZOJ,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLSIOJZ,X,O,O,X,O,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLSJZOI,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLSJOIZ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
