sequence,v115@1gA8GeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?zlB3kBMfBiVB,v115@1gA8GeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?TkB0lBPhByfB,v115@1gA8GeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?zlB3kBifB0bB,v115@1gA8GeE8BeB8AeF8BeH8AeJ8AeB8Jep5IvhFNnBTfB?OVB0gB6mBPiB,v115@1gA8GeE8BeB8AeF8BeH8AeJ8AeB8Jep5IvhFNnBTfB?0gB6mBmhB3bB,v115@1gA8GeE8BeB8AeF8BeH8AeJ8AeB8Jep5IvhFNnBvmB?zhBKkBGlB0aB
IOTSLZJ,X,X,O,X,X,X
IOTSJLZ,O,X,O,X,X,X
IOTSJZL,O,X,O,X,X,X
IOTSZLJ,O,X,O,X,X,X
IOTSZJL,O,X,O,X,X,X
IOTZLJS,X,O,X,O,O,X
IOTZLSJ,X,O,X,O,O,X
IOTZJLS,X,O,O,O,X,X
IOTZJSL,X,O,O,X,X,X
IOTZSLJ,X,O,O,X,O,X
IOTZSJL,X,O,O,X,X,X
IOLTJSZ,X,O,X,O,X,X
IOLTJZS,X,O,X,O,X,X
IOLTSJZ,X,X,X,O,X,X
IOLTSZJ,X,X,X,O,X,X
IOLTZJS,X,O,X,O,O,X
IOLTZSJ,X,O,X,O,O,X
IOLJTSZ,O,O,O,O,X,X
IOLJTZS,X,O,O,O,X,X
IOLJSTZ,O,O,O,O,X,O
IOLJSZT,O,O,O,O,X,O
IOLJZTS,X,O,O,O,O,X
IOLJZST,X,O,O,O,O,O
IOLSTJZ,X,X,O,O,X,O
IOLSTZJ,X,X,O,O,X,O
IOLSJTZ,O,O,O,O,X,O
IOLSJZT,O,O,O,O,X,O
IOLSZTJ,O,O,O,O,O,O
IOLSZJT,O,O,O,O,O,O
IOLZTJS,X,O,X,O,O,X
IOLZTSJ,X,O,X,O,O,X
IOLZJTS,X,O,O,O,O,X
IOLZJST,X,O,O,O,O,O
IOLZSTJ,X,O,O,O,O,O
IOLZSJT,X,O,O,O,O,O
IOJTLSZ,O,O,O,O,X,X
IOJTLZS,X,O,O,O,X,X
IOJTSLZ,O,O,O,X,X,X
IOJTSZL,O,O,O,X,X,X
IOJTZLS,X,O,O,O,X,X
IOJTZSL,O,O,O,X,X,X
IOJLTSZ,O,O,O,O,X,X
IOJLTZS,X,O,O,O,X,X
IOJLSTZ,O,O,O,O,X,X
IOJLSZT,O,O,O,O,X,X
IOJLZTS,X,O,O,O,O,X
IOJLZST,X,O,O,O,O,X
IOJSTLZ,O,O,O,X,X,X
IOJSTZL,O,O,O,X,X,X
IOJSLTZ,O,O,O,O,X,X
IOJSLZT,O,O,O,O,X,X
IOJSZTL,O,O,O,X,X,X
IOJSZLT,O,O,O,O,X,X
IOJZTLS,X,O,O,O,X,X
IOJZTSL,O,O,O,X,X,X
IOJZLTS,X,O,O,O,O,X
IOJZLST,X,O,O,O,O,X
IOJZSTL,O,O,O,X,X,X
IOJZSLT,O,O,O,O,O,X
IOSTLJZ,X,X,O,X,X,O
IOSTLZJ,X,X,O,X,X,O
IOSTJLZ,O,X,O,X,X,O
IOSTJZL,O,X,O,X,X,X
IOSTZLJ,O,X,O,X,X,O
IOSTZJL,O,X,O,X,X,X
IOSLTJZ,X,X,O,O,X,O
IOSLTZJ,X,X,O,O,X,O
IOSLJTZ,O,O,O,O,X,O
IOSLJZT,O,O,O,O,X,O
IOSLZTJ,O,O,O,O,O,O
IOSLZJT,O,O,O,O,O,O
IOSJTLZ,O,O,O,X,X,O
IOSJTZL,O,O,O,X,X,X
IOSJLTZ,O,O,O,O,X,O
IOSJLZT,O,O,O,O,X,O
IOSJZTL,O,O,O,X,X,X
IOSJZLT,O,O,O,O,X,X
IOSZTLJ,O,O,O,X,O,O
IOSZTJL,O,O,O,X,X,X
IOSZLTJ,O,O,O,O,O,O
IOSZLJT,O,O,O,O,O,O
IOSZJTL,O,O,O,X,X,X
IOSZJLT,O,O,O,O,O,X
IOZTLJS,X,O,X,O,O,X
IOZTLSJ,X,O,X,O,O,X
IOZTJLS,X,O,O,O,X,X
IOZTJSL,X,O,O,X,X,X
IOZTSLJ,X,O,O,X,O,X
IOZTSJL,X,O,O,X,X,X
IOZLTJS,X,O,X,O,O,X
IOZLTSJ,X,O,X,O,O,X
IOZLJTS,X,O,O,O,O,X
IOZLJST,X,O,O,O,O,X
IOZLSTJ,X,O,O,O,O,X
IOZLSJT,X,O,O,O,O,X
IOZJTLS,X,O,O,O,X,X
IOZJTSL,O,O,O,X,X,X
IOZJLTS,X,O,O,O,O,X
IOZJLST,X,O,O,O,O,X
IOZJSTL,O,O,O,X,X,X
IOZJSLT,O,O,O,O,O,X
IOZSTLJ,O,O,O,X,O,X
IOZSTJL,O,O,O,X,X,X
IOZSLTJ,O,O,O,O,O,X
IOZSLJT,O,O,O,O,O,X
IOZSJTL,O,O,O,X,X,X
IOZSJLT,O,O,O,O,O,X
LTIJSZO,X,X,X,X,X,O
LTIJSOZ,X,X,X,X,X,O
LTIJZSO,X,X,X,X,X,O
LTIJZOS,X,X,X,X,X,X
LTIJOSZ,X,X,X,X,X,X
LTIJOZS,X,X,X,X,X,X
LTISJZO,X,X,X,O,X,O
LTISJOZ,X,X,X,O,X,O
LTISZJO,X,X,X,O,X,O
LTISZOJ,X,X,X,O,X,O
LTISOJZ,X,X,X,O,X,O
LTISOZJ,X,X,X,O,X,O
LTIZJSO,X,X,X,X,O,O
LTIZJOS,X,X,X,X,O,X
LTIZSJO,X,X,X,O,O,O
LTIZSOJ,X,X,X,O,O,O
LTIZOJS,X,X,X,O,O,X
LTIZOSJ,X,X,X,O,O,X
LTIOJSZ,X,X,X,O,X,X
LTIOJZS,X,X,X,O,X,X
LTIOSJZ,X,X,X,O,X,X
LTIOSZJ,X,X,X,O,X,X
LTIOZJS,X,X,X,O,O,X
LTIOZSJ,X,X,X,O,O,X
LTJISZO,X,X,X,X,X,O
LTJISOZ,X,X,X,X,X,O
LTJIZSO,X,X,X,X,X,O
LTJIZOS,X,X,X,X,X,X
LTJIOSZ,X,X,X,X,X,X
LTJIOZS,X,X,X,X,X,X
LTJSIZO,X,X,X,X,X,O
LTJSIOZ,X,X,X,X,X,O
LTJSZIO,X,X,X,X,X,O
LTJSZOI,X,X,X,X,X,O
LTJSOIZ,X,X,X,X,X,O
LTJSOZI,X,X,X,X,X,O
LTJZISO,X,X,X,X,X,O
LTJZIOS,X,X,X,X,X,X
LTJZSIO,X,X,X,X,X,O
LTJZSOI,X,X,X,X,X,O
LTJZOIS,X,X,X,X,X,X
LTJZOSI,X,X,X,X,X,X
LTJOISZ,X,X,X,X,X,X
LTJOIZS,X,X,X,X,X,X
LTJOSIZ,X,X,X,X,X,X
LTJOSZI,X,X,X,X,X,X
LTJOZIS,X,X,X,X,X,X
LTJOZSI,X,X,X,X,X,X
LTSIJZO,X,X,X,O,X,O
LTSIJOZ,X,X,X,O,X,O
LTSIZJO,X,X,X,O,X,O
LTSIZOJ,X,X,X,O,X,O
LTSIOJZ,X,X,X,O,X,O
LTSIOZJ,X,X,X,O,X,O
LTSJIZO,X,X,X,X,X,O
LTSJIOZ,X,X,X,X,X,O
LTSJZIO,X,X,X,X,X,O
LTSJZOI,X,X,X,X,X,O
LTSJOIZ,X,X,X,X,X,O
LTSJOZI,X,X,X,X,X,O
LTSZIJO,X,X,X,O,X,O
LTSZIOJ,X,X,X,O,X,O
LTSZJIO,X,X,X,X,X,O
LTSZJOI,X,X,X,X,X,O
LTSZOIJ,X,X,X,O,X,O
LTSZOJI,X,X,X,O,X,O
LTSOIJZ,X,X,X,O,X,O
LTSOIZJ,X,X,X,O,X,O
LTSOJIZ,X,X,X,O,X,O
LTSOJZI,X,X,X,O,X,O
LTSOZIJ,X,X,X,O,X,O
LTSOZJI,X,X,X,O,X,O
LTZIJSO,X,X,X,X,O,O
LTZIJOS,X,X,X,X,O,X
LTZISJO,X,X,X,O,O,O
LTZISOJ,X,X,X,O,O,O
LTZIOJS,X,X,X,O,O,X
LTZIOSJ,X,X,X,O,O,X
LTZJISO,X,X,X,X,O,O
LTZJIOS,X,X,X,X,O,X
LTZJSIO,X,X,X,X,O,O
LTZJSOI,X,X,X,X,O,O
LTZJOIS,X,X,X,X,O,X
LTZJOSI,X,X,X,X,O,X
LTZSIJO,X,X,X,O,O,O
LTZSIOJ,X,X,X,O,O,O
LTZSJIO,X,X,X,X,O,O
LTZSJOI,X,X,X,X,O,O
LTZSOIJ,X,X,X,O,O,O
LTZSOJI,X,X,X,O,O,O
LTZOIJS,X,X,X,O,O,X
LTZOISJ,X,X,X,O,O,X
LTZOJIS,X,X,X,O,O,X
LTZOJSI,X,X,X,O,O,X
LTZOSIJ,X,X,X,O,O,X
LTZOSJI,X,X,X,O,O,X
LTOIJSZ,X,X,X,O,X,X
LTOIJZS,X,X,X,O,X,X
LTOISJZ,X,X,X,O,X,X
LTOISZJ,X,X,X,O,X,X
LTOIZJS,X,X,X,O,O,X
LTOIZSJ,X,X,X,O,O,X
LTOJISZ,X,X,X,O,X,X
LTOJIZS,X,X,X,O,X,X
LTOJSIZ,X,X,X,O,X,X
LTOJSZI,X,X,X,O,X,X
LTOJZIS,X,X,X,O,X,X
LTOJZSI,X,X,X,O,X,X
LTOSIJZ,X,X,X,O,X,X
LTOSIZJ,X,X,X,O,X,X
LTOSJIZ,X,X,X,O,X,X
LTOSJZI,X,X,X,O,X,X
LTOSZIJ,X,X,X,O,X,X
LTOSZJI,X,X,X,O,X,X
LTOZIJS,X,X,X,O,O,X
LTOZISJ,X,X,X,O,O,X
LTOZJIS,X,X,X,O,O,X
LTOZJSI,X,X,X,O,O,X
LTOZSIJ,X,X,X,O,O,X
LTOZSJI,X,X,X,O,O,X
LITJSZO,X,X,X,X,X,O
LITJSOZ,X,X,X,X,X,O
LITJZSO,X,X,X,X,X,O
LITJZOS,X,X,X,X,X,X
LITJOSZ,X,X,X,X,X,X
LITJOZS,X,X,X,X,X,X
LITSJZO,X,X,X,O,X,O
LITSJOZ,X,X,X,O,X,O
LITSZJO,X,X,X,O,X,O
LITSZOJ,X,X,X,O,X,O
LITSOJZ,X,X,X,O,X,O
LITSOZJ,X,X,X,O,X,O
LITZJSO,X,X,X,X,O,O
LITZJOS,X,X,X,X,O,X
LITZSJO,X,X,X,O,O,O
LITZSOJ,X,X,X,O,O,O
LITZOJS,X,X,X,O,O,X
LITZOSJ,X,X,X,O,O,X
LITOJSZ,X,X,X,O,X,X
LITOJZS,X,X,X,O,X,X
LITOSJZ,X,X,X,O,X,X
LITOSZJ,X,X,X,O,X,X
LITOZJS,X,X,X,O,O,X
LITOZSJ,X,X,X,O,O,X
LIJTSZO,O,X,O,X,X,O
LIJTSOZ,O,X,O,X,X,O
LIJTZSO,X,O,X,X,X,O
LIJTZOS,X,O,X,X,X,X
LIJTOSZ,O,O,O,X,X,X
LIJTOZS,X,O,O,X,X,X
LIJSTZO,O,X,O,O,X,O
LIJSTOZ,O,X,O,O,X,O
LIJSZTO,O,X,O,O,X,O
LIJSZOT,O,X,O,O,X,O
LIJSOTZ,O,X,O,O,X,O
LIJSOZT,O,X,O,O,X,O
LIJZTSO,X,O,X,X,O,O
LIJZTOS,X,O,X,X,O,X
LIJZSTO,X,O,X,O,O,O
LIJZSOT,X,O,X,O,O,O
LIJZOTS,X,O,X,O,O,X
LIJZOST,X,O,X,O,O,O
LIJOTSZ,O,O,O,O,X,X
LIJOTZS,X,O,O,O,X,X
LIJOSTZ,O,O,O,O,X,O
LIJOSZT,O,O,O,O,X,O
LIJOZTS,X,O,O,O,O,X
LIJOZST,X,O,O,O,O,O
LISTJZO,X,X,O,O,X,O
LISTJOZ,X,X,O,O,X,O
LISTZJO,X,X,X,O,X,O
LISTZOJ,X,X,O,O,X,O
LISTOJZ,X,X,O,O,X,O
LISTOZJ,X,X,O,O,X,O
LISJTZO,O,X,O,O,X,O
LISJTOZ,O,X,O,O,X,O
LISJZTO,O,X,O,O,X,O
LISJZOT,O,X,O,O,X,O
LISJOTZ,O,X,O,O,X,O
LISJOZT,O,X,O,O,X,O
LISZTJO,O,X,X,O,O,O
LISZTOJ,O,X,O,O,O,O
LISZJTO,O,X,O,O,O,O
LISZJOT,O,X,O,O,O,O
LISZOTJ,O,X,O,O,O,O
LISZOJT,O,X,O,O,O,O
LISOTJZ,X,X,O,O,X,O
LISOTZJ,X,X,O,O,X,O
LISOJTZ,O,X,O,O,X,O
LISOJZT,O,X,O,O,X,O
LISOZTJ,O,X,O,O,O,O
LISOZJT,O,X,O,O,O,O
LIZTJSO,X,X,X,X,O,O
LIZTJOS,X,X,X,X,O,X
LIZTSJO,X,X,X,O,O,O
LIZTSOJ,X,X,X,O,O,O
LIZTOJS,X,X,X,O,O,X
LIZTOSJ,X,X,X,O,O,X
LIZJTSO,X,O,X,X,O,O
LIZJTOS,X,O,X,X,O,X
LIZJSTO,X,O,X,O,O,O
LIZJSOT,X,O,X,O,O,O
LIZJOTS,X,O,X,O,O,X
LIZJOST,X,O,X,O,O,O
LIZSTJO,X,X,X,O,O,O
LIZSTOJ,X,X,X,O,O,O
LIZSJTO,X,O,X,O,O,O
LIZSJOT,X,O,X,O,O,O
LIZSOTJ,X,O,X,O,O,O
LIZSOJT,X,O,X,O,O,O
LIZOTJS,X,O,X,O,O,X
LIZOTSJ,X,O,X,O,O,X
LIZOJTS,X,O,X,O,O,X
LIZOJST,X,O,X,O,O,O
LIZOSTJ,X,O,X,O,O,O
LIZOSJT,X,O,X,O,O,O
LIOTJSZ,X,O,X,O,X,X
LIOTJZS,X,O,X,O,X,X
LIOTSJZ,X,X,X,O,X,X
LIOTSZJ,X,X,X,O,X,X
LIOTZJS,X,O,X,O,O,X
LIOTZSJ,X,O,X,O,O,X
LIOJTSZ,O,O,O,O,X,X
LIOJTZS,X,O,O,O,X,X
LIOJSTZ,O,O,O,O,X,O
LIOJSZT,O,O,O,O,X,O
LIOJZTS,X,O,O,O,O,X
LIOJZST,X,O,O,O,O,O
LIOSTJZ,X,X,O,O,X,O
LIOSTZJ,X,X,O,O,X,O
LIOSJTZ,O,O,O,O,X,O
LIOSJZT,O,O,O,O,X,O
LIOSZTJ,O,O,O,O,O,O
LIOSZJT,O,O,O,O,O,O
LIOZTJS,X,O,X,O,O,X
LIOZTSJ,X,O,X,O,O,X
LIOZJTS,X,O,O,O,O,X
LIOZJST,X,O,O,O,O,O
LIOZSTJ,X,O,O,O,O,O
LIOZSJT,X,O,O,O,O,O
LJTISZO,X,X,X,X,X,O
LJTISOZ,X,X,X,X,X,O
LJTIZSO,X,X,X,X,X,O
LJTIZOS,X,X,X,X,X,X
LJTIOSZ,X,X,X,X,X,X
LJTIOZS,X,X,X,X,X,X
LJTSIZO,X,X,X,X,X,O
LJTSIOZ,X,X,X,X,X,O
LJTSZIO,X,X,X,X,X,O
LJTSZOI,X,X,X,X,X,O
LJTSOIZ,X,X,X,X,X,O
LJTSOZI,X,X,X,X,X,O
LJTZISO,X,X,X,X,X,O
LJTZIOS,X,X,X,X,X,X
LJTZSIO,X,X,X,X,X,O
LJTZSOI,X,X,X,X,X,O
LJTZOIS,X,X,X,X,X,X
LJTZOSI,X,X,X,X,X,X
LJTOISZ,X,X,X,X,X,X
LJTOIZS,X,X,X,X,X,X
LJTOSIZ,X,X,X,X,X,X
LJTOSZI,X,X,X,X,X,X
LJTOZIS,X,X,X,X,X,X
LJTOZSI,X,X,X,X,X,X
LJITSZO,O,X,O,X,X,O
LJITSOZ,O,X,O,X,X,O
LJITZSO,X,O,X,X,X,O
LJITZOS,X,O,X,X,X,X
LJITOSZ,O,O,O,X,X,X
LJITOZS,X,O,O,X,X,X
LJISTZO,O,X,O,O,X,O
LJISTOZ,O,X,O,O,X,O
LJISZTO,O,X,O,O,X,O
LJISZOT,O,X,O,O,X,O
LJISOTZ,O,X,O,O,X,O
LJISOZT,O,X,O,O,X,O
LJIZTSO,X,O,X,X,O,O
LJIZTOS,X,O,X,X,O,X
LJIZSTO,X,O,X,O,O,O
LJIZSOT,X,O,X,O,O,O
LJIZOTS,X,O,X,O,O,X
LJIZOST,X,O,X,O,O,O
LJIOTSZ,O,O,O,O,X,X
LJIOTZS,X,O,O,O,X,X
LJIOSTZ,O,O,O,O,X,O
LJIOSZT,O,O,O,O,X,O
LJIOZTS,X,O,O,O,O,X
LJIOZST,X,O,O,O,O,O
LJSTIZO,X,X,O,X,X,O
LJSTIOZ,X,X,O,X,X,O
LJSTZIO,X,X,X,X,X,O
LJSTZOI,X,X,X,X,X,O
LJSTOIZ,X,X,O,X,X,O
LJSTOZI,X,X,O,X,X,O
LJSITZO,O,X,O,O,X,O
LJSITOZ,O,X,O,O,X,O
LJSIZTO,O,X,O,O,X,O
LJSIZOT,O,X,O,O,X,O
LJSIOTZ,O,X,O,O,X,O
LJSIOZT,O,X,O,O,X,O
LJSZTIO,O,X,X,X,X,O
LJSZTOI,O,X,X,X,X,O
LJSZITO,O,X,O,O,X,O
LJSZIOT,O,X,O,O,X,O
LJSZOTI,O,X,O,O,X,O
LJSZOIT,O,X,O,O,X,O
LJSOTIZ,X,X,O,O,X,O
LJSOTZI,X,X,O,O,X,O
LJSOITZ,O,X,O,O,X,O
LJSOIZT,O,X,O,O,X,O
LJSOZTI,O,X,O,O,X,O
LJSOZIT,O,X,O,O,X,O
LJZTISO,X,X,X,X,O,O
LJZTIOS,X,X,X,X,O,X
LJZTSIO,X,X,X,X,O,O
LJZTSOI,X,X,X,X,O,O
LJZTOIS,X,X,X,X,O,X
LJZTOSI,X,X,X,X,O,X
LJZITSO,X,O,X,X,O,O
LJZITOS,X,O,X,X,O,X
LJZISTO,X,O,X,O,O,O
LJZISOT,X,O,X,O,O,O
LJZIOTS,X,O,X,O,O,X
LJZIOST,X,O,X,O,O,O
LJZSTIO,X,X,X,X,O,O
LJZSTOI,X,X,X,X,O,O
LJZSITO,X,O,X,O,O,O
LJZSIOT,X,O,X,O,O,O
LJZSOTI,X,O,X,O,O,O
LJZSOIT,X,O,X,O,O,O
LJZOTIS,X,O,X,O,O,X
LJZOTSI,X,O,X,O,O,X
LJZOITS,X,O,X,O,O,X
LJZOIST,X,O,X,O,O,O
LJZOSTI,X,O,X,O,O,O
LJZOSIT,X,O,X,O,O,O
LJOTISZ,X,O,X,O,X,X
LJOTIZS,X,O,X,O,X,X
LJOTSIZ,X,X,X,O,X,X
LJOTSZI,X,X,X,O,X,X
LJOTZIS,X,O,X,O,X,X
LJOTZSI,X,O,X,O,X,X
LJOITSZ,O,O,O,O,X,X
LJOITZS,X,O,O,O,X,X
LJOISTZ,O,O,O,O,X,O
LJOISZT,O,O,O,O,X,O
LJOIZTS,X,O,O,O,O,X
LJOIZST,X,O,O,O,O,O
LJOSTIZ,X,X,O,O,X,O
LJOSTZI,X,X,O,O,X,O
LJOSITZ,O,O,O,O,X,O
LJOSIZT,O,O,O,O,X,O
LJOSZTI,O,O,O,O,X,O
LJOSZIT,O,O,O,O,X,O
LJOZTIS,X,O,X,O,O,X
LJOZTSI,X,O,X,O,O,X
LJOZITS,X,O,O,O,O,X
LJOZIST,X,O,O,O,O,O
LJOZSTI,X,O,O,O,O,O
LJOZSIT,X,O,O,O,O,O
LSTIJZO,X,X,O,O,X,O
LSTIJOZ,X,X,O,O,X,O
LSTIZJO,X,X,X,O,X,O
LSTIZOJ,X,X,O,O,X,O
LSTIOJZ,X,X,O,O,X,O
LSTIOZJ,X,X,O,O,X,O
LSTJIZO,X,X,O,X,X,O
LSTJIOZ,X,X,O,X,X,O
LSTJZIO,X,X,X,X,X,O
LSTJZOI,X,X,X,X,X,O
LSTJOIZ,X,X,O,X,X,O
LSTJOZI,X,X,O,X,X,O
LSTZIJO,X,X,X,O,X,O
LSTZIOJ,X,X,O,O,X,O
LSTZJIO,X,X,X,X,X,O
LSTZJOI,X,X,X,X,X,O
LSTZOIJ,X,X,O,O,X,O
LSTZOJI,X,X,O,O,X,O
LSTOIJZ,X,X,O,O,X,O
LSTOIZJ,X,X,O,O,X,O
LSTOJIZ,X,X,O,O,X,O
LSTOJZI,X,X,O,O,X,O
LSTOZIJ,X,X,O,O,X,O
LSTOZJI,X,X,O,O,X,O
LSITJZO,X,X,O,O,X,O
LSITJOZ,X,X,O,O,X,O
LSITZJO,X,X,X,O,X,O
LSITZOJ,X,X,O,O,X,O
LSITOJZ,X,X,O,O,X,O
LSITOZJ,X,X,O,O,X,O
LSIJTZO,O,X,O,O,X,O
LSIJTOZ,O,X,O,O,X,O
LSIJZTO,O,X,O,O,X,O
LSIJZOT,O,X,O,O,X,O
LSIJOTZ,O,X,O,O,X,O
LSIJOZT,O,X,O,O,X,O
LSIZTJO,O,X,X,O,O,O
LSIZTOJ,O,X,O,O,O,O
LSIZJTO,O,X,O,O,O,O
LSIZJOT,O,X,O,O,O,O
LSIZOTJ,O,X,O,O,O,O
LSIZOJT,O,X,O,O,O,O
LSIOTJZ,X,X,O,O,X,O
LSIOTZJ,X,X,O,O,X,O
LSIOJTZ,O,X,O,O,X,O
LSIOJZT,O,X,O,O,X,O
LSIOZTJ,O,X,O,O,O,O
LSIOZJT,O,X,O,O,O,O
LSJTIZO,X,X,O,X,X,O
LSJTIOZ,X,X,O,X,X,O
LSJTZIO,X,X,X,X,X,O
LSJTZOI,X,X,X,X,X,O
LSJTOIZ,X,X,O,X,X,O
LSJTOZI,X,X,O,X,X,O
LSJITZO,O,X,O,O,X,O
LSJITOZ,O,X,O,O,X,O
LSJIZTO,O,X,O,O,X,O
LSJIZOT,O,X,O,O,X,O
LSJIOTZ,O,X,O,O,X,O
LSJIOZT,O,X,O,O,X,O
LSJZTIO,O,X,X,X,X,O
LSJZTOI,O,X,X,X,X,O
LSJZITO,O,X,O,O,X,O
LSJZIOT,O,X,O,O,X,O
LSJZOTI,O,X,O,O,X,O
LSJZOIT,O,X,O,O,X,O
LSJOTIZ,X,X,O,O,X,O
LSJOTZI,X,X,O,O,X,O
LSJOITZ,O,X,O,O,X,O
LSJOIZT,O,X,O,O,X,O
LSJOZTI,O,X,O,O,X,O
LSJOZIT,O,X,O,O,X,O
LSZTIJO,O,X,X,O,O,O
LSZTIOJ,O,X,O,O,O,O
LSZTJIO,O,X,X,X,O,O
LSZTJOI,O,X,X,X,O,O
LSZTOIJ,O,X,O,O,O,O
LSZTOJI,O,X,O,O,O,O
LSZITJO,O,X,X,O,O,O
LSZITOJ,O,X,O,O,O,O
LSZIJTO,O,X,O,O,O,O
LSZIJOT,O,X,O,O,O,O
LSZIOTJ,O,X,O,O,O,O
LSZIOJT,O,X,O,O,O,O
LSZJTIO,O,X,X,X,O,O
LSZJTOI,O,X,X,X,O,O
LSZJITO,O,X,O,O,O,O
LSZJIOT,O,X,O,O,O,O
LSZJOTI,O,X,O,O,O,O
LSZJOIT,O,X,O,O,O,O
LSZOTIJ,O,X,O,O,O,O
LSZOTJI,O,X,O,O,O,O
LSZOITJ,O,X,O,O,O,O
LSZOIJT,O,X,O,O,O,O
LSZOJTI,O,X,O,O,O,O
LSZOJIT,O,X,O,O,O,O
LSOTIJZ,X,X,O,O,X,O
LSOTIZJ,X,X,O,O,X,O
LSOTJIZ,X,X,O,O,X,O
LSOTJZI,X,X,O,O,X,O
LSOTZIJ,X,X,O,O,X,O
LSOTZJI,X,X,O,O,X,O
LSOITJZ,X,X,O,O,X,O
LSOITZJ,X,X,O,O,X,O
LSOIJTZ,O,X,O,O,X,O
LSOIJZT,O,X,O,O,X,O
LSOIZTJ,O,X,O,O,O,O
LSOIZJT,O,X,O,O,O,O
LSOJTIZ,X,X,O,O,X,O
LSOJTZI,X,X,O,O,X,O
LSOJITZ,O,X,O,O,X,O
LSOJIZT,O,X,O,O,X,O
LSOJZTI,O,X,O,O,X,O
LSOJZIT,O,X,O,O,X,O
LSOZTIJ,O,X,O,O,O,O
LSOZTJI,O,X,O,O,O,O
LSOZITJ,O,X,O,O,O,O
LSOZIJT,O,X,O,O,O,O
LSOZJTI,O,X,O,O,O,O
LSOZJIT,O,X,O,O,O,O
LZTIJSO,X,X,X,X,O,O
LZTIJOS,X,X,X,X,O,X
LZTISJO,X,X,X,O,O,O
LZTISOJ,X,X,X,O,O,O
LZTIOJS,X,X,X,O,O,X
LZTIOSJ,X,X,X,O,O,X
LZTJISO,X,X,X,X,O,O
LZTJIOS,X,X,X,X,O,X
LZTJSIO,X,X,X,X,O,O
LZTJSOI,X,X,X,X,O,O
LZTJOIS,X,X,X,X,O,X
LZTJOSI,X,X,X,X,O,X
LZTSIJO,X,X,X,O,O,O
LZTSIOJ,X,X,X,O,O,O
LZTSJIO,X,X,X,X,O,O
LZTSJOI,X,X,X,X,O,O
LZTSOIJ,X,X,X,O,O,O
LZTSOJI,X,X,X,O,O,O
LZTOIJS,X,X,X,O,O,X
LZTOISJ,X,X,X,O,O,X
LZTOJIS,X,X,X,O,O,X
LZTOJSI,X,X,X,O,O,X
LZTOSIJ,X,X,X,O,O,X
LZTOSJI,X,X,X,O,O,X
LZITJSO,X,X,X,X,O,O
LZITJOS,X,X,X,X,O,X
LZITSJO,X,X,X,O,O,O
LZITSOJ,X,X,X,O,O,O
LZITOJS,X,X,X,O,O,X
LZITOSJ,X,X,X,O,O,X
LZIJTSO,X,O,X,X,O,O
LZIJTOS,X,O,X,X,O,X
LZIJSTO,X,O,X,O,O,O
LZIJSOT,X,O,X,O,O,O
LZIJOTS,X,O,X,O,O,X
LZIJOST,X,O,X,O,O,O
LZISTJO,X,X,X,O,O,O
LZISTOJ,X,X,X,O,O,O
LZISJTO,X,O,X,O,O,O
LZISJOT,X,O,X,O,O,O
LZISOTJ,X,O,X,O,O,O
LZISOJT,X,O,X,O,O,O
LZIOTJS,X,O,X,O,O,X
LZIOTSJ,X,O,X,O,O,X
LZIOJTS,X,O,X,O,O,X
LZIOJST,X,O,X,O,O,O
LZIOSTJ,X,O,X,O,O,O
LZIOSJT,X,O,X,O,O,O
LZJTISO,X,X,X,X,O,O
LZJTIOS,X,X,X,X,O,X
LZJTSIO,X,X,X,X,O,O
LZJTSOI,X,X,X,X,O,O
LZJTOIS,X,X,X,X,O,X
LZJTOSI,X,X,X,X,O,X
LZJITSO,X,O,X,X,O,O
LZJITOS,X,O,X,X,O,X
LZJISTO,X,O,X,O,O,O
LZJISOT,X,O,X,O,O,O
LZJIOTS,X,O,X,O,O,X
LZJIOST,X,O,X,O,O,O
LZJSTIO,X,X,X,X,O,O
LZJSTOI,X,X,X,X,O,O
LZJSITO,X,O,X,O,O,O
LZJSIOT,X,O,X,O,O,O
LZJSOTI,X,O,X,O,O,O
LZJSOIT,X,O,X,O,O,O
LZJOTIS,X,O,X,O,O,X
LZJOTSI,X,O,X,O,O,X
LZJOITS,X,O,X,O,O,X
LZJOIST,X,O,X,O,O,O
LZJOSTI,X,O,X,O,O,O
LZJOSIT,X,O,X,O,O,O
LZSTIJO,X,X,X,O,O,O
LZSTIOJ,X,X,X,O,O,O
LZSTJIO,X,X,X,X,O,O
LZSTJOI,X,X,X,X,O,O
LZSTOIJ,X,X,X,O,O,O
LZSTOJI,X,X,X,O,O,O
LZSITJO,X,X,X,O,O,O
LZSITOJ,X,X,X,O,O,O
LZSIJTO,X,O,X,O,O,O
LZSIJOT,X,O,X,O,O,O
LZSIOTJ,X,O,X,O,O,O
LZSIOJT,X,O,X,O,O,O
LZSJTIO,X,X,X,X,O,O
LZSJTOI,X,X,X,X,O,O
LZSJITO,X,O,X,O,O,O
LZSJIOT,X,O,X,O,O,O
LZSJOTI,X,O,X,O,O,O
LZSJOIT,X,O,X,O,O,O
LZSOTIJ,X,O,X,O,O,O
