sequence,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Je32IvhFWdBTZB?ygBRiB0iBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jez2IvhFqcBxYB?2gBXeB0iBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Je32IvhFTZBygB?RiBGiB8sBFsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeG3IvhF/dBceB?ibBRhBziBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeU3IvhFTbBxdB?3cBmiBCjBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Je32IvhFRYBceB?ygBznBFnBGsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jec7IvhFmXBSeB?XcBRiBziBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jec7IvhFTXB/dB?OjBRhBCjBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeU3IvhFTbBxdB?3cBusBisBFtB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jez2IvhFqcB2gB?xdB0dBXjBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jec7IvhFxXBTZB?VhBusBasBftB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeG3IvhFceBibB?RhBfoBTnBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Je17IvhF0XBTZB?xgB3nBmnB6sB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jea8IvhFUYBTbB?OjB5nBfsBFtB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeR4IvhFceBmbB?zcBqiB3gBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jea8IvhFWdBTbB?RiB3nBcoBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeU3IvhFTbBxdB?1hB3nBOoB6sB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jex4IvhFTbB0cB?3nBOoB6sBFrB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jea8IvhFxYBTbB?FeBGiB8sBfsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeF3IvhFTbB3cB?miB5nBctBisB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeU3IvhFTbByhB?XeB5nBOtBFsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jec7IvhFTXB6iB?OjBRmB/sBFtB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeU4IvhFibBOjB?5nBfsBzlBFtB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jez2IvhF2gBRiB?cjBqnBfnBlsB
TIJLSOZ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIJLZOS,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TIJLOSZ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TIJSLZO,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TIJSLOZ,O,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TIJSZOL,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJSOZL,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJZLSO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIJZLOS,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TIJZSLO,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZSOL,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZOLS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIJZOSL,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOLZS,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TIJOSLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOSZL,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOZLS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIJOZSL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,O,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TISLZOJ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLOJZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,O,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJOZL,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISZLJO,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISZJLO,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISZJOL,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISZOLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZOJL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOLJZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLSJO,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLOJS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZJLSO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZJSLO,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJSOL,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJOLS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLJO,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZSJLO,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZSJOL,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOJL,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZOLJS,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZOJLS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJSL,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLZJS,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLZS,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZJLS,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZSLJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZSJL,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLIJSZO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TLIJSOZ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLISJZO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZSJO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZOJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJISZO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TLJISOZ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSIZO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZISO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZSIO,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZOSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJOISZ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJOZSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSIJZO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSZIJO,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLSZJIO,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSZOJI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSOZJI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZIJSO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJOS,O,X,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZISJO,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZISOJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZIOJS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZJISO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
