sequence,v115@ShE8DeG8MeTDJvhFXhBxfBFnBikBGtB0sB
TOSLZIJ,X
TOSLZJI,X
TOSJILZ,O
TOSJIZL,X
TOSJLIZ,O
TOSJLZI,O
TOSJZIL,X
TOSJZLI,O
TOSZILJ,X
TOSZIJL,X
TOSZLIJ,X
TOSZLJI,X
TOSZJIL,X
TOSZJLI,X
TOZILJS,X
TOZILSJ,X
TOZIJLS,X
TOZIJSL,X
TOZISLJ,X
TOZISJL,X
TOZLIJS,X
TOZLISJ,X
TOZLJIS,X
TOZLJSI,X
TOZLSIJ,X
TOZLSJI,X
TOZJILS,X
TOZJISL,X
TOZJLIS,X
TOZJLSI,X
TOZJSIL,X
TOZJSLI,X
TOZSILJ,X
TOZSIJL,X
TOZSLIJ,X
TOZSLJI,X
TOZSJIL,X
TOZSJLI,X
ITLJSZO,O
ITLJSOZ,O
ITLJZSO,O
ITLJZOS,O
ITLJOSZ,O
ITLJOZS,O
ITLSJZO,O
ITLSJOZ,O
ITLSZJO,O
ITLSZOJ,X
ITLSOJZ,O
ITLSOZJ,X
ITLZJSO,O
ITLZJOS,O
ITLZSJO,O
ITLZSOJ,X
ITLZOJS,X
ITLZOSJ,X
ITLOJSZ,O
ITLOJZS,O
ITLOSJZ,O
ITLOSZJ,X
ITLOZJS,X
ITLOZSJ,X
ITJLSZO,O
ITJLSOZ,O
ITJLZSO,O
ITJLZOS,O
ITJLOSZ,O
ITJLOZS,O
ITJSLZO,O
ITJSLOZ,O
ITJSZLO,X
ITJSZOL,X
ITJSOLZ,O
ITJSOZL,X
ITJZLSO,X
ITJZLOS,X
ITJZSLO,X
ITJZSOL,X
ITJZOLS,X
ITJZOSL,X
ITJOLSZ,O
ITJOLZS,O
ITJOSLZ,O
ITJOSZL,X
ITJOZLS,X
ITJOZSL,X
ITSLJZO,O
ITSLJOZ,O
ITSLZJO,O
ITSLZOJ,X
ITSLOJZ,O
ITSLOZJ,X
ITSJLZO,O
ITSJLOZ,O
ITSJZLO,X
ITSJZOL,X
ITSJOLZ,O
ITSJOZL,X
ITSZLJO,X
ITSZLOJ,X
ITSZJLO,X
ITSZJOL,X
ITSZOLJ,X
ITSZOJL,X
ITSOLJZ,X
ITSOLZJ,X
ITSOJLZ,X
ITSOJZL,X
ITSOZLJ,X
ITSOZJL,X
ITZLJSO,X
ITZLJOS,X
ITZLSJO,X
ITZLSOJ,X
ITZLOJS,X
ITZLOSJ,X
ITZJLSO,X
ITZJLOS,X
ITZJSLO,X
ITZJSOL,X
ITZJOLS,X
ITZJOSL,X
ITZSLJO,X
ITZSLOJ,X
ITZSJLO,X
ITZSJOL,X
ITZSOLJ,X
ITZSOJL,X
ITZOLJS,X
ITZOLSJ,X
ITZOJLS,X
ITZOJSL,X
ITZOSLJ,X
ITZOSJL,X
ITOLJSZ,X
ITOLJZS,X
ITOLSJZ,X
ITOLSZJ,X
ITOLZJS,X
ITOLZSJ,X
ITOJLSZ,X
ITOJLZS,X
ITOJSLZ,X
ITOJSZL,X
ITOJZLS,X
ITOJZSL,X
ITOSLJZ,X
ITOSLZJ,X
ITOSJLZ,X
ITOSJZL,X
ITOSZLJ,X
ITOSZJL,X
ITOZLJS,X
ITOZLSJ,X
ITOZJLS,X
ITOZJSL,X
ITOZSLJ,X
ITOZSJL,X
ILTJSZO,O
ILTJSOZ,O
ILTJZSO,O
ILTJZOS,O
ILTJOSZ,O
ILTJOZS,O
ILTSJZO,O
ILTSJOZ,O
ILTSZJO,O
ILTSZOJ,X
ILTSOJZ,O
ILTSOZJ,X
ILTZJSO,O
ILTZJOS,O
ILTZSJO,O
ILTZSOJ,X
ILTZOJS,X
ILTZOSJ,X
ILTOJSZ,O
ILTOJZS,O
ILTOSJZ,O
ILTOSZJ,X
ILTOZJS,X
ILTOZSJ,X
ILJTSZO,O
ILJTSOZ,O
ILJTZSO,O
ILJTZOS,O
ILJTOSZ,O
ILJTOZS,O
ILJSTZO,O
ILJSTOZ,O
ILJSZTO,O
ILJSZOT,O
ILJSOTZ,O
ILJSOZT,O
ILJZTSO,O
ILJZTOS,O
ILJZSTO,O
ILJZSOT,O
ILJZOTS,O
ILJZOST,O
ILJOTSZ,O
ILJOTZS,O
ILJOSTZ,O
ILJOSZT,O
ILJOZTS,O
ILJOZST,O
ILSTJZO,O
ILSTJOZ,O
ILSTZJO,O
ILSTZOJ,X
ILSTOJZ,O
ILSTOZJ,X
ILSJTZO,O
ILSJTOZ,O
ILSJZTO,O
ILSJZOT,O
ILSJOTZ,O
ILSJOZT,O
ILSZTJO,O
ILSZTOJ,X
ILSZJTO,O
ILSZJOT,O
ILSZOTJ,X
ILSZOJT,X
ILSOTJZ,O
ILSOTZJ,X
ILSOJTZ,O
ILSOJZT,O
ILSOZTJ,X
ILSOZJT,X
ILZTJSO,O
ILZTJOS,O
ILZTSJO,O
ILZTSOJ,X
ILZTOJS,X
ILZTOSJ,X
ILZJTSO,O
ILZJTOS,O
ILZJSTO,O
ILZJSOT,O
ILZJOTS,O
ILZJOST,O
ILZSTJO,O
ILZSTOJ,X
ILZSJTO,O
ILZSJOT,O
ILZSOTJ,X
ILZSOJT,X
ILZOTJS,X
ILZOTSJ,X
ILZOJTS,X
ILZOJST,X
ILZOSTJ,X
ILZOSJT,X
ILOTJSZ,O
ILOTJZS,O
ILOTSJZ,O
ILOTSZJ,X
ILOTZJS,X
ILOTZSJ,X
ILOJTSZ,O
ILOJTZS,O
ILOJSTZ,O
ILOJSZT,O
ILOJZTS,O
ILOJZST,O
ILOSTJZ,O
ILOSTZJ,X
ILOSJTZ,O
ILOSJZT,O
ILOSZTJ,X
ILOSZJT,X
ILOZTJS,X
ILOZTSJ,X
ILOZJTS,X
ILOZJST,X
ILOZSTJ,X
ILOZSJT,X
IJTLSZO,O
IJTLSOZ,O
IJTLZSO,O
IJTLZOS,O
IJTLOSZ,O
IJTLOZS,O
IJTSLZO,O
IJTSLOZ,O
IJTSZLO,X
IJTSZOL,X
IJTSOLZ,O
IJTSOZL,X
IJTZLSO,X
IJTZLOS,X
IJTZSLO,X
IJTZSOL,X
IJTZOLS,X
IJTZOSL,X
IJTOLSZ,O
IJTOLZS,O
IJTOSLZ,O
IJTOSZL,X
IJTOZLS,X
IJTOZSL,X
IJLTSZO,O
IJLTSOZ,O
IJLTZSO,O
IJLTZOS,O
IJLTOSZ,O
IJLTOZS,O
IJLSTZO,O
IJLSTOZ,O
IJLSZTO,O
IJLSZOT,O
IJLSOTZ,O
IJLSOZT,O
IJLZTSO,O
IJLZTOS,O
IJLZSTO,O
IJLZSOT,O
IJLZOTS,O
IJLZOST,O
IJLOTSZ,O
IJLOTZS,O
IJLOSTZ,O
IJLOSZT,O
IJLOZTS,O
IJLOZST,O
IJSTLZO,O
IJSTLOZ,O
IJSTZLO,X
IJSTZOL,X
IJSTOLZ,O
IJSTOZL,X
IJSLTZO,O
IJSLTOZ,O
IJSLZTO,O
IJSLZOT,O
IJSLOTZ,O
IJSLOZT,O
IJSZTLO,X
IJSZTOL,X
IJSZLTO,X
IJSZLOT,X
IJSZOTL,X
IJSZOLT,X
IJSOTLZ,O
IJSOTZL,X
IJSOLTZ,O
IJSOLZT,O
IJSOZTL,X
IJSOZLT,X
IJZTLSO,X
IJZTLOS,X
IJZTSLO,X
IJZTSOL,X
IJZTOLS,X
IJZTOSL,X
IJZLTSO,X
IJZLTOS,X
IJZLSTO,X
IJZLSOT,X
IJZLOTS,X
IJZLOST,X
IJZSTLO,X
IJZSTOL,X
IJZSLTO,X
IJZSLOT,X
IJZSOTL,X
IJZSOLT,X
IJZOTLS,X
IJZOTSL,X
IJZOLTS,X
IJZOLST,X
IJZOSTL,X
IJZOSLT,X
IJOTLSZ,O
IJOTLZS,O
IJOTSLZ,O
IJOTSZL,X
IJOTZLS,X
IJOTZSL,X
IJOLTSZ,O
IJOLTZS,O
IJOLSTZ,O
IJOLSZT,O
IJOLZTS,O
IJOLZST,O
IJOSTLZ,O
IJOSTZL,X
IJOSLTZ,O
IJOSLZT,O
IJOSZTL,X
IJOSZLT,X
IJOZTLS,X
IJOZTSL,X
IJOZLTS,X
IJOZLST,X
IJOZSTL,X
IJOZSLT,X
ISTLJZO,O
ISTLJOZ,O
ISTLZJO,O
ISTLZOJ,X
ISTLOJZ,O
ISTLOZJ,X
ISTJLZO,O
ISTJLOZ,O
ISTJZLO,X
ISTJZOL,X
ISTJOLZ,O
ISTJOZL,X
ISTZLJO,X
ISTZLOJ,X
ISTZJLO,X
ISTZJOL,X
ISTZOLJ,X
ISTZOJL,X
ISTOLJZ,X
ISTOLZJ,X
ISTOJLZ,X
ISTOJZL,X
ISTOZLJ,X
ISTOZJL,X
ISLTJZO,O
ISLTJOZ,O
ISLTZJO,O
ISLTZOJ,X
ISLTOJZ,O
ISLTOZJ,X
ISLJTZO,O
ISLJTOZ,O
ISLJZTO,O
ISLJZOT,O
ISLJOTZ,O
ISLJOZT,O
ISLZTJO,O
ISLZTOJ,X
ISLZJTO,O
ISLZJOT,O
ISLZOTJ,X
ISLZOJT,X
ISLOTJZ,O
ISLOTZJ,X
ISLOJTZ,O
ISLOJZT,O
ISLOZTJ,X
ISLOZJT,X
ISJTLZO,O
ISJTLOZ,O
ISJTZLO,X
ISJTZOL,X
ISJTOLZ,O
ISJTOZL,X
ISJLTZO,O
ISJLTOZ,O
ISJLZTO,O
ISJLZOT,O
ISJLOTZ,O
ISJLOZT,O
ISJZTLO,X
ISJZTOL,X
ISJZLTO,X
ISJZLOT,X
ISJZOTL,X
ISJZOLT,X
ISJOTLZ,O
ISJOTZL,X
ISJOLTZ,O
ISJOLZT,O
ISJOZTL,X
ISJOZLT,X
ISZTLJO,X
ISZTLOJ,X
ISZTJLO,X
ISZTJOL,X
ISZTOLJ,X
ISZTOJL,X
ISZLTJO,X
ISZLTOJ,X
ISZLJTO,X
ISZLJOT,X
ISZLOTJ,X
ISZLOJT,X
ISZJTLO,X
ISZJTOL,X
ISZJLTO,X
ISZJLOT,X
ISZJOTL,X
ISZJOLT,X
ISZOTLJ,X
ISZOTJL,X
ISZOLTJ,X
ISZOLJT,X
ISZOJTL,X
ISZOJLT,X
ISOTLJZ,X
ISOTLZJ,X
ISOTJLZ,X
ISOTJZL,X
ISOTZLJ,X
ISOTZJL,X
ISOLTJZ,X
ISOLTZJ,X
ISOLJTZ,X
ISOLJZT,X
ISOLZTJ,X
ISOLZJT,X
ISOJTLZ,X
ISOJTZL,X
ISOJLTZ,X
ISOJLZT,X
ISOJZTL,X
ISOJZLT,X
ISOZTLJ,X
ISOZTJL,X
ISOZLTJ,X
ISOZLJT,X
ISOZJTL,X
ISOZJLT,X
IZTLJSO,X
IZTLJOS,X
IZTLSJO,X
IZTLSOJ,X
IZTLOJS,X
IZTLOSJ,X
IZTJLSO,X
IZTJLOS,X
IZTJSLO,X
IZTJSOL,X
IZTJOLS,X
IZTJOSL,X
IZTSLJO,X
IZTSLOJ,X
IZTSJLO,X
IZTSJOL,X
IZTSOLJ,X
IZTSOJL,X
IZTOLJS,X
IZTOLSJ,X
IZTOJLS,X
IZTOJSL,X
IZTOSLJ,X
IZTOSJL,X
IZLTJSO,X
IZLTJOS,X
IZLTSJO,X
IZLTSOJ,X
IZLTOJS,X
IZLTOSJ,X
IZLJTSO,X
IZLJTOS,X
IZLJSTO,X
IZLJSOT,X
IZLJOTS,X
IZLJOST,X
IZLSTJO,X
IZLSTOJ,X
IZLSJTO,X
IZLSJOT,X
IZLSOTJ,X
IZLSOJT,X
IZLOTJS,X
IZLOTSJ,X
IZLOJTS,X
IZLOJST,X
IZLOSTJ,X
IZLOSJT,X
IZJTLSO,X
IZJTLOS,X
IZJTSLO,X
IZJTSOL,X
IZJTOLS,X
IZJTOSL,X
IZJLTSO,X
IZJLTOS,X
IZJLSTO,X
IZJLSOT,X
IZJLOTS,X
IZJLOST,X
IZJSTLO,X
IZJSTOL,X
IZJSLTO,X
IZJSLOT,X
IZJSOTL,X
IZJSOLT,X
IZJOTLS,X
IZJOTSL,X
IZJOLTS,X
IZJOLST,X
IZJOSTL,X
IZJOSLT,X
IZSTLJO,X
IZSTLOJ,X
IZSTJLO,X
IZSTJOL,X
IZSTOLJ,X
IZSTOJL,X
IZSLTJO,X
IZSLTOJ,X
IZSLJTO,X
IZSLJOT,X
IZSLOTJ,X
IZSLOJT,X
IZSJTLO,X
IZSJTOL,X
IZSJLTO,X
IZSJLOT,X
IZSJOTL,X
IZSJOLT,X
IZSOTLJ,X
IZSOTJL,X
IZSOLTJ,X
IZSOLJT,X
IZSOJTL,X
IZSOJLT,X
IZOTLJS,X
IZOTLSJ,X
IZOTJLS,X
IZOTJSL,X
IZOTSLJ,X
IZOTSJL,X
IZOLTJS,X
IZOLTSJ,X
IZOLJTS,X
IZOLJST,X
IZOLSTJ,X
IZOLSJT,X
IZOJTLS,X
IZOJTSL,X
IZOJLTS,X
IZOJLST,X
IZOJSTL,X
IZOJSLT,X
IZOSTLJ,X
IZOSTJL,X
IZOSLTJ,X
IZOSLJT,X
IZOSJTL,X
IZOSJLT,X
IOTLJSZ,X
IOTLJZS,X
IOTLSJZ,X
IOTLSZJ,X
IOTLZJS,X
IOTLZSJ,X
IOTJLSZ,X
IOTJLZS,X
IOTJSLZ,X
IOTJSZL,X
IOTJZLS,X
IOTJZSL,X
IOTSLJZ,X
IOTSLZJ,X
IOTSJLZ,X
IOTSJZL,X
IOTSZLJ,X
IOTSZJL,X
IOTZLJS,X
IOTZLSJ,X
IOTZJLS,X
IOTZJSL,X
IOTZSLJ,X
IOTZSJL,X
IOLTJSZ,X
IOLTJZS,X
IOLTSJZ,X
IOLTSZJ,X
IOLTZJS,X
IOLTZSJ,X
IOLJTSZ,X
IOLJTZS,X
IOLJSTZ,X
IOLJSZT,X
IOLJZTS,X
IOLJZST,X
IOLSTJZ,X
IOLSTZJ,X
IOLSJTZ,X
IOLSJZT,X
IOLSZTJ,X
IOLSZJT,X
IOLZTJS,X
IOLZTSJ,X
IOLZJTS,X
IOLZJST,X
IOLZSTJ,X
