sequence,v115@zgC8CeA8CeC8CeA8CeB8CeB8AeE8AeI8AeF8JeCDJv?hFzYBpUBsQBOQBllB3hB,v115@zgC8CeA8CeC8CeA8CeB8CeB8AeE8AeI8AeF8JeCDJv?hFzYBpUBsQBOQB3XBlWB
IJTSOZL,X,X
IJTZLSO,X,X
IJTZLOS,X,X
IJTZSLO,X,X
IJTZSOL,X,X
IJTZOLS,X,X
IJTZOSL,X,X
IJTOLSZ,X,X
IJTOLZS,X,X
IJTOSLZ,X,X
IJTOSZL,X,X
IJTOZLS,X,X
IJTOZSL,X,X
IJLTSZO,O,O
IJLTSOZ,O,O
IJLTZSO,O,O
IJLTZOS,O,O
IJLTOSZ,O,O
IJLTOZS,O,O
IJLSTZO,O,O
IJLSTOZ,O,O
IJLSZTO,O,O
IJLSZOT,O,O
IJLSOTZ,O,O
IJLSOZT,O,O
IJLZTSO,O,O
IJLZTOS,O,O
IJLZSTO,O,O
IJLZSOT,O,O
IJLZOTS,O,O
IJLZOST,O,O
IJLOTSZ,O,O
IJLOTZS,O,O
IJLOSTZ,O,O
IJLOSZT,O,O
IJLOZTS,O,O
IJLOZST,O,O
IJSTLZO,X,X
IJSTLOZ,X,X
IJSTZLO,X,X
IJSTZOL,X,X
IJSTOLZ,X,X
IJSTOZL,X,X
IJSLTZO,X,O
IJSLTOZ,X,O
IJSLZTO,X,O
IJSLZOT,X,O
IJSLOTZ,X,O
IJSLOZT,X,O
IJSZTLO,X,X
IJSZTOL,X,X
IJSZLTO,X,O
IJSZLOT,X,O
IJSZOTL,X,X
IJSZOLT,X,X
IJSOTLZ,X,X
IJSOTZL,X,X
IJSOLTZ,X,X
IJSOLZT,X,X
IJSOZTL,X,X
IJSOZLT,X,X
IJZTLSO,X,X
IJZTLOS,X,X
IJZTSLO,X,X
IJZTSOL,X,X
IJZTOLS,X,X
IJZTOSL,X,X
IJZLTSO,O,O
IJZLTOS,O,O
IJZLSTO,O,O
IJZLSOT,O,O
IJZLOTS,O,O
IJZLOST,O,O
IJZSTLO,X,X
IJZSTOL,X,X
IJZSLTO,X,O
IJZSLOT,X,O
IJZSOTL,X,X
IJZSOLT,X,X
IJZOTLS,X,X
IJZOTSL,X,X
IJZOLTS,X,X
IJZOLST,X,X
IJZOSTL,X,X
IJZOSLT,X,X
IJOTLSZ,X,X
IJOTLZS,X,X
IJOTSLZ,X,X
IJOTSZL,X,X
IJOTZLS,X,X
IJOTZSL,X,X
IJOLTSZ,X,X
IJOLTZS,X,X
IJOLSTZ,X,X
IJOLSZT,X,X
IJOLZTS,X,X
IJOLZST,X,X
IJOSTLZ,X,X
IJOSTZL,X,X
IJOSLTZ,X,X
IJOSLZT,X,X
IJOSZTL,X,X
IJOSZLT,X,X
IJOZTLS,X,X
IJOZTSL,X,X
IJOZLTS,X,X
IJOZLST,X,X
IJOZSTL,X,X
IJOZSLT,X,X
ISTLJZO,X,X
ISTLJOZ,X,X
ISTLZJO,X,X
ISTLZOJ,X,X
ISTLOJZ,X,X
ISTLOZJ,X,X
ISTJLZO,X,X
ISTJLOZ,X,X
ISTJZLO,X,X
ISTJZOL,X,X
ISTJOLZ,X,X
ISTJOZL,X,X
ISTZLJO,X,X
ISTZLOJ,X,X
ISTZJLO,X,X
ISTZJOL,X,X
ISTZOLJ,X,X
ISTZOJL,X,X
ISTOLJZ,X,X
ISTOLZJ,X,X
ISTOJLZ,X,X
ISTOJZL,X,X
ISTOZLJ,X,X
ISTOZJL,X,X
ISLTJZO,X,O
ISLTJOZ,X,O
ISLTZJO,X,O
ISLTZOJ,X,O
ISLTOJZ,X,O
ISLTOZJ,X,O
ISLJTZO,X,O
ISLJTOZ,X,O
ISLJZTO,X,O
ISLJZOT,X,O
ISLJOTZ,X,O
ISLJOZT,X,O
ISLZTJO,X,O
