sequence,v115@9gB8HeB8BeA8CeD8AeB8BeH8BeC8JeGBJvhEJnBsiB?6eB3VBzLB,v115@9gB8HeB8BeA8CeD8AeB8BeH8BeC8JeGBJvhEJnBsiB?6eBTVBPRB,v115@9gB8HeB8BeA8CeD8AeB8BeH8BeC8JeTAJvhE0hBveB?KVBpLBOGB,v115@9gB8HeB8BeA8CeD8AeB8BeH8BeC8JeTAJvhE0hBveB?+VBJLB6GB
SLJZITO,O,X,O,O
SLJZIOT,O,O,O,O
SLJZOTI,O,O,O,X
SLJZOIT,O,O,O,O
SLJOTIZ,O,O,O,X
SLJOTZI,O,O,O,X
SLJOITZ,O,O,O,O
SLJOIZT,O,O,O,O
SLJOZTI,O,O,O,X
SLJOZIT,O,O,O,O
SLZTIJO,O,X,O,X
SLZTIOJ,O,X,O,X
SLZTJIO,O,X,O,X
SLZTJOI,O,X,O,X
SLZTOIJ,O,X,O,X
SLZTOJI,O,X,O,X
SLZITJO,O,X,O,X
SLZITOJ,O,X,O,X
SLZIJTO,O,X,O,X
SLZIJOT,O,O,O,X
SLZIOTJ,O,O,O,X
SLZIOJT,O,O,O,X
SLZJTIO,O,X,O,X
SLZJTOI,O,X,O,X
SLZJITO,O,X,O,O
SLZJIOT,O,O,O,O
SLZJOTI,O,O,O,X
SLZJOIT,O,O,O,O
SLZOTIJ,O,O,O,X
SLZOTJI,O,O,O,X
SLZOITJ,O,O,O,X
SLZOIJT,O,O,O,X
SLZOJTI,O,O,O,X
SLZOJIT,O,O,O,O
SLOTIJZ,O,O,O,X
SLOTIZJ,O,O,O,X
SLOTJIZ,O,O,O,X
SLOTJZI,O,O,O,X
SLOTZIJ,O,O,O,X
SLOTZJI,O,O,O,X
SLOITJZ,O,O,O,X
SLOITZJ,O,O,O,X
SLOIJTZ,O,O,O,X
SLOIJZT,O,O,O,X
SLOIZTJ,O,O,O,X
SLOIZJT,O,O,O,X
SLOJTIZ,O,O,O,X
SLOJTZI,O,O,O,X
SLOJITZ,O,O,O,O
SLOJIZT,O,O,O,O
SLOJZTI,O,O,O,X
SLOJZIT,O,O,O,O
SLOZTIJ,O,O,O,X
SLOZTJI,O,O,O,X
SLOZITJ,O,O,O,X
SLOZIJT,O,O,O,X
SLOZJTI,O,O,O,X
SLOZJIT,O,O,O,O
SJTILZO,O,X,X,O
SJTILOZ,O,X,X,O
SJTIZLO,O,X,X,O
SJTIZOL,O,X,X,O
SJTIOLZ,O,X,X,O
SJTIOZL,O,X,X,O
SJTLIZO,O,X,X,X
SJTLIOZ,O,X,X,X
SJTLZIO,O,X,X,X
SJTLZOI,O,X,X,X
SJTLOIZ,O,X,X,X
SJTLOZI,O,X,X,X
SJTZILO,O,X,X,O
SJTZIOL,O,X,X,O
SJTZLIO,O,X,X,X
SJTZLOI,O,X,X,X
SJTZOIL,O,X,X,O
SJTZOLI,O,X,X,X
SJTOILZ,O,X,X,O
SJTOIZL,O,X,X,O
SJTOLIZ,O,X,X,X
SJTOLZI,O,X,X,X
SJTOZIL,O,X,X,O
SJTOZLI,O,X,X,X
SJITLZO,O,X,X,O
SJITLOZ,O,X,X,O
SJITZLO,O,X,X,O
SJITZOL,O,X,X,O
SJITOLZ,O,X,X,O
SJITOZL,O,X,X,O
SJILTZO,O,X,X,O
SJILTOZ,O,X,X,O
SJILZTO,O,X,X,O
SJILZOT,O,O,X,O
SJILOTZ,O,O,X,O
SJILOZT,O,O,X,O
SJIZTLO,O,X,X,O
SJIZTOL,O,X,X,O
SJIZLTO,O,X,X,O
SJIZLOT,O,O,X,O
SJIZOTL,O,O,X,O
SJIZOLT,O,O,X,O
SJIOTLZ,O,O,X,O
SJIOTZL,O,O,X,O
SJIOLTZ,O,O,X,O
SJIOLZT,O,O,X,O
SJIOZTL,O,O,X,O
SJIOZLT,O,O,X,O
SJLTIZO,O,X,O,X
SJLTIOZ,O,X,O,X
SJLTZIO,O,X,O,X
SJLTZOI,O,X,O,X
SJLTOIZ,O,X,O,X
SJLTOZI,O,X,O,X
SJLITZO,O,X,O,O
SJLITOZ,O,X,O,O
SJLIZTO,O,X,O,O
SJLIZOT,O,O,O,O
SJLIOTZ,O,O,O,O
SJLIOZT,O,O,O,O
SJLZTIO,O,X,O,X
SJLZTOI,O,X,O,X
SJLZITO,O,X,O,O
SJLZIOT,O,O,O,O
SJLZOTI,O,O,O,X
SJLZOIT,O,O,O,O
SJLOTIZ,O,O,O,X
SJLOTZI,O,O,O,X
SJLOITZ,O,O,O,O
SJLOIZT,O,O,O,O
SJLOZTI,O,O,O,X
SJLOZIT,O,O,O,O
SJZTILO,O,X,X,O
SJZTIOL,O,X,X,O
SJZTLIO,O,X,X,X
SJZTLOI,O,X,X,X
SJZTOIL,O,X,X,O
SJZTOLI,O,X,X,X
SJZITLO,O,X,X,O
SJZITOL,O,X,X,O
SJZILTO,O,X,X,O
SJZILOT,O,O,X,O
SJZIOTL,O,O,X,O
SJZIOLT,O,O,X,O
SJZLTIO,O,X,O,X
SJZLTOI,O,X,O,X
SJZLITO,O,X,O,O
SJZLIOT,O,O,O,O
SJZLOTI,O,O,O,X
SJZLOIT,O,O,O,O
SJZOTIL,O,O,X,O
SJZOTLI,O,O,X,X
SJZOITL,O,O,X,O
SJZOILT,O,O,X,O
SJZOLTI,O,O,O,X
SJZOLIT,O,O,O,O
SJOTILZ,O,O,X,O
SJOTIZL,O,O,X,O
SJOTLIZ,O,O,X,X
SJOTLZI,O,O,X,X
SJOTZIL,O,O,X,O
SJOTZLI,O,O,X,X
SJOITLZ,O,O,X,O
SJOITZL,O,O,X,O
SJOILTZ,O,O,X,O
SJOILZT,O,O,X,O
SJOIZTL,O,O,X,O
SJOIZLT,O,O,X,O
SJOLTIZ,O,O,O,X
SJOLTZI,O,O,O,X
SJOLITZ,O,O,O,O
SJOLIZT,O,O,O,O
SJOLZTI,O,O,O,X
SJOLZIT,O,O,O,O
SJOZTIL,O,O,X,O
SJOZTLI,O,O,X,X
SJOZITL,O,O,X,O
SJOZILT,O,O,X,O
SJOZLTI,O,O,O,X
SJOZLIT,O,O,O,O
SZTILJO,O,X,X,X
SZTILOJ,O,X,X,X
SZTIJLO,O,X,X,X
SZTIJOL,O,X,X,X
SZTIOLJ,O,X,X,X
SZTIOJL,O,X,X,X
SZTLIJO,O,X,O,X
SZTLIOJ,O,X,O,X
SZTLJIO,O,X,O,X
SZTLJOI,O,X,O,X
SZTLOIJ,O,X,O,X
SZTLOJI,O,X,O,X
SZTJILO,O,X,X,O
SZTJIOL,O,X,X,O
SZTJLIO,O,X,X,X
SZTJLOI,O,X,X,X
SZTJOIL,O,X,X,O
SZTJOLI,O,X,X,X
SZTOILJ,O,X,X,X
SZTOIJL,O,X,X,X
SZTOLIJ,O,X,O,X
SZTOLJI,O,X,O,X
SZTOJIL,O,X,X,O
SZTOJLI,O,X,X,X
SZITLJO,O,X,X,X
SZITLOJ,O,X,X,X
SZITJLO,O,X,X,X
SZITJOL,O,X,X,X
SZITOLJ,O,X,X,X
SZITOJL,O,X,X,X
SZILTJO,O,X,O,X
SZILTOJ,O,X,O,X
SZILJTO,O,X,O,X
SZILJOT,O,O,O,X
SZILOTJ,O,O,O,X
SZILOJT,O,O,O,X
SZIJTLO,O,X,X,O
SZIJTOL,O,X,X,O
SZIJLTO,O,X,X,O
SZIJLOT,O,O,X,O
SZIJOTL,O,O,X,O
SZIJOLT,O,O,X,O
SZIOTLJ,O,O,X,X
SZIOTJL,O,O,X,X
SZIOLTJ,O,O,O,X
SZIOLJT,O,O,O,X
SZIOJTL,O,O,X,O
SZIOJLT,O,O,X,O
SZLTIJO,O,X,O,X
SZLTIOJ,O,X,O,X
SZLTJIO,O,X,O,X
SZLTJOI,O,X,O,X
SZLTOIJ,O,X,O,X
SZLTOJI,O,X,O,X
SZLITJO,O,X,O,X
SZLITOJ,O,X,O,X
SZLIJTO,O,X,O,X
SZLIJOT,O,O,O,X
SZLIOTJ,O,O,O,X
SZLIOJT,O,O,O,X
SZLJTIO,O,X,O,X
SZLJTOI,O,X,O,X
SZLJITO,O,X,O,O
SZLJIOT,O,O,O,O
SZLJOTI,O,O,O,X
SZLJOIT,O,O,O,O
SZLOTIJ,O,O,O,X
SZLOTJI,O,O,O,X
SZLOITJ,O,O,O,X
SZLOIJT,O,O,O,X
SZLOJTI,O,O,O,X
SZLOJIT,O,O,O,O
SZJTILO,O,X,X,O
SZJTIOL,O,X,X,O
SZJTLIO,O,X,X,X
SZJTLOI,O,X,X,X
SZJTOIL,O,X,X,O
SZJTOLI,O,X,X,X
SZJITLO,O,X,X,O
SZJITOL,O,X,X,O
SZJILTO,O,X,X,O
SZJILOT,O,O,X,O
SZJIOTL,O,O,X,O
SZJIOLT,O,O,X,O
SZJLTIO,O,X,O,X
SZJLTOI,O,X,O,X
SZJLITO,O,X,O,O
SZJLIOT,O,O,O,O
SZJLOTI,O,O,O,X
SZJLOIT,O,O,O,O
SZJOTIL,O,O,X,O
SZJOTLI,O,O,X,X
SZJOITL,O,O,X,O
SZJOILT,O,O,X,O
SZJOLTI,O,O,O,X
SZJOLIT,O,O,O,O
SZOTILJ,O,O,X,X
SZOTIJL,O,O,X,X
SZOTLIJ,O,O,O,X
SZOTLJI,O,O,O,X
SZOTJIL,O,O,X,O
SZOTJLI,O,O,X,X
SZOITLJ,O,O,X,X
SZOITJL,O,O,X,X
SZOILTJ,O,O,O,X
SZOILJT,O,O,O,X
SZOIJTL,O,O,X,O
SZOIJLT,O,O,X,O
SZOLTIJ,O,O,O,X
SZOLTJI,O,O,O,X
SZOLITJ,O,O,O,X
SZOLIJT,O,O,O,X
SZOLJTI,O,O,O,X
SZOLJIT,O,O,O,O
SZOJTIL,O,O,X,O
SZOJTLI,O,O,X,X
SZOJITL,O,O,X,O
SZOJILT,O,O,X,O
SZOJLTI,O,O,O,X
SZOJLIT,O,O,O,O
SOTILJZ,O,O,X,X
SOTILZJ,O,O,X,X
SOTIJLZ,O,O,X,X
SOTIJZL,O,O,X,X
SOTIZLJ,O,O,X,X
SOTIZJL,O,O,X,X
SOTLIJZ,O,O,O,X
SOTLIZJ,O,O,O,X
SOTLJIZ,O,O,O,X
SOTLJZI,O,O,O,X
SOTLZIJ,O,O,O,X
SOTLZJI,O,O,O,X
SOTJILZ,O,O,X,O
SOTJIZL,O,O,X,O
SOTJLIZ,O,O,X,X
SOTJLZI,O,O,X,X
SOTJZIL,O,O,X,O
SOTJZLI,O,O,X,X
SOTZILJ,O,O,X,X
SOTZIJL,O,O,X,X
SOTZLIJ,O,O,O,X
SOTZLJI,O,O,O,X
SOTZJIL,O,O,X,O
SOTZJLI,O,O,X,X
SOITLJZ,O,O,X,X
SOITLZJ,O,O,X,X
SOITJLZ,O,O,X,X
SOITJZL,O,O,X,X
SOITZLJ,O,O,X,X
SOITZJL,O,O,X,X
SOILTJZ,O,O,O,X
SOILTZJ,O,O,O,X
SOILJTZ,O,O,O,X
SOILJZT,O,O,O,X
SOILZTJ,O,O,O,X
SOILZJT,O,O,O,X
SOIJTLZ,O,O,X,O
SOIJTZL,O,O,X,O
SOIJLTZ,O,O,X,O
SOIJLZT,O,O,X,O
SOIJZTL,O,O,X,O
SOIJZLT,O,O,X,O
SOIZTLJ,O,O,X,X
SOIZTJL,O,O,X,X
SOIZLTJ,O,O,O,X
SOIZLJT,O,O,O,X
SOIZJTL,O,O,X,O
SOIZJLT,O,O,X,O
SOLTIJZ,O,O,O,X
SOLTIZJ,O,O,O,X
SOLTJIZ,O,O,O,X
SOLTJZI,O,O,O,X
SOLTZIJ,O,O,O,X
SOLTZJI,O,O,O,X
SOLITJZ,O,O,O,X
SOLITZJ,O,O,O,X
SOLIJTZ,O,O,O,X
SOLIJZT,O,O,O,X
SOLIZTJ,O,O,O,X
SOLIZJT,O,O,O,X
SOLJTIZ,O,O,O,X
SOLJTZI,O,O,O,X
SOLJITZ,O,O,O,O
SOLJIZT,O,O,O,O
SOLJZTI,O,O,O,X
SOLJZIT,O,O,O,O
SOLZTIJ,O,O,O,X
SOLZTJI,O,O,O,X
SOLZITJ,O,O,O,X
SOLZIJT,O,O,O,X
SOLZJTI,O,O,O,X
SOLZJIT,O,O,O,O
SOJTILZ,O,O,X,O
SOJTIZL,O,O,X,O
SOJTLIZ,O,O,X,X
SOJTLZI,O,O,X,X
SOJTZIL,O,O,X,O
SOJTZLI,O,O,X,X
SOJITLZ,O,O,X,O
SOJITZL,O,O,X,O
SOJILTZ,O,O,X,O
SOJILZT,O,O,X,O
SOJIZTL,O,O,X,O
SOJIZLT,O,O,X,O
SOJLTIZ,O,O,O,X
SOJLTZI,O,O,O,X
SOJLITZ,O,O,O,O
SOJLIZT,O,O,O,O
SOJLZTI,O,O,O,X
SOJLZIT,O,O,O,O
SOJZTIL,O,O,X,O
SOJZTLI,O,O,X,X
SOJZITL,O,O,X,O
SOJZILT,O,O,X,O
SOJZLTI,O,O,O,X
SOJZLIT,O,O,O,O
SOZTILJ,O,O,X,X
SOZTIJL,O,O,X,X
SOZTLIJ,O,O,O,X
SOZTLJI,O,O,O,X
SOZTJIL,O,O,X,O
SOZTJLI,O,O,X,X
SOZITLJ,O,O,X,X
SOZITJL,O,O,X,X
SOZILTJ,O,O,O,X
SOZILJT,O,O,O,X
SOZIJTL,O,O,X,O
SOZIJLT,O,O,X,O
SOZLTIJ,O,O,O,X
SOZLTJI,O,O,O,X
SOZLITJ,O,O,O,X
SOZLIJT,O,O,O,X
SOZLJTI,O,O,O,X
SOZLJIT,O,O,O,O
SOZJTIL,O,O,X,O
SOZJTLI,O,O,X,X
SOZJITL,O,O,X,O
SOZJILT,O,O,X,O
SOZJLTI,O,O,O,X
SOZJLIT,O,O,O,O
ZTILJSO,O,X,X,X
ZTILJOS,X,O,X,X
ZTILSJO,O,X,X,X
ZTILSOJ,O,X,X,X
ZTILOJS,X,O,X,X
ZTILOSJ,X,O,X,X
ZTIJLSO,O,X,X,X
ZTIJLOS,X,O,X,X
ZTIJSLO,O,X,X,X
ZTIJSOL,O,X,X,X
ZTIJOLS,X,O,X,X
ZTIJOSL,X,O,X,X
ZTISLJO,O,X,X,X
ZTISLOJ,O,X,X,X
ZTISJLO,O,X,X,X
ZTISJOL,O,X,X,X
ZTISOLJ,O,X,X,X
ZTISOJL,O,X,X,X
ZTIOLJS,X,O,X,X
ZTIOLSJ,X,O,X,X
ZTIOJLS,X,O,X,X
ZTIOJSL,X,O,X,X
ZTIOSLJ,X,O,X,X
ZTIOSJL,X,O,X,X
ZTLIJSO,O,X,O,X
ZTLIJOS,X,O,O,X
ZTLISJO,O,X,O,X
ZTLISOJ,O,X,O,X
ZTLIOJS,X,O,O,X
ZTLIOSJ,X,O,O,X
ZTLJISO,O,X,O,X
ZTLJIOS,X,O,O,X
ZTLJSIO,O,X,O,X
ZTLJSOI,O,X,O,X
ZTLJOIS,X,O,O,X
ZTLJOSI,X,O,O,X
ZTLSIJO,O,X,O,X
ZTLSIOJ,O,X,O,X
ZTLSJIO,O,X,O,X
ZTLSJOI,O,X,O,X
ZTLSOIJ,O,X,O,X
ZTLSOJI,O,X,O,X
ZTLOIJS,X,O,O,X
ZTLOISJ,X,O,O,X
ZTLOJIS,X,O,O,X
ZTLOJSI,X,O,O,X
ZTLOSIJ,X,O,O,X
ZTLOSJI,X,O,O,X
ZTJILSO,O,X,X,O
ZTJILOS,X,O,X,O
ZTJISLO,O,X,X,O
ZTJISOL,O,X,X,O
ZTJIOLS,X,O,X,O
ZTJIOSL,X,O,X,O
ZTJLISO,O,X,X,X
ZTJLIOS,X,O,X,X
ZTJLSIO,O,X,X,X
ZTJLSOI,O,X,X,X
ZTJLOIS,X,O,X,X
ZTJLOSI,X,O,X,X
ZTJSILO,O,X,X,O
ZTJSIOL,O,X,X,O
ZTJSLIO,O,X,X,X
ZTJSLOI,O,X,X,X
ZTJSOIL,O,X,X,O
ZTJSOLI,O,X,X,X
ZTJOILS,X,O,X,O
ZTJOISL,X,O,X,O
ZTJOLIS,X,O,X,X
ZTJOLSI,X,O,X,X
ZTJOSIL,X,O,X,O
ZTJOSLI,X,O,X,X
ZTSILJO,O,X,X,X
ZTSILOJ,O,X,X,X
ZTSIJLO,O,X,X,X
ZTSIJOL,O,X,X,X
ZTSIOLJ,O,X,X,X
ZTSIOJL,O,X,X,X
ZTSLIJO,O,X,O,X
ZTSLIOJ,O,X,O,X
ZTSLJIO,O,X,O,X
ZTSLJOI,O,X,O,X
ZTSLOIJ,O,X,O,X
ZTSLOJI,O,X,O,X
ZTSJILO,O,X,X,O
ZTSJIOL,O,X,X,O
ZTSJLIO,O,X,X,X
ZTSJLOI,O,X,X,X
ZTSJOIL,O,X,X,O
ZTSJOLI,O,X,X,X
ZTSOILJ,O,X,X,X
ZTSOIJL,O,X,X,X
ZTSOLIJ,O,X,O,X
ZTSOLJI,O,X,O,X
ZTSOJIL,O,X,X,O
ZTSOJLI,O,X,X,X
ZTOILJS,X,O,X,X
ZTOILSJ,X,O,X,X
ZTOIJLS,X,O,X,X
ZTOIJSL,X,O,X,X
ZTOISLJ,X,O,X,X
ZTOISJL,X,O,X,X
ZTOLIJS,X,O,O,X
ZTOLISJ,X,O,O,X
ZTOLJIS,X,O,O,X
ZTOLJSI,X,O,O,X
ZTOLSIJ,X,O,O,X
ZTOLSJI,X,O,O,X
ZTOJILS,X,O,X,O
ZTOJISL,X,O,X,O
ZTOJLIS,X,O,X,X
ZTOJLSI,X,O,X,X
ZTOJSIL,X,O,X,O
ZTOJSLI,X,O,X,X
ZTOSILJ,X,O,X,X
ZTOSIJL,X,O,X,X
ZTOSLIJ,X,O,O,X
ZTOSLJI,X,O,O,X
ZTOSJIL,X,O,X,O
ZTOSJLI,X,O,X,X
ZITLJSO,O,X,X,X
ZITLJOS,X,O,X,X
ZITLSJO,O,X,X,X
ZITLSOJ,O,X,X,X
ZITLOJS,X,O,X,X
ZITLOSJ,X,O,X,X
ZITJLSO,O,X,X,X
ZITJLOS,X,O,X,X
ZITJSLO,O,X,X,X
ZITJSOL,O,X,X,X
ZITJOLS,X,O,X,X
ZITJOSL,X,O,X,X
ZITSLJO,O,X,X,X
ZITSLOJ,O,X,X,X
ZITSJLO,O,X,X,X
ZITSJOL,O,X,X,X
ZITSOLJ,O,X,X,X
ZITSOJL,O,X,X,X
ZITOLJS,X,O,X,X
ZITOLSJ,X,O,X,X
ZITOJLS,X,O,X,X
ZITOJSL,X,O,X,X
ZITOSLJ,X,O,X,X
ZITOSJL,X,O,X,X
ZILTJSO,O,X,O,X
ZILTJOS,X,O,O,X
ZILTSJO,O,X,O,X
ZILTSOJ,O,X,O,X
ZILTOJS,X,O,O,X
ZILTOSJ,X,O,O,X
ZILJTSO,O,X,O,X
ZILJTOS,X,O,O,X
ZILJSTO,O,X,O,X
ZILJSOT,O,O,O,X
ZILJOTS,X,O,O,X
ZILJOST,O,O,O,X
ZILSTJO,O,X,O,X
ZILSTOJ,O,X,O,X
ZILSJTO,O,X,O,X
ZILSJOT,O,O,O,X
ZILSOTJ,O,O,O,X
ZILSOJT,O,O,O,X
ZILOTJS,X,O,O,X
ZILOTSJ,X,O,O,X
ZILOJTS,X,O,O,X
ZILOJST,O,O,O,X
ZILOSTJ,O,O,O,X
ZILOSJT,O,O,O,X
ZIJTLSO,O,X,X,O
ZIJTLOS,X,O,X,O
ZIJTSLO,O,X,X,O
ZIJTSOL,O,X,X,O
ZIJTOLS,X,O,X,O
ZIJTOSL,X,O,X,O
ZIJLTSO,O,X,X,O
ZIJLTOS,X,O,X,O
ZIJLSTO,O,X,X,O
ZIJLSOT,O,O,X,O
ZIJLOTS,X,O,X,O
ZIJLOST,O,O,X,O
ZIJSTLO,O,X,X,O
ZIJSTOL,O,X,X,O
ZIJSLTO,O,X,X,O
ZIJSLOT,O,O,X,O
ZIJSOTL,O,O,X,O
ZIJSOLT,O,O,X,O
ZIJOTLS,X,O,X,O
ZIJOTSL,X,O,X,O
ZIJOLTS,X,O,X,O
ZIJOLST,O,O,X,O
ZIJOSTL,O,O,X,O
ZIJOSLT,O,O,X,O
ZISTLJO,O,X,X,X
ZISTLOJ,O,X,X,X
ZISTJLO,O,X,X,X
ZISTJOL,O,X,X,X
ZISTOLJ,O,X,X,X
ZISTOJL,O,X,X,X
ZISLTJO,O,X,O,X
ZISLTOJ,O,X,O,X
ZISLJTO,O,X,O,X
ZISLJOT,O,O,O,X
ZISLOTJ,O,O,O,X
ZISLOJT,O,O,O,X
ZISJTLO,O,X,X,O
ZISJTOL,O,X,X,O
ZISJLTO,O,X,X,O
ZISJLOT,O,O,X,O
ZISJOTL,O,O,X,O
ZISJOLT,O,O,X,O
ZISOTLJ,O,O,X,X
ZISOTJL,O,O,X,X
ZISOLTJ,O,O,O,X
ZISOLJT,O,O,O,X
ZISOJTL,O,O,X,O
ZISOJLT,O,O,X,O
ZIOTLJS,X,O,X,X
ZIOTLSJ,X,O,X,X
ZIOTJLS,X,O,X,X
ZIOTJSL,X,O,X,X
ZIOTSLJ,X,O,X,X
ZIOTSJL,X,O,X,X
ZIOLTJS,X,O,O,X
ZIOLTSJ,X,O,O,X
ZIOLJTS,X,O,O,X
ZIOLJST,O,O,O,X
ZIOLSTJ,O,O,O,X
ZIOLSJT,O,O,O,X
ZIOJTLS,X,O,X,O
ZIOJTSL,X,O,X,O
ZIOJLTS,X,O,X,O
ZIOJLST,O,O,X,O
ZIOJSTL,O,O,X,O
ZIOJSLT,O,O,X,O
ZIOSTLJ,O,O,X,X
ZIOSTJL,O,O,X,X
ZIOSLTJ,O,O,O,X
ZIOSLJT,O,O,O,X
ZIOSJTL,O,O,X,O
ZIOSJLT,O,O,X,O
ZLTIJSO,O,X,O,X
ZLTIJOS,X,O,O,X
ZLTISJO,O,X,O,X
ZLTISOJ,O,X,O,X
ZLTIOJS,X,O,O,X
ZLTIOSJ,X,O,O,X
ZLTJISO,O,X,O,X
ZLTJIOS,X,O,O,X
ZLTJSIO,O,X,O,X
ZLTJSOI,O,X,O,X
ZLTJOIS,X,O,O,X
ZLTJOSI,X,O,O,X
ZLTSIJO,O,X,O,X
ZLTSIOJ,O,X,O,X
ZLTSJIO,O,X,O,X
ZLTSJOI,O,X,O,X
ZLTSOIJ,O,X,O,X
ZLTSOJI,O,X,O,X
ZLTOIJS,X,O,O,X
ZLTOISJ,X,O,O,X
ZLTOJIS,X,O,O,X
ZLTOJSI,X,O,O,X
ZLTOSIJ,X,O,O,X
ZLTOSJI,X,O,O,X
ZLITJSO,O,X,O,X
ZLITJOS,X,O,O,X
ZLITSJO,O,X,O,X
ZLITSOJ,O,X,O,X
ZLITOJS,X,O,O,X
ZLITOSJ,X,O,O,X
ZLIJTSO,O,X,O,X
ZLIJTOS,X,O,O,X
ZLIJSTO,O,X,O,X
ZLIJSOT,O,O,O,X
ZLIJOTS,X,O,O,X
ZLIJOST,O,O,O,X
ZLISTJO,O,X,O,X
ZLISTOJ,O,X,O,X
ZLISJTO,O,X,O,X
ZLISJOT,O,O,O,X
ZLISOTJ,O,O,O,X
ZLISOJT,O,O,O,X
ZLIOTJS,X,O,O,X
ZLIOTSJ,X,O,O,X
ZLIOJTS,X,O,O,X
ZLIOJST,O,O,O,X
ZLIOSTJ,O,O,O,X
ZLIOSJT,O,O,O,X
ZLJTISO,O,X,O,X
ZLJTIOS,X,O,O,X
ZLJTSIO,O,X,O,X
ZLJTSOI,O,X,O,X
ZLJTOIS,X,O,O,X
ZLJTOSI,X,O,O,X
ZLJITSO,O,X,O,O
ZLJITOS,X,O,O,O
ZLJISTO,O,X,O,O
ZLJISOT,O,O,O,O
ZLJIOTS,X,O,O,O
ZLJIOST,O,O,O,O
ZLJSTIO,O,X,O,X
ZLJSTOI,O,X,O,X
ZLJSITO,O,X,O,O
ZLJSIOT,O,O,O,O
ZLJSOTI,O,O,O,X
ZLJSOIT,O,O,O,O
ZLJOTIS,X,O,O,X
ZLJOTSI,X,O,O,X
ZLJOITS,X,O,O,O
ZLJOIST,O,O,O,O
ZLJOSTI,O,O,O,X
ZLJOSIT,O,O,O,O
ZLSTIJO,O,X,O,X
ZLSTIOJ,O,X,O,X
ZLSTJIO,O,X,O,X
ZLSTJOI,O,X,O,X
ZLSTOIJ,O,X,O,X
ZLSTOJI,O,X,O,X
ZLSITJO,O,X,O,X
ZLSITOJ,O,X,O,X
ZLSIJTO,O,X,O,X
ZLSIJOT,O,O,O,X
ZLSIOTJ,O,O,O,X
ZLSIOJT,O,O,O,X
ZLSJTIO,O,X,O,X
ZLSJTOI,O,X,O,X
ZLSJITO,O,X,O,O
ZLSJIOT,O,O,O,O
ZLSJOTI,O,O,O,X
ZLSJOIT,O,O,O,O
ZLSOTIJ,O,O,O,X
ZLSOTJI,O,O,O,X
ZLSOITJ,O,O,O,X
ZLSOIJT,O,O,O,X
ZLSOJTI,O,O,O,X
ZLSOJIT,O,O,O,O
ZLOTIJS,X,O,O,X
ZLOTISJ,X,O,O,X
ZLOTJIS,X,O,O,X
ZLOTJSI,X,O,O,X
ZLOTSIJ,X,O,O,X
ZLOTSJI,X,O,O,X
ZLOITJS,X,O,O,X
ZLOITSJ,X,O,O,X
ZLOIJTS,X,O,O,X
ZLOIJST,O,O,O,X
ZLOISTJ,O,O,O,X
ZLOISJT,O,O,O,X
ZLOJTIS,X,O,O,X
ZLOJTSI,X,O,O,X
ZLOJITS,X,O,O,O
ZLOJIST,O,O,O,O
ZLOJSTI,O,O,O,X
ZLOJSIT,O,O,O,O
ZLOSTIJ,O,O,O,X
ZLOSTJI,O,O,O,X
ZLOSITJ,O,O,O,X
ZLOSIJT,O,O,O,X
ZLOSJTI,O,O,O,X
ZLOSJIT,O,O,O,O
ZJTILSO,O,X,X,O
ZJTILOS,X,O,X,O
ZJTISLO,O,X,X,O
ZJTISOL,O,X,X,O
ZJTIOLS,X,O,X,O
ZJTIOSL,X,O,X,O
ZJTLISO,O,X,X,X
ZJTLIOS,X,O,X,X
ZJTLSIO,O,X,X,X
ZJTLSOI,O,X,X,X
ZJTLOIS,X,O,X,X
ZJTLOSI,X,O,X,X
ZJTSILO,O,X,X,O
ZJTSIOL,O,X,X,O
ZJTSLIO,O,X,X,X
ZJTSLOI,O,X,X,X
ZJTSOIL,O,X,X,O
ZJTSOLI,O,X,X,X
ZJTOILS,X,O,X,O
ZJTOISL,X,O,X,O
ZJTOLIS,X,O,X,X
ZJTOLSI,X,O,X,X
ZJTOSIL,X,O,X,O
ZJTOSLI,X,O,X,X
ZJITLSO,O,X,X,O
ZJITLOS,X,O,X,O
ZJITSLO,O,X,X,O
ZJITSOL,O,X,X,O
ZJITOLS,X,O,X,O
ZJITOSL,X,O,X,O
ZJILTSO,O,X,X,O
ZJILTOS,X,O,X,O
ZJILSTO,O,X,X,O
ZJILSOT,O,O,X,O
ZJILOTS,X,O,X,O
ZJILOST,O,O,X,O
ZJISTLO,O,X,X,O
ZJISTOL,O,X,X,O
ZJISLTO,O,X,X,O
ZJISLOT,O,O,X,O
ZJISOTL,O,O,X,O
ZJISOLT,O,O,X,O
ZJIOTLS,X,O,X,O
ZJIOTSL,X,O,X,O
ZJIOLTS,X,O,X,O
ZJIOLST,O,O,X,O
ZJIOSTL,O,O,X,O
ZJIOSLT,O,O,X,O
ZJLTISO,O,X,O,X
ZJLTIOS,X,O,O,X
ZJLTSIO,O,X,O,X
ZJLTSOI,O,X,O,X
ZJLTOIS,X,O,O,X
ZJLTOSI,X,O,O,X
ZJLITSO,O,X,O,O
ZJLITOS,X,O,O,O
ZJLISTO,O,X,O,O
ZJLISOT,O,O,O,O
ZJLIOTS,X,O,O,O
ZJLIOST,O,O,O,O
ZJLSTIO,O,X,O,X
ZJLSTOI,O,X,O,X
ZJLSITO,O,X,O,O
