sequence,v115@9gC8EeA8AeC8AeA8CeH8AeJ8AeB8JeT1IvhEMWBugB?3cBpZBaZB,v115@9gC8EeA8AeC8AeA8CeH8AeJ8AeB8JeT1IvhEMWBChB?RcBveBGUB
OLTJZSI,O,X
OLTSIJZ,O,O
OLTSIZJ,X,O
OLTSJIZ,O,O
OLTSJZI,O,O
OLTSZIJ,X,O
OLTSZJI,X,O
OLTZIJS,O,X
OLTZISJ,X,O
OLTZJIS,O,X
OLTZJSI,O,X
OLTZSIJ,X,O
OLTZSJI,X,O
OLITJSZ,O,X
OLITJZS,O,X
OLITSJZ,O,O
OLITSZJ,X,O
OLITZJS,O,X
OLITZSJ,X,O
OLIJTSZ,O,X
OLIJTZS,O,X
OLIJSTZ,O,O
OLIJSZT,O,O
OLIJZTS,O,X
OLIJZST,O,O
OLISTJZ,O,O
OLISTZJ,X,O
OLISJTZ,O,O
OLISJZT,O,O
OLISZTJ,X,O
OLISZJT,O,O
OLIZTJS,O,X
OLIZTSJ,X,O
OLIZJTS,O,X
OLIZJST,O,O
OLIZSTJ,X,O
OLIZSJT,O,O
OLJTISZ,O,X
OLJTIZS,O,X
OLJTSIZ,O,X
OLJTSZI,O,X
OLJTZIS,O,X
OLJTZSI,O,X
OLJITSZ,O,X
OLJITZS,O,X
OLJISTZ,O,O
OLJISZT,O,O
OLJIZTS,O,X
OLJIZST,O,O
OLJSTIZ,O,O
OLJSTZI,O,O
OLJSITZ,O,O
OLJSIZT,O,O
OLJSZTI,O,O
OLJSZIT,O,O
OLJZTIS,O,X
OLJZTSI,O,X
OLJZITS,O,X
OLJZIST,O,O
OLJZSTI,O,O
OLJZSIT,O,O
OLSTIJZ,O,O
OLSTIZJ,X,O
OLSTJIZ,O,O
OLSTJZI,O,O
OLSTZIJ,X,O
OLSTZJI,X,O
OLSITJZ,O,O
OLSITZJ,X,O
OLSIJTZ,O,O
OLSIJZT,O,O
OLSIZTJ,X,O
OLSIZJT,O,O
OLSJTIZ,O,O
OLSJTZI,O,O
OLSJITZ,O,O
OLSJIZT,O,O
OLSJZTI,O,O
OLSJZIT,O,O
OLSZTIJ,X,O
OLSZTJI,X,O
OLSZITJ,X,O
OLSZIJT,O,O
OLSZJTI,O,O
OLSZJIT,O,O
OLZTIJS,O,X
OLZTISJ,X,O
OLZTJIS,O,X
OLZTJSI,O,X
OLZTSIJ,X,O
OLZTSJI,X,O
OLZITJS,O,X
OLZITSJ,X,O
OLZIJTS,O,X
OLZIJST,O,O
OLZISTJ,X,O
OLZISJT,O,O
OLZJTIS,O,X
OLZJTSI,O,X
OLZJITS,O,X
OLZJIST,O,O
OLZJSTI,O,O
OLZJSIT,O,O
OLZSTIJ,X,O
OLZSTJI,X,O
OLZSITJ,X,O
OLZSIJT,O,O
OLZSJTI,O,O
OLZSJIT,O,O
OJTILSZ,O,X
OJTILZS,O,X
OJTISLZ,O,X
OJTISZL,O,X
OJTIZLS,O,X
OJTIZSL,O,X
OJTLISZ,O,X
OJTLIZS,O,X
OJTLSIZ,O,X
OJTLSZI,O,X
OJTLZIS,O,X
OJTLZSI,O,X
OJTSILZ,O,X
OJTSIZL,O,X
OJTSLIZ,O,X
OJTSLZI,O,X
OJTSZIL,O,X
OJTSZLI,O,X
OJTZILS,O,X
OJTZISL,O,X
OJTZLIS,O,X
OJTZLSI,O,X
OJTZSIL,O,X
OJTZSLI,O,X
OJITLSZ,O,X
OJITLZS,O,X
OJITSLZ,O,X
OJITSZL,O,X
OJITZLS,O,X
OJITZSL,O,X
OJILTSZ,O,X
OJILTZS,O,X
OJILSTZ,O,X
OJILSZT,O,X
OJILZTS,O,X
OJILZST,O,X
OJISTLZ,O,X
OJISTZL,O,X
OJISLTZ,O,X
OJISLZT,O,X
OJISZTL,O,X
OJISZLT,O,X
OJIZTLS,O,X
OJIZTSL,O,X
OJIZLTS,O,X
OJIZLST,O,X
OJIZSTL,O,X
OJIZSLT,O,X
OJLTISZ,O,X
OJLTIZS,O,X
OJLTSIZ,O,X
OJLTSZI,O,X
OJLTZIS,O,X
OJLTZSI,O,X
OJLITSZ,O,X
OJLITZS,O,X
OJLISTZ,O,O
OJLISZT,O,O
OJLIZTS,O,X
OJLIZST,O,O
OJLSTIZ,O,O
OJLSTZI,O,O
OJLSITZ,O,O
OJLSIZT,O,O
OJLSZTI,O,O
OJLSZIT,O,O
OJLZTIS,O,X
OJLZTSI,O,X
OJLZITS,O,X
OJLZIST,O,O
OJLZSTI,O,O
OJLZSIT,O,O
OJSTILZ,O,X
OJSTIZL,O,X
OJSTLIZ,O,O
OJSTLZI,O,O
OJSTZIL,O,X
OJSTZLI,O,O
OJSITLZ,O,X
OJSITZL,O,X
OJSILTZ,O,O
OJSILZT,O,O
OJSIZTL,O,X
OJSIZLT,O,O
OJSLTIZ,O,O
OJSLTZI,O,O
OJSLITZ,O,O
OJSLIZT,O,O
OJSLZTI,O,O
OJSLZIT,O,O
OJSZTIL,O,X
OJSZTLI,O,O
OJSZITL,O,X
OJSZILT,O,O
OJSZLTI,O,O
OJSZLIT,O,O
OJZTILS,O,X
OJZTISL,O,X
OJZTLIS,O,X
OJZTLSI,O,X
OJZTSIL,O,X
OJZTSLI,O,X
OJZITLS,O,X
OJZITSL,O,X
OJZILTS,O,X
OJZILST,O,X
OJZISTL,O,X
OJZISLT,O,X
OJZLTIS,O,X
OJZLTSI,O,X
OJZLITS,O,X
OJZLIST,O,O
OJZLSTI,O,O
OJZLSIT,O,O
OJZSTIL,O,X
OJZSTLI,O,O
OJZSITL,O,X
OJZSILT,O,O
OJZSLTI,O,O
OJZSLIT,O,O
OSTILJZ,O,X
OSTILZJ,X,X
OSTIJLZ,O,X
OSTIJZL,O,X
OSTIZLJ,X,X
OSTIZJL,X,X
OSTLIJZ,O,O
OSTLIZJ,X,O
OSTLJIZ,O,O
OSTLJZI,O,O
OSTLZIJ,X,O
OSTLZJI,X,O
OSTJILZ,O,X
OSTJIZL,O,X
OSTJLIZ,O,O
OSTJLZI,O,O
OSTJZIL,O,X
OSTJZLI,O,O
OSTZILJ,X,X
OSTZIJL,X,X
OSTZLIJ,X,O
OSTZLJI,X,O
OSTZJIL,X,X
OSTZJLI,X,O
OSITLJZ,O,X
OSITLZJ,X,X
OSITJLZ,O,X
OSITJZL,O,X
OSITZLJ,X,X
OSITZJL,X,X
OSILTJZ,O,O
OSILTZJ,X,O
OSILJTZ,O,O
OSILJZT,O,O
OSILZTJ,X,O
OSILZJT,O,O
OSIJTLZ,O,X
OSIJTZL,O,X
OSIJLTZ,O,O
OSIJLZT,O,O
OSIJZTL,O,X
OSIJZLT,O,O
OSIZTLJ,X,X
OSIZTJL,X,X
OSIZLTJ,X,O
OSIZLJT,O,O
OSIZJTL,O,X
OSIZJLT,O,O
OSLTIJZ,O,O
OSLTIZJ,X,O
OSLTJIZ,O,O
OSLTJZI,O,O
OSLTZIJ,X,O
OSLTZJI,X,O
OSLITJZ,O,O
OSLITZJ,X,O
OSLIJTZ,O,O
OSLIJZT,O,O
OSLIZTJ,X,O
OSLIZJT,O,O
OSLJTIZ,O,O
OSLJTZI,O,O
OSLJITZ,O,O
OSLJIZT,O,O
OSLJZTI,O,O
OSLJZIT,O,O
OSLZTIJ,X,O
OSLZTJI,X,O
OSLZITJ,X,O
OSLZIJT,O,O
OSLZJTI,O,O
OSLZJIT,O,O
OSJTILZ,O,X
OSJTIZL,O,X
OSJTLIZ,O,O
OSJTLZI,O,O
OSJTZIL,O,X
OSJTZLI,O,O
OSJITLZ,O,X
OSJITZL,O,X
OSJILTZ,O,O
OSJILZT,O,O
OSJIZTL,O,X
OSJIZLT,O,O
OSJLTIZ,O,O
OSJLTZI,O,O
OSJLITZ,O,O
OSJLIZT,O,O
OSJLZTI,O,O
OSJLZIT,O,O
OSJZTIL,O,X
OSJZTLI,O,O
OSJZITL,O,X
OSJZILT,O,O
OSJZLTI,O,O
OSJZLIT,O,O
OSZTILJ,X,X
OSZTIJL,X,X
OSZTLIJ,X,O
OSZTLJI,X,O
OSZTJIL,X,X
OSZTJLI,X,O
OSZITLJ,X,X
OSZITJL,X,X
OSZILTJ,X,O
OSZILJT,O,O
OSZIJTL,O,X
OSZIJLT,O,O
OSZLTIJ,X,O
OSZLTJI,X,O
OSZLITJ,X,O
OSZLIJT,O,O
OSZLJTI,O,O
OSZLJIT,O,O
OSZJTIL,O,X
OSZJTLI,O,O
OSZJITL,O,X
OSZJILT,O,O
OSZJLTI,O,O
OSZJLIT,O,O
OZTILJS,O,X
OZTILSJ,X,X
OZTIJLS,O,X
OZTIJSL,O,X
OZTISLJ,X,X
OZTISJL,X,X
OZTLIJS,O,X
OZTLISJ,X,O
OZTLJIS,O,X
OZTLJSI,O,X
OZTLSIJ,X,O
OZTLSJI,X,O
OZTJILS,O,X
OZTJISL,O,X
OZTJLIS,O,X
OZTJLSI,O,X
OZTJSIL,O,X
OZTJSLI,O,X
OZTSILJ,X,X
OZTSIJL,X,X
OZTSLIJ,X,O
OZTSLJI,X,O
OZTSJIL,X,X
OZTSJLI,X,O
OZITLJS,O,X
OZITLSJ,X,X
OZITJLS,O,X
OZITJSL,O,X
OZITSLJ,X,X
OZITSJL,X,X
OZILTJS,O,X
OZILTSJ,X,O
OZILJTS,O,X
OZILJST,O,O
OZILSTJ,X,O
OZILSJT,O,O
OZIJTLS,O,X
OZIJTSL,O,X
OZIJLTS,O,X
OZIJLST,O,X
OZIJSTL,O,X
OZIJSLT,O,X
OZISTLJ,X,X
OZISTJL,X,X
OZISLTJ,X,O
OZISLJT,O,O
OZISJTL,O,X
OZISJLT,O,O
OZLTIJS,O,X
OZLTISJ,X,O
OZLTJIS,O,X
OZLTJSI,O,X
OZLTSIJ,X,O
OZLTSJI,X,O
OZLITJS,O,X
OZLITSJ,X,O
OZLIJTS,O,X
OZLIJST,O,O
OZLISTJ,X,O
OZLISJT,O,O
OZLJTIS,O,X
OZLJTSI,O,X
OZLJITS,O,X
OZLJIST,O,O
OZLJSTI,O,O
OZLJSIT,O,O
OZLSTIJ,X,O
OZLSTJI,X,O
OZLSITJ,X,O
OZLSIJT,O,O
OZLSJTI,O,O
OZLSJIT,O,O
OZJTILS,O,X
OZJTISL,O,X
OZJTLIS,O,X
OZJTLSI,O,X
OZJTSIL,O,X
OZJTSLI,O,X
OZJITLS,O,X
OZJITSL,O,X
OZJILTS,O,X
OZJILST,O,X
OZJISTL,O,X
OZJISLT,O,X
OZJLTIS,O,X
OZJLTSI,O,X
OZJLITS,O,X
OZJLIST,O,O
OZJLSTI,O,O
OZJLSIT,O,O
OZJSTIL,O,X
OZJSTLI,O,O
OZJSITL,O,X
OZJSILT,O,O
OZJSLTI,O,O
OZJSLIT,O,O
OZSTILJ,X,X
OZSTIJL,X,X
OZSTLIJ,X,O
OZSTLJI,X,O
OZSTJIL,X,X
OZSTJLI,X,O
OZSITLJ,X,X
OZSITJL,X,X
OZSILTJ,X,O
OZSILJT,O,O
OZSIJTL,O,X
OZSIJLT,O,O
OZSLTIJ,X,O
OZSLTJI,X,O
OZSLITJ,X,O
OZSLIJT,O,O
OZSLJTI,O,O
OZSLJIT,O,O
OZSJTIL,O,X
OZSJTLI,O,O
OZSJITL,O,X
OZSJILT,O,O
OZSJLTI,O,O
OZSJLIT,O,O
