sequence,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBCdBTeBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEuhBciBTeBa?mBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEWiBTeBamBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEicBTeB1mBx?rBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBTeBUhB6?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBSjBUhBl?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEFdBTeBimB/?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhExcBTeBlmBi?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhETeBamBFiBf?sBGsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBTeBUnBC?nBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhETeBFhB3mB+?nBasB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhETeB/mBFiBi?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEFdBTeBimBG?mBcsB
TISJOZL,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZLJO,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZLOJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZJLO,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZJOL,O,O,X,O,X,X,X,X,X,X,X,X,X
TISZOLJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZOJL,O,O,X,O,X,X,X,X,X,X,X,X,X
TISOLJZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TISOLZJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,O,X,X,X,X,X,X,X,X,X
TISOZLJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TISOZJL,O,O,X,O,X,X,X,X,X,X,X,X,X
TIZLJSO,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZLJOS,X,O,X,O,X,X,X,O,X,O,X,X,X
TIZLSJO,X,O,X,O,X,O,X,O,X,X,X,X,X
TIZLSOJ,X,O,X,O,X,O,X,O,X,X,X,X,X
TIZLOJS,X,O,X,O,X,X,X,O,X,O,X,X,X
TIZLOSJ,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZJLSO,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZJLOS,X,O,X,O,X,X,X,O,X,O,X,X,X
TIZJSLO,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZJSOL,O,O,X,O,X,X,X,O,X,X,X,X,X
TIZJOLS,X,O,X,O,X,X,X,O,X,O,X,X,X
TIZJOSL,O,O,X,O,X,X,X,O,X,X,X,X,X
TIZSLJO,O,X,X,O,X,O,X,X,X,X,X,X,X
TIZSLOJ,O,X,X,O,O,O,X,X,X,X,X,X,X
TIZSJLO,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZSJOL,O,O,X,O,X,X,X,O,X,X,X,X,X
TIZSOLJ,O,X,X,O,O,X,X,X,X,X,X,X,X
TIZSOJL,O,O,X,O,X,X,X,O,X,X,X,X,X
TIZOLJS,X,O,X,O,X,X,X,O,X,O,X,X,X
TIZOLSJ,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZOJLS,X,O,X,O,X,X,X,O,X,O,X,X,X
TIZOJSL,O,O,X,O,X,X,X,O,X,X,X,X,X
TIZOSLJ,O,X,X,O,O,X,X,X,X,X,X,X,X
TIZOSJL,O,O,X,O,X,X,X,O,X,X,X,X,X
TIOLJSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,O,O,O,X,X,X,X,X,X,X,X,O
TIOLSJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
TIOLSZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TIOLZJS,X,O,O,O,X,X,X,X,X,X,X,X,O
TIOLZSJ,X,O,X,O,X,X,X,X,X,X,X,X,O
TIOJLSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,X,O,O,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOJZLS,X,O,X,O,X,X,X,O,X,O,X,X,X
TIOJZSL,O,O,X,O,O,X,X,O,X,X,X,X,X
TIOSLJZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOSZJL,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOZLJS,X,O,X,O,X,X,X,O,X,O,X,X,X
TIOZLSJ,X,O,X,O,X,X,X,O,X,X,X,X,X
TIOZJLS,X,O,X,O,X,X,X,O,X,O,X,X,X
TIOZJSL,O,O,X,O,X,X,X,O,X,X,X,X,X
TIOZSLJ,O,X,X,O,O,X,X,X,X,X,X,X,X
TIOZSJL,O,O,X,O,X,X,X,O,X,X,X,X,X
TLIJSZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIJZSO,X,O,X,X,X,O,X,X,X,X,X,X,O
TLIJZOS,X,O,O,X,X,X,X,X,X,X,X,X,O
TLIJOSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,O,O,X,X,X,X,X,X,X,X,X,O
TLISJZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,O,X,O,X,X,X,X,X,O,X,X,X,X
TLISZJO,O,O,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TLISOJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
TLISOZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TLIZJSO,X,O,X,X,X,X,X,X,X,X,X,X,O
TLIZJOS,X,O,O,X,X,X,X,X,X,X,X,X,O
TLIZSJO,X,O,X,X,X,O,X,X,X,X,X,X,X
TLIZSOJ,X,O,X,X,X,O,X,X,X,X,X,X,O
TLIZOJS,X,O,O,X,X,X,X,X,X,X,X,X,O
TLIZOSJ,X,O,X,X,X,X,X,X,X,X,X,X,O
TLIOJSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIOJZS,X,O,O,X,X,X,X,X,X,X,X,X,O
TLIOSJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
TLIOSZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TLIOZJS,X,O,O,X,X,X,X,X,X,X,X,X,O
TLIOZSJ,X,O,X,X,X,X,X,X,X,X,X,X,O
TLJISZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJIZSO,X,O,X,X,X,O,X,X,X,X,X,X,O
TLJIZOS,X,O,O,X,X,X,X,X,X,X,X,X,O
TLJIOSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,O,O,X,X,X,X,X,X,X,X,X,O
TLJSIZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJSZOI,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJSOIZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJSOZI,O,X,O,X,X,X,O,X,X,X,X,X,X
TLJZISO,X,O,X,X,X,O,X,O,X,X,X,X,O
TLJZIOS,X,O,O,X,X,X,X,O,X,X,X,X,O
TLJZSIO,X,O,X,X,X,O,O,O,X,X,X,X,O
TLJZSOI,X,O,X,X,X,O,O,O,X,X,X,X,O
TLJZOIS,X,O,O,X,X,X,X,O,X,X,X,X,O
TLJZOSI,X,O,O,X,X,X,O,O,X,X,X,X,O
TLJOISZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,O,O,X,X,X,X,X,X,X,X,X,O
TLJOSIZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJOSZI,O,X,O,X,X,X,O,X,X,X,X,X,X
TLJOZIS,X,O,O,X,X,X,X,O,X,X,X,X,O
TLJOZSI,X,O,O,X,X,X,O,O,X,X,X,X,O
TLSIJZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,X,O,X,X,X,X,X,O,X,X,X,X
TLSIZJO,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TLSIOJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
TLSIOZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TLSJIZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,O,X,X,X,X,X,O,X,X,X,X
TLSJZIO,O,X,X,X,X,X,O,X,X,X,X,X,X
TLSJZOI,O,X,X,X,X,X,O,X,X,X,X,X,X
TLSJOIZ,O,X,O,X,X,X,X,X,O,X,X,X,X
TLSJOZI,O,X,O,X,X,X,O,X,O,X,X,X,X
TLSZIJO,O,O,X,X,X,X,O,X,X,X,X,X,X
TLSZIOJ,O,O,X,X,X,X,O,X,O,X,X,X,X
TLSZJIO,O,O,X,X,X,X,O,X,X,X,X,X,X
TLSZJOI,O,O,X,X,X,X,O,X,X,X,X,X,X
TLSZOIJ,O,O,X,X,X,X,O,X,O,X,X,X,X
TLSZOJI,O,O,X,X,X,X,O,X,O,X,X,X,X
TLSOIJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
TLSOIZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TLSOJIZ,O,X,O,X,X,X,X,X,O,X,X,X,X
TLSOJZI,O,X,O,X,X,X,O,X,O,X,X,X,X
TLSOZIJ,O,O,X,X,X,X,O,X,O,X,X,X,X
TLSOZJI,O,O,X,X,X,X,O,X,O,X,X,X,X
TLZIJSO,X,O,X,X,X,X,X,O,X,X,X,X,O
TLZIJOS,X,O,O,X,X,X,X,O,X,X,X,X,O
TLZISJO,X,O,X,X,X,O,X,O,X,X,X,X,X
TLZISOJ,X,O,X,X,X,O,X,O,X,X,X,X,O
TLZIOJS,X,O,O,X,X,X,X,O,X,X,X,X,O
TLZIOSJ,X,O,X,X,X,X,X,O,X,X,X,X,O
TLZJISO,X,O,X,X,X,X,X,O,X,X,X,X,O
TLZJIOS,X,O,O,X,X,X,X,O,X,X,X,X,O
TLZJSIO,X,O,X,X,X,X,O,O,X,X,X,X,O
TLZJSOI,X,O,X,X,X,X,O,O,X,X,X,X,O
TLZJOIS,X,O,O,X,X,X,X,O,X,X,X,X,O
TLZJOSI,X,O,O,X,X,X,O,O,X,X,X,X,O
TLZSIJO,X,O,X,X,X,O,O,O,X,X,X,X,X
TLZSIOJ,X,O,X,X,X,O,O,O,X,X,X,X,O
TLZSJIO,X,O,X,X,X,O,O,O,X,X,X,X,X
TLZSJOI,X,O,X,X,X,O,O,O,X,X,X,X,X
TLZSOIJ,X,O,X,X,X,O,O,O,X,X,X,X,O
TLZSOJI,X,O,X,X,X,O,O,O,X,X,X,X,X
TLZOIJS,X,O,O,X,X,X,X,O,X,X,X,X,O
TLZOISJ,X,O,X,X,X,X,X,O,X,X,X,X,O
TLZOJIS,X,O,O,X,X,X,X,O,X,X,X,X,O
TLZOJSI,X,O,O,X,X,X,O,O,X,X,X,X,O
TLZOSIJ,X,O,X,X,X,X,O,O,X,X,X,X,O
TLZOSJI,X,O,X,X,X,X,O,O,X,X,X,X,X
TLOIJSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOIJZS,X,O,O,X,X,X,X,X,X,X,X,X,O
TLOISJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
TLOISZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TLOIZJS,X,O,O,X,X,X,X,X,X,X,X,X,O
TLOIZSJ,X,O,X,X,X,X,X,X,X,X,X,X,O
TLOJISZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOJIZS,X,O,O,X,X,X,X,X,X,X,X,X,O
TLOJSIZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOJSZI,O,X,O,X,X,X,O,X,X,X,X,X,X
TLOJZIS,X,O,O,X,X,X,X,O,X,X,X,X,O
TLOJZSI,X,O,O,X,X,X,O,O,X,X,X,X,O
TLOSIJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
TLOSIZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TLOSJIZ,O,X,O,X,X,X,X,X,O,X,X,X,X
TLOSJZI,O,X,O,X,X,X,O,X,O,X,X,X,X
TLOSZIJ,O,O,X,X,X,X,O,X,O,X,X,X,X
TLOSZJI,O,O,X,X,X,X,O,X,O,X,X,X,X
TLOZIJS,X,O,O,X,X,X,X,O,X,X,X,X,O
TLOZISJ,X,O,X,X,X,X,X,O,X,X,X,X,O
TLOZJIS,X,O,O,X,X,X,X,O,X,X,X,X,O
TLOZJSI,X,O,O,X,X,X,O,O,X,X,X,X,O
TLOZSIJ,X,O,X,X,X,X,O,O,X,X,X,X,O
TLOZSJI,X,O,X,X,X,X,O,O,X,X,X,X,X
TJILSZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TJILSOZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TJILZSO,X,X,X,O,X,O,X,X,X,X,X,X,X
TJILZOS,X,X,O,O,X,X,X,X,X,X,X,X,X
TJILOSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TJILOZS,X,X,O,O,X,X,X,X,X,X,X,X,X
TJISLZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TJISLOZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TJISZLO,O,X,X,O,X,X,X,X,X,X,X,X,X
TJISZOL,O,X,X,O,X,X,X,X,X,X,X,X,X
TJISOLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TJISOZL,O,X,X,O,X,X,X,X,X,X,X,X,X
TJIZLSO,X,X,X,O,X,O,X,O,X,X,X,X,X
TJIZLOS,X,O,X,O,X,X,X,O,X,O,X,X,X
TJIZSLO,O,X,X,O,O,O,X,X,X,X,X,X,X
TJIZSOL,O,O,X,O,O,X,X,O,X,X,X,X,X
TJIZOLS,X,O,X,O,X,X,X,O,X,O,X,X,X
TJIZOSL,O,O,X,O,O,X,X,O,X,X,X,X,X
TJIOLSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIOLZS,X,X,O,O,X,X,X,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIOSZL,O,X,X,O,X,X,X,X,X,X,X,X,X
TJIOZLS,X,O,X,O,X,X,X,O,X,O,X,X,X
TJIOZSL,O,O,X,O,O,X,X,O,X,X,X,X,X
TJLISZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLISOZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLIZSO,X,O,X,X,X,O,X,X,X,X,X,X,X
TJLIZOS,X,O,O,X,X,X,X,X,X,X,X,X,X
TJLIOSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLIOZS,X,O,O,X,X,X,X,X,X,X,X,X,X
TJLSIZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLSZIO,O,X,X,X,X,X,O,X,X,X,X,X,X
TJLSZOI,O,X,X,X,X,X,O,X,X,X,X,X,X
TJLSOIZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLSOZI,O,X,O,X,X,X,O,X,X,X,X,X,X
TJLZISO,X,O,X,X,X,O,X,O,X,X,X,X,X
TJLZIOS,X,O,O,X,X,X,X,O,X,X,X,X,X
TJLZSIO,X,O,X,X,X,O,O,O,X,X,X,X,X
TJLZSOI,X,O,X,X,X,O,O,O,X,X,X,X,X
TJLZOIS,X,O,O,X,X,X,X,O,X,X,X,X,X
TJLZOSI,X,O,O,X,X,X,O,O,X,X,X,X,X
TJLOISZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLOIZS,X,O,O,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLOSZI,O,X,O,X,X,X,O,X,X,X,X,X,X
TJLOZIS,X,O,O,X,X,X,X,O,X,X,X,X,X
TJLOZSI,X,O,O,X,X,X,O,O,X,X,X,X,X
TJSILZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSILOZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSIZLO,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSIZOL,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSIOZL,O,X,X,X,X,X,X,X,X,X,X,O,X
TJSLIZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSLIOZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSLZIO,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSLZOI,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSLOIZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSLOZI,O,X,O,X,X,X,X,X,X,X,X,O,X
TJSZILO,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSZIOL,O,X,X,X,X,X,X,O,X,X,X,X,X
TJSZLIO,O,X,X,X,X,X,X,O,X,X,X,X,X
TJSZLOI,O,X,X,X,X,X,X,O,X,X,X,X,X
TJSZOIL,O,X,X,X,X,X,X,O,X,X,X,O,X
TJSZOLI,O,X,X,X,X,X,X,O,X,X,X,O,X
TJSOILZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSOIZL,O,X,X,X,X,X,X,X,X,X,X,O,X
TJSOLIZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSOLZI,O,X,O,X,X,X,X,X,X,X,X,O,X
TJSOZIL,O,X,X,X,X,X,X,O,X,X,X,O,X
TJSOZLI,O,X,X,X,X,X,X,O,X,X,X,O,X
TJZILSO,X,O,X,X,X,O,X,O,X,X,X,X,X
TJZILOS,X,O,X,X,X,X,X,O,X,O,X,X,X
TJZISLO,O,X,X,X,O,O,X,X,X,X,X,X,X
TJZISOL,O,O,X,X,O,X,X,O,X,X,X,X,X
TJZIOLS,X,O,X,X,X,X,X,O,X,O,X,X,X
TJZIOSL,O,O,X,X,O,X,X,O,X,X,X,X,X
TJZLISO,X,O,X,X,X,O,X,O,X,X,X,X,X
TJZLIOS,X,O,O,X,X,X,X,O,X,X,X,X,X
TJZLSIO,X,O,X,X,X,O,X,O,X,X,X,X,X
TJZLSOI,X,O,X,X,X,O,X,O,X,X,X,X,X
TJZLOIS,X,O,O,X,X,X,X,O,X,X,X,X,X
TJZLOSI,X,O,O,X,X,X,X,O,X,X,X,X,X
TJZSILO,O,X,X,X,O,O,X,X,X,X,X,X,X
TJZSIOL,O,O,X,X,O,X,X,O,X,X,X,X,X
TJZSLIO,O,O,X,X,O,O,X,O,X,X,X,X,X
TJZSLOI,O,O,X,X,O,O,X,O,X,X,X,X,X
TJZSOIL,O,O,X,X,O,X,X,O,X,X,X,X,X
TJZSOLI,O,O,X,X,O,X,X,O,X,X,X,X,X
TJZOILS,X,O,X,X,X,X,X,O,X,O,X,X,X
TJZOISL,O,O,X,X,O,X,X,O,X,X,X,X,X
TJZOLIS,X,O,O,X,X,X,X,O,X,X,X,X,X
TJZOLSI,X,O,O,X,X,X,X,O,X,X,X,X,X
TJZOSIL,O,O,X,X,O,X,X,O,X,X,X,X,X
TJZOSLI,O,O,X,X,O,X,X,O,X,X,X,X,X
TJOILSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOILZS,X,X,O,O,X,X,X,X,X,X,X,X,X
TJOISLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TJOISZL,O,X,X,O,X,X,X,X,X,X,X,X,X
TJOIZLS,X,O,X,O,X,X,X,O,X,O,X,X,X
TJOIZSL,O,O,X,O,O,X,X,O,X,X,X,X,X
TJOLISZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOLIZS,X,O,O,X,X,X,X,X,X,X,X,X,X
TJOLSIZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOLSZI,O,X,O,X,X,X,O,X,X,X,X,X,X
TJOLZIS,X,O,O,X,X,X,X,O,X,X,X,X,X
TJOLZSI,X,O,O,X,X,X,O,O,X,X,X,X,X
TJOSILZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TJOSIZL,O,X,X,X,X,X,X,X,X,X,X,O,X
TJOSLIZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOSLZI,O,X,O,X,X,X,X,X,X,X,X,O,X
TJOSZIL,O,X,X,X,X,X,X,O,X,X,X,O,X
TJOSZLI,O,X,X,X,X,X,X,O,X,X,X,O,X
TJOZILS,X,O,X,X,X,X,X,O,X,O,X,X,X
TJOZISL,O,O,X,X,O,X,X,O,X,X,X,X,X
TJOZLIS,X,O,O,X,X,X,X,O,X,X,X,X,X
TJOZLSI,X,O,O,X,X,X,X,O,X,X,X,X,X
TJOZSIL,O,O,X,X,O,X,X,O,X,X,X,X,X
TJOZSLI,O,O,X,X,O,X,X,O,X,X,X,X,X
TSILJZO,O,X,X,X,X,X,X,X,X,X,O,X,X
TSILJOZ,O,X,X,X,X,X,X,X,O,X,O,X,X
TSILZJO,O,X,X,X,X,X,X,X,X,X,X,X,X
TSILZOJ,O,X,X,X,X,X,X,X,O,X,X,X,X
TSILOJZ,O,X,X,X,X,X,X,X,O,X,O,X,X
TSILOZJ,O,X,X,X,X,X,X,X,O,X,X,X,X
TSIJLZO,O,X,X,X,X,X,X,X,X,X,O,X,X
TSIJLOZ,O,X,X,X,X,X,X,X,X,X,O,X,X
TSIJZLO,O,X,X,X,X,X,X,X,X,X,O,X,X
TSIJZOL,O,X,X,X,X,X,X,X,X,X,O,X,X
TSIJOLZ,O,X,X,X,X,X,X,X,X,X,O,X,X
