sequence,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkByqBUgBTVB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkBalBzlB0bB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?0kBvlBamBzWB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkBTlBamB0cB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?amBTlBvkB0aB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?amBvlB0kBTaB
IZJSTOL,O,O,O,O,O,O
IZJSLTO,O,O,O,O,O,O
IZJSLOT,O,O,O,O,O,O
IZJSOTL,O,O,O,O,O,O
IZJSOLT,O,O,O,O,O,O
IZJOTLS,X,O,X,O,O,O
IZJOTSL,X,O,O,O,O,O
IZJOLTS,X,O,X,O,O,O
IZJOLST,X,O,X,O,O,O
IZJOSTL,X,O,O,O,O,O
IZJOSLT,X,O,O,O,O,O
IZSTLJO,O,X,O,X,X,O
IZSTLOJ,O,X,O,X,X,O
IZSTJLO,O,X,O,X,O,O
IZSTJOL,O,X,O,X,O,O
IZSTOLJ,O,X,X,X,O,O
IZSTOJL,O,X,X,X,O,O
IZSLTJO,O,X,O,X,X,O
IZSLTOJ,O,O,O,X,X,O
IZSLJTO,O,O,O,X,O,O
IZSLJOT,O,O,O,X,O,O
IZSLOTJ,O,O,O,X,O,O
IZSLOJT,O,O,O,X,O,O
IZSJTLO,O,O,O,X,O,O
IZSJTOL,O,O,O,O,O,O
IZSJLTO,O,O,O,X,O,O
IZSJLOT,O,O,O,X,O,O
IZSJOTL,O,O,O,O,O,O
IZSJOLT,O,O,O,O,O,O
IZSOTLJ,O,X,X,X,O,O
IZSOTJL,O,X,X,X,O,O
IZSOLTJ,O,O,O,O,O,O
IZSOLJT,O,O,O,O,O,O
IZSOJTL,O,O,O,O,O,O
IZSOJLT,O,O,O,O,O,O
IZOTLJS,X,O,X,X,X,X
IZOTLSJ,X,O,X,X,X,X
IZOTJLS,X,O,X,X,X,O
IZOTJSL,X,O,X,X,X,O
IZOTSLJ,X,X,X,X,X,O
IZOTSJL,X,X,X,X,X,O
IZOLTJS,X,O,X,O,X,X
IZOLTSJ,X,O,X,O,X,X
IZOLJTS,X,O,X,O,O,O
IZOLJST,X,O,X,O,O,O
IZOLSTJ,X,O,X,O,O,O
IZOLSJT,X,O,X,O,O,O
IZOJTLS,X,O,X,O,O,O
IZOJTSL,X,O,O,O,O,O
IZOJLTS,X,O,X,O,O,O
IZOJLST,X,O,X,O,O,O
IZOJSTL,X,O,O,O,O,O
IZOJSLT,X,O,O,O,O,O
IZOSTLJ,X,X,X,X,O,O
IZOSTJL,X,X,X,X,O,O
IZOSLTJ,X,O,O,O,O,O
IZOSLJT,X,O,O,O,O,O
IZOSJTL,X,O,O,O,O,O
IZOSJLT,X,O,O,O,O,O
IOTLJSZ,X,O,X,O,O,X
IOTLJZS,X,O,X,O,O,X
IOTLSJZ,X,X,X,O,O,X
IOTLSZJ,X,X,X,O,O,X
IOTLZJS,X,O,X,O,X,X
IOTLZSJ,X,O,X,O,X,X
IOTJLSZ,X,O,X,O,O,X
IOTJLZS,X,O,X,O,O,X
IOTJSLZ,X,O,X,O,O,X
IOTJSZL,X,O,X,O,O,X
IOTJZLS,X,O,X,O,O,X
IOTJZSL,X,O,X,O,O,X
IOTSLJZ,X,O,X,O,O,X
IOTSLZJ,X,O,X,O,O,X
IOTSJLZ,X,O,X,O,O,X
IOTSJZL,X,O,X,O,O,X
IOTSZLJ,X,X,X,X,O,X
IOTSZJL,X,X,X,X,O,X
IOTZLJS,X,O,X,X,X,X
IOTZLSJ,X,O,X,X,X,X
IOTZJLS,X,O,X,X,X,X
IOTZJSL,X,O,X,X,X,X
IOTZSLJ,X,X,X,X,X,X
IOTZSJL,X,X,X,X,X,X
IOLTJSZ,X,O,O,O,O,X
IOLTJZS,X,O,O,O,O,X
IOLTSJZ,X,X,O,O,O,X
IOLTSZJ,X,X,O,O,O,X
IOLTZJS,X,O,X,O,X,X
IOLTZSJ,X,O,X,O,X,X
IOLJTSZ,O,O,O,O,O,O
IOLJTZS,X,O,O,O,O,X
IOLJSTZ,O,O,O,O,O,O
IOLJSZT,O,O,O,O,O,O
IOLJZTS,X,O,O,O,O,X
IOLJZST,X,O,O,O,O,X
IOLSTJZ,O,O,O,O,O,X
IOLSTZJ,O,O,O,O,O,X
IOLSJTZ,O,O,O,O,O,O
IOLSJZT,O,O,O,O,O,O
IOLSZTJ,O,O,O,O,O,O
IOLSZJT,O,O,O,O,O,O
IOLZTJS,X,O,X,O,X,X
IOLZTSJ,X,O,X,O,X,X
IOLZJTS,X,O,O,O,O,X
IOLZJST,X,O,O,O,O,X
IOLZSTJ,X,O,O,O,O,X
IOLZSJT,X,O,O,O,O,X
IOJTLSZ,O,O,O,O,O,O
IOJTLZS,X,O,O,O,O,X
IOJTSLZ,O,O,O,O,O,O
IOJTSZL,O,O,O,O,O,O
IOJTZLS,X,O,X,O,O,O
IOJTZSL,X,O,O,O,O,O
IOJLTSZ,O,O,O,O,O,O
IOJLTZS,X,O,O,O,O,X
IOJLSTZ,O,O,O,O,O,O
IOJLSZT,O,O,O,O,O,O
IOJLZTS,X,O,O,O,O,X
IOJLZST,X,O,O,O,O,X
IOJSTLZ,O,O,O,O,O,O
IOJSTZL,O,O,O,O,O,O
IOJSLTZ,O,O,O,O,O,O
IOJSLZT,O,O,O,O,O,O
IOJSZTL,O,O,O,O,O,O
IOJSZLT,O,O,O,O,O,O
IOJZTLS,X,O,X,O,O,O
IOJZTSL,X,O,O,O,O,O
IOJZLTS,X,O,X,O,O,O
IOJZLST,X,O,X,O,O,O
IOJZSTL,X,O,O,O,O,O
IOJZSLT,X,O,O,O,O,O
IOSTLJZ,O,O,X,O,O,X
IOSTLZJ,O,O,X,O,O,X
IOSTJLZ,O,O,X,O,O,X
IOSTJZL,O,O,X,O,O,X
IOSTZLJ,O,X,X,X,O,X
IOSTZJL,O,X,X,X,O,X
IOSLTJZ,O,O,O,O,O,X
IOSLTZJ,O,O,O,O,O,X
IOSLJTZ,O,O,O,O,O,O
IOSLJZT,O,O,O,O,O,O
IOSLZTJ,O,O,O,O,O,O
IOSLZJT,O,O,O,O,O,O
IOSJTLZ,O,O,O,O,O,O
IOSJTZL,O,O,O,O,O,O
IOSJLTZ,O,O,O,O,O,O
IOSJLZT,O,O,O,O,O,O
IOSJZTL,O,O,O,O,O,O
IOSJZLT,O,O,O,O,O,O
IOSZTLJ,O,X,X,X,O,O
IOSZTJL,O,X,X,X,O,O
IOSZLTJ,O,O,O,O,O,O
IOSZLJT,O,O,O,O,O,O
IOSZJTL,O,O,O,O,O,O
IOSZJLT,O,O,O,O,O,O
IOZTLJS,X,O,X,X,X,X
IOZTLSJ,X,O,X,X,X,X
IOZTJLS,X,O,X,X,X,O
IOZTJSL,X,O,X,X,X,O
IOZTSLJ,X,X,X,X,X,O
IOZTSJL,X,X,X,X,X,O
IOZLTJS,X,O,X,O,X,X
IOZLTSJ,X,O,X,O,X,X
IOZLJTS,X,O,X,O,O,O
IOZLJST,X,O,X,O,O,O
IOZLSTJ,X,O,X,O,O,O
IOZLSJT,X,O,X,O,O,O
IOZJTLS,X,O,X,O,O,O
IOZJTSL,X,O,O,O,O,O
IOZJLTS,X,O,X,O,O,O
IOZJLST,X,O,X,O,O,O
IOZJSTL,X,O,O,O,O,O
IOZJSLT,X,O,O,O,O,O
IOZSTLJ,X,X,X,X,O,O
IOZSTJL,X,X,X,X,O,O
IOZSLTJ,X,O,O,O,O,O
IOZSLJT,X,O,O,O,O,O
IOZSJTL,X,O,O,O,O,O
IOZSJLT,X,O,O,O,O,O
LTIJSZO,O,X,O,O,X,O
LTIJSOZ,O,O,O,O,O,O
LTIJZSO,O,X,O,O,X,O
LTIJZOS,X,O,O,O,O,X
LTIJOSZ,O,O,O,O,O,O
LTIJOZS,X,O,O,O,O,X
LTISJZO,O,X,O,X,X,O
LTISJOZ,O,X,O,X,X,O
LTISZJO,O,X,O,X,X,O
LTISZOJ,O,X,O,X,X,O
LTISOJZ,O,X,O,X,X,X
LTISOZJ,O,X,O,X,X,X
LTIZJSO,X,X,X,O,X,X
LTIZJOS,X,X,X,O,X,X
LTIZSJO,X,X,X,X,X,X
LTIZSOJ,X,O,X,X,X,X
LTIZOJS,X,O,X,O,X,X
LTIZOSJ,X,O,X,O,X,X
LTIOJSZ,X,O,O,O,O,X
LTIOJZS,X,O,O,O,O,X
LTIOSJZ,X,X,O,O,O,X
LTIOSZJ,X,X,O,O,O,X
LTIOZJS,X,O,X,O,X,X
LTIOZSJ,X,O,X,O,X,X
LTJISZO,O,X,O,O,X,O
LTJISOZ,O,O,O,O,O,O
LTJIZSO,O,X,O,O,X,O
LTJIZOS,X,O,O,O,O,X
LTJIOSZ,O,O,O,O,O,O
LTJIOZS,X,O,O,O,O,X
LTJSIZO,O,X,O,X,X,O
LTJSIOZ,O,X,O,X,X,O
LTJSZIO,O,X,O,X,X,O
LTJSZOI,O,X,O,X,X,O
LTJSOIZ,O,X,O,X,X,X
LTJSOZI,O,X,O,X,X,X
LTJZISO,X,X,X,O,X,X
LTJZIOS,X,X,X,O,X,X
LTJZSIO,X,X,X,X,X,X
LTJZSOI,X,X,X,X,X,X
LTJZOIS,X,X,X,O,X,X
LTJZOSI,X,X,X,O,X,X
LTJOISZ,X,O,O,O,O,X
LTJOIZS,X,O,O,O,O,X
LTJOSIZ,X,X,O,O,O,X
LTJOSZI,X,X,O,O,O,X
LTJOZIS,X,O,X,O,X,X
LTJOZSI,X,O,X,O,X,X
LTSIJZO,O,X,O,X,X,O
LTSIJOZ,O,X,O,X,X,O
LTSIZJO,O,X,O,X,X,O
LTSIZOJ,O,X,O,X,X,O
LTSIOJZ,O,X,O,X,X,X
LTSIOZJ,O,X,O,X,X,X
LTSJIZO,O,X,O,X,X,O
LTSJIOZ,O,X,O,X,X,O
LTSJZIO,O,X,O,X,X,O
LTSJZOI,O,X,O,X,X,O
LTSJOIZ,O,X,O,X,X,X
LTSJOZI,O,X,O,X,X,X
LTSZIJO,O,X,O,X,X,O
LTSZIOJ,O,X,O,X,X,O
LTSZJIO,O,X,O,X,X,O
LTSZJOI,O,X,O,X,X,O
LTSZOIJ,O,X,O,X,X,O
LTSZOJI,O,X,O,X,X,O
LTSOIJZ,O,X,O,X,X,X
LTSOIZJ,O,X,O,X,X,X
LTSOJIZ,O,X,O,X,X,X
LTSOJZI,O,X,O,X,X,X
LTSOZIJ,O,X,O,X,X,X
LTSOZJI,O,X,O,X,X,X
LTZIJSO,X,X,X,O,X,X
LTZIJOS,X,X,X,O,X,X
LTZISJO,X,X,X,X,X,X
LTZISOJ,X,O,X,X,X,X
LTZIOJS,X,O,X,O,X,X
LTZIOSJ,X,O,X,O,X,X
LTZJISO,X,X,X,O,X,X
LTZJIOS,X,X,X,O,X,X
LTZJSIO,X,X,X,X,X,X
LTZJSOI,X,X,X,X,X,X
LTZJOIS,X,X,X,O,X,X
LTZJOSI,X,X,X,O,X,X
LTZSIJO,X,X,X,X,X,X
LTZSIOJ,X,O,X,X,X,X
LTZSJIO,X,X,X,X,X,X
LTZSJOI,X,X,X,X,X,X
LTZSOIJ,X,O,X,X,X,X
LTZSOJI,X,O,X,X,X,X
LTZOIJS,X,O,X,O,X,X
LTZOISJ,X,O,X,O,X,X
LTZOJIS,X,O,X,O,X,X
LTZOJSI,X,O,X,O,X,X
LTZOSIJ,X,O,X,O,X,X
LTZOSJI,X,O,X,O,X,X
LTOIJSZ,X,O,O,O,O,X
LTOIJZS,X,O,O,O,O,X
LTOISJZ,X,X,O,O,O,X
LTOISZJ,X,X,O,O,O,X
LTOIZJS,X,O,X,O,X,X
LTOIZSJ,X,O,X,O,X,X
LTOJISZ,X,O,O,O,O,X
LTOJIZS,X,O,O,O,O,X
LTOJSIZ,X,X,O,O,O,X
LTOJSZI,X,X,O,O,O,X
LTOJZIS,X,O,X,O,X,X
LTOJZSI,X,O,X,O,X,X
LTOSIJZ,X,X,O,O,O,X
LTOSIZJ,X,X,O,O,O,X
LTOSJIZ,X,X,O,O,O,X
LTOSJZI,X,X,O,O,O,X
LTOSZIJ,X,X,O,O,O,X
LTOSZJI,X,X,O,O,O,X
LTOZIJS,X,O,X,O,X,X
LTOZISJ,X,O,X,O,X,X
LTOZJIS,X,O,X,O,X,X
LTOZJSI,X,O,X,O,X,X
LTOZSIJ,X,O,X,O,X,X
LTOZSJI,X,O,X,O,X,X
LITJSZO,O,X,O,O,X,O
LITJSOZ,O,O,O,O,O,O
LITJZSO,O,X,O,O,X,O
LITJZOS,X,O,O,O,O,X
LITJOSZ,O,O,O,O,O,O
LITJOZS,X,O,O,O,O,X
LITSJZO,O,X,O,X,X,O
LITSJOZ,O,X,O,X,X,O
LITSZJO,O,X,O,X,X,O
LITSZOJ,O,X,O,X,X,O
LITSOJZ,O,X,O,X,X,X
LITSOZJ,O,X,O,X,X,X
LITZJSO,X,X,X,O,X,X
LITZJOS,X,X,X,O,X,X
LITZSJO,X,X,X,X,X,X
LITZSOJ,X,O,X,X,X,X
LITZOJS,X,O,X,O,X,X
LITZOSJ,X,O,X,O,X,X
LITOJSZ,X,O,O,O,O,X
LITOJZS,X,O,O,O,O,X
LITOSJZ,X,X,O,O,O,X
LITOSZJ,X,X,O,O,O,X
LITOZJS,X,O,X,O,X,X
LITOZSJ,X,O,X,O,X,X
LIJTSZO,O,O,O,O,O,O
LIJTSOZ,O,O,O,O,O,O
LIJTZSO,O,X,O,O,X,O
LIJTZOS,X,O,O,O,O,O
LIJTOSZ,O,O,O,O,O,O
LIJTOZS,X,O,O,O,O,X
LIJSTZO,O,O,O,O,O,O
LIJSTOZ,O,O,O,O,O,O
LIJSZTO,O,O,O,O,O,O
LIJSZOT,O,O,O,O,O,O
LIJSOTZ,O,O,O,O,O,O
LIJSOZT,O,O,O,O,O,O
LIJZTSO,O,X,O,O,X,O
LIJZTOS,X,O,O,O,O,O
LIJZSTO,O,X,O,O,X,O
LIJZSOT,O,O,O,O,X,O
LIJZOTS,X,O,O,O,O,O
LIJZOST,X,O,O,O,O,O
LIJOTSZ,O,O,O,O,O,O
LIJOTZS,X,O,O,O,O,X
LIJOSTZ,O,O,O,O,O,O
LIJOSZT,O,O,O,O,O,O
LIJOZTS,X,O,O,O,O,X
LIJOZST,X,O,O,O,O,X
LISTJZO,O,O,O,X,X,O
LISTJOZ,O,O,O,X,X,O
LISTZJO,O,X,O,X,X,O
LISTZOJ,O,O,O,X,X,O
LISTOJZ,O,O,O,X,X,X
LISTOZJ,O,O,O,X,X,X
LISJTZO,O,O,O,O,O,O
LISJTOZ,O,O,O,O,O,O
LISJZTO,O,O,O,O,O,O
LISJZOT,O,O,O,O,O,O
LISJOTZ,O,O,O,O,O,O
LISJOZT,O,O,O,O,O,O
LISZTJO,O,X,O,X,X,O
LISZTOJ,O,O,O,X,X,O
LISZJTO,O,O,O,O,O,O
LISZJOT,O,O,O,O,O,O
LISZOTJ,O,O,O,O,O,O
LISZOJT,O,O,O,O,O,O
LISOTJZ,O,O,O,O,O,X
LISOTZJ,O,O,O,O,O,X
LISOJTZ,O,O,O,O,O,O
LISOJZT,O,O,O,O,O,O
LISOZTJ,O,O,O,O,O,O
LISOZJT,O,O,O,O,O,O
LIZTJSO,X,X,X,O,X,X
LIZTJOS,X,X,X,O,X,X
LIZTSJO,X,X,X,X,X,X
LIZTSOJ,X,O,X,X,X,X
LIZTOJS,X,O,X,O,X,X
LIZTOSJ,X,O,X,O,X,X
LIZJTSO,O,X,O,O,X,O
LIZJTOS,X,O,O,O,O,O
LIZJSTO,O,X,O,O,X,O
LIZJSOT,O,O,O,O,X,O
LIZJOTS,X,O,O,O,O,O
LIZJOST,X,O,O,O,O,O
LIZSTJO,O,X,O,X,X,O
LIZSTOJ,O,O,O,X,X,O
LIZSJTO,O,X,O,O,X,O
LIZSJOT,O,O,O,O,X,O
LIZSOTJ,O,O,O,O,X,O
LIZSOJT,O,O,O,O,X,O
LIZOTJS,X,O,X,O,X,X
LIZOTSJ,X,O,X,O,X,X
LIZOJTS,X,O,O,O,O,O
LIZOJST,X,O,O,O,O,O
LIZOSTJ,X,O,O,O,O,O
LIZOSJT,X,O,O,O,O,O
LIOTJSZ,X,O,O,O,O,X
LIOTJZS,X,O,O,O,O,X
LIOTSJZ,X,X,O,O,O,X
LIOTSZJ,X,X,O,O,O,X
LIOTZJS,X,O,X,O,X,X
LIOTZSJ,X,O,X,O,X,X
LIOJTSZ,O,O,O,O,O,O
LIOJTZS,X,O,O,O,O,X
LIOJSTZ,O,O,O,O,O,O
LIOJSZT,O,O,O,O,O,O
LIOJZTS,X,O,O,O,O,X
LIOJZST,X,O,O,O,O,X
LIOSTJZ,O,O,O,O,O,X
LIOSTZJ,O,O,O,O,O,X
LIOSJTZ,O,O,O,O,O,O
LIOSJZT,O,O,O,O,O,O
LIOSZTJ,O,O,O,O,O,O
LIOSZJT,O,O,O,O,O,O
LIOZTJS,X,O,X,O,X,X
LIOZTSJ,X,O,X,O,X,X
LIOZJTS,X,O,O,O,O,X
LIOZJST,X,O,O,O,O,X
LIOZSTJ,X,O,O,O,O,X
LIOZSJT,X,O,O,O,O,X
LJTISZO,O,X,O,O,X,O
LJTISOZ,O,O,O,O,O,O
LJTIZSO,O,X,O,O,X,O
LJTIZOS,X,O,O,O,O,X
LJTIOSZ,O,O,O,O,O,O
LJTIOZS,X,O,O,O,O,X
LJTSIZO,O,X,O,X,X,O
LJTSIOZ,O,X,O,X,X,O
LJTSZIO,O,X,O,X,X,O
LJTSZOI,O,X,O,X,X,O
LJTSOIZ,O,X,O,X,X,X
LJTSOZI,O,X,O,X,X,X
LJTZISO,X,X,X,O,X,X
LJTZIOS,X,X,X,O,X,X
LJTZSIO,X,X,X,X,X,X
LJTZSOI,X,X,X,X,X,X
LJTZOIS,X,X,X,O,X,X
LJTZOSI,X,X,X,O,X,X
LJTOISZ,X,O,O,O,O,X
LJTOIZS,X,O,O,O,O,X
LJTOSIZ,X,X,O,O,O,X
LJTOSZI,X,X,O,O,O,X
LJTOZIS,X,O,X,O,X,X
LJTOZSI,X,O,X,O,X,X
LJITSZO,O,O,O,O,O,O
LJITSOZ,O,O,O,O,O,O
LJITZSO,O,X,O,O,X,O
LJITZOS,X,O,O,O,O,O
LJITOSZ,O,O,O,O,O,O
LJITOZS,X,O,O,O,O,X
LJISTZO,O,O,O,O,O,O
LJISTOZ,O,O,O,O,O,O
LJISZTO,O,O,O,O,O,O
LJISZOT,O,O,O,O,O,O
LJISOTZ,O,O,O,O,O,O
LJISOZT,O,O,O,O,O,O
LJIZTSO,O,X,O,O,X,O
LJIZTOS,X,O,O,O,O,O
LJIZSTO,O,X,O,O,X,O
LJIZSOT,O,O,O,O,X,O
LJIZOTS,X,O,O,O,O,O
LJIZOST,X,O,O,O,O,O
LJIOTSZ,O,O,O,O,O,O
LJIOTZS,X,O,O,O,O,X
LJIOSTZ,O,O,O,O,O,O
LJIOSZT,O,O,O,O,O,O
LJIOZTS,X,O,O,O,O,X
LJIOZST,X,O,O,O,O,X
LJSTIZO,O,O,O,X,X,O
LJSTIOZ,O,O,O,X,X,O
LJSTZIO,O,X,O,X,X,O
LJSTZOI,O,X,O,X,X,O
LJSTOIZ,O,O,O,X,X,X
LJSTOZI,O,O,O,X,X,X
LJSITZO,O,O,O,O,O,O
LJSITOZ,O,O,O,O,O,O
LJSIZTO,O,O,O,O,O,O
LJSIZOT,O,O,O,O,O,O
LJSIOTZ,O,O,O,O,O,O
LJSIOZT,O,O,O,O,O,O
LJSZTIO,O,X,O,X,X,O
LJSZTOI,O,X,O,X,X,O
LJSZITO,O,O,O,O,O,O
LJSZIOT,O,O,O,O,O,O
LJSZOTI,O,O,O,O,O,O
LJSZOIT,O,O,O,O,O,O
LJSOTIZ,O,O,O,O,O,X
LJSOTZI,O,O,O,O,O,X
LJSOITZ,O,O,O,O,O,O
LJSOIZT,O,O,O,O,O,O
LJSOZTI,O,O,O,O,O,O
LJSOZIT,O,O,O,O,O,O
LJZTISO,X,X,X,O,X,X
LJZTIOS,X,X,X,O,X,X
LJZTSIO,X,X,X,X,X,X
LJZTSOI,X,X,X,X,X,X
LJZTOIS,X,X,X,O,X,X
LJZTOSI,X,X,X,O,X,X
LJZITSO,O,X,O,O,X,O
LJZITOS,X,O,O,O,O,O
LJZISTO,O,X,O,O,X,O
LJZISOT,O,O,O,O,X,O
LJZIOTS,X,O,O,O,O,O
LJZIOST,X,O,O,O,O,O
LJZSTIO,O,X,O,X,X,O
LJZSTOI,O,X,O,X,X,O
LJZSITO,O,X,O,O,X,O
LJZSIOT,O,O,O,O,X,O
LJZSOTI,O,O,O,O,X,O
LJZSOIT,O,O,O,O,X,O
LJZOTIS,X,O,X,O,X,X
LJZOTSI,X,O,X,O,X,X
LJZOITS,X,O,O,O,O,O
LJZOIST,X,O,O,O,O,O
LJZOSTI,X,O,O,O,O,O
LJZOSIT,X,O,O,O,O,O
LJOTISZ,X,O,O,O,O,X
LJOTIZS,X,O,O,O,O,X
LJOTSIZ,X,X,O,O,O,X
LJOTSZI,X,X,O,O,O,X
LJOTZIS,X,O,X,O,X,X
LJOTZSI,X,O,X,O,X,X
LJOITSZ,O,O,O,O,O,O
LJOITZS,X,O,O,O,O,X
LJOISTZ,O,O,O,O,O,O
LJOISZT,O,O,O,O,O,O
LJOIZTS,X,O,O,O,O,X
LJOIZST,X,O,O,O,O,X
LJOSTIZ,O,O,O,O,O,X
LJOSTZI,O,O,O,O,O,X
LJOSITZ,O,O,O,O,O,O
LJOSIZT,O,O,O,O,O,O
LJOSZTI,O,O,O,O,O,O
LJOSZIT,O,O,O,O,O,O
LJOZTIS,X,O,X,O,X,X
LJOZTSI,X,O,X,O,X,X
LJOZITS,X,O,O,O,O,X
LJOZIST,X,O,O,O,O,X
LJOZSTI,X,O,O,O,O,X
LJOZSIT,X,O,O,O,O,X
LSTIJZO,O,O,O,X,X,O
LSTIJOZ,O,O,O,X,X,O
LSTIZJO,O,X,O,X,X,O
LSTIZOJ,O,O,O,X,X,O
LSTIOJZ,O,O,O,X,X,X
LSTIOZJ,O,O,O,X,X,X
LSTJIZO,O,O,O,X,X,O
LSTJIOZ,O,O,O,X,X,O
LSTJZIO,O,X,O,X,X,O
LSTJZOI,O,X,O,X,X,O
LSTJOIZ,O,O,O,X,X,X
LSTJOZI,O,O,O,X,X,X
LSTZIJO,O,X,O,X,X,O
LSTZIOJ,O,O,O,X,X,O
LSTZJIO,O,X,O,X,X,O
LSTZJOI,O,X,O,X,X,O
LSTZOIJ,O,O,O,X,X,O
LSTZOJI,O,O,O,X,X,O
LSTOIJZ,O,O,O,X,X,X
LSTOIZJ,O,O,O,X,X,X
LSTOJIZ,O,O,O,X,X,X
LSTOJZI,O,O,O,X,X,X
LSTOZIJ,O,O,O,X,X,X
LSTOZJI,O,O,O,X,X,X
LSITJZO,O,O,O,X,X,O
LSITJOZ,O,O,O,X,X,O
LSITZJO,O,X,O,X,X,O
LSITZOJ,O,O,O,X,X,O
LSITOJZ,O,O,O,X,X,X
LSITOZJ,O,O,O,X,X,X
LSIJTZO,O,O,O,O,O,O
LSIJTOZ,O,O,O,O,O,O
LSIJZTO,O,O,O,O,O,O
LSIJZOT,O,O,O,O,O,O
LSIJOTZ,O,O,O,O,O,O
LSIJOZT,O,O,O,O,O,O
LSIZTJO,O,X,O,X,X,O
LSIZTOJ,O,O,O,X,X,O
LSIZJTO,O,O,O,O,O,O
LSIZJOT,O,O,O,O,O,O
LSIZOTJ,O,O,O,O,O,O
LSIZOJT,O,O,O,O,O,O
LSIOTJZ,O,O,O,O,O,X
LSIOTZJ,O,O,O,O,O,X
LSIOJTZ,O,O,O,O,O,O
LSIOJZT,O,O,O,O,O,O
LSIOZTJ,O,O,O,O,O,O
LSIOZJT,O,O,O,O,O,O
LSJTIZO,O,O,O,X,X,O
LSJTIOZ,O,O,O,X,X,O
LSJTZIO,O,X,O,X,X,O
LSJTZOI,O,X,O,X,X,O
LSJTOIZ,O,O,O,X,X,X
LSJTOZI,O,O,O,X,X,X
LSJITZO,O,O,O,O,O,O
LSJITOZ,O,O,O,O,O,O
LSJIZTO,O,O,O,O,O,O
LSJIZOT,O,O,O,O,O,O
LSJIOTZ,O,O,O,O,O,O
LSJIOZT,O,O,O,O,O,O
LSJZTIO,O,X,O,X,X,O
LSJZTOI,O,X,O,X,X,O
LSJZITO,O,O,O,O,O,O
LSJZIOT,O,O,O,O,O,O
LSJZOTI,O,O,O,O,O,O
LSJZOIT,O,O,O,O,O,O
LSJOTIZ,O,O,O,O,O,X
LSJOTZI,O,O,O,O,O,X
LSJOITZ,O,O,O,O,O,O
LSJOIZT,O,O,O,O,O,O
LSJOZTI,O,O,O,O,O,O
LSJOZIT,O,O,O,O,O,O
LSZTIJO,O,X,O,X,X,O
LSZTIOJ,O,O,O,X,X,O
LSZTJIO,O,X,O,X,X,O
LSZTJOI,O,X,O,X,X,O
LSZTOIJ,O,O,O,X,X,O
LSZTOJI,O,O,O,X,X,O
LSZITJO,O,X,O,X,X,O
LSZITOJ,O,O,O,X,X,O
LSZIJTO,O,O,O,O,O,O
LSZIJOT,O,O,O,O,O,O
LSZIOTJ,O,O,O,O,O,O
LSZIOJT,O,O,O,O,O,O
LSZJTIO,O,X,O,X,X,O
LSZJTOI,O,X,O,X,X,O
LSZJITO,O,O,O,O,O,O
LSZJIOT,O,O,O,O,O,O
LSZJOTI,O,O,O,O,O,O
LSZJOIT,O,O,O,O,O,O
LSZOTIJ,O,O,O,O,O,O
LSZOTJI,O,O,O,O,O,O
LSZOITJ,O,O,O,O,O,O
LSZOIJT,O,O,O,O,O,O
LSZOJTI,O,O,O,O,O,O
LSZOJIT,O,O,O,O,O,O
LSOTIJZ,O,O,O,O,O,X
LSOTIZJ,O,O,O,O,O,X
LSOTJIZ,O,O,O,O,O,X
LSOTJZI,O,O,O,O,O,X
LSOTZIJ,O,O,O,O,O,X
LSOTZJI,O,O,O,O,O,X
LSOITJZ,O,O,O,O,O,X
LSOITZJ,O,O,O,O,O,X
LSOIJTZ,O,O,O,O,O,O
LSOIJZT,O,O,O,O,O,O
LSOIZTJ,O,O,O,O,O,O
LSOIZJT,O,O,O,O,O,O
LSOJTIZ,O,O,O,O,O,X
LSOJTZI,O,O,O,O,O,X
LSOJITZ,O,O,O,O,O,O
LSOJIZT,O,O,O,O,O,O
LSOJZTI,O,O,O,O,O,O
LSOJZIT,O,O,O,O,O,O
LSOZTIJ,O,O,O,O,O,O
LSOZTJI,O,O,O,O,O,O
LSOZITJ,O,O,O,O,O,O
LSOZIJT,O,O,O,O,O,O
LSOZJTI,O,O,O,O,O,O
LSOZJIT,O,O,O,O,O,O
LZTIJSO,X,X,X,O,X,X
LZTIJOS,X,X,X,O,X,X
LZTISJO,X,X,X,X,X,X
LZTISOJ,X,O,X,X,X,X
LZTIOJS,X,O,X,O,X,X
LZTIOSJ,X,O,X,O,X,X
LZTJISO,X,X,X,O,X,X
LZTJIOS,X,X,X,O,X,X
LZTJSIO,X,X,X,X,X,X
LZTJSOI,X,X,X,X,X,X
LZTJOIS,X,X,X,O,X,X
LZTJOSI,X,X,X,O,X,X
LZTSIJO,X,X,X,X,X,X
LZTSIOJ,X,O,X,X,X,X
LZTSJIO,X,X,X,X,X,X
LZTSJOI,X,X,X,X,X,X
LZTSOIJ,X,O,X,X,X,X
LZTSOJI,X,O,X,X,X,X
