sequence,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkByqBUgBTVB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkBalBzlB0bB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?0kBvlBamBzWB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkBTlBamB0cB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?amBTlBvkB0aB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?amBvlB0kBTaB
TJOILSZ,X,O,X,O,O,X
TJOILZS,X,O,X,O,O,X
TJOISLZ,X,O,X,O,O,X
TJOISZL,X,O,X,O,O,X
TJOIZLS,X,O,X,O,O,X
TJOIZSL,X,O,X,O,O,X
TJOLISZ,X,O,X,O,O,X
TJOLIZS,X,O,X,O,O,X
TJOLSIZ,X,X,X,O,O,X
TJOLSZI,X,X,X,O,O,X
TJOLZIS,X,O,X,O,X,X
TJOLZSI,X,O,X,O,X,X
TJOSILZ,X,O,X,O,O,X
TJOSIZL,X,O,X,O,O,X
TJOSLIZ,X,O,X,O,O,X
TJOSLZI,X,O,X,O,O,X
TJOSZIL,X,X,X,X,O,X
TJOSZLI,X,X,X,X,O,X
TJOZILS,X,O,X,X,X,X
TJOZISL,X,O,X,X,X,X
TJOZLIS,X,O,X,X,X,X
TJOZLSI,X,O,X,X,X,X
TJOZSIL,X,X,X,X,X,X
TJOZSLI,X,X,X,X,X,X
TSILJZO,O,O,O,X,X,O
TSILJOZ,O,O,O,X,X,O
TSILZJO,O,X,O,X,X,O
TSILZOJ,O,O,O,X,X,O
TSILOJZ,O,O,O,X,X,X
TSILOZJ,O,O,O,X,X,X
TSIJLZO,O,O,O,X,O,O
TSIJLOZ,O,O,O,O,O,O
TSIJZLO,O,O,O,X,O,O
TSIJZOL,O,O,O,O,O,O
TSIJOLZ,O,O,O,O,O,O
TSIJOZL,O,O,O,O,O,O
TSIZLJO,O,X,O,X,X,O
TSIZLOJ,O,X,O,X,X,O
TSIZJLO,O,X,O,X,O,O
TSIZJOL,O,X,O,X,O,O
TSIZOLJ,O,X,X,X,O,O
TSIZOJL,O,X,X,X,O,O
TSIOLJZ,O,O,X,O,O,X
TSIOLZJ,O,O,X,O,O,X
TSIOJLZ,O,O,X,O,O,X
TSIOJZL,O,O,X,O,O,X
TSIOZLJ,O,X,X,X,O,X
TSIOZJL,O,X,X,X,O,X
TSLIJZO,O,O,O,X,X,O
TSLIJOZ,O,O,O,X,X,O
TSLIZJO,O,X,O,X,X,O
TSLIZOJ,O,O,O,X,X,O
TSLIOJZ,O,O,O,X,X,X
TSLIOZJ,O,O,O,X,X,X
TSLJIZO,O,O,O,X,X,O
TSLJIOZ,O,O,O,X,X,O
TSLJZIO,O,X,O,X,X,O
TSLJZOI,O,X,O,X,X,O
TSLJOIZ,O,O,O,X,X,X
TSLJOZI,O,O,O,X,X,X
TSLZIJO,O,X,O,X,X,O
TSLZIOJ,O,O,O,X,X,O
TSLZJIO,O,X,O,X,X,O
TSLZJOI,O,X,O,X,X,O
TSLZOIJ,O,O,O,X,X,O
TSLZOJI,O,O,O,X,X,O
TSLOIJZ,O,O,O,X,X,X
TSLOIZJ,O,O,O,X,X,X
TSLOJIZ,O,O,O,X,X,X
TSLOJZI,O,O,O,X,X,X
TSLOZIJ,O,O,O,X,X,X
TSLOZJI,O,O,O,X,X,X
TSJILZO,O,O,O,X,O,O
TSJILOZ,O,O,O,O,O,O
TSJIZLO,O,O,O,X,O,O
TSJIZOL,O,O,O,O,O,O
TSJIOLZ,O,O,O,O,O,O
TSJIOZL,O,O,O,O,O,O
TSJLIZO,O,O,O,X,X,O
TSJLIOZ,O,O,O,X,X,O
TSJLZIO,O,X,O,X,X,O
