sequence,v115@FhB8IeA8AeA8BeB8CeA8AeI8Je2MJvhEflB0iBThB6?lBJkB
TZJISLO,X
TZJISOL,X
TZJIOLS,X
TZJIOSL,X
TZJLISO,X
TZJLIOS,X
TZJLSIO,X
TZJLSOI,X
TZJLOIS,X
TZJLOSI,X
TZJSILO,X
TZJSIOL,X
TZJSLIO,X
TZJSLOI,X
TZJSOIL,X
TZJSOLI,X
TZJOILS,X
TZJOISL,X
TZJOLIS,X
TZJOLSI,X
TZJOSIL,X
TZJOSLI,X
TZSILJO,X
TZSILOJ,X
TZSIJLO,X
TZSIJOL,X
TZSIOLJ,X
TZSIOJL,X
TZSLIJO,X
TZSLIOJ,X
TZSLJIO,X
TZSLJOI,X
TZSLOIJ,X
TZSLOJI,X
TZSJILO,X
TZSJIOL,X
TZSJLIO,X
TZSJLOI,X
TZSJOIL,X
TZSJOLI,X
TZSOILJ,X
TZSOIJL,X
TZSOLIJ,X
TZSOLJI,X
TZSOJIL,X
TZSOJLI,X
TZOILJS,X
TZOILSJ,X
TZOIJLS,X
TZOIJSL,X
TZOISLJ,X
TZOISJL,X
TZOLIJS,X
TZOLISJ,X
TZOLJIS,X
TZOLJSI,X
TZOLSIJ,X
TZOLSJI,X
TZOJILS,X
TZOJISL,X
TZOJLIS,X
TZOJLSI,X
TZOJSIL,X
TZOJSLI,X
TZOSILJ,X
TZOSIJL,X
TZOSLIJ,X
TZOSLJI,X
TZOSJIL,X
TZOSJLI,X
TOILJSZ,X
TOILJZS,X
TOILSJZ,X
TOILSZJ,X
TOILZJS,X
TOILZSJ,X
TOIJLSZ,X
TOIJLZS,X
TOIJSLZ,O
TOIJSZL,O
TOIJZLS,X
TOIJZSL,O
TOISLJZ,O
TOISLZJ,X
TOISJLZ,O
TOISJZL,O
TOISZLJ,X
TOISZJL,X
TOIZLJS,X
TOIZLSJ,X
TOIZJLS,X
TOIZJSL,X
TOIZSLJ,X
TOIZSJL,X
TOLIJSZ,X
TOLIJZS,X
TOLISJZ,X
TOLISZJ,X
TOLIZJS,X
TOLIZSJ,X
TOLJISZ,X
TOLJIZS,X
TOLJSIZ,X
TOLJSZI,X
TOLJZIS,X
TOLJZSI,X
TOLSIJZ,X
TOLSIZJ,X
TOLSJIZ,X
TOLSJZI,X
TOLSZIJ,X
TOLSZJI,X
TOLZIJS,X
TOLZISJ,X
TOLZJIS,X
TOLZJSI,X
TOLZSIJ,X
TOLZSJI,X
TOJILSZ,X
TOJILZS,X
TOJISLZ,O
TOJISZL,O
TOJIZLS,X
TOJIZSL,O
TOJLISZ,X
TOJLIZS,X
TOJLSIZ,X
TOJLSZI,X
TOJLZIS,X
TOJLZSI,X
TOJSILZ,O
TOJSIZL,O
TOJSLIZ,O
TOJSLZI,O
TOJSZIL,O
TOJSZLI,O
TOJZILS,X
TOJZISL,O
TOJZLIS,X
TOJZLSI,X
TOJZSIL,O
TOJZSLI,O
TOSILJZ,O
TOSILZJ,X
TOSIJLZ,O
TOSIJZL,O
TOSIZLJ,X
TOSIZJL,X
TOSLIJZ,O
TOSLIZJ,X
TOSLJIZ,O
TOSLJZI,O
