sequence,v115@HhD8FeC8GeD8AeB8BeA8JexGJvhCToBFrB0sB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCCnBToB0sB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCWsBxnBXtB,v115@HhD8FeC8GeD8AeB8BeA8JemGJvhCqsBToBFrB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCRnBctBGsB,v115@HhD8FeC8GeD8AeB8BeA8JemGJvhCCoBFrBXtB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCzmBCoBXtB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCzmBusBctB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCCnBxsBXtB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCzmBWtBXtB,v115@HhD8FeC8GeD8AeB8BeA8JemGJvhCFrBCtBFtB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCzmBFtBCtB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCzmBCtBFtB,v115@HhD8FeC8GeD8AeB8BeA8JemGJvhCFrBFtBCtB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCWsBctBlsB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCWsBToB0sB,v115@HhD8FeC8GeD8AeB8BeA8JeGIJvhCRrBzsBirB
TTIJLZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TTIJLZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TTIJLOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TTIJLOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TTIJSLZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIJSLOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIJSZLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIJSZOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIJSOLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIJSOZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIJZLSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIJZLOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIJZSLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIJZSOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIJZOLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIJZOSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIJOLSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIJOLZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIJOSLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIJOSZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIJOZLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIJOZSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISLJZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISLJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISLZJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISLZOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISLOJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISLOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISJLZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISJLOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISJZLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISJZOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISJOLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISJOZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISZLJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISZLOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISZJLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISZJOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISZOLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISZOJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISOLJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISOLZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISOJLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISOJZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISOZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTISOZJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZLJSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZLJOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZLSJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZLSOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZLOJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZLOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZJLSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZJLOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZJSLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZJSOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZJOLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZJOSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZSLJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZSLOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZSJLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZSJOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZSOLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZSOJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZOLJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZOLSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZOJLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZOJSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZOSLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIZOSJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIOLJSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TTIOLJZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TTIOLSJZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TTIOLSZJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TTIOLZJS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TTIOLZSJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TTIOJLSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIOJLZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIOJSLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIOJSZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIOJZLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIOJZSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIOSLJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIOSLZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIOSJLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIOSJZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIOSZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIOSZJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIOZLJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIOZLSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIOZJLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIOZJSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIOZSLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIOZSJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLIJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLIJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLIJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLIJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLIJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLIJOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLISJZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TTLISJOZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TTLISZJO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TTLISZOJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TTLISOJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TTLISOZJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TTLIZJSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLIZJOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLIZSJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLIZSOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLIZOJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLIZOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLIOJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLIOJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLIOSJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLIOSZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLIOZJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLIOZSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLJISZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJISOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJIZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJIZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJIOSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJIOZS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJSIZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJSIOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJSZIO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJSZOI,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJSOIZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJSOZI,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJZISO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJZIOS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJZSIO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJZSOI,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJZOIS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJZOSI,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJOISZ,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJOIZS,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJOSIZ,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJOSZI,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJOZIS,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLJOZSI,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TTLSIJZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSIJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSIZJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSIZOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSIOJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSIOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSJIZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSJIOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSJZIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSJZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSJOIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSJOZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSZIJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSZIOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSZJIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSZJOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSZOIJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSZOJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSOIJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSOIZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSOJIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSOJZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSOZIJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLSOZJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZIJSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZIJOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZISJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZISOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZIOJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZIOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZJISO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZJIOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZJSIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZJSOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZJOIS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZJOSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZSIJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZSIOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZSJIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZSJOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZSOIJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZSOJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZOIJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZOISJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZOJIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZOJSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZOSIJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLZOSJI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTLOIJSZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOIJZS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOISJZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOISZJ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOIZJS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOIZSJ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOJISZ,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOJIZS,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOJSIZ,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOJSZI,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOJZIS,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOJZSI,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOSIJZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOSIZJ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOSJIZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOSJZI,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOSZIJ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOSZJI,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOZIJS,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOZISJ,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOZJIS,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOZJSI,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOZSIJ,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TTLOZSJI,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TTJILSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TTJILSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TTJILZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TTJILZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TTJILOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TTJILOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TTJISLZO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJISLOZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJISZLO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJISZOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJISOLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJISOZL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJIZLSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJIZLOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJIZSLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJIZSOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJIZOLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJIZOSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJIOLSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJIOLZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJIOSLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJIOSZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJIOZLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJIOZSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJLISZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLISOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLIZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLIZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLIOSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLIOZS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLSIZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLSIOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLSZIO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLSZOI,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLSOIZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLSOZI,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLZISO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLZIOS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLZSIO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLZSOI,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLZOIS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLZOSI,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLOISZ,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLOIZS,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLOSIZ,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLOSZI,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLOZIS,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJLOZSI,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TTJSILZO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJSILOZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJSIZLO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJSIZOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTJSIOLZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
