sequence,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeG7IvhEZhBCdB?zfBXiBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeR7IvhEuhBciB?zfBamBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8Jeq/IvhETbBZhB?uhBciBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeC7IvhEZhBuhB?ciBXgBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8Jeq/IvhETbBxcB?OmBXiBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeC7IvhEZhBGdB?XgBzhBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8Jeu/IvhEcgBZhB?CdBXiBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8Jeu/IvhEcgBZhB?qhBTiBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeC7IvhETdBXgB?OmB0hBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8Jeu/IvhEcgBZhB?SiBzhBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeWAJvhEZhBSiB?XgBzhBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeWCJvhERgBzfB?amBXiBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8Jeq/IvhEciBxgB?3hBmlBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeR7IvhEfiBzfB?UhB6nBmrB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeR7IvhEFdBzfB?imBGmBcsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeG7IvhEZhBzfB?UnBCnBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeR7IvhEzfBFhB?3mB+nBasB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeG7IvhExcBzfB?KmBUnBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeG7IvhEzfB/mB?FiBimBcsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeC7IvhEciBXgB?ThBxrBmrB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeOBJvhETdBFgB?xrBfsBCqB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeC7IvhElcBXgB?2mBxrBcsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8Jeu/IvhEcgBimB?/mBTnBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8Jeq/IvhETbBZhB?FiBfsBGsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeWAJvhExhBXgB?lmBimBcsB
TIZSLJO,O,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZSJLO,O,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJOL,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZSOLJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZSOJL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZOLJS,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZOJSL,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZOSJL,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOJSZL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TIOJZLS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOJZSL,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOSLZJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOSJLZ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOSJZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOSZLJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOSZJL,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOZLJS,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOZJSL,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOZSJL,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLIJSOZ,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIJZSO,X,O,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,X,O,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLISJZO,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TLISZJO,O,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,O,X,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TLISOJZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TLISOZJ,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIZJSO,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,X,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIOSJZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIOSZJ,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIOZJS,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJISOZ,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,X,O,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,X,O,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJSIZO,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,O,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,X,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJZSIO,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSIZJO,O,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,X,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TLSIOJZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSIOZJ,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSJIZO,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSJZIO,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSJOZI,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,X,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TLSZJIO,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,X,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSZOJI,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSOIZJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSOJIZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSOJZI,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSOZJI,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
