sequence,v115@9gD8DeF8CeG8BeH8CeC8JeqLJvhFdiBsdBpUBzVBOV?B3TB,v115@9gD8DeF8CeG8BeH8CeC8JexBJvhBlmB2wB,v115@9gD8DeF8CeG8BeH8CeC8JeZGJvhBFiBqrB,v115@9gD8DeF8CeG8BeH8CeC8JexBJvhB0rBirB,v115@9gD8DeF8CeG8BeH8CeC8JexBJvhBTrBmrB,v115@9gD8DeF8CeG8BeH8CeC8JexBJvhBNrBzrB,v115@9gD8DeF8CeG8BeH8CeC8JexBJvhB3mB2wB,v115@9gD8DeF8CeG8BeH8CeC8JexBJvhBimB1wB,v115@9gD8DeF8CeG8BeH8CeC8JeNLJvhB6rBOsB,v115@9gD8DeF8CeG8BeH8CeC8JeZGJvhBurBFsB,v115@9gD8DeF8CeG8BeH8CeC8JeXCJvhB0rBOrB,v115@9gD8DeF8CeG8BeH8CeC8JeZGJvhBtmBXsB,v115@9gD8DeF8CeG8BeH8CeC8JeOGJvhBXiB1wB,v115@9gD8DeF8CeG8BeH8CeC8JelGJvhBOrBXsB,v115@9gD8DeF8CeG8BeH8CeC8Je0BJvhBNrBXsB,v115@9gD8DeF8CeG8BeH8CeC8Je2GJvhBcrBXsB,v115@9gD8DeF8CeG8BeH8CeC8JeXCJvhBNrB0rB,v115@9gD8DeF8CeG8BeH8CeC8Je2GJvhBTrBFsB,v115@9gD8DeF8CeG8BeH8CeC8Je/GJvhBFiB2wB,v115@9gD8DeF8CeG8BeH8CeC8Jeq4IvhF9ZBZQBzVB0rBXn?BOrB,v115@9gD8DeF8CeG8BeH8CeC8Jeq4IvhF9ZBZQBzVB2mBMr?BXsB
TIJOSLZ,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIJOSZL,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIJOZLS,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
TIJOZSL,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
TISLJZO,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TISLJOZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TISLZJO,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TISLZOJ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TISLOJZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TISLOZJ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TISJLZO,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TISJLOZ,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TISJZLO,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TISJZOL,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TISJOLZ,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TISJOZL,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TISZLJO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
TISZLOJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
TISZJLO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
TISZJOL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
TISZOLJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
TISZOJL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
TISOLJZ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TISOLZJ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TISOJLZ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TISOJZL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TISOZLJ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TISOZJL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIZLJSO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TIZLJOS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TIZLSJO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZLSOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZLOJS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TIZLOSJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZJLSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIZJLOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIZJSLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIZJSOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIZJOLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIZJOSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIZSLJO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X
TIZSLOJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X
TIZSJLO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X
TIZSJOL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X
TIZSOLJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X
TIZSOJL,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X
TIZOLJS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIZOLSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZOJLS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIZOJSL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIZOSLJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZOSJL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOLJSZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIOLJZS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TIOLSJZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIOLSZJ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOLZJS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TIOLZSJ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOJLSZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIOJLZS,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIOJSLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIOJSZL,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIOJZLS,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIOJZSL,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIOSLJZ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TIOSLZJ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOSJLZ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TIOSJZL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TIOSZLJ,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOSZJL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOZLJS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIOZLSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOZJLS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIOZJSL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIOZSLJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOZSJL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIJSZO,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TLIJSOZ,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TLIJZSO,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLIJZOS,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLIJOSZ,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TLIJOZS,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLISJZO,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TLISJOZ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TLISZJO,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TLISZOJ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TLISOJZ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TLISOZJ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TLIZJSO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TLIZJOS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TLIZSJO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIZSOJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIZOJS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TLIZOSJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIOJSZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLIOJZS,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TLIOSJZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLIOSZJ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIOZJS,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TLIOZSJ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLJISZO,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TLJISOZ,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TLJIZSO,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLJIZOS,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLJIOSZ,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TLJIOZS,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLJSIZO,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O
TLJSIOZ,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O
TLJSZIO,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O
TLJSZOI,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O
TLJSOIZ,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O
TLJSOZI,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O
TLJZISO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLJZIOS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLJZSIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLJZSOI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLJZOIS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLJZOSI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLJOISZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TLJOIZS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLJOSIZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TLJOSZI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TLJOZIS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLJOZSI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLSIJZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSIJOZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSIZJO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSIZOJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSIOJZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSIOZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSJIZO,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
TLSJIOZ,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
TLSJZIO,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
TLSJZOI,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
TLSJOIZ,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
TLSJOZI,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
TLSZIJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TLSZIOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TLSZJIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TLSZJOI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TLSZOIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TLSZOJI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TLSOIJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSOIZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSOJIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSOJZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSOZIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLSOZJI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLZIJSO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TLZIJOS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TLZISJO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLZISOJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLZIOJS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TLZIOSJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLZJISO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLZJIOS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLZJSIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLZJSOI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLZJOIS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLZJOSI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLZSIJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TLZSIOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TLZSJIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TLZSJOI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TLZSOIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TLZSOJI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TLZOIJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TLZOISJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLZOJIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TLZOJSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TLZOSIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLZOSJI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOIJSZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOIJZS,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TLOISJZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOISZJ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOIZJS,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TLOIZSJ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOJISZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TLOJIZS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLOJSIZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TLOJSZI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TLOJZIS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLOJZSI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TLOSIJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOSIZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOSJIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOSJZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOSZIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOSZJI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOZIJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TLOZISJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOZJIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TLOZJSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TLOZSIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOZSJI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TJILSZO,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TJILSOZ,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TJILZSO,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O
TJILZOS,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O
TJILOSZ,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
