sequence,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8Je3BJvhEMWBzYB?pUByQB+GB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8Je3BJvhEMWBzYB?pUB2QBqGB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhERcB+ZB?iWBMPBvSB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhFJRBtWB?3XBSeBMUB+LB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhF3WBMLB?aZBGYBpUBFRB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhF3WBMLB?eZBSYBpUBFRB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhEvWBJGB?0XB+ZBqNB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhERcB+ZB?MWB3SBKLB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhERcB+ZB?MWB3SByQB
TIOZSLJ,O,X,X,O,O,X,O,X,X
TIOZSJL,X,O,X,O,O,O,O,X,X
TLIJSZO,O,X,X,O,O,X,X,X,X
TLIJSOZ,O,X,X,O,X,X,X,X,X
TLIJZSO,O,X,X,O,O,X,X,X,X
TLIJZOS,O,X,X,O,X,X,X,X,X
TLIJOSZ,O,X,X,O,X,X,X,X,X
TLIJOZS,O,X,X,O,X,X,X,X,X
TLISJZO,O,X,X,O,O,X,X,X,X
TLISJOZ,O,X,X,O,X,X,X,X,X
TLISZJO,O,X,X,O,O,X,X,X,X
TLISZOJ,O,X,X,O,O,X,X,X,X
TLISOJZ,O,X,X,O,O,X,X,X,X
TLISOZJ,O,X,X,O,O,X,X,X,X
TLIZJSO,O,X,X,O,O,X,X,X,X
TLIZJOS,O,X,X,O,X,X,X,X,X
TLIZSJO,O,X,X,O,O,X,X,X,X
TLIZSOJ,O,X,X,O,O,X,X,X,X
TLIZOJS,O,X,X,O,O,X,X,X,X
TLIZOSJ,O,X,X,O,O,X,X,X,X
TLIOJSZ,O,X,X,O,O,X,X,X,X
TLIOJZS,O,X,X,O,O,X,X,X,X
TLIOSJZ,O,X,X,O,O,X,X,X,X
TLIOSZJ,O,X,X,O,O,X,X,X,X
TLIOZJS,O,X,X,O,O,X,X,X,X
TLIOZSJ,O,X,X,O,O,X,X,X,X
TLJISZO,O,X,X,O,O,X,X,X,X
TLJISOZ,O,X,X,O,X,X,X,X,X
TLJIZSO,O,X,X,O,O,X,X,X,X
TLJIZOS,O,X,X,O,X,X,X,X,X
TLJIOSZ,O,X,X,O,X,X,X,X,X
TLJIOZS,O,X,X,O,X,X,X,X,X
TLJSIZO,O,X,X,O,O,X,X,X,X
TLJSIOZ,O,X,X,O,X,X,X,X,X
TLJSZIO,O,X,X,O,O,X,X,X,X
TLJSZOI,O,X,X,O,X,X,X,X,X
TLJSOIZ,O,X,X,O,X,X,X,X,X
TLJSOZI,O,X,X,O,X,X,X,X,X
TLJZISO,O,X,X,O,O,X,X,X,X
TLJZIOS,O,X,X,O,X,X,X,X,X
TLJZSIO,O,X,X,O,O,X,X,X,X
TLJZSOI,O,X,X,O,X,X,X,X,X
TLJZOIS,O,X,O,O,X,X,X,O,O
TLJZOSI,O,X,O,O,X,X,X,X,X
TLJOISZ,O,X,O,O,X,X,X,O,X
TLJOIZS,O,X,O,O,X,X,X,O,X
TLJOSIZ,O,X,O,O,X,X,X,X,X
TLJOSZI,O,X,O,O,X,X,X,X,X
TLJOZIS,O,X,O,O,X,X,X,O,O
TLJOZSI,O,X,O,O,X,X,X,X,X
TLSIJZO,O,X,X,O,O,X,X,X,X
TLSIJOZ,O,X,X,O,X,X,X,X,X
TLSIZJO,O,X,X,O,O,X,X,X,X
TLSIZOJ,O,X,X,O,O,X,X,X,X
TLSIOJZ,O,X,X,O,O,X,X,X,X
TLSIOZJ,O,X,X,O,O,X,X,X,X
TLSJIZO,O,X,X,O,O,X,X,X,X
TLSJIOZ,O,X,X,O,X,X,X,X,X
TLSJZIO,O,X,X,O,O,X,X,X,X
TLSJZOI,O,X,X,O,X,X,X,X,X
TLSJOIZ,O,X,X,O,X,X,X,X,X
TLSJOZI,O,X,X,O,X,X,X,X,X
TLSZIJO,O,X,X,O,O,X,X,X,X
TLSZIOJ,O,X,X,O,O,X,X,X,X
TLSZJIO,O,X,X,O,O,X,X,X,X
TLSZJOI,O,X,X,O,X,X,X,X,X
TLSZOIJ,O,X,X,O,O,X,X,X,X
TLSZOJI,O,X,X,O,O,X,X,X,X
TLSOIJZ,O,X,X,O,O,X,X,X,X
TLSOIZJ,O,X,X,O,O,X,X,X,X
TLSOJIZ,O,X,X,O,O,X,X,X,X
TLSOJZI,O,X,X,O,O,X,X,X,X
TLSOZIJ,O,X,X,O,O,X,X,X,X
TLSOZJI,O,X,X,O,O,X,X,X,X
TLZIJSO,O,X,X,O,O,X,X,X,X
TLZIJOS,O,X,X,O,X,X,X,X,X
TLZISJO,O,X,X,O,O,X,X,X,X
TLZISOJ,O,X,X,O,O,X,X,X,X
TLZIOJS,O,X,X,O,O,X,X,X,X
TLZIOSJ,O,X,X,O,O,X,X,X,X
TLZJISO,O,X,X,O,O,X,X,X,X
TLZJIOS,O,X,X,O,X,X,X,X,X
TLZJSIO,O,X,X,O,O,X,X,X,X
TLZJSOI,O,X,X,O,X,X,X,X,X
TLZJOIS,O,X,X,O,X,X,X,O,O
TLZJOSI,O,X,X,O,X,X,X,X,X
TLZSIJO,O,X,X,O,O,X,X,X,X
TLZSIOJ,O,X,X,O,O,X,X,X,X
TLZSJIO,O,X,X,O,O,X,X,X,X
TLZSJOI,O,X,X,O,X,X,X,X,X
TLZSOIJ,O,X,X,O,O,X,X,X,X
TLZSOJI,O,X,X,O,O,X,X,X,X
TLZOIJS,O,X,X,O,O,X,X,O,O
TLZOISJ,O,X,X,O,O,X,X,O,O
TLZOJIS,O,X,X,O,O,X,X,O,O
TLZOJSI,O,X,X,O,O,X,X,X,X
TLZOSIJ,O,X,X,O,O,X,X,X,X
TLZOSJI,O,X,X,O,O,X,X,X,X
TLOIJSZ,O,X,O,O,O,X,X,O,X
TLOIJZS,O,X,O,O,O,X,X,O,X
TLOISJZ,O,X,O,O,O,X,X,O,X
TLOISZJ,O,X,X,O,O,X,X,O,X
TLOIZJS,O,X,X,O,O,X,X,O,X
TLOIZSJ,O,X,X,O,O,X,X,O,X
TLOJISZ,O,X,O,O,O,X,X,O,X
TLOJIZS,O,X,O,O,O,X,X,O,X
TLOJSIZ,O,X,O,O,O,X,X,X,X
TLOJSZI,O,X,O,O,O,X,X,X,X
TLOJZIS,O,X,O,O,O,X,X,O,O
TLOJZSI,O,X,O,O,O,X,X,X,X
TLOSIJZ,O,X,O,O,O,X,X,X,X
TLOSIZJ,O,X,X,O,O,X,X,X,X
TLOSJIZ,O,X,O,O,O,X,X,X,X
TLOSJZI,O,X,O,O,O,X,X,X,X
TLOSZIJ,O,X,X,O,O,X,X,X,X
TLOSZJI,O,X,X,O,O,X,X,X,X
TLOZIJS,O,X,X,O,O,X,X,O,O
TLOZISJ,O,X,X,O,O,X,X,O,O
TLOZJIS,O,X,X,O,O,X,X,O,O
TLOZJSI,O,X,X,O,O,X,X,X,X
TLOZSIJ,O,X,X,O,O,X,X,X,X
TLOZSJI,O,X,X,O,O,X,X,X,X
TJILSZO,X,O,X,O,O,O,X,X,X
TJILSOZ,X,O,X,O,X,X,X,X,X
TJILZSO,X,O,X,O,O,O,X,X,X
TJILZOS,X,O,X,O,X,X,X,X,X
TJILOSZ,X,O,X,O,X,X,X,X,X
TJILOZS,X,O,X,O,X,X,X,X,X
TJISLZO,X,O,X,O,O,O,X,X,X
TJISLOZ,X,O,X,O,X,X,X,X,X
TJISZLO,X,O,X,X,O,O,X,X,X
TJISZOL,X,O,X,X,X,O,X,X,X
TJISOLZ,X,O,X,O,X,O,X,X,X
TJISOZL,X,O,X,O,X,O,O,X,X
TJIZLSO,X,O,X,O,O,O,X,X,X
TJIZLOS,X,O,X,O,X,X,X,X,X
TJIZSLO,X,O,X,X,O,O,X,X,X
TJIZSOL,X,O,X,X,X,O,X,X,X
TJIZOLS,X,O,X,O,X,O,X,X,X
TJIZOSL,X,O,X,O,X,O,X,X,X
TJIOLSZ,X,O,X,O,X,O,X,X,X
TJIOLZS,X,O,X,O,X,O,X,X,X
TJIOSLZ,X,O,X,O,X,O,X,X,X
TJIOSZL,X,O,X,O,X,O,O,X,X
TJIOZLS,X,O,X,O,X,O,O,X,X
TJIOZSL,X,O,X,O,X,O,O,X,X
TJLISZO,X,O,X,O,O,O,X,X,X
TJLISOZ,X,O,X,O,X,X,X,X,X
TJLIZSO,X,O,X,O,O,O,X,X,X
TJLIZOS,X,O,X,O,X,X,X,X,X
TJLIOSZ,X,O,X,O,X,X,X,X,X
TJLIOZS,X,O,X,O,X,X,X,X,X
TJLSIZO,X,O,X,O,O,O,X,X,X
TJLSIOZ,X,O,X,O,X,X,X,X,X
TJLSZIO,X,O,X,O,O,O,X,X,X
TJLSZOI,X,O,X,O,X,X,X,X,X
TJLSOIZ,X,O,X,O,X,X,X,X,X
TJLSOZI,X,O,X,O,X,X,X,X,X
TJLZISO,X,O,X,O,O,O,X,X,X
TJLZIOS,X,O,X,O,X,X,X,X,X
TJLZSIO,X,O,X,O,O,O,X,X,X
TJLZSOI,X,O,X,O,X,X,X,X,X
TJLZOIS,X,O,O,O,X,X,X,O,O
TJLZOSI,X,O,O,O,X,X,X,X,X
TJLOISZ,X,O,O,O,X,X,X,O,X
TJLOIZS,X,O,O,O,X,X,X,O,X
TJLOSIZ,X,O,O,O,X,X,X,X,X
TJLOSZI,X,O,O,O,X,X,X,X,X
TJLOZIS,X,O,O,O,X,X,X,O,O
TJLOZSI,X,O,O,O,X,X,X,X,X
TJSILZO,X,O,X,O,O,O,X,X,X
TJSILOZ,X,O,X,O,X,X,X,X,X
TJSIZLO,X,O,X,X,O,O,X,X,X
TJSIZOL,X,O,X,X,X,O,X,X,X
TJSIOLZ,X,O,X,O,X,O,X,X,X
TJSIOZL,X,O,X,O,X,O,O,X,X
TJSLIZO,X,O,X,O,O,O,X,X,X
TJSLIOZ,X,O,X,O,X,X,X,X,X
TJSLZIO,X,O,X,O,O,O,X,X,X
TJSLZOI,X,O,X,O,X,X,X,X,X
TJSLOIZ,X,O,X,O,X,X,X,X,X
TJSLOZI,X,O,X,O,X,X,X,X,X
TJSZILO,X,O,X,X,O,O,X,X,X
TJSZIOL,X,O,X,X,X,O,X,X,X
TJSZLIO,X,O,X,X,O,O,X,X,X
TJSZLOI,X,O,X,X,X,X,X,X,X
TJSZOIL,X,O,X,X,X,O,X,X,X
TJSZOLI,X,O,X,X,X,O,X,X,X
TJSOILZ,X,O,X,O,X,O,X,X,X
TJSOIZL,X,O,X,O,X,O,O,X,X
TJSOLIZ,X,O,X,O,X,O,X,X,X
TJSOLZI,X,O,X,O,X,O,X,X,X
TJSOZIL,X,O,X,O,X,O,O,X,X
TJSOZLI,X,O,X,O,X,O,O,X,X
TJZILSO,X,O,X,O,O,O,X,X,X
TJZILOS,X,O,X,O,X,X,X,X,X
TJZISLO,X,O,X,X,O,O,X,X,X
TJZISOL,X,O,X,X,X,O,X,X,X
TJZIOLS,X,O,X,O,X,O,X,X,X
TJZIOSL,X,O,X,O,X,O,X,X,X
TJZLISO,X,O,X,O,O,O,X,X,X
TJZLIOS,X,O,X,O,X,X,X,X,X
TJZLSIO,X,O,X,O,O,O,X,X,X
TJZLSOI,X,O,X,O,X,X,X,X,X
TJZLOIS,X,O,O,O,X,X,X,O,O
TJZLOSI,X,O,O,O,X,X,X,X,X
TJZSILO,X,O,X,X,O,O,X,X,X
TJZSIOL,X,O,X,X,X,O,X,X,X
TJZSLIO,X,O,X,X,O,O,X,X,X
TJZSLOI,X,O,X,X,X,X,X,X,X
TJZSOIL,X,O,X,X,X,O,X,X,X
TJZSOLI,X,O,X,X,X,O,X,X,X
TJZOILS,X,O,O,O,X,O,X,O,O
TJZOISL,X,O,O,O,X,O,X,O,O
TJZOLIS,X,O,O,O,X,O,X,O,O
TJZOLSI,X,O,O,O,X,O,X,X,X
TJZOSIL,X,O,X,O,X,O,X,X,X
TJZOSLI,X,O,X,O,X,O,X,X,X
TJOILSZ,X,O,O,O,X,O,X,O,X
TJOILZS,X,O,O,O,X,O,X,O,X
TJOISLZ,X,O,O,O,X,O,X,O,X
TJOISZL,X,O,O,O,X,O,O,O,O
TJOIZLS,X,O,O,O,X,O,O,O,O
TJOIZSL,X,O,O,O,X,O,O,O,O
TJOLISZ,X,O,O,O,X,O,X,O,X
TJOLIZS,X,O,O,O,X,O,X,O,X
TJOLSIZ,X,O,O,O,X,O,X,X,X
TJOLSZI,X,O,O,O,X,O,X,X,X
TJOLZIS,X,O,O,O,X,O,X,O,O
TJOLZSI,X,O,O,O,X,O,X,X,X
TJOSILZ,X,O,X,O,X,O,X,X,X
TJOSIZL,X,O,X,O,X,O,O,X,X
TJOSLIZ,X,O,X,O,X,O,X,X,X
TJOSLZI,X,O,X,O,X,O,X,X,X
TJOSZIL,X,O,X,O,X,O,O,X,X
TJOSZLI,X,O,X,O,X,O,O,X,X
TJOZILS,X,O,O,O,X,O,O,O,O
TJOZISL,X,O,O,O,X,O,O,O,O
TJOZLIS,X,O,O,O,X,O,O,O,O
TJOZLSI,X,O,O,O,X,O,O,X,X
TJOZSIL,X,O,X,O,X,O,O,X,X
TJOZSLI,X,O,X,O,X,O,O,X,X
TSILJZO,O,X,X,O,O,X,X,X,X
TSILJOZ,O,X,X,O,X,X,X,X,X
TSILZJO,O,X,X,O,O,X,X,X,X
TSILZOJ,O,X,X,O,O,X,X,X,X
TSILOJZ,O,X,X,O,O,X,X,X,X
TSILOZJ,O,X,X,O,O,X,X,X,X
TSIJLZO,X,O,X,O,O,O,X,X,X
TSIJLOZ,X,O,X,O,X,X,X,X,X
TSIJZLO,X,O,X,X,O,O,X,X,X
TSIJZOL,X,O,X,X,X,O,X,X,X
TSIJOLZ,X,O,X,O,X,O,X,X,X
TSIJOZL,X,O,X,O,X,O,O,X,X
TSIZLJO,O,X,X,X,O,X,X,X,X
TSIZLOJ,O,X,X,X,O,X,X,X,X
TSIZJLO,X,O,X,X,O,O,X,X,X
TSIZJOL,X,O,X,X,X,O,X,X,X
TSIZOLJ,O,X,X,X,O,X,X,X,X
TSIZOJL,X,O,X,X,O,O,X,X,X
TSIOLJZ,O,X,X,O,O,X,X,X,X
TSIOLZJ,O,X,X,O,O,X,X,X,X
TSIOJLZ,X,O,X,O,O,O,X,X,X
TSIOJZL,X,O,X,O,O,O,O,X,X
TSIOZLJ,O,X,X,O,O,X,O,X,X
TSIOZJL,X,O,X,O,O,O,O,X,X
TSLIJZO,O,X,X,O,O,X,X,X,X
TSLIJOZ,O,X,X,O,X,X,X,X,X
TSLIZJO,O,X,X,O,O,X,X,X,X
TSLIZOJ,O,X,X,O,O,X,X,X,X
TSLIOJZ,O,X,X,O,O,X,X,X,X
TSLIOZJ,O,X,X,O,O,X,X,X,X
TSLJIZO,O,X,X,O,O,X,X,X,X
TSLJIOZ,O,X,X,O,X,X,X,X,X
TSLJZIO,O,X,X,O,O,X,X,X,X
TSLJZOI,O,X,X,O,X,X,X,X,X
TSLJOIZ,O,X,X,O,X,X,X,X,X
TSLJOZI,O,X,X,O,X,X,X,X,X
TSLZIJO,O,X,X,O,O,X,X,X,X
TSLZIOJ,O,X,X,O,O,X,X,X,X
TSLZJIO,O,X,X,O,O,X,X,X,X
TSLZJOI,O,X,X,O,X,X,X,X,X
TSLZOIJ,O,X,X,O,O,X,X,X,X
TSLZOJI,O,X,X,O,O,X,X,X,X
TSLOIJZ,O,X,X,O,O,X,X,X,X
TSLOIZJ,O,X,X,O,O,X,X,X,X
TSLOJIZ,O,X,X,O,O,X,X,X,X
TSLOJZI,O,X,X,O,O,X,X,X,X
TSLOZIJ,O,X,X,O,O,X,X,X,X
TSLOZJI,O,X,X,O,O,X,X,X,X
TSJILZO,X,O,X,O,O,O,X,X,X
TSJILOZ,X,O,X,O,X,X,X,X,X
TSJIZLO,X,O,X,X,O,O,X,X,X
TSJIZOL,X,O,X,X,X,O,X,X,X
TSJIOLZ,X,O,X,O,X,O,X,X,X
TSJIOZL,X,O,X,O,X,O,O,X,X
TSJLIZO,X,O,X,O,O,O,X,X,X
TSJLIOZ,X,O,X,O,X,X,X,X,X
TSJLZIO,X,O,X,O,O,O,X,X,X
TSJLZOI,X,O,X,O,X,X,X,X,X
TSJLOIZ,X,O,X,O,X,X,X,X,X
TSJLOZI,X,O,X,O,X,X,X,X,X
TSJZILO,X,O,X,X,O,O,X,X,X
TSJZIOL,X,O,X,X,X,O,X,X,X
TSJZLIO,X,O,X,X,O,O,X,X,X
TSJZLOI,X,O,X,X,X,X,X,X,X
TSJZOIL,X,O,X,X,X,O,X,X,X
TSJZOLI,X,O,X,X,X,O,X,X,X
TSJOILZ,X,O,X,O,X,O,X,X,X
TSJOIZL,X,O,X,O,X,O,O,X,X
TSJOLIZ,X,O,X,O,X,O,X,X,X
TSJOLZI,X,O,X,O,X,O,X,X,X
TSJOZIL,X,O,X,O,X,O,O,X,X
TSJOZLI,X,O,X,O,X,O,O,X,X
TSZILJO,O,X,X,X,O,X,X,X,X
TSZILOJ,O,X,X,X,O,X,X,X,X
TSZIJLO,X,O,X,X,O,O,X,X,X
TSZIJOL,X,O,X,X,X,O,X,X,X
TSZIOLJ,O,X,X,X,O,X,X,X,X
TSZIOJL,X,O,X,X,O,O,X,X,X
TSZLIJO,O,X,X,X,O,X,X,X,X
TSZLIOJ,O,X,X,X,O,X,X,X,X
TSZLJIO,O,X,X,X,O,X,X,X,X
TSZLJOI,O,X,X,X,X,X,X,X,X
TSZLOIJ,O,X,X,X,O,X,X,X,X
TSZLOJI,O,X,X,X,O,X,X,X,X
TSZJILO,X,O,X,X,O,O,X,X,X
TSZJIOL,X,O,X,X,X,O,X,X,X
TSZJLIO,X,O,X,X,O,O,X,X,X
TSZJLOI,X,O,X,X,X,X,X,X,X
TSZJOIL,X,O,X,X,X,O,X,X,X
TSZJOLI,X,O,X,X,X,O,X,X,X
TSZOILJ,O,X,X,X,O,X,X,X,X
TSZOIJL,X,O,X,X,O,O,X,X,X
TSZOLIJ,O,X,X,X,O,X,X,X,X
TSZOLJI,O,X,X,X,O,X,X,X,X
TSZOJIL,X,O,X,X,O,O,X,X,X
TSZOJLI,X,O,X,X,O,O,X,X,X
TSOILJZ,O,X,X,O,O,X,X,X,X
TSOILZJ,O,X,X,O,O,X,X,X,X
TSOIJLZ,X,O,X,O,O,O,X,X,X
TSOIJZL,X,O,X,O,O,O,O,X,X
TSOIZLJ,O,X,X,O,O,X,O,X,X
TSOIZJL,X,O,X,O,O,O,O,X,X
TSOLIJZ,O,X,X,O,O,X,X,X,X
TSOLIZJ,O,X,X,O,O,X,X,X,X
TSOLJIZ,O,X,X,O,O,X,X,X,X
TSOLJZI,O,X,X,O,O,X,X,X,X
TSOLZIJ,O,X,X,O,O,X,X,X,X
TSOLZJI,O,X,X,O,O,X,X,X,X
TSOJILZ,X,O,X,O,O,O,X,X,X
TSOJIZL,X,O,X,O,O,O,O,X,X
TSOJLIZ,X,O,X,O,O,O,X,X,X
TSOJLZI,X,O,X,O,O,O,X,X,X
TSOJZIL,X,O,X,O,O,O,O,X,X
TSOJZLI,X,O,X,O,O,O,O,X,X
TSOZILJ,O,X,X,O,O,X,O,X,X
TSOZIJL,X,O,X,O,O,O,O,X,X
TSOZLIJ,O,X,X,O,O,X,O,X,X
TSOZLJI,O,X,X,O,O,X,O,X,X
TSOZJIL,X,O,X,O,O,O,O,X,X
TSOZJLI,X,O,X,O,O,O,O,X,X
TZILJSO,O,X,X,O,O,X,X,X,X
TZILJOS,O,X,X,O,X,X,X,X,X
TZILSJO,O,X,X,O,O,X,X,X,X
TZILSOJ,O,X,X,O,O,X,X,X,X
TZILOJS,O,X,X,O,O,X,X,X,X
TZILOSJ,O,X,X,O,O,X,X,X,X
TZIJLSO,X,O,X,O,O,O,X,X,X
TZIJLOS,X,O,X,O,X,X,X,X,X
TZIJSLO,X,O,X,X,O,O,X,X,X
TZIJSOL,X,O,X,X,X,O,X,X,X
TZIJOLS,X,O,X,O,X,O,X,X,X
TZIJOSL,X,O,X,O,X,O,X,X,X
TZISLJO,O,X,X,X,O,X,X,X,X
