sequence,v115@8gA8IeC8GeC8GeC8BeF8JezHJvhEpPBenBscBvqBKa?B,v115@8gA8IeC8GeC8GeC8BeF8JesKJvhEugBPgBJVBTnBao?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aBJjBTnBCiBWd?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aBJjB+nBzhBSd?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aBpcB2sBziBid?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aBpcBysBTiBmd?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aB+nBqhBJjBTU?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aB+nBqhBJjBzQ?B,v115@8gA8IeC8GeC8GeC8BeF8JexLJvhEmnBSmBsaBPdBzd?B,v115@8gA8IeC8GeC8GeC8BeF8JeT6IvhEmVBUmBPnBJjB6n?B,v115@8gA8IeC8GeC8GeC8BeF8JeT6IvhEPWBUmBysBWnBpS?B,v115@8gA8IeC8GeC8GeC8BeF8JeT6IvhEPWBUmBysBWnBJZ?B
TILSOZJ,X,O,X,X,X,X,X,X,X,O,X,X
TILZJSO,X,O,X,X,X,X,X,X,O,X,X,X
TILZJOS,X,O,X,X,X,X,X,X,O,X,X,X
TILZSJO,X,O,X,X,X,X,X,X,O,X,X,X
TILZSOJ,X,O,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,O,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,O,X,X,X,X,X,X,X,X,X,X
TILOJSZ,O,X,X,X,X,X,X,X,X,O,X,X
TILOJZS,O,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,O,X,X,X,X,X,X,X,X,O,X,X
TILOSZJ,X,O,X,X,X,X,X,X,X,O,X,X
TILOZJS,X,O,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,O,X,X,X,X,X,X,X,X,X,X
TIJLSZO,O,X,X,X,X,X,O,O,O,X,X,X
TIJLSOZ,O,X,X,O,X,X,O,O,O,X,X,X
TIJLZSO,O,X,X,X,X,X,O,O,O,X,X,X
TIJLZOS,O,X,X,X,X,X,O,X,O,X,X,X
TIJLOSZ,O,X,X,O,X,X,O,X,O,X,X,X
TIJLOZS,O,X,X,O,X,X,O,X,O,X,X,X
TIJSLZO,O,X,X,X,X,X,O,O,O,X,X,X
TIJSLOZ,O,X,X,O,X,X,O,O,O,X,X,X
TIJSZLO,O,X,X,X,X,X,O,O,O,X,X,X
TIJSZOL,O,X,X,O,X,X,O,O,O,X,X,X
TIJSOLZ,O,X,X,O,X,X,O,O,O,X,X,X
TIJSOZL,O,X,X,O,X,X,O,O,O,X,X,X
TIJZLSO,O,X,X,X,X,X,O,O,O,X,X,X
TIJZLOS,O,X,X,X,X,X,O,X,O,X,X,X
TIJZSLO,O,X,X,X,X,X,O,O,O,X,X,X
TIJZSOL,O,X,X,O,X,X,O,O,O,X,X,X
TIJZOLS,O,X,X,O,X,X,O,X,O,X,X,X
TIJZOSL,O,X,X,O,X,X,O,X,O,X,X,X
TIJOLSZ,O,X,X,O,X,X,O,X,O,X,X,X
TIJOLZS,O,X,X,O,X,X,O,X,O,X,X,X
TIJOSLZ,O,X,X,O,X,X,O,X,O,X,X,X
TIJOSZL,O,X,X,O,X,X,O,X,O,X,X,X
TIJOZLS,O,X,X,O,X,X,O,X,O,X,X,X
TIJOZSL,O,X,X,O,X,X,O,X,O,X,X,X
TISLJZO,O,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,O,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,X,O,X,X,X,X,X,X,X,X,X,X
TISLZOJ,X,O,X,X,X,X,X,X,X,O,X,X
TISLOJZ,O,X,X,X,X,X,X,X,X,O,X,X
TISLOZJ,X,O,X,X,X,X,X,X,X,O,X,X
TISJLZO,O,X,X,X,X,X,O,O,X,X,X,X
TISJLOZ,O,X,X,O,X,X,O,O,X,X,X,X
TISJZLO,O,X,X,X,X,X,O,O,X,X,X,X
TISJZOL,O,X,X,O,X,X,O,O,X,X,X,X
TISJOLZ,O,X,X,O,X,X,O,O,X,X,X,X
TISJOZL,O,X,X,O,X,X,O,O,X,X,X,X
TISZLJO,X,O,X,X,X,X,X,X,X,X,X,X
TISZLOJ,X,O,X,X,X,X,X,X,X,O,X,X
TISZJLO,X,O,X,X,X,X,O,O,X,X,X,X
TISZJOL,X,O,X,O,X,X,O,O,X,X,X,X
TISZOLJ,X,O,O,X,X,X,X,X,X,O,X,X
TISZOJL,X,O,X,X,X,X,O,O,X,O,X,X
TISOLJZ,O,X,O,X,X,X,X,X,X,O,X,X
TISOLZJ,X,O,O,X,X,X,X,X,X,O,X,X
TISOJLZ,O,X,X,X,X,X,O,O,X,O,X,X
TISOJZL,O,X,X,X,X,X,O,O,X,O,X,X
TISOZLJ,X,O,O,X,X,X,X,X,X,O,X,X
TISOZJL,X,O,X,X,X,X,O,O,X,O,X,X
TIZLJSO,X,O,X,X,X,X,X,X,O,X,X,X
TIZLJOS,X,O,X,X,X,X,X,X,O,X,X,X
TIZLSJO,X,O,X,X,X,X,X,X,O,X,X,X
TIZLSOJ,X,O,X,X,X,X,X,X,X,X,X,X
TIZLOJS,X,O,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,O,X,X,X,X,X,X,X,X,X,X
TIZJLSO,X,O,X,X,X,X,O,O,O,X,X,X
TIZJLOS,X,O,X,X,X,X,O,X,O,X,X,X
TIZJSLO,X,O,X,X,X,X,O,O,O,X,X,X
TIZJSOL,X,O,X,O,X,X,O,O,O,X,X,X
TIZJOLS,X,O,X,O,X,X,O,X,O,X,X,X
TIZJOSL,X,O,X,O,X,X,O,X,O,X,X,X
TIZSLJO,X,O,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,X,O,X,X,X,X,X,X,X,O,X,X
TIZSJLO,X,O,X,X,X,X,O,O,X,X,X,X
TIZSJOL,X,O,X,O,X,X,O,O,X,X,X,X
TIZSOLJ,X,O,O,X,X,X,X,X,X,O,X,X
TIZSOJL,X,O,X,X,X,X,O,O,X,O,X,X
TIZOLJS,X,O,O,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,O,O,X,X,X,X,X,X,X,X,X
TIZOJLS,X,O,X,X,X,X,O,X,X,X,X,X
TIZOJSL,X,O,X,X,X,X,O,X,X,O,X,X
TIZOSLJ,X,O,O,X,X,X,X,X,X,O,X,X
TIZOSJL,X,O,X,X,X,X,O,X,X,O,X,X
TIOLJSZ,O,X,O,X,X,X,X,X,X,O,X,X
TIOLJZS,O,X,O,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,O,X,X,X,X,X,X,O,X,X
TIOLSZJ,X,O,O,X,X,X,X,X,X,O,X,X
TIOLZJS,X,O,O,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,O,O,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,X,X,X,O,X,X,O,X,X
TIOJLZS,O,X,X,X,X,X,O,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,X,O,X,X,O,X,X
TIOJSZL,O,X,X,X,X,X,O,X,X,O,X,X
TIOJZLS,O,X,X,X,X,X,O,X,X,X,X,X
TIOJZSL,O,X,X,X,X,X,O,X,X,O,X,X
TIOSLJZ,O,X,O,X,X,X,X,X,X,O,X,X
TIOSLZJ,X,O,O,X,X,X,X,X,X,O,X,X
TIOSJLZ,O,X,X,X,X,X,O,X,X,O,X,X
TIOSJZL,O,X,X,X,X,X,O,X,X,O,X,X
TIOSZLJ,X,O,O,X,X,X,X,X,X,O,X,X
TIOSZJL,X,O,X,X,X,X,O,X,X,O,X,X
TIOZLJS,X,O,O,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,O,X,X,X,X,X,X,X,X,X
TIOZJLS,X,O,X,X,X,X,O,X,X,X,X,X
TIOZJSL,X,O,X,X,X,X,O,X,X,O,X,X
TIOZSLJ,X,O,O,X,X,X,X,X,X,O,X,X
TIOZSJL,X,O,X,X,X,X,O,X,X,O,X,X
TLIJSZO,O,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,O,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,O,X,X,X,X,X,X,X,X,X,X,O
TLIJOSZ,O,X,X,X,X,X,X,X,X,X,X,O
TLIJOZS,O,X,X,X,X,X,X,X,X,X,X,O
TLISJZO,O,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,O,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,X,O,X,X,X,X,X,X,X,X,X,X
TLISZOJ,X,O,X,X,X,X,X,X,X,O,X,X
TLISOJZ,O,X,X,X,X,X,X,X,X,O,X,X
TLISOZJ,X,O,X,X,X,X,X,X,X,O,X,X
TLIZJSO,X,O,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,O,X,X,X,X,X,X,X,X,X,O
TLIZSJO,X,O,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,O,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,O,X,X,X,X,X,X,X,X,X,O
TLIZOSJ,X,O,X,X,X,X,X,X,X,X,X,O
TLIOJSZ,O,X,X,X,X,X,X,X,X,O,X,O
TLIOJZS,O,X,X,X,X,X,X,X,X,X,X,O
TLIOSJZ,O,X,X,X,X,X,X,X,X,O,X,O
TLIOSZJ,X,O,X,X,X,X,X,X,X,O,X,O
TLIOZJS,X,O,X,X,X,X,X,X,X,X,X,O
TLIOZSJ,X,O,X,X,X,X,X,X,X,X,X,O
TLJISZO,O,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,O,X,X,X,X,X,X,X,X,X,O,O
TLJIOSZ,O,X,X,X,X,X,X,X,X,X,O,O
TLJIOZS,O,X,X,X,X,X,X,X,X,X,O,O
TLJSIZO,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,O,X,X,X,X,O,X,X,X,X,X,X
TLJZISO,O,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,O,X,X,X,X,X,X,X,X,X,O,O
TLJZSIO,O,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,O,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,O,X,X,X,X,X,X,X,X,X,O,O
TLJZOSI,O,X,X,X,X,X,X,X,X,X,O,O
TLJOISZ,O,X,X,X,X,X,X,X,X,X,O,O
TLJOIZS,O,X,X,X,X,X,X,X,X,X,O,O
TLJOSIZ,O,X,X,X,X,X,X,X,X,X,O,O
TLJOSZI,O,X,X,X,X,O,X,X,X,X,O,O
TLJOZIS,O,X,X,X,X,O,X,X,X,X,O,O
TLJOZSI,O,X,X,X,X,O,X,X,X,X,O,O
TLSIJZO,O,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,X,O,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,X,O,X,X,X,X,X,X,X,O,X,X
TLSIOJZ,O,X,X,X,X,X,X,X,X,O,X,X
TLSIOZJ,X,O,X,X,X,X,X,X,X,O,X,X
TLSJIZO,O,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,X,X,O,X,X,X,X,X,X
TLSZIJO,X,O,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,X,O,X,X,X,O,X,X,X,O,X,X
TLSZJIO,X,O,X,X,X,X,X,X,X,X,X,X
TLSZJOI,X,O,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,O,X,X,X,O,X,X,X,O,X,X
TLSZOJI,X,O,X,X,X,O,X,X,X,O,X,X
TLSOIJZ,O,X,X,X,X,X,X,X,X,O,X,X
TLSOIZJ,X,O,X,X,X,X,X,X,X,O,X,X
TLSOJIZ,O,X,X,X,X,X,X,X,X,O,X,X
TLSOJZI,O,X,X,X,X,O,X,X,X,O,X,X
TLSOZIJ,X,O,X,X,X,O,X,X,X,O,X,X
TLSOZJI,X,O,X,X,X,O,X,X,X,O,X,X
TLZIJSO,X,O,X,X,X,X,X,X,X,X,X,X
TLZIJOS,X,O,X,X,X,X,X,X,X,X,X,O
TLZISJO,X,O,X,X,X,X,X,X,X,X,X,X
TLZISOJ,X,O,X,X,X,O,X,X,X,X,X,X
TLZIOJS,X,O,X,X,X,O,X,X,X,X,X,O
TLZIOSJ,X,O,X,X,X,O,X,X,X,X,X,O
TLZJISO,X,O,X,X,X,X,X,X,X,X,X,X
TLZJIOS,X,O,X,X,X,X,X,X,X,X,O,O
TLZJSIO,X,O,X,X,X,X,X,X,X,X,X,X
TLZJSOI,X,O,X,X,X,X,X,X,X,X,X,X
TLZJOIS,X,O,X,X,X,X,X,X,X,X,O,O
TLZJOSI,X,O,X,X,X,X,X,X,X,X,O,O
TLZSIJO,X,O,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,X,O,X,X,X,O,X,X,X,X,X,X
TLZSJIO,X,O,X,X,X,X,X,X,X,X,X,X
TLZSJOI,X,O,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,O,X,X,X,O,X,X,X,X,X,X
TLZSOJI,X,O,X,X,X,O,X,X,X,X,X,X
TLZOIJS,X,O,X,X,X,O,X,X,X,X,X,O
TLZOISJ,X,O,X,X,X,O,X,X,X,X,X,O
TLZOJIS,X,O,X,X,X,O,X,X,X,X,O,O
TLZOJSI,X,O,X,X,X,O,X,X,X,X,O,O
TLZOSIJ,X,O,X,X,X,O,X,X,X,X,X,O
TLZOSJI,X,O,X,X,X,O,X,X,X,X,O,O
TLOIJSZ,O,X,X,X,X,X,X,X,X,O,X,O
TLOIJZS,O,X,X,X,X,X,X,X,X,X,X,O
TLOISJZ,O,X,X,X,X,X,X,X,X,O,X,O
TLOISZJ,X,O,X,X,X,X,X,X,X,O,X,O
TLOIZJS,X,O,X,X,X,X,X,X,X,X,X,O
TLOIZSJ,X,O,X,X,X,X,X,X,X,X,X,O
TLOJISZ,O,X,X,X,X,X,X,X,X,O,O,O
TLOJIZS,O,X,X,X,X,X,X,X,X,X,O,O
TLOJSIZ,O,X,X,X,X,X,X,X,X,O,O,O
TLOJSZI,O,X,X,X,X,O,X,X,X,O,O,O
TLOJZIS,O,X,X,X,X,O,X,X,X,X,O,O
TLOJZSI,O,X,X,X,X,O,X,X,X,X,O,O
TLOSIJZ,O,X,X,X,X,X,X,X,X,O,X,O
TLOSIZJ,X,O,X,X,X,X,X,X,X,O,X,O
TLOSJIZ,O,X,X,X,X,X,X,X,X,O,O,O
TLOSJZI,O,X,X,X,X,O,X,X,X,O,O,O
TLOSZIJ,X,O,X,X,X,O,X,X,X,O,X,O
TLOSZJI,X,O,X,X,X,O,X,X,X,O,O,O
TLOZIJS,X,O,X,X,X,O,X,X,X,X,X,O
TLOZISJ,X,O,X,X,X,O,X,X,X,X,X,O
TLOZJIS,X,O,X,X,X,O,X,X,X,X,O,O
TLOZJSI,X,O,X,X,X,O,X,X,X,X,O,O
TLOZSIJ,X,O,X,X,X,O,X,X,X,X,X,O
TLOZSJI,X,O,X,X,X,O,X,X,X,X,O,O
TJILSZO,O,X,X,X,X,X,O,O,O,X,X,X
TJILSOZ,O,X,X,O,X,X,O,O,O,X,X,X
TJILZSO,O,X,X,X,X,X,O,O,O,X,X,X
TJILZOS,O,X,X,X,X,X,O,X,O,X,X,X
TJILOSZ,O,X,X,O,X,X,O,X,O,X,X,X
TJILOZS,O,X,X,O,X,X,O,X,O,X,X,X
TJISLZO,O,X,X,X,X,X,O,O,O,X,X,X
TJISLOZ,O,X,X,O,X,X,O,O,O,X,X,X
TJISZLO,O,X,X,X,X,X,O,O,O,X,X,X
TJISZOL,O,X,X,O,X,X,O,O,O,X,X,X
TJISOLZ,O,X,X,O,X,X,O,O,O,X,X,X
TJISOZL,O,X,X,O,X,X,O,O,O,X,X,X
TJIZLSO,O,X,X,X,X,X,O,O,O,X,X,X
TJIZLOS,O,X,X,X,X,X,O,X,O,X,X,X
TJIZSLO,O,X,X,X,X,X,O,O,O,X,X,X
TJIZSOL,O,X,X,O,X,X,O,O,O,X,X,X
TJIZOLS,O,X,X,O,X,X,O,X,O,X,X,X
TJIZOSL,O,X,X,O,X,X,O,X,O,X,X,X
TJIOLSZ,O,X,X,O,X,X,O,X,O,X,X,X
TJIOLZS,O,X,X,O,X,X,O,X,O,X,X,X
TJIOSLZ,O,X,X,O,X,X,O,X,O,X,X,X
TJIOSZL,O,X,X,O,X,X,O,X,O,X,X,X
TJIOZLS,O,X,X,O,X,X,O,X,O,X,X,X
TJIOZSL,O,X,X,O,X,X,O,X,O,X,X,X
TJLISZO,O,X,X,X,X,X,O,O,X,X,X,X
TJLISOZ,O,X,X,O,X,X,O,O,X,X,X,X
TJLIZSO,O,X,X,X,X,X,O,O,X,X,X,X
TJLIZOS,O,X,X,X,X,X,O,X,X,X,X,X
TJLIOSZ,O,X,X,O,X,X,O,X,X,X,X,X
TJLIOZS,O,X,X,O,X,X,O,X,X,X,X,X
TJLSIZO,O,X,X,X,X,X,O,O,X,X,X,X
TJLSIOZ,O,X,X,O,X,X,O,O,X,X,X,X
TJLSZIO,O,X,X,X,X,X,O,O,X,X,X,X
TJLSZOI,O,X,X,X,X,X,X,O,X,X,X,X
TJLSOIZ,O,X,X,O,X,X,X,O,X,X,X,X
TJLSOZI,O,X,X,O,X,X,X,O,X,X,X,X
TJLZISO,O,X,X,X,X,X,O,O,X,X,X,X
TJLZIOS,O,X,X,X,X,X,O,X,X,X,X,X
TJLZSIO,O,X,X,X,X,X,O,O,X,X,X,X
TJLZSOI,O,X,X,X,X,X,X,O,X,X,X,X
TJLZOIS,O,X,X,X,X,X,X,X,X,X,X,X
TJLZOSI,O,X,X,X,X,X,X,X,X,X,X,X
TJLOISZ,O,X,X,O,X,X,X,X,X,X,X,X
TJLOIZS,O,X,X,O,X,X,X,X,X,X,X,X
TJLOSIZ,O,X,X,O,X,X,X,X,X,X,X,X
TJLOSZI,O,X,X,O,X,X,X,X,X,X,X,X
TJLOZIS,O,X,X,O,X,X,X,X,X,X,X,X
TJLOZSI,O,X,X,O,X,X,X,X,X,X,X,X
TJSILZO,O,X,X,X,X,X,O,O,O,X,X,X
TJSILOZ,O,X,X,O,X,X,O,O,O,X,X,X
TJSIZLO,O,X,X,X,X,X,O,O,O,X,X,X
TJSIZOL,O,X,X,O,X,X,O,O,O,X,X,X
TJSIOLZ,O,X,X,O,X,X,O,O,O,X,X,X
TJSIOZL,O,X,X,O,X,X,O,O,O,X,X,X
TJSLIZO,O,X,X,X,X,X,O,O,X,X,X,X
TJSLIOZ,O,X,X,O,X,X,O,O,X,X,X,X
TJSLZIO,O,X,X,X,X,X,O,O,X,X,X,X
TJSLZOI,O,X,X,X,X,X,X,O,X,X,X,X
TJSLOIZ,O,X,X,O,X,X,X,O,X,X,X,X
TJSLOZI,O,X,X,O,X,X,X,O,X,X,X,X
TJSZILO,O,X,X,X,X,X,O,O,O,X,X,X
TJSZIOL,O,X,X,O,O,X,O,O,O,X,X,X
TJSZLIO,O,X,X,X,X,X,O,O,X,X,X,X
TJSZLOI,O,X,X,X,X,X,X,O,X,X,X,X
TJSZOIL,O,X,X,O,O,X,X,O,O,X,X,X
TJSZOLI,O,X,X,O,O,X,X,O,X,X,X,X
TJSOILZ,O,X,X,O,X,X,X,O,O,X,X,X
TJSOIZL,O,X,X,O,X,X,X,O,O,X,X,X
TJSOLIZ,O,X,X,O,X,X,X,O,X,X,X,X
TJSOLZI,O,X,X,O,O,X,X,O,X,X,X,X
TJSOZIL,O,X,X,O,O,X,X,O,O,X,X,X
TJSOZLI,O,X,X,O,O,X,X,O,X,X,X,X
TJZILSO,O,X,X,X,X,X,O,O,O,X,X,X
TJZILOS,O,X,X,X,X,X,O,X,O,X,X,X
TJZISLO,O,X,X,X,X,X,O,O,O,X,X,X
TJZISOL,O,X,X,O,O,X,O,O,O,X,X,X
TJZIOLS,O,X,X,O,O,X,O,X,O,X,X,X
TJZIOSL,O,X,X,O,O,X,O,X,O,X,X,X
TJZLISO,O,X,X,X,X,X,O,O,X,X,X,X
TJZLIOS,O,X,X,X,X,X,O,X,X,X,X,X
TJZLSIO,O,X,X,X,X,X,O,O,X,X,X,X
TJZLSOI,O,X,X,X,X,X,X,O,X,X,X,X
TJZLOIS,O,X,X,X,X,X,X,X,X,X,X,X
TJZLOSI,O,X,X,X,X,X,X,X,X,X,X,X
TJZSILO,O,X,X,X,X,X,O,O,O,X,X,X
TJZSIOL,O,X,X,O,O,X,O,O,O,X,X,X
TJZSLIO,O,X,X,X,X,X,O,O,X,X,X,X
TJZSLOI,O,X,X,X,X,X,X,O,X,X,X,X
TJZSOIL,O,X,X,O,O,X,X,O,O,X,X,X
TJZSOLI,O,X,X,O,O,X,X,O,X,X,X,X
TJZOILS,O,X,X,O,O,X,X,X,O,X,X,X
TJZOISL,O,X,X,O,O,X,X,X,O,X,X,X
TJZOLIS,O,X,X,O,O,X,X,X,X,X,X,X
TJZOLSI,O,X,X,O,O,X,X,X,X,X,X,X
TJZOSIL,O,X,X,O,O,X,X,X,O,X,X,X
TJZOSLI,O,X,X,O,O,X,X,X,X,X,X,X
TJOILSZ,O,X,X,O,X,X,X,X,O,X,X,X
TJOILZS,O,X,X,O,X,X,X,X,O,X,X,X
TJOISLZ,O,X,X,O,X,X,X,X,O,X,X,X
TJOISZL,O,X,X,O,X,X,X,X,O,X,X,X
TJOIZLS,O,X,X,O,X,X,X,X,O,X,X,X
TJOIZSL,O,X,X,O,X,X,X,X,O,X,X,X
TJOLISZ,O,X,X,O,X,X,X,X,X,X,X,X
TJOLIZS,O,X,X,O,X,X,X,X,X,X,X,X
TJOLSIZ,O,X,X,O,X,X,X,X,X,X,X,X
TJOLSZI,O,X,X,O,O,X,X,X,X,X,X,X
TJOLZIS,O,X,X,O,O,X,X,X,X,X,X,X
TJOLZSI,O,X,X,O,O,X,X,X,X,X,X,X
TJOSILZ,O,X,X,O,X,X,X,X,O,X,X,X
TJOSIZL,O,X,X,O,X,X,X,X,O,X,X,X
TJOSLIZ,O,X,X,O,X,X,X,X,X,X,X,X
TJOSLZI,O,X,X,O,O,X,X,X,X,X,X,X
TJOSZIL,O,X,X,O,O,X,X,X,O,X,X,X
TJOSZLI,O,X,X,O,O,X,X,X,X,X,X,X
TJOZILS,O,X,X,O,O,X,X,X,O,X,X,X
TJOZISL,O,X,X,O,O,X,X,X,O,X,X,X
TJOZLIS,O,X,X,O,O,X,X,X,X,X,X,X
TJOZLSI,O,X,X,O,O,X,X,X,X,X,X,X
TJOZSIL,O,X,X,O,O,X,X,X,O,X,X,X
TJOZSLI,O,X,X,O,O,X,X,X,X,X,X,X
TSILJZO,O,X,X,X,X,X,X,X,X,X,X,X
TSILJOZ,O,X,X,X,X,X,X,X,X,X,X,X
TSILZJO,X,O,X,X,X,X,X,X,X,X,X,X
TSILZOJ,X,O,X,X,X,X,X,X,X,O,X,X
TSILOJZ,O,X,X,X,X,X,X,X,X,O,X,X
TSILOZJ,X,O,X,X,X,X,X,X,X,O,X,X
TSIJLZO,O,X,X,X,X,X,O,O,X,X,X,X
TSIJLOZ,O,X,X,O,X,X,O,O,X,X,X,X
TSIJZLO,O,X,X,X,X,X,O,O,X,X,X,X
TSIJZOL,O,X,X,O,X,X,O,O,X,X,X,X
TSIJOLZ,O,X,X,O,X,X,O,O,X,X,X,X
TSIJOZL,O,X,X,O,X,X,O,O,X,X,X,X
TSIZLJO,X,O,X,X,X,X,X,X,X,X,X,X
TSIZLOJ,X,O,X,X,X,X,X,X,X,O,X,X
TSIZJLO,X,O,X,X,X,X,O,O,X,X,X,X
TSIZJOL,X,O,X,O,X,X,O,O,X,X,X,X
TSIZOLJ,X,O,O,X,X,X,X,X,X,O,X,X
TSIZOJL,X,O,X,X,X,X,O,O,X,O,X,X
TSIOLJZ,O,X,O,X,X,X,X,X,X,O,X,X
TSIOLZJ,X,O,O,X,X,X,X,X,X,O,X,X
TSIOJLZ,O,X,X,X,X,X,O,O,X,O,X,X
TSIOJZL,O,X,X,X,X,X,O,O,X,O,X,X
TSIOZLJ,X,O,O,X,X,X,X,X,X,O,X,X
TSIOZJL,X,O,X,X,X,X,O,O,X,O,X,X
TSLIJZO,O,X,X,X,X,X,X,X,X,X,X,X
TSLIJOZ,O,X,X,X,X,X,X,X,X,X,X,X
TSLIZJO,X,O,X,X,X,X,X,X,X,X,X,X
TSLIZOJ,X,O,X,X,X,X,X,X,X,O,X,X
TSLIOJZ,O,X,X,X,X,X,X,X,X,O,X,X
TSLIOZJ,X,O,X,X,X,X,X,X,X,O,X,X
TSLJIZO,O,X,X,X,X,X,X,X,X,X,X,X
TSLJIOZ,O,X,X,X,X,X,X,X,X,X,X,X
TSLJZIO,O,X,X,X,X,X,X,X,X,X,X,X
TSLJZOI,O,X,X,X,X,X,X,X,X,X,X,X
