sequence,v115@8gD8DeH8CeH8AeI8AeC8JeG7IvhFMVBTRBpPBPZBFn?BKmB,v115@8gD8DeH8CeH8AeI8AeC8JeG7IvhFMVBTRBpPBPZBKc?BFdB,v115@8gD8DeH8CeH8AeI8AeC8JeFHJvhFMjBKmBvcBGlBJa?BzaB,v115@8gD8DeH8CeH8AeI8AeC8JeFHJvhFMjBKmBvcBpgBzf?BOfB,v115@8gD8DeH8CeH8AeI8AeC8JeM5IvhFKcBvSBGbBzQBJQ?BFdB,v115@8gD8DeH8CeH8AeI8AeC8JeM5IvhFKcBvSBzVBOVBpW?BFdB
TJLOIZS,O,O,O,O,O,O
TJLOSIZ,O,O,O,O,O,O
TJLOSZI,O,O,O,O,O,O
TJLOZIS,O,O,O,O,O,O
TJLOZSI,O,O,O,O,O,O
TJSILZO,O,O,O,X,X,X
TJSILOZ,O,O,O,X,X,X
TJSIZLO,O,O,O,X,X,X
TJSIZOL,O,O,O,X,X,X
TJSIOLZ,O,O,O,X,X,X
TJSIOZL,O,O,O,X,X,X
TJSLIZO,O,O,O,O,X,X
TJSLIOZ,O,O,O,O,X,X
TJSLZIO,O,O,O,O,X,X
TJSLZOI,O,O,O,O,X,X
TJSLOIZ,O,O,O,O,X,X
TJSLOZI,O,O,O,O,X,X
TJSZILO,O,O,O,X,X,X
TJSZIOL,O,O,O,X,X,X
TJSZLIO,O,O,O,O,X,X
TJSZLOI,O,O,O,O,X,X
TJSZOIL,O,O,O,O,X,X
TJSZOLI,O,O,O,O,X,X
TJSOILZ,O,O,O,O,X,X
TJSOIZL,O,O,O,O,X,X
TJSOLIZ,O,O,O,O,X,X
TJSOLZI,O,O,O,O,X,X
TJSOZIL,O,O,O,O,X,X
TJSOZLI,O,O,O,O,X,X
TJZILSO,O,O,O,O,O,X
TJZILOS,O,O,O,O,O,X
TJZISLO,O,O,O,X,X,X
TJZISOL,O,O,O,X,X,X
TJZIOLS,O,O,O,O,O,X
TJZIOSL,O,O,O,O,X,X
TJZLISO,O,O,O,O,O,X
TJZLIOS,O,O,O,O,O,X
TJZLSIO,O,O,O,O,O,X
TJZLSOI,O,O,O,O,O,O
TJZLOIS,O,O,O,O,O,O
TJZLOSI,O,O,O,O,O,O
TJZSILO,O,O,O,X,X,X
TJZSIOL,O,O,O,X,X,X
TJZSLIO,O,O,O,O,X,X
TJZSLOI,O,O,O,O,X,X
TJZSOIL,O,O,O,O,X,X
TJZSOLI,O,O,O,O,X,X
TJZOILS,O,O,O,O,O,O
TJZOISL,O,O,O,O,X,X
TJZOLIS,O,O,O,O,O,O
