sequence,v115@RhA8AeH8AeI8JexHYaAFLDmClcJSAVDEHBEooRBJoA?VBz+aFDqCBAAvhF3hB1kBTeBsgBGiBifB,v115@RhA8AeH8AeI8JexGYaAFLDmClcJSAVDEHBEooRBJoA?VBKNMgC6OBAAvhF2kBfjB6jBzcBsgBlfB,v115@RhA8AeH8AeI8JexHYaAFLDmClcJSAVDEHBEooRBJoA?VBTnjWCqOBAAvhF3hBTeBsgBifBGdBlfB,v115@RhA8AeH8AeI8JexGYaAFLDmClcJSAVDEHBEooRBJoA?VBz+aFDs/AAAvhF3fBFjBzcBsgBiaBGjB,v115@RhA8AeH8AeI8JexGYaAFLDmClcJSAVDEHBEooRBJoA?VBzvaFDsOBAAvhF3fBGjBzcBsgBiaBFjB,v115@RhA8AeH8AeI8JeXDYaAFLDmClcJSAVDEHBEooRBToA?VBpXWWCv/AAAvhFRmBUdBVhBKfBzaBGjB,v115@RhA8AeH8AeI8JezAYaAFLDmClcJSAVDEHBEooRBPoA?VBzP9VC6OBAAvhF3fB+jBRiBiaB0hBliB,v115@RhA8AeH8AeI8Je1GYaAFLDmClcJSAVDEHBEooRBUoA?VBTejWCv/AAAvhF3fBxiBsgBiaBTjBGiB,v115@RhA8AeH8AeI8JeRGYaAFLDmClcJSAVDEHBEooRBJoA?VBvuLuCqCBAAvhFTfBViBUeBXcBmaBSoB,v115@RhA8AeH8AeI8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBUtHgCpCBAAvhFVmB3fB+jBzdBRcBiaB,v115@RhA8AeH8AeI8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBU3TWCp/AAAvhFVmBTfBfjB6jBRcBmaB,v115@RhA8AeH8AeI8JeWIYaAFLDmClcJSAVDEHBEooRBKoA?VBJ9aFD0CBAAvhFRmB3fBTeBUcBFdBiaB,v115@RhA8AeH8AeI8JeUDYaAFLDmClcJSAVDEHBEooRBaoA?VBUNMgCK+AAAvhFVnBXhBKfBzaBGeBRcB,v115@RhA8AeH8AeI8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBJ3jFD0/AAAvhFRmBTfBXeBUcBFdBmaB,v115@RhA8AeH8AeI8JeRGYaAFLDmClcJSAVDEHBEooRBJoA?VBqHUWCvOBAAvhF+jBsiBXdBKfBzaBFcB
TIJSLZO,O,O,O,O,O,O,X,O,X,O,X,O,O,X,O
TIJSLOZ,O,O,O,O,O,O,X,X,X,O,O,O,O,X,O
TIJSZLO,O,O,O,O,O,O,X,O,X,O,X,O,O,X,O
TIJSZOL,O,O,O,O,O,X,X,X,O,O,X,O,O,X,O
TIJSOLZ,O,O,O,O,O,X,X,X,O,O,O,O,X,X,X
TIJSOZL,O,O,O,O,O,X,X,X,O,O,O,O,X,X,X
TIJZLSO,O,O,X,X,X,O,X,X,X,O,X,O,O,O,O
TIJZLOS,O,O,X,X,X,O,X,X,X,O,X,O,O,O,O
TIJZSLO,O,O,X,O,O,O,X,O,X,O,O,O,O,X,O
TIJZSOL,O,O,X,O,O,X,X,X,O,O,O,O,O,X,O
TIJZOLS,O,O,X,X,X,X,X,X,O,O,O,O,O,O,O
TIJZOSL,O,O,X,O,O,X,X,X,O,O,O,O,O,O,O
TIJOLSZ,O,O,O,X,X,X,X,X,O,O,O,O,X,O,O
TIJOLZS,O,O,X,X,X,X,X,X,O,X,O,O,X,O,O
TIJOSLZ,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X
TIJOSZL,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X
TIJOZLS,O,O,X,X,X,X,X,X,O,O,O,O,X,O,O
TIJOZSL,O,O,X,O,O,X,X,X,O,O,O,O,X,O,O
TISLJZO,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O
TISLJOZ,O,O,O,O,O,O,X,X,X,O,O,O,O,O,O
TISLZJO,O,O,O,O,O,O,X,O,X,O,X,O,O,O,X
TISLZOJ,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X
TISLOJZ,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O
TISLOZJ,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X
TISJLZO,O,O,O,O,O,O,X,O,X,O,X,O,O,X,O
TISJLOZ,O,O,O,O,O,O,X,X,X,O,O,O,O,X,O
TISJZLO,O,O,O,O,O,O,X,O,X,O,X,O,O,X,O
TISJZOL,O,O,O,O,O,X,X,X,O,O,X,O,O,X,O
TISJOLZ,O,O,O,O,O,X,X,X,O,O,O,O,X,X,X
TISJOZL,O,O,O,O,O,X,X,X,O,O,O,O,X,X,X
TISZLJO,O,O,O,O,O,O,X,O,X,O,O,O,O,O,X
TISZLOJ,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X
TISZJLO,O,O,O,O,O,O,X,O,X,O,O,O,O,X,X
TISZJOL,O,O,O,O,O,X,X,X,O,O,O,O,O,X,X
TISZOLJ,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X
TISZOJL,O,O,O,O,O,X,X,X,O,O,O,O,O,O,X
TISOLJZ,O,O,O,O,O,O,X,X,O,O,O,O,O,O,X
TISOLZJ,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X
TISOJLZ,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X
TISOJZL,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X
TISOZLJ,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X
TISOZJL,O,O,O,O,O,X,X,X,O,O,O,O,O,O,X
TIZLJSO,O,X,X,X,X,O,X,X,X,O,X,O,O,O,O
TIZLJOS,O,X,X,X,X,O,X,X,X,O,X,O,O,O,O
TIZLSJO,O,X,X,O,X,O,X,O,X,O,O,O,O,O,X
TIZLSOJ,O,X,X,O,X,O,X,O,O,O,O,O,O,O,X
TIZLOJS,O,X,X,X,X,O,X,X,O,X,O,X,O,O,O
TIZLOSJ,O,X,X,O,X,O,X,X,O,X,O,X,O,O,X
TIZJLSO,O,O,X,X,X,O,X,X,X,O,X,O,O,O,O
TIZJLOS,O,O,X,X,X,O,X,X,X,O,X,O,O,O,O
TIZJSLO,O,O,X,O,O,O,X,O,X,O,O,O,O,X,O
TIZJSOL,O,O,X,O,O,X,X,X,O,O,O,O,O,X,O
TIZJOLS,O,O,X,X,X,X,X,X,O,O,O,O,O,O,O
TIZJOSL,O,O,X,O,O,X,X,X,O,O,O,O,O,O,O
TIZSLJO,O,O,X,O,O,O,X,O,X,O,O,O,O,O,X
TIZSLOJ,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X
TIZSJLO,O,O,X,O,O,O,X,O,X,O,O,O,O,X,X
TIZSJOL,O,O,X,O,O,X,X,X,O,O,O,O,O,X,X
TIZSOLJ,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X
TIZSOJL,O,O,X,O,O,X,X,X,O,O,O,O,O,O,X
TIZOLJS,O,X,X,X,X,O,X,X,O,X,O,X,O,O,X
TIZOLSJ,O,X,X,O,X,O,X,X,O,X,O,X,O,O,X
TIZOJLS,O,O,X,X,X,X,X,X,O,O,O,O,O,O,X
TIZOJSL,O,O,X,O,O,X,X,X,O,O,O,O,O,O,X
TIZOSLJ,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X
TIZOSJL,O,O,X,O,O,X,X,X,O,O,O,O,O,O,X
TIOLJSZ,O,X,O,X,X,O,X,X,O,X,O,X,X,O,O
TIOLJZS,O,X,X,X,X,O,X,X,O,X,O,X,O,O,O
TIOLSJZ,O,X,O,O,X,O,X,X,O,X,O,X,O,O,O
TIOLSZJ,O,X,O,O,X,O,X,X,O,X,O,X,O,O,X
TIOLZJS,O,X,X,X,X,O,X,X,O,X,O,X,O,O,O
TIOLZSJ,O,X,X,O,X,O,X,X,O,X,O,X,O,O,X
TIOJLSZ,O,O,O,X,X,X,X,X,O,O,O,O,X,O,O
TIOJLZS,O,O,X,X,X,X,X,X,O,X,O,O,X,O,O
TIOJSLZ,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X
TIOJSZL,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X
TIOJZLS,O,O,X,X,X,X,X,X,O,O,O,O,X,O,O
TIOJZSL,O,O,X,O,O,X,X,X,O,O,O,O,X,O,O
TIOSLJZ,O,O,O,O,O,O,X,X,O,O,O,O,O,O,X
TIOSLZJ,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X
TIOSJLZ,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X
TIOSJZL,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X
TIOSZLJ,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X
TIOSZJL,O,O,O,O,O,X,X,X,O,O,O,O,O,O,X
TIOZLJS,O,X,X,X,X,O,X,X,O,X,O,X,O,O,X
TIOZLSJ,O,X,X,O,X,O,X,X,O,X,O,X,O,O,X
TIOZJLS,O,O,X,X,X,X,X,X,O,O,O,O,O,O,X
TIOZJSL,O,O,X,O,O,X,X,X,O,O,O,O,O,O,X
TIOZSLJ,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X
TIOZSJL,O,O,X,O,O,X,X,X,O,O,O,O,O,O,X
TLIJSZO,O,X,O,X,X,O,X,X,X,O,X,X,O,O,O
TLIJSOZ,O,X,O,X,X,O,X,X,X,O,X,X,O,O,O
TLIJZSO,O,X,X,X,X,O,X,X,X,O,X,X,O,O,O
TLIJZOS,O,X,X,X,X,O,X,X,X,O,X,X,O,O,O
TLIJOSZ,O,X,O,X,X,O,X,X,X,O,X,X,X,O,O
TLIJOZS,O,X,X,X,X,O,X,X,X,X,X,X,O,O,O
TLISJZO,O,X,O,O,X,O,X,O,X,O,X,X,O,O,O
TLISJOZ,O,X,O,O,X,O,X,X,X,O,O,X,O,O,O
TLISZJO,O,X,O,O,X,O,X,O,X,O,X,X,O,O,X
TLISZOJ,O,X,O,O,X,O,X,O,X,O,O,X,O,O,X
TLISOJZ,O,X,O,O,X,O,X,X,X,O,O,X,O,O,O
TLISOZJ,O,X,O,O,X,O,X,O,X,O,O,X,O,O,X
TLIZJSO,O,X,X,X,X,O,X,X,X,O,X,X,O,O,O
TLIZJOS,O,X,X,X,X,O,X,X,X,O,X,X,O,O,O
TLIZSJO,O,X,X,O,X,O,X,O,X,O,O,X,O,O,X
TLIZSOJ,O,X,X,O,X,O,X,O,X,O,O,X,O,O,X
TLIZOJS,O,X,X,X,X,O,X,X,X,X,O,X,O,O,O
TLIZOSJ,O,X,X,O,X,O,X,X,X,X,O,X,O,O,X
TLIOJSZ,O,X,O,X,X,O,X,X,X,X,O,X,X,O,O
TLIOJZS,O,X,X,X,X,O,X,X,X,X,O,X,O,O,O
TLIOSJZ,O,X,O,O,X,O,X,X,X,X,O,X,O,O,O
TLIOSZJ,O,X,O,O,X,O,X,X,X,X,O,X,O,O,X
TLIOZJS,O,X,X,X,X,O,X,X,X,X,O,X,O,O,O
TLIOZSJ,O,X,X,O,X,O,X,X,X,X,O,X,O,O,X
TLJISZO,O,O,X,X,X,X,X,X,X,O,X,X,O,X,O
TLJISOZ,O,O,X,X,X,X,X,X,X,O,X,X,O,X,O
TLJIZSO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TLJIZOS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TLJIOSZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TLJIOZS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLJSIZO,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
TLJSIOZ,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X
TLJSZIO,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
TLJSZOI,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLJSOIZ,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X
TLJSOZI,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X
TLJZISO,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TLJZIOS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TLJZSIO,O,O,X,X,X,X,X,X,X,O,X,X,O,X,O
TLJZSOI,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TLJZOIS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TLJZOSI,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TLJOISZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O
TLJOIZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLJOSIZ,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X
TLJOSZI,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
TLJOZIS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLJOZSI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O
TLSIJZO,O,O,O,O,X,O,X,O,X,O,X,X,O,O,X
TLSIJOZ,O,O,O,O,X,O,X,X,X,O,O,X,O,O,X
TLSIZJO,O,O,O,O,X,O,X,O,X,O,X,X,O,O,X
TLSIZOJ,O,O,O,O,X,O,X,O,X,O,O,X,O,O,X
TLSIOJZ,O,O,O,O,X,O,X,X,X,O,O,X,O,O,X
TLSIOZJ,O,O,O,O,X,O,X,O,X,O,O,X,O,O,X
TLSJIZO,O,O,O,O,X,X,X,O,X,O,X,X,O,O,X
TLSJIOZ,O,O,O,O,X,X,X,X,X,O,O,X,O,O,X
TLSJZIO,O,O,O,X,X,X,X,O,X,O,X,X,O,X,X
TLSJZOI,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLSJOIZ,O,O,X,X,X,X,X,X,X,O,O,X,O,O,X
TLSJOZI,O,X,X,X,X,X,X,X,X,O,O,X,O,O,X
TLSZIJO,O,X,O,O,X,O,X,O,X,O,O,X,O,O,X
TLSZIOJ,O,X,O,O,X,O,X,O,X,O,O,X,O,O,X
TLSZJIO,O,X,O,X,X,X,X,O,X,O,O,X,O,X,X
TLSZJOI,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X
TLSZOIJ,O,X,X,X,X,O,X,O,X,O,O,X,O,O,X
TLSZOJI,O,X,X,X,X,X,X,X,X,O,O,X,O,O,X
TLSOIJZ,O,X,X,O,X,O,X,X,X,O,O,X,O,O,X
TLSOIZJ,O,X,X,O,X,O,X,O,X,O,O,X,O,O,X
TLSOJIZ,O,X,X,X,X,X,X,X,X,O,O,X,O,O,X
TLSOJZI,O,X,X,X,X,X,X,X,X,O,O,X,O,O,X
TLSOZIJ,O,X,X,X,X,O,X,O,X,O,O,X,O,O,X
TLSOZJI,O,X,X,X,X,X,X,X,X,O,O,X,O,O,X
TLZIJSO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLZIJOS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLZISJO,O,X,X,X,X,X,X,O,X,O,O,X,O,X,X
TLZISOJ,O,X,X,X,X,X,X,O,X,O,O,X,O,X,X
TLZIOJS,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLZIOSJ,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLZJISO,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLZJIOS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLZJSIO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLZJSOI,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLZJOIS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLZJOSI,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLZSIJO,O,X,O,X,X,X,X,O,X,O,O,X,O,X,X
TLZSIOJ,O,X,O,X,X,X,X,O,X,O,O,X,O,X,X
TLZSJIO,O,X,O,X,X,X,X,O,X,O,O,X,O,X,X
TLZSJOI,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X
TLZSOIJ,O,X,X,X,X,X,X,O,X,O,O,X,O,X,X
TLZSOJI,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X
TLZOIJS,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLZOISJ,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLZOJIS,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLZOJSI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLZOSIJ,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLZOSJI,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLOIJSZ,O,X,X,X,X,O,X,X,X,X,O,X,X,O,O
TLOIJZS,O,X,X,X,X,O,X,X,X,X,O,X,O,O,O
TLOISJZ,O,X,X,X,X,O,X,X,X,X,O,X,O,O,O
TLOISZJ,O,X,X,X,X,O,X,X,X,X,O,X,O,O,X
TLOIZJS,O,X,X,X,X,O,X,X,X,X,O,X,O,O,O
TLOIZSJ,O,X,X,X,X,O,X,X,X,X,O,X,O,O,X
TLOJISZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
TLOJIZS,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O
TLOJSIZ,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X
TLOJSZI,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X
TLOJZIS,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O
TLOJZSI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O
TLOSIJZ,O,X,X,X,X,O,X,X,X,X,O,X,O,O,X
TLOSIZJ,O,X,X,X,X,O,X,X,X,X,O,X,O,O,X
TLOSJIZ,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X
TLOSJZI,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X
TLOSZIJ,O,X,X,X,X,O,X,X,X,X,O,X,O,O,X
TLOSZJI,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X
TLOZIJS,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLOZISJ,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLOZJIS,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLOZJSI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLOZSIJ,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLOZSJI,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TJILSZO,O,O,X,X,X,X,X,X,X,O,X,O,O,X,O
TJILSOZ,O,O,X,X,X,X,X,X,X,O,X,O,O,X,O
TJILZSO,O,O,X,X,X,X,X,X,X,O,X,O,O,X,O
TJILZOS,O,O,X,X,X,X,X,X,X,O,X,O,O,X,O
TJILOSZ,O,O,X,X,X,X,X,X,X,O,X,O,X,X,O
TJILOZS,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O
TJISLZO,O,O,X,O,O,X,X,O,X,O,X,O,O,X,O
TJISLOZ,O,O,X,O,O,X,O,X,X,O,O,O,O,X,O
TJISZLO,O,O,X,O,O,X,X,O,X,O,X,O,O,X,O
TJISZOL,O,O,X,O,O,X,X,X,X,O,X,O,O,X,O
TJISOLZ,O,O,X,O,O,X,O,X,X,O,O,O,X,X,X
TJISOZL,O,O,X,O,O,X,X,X,X,O,O,O,X,X,X
TJIZLSO,O,O,X,X,X,X,X,X,X,O,X,O,O,X,O
TJIZLOS,O,O,X,X,X,X,X,X,X,O,X,O,O,X,O
TJIZSLO,O,O,X,O,O,X,X,O,X,O,O,O,O,X,O
TJIZSOL,O,O,X,O,O,X,X,X,X,O,O,O,O,X,O
TJIZOLS,O,O,X,X,X,X,X,X,X,O,O,O,O,X,O
TJIZOSL,O,O,X,O,O,X,X,X,X,O,O,O,O,X,O
TJIOLSZ,O,O,X,X,X,X,X,X,X,O,O,O,X,X,O
TJIOLZS,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O
TJIOSLZ,O,O,X,O,O,X,O,X,X,O,O,O,X,X,X
TJIOSZL,O,O,X,O,O,X,X,X,X,O,O,O,X,X,X
TJIOZLS,O,O,X,X,X,X,X,X,X,O,O,O,X,X,O
TJIOZSL,O,O,X,O,O,X,X,X,X,O,O,O,X,X,O
TJLISZO,O,O,X,X,X,X,X,X,X,O,X,O,O,X,O
TJLISOZ,O,O,X,X,X,X,X,X,X,O,X,O,O,X,O
TJLIZSO,O,O,X,X,X,X,X,X,X,O,X,O,O,X,O
TJLIZOS,O,O,X,X,X,X,X,X,X,O,X,O,O,X,O
TJLIOSZ,O,O,X,X,X,X,X,X,X,O,X,O,X,X,O
TJLIOZS,O,O,X,X,X,X,X,X,X,X,X,O,O,X,O
TJLSIZO,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
TJLSIOZ,O,O,X,X,X,X,X,X,X,O,O,O,O,X,X
TJLSZIO,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
TJLSZOI,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X
TJLSOIZ,O,O,X,X,X,X,X,X,X,O,O,O,O,X,X
TJLSOZI,O,X,X,X,X,X,X,X,X,O,O,O,O,X,X
TJLZISO,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O
TJLZIOS,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O
TJLZSIO,O,O,X,X,X,X,X,X,X,O,X,X,O,X,O
TJLZSOI,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TJLZOIS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TJLZOSI,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TJLOISZ,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O
TJLOIZS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O
TJLOSIZ,X,O,X,X,X,X,X,X,X,O,O,O,O,X,X
TJLOSZI,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X
TJLOZIS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TJLOZSI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O
TJSILZO,O,O,X,O,O,X,X,O,X,O,X,O,O,X,X
TJSILOZ,O,O,X,O,O,X,O,X,X,O,O,O,O,X,X
TJSIZLO,O,O,X,O,O,X,X,O,X,O,X,O,O,X,X
TJSIZOL,O,O,X,O,O,X,X,X,X,O,X,O,O,X,X
TJSIOLZ,O,O,X,O,O,X,O,X,X,O,O,O,X,X,X
TJSIOZL,O,O,X,O,O,X,X,X,X,O,O,O,X,X,X
TJSLIZO,O,O,X,O,O,X,X,O,X,O,X,O,O,X,X
TJSLIOZ,O,O,X,O,O,X,O,X,X,O,O,O,O,X,X
TJSLZIO,O,O,X,X,X,X,X,O,X,O,X,O,O,X,X
TJSLZOI,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X
TJSLOIZ,O,O,X,X,X,X,O,X,X,O,O,O,O,X,X
TJSLOZI,O,X,X,X,X,X,X,X,X,O,O,O,O,X,X
TJSZILO,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X
TJSZIOL,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
TJSZLIO,O,O,X,X,X,X,X,O,X,O,X,O,O,X,X
TJSZLOI,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X
TJSZOIL,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TJSZOLI,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X
