sequence,v115@9gC8AeJ8AeJ8AeJ8AeC8Jex8XaAFLDmClcJSAVDEHB?EooRBJoAVBUnjWCz/AAAvhFFZBzSBsWBKVBXRBGZB,v115@9gC8AeJ8AeJ8AeJ8AeC8Jex8XaAFLDmClcJSAVDEHB?EooRBJoAVBKnjWCzOBAAvhFGZBzSBsWBKVBXRBFZB,v115@9gC8AeJ8AeJ8AeJ8AeC8Je33XaAFLDmClcJSAVDEHB?EooRBToAVBKH8LC6OBAAvhF+ZBzTBKVBRWBUYBlWB,v115@9gC8AeJ8AeJ8AeJ8AeC8Jez2XaAFLDmClcJSAVDEHB?EooRBPoAVBK+rtC6OBAAvhF+ZBRYBKVBXRB0XBlYB,v115@9gC8AeJ8AeJ8AeJ8AeC8JeU4XaAFLDmClcJSAVDEHB?EooRBaoAVBKH8LCzOBAAvhF+ZBzTBKVBRWB3XBlWB,v115@9gC8AeJ8AeJ8AeJ8AeC8Je18XaAFLDmClcJSAVDEHB?EooRBUoAVBpXstCv/AAAvhFxYBsWBKVBXRBTZBGYB,v115@9gC8AeJ8AeJ8AeJ8AeC8JeU4XaAFLDmClcJSAVDEHB?EooRBaoAVBqSFgCzOBAAvhFWZBKVBRWBTZB3XBlWB,v115@9gC8AeJ8AeJ8AeJ8AeC8JeW+XaAFLDmClcJSAVDEHB?EooRBKoAVBJ3TWC6OBAAvhFRcBTUBXTBKVBURBFSB,v115@9gC8AeJ8AeJ8AeJ8AeC8JeV9XaAFLDmClcJSAVDEHB?EooRBUoAVB6vytCM+AAAvhF0WB+ZBzTB3SBKVBRRB,v115@9gC8AeJ8AeJ8AeJ8AeC8JeV9XaAFLDmClcJSAVDEHB?EooRBUoAVBzvKWCa+AAAvhFXXB+ZBzTBKVBURBRSB,v115@9gC8AeJ8AeJ8AeJ8AeC8Jex9XaAFLDmClcJSAVDEHB?EooRBJoAVBTnjWCqOBAAvhF3XBTUBsWBKVBGTBFRB
TIJSZOL,X,X,X,X,X,X,X,O,O,O,O
TIJSOLZ,X,X,X,X,X,X,X,O,O,O,O
TIJSOZL,X,X,X,X,X,X,X,O,O,O,O
TIJZLSO,O,O,X,X,X,O,X,O,O,O,X
TIJZLOS,O,O,X,X,X,X,X,O,O,O,X
TIJZSLO,X,X,X,X,X,X,X,O,O,O,X
TIJZSOL,X,X,X,X,X,X,X,O,O,O,X
TIJZOLS,O,O,X,X,X,X,X,O,O,O,X
TIJZOSL,X,X,X,X,X,X,X,O,O,O,X
TIJOLSZ,X,X,X,X,X,X,X,O,O,O,O
TIJOLZS,O,O,X,X,X,X,X,O,O,O,X
TIJOSLZ,X,X,X,X,X,X,X,O,O,O,O
TIJOSZL,X,X,X,X,X,X,X,O,O,O,O
TIJOZLS,O,O,X,X,X,X,X,O,O,O,X
TIJOZSL,X,X,X,X,X,X,X,O,O,O,X
TISLJZO,X,X,X,X,X,X,X,O,O,O,O
TISLJOZ,X,X,X,X,X,X,X,O,O,O,O
TISLZJO,O,X,X,X,X,O,X,O,O,O,O
TISLZOJ,O,X,X,X,X,O,X,O,O,O,O
TISLOJZ,X,X,X,X,X,X,X,O,O,O,O
TISLOZJ,O,X,X,X,X,X,X,O,X,O,O
TISJLZO,X,X,X,X,X,X,X,O,O,O,O
TISJLOZ,X,X,X,X,X,X,X,O,O,O,O
TISJZLO,X,X,X,X,X,X,X,O,O,O,O
TISJZOL,X,X,X,X,X,X,X,O,O,O,O
TISJOLZ,X,X,X,X,X,X,X,O,O,O,O
TISJOZL,X,X,X,X,X,X,X,O,O,O,O
TISZLJO,O,X,X,X,X,O,X,O,O,O,O
TISZLOJ,O,X,X,X,X,O,X,O,O,O,O
TISZJLO,X,X,X,X,X,X,X,O,O,O,O
TISZJOL,X,X,X,X,X,X,X,O,O,O,O
TISZOLJ,O,X,X,X,X,X,X,X,X,X,O
TISZOJL,X,X,X,X,X,X,X,X,X,X,O
TISOLJZ,X,X,X,X,X,X,X,O,X,O,O
TISOLZJ,O,X,X,X,X,X,X,O,X,O,O
TISOJLZ,X,X,X,X,X,X,X,O,X,O,O
TISOJZL,X,X,X,X,X,X,X,O,X,O,O
TISOZLJ,O,X,X,X,X,X,X,X,X,X,O
TISOZJL,X,X,X,X,X,X,X,X,X,X,O
TIZLJSO,O,O,X,X,X,O,X,O,O,O,X
TIZLJOS,O,O,X,X,X,X,X,O,O,O,X
TIZLSJO,O,O,X,X,X,O,X,O,O,O,X
TIZLSOJ,O,O,X,X,X,O,X,O,O,O,X
TIZLOJS,O,O,X,X,X,X,X,O,O,X,X
TIZLOSJ,O,O,X,X,X,O,X,O,O,X,X
TIZJLSO,O,O,X,X,X,O,X,O,O,O,X
TIZJLOS,O,O,X,X,X,X,X,O,O,O,X
TIZJSLO,X,X,X,X,X,X,X,O,O,O,X
TIZJSOL,X,X,X,X,X,X,X,O,O,O,X
TIZJOLS,O,O,X,X,X,X,X,O,O,O,X
TIZJOSL,X,X,X,X,X,X,X,O,O,O,X
TIZSLJO,O,X,X,X,X,O,X,O,O,O,X
TIZSLOJ,O,X,X,X,X,O,X,O,O,O,X
TIZSJLO,X,X,X,X,X,X,X,O,O,O,X
TIZSJOL,X,X,X,X,X,X,X,O,O,O,X
TIZSOLJ,O,X,X,X,X,X,X,X,X,X,X
TIZSOJL,X,X,X,X,X,X,X,X,X,X,X
TIZOLJS,O,O,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,O,X,X,X,O,X,X,X,X,X
TIZOJLS,O,O,X,X,X,X,X,X,X,X,X
TIZOJSL,X,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,X,X,X,X,X,X,X,X
TIZOSJL,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,X,X,X,O,X,O,O
TIOLJZS,O,O,X,X,X,X,X,O,X,O,X
TIOLSJZ,X,X,X,X,X,X,X,O,X,O,O
TIOLSZJ,O,X,X,X,X,X,X,O,X,O,O
TIOLZJS,O,O,X,X,X,X,X,O,X,X,X
TIOLZSJ,O,O,X,X,X,O,X,O,X,X,X
TIOJLSZ,X,X,X,X,X,X,X,O,X,O,O
TIOJLZS,O,O,X,X,X,X,X,O,X,O,X
TIOJSLZ,X,X,X,X,X,X,X,O,X,O,O
TIOJSZL,X,X,X,X,X,X,X,O,X,O,O
TIOJZLS,O,O,X,X,X,X,X,O,X,O,X
TIOJZSL,X,X,X,X,X,X,X,O,X,O,X
TIOSLJZ,X,X,X,X,X,X,X,O,X,O,O
TIOSLZJ,O,X,X,X,X,X,X,O,X,O,O
TIOSJLZ,X,X,X,X,X,X,X,O,X,O,O
TIOSJZL,X,X,X,X,X,X,X,O,X,O,O
TIOSZLJ,O,X,X,X,X,X,X,X,X,X,O
TIOSZJL,X,X,X,X,X,X,X,X,X,X,O
TIOZLJS,O,O,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,O,X,X,X,O,X,X,X,X,X
TIOZJLS,O,O,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,X,X,X,X,X,X,X,X
TIOZSJL,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,X,X,X,X,X,X,X,O,O,O,O
TLIJSOZ,X,X,O,X,X,X,X,O,O,O,O
TLIJZSO,O,O,X,X,X,O,X,O,O,O,X
TLIJZOS,O,O,X,X,O,X,X,O,O,O,X
TLIJOSZ,X,X,O,X,X,X,X,O,O,O,O
TLIJOZS,O,O,X,X,O,X,X,O,O,O,X
TLISJZO,X,X,X,X,X,X,X,O,O,O,O
TLISJOZ,X,X,O,X,X,X,X,O,O,O,O
TLISZJO,O,X,X,X,X,O,X,O,O,O,O
TLISZOJ,O,X,X,X,X,O,X,O,O,O,O
TLISOJZ,X,X,X,X,X,X,X,O,O,O,O
TLISOZJ,O,X,X,X,X,X,X,O,X,O,O
TLIZJSO,O,O,X,X,X,O,O,O,O,O,X
TLIZJOS,O,O,X,X,O,X,O,O,O,O,X
TLIZSJO,O,O,X,X,X,O,X,O,O,O,X
TLIZSOJ,O,O,X,X,X,O,X,O,O,O,X
TLIZOJS,O,O,X,X,X,X,X,O,O,X,X
TLIZOSJ,O,O,X,X,X,O,X,O,O,X,X
TLIOJSZ,X,X,X,X,X,X,X,O,X,O,O
TLIOJZS,O,O,X,X,X,X,X,O,X,O,X
TLIOSJZ,X,X,X,X,X,X,X,O,X,O,O
TLIOSZJ,O,X,X,X,X,X,X,O,X,O,O
TLIOZJS,O,O,X,X,X,X,X,O,X,X,X
TLIOZSJ,O,O,X,X,X,O,X,O,X,X,X
TLJISZO,X,X,X,X,X,X,X,O,O,O,X
TLJISOZ,X,X,O,X,X,X,X,O,O,O,X
TLJIZSO,O,O,X,X,X,O,X,O,O,O,X
TLJIZOS,O,O,X,X,O,X,X,O,O,O,X
TLJIOSZ,X,X,O,O,X,X,X,O,O,O,X
TLJIOZS,O,O,X,X,O,X,X,O,O,O,X
TLJSIZO,X,X,X,X,X,X,X,O,O,O,X
TLJSIOZ,X,X,O,X,X,X,X,O,O,O,X
TLJSZIO,X,X,X,X,X,X,X,O,O,O,X
TLJSZOI,X,X,X,X,X,X,X,O,O,O,X
TLJSOIZ,X,X,O,O,X,X,X,O,O,O,X
TLJSOZI,X,X,X,X,X,X,X,O,O,O,X
TLJZISO,X,X,X,X,X,O,X,X,O,O,X
TLJZIOS,X,X,X,X,O,X,X,X,O,O,X
TLJZSIO,X,X,X,X,X,O,X,X,O,O,X
TLJZSOI,X,X,X,X,X,X,X,X,O,O,X
TLJZOIS,X,X,X,X,O,X,X,X,O,O,X
TLJZOSI,X,X,X,X,X,X,X,X,O,O,X
TLJOISZ,X,X,O,O,X,X,X,O,O,O,X
TLJOIZS,X,X,X,X,O,X,X,O,O,O,X
TLJOSIZ,X,X,O,O,X,X,X,O,O,O,X
TLJOSZI,X,X,X,X,X,X,X,O,O,O,X
TLJOZIS,X,X,X,X,O,X,X,X,O,O,X
TLJOZSI,X,X,X,X,X,X,X,X,O,O,X
TLSIJZO,X,X,X,X,X,X,X,X,O,O,O
TLSIJOZ,X,X,O,X,X,X,X,X,O,O,O
TLSIZJO,O,X,X,X,X,O,X,X,O,O,O
TLSIZOJ,O,X,X,X,X,O,X,X,O,O,O
TLSIOJZ,X,X,X,X,X,X,X,X,O,O,O
TLSIOZJ,O,X,X,X,X,X,X,X,X,O,O
TLSJIZO,X,X,X,X,X,X,X,X,O,O,O
TLSJIOZ,X,X,O,X,X,X,X,X,O,O,O
TLSJZIO,X,X,X,X,X,X,X,X,O,O,O
TLSJZOI,X,X,X,X,X,X,X,X,O,O,O
TLSJOIZ,X,X,O,O,X,X,X,X,O,O,X
TLSJOZI,X,X,X,X,X,X,X,X,O,O,X
TLSZIJO,X,X,X,X,X,O,X,X,O,O,O
TLSZIOJ,X,X,X,X,X,O,X,X,O,O,O
TLSZJIO,X,X,X,X,X,O,X,X,O,O,O
TLSZJOI,X,X,X,X,X,X,X,X,O,O,O
TLSZOIJ,X,X,X,X,X,O,X,X,O,O,O
TLSZOJI,X,X,X,X,X,X,X,X,O,O,O
TLSOIJZ,X,X,X,X,X,X,X,X,O,O,X
TLSOIZJ,X,X,X,X,X,X,X,X,X,O,X
TLSOJIZ,X,X,X,O,X,X,X,X,O,O,X
TLSOJZI,X,X,X,X,X,X,X,X,O,O,X
TLSOZIJ,X,X,X,X,X,X,X,X,O,O,X
TLSOZJI,X,X,X,X,X,X,X,X,O,O,X
TLZIJSO,O,X,X,X,X,O,O,X,O,O,X
TLZIJOS,O,X,X,X,O,X,O,X,O,O,X
TLZISJO,O,X,X,X,X,O,X,X,O,O,X
TLZISOJ,O,X,X,X,X,O,X,X,O,O,X
TLZIOJS,O,X,X,X,X,X,X,X,O,X,X
TLZIOSJ,O,X,X,X,X,O,X,X,O,X,X
TLZJISO,X,X,X,X,X,O,O,X,O,O,X
TLZJIOS,X,X,X,X,O,X,O,X,O,O,X
TLZJSIO,X,X,X,X,X,O,X,X,O,O,X
TLZJSOI,X,X,X,X,X,X,X,X,O,O,X
TLZJOIS,X,X,X,X,O,X,X,X,O,O,X
TLZJOSI,X,X,X,X,X,X,X,X,O,O,X
TLZSIJO,X,X,X,X,X,O,X,X,O,O,X
TLZSIOJ,X,X,X,X,X,O,X,X,O,O,X
TLZSJIO,X,X,X,X,X,O,X,X,O,O,X
TLZSJOI,X,X,X,X,X,X,X,X,O,O,X
TLZSOIJ,X,X,X,X,X,O,X,X,O,O,X
TLZSOJI,X,X,X,X,X,X,X,X,O,O,X
TLZOIJS,X,X,X,X,X,X,X,X,O,X,X
TLZOISJ,X,X,X,X,X,O,X,X,O,X,X
TLZOJIS,X,X,X,X,X,X,X,X,O,X,X
TLZOJSI,X,X,X,X,X,X,X,X,O,X,X
TLZOSIJ,X,X,X,X,X,O,X,X,O,X,X
TLZOSJI,X,X,X,X,X,X,X,X,O,X,X
TLOIJSZ,X,X,X,X,X,X,X,X,X,O,X
TLOIJZS,O,X,X,X,X,X,X,X,X,O,X
TLOISJZ,X,X,X,X,X,X,X,X,X,O,X
TLOISZJ,O,X,X,X,X,X,X,X,X,O,X
TLOIZJS,O,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,X,X,X,X,O,X,X,X,X,X
TLOJISZ,X,X,X,O,X,X,X,X,O,O,X
TLOJIZS,X,X,X,X,X,X,X,X,O,O,X
TLOJSIZ,X,X,X,O,X,X,X,X,O,O,X
TLOJSZI,X,X,X,X,X,X,X,X,O,O,X
TLOJZIS,X,X,X,X,X,X,X,X,O,O,X
TLOJZSI,X,X,X,X,X,X,X,X,O,O,X
TLOSIJZ,X,X,X,X,X,X,X,X,O,O,X
TLOSIZJ,X,X,X,X,X,X,X,X,X,O,X
TLOSJIZ,X,X,X,O,X,X,X,X,O,O,X
TLOSJZI,X,X,X,X,X,X,X,X,O,O,X
TLOSZIJ,X,X,X,X,X,X,X,X,O,O,X
TLOSZJI,X,X,X,X,X,X,X,X,O,O,X
TLOZIJS,X,X,X,X,X,X,X,X,O,X,X
TLOZISJ,X,X,X,X,X,O,X,X,O,X,X
TLOZJIS,X,X,X,X,X,X,X,X,O,X,X
TLOZJSI,X,X,X,X,X,X,X,X,O,X,X
TLOZSIJ,X,X,X,X,X,O,X,X,O,X,X
TLOZSJI,X,X,X,X,X,X,X,X,O,X,X
TJILSZO,X,X,X,X,X,X,X,O,O,O,X
TJILSOZ,X,X,X,X,X,X,X,O,O,O,X
TJILZSO,O,O,X,X,X,O,X,O,O,O,X
TJILZOS,O,O,X,X,X,X,X,O,O,O,X
TJILOSZ,X,X,X,O,X,X,X,O,O,O,X
TJILOZS,O,O,X,X,X,X,X,O,O,O,X
TJISLZO,X,X,X,X,X,X,X,O,O,O,X
TJISLOZ,X,X,X,X,X,X,X,O,O,O,X
TJISZLO,X,X,X,X,X,X,X,O,O,O,X
TJISZOL,X,X,X,X,X,X,X,O,O,O,X
TJISOLZ,X,X,X,X,X,X,X,O,O,O,X
TJISOZL,X,X,X,X,X,X,X,O,O,O,X
TJIZLSO,O,O,X,X,X,O,X,O,O,O,X
TJIZLOS,O,O,X,X,X,X,X,O,O,O,X
TJIZSLO,X,X,X,X,X,X,X,O,O,O,X
TJIZSOL,X,X,X,X,X,X,X,O,O,O,X
TJIZOLS,O,O,X,X,X,X,X,O,O,O,X
TJIZOSL,X,X,X,X,X,X,X,O,O,O,X
TJIOLSZ,X,X,X,O,X,X,X,O,O,O,X
TJIOLZS,O,O,X,X,X,X,X,O,O,O,X
TJIOSLZ,X,X,X,X,X,X,X,O,O,O,X
TJIOSZL,X,X,X,X,X,X,X,O,O,O,X
TJIOZLS,O,O,X,X,X,X,X,O,O,O,X
TJIOZSL,X,X,X,X,X,X,X,O,O,O,X
TJLISZO,X,X,X,X,X,X,X,O,O,O,X
TJLISOZ,X,X,O,X,X,X,X,O,O,O,X
TJLIZSO,O,O,X,X,X,O,X,O,O,O,X
TJLIZOS,O,O,X,X,O,X,X,O,O,O,X
TJLIOSZ,X,X,O,O,X,X,X,O,O,O,X
TJLIOZS,O,O,X,X,O,X,X,O,O,O,X
TJLSIZO,X,X,X,X,X,X,X,O,O,O,X
TJLSIOZ,X,X,O,X,X,X,X,O,O,O,X
TJLSZIO,X,X,X,X,X,X,X,O,O,O,X
TJLSZOI,X,X,X,X,X,X,X,O,O,O,X
TJLSOIZ,X,X,O,O,X,X,X,O,O,O,X
TJLSOZI,X,X,X,X,X,X,X,O,O,O,X
TJLZISO,X,X,X,X,X,O,X,X,O,O,X
TJLZIOS,X,X,X,X,O,X,X,X,O,O,X
TJLZSIO,X,X,X,X,X,O,X,X,O,O,X
TJLZSOI,X,X,X,X,X,X,X,X,O,O,X
TJLZOIS,X,X,X,X,O,X,X,X,O,O,X
TJLZOSI,X,X,X,X,X,X,X,X,O,O,X
TJLOISZ,X,X,O,O,X,X,X,O,O,O,X
TJLOIZS,X,X,X,X,O,X,X,O,O,O,X
TJLOSIZ,X,X,O,O,X,X,X,O,O,O,X
TJLOSZI,X,X,X,X,X,X,X,O,O,O,X
TJLOZIS,X,X,X,X,O,X,X,X,O,O,X
TJLOZSI,X,X,X,X,X,X,X,X,O,O,X
TJSILZO,X,X,X,X,X,X,X,O,O,O,X
TJSILOZ,X,X,X,X,X,X,X,O,O,O,X
TJSIZLO,X,X,X,X,X,X,X,O,O,O,X
TJSIZOL,X,X,X,X,X,X,X,O,O,O,X
TJSIOLZ,X,X,X,X,X,X,X,O,O,O,X
TJSIOZL,X,X,X,X,X,X,X,O,O,O,X
TJSLIZO,X,X,X,X,X,X,X,O,O,O,X
TJSLIOZ,X,X,O,X,X,X,X,O,O,O,X
TJSLZIO,X,X,X,X,X,X,X,O,O,O,X
TJSLZOI,X,X,X,X,X,X,X,O,O,O,X
TJSLOIZ,X,X,O,X,X,X,X,O,O,O,X
TJSLOZI,X,X,X,X,X,X,X,O,O,O,X
TJSZILO,X,X,X,X,X,X,X,O,O,O,X
TJSZIOL,X,X,X,X,X,X,X,O,O,O,X
TJSZLIO,X,X,X,X,X,X,X,O,O,O,X
TJSZLOI,X,X,X,X,X,X,X,O,O,O,X
TJSZOIL,X,X,X,X,X,X,X,O,O,O,X
TJSZOLI,X,X,X,X,X,X,X,O,O,O,X
TJSOILZ,X,X,X,X,X,X,X,O,O,O,X
TJSOIZL,X,X,X,X,X,X,X,O,O,O,X
TJSOLIZ,X,X,O,X,X,X,X,O,O,O,X
TJSOLZI,X,X,X,X,X,X,X,O,O,O,X
TJSOZIL,X,X,X,X,X,X,X,O,O,O,X
TJSOZLI,X,X,X,X,X,X,X,O,O,O,X
TJZILSO,X,X,X,X,X,O,X,X,O,O,X
TJZILOS,X,X,X,X,X,X,X,X,O,O,X
TJZISLO,X,X,X,X,X,X,X,X,O,O,X
TJZISOL,X,X,X,X,X,X,X,X,O,O,X
TJZIOLS,X,X,X,X,X,X,X,X,O,O,X
TJZIOSL,X,X,X,X,X,X,X,X,O,O,X
TJZLISO,X,X,X,X,X,O,X,X,O,O,X
TJZLIOS,X,X,X,X,O,X,X,X,O,O,X
TJZLSIO,X,X,X,X,X,O,X,X,O,O,X
TJZLSOI,X,X,X,X,X,X,X,X,O,O,X
TJZLOIS,X,X,X,X,O,X,X,X,O,O,X
TJZLOSI,X,X,X,X,X,X,X,X,O,O,X
TJZSILO,X,X,X,X,X,X,X,X,O,O,X
TJZSIOL,X,X,X,X,X,X,X,X,O,O,X
TJZSLIO,X,X,X,X,X,X,X,X,O,O,X
TJZSLOI,X,X,X,X,X,X,X,X,O,O,X
TJZSOIL,X,X,X,X,X,X,X,X,O,O,X
TJZSOLI,X,X,X,X,X,X,X,X,O,O,X
TJZOILS,X,X,X,X,X,X,X,X,O,O,X
TJZOISL,X,X,X,X,X,X,X,X,O,O,X
TJZOLIS,X,X,X,X,O,X,X,X,O,O,X
TJZOLSI,X,X,X,X,X,X,X,X,O,O,X
TJZOSIL,X,X,X,X,X,X,X,X,O,O,X
TJZOSLI,X,X,X,X,X,X,X,X,O,O,X
TJOILSZ,X,X,X,O,X,X,X,O,O,O,X
TJOILZS,X,X,X,X,X,X,X,O,O,O,X
TJOISLZ,X,X,X,X,X,X,X,O,O,O,X
TJOISZL,X,X,X,X,X,X,X,O,O,O,X
TJOIZLS,X,X,X,X,X,X,X,O,O,O,X
TJOIZSL,X,X,X,X,X,X,X,O,O,O,X
TJOLISZ,X,X,O,O,X,X,X,O,O,O,X
TJOLIZS,X,X,X,X,O,X,X,O,O,O,X
TJOLSIZ,X,X,O,O,X,X,X,O,O,O,X
TJOLSZI,X,X,X,X,X,X,X,O,O,O,X
TJOLZIS,X,X,X,X,O,X,X,X,O,O,X
TJOLZSI,X,X,X,X,X,X,X,X,O,O,X
TJOSILZ,X,X,X,X,X,X,X,O,O,O,X
TJOSIZL,X,X,X,X,X,X,X,O,O,O,X
TJOSLIZ,X,X,O,X,X,X,X,O,O,O,X
TJOSLZI,X,X,X,X,X,X,X,O,O,O,X
TJOSZIL,X,X,X,X,X,X,X,O,O,O,X
TJOSZLI,X,X,X,X,X,X,X,O,O,O,X
TJOZILS,X,X,X,X,X,X,X,X,O,O,X
TJOZISL,X,X,X,X,X,X,X,X,O,O,X
TJOZLIS,X,X,X,X,O,X,X,X,O,O,X
TJOZLSI,X,X,X,X,X,X,X,X,O,O,X
TJOZSIL,X,X,X,X,X,X,X,X,O,O,X
TJOZSLI,X,X,X,X,X,X,X,X,O,O,X
TSILJZO,X,X,X,X,X,X,X,X,O,O,O
TSILJOZ,X,X,X,X,X,X,X,X,O,O,O
TSILZJO,O,X,X,X,X,O,X,X,O,O,O
TSILZOJ,O,X,X,X,X,O,X,X,O,O,O
TSILOJZ,X,X,X,X,X,X,X,X,O,O,O
TSILOZJ,O,X,X,X,X,X,X,X,X,O,O
TSIJLZO,X,X,X,X,X,X,X,X,O,O,O
TSIJLOZ,X,X,X,X,X,X,X,X,O,O,O
TSIJZLO,X,X,X,X,X,X,X,X,O,O,O
TSIJZOL,X,X,X,X,X,X,X,X,O,O,O
TSIJOLZ,X,X,X,X,X,X,X,X,O,O,O
TSIJOZL,X,X,X,X,X,X,X,X,O,O,O
TSIZLJO,O,X,X,X,X,O,X,X,O,O,O
TSIZLOJ,O,X,X,X,X,O,X,X,O,O,O
TSIZJLO,X,X,X,X,X,X,X,X,O,O,O
TSIZJOL,X,X,X,X,X,X,X,X,O,O,O
TSIZOLJ,O,X,X,X,X,X,X,X,X,X,O
TSIZOJL,X,X,X,X,X,X,X,X,X,X,O
TSIOLJZ,X,X,X,X,X,X,X,X,X,O,O
TSIOLZJ,O,X,X,X,X,X,X,X,X,O,O
TSIOJLZ,X,X,X,X,X,X,X,X,X,O,O
TSIOJZL,X,X,X,X,X,X,X,X,X,O,O
TSIOZLJ,O,X,X,X,X,X,X,X,X,X,O
TSIOZJL,X,X,X,X,X,X,X,X,X,X,O
TSLIJZO,X,X,X,X,X,X,X,X,O,O,O
TSLIJOZ,X,X,O,X,X,X,X,X,O,O,O
TSLIZJO,O,X,X,X,X,O,X,X,O,O,O
TSLIZOJ,O,X,X,X,X,O,X,X,O,O,O
TSLIOJZ,X,X,X,X,X,X,X,X,O,O,O
TSLIOZJ,O,X,X,X,X,X,X,X,X,O,O
TSLJIZO,X,X,X,X,X,X,X,X,O,O,O
TSLJIOZ,X,X,O,X,X,X,X,X,O,O,O
TSLJZIO,X,X,X,X,X,X,X,X,O,O,O
TSLJZOI,X,X,X,X,X,X,X,X,O,O,O
TSLJOIZ,X,X,O,X,X,X,X,X,O,O,X
TSLJOZI,X,X,X,X,X,X,X,X,O,O,X
TSLZIJO,X,X,X,X,X,O,X,X,O,O,O
TSLZIOJ,X,X,X,X,X,O,X,X,O,O,O
TSLZJIO,X,X,X,X,X,O,X,X,O,O,O
TSLZJOI,X,X,X,X,X,X,X,X,O,O,O
