sequence,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jeu9IvhF6UBzfBvbBM?aBJLBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jeu9IvhF6UBlrBMqBv?pBzfBJVB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jeu9IvhF6UBlrB0pBT?lB3fBJVB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jeu9IvhF6UBlrBXqBT?kBUgBJVB
LJTSZIO,X,O,O,X
LJTSZOI,X,O,O,O
LJTSOIZ,O,O,X,O
LJTSOZI,O,O,O,O
LJTZISO,X,O,O,X
LJTZIOS,X,X,O,X
LJTZSIO,X,O,O,X
LJTZSOI,X,O,O,O
LJTZOIS,O,X,O,X
LJTZOSI,O,O,O,X
LJTOISZ,O,X,X,X
LJTOIZS,O,X,O,X
LJTOSIZ,O,O,X,O
LJTOSZI,O,O,O,O
LJTOZIS,O,X,O,X
LJTOZSI,O,O,O,X
LJITSZO,X,O,X,X
LJITSOZ,X,O,X,O
LJITZSO,X,O,O,X
LJITZOS,X,X,O,X
LJITOSZ,O,X,X,X
LJITOZS,O,X,O,X
LJISTZO,X,O,X,X
LJISTOZ,X,O,X,O
LJISZTO,X,O,X,X
LJISZOT,X,O,X,X
LJISOTZ,X,O,X,O
LJISOZT,X,O,X,O
LJIZTSO,X,O,O,X
LJIZTOS,X,X,O,X
LJIZSTO,X,O,O,X
LJIZSOT,X,O,O,X
LJIZOTS,X,X,O,X
LJIZOST,X,X,O,X
LJIOTSZ,O,X,X,X
LJIOTZS,O,X,O,X
LJIOSTZ,O,X,X,X
LJIOSZT,O,X,X,X
LJIOZTS,O,X,O,X
LJIOZST,O,X,O,X
LJSTIZO,X,O,X,X
LJSTIOZ,X,O,X,O
LJSTZIO,X,O,O,X
LJSTZOI,X,O,O,O
LJSTOIZ,O,O,X,O
LJSTOZI,O,O,O,O
LJSITZO,X,O,X,X
LJSITOZ,X,O,X,O
LJSIZTO,X,O,X,X
LJSIZOT,X,O,X,X
LJSIOTZ,X,O,X,O
LJSIOZT,X,O,X,O
LJSZTIO,X,O,O,X
LJSZTOI,X,O,O,O
LJSZITO,X,O,O,X
LJSZIOT,X,O,O,X
LJSZOTI,X,O,O,O
LJSZOIT,X,O,O,O
LJSOTIZ,O,O,X,O
LJSOTZI,O,O,O,O
LJSOITZ,O,O,X,O
LJSOIZT,O,O,X,O
LJSOZTI,O,O,O,O
LJSOZIT,O,O,O,O
LJZTISO,X,O,O,X
LJZTIOS,X,X,O,X
LJZTSIO,X,O,O,X
LJZTSOI,X,O,O,O
LJZTOIS,O,X,O,X
LJZTOSI,O,O,O,X
LJZITSO,X,O,O,X
LJZITOS,X,X,O,X
LJZISTO,X,O,O,X
LJZISOT,X,O,O,X
LJZIOTS,X,X,O,X
LJZIOST,X,X,O,X
LJZSTIO,X,O,O,X
LJZSTOI,X,O,O,O
LJZSITO,X,O,O,X
LJZSIOT,X,O,O,X
LJZSOTI,X,O,O,O
LJZSOIT,X,O,O,O
LJZOTIS,O,X,O,X
LJZOTSI,O,O,O,X
LJZOITS,O,X,O,X
LJZOIST,O,X,O,X
LJZOSTI,O,O,O,X
LJZOSIT,O,O,O,X
LJOTISZ,O,X,X,X
LJOTIZS,O,X,O,X
LJOTSIZ,O,O,X,O
LJOTSZI,O,O,O,O
LJOTZIS,O,X,O,X
LJOTZSI,O,O,O,X
LJOITSZ,O,X,X,X
LJOITZS,O,X,O,X
LJOISTZ,O,X,X,X
LJOISZT,O,X,X,X
LJOIZTS,O,X,O,X
LJOIZST,O,X,O,X
LJOSTIZ,O,O,X,O
LJOSTZI,O,O,O,O
LJOSITZ,O,O,X,O
LJOSIZT,O,O,X,O
LJOSZTI,O,O,O,O
LJOSZIT,O,O,O,O
LJOZTIS,O,X,O,X
LJOZTSI,O,O,O,X
LJOZITS,O,X,O,X
LJOZIST,O,X,O,X
LJOZSTI,O,O,O,X
LJOZSIT,O,O,O,X
LSTIJZO,X,O,X,X
LSTIJOZ,X,O,X,O
LSTIZJO,X,O,X,X
LSTIZOJ,X,O,X,X
LSTIOJZ,X,O,X,O
LSTIOZJ,X,O,X,O
LSTJIZO,X,O,X,X
LSTJIOZ,X,O,X,O
LSTJZIO,X,O,O,X
LSTJZOI,X,O,O,O
LSTJOIZ,O,O,X,O
LSTJOZI,O,O,O,O
LSTZIJO,X,O,O,X
LSTZIOJ,X,O,O,X
LSTZJIO,X,O,O,X
LSTZJOI,X,O,O,O
LSTZOIJ,X,O,O,O
LSTZOJI,X,O,O,O
LSTOIJZ,O,O,X,O
LSTOIZJ,O,O,X,O
LSTOJIZ,O,O,X,O
LSTOJZI,O,O,O,O
LSTOZIJ,O,O,O,O
LSTOZJI,O,O,O,O
LSITJZO,X,O,X,X
LSITJOZ,X,O,X,O
LSITZJO,X,O,X,X
LSITZOJ,X,O,X,X
LSITOJZ,X,O,X,O
LSITOZJ,X,O,X,O
LSIJTZO,X,O,X,X
LSIJTOZ,X,O,X,O
LSIJZTO,X,O,X,X
LSIJZOT,X,O,X,X
LSIJOTZ,X,O,X,O
LSIJOZT,X,O,X,O
LSIZTJO,X,O,X,X
LSIZTOJ,X,O,X,X
LSIZJTO,X,O,X,X
LSIZJOT,X,O,X,X
LSIZOTJ,X,O,X,X
LSIZOJT,X,O,X,X
LSIOTJZ,X,O,X,O
LSIOTZJ,X,O,X,O
LSIOJTZ,X,O,X,O
LSIOJZT,X,O,X,O
LSIOZTJ,X,O,X,O
LSIOZJT,X,O,X,O
LSJTIZO,X,O,X,X
LSJTIOZ,X,O,X,O
LSJTZIO,X,O,O,X
LSJTZOI,X,O,O,O
LSJTOIZ,O,O,X,O
LSJTOZI,O,O,O,O
LSJITZO,X,O,X,X
LSJITOZ,X,O,X,O
LSJIZTO,X,O,X,X
LSJIZOT,X,O,X,X
LSJIOTZ,X,O,X,O
LSJIOZT,X,O,X,O
LSJZTIO,X,O,O,X
LSJZTOI,X,O,O,O
LSJZITO,X,O,O,X
LSJZIOT,X,O,O,X
LSJZOTI,X,O,O,O
LSJZOIT,X,O,O,O
LSJOTIZ,O,O,X,O
LSJOTZI,O,O,O,O
LSJOITZ,O,O,X,O
LSJOIZT,O,O,X,O
LSJOZTI,O,O,O,O
LSJOZIT,O,O,O,O
LSZTIJO,X,O,O,X
LSZTIOJ,X,O,O,X
LSZTJIO,X,O,O,X
LSZTJOI,X,O,O,O
LSZTOIJ,X,O,O,O
LSZTOJI,X,O,O,O
LSZITJO,X,O,O,X
LSZITOJ,X,O,O,X
LSZIJTO,X,O,O,X
LSZIJOT,X,O,O,X
LSZIOTJ,X,O,O,X
LSZIOJT,X,O,O,X
LSZJTIO,X,O,O,X
LSZJTOI,X,O,O,O
LSZJITO,X,O,O,X
LSZJIOT,X,O,O,X
LSZJOTI,X,O,O,O
LSZJOIT,X,O,O,O
LSZOTIJ,X,O,O,O
LSZOTJI,X,O,O,O
LSZOITJ,X,O,O,O
LSZOIJT,X,O,O,O
LSZOJTI,X,O,O,O
LSZOJIT,X,O,O,O
LSOTIJZ,O,O,X,O
LSOTIZJ,O,O,X,O
LSOTJIZ,O,O,X,O
LSOTJZI,O,O,O,O
LSOTZIJ,O,O,O,O
LSOTZJI,O,O,O,O
LSOITJZ,O,O,X,O
LSOITZJ,O,O,X,O
LSOIJTZ,O,O,X,O
LSOIJZT,O,O,X,O
LSOIZTJ,O,O,X,O
LSOIZJT,O,O,X,O
LSOJTIZ,O,O,X,O
LSOJTZI,O,O,O,O
LSOJITZ,O,O,X,O
LSOJIZT,O,O,X,O
LSOJZTI,O,O,O,O
LSOJZIT,O,O,O,O
LSOZTIJ,O,O,O,O
LSOZTJI,O,O,O,O
LSOZITJ,O,O,O,O
LSOZIJT,O,O,O,O
LSOZJTI,O,O,O,O
LSOZJIT,O,O,O,O
LZTIJSO,X,O,O,X
LZTIJOS,X,X,O,X
LZTISJO,X,O,O,X
LZTISOJ,X,O,O,X
LZTIOJS,X,X,O,X
LZTIOSJ,X,X,O,X
LZTJISO,X,O,O,X
LZTJIOS,X,X,O,X
LZTJSIO,X,O,O,X
LZTJSOI,X,O,O,O
LZTJOIS,O,X,O,X
LZTJOSI,O,O,O,X
LZTSIJO,X,O,O,X
LZTSIOJ,X,O,O,X
LZTSJIO,X,O,O,X
LZTSJOI,X,O,O,O
LZTSOIJ,X,O,O,O
LZTSOJI,X,O,O,O
LZTOIJS,O,X,O,X
LZTOISJ,O,X,O,X
LZTOJIS,O,X,O,X
LZTOJSI,O,O,O,X
LZTOSIJ,O,O,O,X
LZTOSJI,O,O,O,X
LZITJSO,X,O,O,X
LZITJOS,X,X,O,X
LZITSJO,X,O,O,X
LZITSOJ,X,O,O,X
LZITOJS,X,X,O,X
LZITOSJ,X,X,O,X
LZIJTSO,X,O,O,X
LZIJTOS,X,X,O,X
LZIJSTO,X,O,O,X
LZIJSOT,X,O,O,X
LZIJOTS,X,X,O,X
LZIJOST,X,X,O,X
LZISTJO,X,O,O,X
LZISTOJ,X,O,O,X
LZISJTO,X,O,O,X
LZISJOT,X,O,O,X
LZISOTJ,X,O,O,X
LZISOJT,X,O,O,X
LZIOTJS,X,X,O,X
LZIOTSJ,X,X,O,X
LZIOJTS,X,X,O,X
LZIOJST,X,X,O,X
LZIOSTJ,X,X,O,X
LZIOSJT,X,X,O,X
LZJTISO,X,O,O,X
LZJTIOS,X,X,O,X
LZJTSIO,X,O,O,X
LZJTSOI,X,O,O,O
LZJTOIS,O,X,O,X
LZJTOSI,O,O,O,X
LZJITSO,X,O,O,X
LZJITOS,X,X,O,X
LZJISTO,X,O,O,X
LZJISOT,X,O,O,X
LZJIOTS,X,X,O,X
LZJIOST,X,X,O,X
LZJSTIO,X,O,O,X
LZJSTOI,X,O,O,O
LZJSITO,X,O,O,X
LZJSIOT,X,O,O,X
LZJSOTI,X,O,O,O
LZJSOIT,X,O,O,O
LZJOTIS,O,X,O,X
LZJOTSI,O,O,O,X
LZJOITS,O,X,O,X
LZJOIST,O,X,O,X
LZJOSTI,O,O,O,X
LZJOSIT,O,O,O,X
LZSTIJO,X,O,O,X
LZSTIOJ,X,O,O,X
LZSTJIO,X,O,O,X
LZSTJOI,X,O,O,O
LZSTOIJ,X,O,O,O
LZSTOJI,X,O,O,O
LZSITJO,X,O,O,X
LZSITOJ,X,O,O,X
LZSIJTO,X,O,O,X
LZSIJOT,X,O,O,X
LZSIOTJ,X,O,O,X
LZSIOJT,X,O,O,X
LZSJTIO,X,O,O,X
LZSJTOI,X,O,O,O
LZSJITO,X,O,O,X
LZSJIOT,X,O,O,X
LZSJOTI,X,O,O,O
LZSJOIT,X,O,O,O
LZSOTIJ,X,O,O,O
LZSOTJI,X,O,O,O
LZSOITJ,X,O,O,O
LZSOIJT,X,O,O,O
LZSOJTI,X,O,O,O
LZSOJIT,X,O,O,O
LZOTIJS,O,X,O,X
LZOTISJ,O,X,O,X
LZOTJIS,O,X,O,X
LZOTJSI,O,O,O,X
LZOTSIJ,O,O,O,X
LZOTSJI,O,O,O,X
LZOITJS,O,X,O,X
LZOITSJ,O,X,O,X
LZOIJTS,O,X,O,X
LZOIJST,O,X,O,X
LZOISTJ,O,X,O,X
LZOISJT,O,X,O,X
LZOJTIS,O,X,O,X
LZOJTSI,O,O,O,X
LZOJITS,O,X,O,X
LZOJIST,O,X,O,X
LZOJSTI,O,O,O,X
LZOJSIT,O,O,O,X
LZOSTIJ,O,O,O,X
LZOSTJI,O,O,O,X
LZOSITJ,O,O,O,X
LZOSIJT,O,O,O,X
LZOSJTI,O,O,O,X
LZOSJIT,O,O,O,X
LOTIJSZ,O,X,X,X
LOTIJZS,O,X,O,X
LOTISJZ,O,X,X,X
LOTISZJ,O,X,X,X
LOTIZJS,O,X,O,X
LOTIZSJ,O,X,O,X
LOTJISZ,O,X,X,X
LOTJIZS,O,X,O,X
LOTJSIZ,O,O,X,O
LOTJSZI,O,O,O,O
LOTJZIS,O,X,O,X
LOTJZSI,O,O,O,X
LOTSIJZ,O,O,X,O
LOTSIZJ,O,O,X,O
LOTSJIZ,O,O,X,O
LOTSJZI,O,O,O,O
LOTSZIJ,O,O,O,O
LOTSZJI,O,O,O,O
LOTZIJS,O,X,O,X
LOTZISJ,O,X,O,X
LOTZJIS,O,X,O,X
LOTZJSI,O,O,O,X
LOTZSIJ,O,O,O,X
LOTZSJI,O,O,O,X
LOITJSZ,O,X,X,X
LOITJZS,O,X,O,X
LOITSJZ,O,X,X,X
LOITSZJ,O,X,X,X
LOITZJS,O,X,O,X
LOITZSJ,O,X,O,X
LOIJTSZ,O,X,X,X
LOIJTZS,O,X,O,X
LOIJSTZ,O,X,X,X
LOIJSZT,O,X,X,X
LOIJZTS,O,X,O,X
LOIJZST,O,X,O,X
LOISTJZ,O,X,X,X
LOISTZJ,O,X,X,X
LOISJTZ,O,X,X,X
LOISJZT,O,X,X,X
LOISZTJ,O,X,X,X
LOISZJT,O,X,X,X
LOIZTJS,O,X,O,X
LOIZTSJ,O,X,O,X
LOIZJTS,O,X,O,X
LOIZJST,O,X,O,X
LOIZSTJ,O,X,O,X
LOIZSJT,O,X,O,X
LOJTISZ,O,X,X,X
LOJTIZS,O,X,O,X
LOJTSIZ,O,O,X,O
LOJTSZI,O,O,O,O
LOJTZIS,O,X,O,X
LOJTZSI,O,O,O,X
LOJITSZ,O,X,X,X
LOJITZS,O,X,O,X
LOJISTZ,O,X,X,X
LOJISZT,O,X,X,X
LOJIZTS,O,X,O,X
LOJIZST,O,X,O,X
LOJSTIZ,O,O,X,O
LOJSTZI,O,O,O,O
LOJSITZ,O,O,X,O
LOJSIZT,O,O,X,O
LOJSZTI,O,O,O,O
LOJSZIT,O,O,O,O
LOJZTIS,O,X,O,X
LOJZTSI,O,O,O,X
LOJZITS,O,X,O,X
LOJZIST,O,X,O,X
LOJZSTI,O,O,O,X
LOJZSIT,O,O,O,X
LOSTIJZ,O,O,X,O
LOSTIZJ,O,O,X,O
LOSTJIZ,O,O,X,O
LOSTJZI,O,O,O,O
LOSTZIJ,O,O,O,O
LOSTZJI,O,O,O,O
LOSITJZ,O,O,X,O
LOSITZJ,O,O,X,O
LOSIJTZ,O,O,X,O
LOSIJZT,O,O,X,O
LOSIZTJ,O,O,X,O
LOSIZJT,O,O,X,O
LOSJTIZ,O,O,X,O
LOSJTZI,O,O,O,O
LOSJITZ,O,O,X,O
LOSJIZT,O,O,X,O
LOSJZTI,O,O,O,O
LOSJZIT,O,O,O,O
LOSZTIJ,O,O,O,O
LOSZTJI,O,O,O,O
LOSZITJ,O,O,O,O
LOSZIJT,O,O,O,O
LOSZJTI,O,O,O,O
LOSZJIT,O,O,O,O
LOZTIJS,O,X,O,X
LOZTISJ,O,X,O,X
LOZTJIS,O,X,O,X
LOZTJSI,O,O,O,X
LOZTSIJ,O,O,O,X
LOZTSJI,O,O,O,X
LOZITJS,O,X,O,X
LOZITSJ,O,X,O,X
LOZIJTS,O,X,O,X
LOZIJST,O,X,O,X
LOZISTJ,O,X,O,X
LOZISJT,O,X,O,X
LOZJTIS,O,X,O,X
LOZJTSI,O,O,O,X
LOZJITS,O,X,O,X
LOZJIST,O,X,O,X
LOZJSTI,O,O,O,X
LOZJSIT,O,O,O,X
LOZSTIJ,O,O,O,X
LOZSTJI,O,O,O,X
LOZSITJ,O,O,O,X
LOZSIJT,O,O,O,X
LOZSJTI,O,O,O,X
LOZSJIT,O,O,O,X
JTILSZO,X,O,X,X
JTILSOZ,X,O,X,O
JTILZSO,X,O,O,X
JTILZOS,X,X,O,X
JTILOSZ,O,X,X,X
JTILOZS,O,X,O,X
JTISLZO,X,O,X,X
JTISLOZ,X,O,X,O
JTISZLO,X,O,X,X
JTISZOL,X,O,X,X
JTISOLZ,X,O,X,O
JTISOZL,X,O,X,O
JTIZLSO,X,O,O,X
JTIZLOS,X,X,O,X
JTIZSLO,X,O,O,X
JTIZSOL,X,O,O,X
JTIZOLS,X,X,O,X
JTIZOSL,X,X,O,X
JTIOLSZ,O,X,X,X
JTIOLZS,O,X,O,X
JTIOSLZ,O,X,X,X
JTIOSZL,O,X,X,X
JTIOZLS,O,X,O,X
JTIOZSL,O,X,O,X
JTLISZO,X,O,X,X
JTLISOZ,X,O,X,O
JTLIZSO,X,O,O,X
JTLIZOS,X,X,O,X
JTLIOSZ,O,X,X,X
JTLIOZS,O,X,O,X
JTLSIZO,X,O,X,X
JTLSIOZ,X,O,X,O
JTLSZIO,X,O,O,X
JTLSZOI,X,O,O,O
JTLSOIZ,O,O,X,O
JTLSOZI,O,O,O,O
JTLZISO,X,O,O,X
JTLZIOS,X,X,O,X
JTLZSIO,X,O,O,X
JTLZSOI,X,O,O,O
JTLZOIS,O,X,O,X
JTLZOSI,O,O,O,X
JTLOISZ,O,X,X,X
JTLOIZS,O,X,O,X
JTLOSIZ,O,O,X,O
JTLOSZI,O,O,O,O
JTLOZIS,O,X,O,X
JTLOZSI,O,O,O,X
JTSILZO,X,O,X,X
JTSILOZ,X,O,X,O
JTSIZLO,X,O,X,X
JTSIZOL,X,O,X,X
JTSIOLZ,X,O,X,O
JTSIOZL,X,O,X,O
JTSLIZO,X,O,X,X
JTSLIOZ,X,O,X,O
JTSLZIO,X,O,O,X
JTSLZOI,X,O,O,O
JTSLOIZ,O,O,X,O
JTSLOZI,O,O,O,O
JTSZILO,X,O,O,X
JTSZIOL,X,O,O,X
JTSZLIO,X,O,O,X
JTSZLOI,X,O,O,O
JTSZOIL,X,O,O,O
JTSZOLI,X,O,O,O
JTSOILZ,O,O,X,O
JTSOIZL,O,O,X,O
JTSOLIZ,O,O,X,O
JTSOLZI,O,O,O,O
JTSOZIL,O,O,O,O
JTSOZLI,O,O,O,O
JTZILSO,X,O,O,X
JTZILOS,X,X,O,X
JTZISLO,X,O,O,X
JTZISOL,X,O,O,X
JTZIOLS,X,X,O,X
JTZIOSL,X,X,O,X
JTZLISO,X,O,O,X
JTZLIOS,X,X,O,X
JTZLSIO,X,O,O,X
JTZLSOI,X,O,O,O
JTZLOIS,O,X,O,X
JTZLOSI,O,O,O,X
JTZSILO,X,O,O,X
JTZSIOL,X,O,O,X
JTZSLIO,X,O,O,X
JTZSLOI,X,O,O,O
JTZSOIL,X,O,O,O
JTZSOLI,X,O,O,O
JTZOILS,O,X,O,X
JTZOISL,O,X,O,X
JTZOLIS,O,X,O,X
JTZOLSI,O,O,O,X
JTZOSIL,O,O,O,X
JTZOSLI,O,O,O,X
JTOILSZ,O,X,X,X
JTOILZS,O,X,O,X
JTOISLZ,O,X,X,X
JTOISZL,O,X,X,X
JTOIZLS,O,X,O,X
JTOIZSL,O,X,O,X
JTOLISZ,O,X,X,X
JTOLIZS,O,X,O,X
JTOLSIZ,O,O,X,O
JTOLSZI,O,O,O,O
JTOLZIS,O,X,O,X
JTOLZSI,O,O,O,X
JTOSILZ,O,O,X,O
JTOSIZL,O,O,X,O
JTOSLIZ,O,O,X,O
JTOSLZI,O,O,O,O
JTOSZIL,O,O,O,O
JTOSZLI,O,O,O,O
JTOZILS,O,X,O,X
JTOZISL,O,X,O,X
JTOZLIS,O,X,O,X
JTOZLSI,O,O,O,X
JTOZSIL,O,O,O,X
JTOZSLI,O,O,O,X
JITLSZO,X,O,X,X
JITLSOZ,X,O,X,O
JITLZSO,X,O,O,X
JITLZOS,X,X,O,X
JITLOSZ,O,X,X,X
JITLOZS,O,X,O,X
JITSLZO,X,O,X,X
JITSLOZ,X,O,X,O
JITSZLO,X,O,X,X
JITSZOL,X,O,X,X
JITSOLZ,X,O,X,O
JITSOZL,X,O,X,O
JITZLSO,X,O,O,X
JITZLOS,X,X,O,X
JITZSLO,X,O,O,X
JITZSOL,X,O,O,X
JITZOLS,X,X,O,X
JITZOSL,X,X,O,X
JITOLSZ,O,X,X,X
JITOLZS,O,X,O,X
JITOSLZ,O,X,X,X
JITOSZL,O,X,X,X
JITOZLS,O,X,O,X
JITOZSL,O,X,O,X
JILTSZO,X,O,X,X
JILTSOZ,X,O,X,O
JILTZSO,X,O,O,X
JILTZOS,X,X,O,X
JILTOSZ,O,X,X,X
JILTOZS,O,X,O,X
JILSTZO,X,O,X,X
JILSTOZ,X,O,X,O
JILSZTO,X,O,X,X
JILSZOT,X,O,X,X
JILSOTZ,X,O,X,O
JILSOZT,X,O,X,O
JILZTSO,X,O,O,X
JILZTOS,X,X,O,X
JILZSTO,X,O,O,X
JILZSOT,X,O,O,X
JILZOTS,X,X,O,X
JILZOST,X,X,O,X
JILOTSZ,O,X,X,X
JILOTZS,O,X,O,X
JILOSTZ,O,X,X,X
JILOSZT,O,X,X,X
JILOZTS,O,X,O,X
JILOZST,O,X,O,X
JISTLZO,X,O,X,X
JISTLOZ,X,O,X,O
JISTZLO,X,O,X,X
JISTZOL,X,O,X,X
JISTOLZ,X,O,X,O
JISTOZL,X,O,X,O
JISLTZO,X,O,X,X
JISLTOZ,X,O,X,O
JISLZTO,X,O,X,X
JISLZOT,X,O,X,X
JISLOTZ,X,O,X,O
JISLOZT,X,O,X,O
JISZTLO,X,O,X,X
JISZTOL,X,O,X,X
JISZLTO,X,O,X,X
JISZLOT,X,O,X,X
JISZOTL,X,O,X,X
JISZOLT,X,O,X,X
JISOTLZ,X,O,X,O
JISOTZL,X,O,X,O
JISOLTZ,X,O,X,O
JISOLZT,X,O,X,O
JISOZTL,X,O,X,O
JISOZLT,X,O,X,O
JIZTLSO,X,O,O,X
JIZTLOS,X,X,O,X
JIZTSLO,X,O,O,X
JIZTSOL,X,O,O,X
JIZTOLS,X,X,O,X
JIZTOSL,X,X,O,X
JIZLTSO,X,O,O,X
JIZLTOS,X,X,O,X
JIZLSTO,X,O,O,X
JIZLSOT,X,O,O,X
JIZLOTS,X,X,O,X
JIZLOST,X,X,O,X
JIZSTLO,X,O,O,X
JIZSTOL,X,O,O,X
JIZSLTO,X,O,O,X
JIZSLOT,X,O,O,X
JIZSOTL,X,O,O,X
JIZSOLT,X,O,O,X
JIZOTLS,X,X,O,X
JIZOTSL,X,X,O,X
JIZOLTS,X,X,O,X
JIZOLST,X,X,O,X
JIZOSTL,X,X,O,X
JIZOSLT,X,X,O,X
JIOTLSZ,O,X,X,X
JIOTLZS,O,X,O,X
JIOTSLZ,O,X,X,X
JIOTSZL,O,X,X,X
JIOTZLS,O,X,O,X
JIOTZSL,O,X,O,X
JIOLTSZ,O,X,X,X
JIOLTZS,O,X,O,X
JIOLSTZ,O,X,X,X
JIOLSZT,O,X,X,X
JIOLZTS,O,X,O,X
JIOLZST,O,X,O,X
JIOSTLZ,O,X,X,X
JIOSTZL,O,X,X,X
JIOSLTZ,O,X,X,X
JIOSLZT,O,X,X,X
JIOSZTL,O,X,X,X
JIOSZLT,O,X,X,X
JIOZTLS,O,X,O,X
JIOZTSL,O,X,O,X
JIOZLTS,O,X,O,X
JIOZLST,O,X,O,X
JIOZSTL,O,X,O,X
JIOZSLT,O,X,O,X
JLTISZO,X,O,X,X
JLTISOZ,X,O,X,O
JLTIZSO,X,O,O,X
JLTIZOS,X,X,O,X
JLTIOSZ,O,X,X,X
JLTIOZS,O,X,O,X
JLTSIZO,X,O,X,X
JLTSIOZ,X,O,X,O
JLTSZIO,X,O,O,X
JLTSZOI,X,O,O,O
JLTSOIZ,O,O,X,O
JLTSOZI,O,O,O,O
JLTZISO,X,O,O,X
JLTZIOS,X,X,O,X
JLTZSIO,X,O,O,X
JLTZSOI,X,O,O,O
JLTZOIS,O,X,O,X
JLTZOSI,O,O,O,X
JLTOISZ,O,X,X,X
JLTOIZS,O,X,O,X
JLTOSIZ,O,O,X,O
JLTOSZI,O,O,O,O
JLTOZIS,O,X,O,X
JLTOZSI,O,O,O,X
JLITSZO,X,O,X,X
JLITSOZ,X,O,X,O
JLITZSO,X,O,O,X
JLITZOS,X,X,O,X
JLITOSZ,O,X,X,X
JLITOZS,O,X,O,X
JLISTZO,X,O,X,X
JLISTOZ,X,O,X,O
JLISZTO,X,O,X,X
JLISZOT,X,O,X,X
JLISOTZ,X,O,X,O
JLISOZT,X,O,X,O
JLIZTSO,X,O,O,X
JLIZTOS,X,X,O,X
JLIZSTO,X,O,O,X
JLIZSOT,X,O,O,X
JLIZOTS,X,X,O,X
JLIZOST,X,X,O,X
JLIOTSZ,O,X,X,X
JLIOTZS,O,X,O,X
JLIOSTZ,O,X,X,X
JLIOSZT,O,X,X,X
JLIOZTS,O,X,O,X
JLIOZST,O,X,O,X
JLSTIZO,X,O,X,X
JLSTIOZ,X,O,X,O
JLSTZIO,X,O,O,X
JLSTZOI,X,O,O,O
JLSTOIZ,O,O,X,O
JLSTOZI,O,O,O,O
JLSITZO,X,O,X,X
JLSITOZ,X,O,X,O
JLSIZTO,X,O,X,X
JLSIZOT,X,O,X,X
JLSIOTZ,X,O,X,O
JLSIOZT,X,O,X,O
JLSZTIO,X,O,O,X
JLSZTOI,X,O,O,O
JLSZITO,X,O,O,X
JLSZIOT,X,O,O,X
JLSZOTI,X,O,O,O
JLSZOIT,X,O,O,O
JLSOTIZ,O,O,X,O
JLSOTZI,O,O,O,O
JLSOITZ,O,O,X,O
JLSOIZT,O,O,X,O
JLSOZTI,O,O,O,O
JLSOZIT,O,O,O,O
JLZTISO,X,O,O,X
JLZTIOS,X,X,O,X
JLZTSIO,X,O,O,X
JLZTSOI,X,O,O,O
JLZTOIS,O,X,O,X
JLZTOSI,O,O,O,X
JLZITSO,X,O,O,X
JLZITOS,X,X,O,X
JLZISTO,X,O,O,X
JLZISOT,X,O,O,X
JLZIOTS,X,X,O,X
JLZIOST,X,X,O,X
JLZSTIO,X,O,O,X
JLZSTOI,X,O,O,O
JLZSITO,X,O,O,X
JLZSIOT,X,O,O,X
JLZSOTI,X,O,O,O
JLZSOIT,X,O,O,O
JLZOTIS,O,X,O,X
JLZOTSI,O,O,O,X
JLZOITS,O,X,O,X
JLZOIST,O,X,O,X
JLZOSTI,O,O,O,X
JLZOSIT,O,O,O,X
JLOTISZ,O,X,X,X
JLOTIZS,O,X,O,X
JLOTSIZ,O,O,X,O
JLOTSZI,O,O,O,O
JLOTZIS,O,X,O,X
JLOTZSI,O,O,O,X
JLOITSZ,O,X,X,X
JLOITZS,O,X,O,X
JLOISTZ,O,X,X,X
JLOISZT,O,X,X,X
JLOIZTS,O,X,O,X
JLOIZST,O,X,O,X
JLOSTIZ,O,O,X,O
JLOSTZI,O,O,O,O
JLOSITZ,O,O,X,O
JLOSIZT,O,O,X,O
JLOSZTI,O,O,O,O
JLOSZIT,O,O,O,O
JLOZTIS,O,X,O,X
JLOZTSI,O,O,O,X
JLOZITS,O,X,O,X
JLOZIST,O,X,O,X
JLOZSTI,O,O,O,X
JLOZSIT,O,O,O,X
JSTILZO,X,O,X,X
JSTILOZ,X,O,X,O
JSTIZLO,X,O,X,X
JSTIZOL,X,O,X,X
JSTIOLZ,X,O,X,O
JSTIOZL,X,O,X,O
JSTLIZO,X,O,X,X
JSTLIOZ,X,O,X,O
JSTLZIO,X,O,O,X
JSTLZOI,X,O,O,O
JSTLOIZ,O,O,X,O
JSTLOZI,O,O,O,O
JSTZILO,X,O,O,X
JSTZIOL,X,O,O,X
JSTZLIO,X,O,O,X
JSTZLOI,X,O,O,O
JSTZOIL,X,O,O,O
JSTZOLI,X,O,O,O
JSTOILZ,O,O,X,O
JSTOIZL,O,O,X,O
JSTOLIZ,O,O,X,O
JSTOLZI,O,O,O,O
JSTOZIL,O,O,O,O
JSTOZLI,O,O,O,O
JSITLZO,X,O,X,X
JSITLOZ,X,O,X,O
JSITZLO,X,O,X,X
JSITZOL,X,O,X,X
JSITOLZ,X,O,X,O
JSITOZL,X,O,X,O
JSILTZO,X,O,X,X
JSILTOZ,X,O,X,O
JSILZTO,X,O,X,X
