sequence,v115@KhA8FeD8AeB8CeG8AeB8Jef9IvhFxaBTfBigBcmB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8JeZ6IvhFfdBqfBTbBcmB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8Je/7IvhFTaBZhB8hBykB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8JeK0IvhFcgB5jBTfBOmBXi?BdoB,v115@KhA8FeD8AeB8CeG8AeB8Je/wIvhFZaB8hBzfBamB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8JezxIvhF/bBZhB8hBykB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8Je86IvhF/eB2kBxgBliBim?BToB,v115@KhA8FeD8AeB8CeG8AeB8Jea+IvhF5eBOgBTfBFhBXi?BUoB,v115@KhA8FeD8AeB8CeG8AeB8Je/1IvhFKfBZhBFgBzhBGj?BUoB,v115@KhA8FeD8AeB8CeG8AeB8Je83IvhFZaBeiBzfBFhBfo?B6oB,v115@KhA8FeD8AeB8CeG8AeB8Jec1IvhFFbBXcBmdB5jBTf?BCiB
TLJSZOI,X,X,O,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,O,X,X,O,X,X,X,X,O
TLJSOZI,X,X,O,X,X,X,X,X,X,X,O
TLJZISO,X,O,O,X,X,O,X,X,X,X,X
TLJZIOS,X,O,O,X,O,O,O,X,X,X,X
TLJZSIO,X,O,O,X,X,O,X,X,X,X,X
TLJZSOI,X,O,O,X,X,X,X,X,X,X,X
TLJZOIS,X,O,O,X,O,X,O,X,X,X,X
TLJZOSI,X,O,O,X,X,X,O,X,X,X,X
TLJOISZ,X,X,O,X,O,X,O,X,X,X,O
TLJOIZS,O,O,O,X,O,X,O,X,X,X,O
TLJOSIZ,X,X,O,X,X,X,O,X,X,X,O
TLJOSZI,X,X,O,X,X,X,O,X,X,X,O
TLJOZIS,X,O,O,X,O,X,O,X,X,X,O
TLJOZSI,X,O,O,X,X,X,O,X,X,X,O
TLSIJZO,X,X,O,X,X,O,X,X,X,O,X
TLSIJOZ,X,X,O,X,X,O,X,X,X,O,O
TLSIZJO,X,X,O,X,X,O,X,X,O,X,X
TLSIZOJ,X,X,O,X,X,O,X,X,O,X,X
TLSIOJZ,X,X,O,X,X,O,X,X,X,O,O
TLSIOZJ,X,X,O,X,X,O,X,X,O,X,O
TLSJIZO,X,X,O,X,X,O,X,X,X,O,X
TLSJIOZ,X,X,O,X,X,O,X,X,X,O,O
TLSJZIO,X,X,O,X,X,O,X,X,X,O,X
TLSJZOI,X,X,O,X,X,X,X,X,X,O,X
TLSJOIZ,X,X,O,X,X,O,X,X,X,O,O
TLSJOZI,X,X,O,X,X,X,X,X,X,O,O
TLSZIJO,X,X,O,X,X,O,X,X,O,X,X
TLSZIOJ,X,X,O,X,X,O,X,X,O,X,X
TLSZJIO,X,X,O,X,X,O,X,X,O,X,X
TLSZJOI,X,X,O,X,X,X,X,X,O,X,X
TLSZOIJ,X,X,O,X,X,X,X,X,O,X,X
TLSZOJI,X,X,O,X,X,X,X,X,O,X,X
TLSOIJZ,X,X,O,X,X,O,X,X,X,O,O
TLSOIZJ,X,X,O,X,X,O,X,X,O,X,O
TLSOJIZ,X,X,O,X,X,O,X,X,X,O,O
TLSOJZI,X,X,O,X,X,X,X,X,X,O,O
TLSOZIJ,X,X,O,X,X,X,X,X,O,X,O
TLSOZJI,X,X,O,X,X,X,X,X,O,X,O
TLZIJSO,X,O,O,X,X,O,X,X,O,X,X
TLZIJOS,X,O,O,X,O,O,X,X,O,X,X
TLZISJO,X,O,O,X,X,O,X,X,O,X,X
TLZISOJ,X,O,O,X,X,O,X,X,O,X,X
TLZIOJS,X,O,O,X,O,X,X,X,O,X,X
TLZIOSJ,X,O,O,X,O,X,X,X,O,X,X
TLZJISO,X,O,O,X,X,O,X,X,O,X,X
