sequence,v115@KhA8FeD8AeB8CeG8AeB8Jef9IvhFxaBTfBigBcmB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8JeZ6IvhFfdBqfBTbBcmB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8Je/7IvhFTaBZhB8hBykB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8JeK0IvhFcgB5jBTfBOmBXi?BdoB,v115@KhA8FeD8AeB8CeG8AeB8Je/wIvhFZaB8hBzfBamB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8JezxIvhF/bBZhB8hBykB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8Je86IvhF/eB2kBxgBliBim?BToB,v115@KhA8FeD8AeB8CeG8AeB8Jea+IvhF5eBOgBTfBFhBXi?BUoB,v115@KhA8FeD8AeB8CeG8AeB8Je/1IvhFKfBZhBFgBzhBGj?BUoB,v115@KhA8FeD8AeB8CeG8AeB8Je83IvhFZaBeiBzfBFhBfo?B6oB,v115@KhA8FeD8AeB8CeG8AeB8Jec1IvhFFbBXcBmdB5jBTf?BCiB
ITSOJZL,X,X,X,O,O,O,X,X,X,O,X
ITSOZLJ,X,X,X,O,O,O,X,X,X,X,O
ITSOZJL,X,X,X,O,O,O,X,X,X,X,X
ITZLJSO,X,O,O,O,X,O,X,X,O,X,X
ITZLJOS,X,O,O,O,O,O,X,X,O,X,X
ITZLSJO,X,O,O,O,X,O,X,X,O,X,X
ITZLSOJ,X,O,O,O,X,O,X,X,O,X,X
ITZLOJS,X,O,O,O,O,X,X,X,O,X,X
ITZLOSJ,X,O,O,O,O,X,X,X,O,X,X
ITZJLSO,X,O,O,O,X,O,X,X,O,X,X
ITZJLOS,X,O,O,O,O,O,X,X,O,X,X
ITZJSLO,X,O,O,O,X,O,X,X,X,X,X
ITZJSOL,X,X,X,O,O,O,X,X,X,X,X
ITZJOLS,X,X,X,O,O,X,X,X,O,X,X
ITZJOSL,X,X,X,O,O,O,X,X,X,X,X
ITZSLJO,X,O,O,O,X,O,X,X,X,X,X
ITZSLOJ,X,O,O,O,X,O,X,X,X,X,X
ITZSJLO,X,O,O,O,X,O,X,X,X,X,X
ITZSJOL,X,X,X,O,O,O,X,X,X,X,X
ITZSOLJ,X,X,X,O,O,O,X,X,X,X,X
ITZSOJL,X,X,X,O,O,O,X,X,X,X,X
ITZOLJS,X,X,X,O,O,X,X,X,O,X,X
ITZOLSJ,X,X,X,O,O,X,X,X,O,X,X
ITZOJLS,X,X,X,O,O,X,X,X,O,X,X
ITZOJSL,X,X,X,O,O,O,X,X,X,X,X
ITZOSLJ,X,X,X,O,O,O,X,X,X,X,X
ITZOSJL,X,X,X,O,O,O,X,X,X,X,X
ITOLJSZ,X,X,X,O,O,X,O,X,X,X,O
ITOLJZS,X,X,X,O,O,X,O,X,X,X,O
ITOLSJZ,X,X,X,O,O,X,O,X,X,O,O
ITOLSZJ,X,X,X,O,O,X,X,X,O,X,O
ITOLZJS,X,X,X,O,O,X,X,X,O,X,O
ITOLZSJ,X,X,X,O,O,X,X,X,O,X,O
ITOJLSZ,X,X,X,O,O,X,O,X,X,X,X
ITOJLZS,X,X,X,O,O,X,O,X,X,X,X
ITOJSLZ,X,X,X,O,O,O,O,X,X,O,X
ITOJSZL,X,X,X,O,O,O,O,X,X,O,X
ITOJZLS,X,X,X,O,O,X,O,X,X,X,X
ITOJZSL,X,X,X,O,O,O,O,X,X,O,X
ITOSLJZ,X,X,X,O,O,O,O,X,X,O,O
ITOSLZJ,X,X,X,O,O,O,X,X,X,X,O
ITOSJLZ,X,X,X,O,O,O,O,X,X,O,X
ITOSJZL,X,X,X,O,O,O,O,X,X,O,X
ITOSZLJ,X,X,X,O,O,O,X,X,X,X,O
ITOSZJL,X,X,X,O,O,O,X,X,X,X,X
ITOZLJS,X,X,X,O,O,X,X,X,O,X,O
ITOZLSJ,X,X,X,O,O,X,X,X,O,X,O
ITOZJLS,X,X,X,O,O,X,X,X,O,X,X
ITOZJSL,X,X,X,O,O,O,X,X,X,X,X
ITOZSLJ,X,X,X,O,O,O,X,X,X,X,O
ITOZSJL,X,X,X,O,O,O,X,X,X,X,X
ILTJSZO,X,X,O,O,X,O,X,X,X,X,X
ILTJSOZ,X,X,O,O,X,O,X,X,X,X,O
ILTJZSO,X,O,O,O,X,O,X,X,X,X,X
ILTJZOS,X,O,O,O,O,O,O,X,X,X,X
ILTJOSZ,X,X,O,O,O,X,O,X,X,X,O
ILTJOZS,X,O,O,O,O,X,O,X,X,X,O
ILTSJZO,X,X,O,O,X,O,X,X,X,O,X
ILTSJOZ,X,X,O,O,X,O,X,X,X,O,O
ILTSZJO,X,X,O,O,X,O,X,X,O,X,X
ILTSZOJ,X,X,O,O,X,O,X,X,O,X,X
ILTSOJZ,X,X,O,O,X,O,X,X,X,O,O
ILTSOZJ,X,X,O,O,X,O,X,X,O,X,O
ILTZJSO,X,O,O,O,X,O,X,X,O,X,X
ILTZJOS,X,O,O,O,O,O,X,X,O,X,X
ILTZSJO,X,O,O,O,X,O,X,X,O,X,X
ILTZSOJ,X,O,O,O,X,O,X,X,O,X,X
ILTZOJS,X,O,O,O,O,X,X,X,O,X,X
ILTZOSJ,X,O,O,O,O,X,X,X,O,X,X
ILTOJSZ,X,X,O,O,O,X,O,X,X,X,O
ILTOJZS,X,O,O,O,O,X,O,X,X,X,O
ILTOSJZ,X,X,O,O,O,X,O,X,X,O,O
ILTOSZJ,X,X,O,O,O,X,X,X,O,X,O
ILTOZJS,X,O,O,O,O,X,X,X,O,X,O
ILTOZSJ,X,O,O,O,O,X,X,X,O,X,O
ILJTSZO,X,X,O,O,X,O,X,X,X,X,X
ILJTSOZ,X,X,O,O,X,O,X,X,X,X,O
ILJTZSO,X,O,O,O,X,O,X,X,X,X,X
ILJTZOS,X,O,O,O,O,O,O,X,X,X,X
ILJTOSZ,X,X,O,O,O,X,O,X,X,X,O
ILJTOZS,X,O,O,O,O,X,O,X,X,X,O
ILJSTZO,X,X,O,O,X,O,X,X,X,O,X
ILJSTOZ,X,X,O,O,X,O,X,X,X,O,O
ILJSZTO,X,O,O,O,X,O,X,X,O,O,X
ILJSZOT,X,O,O,O,O,O,O,X,O,O,O
ILJSOTZ,X,X,O,O,O,O,O,X,X,O,O
ILJSOZT,X,O,O,O,O,O,O,X,O,O,O
ILJZTSO,X,O,O,O,X,O,X,X,O,X,X
ILJZTOS,X,O,O,O,O,O,O,X,O,X,X
ILJZSTO,X,O,O,O,X,O,X,X,O,O,X
ILJZSOT,X,O,O,O,O,O,O,X,O,O,O
ILJZOTS,X,O,O,O,O,O,O,X,O,X,O
ILJZOST,X,O,O,O,O,O,O,X,O,O,O
ILJOTSZ,X,X,O,O,O,X,O,X,X,X,O
ILJOTZS,O,O,O,O,O,X,O,X,X,X,O
ILJOSTZ,X,X,O,O,O,O,O,X,X,O,O
ILJOSZT,O,O,O,O,O,O,O,X,O,O,O
ILJOZTS,O,O,O,O,O,O,O,X,O,X,O
ILJOZST,O,O,O,O,O,O,O,X,O,O,O
ILSTJZO,X,X,O,O,X,O,X,X,X,O,X
ILSTJOZ,X,X,O,O,X,O,X,X,X,O,O
ILSTZJO,X,X,O,O,X,O,X,X,O,X,X
ILSTZOJ,X,X,O,O,X,O,X,X,O,X,X
ILSTOJZ,X,X,O,O,X,O,X,X,X,O,O
ILSTOZJ,X,X,O,O,X,O,X,X,O,X,O
ILSJTZO,X,X,O,O,X,O,X,X,X,O,X
ILSJTOZ,X,X,O,O,X,O,X,X,X,O,O
ILSJZTO,X,O,O,O,X,O,X,X,O,O,X
ILSJZOT,X,O,O,O,O,O,O,X,O,O,O
ILSJOTZ,X,X,O,O,O,O,O,X,X,O,O
ILSJOZT,X,O,O,O,O,O,O,X,O,O,O
ILSZTJO,X,O,O,O,X,O,X,X,O,X,X
ILSZTOJ,X,O,O,O,X,O,X,X,O,X,X
ILSZJTO,X,O,O,O,X,O,X,X,O,O,X
ILSZJOT,X,O,O,O,O,O,X,X,O,O,O
ILSZOTJ,X,O,O,O,O,O,X,X,O,X,O
ILSZOJT,X,O,O,O,O,O,X,X,O,O,O
ILSOTJZ,X,X,O,O,O,O,O,X,X,O,O
ILSOTZJ,X,X,O,O,O,O,X,X,O,X,O
ILSOJTZ,X,X,O,O,O,O,O,X,X,O,O
ILSOJZT,X,O,O,O,O,O,O,X,O,O,O
ILSOZTJ,X,O,O,O,O,O,X,X,O,X,O
ILSOZJT,X,O,O,O,O,O,O,X,O,O,O
ILZTJSO,X,O,O,O,X,O,X,X,O,X,X
ILZTJOS,X,O,O,O,O,O,X,X,O,X,X
ILZTSJO,X,O,O,O,X,O,X,X,O,X,X
ILZTSOJ,X,O,O,O,X,O,X,X,O,X,X
ILZTOJS,X,O,O,O,O,X,X,X,O,X,X
ILZTOSJ,X,O,O,O,O,X,X,X,O,X,X
ILZJTSO,X,O,O,O,X,O,X,X,O,X,X
ILZJTOS,X,O,O,O,O,O,O,X,O,X,X
ILZJSTO,X,O,O,O,X,O,X,X,O,X,X
ILZJSOT,X,O,O,O,O,O,O,X,O,X,O
ILZJOTS,X,O,O,O,O,O,O,X,O,X,O
ILZJOST,X,O,O,O,O,O,O,X,O,X,O
ILZSTJO,X,O,O,O,X,O,X,X,O,X,X
ILZSTOJ,X,O,O,O,X,O,X,X,O,X,X
ILZSJTO,X,O,O,O,X,O,X,X,O,O,X
ILZSJOT,X,O,O,O,O,O,X,X,O,O,O
ILZSOTJ,X,O,O,O,O,O,X,X,O,X,O
ILZSOJT,X,O,O,O,O,O,X,X,O,O,O
ILZOTJS,X,O,O,O,O,X,X,X,O,X,O
ILZOTSJ,X,O,O,O,O,X,X,X,O,X,O
ILZOJTS,X,O,O,O,O,O,O,X,O,X,O
ILZOJST,X,O,O,O,O,O,O,X,O,X,O
ILZOSTJ,X,O,O,O,O,O,X,X,O,X,O
ILZOSJT,X,O,O,O,O,O,O,X,O,O,O
ILOTJSZ,X,X,O,O,O,X,O,X,X,X,O
ILOTJZS,O,O,O,O,O,X,O,X,X,X,O
ILOTSJZ,X,X,O,O,O,X,O,X,X,O,O
ILOTSZJ,X,X,O,O,O,X,X,X,O,X,O
ILOTZJS,O,O,O,O,O,X,X,X,O,X,O
ILOTZSJ,O,O,O,O,O,X,X,X,O,X,O
ILOJTSZ,X,X,O,O,O,X,O,X,X,X,O
ILOJTZS,O,O,O,O,O,X,O,X,X,X,O
ILOJSTZ,X,X,O,O,O,O,O,X,X,O,O
ILOJSZT,O,O,O,O,O,O,O,X,O,O,O
ILOJZTS,O,O,O,O,O,O,O,X,O,X,O
ILOJZST,O,O,O,O,O,O,O,X,O,O,O
ILOSTJZ,X,X,O,O,O,O,O,X,X,O,O
ILOSTZJ,X,X,O,O,O,O,X,X,O,X,O
ILOSJTZ,X,X,O,O,O,O,O,X,X,O,O
ILOSJZT,O,O,O,O,O,O,O,X,O,O,O
ILOSZTJ,O,O,O,O,O,O,X,X,O,X,O
ILOSZJT,O,O,O,O,O,O,O,X,O,O,O
ILOZTJS,O,O,O,O,O,X,X,X,O,X,O
ILOZTSJ,O,O,O,O,O,X,X,X,O,X,O
ILOZJTS,O,O,O,O,O,O,O,X,O,X,O
ILOZJST,O,O,O,O,O,O,O,X,O,X,O
ILOZSTJ,O,O,O,O,O,O,X,X,O,X,O
ILOZSJT,O,O,O,O,O,O,O,X,O,O,O
IJTLSZO,X,X,O,O,X,O,X,X,X,X,X
IJTLSOZ,X,X,O,O,X,O,X,X,X,X,X
IJTLZSO,X,O,O,O,X,O,X,X,X,X,X
IJTLZOS,X,O,O,O,O,O,O,X,X,X,X
IJTLOSZ,X,X,O,O,O,X,O,X,X,X,X
IJTLOZS,X,O,O,O,O,X,O,X,X,X,X
IJTSLZO,X,X,O,O,X,O,X,X,X,O,X
IJTSLOZ,X,X,O,O,X,O,X,X,X,O,X
IJTSZLO,X,X,O,O,X,O,X,X,X,O,X
IJTSZOL,X,X,X,O,O,O,X,X,X,O,X
IJTSOLZ,X,X,X,O,O,O,X,X,X,O,X
IJTSOZL,X,X,X,O,O,O,X,X,X,O,X
IJTZLSO,X,O,O,O,X,O,X,X,X,X,X
IJTZLOS,X,O,O,O,O,O,O,X,X,X,X
IJTZSLO,X,O,O,O,X,O,X,X,X,O,X
IJTZSOL,X,X,X,O,O,O,X,X,X,O,X
IJTZOLS,X,X,X,O,O,X,O,X,X,X,X
IJTZOSL,X,X,X,O,O,O,O,X,X,O,X
IJTOLSZ,X,X,X,O,O,X,O,X,X,X,X
IJTOLZS,X,X,X,O,O,X,O,X,X,X,X
IJTOSLZ,X,X,X,O,O,O,O,X,X,O,X
IJTOSZL,X,X,X,O,O,O,O,X,X,O,X
IJTOZLS,X,X,X,O,O,X,O,X,X,X,X
IJTOZSL,X,X,X,O,O,O,O,X,X,O,X
IJLTSZO,X,X,O,O,X,O,X,X,X,X,X
IJLTSOZ,X,X,O,O,X,O,X,X,X,X,O
IJLTZSO,X,O,O,O,X,O,X,X,X,X,X
IJLTZOS,X,O,O,O,O,O,O,X,X,X,X
IJLTOSZ,X,X,O,O,O,X,O,X,X,X,O
IJLTOZS,X,O,O,O,O,X,O,X,X,X,O
IJLSTZO,X,X,O,O,X,O,X,X,X,O,X
IJLSTOZ,X,X,O,O,X,O,X,X,X,O,O
IJLSZTO,X,O,O,O,X,O,X,X,O,O,X
IJLSZOT,X,O,O,O,O,O,O,X,O,O,O
IJLSOTZ,X,X,O,O,O,O,O,X,X,O,O
IJLSOZT,X,O,O,O,O,O,O,X,O,O,O
IJLZTSO,X,O,O,O,X,O,X,X,O,X,X
IJLZTOS,X,O,O,O,O,O,O,X,O,X,X
IJLZSTO,X,O,O,O,X,O,X,X,O,O,X
IJLZSOT,X,O,O,O,O,O,O,X,O,O,O
IJLZOTS,X,O,O,O,O,O,O,X,O,X,O
IJLZOST,X,O,O,O,O,O,O,X,O,O,O
IJLOTSZ,X,X,O,O,O,X,O,X,X,X,O
IJLOTZS,O,O,O,O,O,X,O,X,X,X,O
IJLOSTZ,X,X,O,O,O,O,O,X,X,O,O
IJLOSZT,O,O,O,O,O,O,O,X,O,O,O
IJLOZTS,O,O,O,O,O,O,O,X,O,X,O
IJLOZST,O,O,O,O,O,O,O,X,O,O,O
IJSTLZO,X,X,O,O,X,O,X,X,X,O,X
IJSTLOZ,X,X,O,O,X,O,X,X,X,O,X
IJSTZLO,X,X,O,O,X,O,X,X,X,O,X
IJSTZOL,X,X,X,O,O,O,X,X,X,O,X
IJSTOLZ,X,X,X,O,O,O,X,X,X,O,X
IJSTOZL,X,X,X,O,O,O,X,X,X,O,X
IJSLTZO,X,X,O,O,X,O,X,X,X,O,X
IJSLTOZ,X,X,O,O,X,O,X,X,X,O,O
IJSLZTO,X,O,O,O,X,O,X,X,X,O,X
IJSLZOT,X,O,O,O,O,O,O,X,X,O,O
IJSLOTZ,X,X,O,O,O,O,O,X,X,O,O
IJSLOZT,X,O,O,O,O,O,O,X,X,O,O
IJSZTLO,X,O,O,O,X,O,X,O,X,O,X
IJSZTOL,X,X,X,O,O,O,X,O,X,O,X
IJSZLTO,X,O,O,O,X,O,X,O,X,O,X
IJSZLOT,X,O,O,O,O,O,O,O,X,O,X
IJSZOTL,X,X,X,O,O,O,O,O,X,O,X
IJSZOLT,X,O,O,O,O,O,O,O,X,O,X
IJSOTLZ,X,X,X,O,O,O,O,X,X,O,X
IJSOTZL,X,X,X,O,O,O,O,X,X,O,X
IJSOLTZ,X,X,O,O,O,O,O,X,X,O,O
IJSOLZT,X,X,O,O,O,O,O,X,X,O,O
IJSOZTL,X,X,X,O,O,O,O,O,X,O,X
IJSOZLT,X,X,O,O,O,O,O,O,X,O,O
IJZTLSO,X,O,O,O,X,O,X,O,O,X,X
IJZTLOS,X,O,O,O,O,O,O,O,O,X,X
IJZTSLO,X,O,O,O,X,O,X,O,X,O,X
IJZTSOL,X,X,X,O,O,O,X,O,X,O,X
IJZTOLS,X,X,X,O,O,X,O,O,O,X,X
IJZTOSL,X,X,X,O,O,O,O,O,X,O,X
IJZLTSO,X,O,O,O,X,O,X,O,O,X,X
IJZLTOS,X,O,O,O,O,O,O,O,O,X,X
IJZLSTO,X,O,O,O,X,O,X,O,O,O,X
IJZLSOT,O,O,O,O,O,O,O,O,O,O,X
IJZLOTS,O,O,O,O,O,O,O,O,O,X,X
IJZLOST,O,O,O,O,O,O,O,O,O,O,X
IJZSTLO,X,O,O,O,X,O,X,O,X,O,X
IJZSTOL,X,X,X,O,O,O,X,O,X,O,X
IJZSLTO,X,O,O,O,X,O,X,O,O,O,X
IJZSLOT,O,O,O,O,O,O,O,O,O,O,X
IJZSOTL,O,X,X,O,O,O,O,O,X,O,X
IJZSOLT,O,O,O,O,O,O,O,O,O,O,X
IJZOTLS,O,X,X,O,O,X,O,O,O,X,X
IJZOTSL,O,X,X,O,O,O,O,O,X,O,X
IJZOLTS,O,O,O,O,O,O,O,O,O,X,X
IJZOLST,O,O,O,O,O,O,O,O,O,O,X
IJZOSTL,O,X,X,O,O,O,O,O,X,O,X
IJZOSLT,O,O,O,O,O,O,O,O,O,O,X
IJOTLSZ,X,X,X,O,O,X,O,X,X,X,X
IJOTLZS,O,X,X,O,O,X,O,X,X,X,X
IJOTSLZ,X,X,X,O,O,O,O,X,X,O,X
IJOTSZL,X,X,X,O,O,O,O,X,X,O,X
IJOTZLS,O,X,X,O,O,X,O,X,X,X,X
IJOTZSL,O,X,X,O,O,O,O,X,X,O,X
IJOLTSZ,X,X,O,O,O,X,O,X,X,X,O
IJOLTZS,O,O,O,O,O,X,O,X,X,X,O
IJOLSTZ,X,X,O,O,O,O,O,X,X,O,O
IJOLSZT,O,O,O,O,O,O,O,X,O,O,O
IJOLZTS,O,O,O,O,O,O,O,X,O,X,O
IJOLZST,O,O,O,O,O,O,O,X,O,O,O
IJOSTLZ,X,X,X,O,O,O,O,X,X,O,X
IJOSTZL,X,X,X,O,O,O,O,X,X,O,X
IJOSLTZ,X,X,O,O,O,O,O,X,X,O,O
IJOSLZT,O,X,O,O,O,O,O,X,X,O,O
IJOSZTL,O,X,X,O,O,O,O,O,X,O,X
IJOSZLT,O,X,O,O,O,O,O,O,X,O,O
IJOZTLS,O,X,X,O,O,X,O,O,O,X,X
IJOZTSL,O,X,X,O,O,O,O,O,X,O,X
IJOZLTS,O,O,O,O,O,O,O,O,O,X,O
IJOZLST,O,O,O,O,O,O,O,O,O,O,O
IJOZSTL,O,X,X,O,O,O,O,O,X,O,X
IJOZSLT,O,O,O,O,O,O,O,O,O,O,O
ISTLJZO,X,X,O,O,X,O,X,X,X,O,X
ISTLJOZ,X,X,O,O,X,O,X,X,X,O,O
ISTLZJO,X,X,O,O,X,O,X,X,X,X,X
ISTLZOJ,X,X,O,O,X,O,X,X,X,X,X
ISTLOJZ,X,X,O,O,X,O,X,X,X,O,O
ISTLOZJ,X,X,O,O,X,O,X,X,X,X,O
ISTJLZO,X,X,O,O,X,O,X,X,X,O,X
ISTJLOZ,X,X,O,O,X,O,X,X,X,O,X
ISTJZLO,X,X,O,O,X,O,X,X,X,O,X
ISTJZOL,X,X,X,O,O,O,X,X,X,O,X
ISTJOLZ,X,X,X,O,O,O,X,X,X,O,X
ISTJOZL,X,X,X,O,O,O,X,X,X,O,X
ISTZLJO,X,X,O,O,X,O,X,X,X,X,X
ISTZLOJ,X,X,O,O,X,O,X,X,X,X,X
ISTZJLO,X,X,O,O,X,O,X,X,X,X,X
ISTZJOL,X,X,X,O,O,O,X,X,X,X,X
ISTZOLJ,X,X,X,O,O,O,X,X,X,X,X
ISTZOJL,X,X,X,O,O,O,X,X,X,X,X
ISTOLJZ,X,X,X,O,O,O,X,X,X,O,O
ISTOLZJ,X,X,X,O,O,O,X,X,X,X,O
ISTOJLZ,X,X,X,O,O,O,X,X,X,O,X
ISTOJZL,X,X,X,O,O,O,X,X,X,O,X
ISTOZLJ,X,X,X,O,O,O,X,X,X,X,O
ISTOZJL,X,X,X,O,O,O,X,X,X,X,X
ISLTJZO,X,X,O,O,X,O,X,X,X,O,X
ISLTJOZ,X,X,O,O,X,O,X,X,X,O,O
ISLTZJO,X,X,O,O,X,O,X,X,O,X,X
ISLTZOJ,X,X,O,O,X,O,X,X,O,X,X
ISLTOJZ,X,X,O,O,X,O,X,X,X,O,O
ISLTOZJ,X,X,O,O,X,O,X,X,O,X,O
ISLJTZO,X,X,O,O,X,O,X,X,X,O,X
ISLJTOZ,X,X,O,O,X,O,X,X,X,O,O
ISLJZTO,X,O,O,O,X,O,X,X,O,O,X
ISLJZOT,X,O,O,O,O,O,O,X,O,O,O
ISLJOTZ,X,X,O,O,O,O,O,X,X,O,O
ISLJOZT,X,O,O,O,O,O,O,X,O,O,O
ISLZTJO,X,O,O,O,X,O,X,X,O,X,X
ISLZTOJ,X,O,O,O,X,O,X,X,O,X,X
ISLZJTO,X,O,O,O,X,O,X,X,O,O,X
ISLZJOT,X,O,O,O,O,O,X,X,O,O,O
ISLZOTJ,X,O,O,O,O,O,X,X,O,X,O
ISLZOJT,X,O,O,O,O,O,X,X,O,O,O
ISLOTJZ,X,X,O,O,O,O,O,X,X,O,O
ISLOTZJ,X,X,O,O,O,O,X,X,O,X,O
ISLOJTZ,X,X,O,O,O,O,O,X,X,O,O
ISLOJZT,X,O,O,O,O,O,O,X,O,O,O
ISLOZTJ,X,O,O,O,O,O,X,X,O,X,O
ISLOZJT,X,O,O,O,O,O,O,X,O,O,O
ISJTLZO,X,X,O,O,X,O,X,X,X,O,X
ISJTLOZ,X,X,O,O,X,O,X,X,X,O,X
ISJTZLO,X,X,O,O,X,O,X,X,X,O,X
ISJTZOL,X,X,X,O,O,O,X,X,X,O,X
ISJTOLZ,X,X,X,O,O,O,X,X,X,O,X
ISJTOZL,X,X,X,O,O,O,X,X,X,O,X
ISJLTZO,X,X,O,O,X,O,X,X,X,O,X
ISJLTOZ,X,X,O,O,X,O,X,X,X,O,O
ISJLZTO,X,O,O,O,X,O,X,X,X,O,X
ISJLZOT,X,O,O,O,O,O,O,X,X,O,O
ISJLOTZ,X,X,O,O,O,O,O,X,X,O,O
ISJLOZT,X,O,O,O,O,O,O,X,X,O,O
ISJZTLO,X,O,O,O,X,O,X,O,X,O,X
ISJZTOL,X,X,X,O,O,O,X,O,X,O,X
ISJZLTO,X,O,O,O,X,O,X,O,X,O,X
ISJZLOT,X,O,O,O,O,O,O,O,X,O,X
ISJZOTL,X,X,X,O,O,O,O,O,X,O,X
ISJZOLT,X,O,O,O,O,O,O,O,X,O,X
ISJOTLZ,X,X,X,O,O,O,O,X,X,O,X
ISJOTZL,X,X,X,O,O,O,O,X,X,O,X
ISJOLTZ,X,X,O,O,O,O,O,X,X,O,O
ISJOLZT,X,X,O,O,O,O,O,X,X,O,O
ISJOZTL,X,X,X,O,O,O,O,O,X,O,X
ISJOZLT,X,X,O,O,O,O,O,O,X,O,O
ISZTLJO,X,O,O,O,X,O,X,O,X,X,X
ISZTLOJ,X,O,O,O,X,O,X,O,X,X,X
ISZTJLO,X,O,O,O,X,O,X,O,X,X,X
ISZTJOL,X,X,X,O,O,O,X,O,X,X,X
ISZTOLJ,X,X,X,O,O,O,X,O,X,X,X
ISZTOJL,X,X,X,O,O,O,X,O,X,X,X
ISZLTJO,X,O,O,O,X,O,X,O,O,X,X
ISZLTOJ,X,O,O,O,X,O,X,O,O,X,X
ISZLJTO,X,O,O,O,X,O,X,O,O,O,X
ISZLJOT,X,O,O,O,O,O,X,O,O,O,O
ISZLOTJ,X,O,O,O,O,O,X,O,O,X,O
ISZLOJT,X,O,O,O,O,O,X,O,O,O,O
ISZJTLO,X,O,O,O,X,O,X,O,X,O,X
ISZJTOL,X,X,X,O,O,O,X,O,X,O,X
ISZJLTO,X,O,O,O,X,O,X,O,O,O,X
ISZJLOT,X,O,O,O,O,O,X,O,O,O,X
ISZJOTL,X,X,X,O,O,O,X,O,X,O,X
ISZJOLT,X,O,O,O,O,O,X,O,O,O,X
ISZOTLJ,X,X,X,O,O,O,X,O,X,X,O
ISZOTJL,X,X,X,O,O,O,X,O,X,X,X
ISZOLTJ,X,O,O,O,O,O,X,O,O,X,O
ISZOLJT,X,O,O,O,O,O,X,O,O,O,O
ISZOJTL,X,X,X,O,O,O,X,O,X,O,X
ISZOJLT,X,O,O,O,O,O,X,O,O,O,O
ISOTLJZ,X,X,X,O,O,O,O,X,X,O,O
ISOTLZJ,X,X,X,O,O,O,X,X,X,X,O
ISOTJLZ,X,X,X,O,O,O,O,X,X,O,X
ISOTJZL,X,X,X,O,O,O,O,X,X,O,X
ISOTZLJ,X,X,X,O,O,O,X,X,X,X,O
ISOTZJL,X,X,X,O,O,O,X,X,X,X,X
ISOLTJZ,X,X,O,O,O,O,O,X,X,O,O
ISOLTZJ,X,X,O,O,O,O,X,X,O,X,O
ISOLJTZ,X,X,O,O,O,O,O,X,X,O,O
ISOLJZT,X,X,O,O,O,O,O,X,O,O,O
ISOLZTJ,X,X,O,O,O,O,X,X,O,X,O
ISOLZJT,X,X,O,O,O,O,O,X,O,O,O
ISOJTLZ,X,X,X,O,O,O,O,X,X,O,X
ISOJTZL,X,X,X,O,O,O,O,X,X,O,X
ISOJLTZ,X,X,O,O,O,O,O,X,X,O,O
ISOJLZT,X,X,O,O,O,O,O,X,X,O,O
ISOJZTL,X,X,X,O,O,O,O,O,X,O,X
ISOJZLT,X,X,O,O,O,O,O,O,X,O,O
ISOZTLJ,X,X,X,O,O,O,X,O,X,X,O
ISOZTJL,X,X,X,O,O,O,X,O,X,X,X
ISOZLTJ,X,X,O,O,O,O,X,O,O,X,O
ISOZLJT,X,X,O,O,O,O,O,O,O,O,O
ISOZJTL,X,X,X,O,O,O,O,O,X,O,X
ISOZJLT,X,X,O,O,O,O,O,O,O,O,O
IZTLJSO,X,O,O,O,X,O,X,O,O,X,X
IZTLJOS,X,O,O,O,O,O,X,O,O,X,X
IZTLSJO,X,O,O,O,X,O,X,O,O,X,X
IZTLSOJ,X,O,O,O,X,O,X,O,O,X,X
IZTLOJS,X,O,O,O,O,X,X,O,O,X,X
IZTLOSJ,X,O,O,O,O,X,X,O,O,X,X
IZTJLSO,X,O,O,O,X,O,X,O,O,X,X
IZTJLOS,X,O,O,O,O,O,X,O,O,X,X
IZTJSLO,X,O,O,O,X,O,X,O,X,X,X
IZTJSOL,X,X,X,O,O,O,X,O,X,X,X
IZTJOLS,X,X,X,O,O,X,X,O,O,X,X
IZTJOSL,X,X,X,O,O,O,X,O,X,X,X
IZTSLJO,X,O,O,O,X,O,X,O,X,X,X
IZTSLOJ,X,O,O,O,X,O,X,O,X,X,X
IZTSJLO,X,O,O,O,X,O,X,O,X,X,X
IZTSJOL,X,X,X,O,O,O,X,O,X,X,X
IZTSOLJ,X,X,X,O,O,O,X,O,X,X,X
IZTSOJL,X,X,X,O,O,O,X,O,X,X,X
IZTOLJS,X,X,X,O,O,X,X,O,O,X,X
IZTOLSJ,X,X,X,O,O,X,X,O,O,X,X
IZTOJLS,X,X,X,O,O,X,X,O,O,X,X
IZTOJSL,X,X,X,O,O,O,X,O,X,X,X
IZTOSLJ,X,X,X,O,O,O,X,O,X,X,X
IZTOSJL,X,X,X,O,O,O,X,O,X,X,X
IZLTJSO,X,O,O,O,X,O,X,O,O,X,X
IZLTJOS,X,O,O,O,O,O,X,O,O,X,X
IZLTSJO,X,O,O,O,X,O,X,O,O,X,X
IZLTSOJ,X,O,O,O,X,O,X,O,O,X,X
IZLTOJS,X,O,O,O,O,X,X,O,O,X,X
IZLTOSJ,X,O,O,O,O,X,X,O,O,X,X
IZLJTSO,X,O,O,O,X,O,X,O,O,X,X
IZLJTOS,X,O,O,O,O,O,O,O,O,X,X
