sequence,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeK6IvhFzVBGXBxYB0?dBXjBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeK6IvhFzVBGXBxYBX?eB0iBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8Jei1IvhFRXBceB3aBG?dBziBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeK6IvhFzVBGXBxdB0?dBXjBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8Jey6IvhFGXBxdBTaB0?dBXjBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8Jem1IvhFRXBTaBFeBf?oBUnBCtB,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeK6IvhFzVBRXBceBf?oBFnBusB,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeO6IvhF8aBRXBXeBz?nBFnBCtB
TISOJLZ,X,O,O,X,X,X,X,X
TISOJZL,X,X,O,X,X,X,X,X
TISOZLJ,X,X,O,X,X,X,X,X
TISOZJL,X,X,O,X,X,X,X,X
TIZLJSO,O,X,O,X,O,X,X,X
TIZLJOS,O,X,X,O,O,X,X,X
TIZLSJO,O,X,O,X,X,X,X,X
TIZLSOJ,O,X,O,X,X,X,X,X
TIZLOJS,O,X,X,O,X,X,X,X
TIZLOSJ,O,X,X,X,X,X,X,X
TIZJLSO,O,X,O,X,O,X,X,X
TIZJLOS,O,X,X,O,O,X,X,X
TIZJSLO,O,X,O,X,X,X,X,X
TIZJSOL,X,X,O,X,X,X,X,X
TIZJOLS,O,X,X,X,X,X,X,X
TIZJOSL,X,X,O,X,X,X,X,X
TIZSLJO,O,X,O,X,X,X,X,X
TIZSLOJ,O,X,O,X,X,X,X,X
TIZSJLO,O,X,O,X,X,X,X,X
TIZSJOL,X,X,O,X,X,X,X,X
TIZSOLJ,X,X,O,X,X,X,X,X
TIZSOJL,X,X,O,X,X,X,X,X
TIZOLJS,O,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,X,X,X,X,X
TIZOJLS,O,X,X,X,X,X,X,X
TIZOJSL,X,X,O,X,X,X,X,X
TIZOSLJ,X,X,O,X,X,X,X,X
TIZOSJL,X,X,O,X,X,X,X,X
TIOLJSZ,X,X,X,O,O,X,X,X
TIOLJZS,X,X,X,O,O,X,X,X
TIOLSJZ,X,X,X,O,X,X,X,X
TIOLSZJ,X,X,X,X,X,X,X,X
TIOLZJS,X,X,X,O,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,O,O,X,X,X
TIOJLZS,X,X,X,O,O,X,X,X
TIOJSLZ,X,X,O,X,X,X,X,X
TIOJSZL,X,X,O,X,X,X,X,X
TIOJZLS,X,X,X,X,X,X,X,X
TIOJZSL,X,X,O,X,X,X,X,X
TIOSLJZ,X,X,O,X,X,X,X,X
TIOSLZJ,X,X,O,X,X,X,X,X
TIOSJLZ,X,X,O,X,X,X,X,X
TIOSJZL,X,X,O,X,X,X,X,X
TIOSZLJ,X,X,O,X,X,X,X,X
TIOSZJL,X,X,O,X,X,X,X,X
TIOZLJS,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,X,X,X
TIOZJLS,X,X,X,X,X,X,X,X
TIOZJSL,X,X,O,X,X,X,X,X
TIOZSLJ,X,X,O,X,X,X,X,X
TIOZSJL,X,X,O,X,X,X,X,X
TLIJSZO,X,O,O,X,O,X,X,X
TLIJSOZ,X,O,O,O,O,X,X,X
TLIJZSO,O,X,O,X,O,X,X,X
TLIJZOS,O,X,X,O,O,X,X,X
TLIJOSZ,X,O,X,O,O,X,X,X
TLIJOZS,O,X,X,O,O,X,X,X
TLISJZO,X,O,O,X,O,X,X,X
TLISJOZ,X,O,O,O,O,X,X,X
TLISZJO,X,O,O,X,X,X,X,X
TLISZOJ,X,O,O,X,X,X,X,X
TLISOJZ,X,O,O,O,X,X,X,X
TLISOZJ,X,O,O,X,X,X,X,X
TLIZJSO,O,X,O,X,O,X,X,X
TLIZJOS,O,X,X,O,O,X,X,X
TLIZSJO,O,X,O,X,X,X,X,X
TLIZSOJ,O,X,O,X,X,X,X,X
TLIZOJS,O,X,X,O,X,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,X
TLIOJSZ,X,O,X,O,O,X,X,X
TLIOJZS,O,X,X,O,O,X,X,X
TLIOSJZ,X,O,X,O,X,X,X,X
TLIOSZJ,X,O,X,X,X,X,X,X
TLIOZJS,O,X,X,O,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,X
TLJISZO,X,O,O,X,O,X,X,X
TLJISOZ,X,O,O,O,O,X,X,X
TLJIZSO,O,X,O,X,O,X,X,X
TLJIZOS,O,X,X,O,O,X,X,X
TLJIOSZ,X,O,X,O,O,X,X,X
TLJIOZS,O,X,X,O,O,X,X,X
TLJSIZO,X,O,O,X,O,X,X,X
TLJSIOZ,X,O,O,O,O,X,X,X
TLJSZIO,O,O,O,X,X,X,X,X
TLJSZOI,O,O,O,X,X,X,X,X
TLJSOIZ,X,O,O,O,X,X,X,X
TLJSOZI,O,O,O,X,X,X,X,X
TLJZISO,O,X,O,X,O,X,X,X
TLJZIOS,O,X,X,O,O,X,X,X
TLJZSIO,O,O,O,X,X,X,X,X
TLJZSOI,O,O,O,X,X,X,X,X
TLJZOIS,O,X,X,O,X,X,X,X
TLJZOSI,O,O,X,X,X,X,X,X
TLJOISZ,X,O,X,O,O,X,X,X
TLJOIZS,O,X,X,O,O,X,X,X
TLJOSIZ,X,O,X,O,X,X,X,X
TLJOSZI,O,O,X,X,X,X,X,X
TLJOZIS,O,X,X,O,X,X,X,X
TLJOZSI,O,O,X,X,X,X,X,X
TLSIJZO,X,O,O,X,O,X,X,X
TLSIJOZ,X,O,O,O,O,X,X,X
TLSIZJO,X,O,O,X,X,X,X,X
TLSIZOJ,X,O,O,X,X,X,X,X
TLSIOJZ,X,O,O,O,X,X,X,X
TLSIOZJ,X,O,O,X,X,X,X,X
TLSJIZO,X,O,O,X,O,X,X,X
TLSJIOZ,X,O,O,O,O,X,X,X
TLSJZIO,O,O,O,X,X,X,X,X
TLSJZOI,O,O,O,X,X,X,X,X
TLSJOIZ,X,O,O,O,X,X,X,X
TLSJOZI,O,O,O,X,X,X,X,X
TLSZIJO,O,O,O,X,X,X,O,X
TLSZIOJ,O,O,O,X,X,X,O,X
TLSZJIO,O,O,O,X,X,X,O,X
TLSZJOI,O,O,O,X,X,X,O,X
TLSZOIJ,O,O,O,X,X,X,O,X
TLSZOJI,O,O,O,X,X,X,O,X
TLSOIJZ,X,O,O,O,X,X,X,X
TLSOIZJ,X,O,O,X,X,X,X,X
TLSOJIZ,X,O,O,O,X,X,X,X
TLSOJZI,O,O,O,X,X,X,X,X
TLSOZIJ,O,O,O,X,X,X,O,X
TLSOZJI,O,O,O,X,X,X,O,X
TLZIJSO,O,X,O,X,O,X,X,X
TLZIJOS,O,X,X,O,O,X,X,X
TLZISJO,O,X,O,X,X,X,X,X
TLZISOJ,O,X,O,X,X,X,X,X
TLZIOJS,O,X,X,O,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,X
TLZJISO,O,X,O,X,O,X,X,X
TLZJIOS,O,X,X,O,O,X,X,X
TLZJSIO,O,O,O,X,X,X,X,X
TLZJSOI,O,O,O,X,X,X,X,X
TLZJOIS,O,X,X,O,X,X,X,X
TLZJOSI,O,O,X,X,X,X,X,X
TLZSIJO,O,O,O,X,X,X,X,X
TLZSIOJ,O,O,O,X,X,X,X,X
TLZSJIO,O,O,O,X,X,X,X,X
TLZSJOI,O,O,O,X,X,X,X,X
TLZSOIJ,O,O,O,X,X,X,X,X
TLZSOJI,O,O,O,X,X,X,X,X
TLZOIJS,O,X,X,O,X,X,X,X
TLZOISJ,O,X,X,X,X,X,X,X
TLZOJIS,O,X,X,O,X,X,X,X
TLZOJSI,O,O,X,X,X,X,X,X
TLZOSIJ,O,O,X,X,X,X,X,X
TLZOSJI,O,O,X,X,X,X,X,X
TLOIJSZ,X,O,X,O,O,X,X,X
TLOIJZS,O,X,X,O,O,X,X,X
TLOISJZ,X,O,X,O,X,X,X,X
TLOISZJ,X,O,X,X,X,X,X,X
TLOIZJS,O,X,X,O,X,X,X,X
TLOIZSJ,O,X,X,X,X,X,X,X
TLOJISZ,X,O,X,O,O,X,X,X
TLOJIZS,O,X,X,O,O,X,X,X
TLOJSIZ,X,O,X,O,X,X,X,X
TLOJSZI,O,O,X,X,X,X,X,X
TLOJZIS,O,X,X,O,X,X,X,X
TLOJZSI,O,O,X,X,X,X,X,X
TLOSIJZ,X,O,X,O,X,X,X,X
TLOSIZJ,X,O,X,X,X,X,X,X
TLOSJIZ,X,O,X,O,X,X,X,X
TLOSJZI,O,O,X,X,X,X,X,X
TLOSZIJ,O,O,X,X,X,X,O,X
TLOSZJI,O,O,X,X,X,X,O,X
TLOZIJS,O,X,X,O,X,X,X,X
TLOZISJ,O,X,X,X,X,X,X,X
TLOZJIS,O,X,X,O,X,X,X,X
TLOZJSI,O,O,X,X,X,X,X,X
TLOZSIJ,O,O,X,X,X,X,X,X
TLOZSJI,O,O,X,X,X,X,X,X
TJILSZO,X,O,O,X,O,X,X,X
TJILSOZ,X,O,O,O,O,X,X,X
TJILZSO,O,X,O,X,O,X,X,X
TJILZOS,O,X,X,O,O,X,X,X
TJILOSZ,X,O,X,O,O,X,X,X
TJILOZS,O,X,X,O,O,X,X,X
TJISLZO,X,O,O,X,O,X,X,X
TJISLOZ,X,O,O,O,O,X,X,X
TJISZLO,X,O,O,X,X,X,X,X
TJISZOL,X,X,O,X,X,X,X,X
TJISOLZ,X,O,O,X,X,X,X,X
TJISOZL,X,X,O,X,X,X,X,X
TJIZLSO,O,X,O,X,O,X,X,X
TJIZLOS,O,X,X,O,O,X,X,X
TJIZSLO,O,X,O,X,X,X,X,X
TJIZSOL,X,X,O,X,X,X,X,X
TJIZOLS,O,X,X,X,X,X,X,X
TJIZOSL,X,X,O,X,X,X,X,X
TJIOLSZ,X,X,X,O,O,X,X,X
TJIOLZS,X,X,X,O,O,X,X,X
TJIOSLZ,X,X,O,X,X,X,X,X
TJIOSZL,X,X,O,X,X,X,X,X
TJIOZLS,X,X,X,X,X,X,X,X
TJIOZSL,X,X,O,X,X,X,X,X
TJLISZO,X,O,O,X,O,X,X,X
TJLISOZ,X,O,O,O,O,X,X,X
TJLIZSO,O,X,O,X,O,X,X,X
TJLIZOS,O,X,X,O,O,X,X,X
TJLIOSZ,X,O,X,O,O,X,X,X
TJLIOZS,O,X,X,O,O,X,X,X
TJLSIZO,X,O,O,X,O,X,X,X
TJLSIOZ,X,O,O,O,O,X,X,X
TJLSZIO,O,O,O,X,X,X,X,X
TJLSZOI,O,O,O,X,X,X,X,X
TJLSOIZ,X,O,O,O,X,X,X,X
TJLSOZI,O,O,O,X,X,X,X,X
TJLZISO,O,X,O,X,O,X,X,X
TJLZIOS,O,X,X,O,O,X,X,X
TJLZSIO,O,O,O,X,X,X,X,X
TJLZSOI,O,O,O,X,X,X,X,X
TJLZOIS,O,X,X,O,X,X,X,X
TJLZOSI,O,O,X,X,X,X,X,X
TJLOISZ,X,O,X,O,O,X,X,X
TJLOIZS,O,X,X,O,O,X,X,X
TJLOSIZ,X,O,X,O,X,X,X,X
TJLOSZI,O,O,X,X,X,X,X,X
TJLOZIS,O,X,X,O,X,X,X,X
TJLOZSI,O,O,X,X,X,X,X,X
TJSILZO,X,O,O,X,O,X,X,X
TJSILOZ,X,O,O,O,O,X,X,X
TJSIZLO,X,O,O,X,X,X,X,X
TJSIZOL,X,X,O,X,X,X,X,X
TJSIOLZ,X,O,O,X,X,X,X,X
TJSIOZL,X,X,O,X,X,X,X,X
TJSLIZO,X,O,O,X,O,X,X,X
TJSLIOZ,X,O,O,O,O,X,X,X
TJSLZIO,O,O,O,X,X,X,X,X
TJSLZOI,O,O,O,X,X,X,X,X
TJSLOIZ,X,O,O,O,X,X,X,X
TJSLOZI,O,O,O,X,X,X,X,X
TJSZILO,O,O,O,X,X,X,X,X
TJSZIOL,X,X,O,X,X,X,X,X
TJSZLIO,O,O,O,X,X,X,X,X
TJSZLOI,O,O,O,X,X,X,X,X
TJSZOIL,X,X,O,X,X,X,X,X
TJSZOLI,X,X,O,X,X,X,X,X
TJSOILZ,X,O,O,X,X,X,X,X
TJSOIZL,X,X,O,X,X,X,X,X
TJSOLIZ,X,O,O,X,X,X,X,X
TJSOLZI,X,O,O,X,X,X,X,X
TJSOZIL,X,X,O,X,X,X,X,X
TJSOZLI,X,X,O,X,X,X,X,X
TJZILSO,O,X,O,X,O,X,X,X
TJZILOS,O,X,X,O,O,X,X,X
TJZISLO,O,X,O,X,X,X,X,X
TJZISOL,X,X,O,X,X,X,X,X
TJZIOLS,O,X,X,X,X,X,X,X
TJZIOSL,X,X,O,X,X,X,X,X
TJZLISO,O,X,O,X,O,X,X,X
TJZLIOS,O,X,X,O,O,X,X,X
TJZLSIO,O,O,O,X,X,X,X,X
TJZLSOI,O,O,O,X,X,X,X,X
TJZLOIS,O,X,X,O,X,X,X,X
TJZLOSI,O,O,X,X,X,X,X,X
TJZSILO,O,O,O,X,X,X,X,X
TJZSIOL,X,X,O,X,X,X,X,X
TJZSLIO,O,O,O,X,X,X,X,X
TJZSLOI,O,O,O,X,X,X,X,X
TJZSOIL,X,X,O,X,X,X,X,X
TJZSOLI,X,X,O,X,X,X,X,X
TJZOILS,O,X,X,X,X,X,X,X
TJZOISL,X,X,O,X,X,X,X,X
TJZOLIS,O,X,X,X,X,X,X,X
TJZOLSI,O,X,X,X,X,X,X,X
TJZOSIL,X,X,O,X,X,X,X,X
TJZOSLI,X,X,O,X,X,X,X,X
TJOILSZ,X,X,X,O,O,X,X,X
TJOILZS,X,X,X,O,O,X,X,X
TJOISLZ,X,X,O,X,X,X,X,X
TJOISZL,X,X,O,X,X,X,X,X
TJOIZLS,X,X,X,X,X,X,X,X
TJOIZSL,X,X,O,X,X,X,X,X
TJOLISZ,X,O,X,O,O,X,X,X
TJOLIZS,O,X,X,O,O,X,X,X
TJOLSIZ,X,O,X,O,X,X,X,X
TJOLSZI,O,O,X,X,X,X,X,X
TJOLZIS,O,X,X,O,X,X,X,X
TJOLZSI,O,O,X,X,X,X,X,X
TJOSILZ,X,O,O,X,X,X,X,X
TJOSIZL,X,X,O,X,X,X,X,X
TJOSLIZ,X,O,O,X,X,X,X,X
TJOSLZI,X,O,O,X,X,X,X,X
TJOSZIL,X,X,O,X,X,X,X,X
TJOSZLI,X,X,O,X,X,X,X,X
TJOZILS,O,X,X,X,X,X,X,X
TJOZISL,X,X,O,X,X,X,X,X
TJOZLIS,O,X,X,X,X,X,X,X
TJOZLSI,O,X,X,X,X,X,X,X
TJOZSIL,X,X,O,X,X,X,X,X
TJOZSLI,X,X,O,X,X,X,X,X
TSILJZO,X,O,O,X,O,X,X,X
TSILJOZ,X,O,O,O,O,X,X,X
TSILZJO,X,O,O,X,X,X,X,X
TSILZOJ,X,O,O,X,X,X,X,X
TSILOJZ,X,O,O,O,X,X,X,X
TSILOZJ,X,O,O,X,X,X,X,X
TSIJLZO,X,O,O,X,O,X,X,X
TSIJLOZ,X,O,O,O,O,X,X,X
TSIJZLO,X,O,O,X,X,X,X,X
TSIJZOL,X,X,O,X,X,X,X,X
TSIJOLZ,X,O,O,X,X,X,X,X
TSIJOZL,X,X,O,X,X,X,X,X
TSIZLJO,X,O,O,X,X,X,X,X
TSIZLOJ,X,O,O,X,X,X,X,X
TSIZJLO,X,O,O,X,X,X,X,X
TSIZJOL,X,X,O,X,X,X,X,X
TSIZOLJ,X,X,O,X,X,X,X,X
TSIZOJL,X,X,O,X,X,X,X,X
TSIOLJZ,X,O,O,X,X,X,X,X
TSIOLZJ,X,O,O,X,X,X,X,X
TSIOJLZ,X,O,O,X,X,X,X,X
TSIOJZL,X,X,O,X,X,O,X,X
TSIOZLJ,X,X,O,X,X,O,X,X
TSIOZJL,X,X,O,X,X,O,X,X
TSLIJZO,X,O,O,X,O,X,X,X
TSLIJOZ,X,O,O,O,O,X,X,X
TSLIZJO,X,O,O,X,X,X,X,X
TSLIZOJ,X,O,O,X,X,X,X,X
TSLIOJZ,X,O,O,O,X,X,X,X
TSLIOZJ,X,O,O,X,X,X,X,X
TSLJIZO,X,O,O,X,O,X,X,X
TSLJIOZ,X,O,O,O,O,X,X,X
TSLJZIO,O,O,O,X,X,X,X,X
TSLJZOI,O,O,O,X,X,X,X,X
TSLJOIZ,X,O,O,O,X,X,X,X
TSLJOZI,O,O,O,X,X,X,X,X
TSLZIJO,O,O,O,X,X,X,O,X
TSLZIOJ,O,O,O,X,X,X,O,X
TSLZJIO,O,O,O,X,X,X,O,X
TSLZJOI,O,O,O,X,X,X,O,X
TSLZOIJ,O,O,O,X,X,X,O,X
TSLZOJI,O,O,O,X,X,X,O,X
TSLOIJZ,X,O,O,O,X,X,X,X
TSLOIZJ,X,O,O,X,X,X,X,X
TSLOJIZ,X,O,O,O,X,X,X,X
TSLOJZI,O,O,O,X,X,O,X,X
TSLOZIJ,O,O,O,X,X,O,O,X
TSLOZJI,O,O,O,X,X,O,O,X
TSJILZO,X,O,O,X,O,X,X,X
TSJILOZ,X,O,O,O,O,X,X,X
TSJIZLO,X,O,O,X,X,X,X,X
TSJIZOL,X,X,O,X,X,X,X,X
TSJIOLZ,X,O,O,X,X,X,X,X
TSJIOZL,X,X,O,X,X,X,X,X
TSJLIZO,X,O,O,X,O,X,X,X
TSJLIOZ,X,O,O,O,O,X,X,X
TSJLZIO,O,O,O,X,X,X,X,X
TSJLZOI,O,O,O,X,X,X,X,X
TSJLOIZ,X,O,O,O,X,X,X,X
TSJLOZI,O,O,O,X,X,X,X,X
TSJZILO,O,O,O,X,X,X,X,X
TSJZIOL,X,X,O,X,X,X,X,X
TSJZLIO,O,O,O,X,X,X,X,X
TSJZLOI,O,O,O,X,X,X,X,X
TSJZOIL,X,X,O,X,X,X,X,X
TSJZOLI,X,X,O,X,X,X,X,X
TSJOILZ,X,O,O,X,X,X,X,X
TSJOIZL,X,X,O,X,X,O,X,X
TSJOLIZ,X,O,O,X,X,X,X,X
TSJOLZI,X,O,O,X,X,O,X,X
TSJOZIL,X,X,O,X,X,O,X,X
TSJOZLI,X,X,O,X,X,O,X,X
TSZILJO,O,O,O,X,X,X,X,X
TSZILOJ,O,O,O,X,X,X,X,X
TSZIJLO,O,O,O,X,X,X,X,X
TSZIJOL,X,X,O,X,X,X,X,X
TSZIOLJ,X,X,O,X,X,X,X,X
TSZIOJL,X,X,O,X,X,X,X,X
TSZLIJO,O,O,O,X,X,X,O,X
TSZLIOJ,O,O,O,X,X,X,O,X
TSZLJIO,O,O,O,X,X,X,O,X
TSZLJOI,O,O,O,X,X,X,O,X
TSZLOIJ,O,O,O,X,X,X,O,X
TSZLOJI,O,O,O,X,X,X,O,X
TSZJILO,O,O,O,X,X,X,X,X
TSZJIOL,X,X,O,X,X,X,X,X
TSZJLIO,O,O,O,X,X,X,X,X
TSZJLOI,O,O,O,X,X,X,X,X
TSZJOIL,X,X,O,X,X,X,X,X
TSZJOLI,X,X,O,X,X,X,X,X
TSZOILJ,X,X,O,X,X,O,X,X
TSZOIJL,X,X,O,X,X,O,X,X
TSZOLIJ,X,X,O,X,X,O,X,X
TSZOLJI,X,X,O,X,X,O,X,X
TSZOJIL,X,X,O,X,X,O,X,X
TSZOJLI,X,X,O,X,X,O,X,X
TSOILJZ,X,O,O,X,X,X,X,X
TSOILZJ,X,O,O,X,X,X,X,X
TSOIJLZ,X,O,O,X,X,X,X,X
TSOIJZL,X,X,O,X,X,O,X,X
TSOIZLJ,X,X,O,X,X,O,X,X
TSOIZJL,X,X,O,X,X,O,X,X
TSOLIJZ,X,O,O,X,X,X,X,X
TSOLIZJ,X,O,O,X,X,X,X,X
TSOLJIZ,X,O,O,X,X,X,X,X
TSOLJZI,X,O,O,X,X,O,X,X
TSOLZIJ,X,O,O,X,X,O,X,X
TSOLZJI,X,O,O,X,X,O,X,X
TSOJILZ,X,O,O,X,X,X,X,X
TSOJIZL,X,X,O,X,X,O,X,X
TSOJLIZ,X,O,O,X,X,X,X,X
TSOJLZI,X,O,O,X,X,O,X,X
TSOJZIL,X,X,O,X,X,O,X,X
TSOJZLI,X,X,O,X,X,O,X,X
TSOZILJ,X,X,O,X,X,O,X,X
TSOZIJL,X,X,O,X,X,O,X,X
TSOZLIJ,X,X,O,X,X,O,X,X
TSOZLJI,X,X,O,X,X,O,X,X
TSOZJIL,X,X,O,X,X,O,X,X
TSOZJLI,X,X,O,X,X,O,X,X
TZILJSO,O,X,O,X,O,X,X,X
TZILJOS,O,X,X,O,O,X,X,X
TZILSJO,O,X,O,X,X,X,X,X
TZILSOJ,O,X,O,X,X,X,X,X
TZILOJS,O,X,X,O,X,X,X,X
TZILOSJ,O,X,X,X,X,X,X,X
TZIJLSO,O,X,O,X,O,X,X,X
TZIJLOS,O,X,X,O,O,X,X,X
TZIJSLO,O,X,O,X,X,X,X,X
TZIJSOL,X,X,O,X,X,X,X,X
TZIJOLS,O,X,X,X,X,X,X,X
TZIJOSL,X,X,O,X,X,X,X,X
TZISLJO,O,X,O,X,X,X,X,X
TZISLOJ,O,X,O,X,X,X,X,X
TZISJLO,O,X,O,X,X,X,X,X
TZISJOL,X,X,O,X,X,X,X,X
TZISOLJ,X,X,O,X,X,X,X,X
TZISOJL,X,X,O,X,X,X,X,X
TZIOLJS,O,X,X,X,X,X,X,X
TZIOLSJ,O,X,X,X,X,X,X,X
TZIOJLS,O,X,X,X,X,X,X,X
TZIOJSL,X,X,O,X,X,X,X,X
TZIOSLJ,X,X,O,X,X,X,X,X
TZIOSJL,X,X,O,X,X,X,X,X
TZLIJSO,O,X,O,X,O,X,X,X
TZLIJOS,O,X,X,O,O,X,X,X
TZLISJO,O,X,O,X,X,X,X,X
TZLISOJ,O,X,O,X,X,X,X,X
TZLIOJS,O,X,X,O,X,X,X,X
TZLIOSJ,O,X,X,X,X,X,X,X
TZLJISO,O,X,O,X,O,X,X,X
TZLJIOS,O,X,X,O,O,X,X,X
TZLJSIO,O,O,O,X,X,X,X,X
TZLJSOI,O,O,O,X,X,X,X,X
TZLJOIS,O,X,X,O,X,X,X,X
TZLJOSI,O,O,X,X,X,X,X,X
TZLSIJO,O,O,O,X,X,X,X,X
TZLSIOJ,O,O,O,X,X,X,X,X
TZLSJIO,O,O,O,X,X,X,X,X
TZLSJOI,O,O,O,X,X,X,X,X
TZLSOIJ,O,O,O,X,X,X,X,X
TZLSOJI,O,O,O,X,X,X,X,X
TZLOIJS,O,X,X,O,X,X,X,X
TZLOISJ,O,X,X,X,X,X,X,X
TZLOJIS,O,X,X,O,X,X,X,X
TZLOJSI,O,O,X,X,X,X,X,X
TZLOSIJ,O,O,X,X,X,X,X,X
TZLOSJI,O,O,X,X,X,X,X,X
TZJILSO,O,X,O,X,O,X,X,X
TZJILOS,O,X,X,O,O,X,X,X
TZJISLO,O,X,O,X,X,X,X,X
TZJISOL,X,X,O,X,X,X,X,X
TZJIOLS,O,X,X,X,X,X,X,X
TZJIOSL,X,X,O,X,X,X,X,X
TZJLISO,O,X,O,X,O,X,X,X
TZJLIOS,O,X,X,O,O,X,X,X
TZJLSIO,O,O,O,X,X,X,X,X
TZJLSOI,O,O,O,X,X,X,X,X
TZJLOIS,O,X,X,O,X,X,X,X
TZJLOSI,O,O,X,X,X,X,X,X
TZJSILO,O,O,O,X,X,X,X,X
TZJSIOL,X,X,O,X,X,X,X,X
TZJSLIO,O,O,O,X,X,X,X,X
TZJSLOI,O,O,O,X,X,X,X,X
TZJSOIL,X,X,O,X,X,X,X,X
