sequence,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEOhB8hBCeBT?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEmcBfjB6jBT?hBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEicBGeB3hBU?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEicBzdB+jB3?hBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEOhB8hBfjB6?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEKhBzcBGeBU?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhE2hBSjB3hBU?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhE2hBCeBTjB3?hBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEyhBGeBUjBT?hBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhECeBTjBXmB8?mBOrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEzdB+jBXmBl?mBirB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEGeBUjBXmBl?mBirB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEzcBGeB/mBU?jBdrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEzcBSjB/mBU?jBdrB
TLIZSOJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLIZOJS,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TLIZOSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOJSZ,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TLIOJZS,O,X,X,X,X,O,O,O,X,X,X,X,X,X
TLIOSJZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLIOSZJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIOZJS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJISZO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLJISOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLJIZSO,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TLJIZOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TLJIOSZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TLJSIZO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLJSIOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLJSZIO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLJSZOI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJSOIZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLJSOZI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJZISO,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TLJZIOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TLJZSIO,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TLJZSOI,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TLJZOIS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TLJZOSI,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TLJOISZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TLJOIZS,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TLJOSIZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TLJOSZI,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TLSIJZO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TLSIJOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSIZJO,O,O,O,O,O,O,X,X,O,X,X,X,X,X
TLSIZOJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLSIOJZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLSJIZO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TLSJIOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSJZIO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TLSJZOI,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TLSJOIZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSJOZI,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSZIJO,O,O,O,O,O,O,X,X,O,X,X,X,X,X
TLSZIOJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLSZJIO,O,O,O,O,O,O,X,X,O,X,X,X,X,X
TLSZJOI,X,X,O,O,O,O,X,X,O,X,X,X,X,X
TLSZOIJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLSZOJI,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLSOIJZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLSOJIZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSOJZI,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,O,O,X,O,O,X,X,X,X,X,X,X,O
TLSOZJI,X,O,O,X,O,O,X,X,X,X,X,X,X,O
TLZIJSO,O,X,O,X,O,O,O,X,O,X,X,X,X,X
TLZIJOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TLZISJO,O,X,O,X,O,O,X,X,O,X,X,X,X,X
TLZISOJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLZIOJS,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TLZIOSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZJISO,O,X,O,X,O,O,O,X,O,X,X,X,X,X
TLZJIOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TLZJSIO,O,X,O,X,O,O,O,X,O,X,X,X,X,X
TLZJSOI,X,X,O,X,O,O,O,X,O,X,X,X,X,X
TLZJOIS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TLZJOSI,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TLZSIJO,O,X,O,X,O,O,X,X,O,X,X,X,X,X
TLZSIOJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLZSJIO,O,X,O,X,O,O,X,X,O,X,X,X,X,X
TLZSJOI,X,X,O,X,O,O,X,X,O,X,X,X,X,X
TLZSOIJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLZSOJI,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLZOIJS,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TLZOISJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZOJIS,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TLZOJSI,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TLZOSIJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZOSJI,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOIJSZ,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TLOIJZS,O,X,X,X,X,O,O,O,X,X,X,X,X,X
TLOISJZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLOISZJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLOIZJS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
TLOIZSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOJISZ,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TLOJIZS,O,X,X,X,X,O,O,O,X,X,X,X,X,X
TLOJSIZ,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TLOJSZI,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TLOJZIS,O,X,X,X,X,O,O,O,X,X,X,X,X,X
TLOJZSI,O,X,X,X,X,O,O,O,X,X,X,X,X,X
TLOSIJZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLOSIZJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLOSJIZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLOSJZI,X,O,X,X,X,X,X,O,X,X,X,X,X,X
