sequence,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhEWhBxcBzfBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhEygBGdB0fBz?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhERbBGdBigBz?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhERcBciBzfBG?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem6IvhEzbBCdB0fBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhEagBzbBuhBc?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhERbBuhBciBi?gBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhEagBRcBciBG?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhEygBWiB0fBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8JeT6IvhEegBCcBxhBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem6IvhECcB0fBxhBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem7IvhESiBxfB0fBz?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jey/IvhEzbBWiB0fBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhETdB0fBfnBm?lB6rB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhEciBzfB5mBf?rBmrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8JeT6IvhEXgBxhBCiB8?rBmqB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem6IvhExcB0fBzmBf?mBCsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhESiB0fBzmBm?lBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhElcBzfBurBf?rBcsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhExcBzfBurBf?rBFsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhERcBzfBurBc?sBFrB
TIOSJLZ,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOZJLS,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOZSJL,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLIJZSO,O,O,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLIJZOS,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLIJOZS,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLISJZO,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLISJOZ,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLISZJO,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLISZOJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,O,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLIZJOS,X,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLIZSJO,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
