sequence,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhEJlBzlB?shBXcBCXB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhEJlBXmB?8gBzcBCXB,,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhEJlBzlB?shBXcBKVB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhEJlBXmB?8gBzcBKVB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhEJlBzlB?shBKVBPWB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhDshByqB?3gBTVB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhFJlBqlB?ThBMeBlnBPnB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhDZQBMmB?PdBTlB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhDMmBPdB?TlBqbB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhEMeBJlB?zlBvhByaB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhEMeBJlB?TVBXmBChB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8JeJFJvhEzlBshB?+oB3VBiQB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8JepDJvhEaoBUiB?/lBubBTVB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhDMmBPdB?TlBKVB
TIZLJOS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TIZLSJO,X,X,,X,X,O,X,X,X,X,X,X,X,O,X
TIZLSOJ,X,X,,X,X,O,X,X,X,X,X,X,X,O,X
TIZLOJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
TIZJLSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
TIZJLOS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TIZJSLO,X,X,,X,X,X,X,X,X,X,X,X,O,X,X
TIZJSOL,X,X,,X,X,X,X,X,O,X,X,X,O,X,X
TIZJOLS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TIZJOSL,O,X,,O,X,X,X,X,O,X,X,X,O,X,X
TIZSLJO,X,X,,X,X,X,X,X,X,X,X,X,O,O,X
TIZSLOJ,X,X,,X,X,X,X,X,X,X,X,X,O,O,X
TIZSJLO,X,X,,X,X,X,X,X,X,X,X,X,O,O,X
TIZSJOL,X,X,,X,X,X,X,X,O,X,X,X,O,O,X
TIZSOLJ,X,X,,X,X,X,X,X,X,X,X,X,O,O,X
TIZSOJL,X,X,,X,X,X,X,X,O,X,X,X,O,O,X
TIZOLJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
TIZOJLS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TIZOJSL,O,X,,O,X,X,X,X,O,X,X,X,O,X,X
TIZOSLJ,O,X,,O,X,X,X,X,X,X,X,X,O,O,X
TIZOSJL,O,X,,O,X,X,X,X,O,X,X,X,O,O,X
TIOLJSZ,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
TIOLJZS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
TIOLSJZ,X,X,,O,X,O,X,X,X,X,O,X,X,O,X
TIOLSZJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
TIOLZJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
TIOJLSZ,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
TIOJLZS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
TIOJSLZ,O,X,,O,X,X,X,X,X,X,O,O,O,X,X
TIOJSZL,O,X,,O,X,X,X,X,X,X,O,O,O,X,X
TIOJZLS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
TIOJZSL,O,X,,O,X,X,X,X,O,X,O,O,O,X,X
TIOSLJZ,O,X,,O,X,X,X,X,X,X,O,O,O,O,X
TIOSLZJ,O,X,,O,X,X,X,X,X,X,X,X,O,O,X
TIOSJLZ,O,X,,O,X,X,X,X,X,X,O,O,O,O,X
TIOSJZL,O,X,,O,X,X,X,X,X,X,O,O,O,O,X
TIOSZLJ,O,X,,O,X,X,X,X,X,X,X,X,O,O,X
TIOSZJL,O,X,,O,X,X,X,X,X,X,X,X,O,O,X
TIOZLJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
TIOZJLS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TIOZJSL,O,X,,O,X,X,X,X,O,X,X,X,O,X,X
TIOZSLJ,O,X,,O,X,X,X,X,X,X,X,X,O,O,X
TIOZSJL,O,X,,O,X,X,X,X,O,X,X,X,O,O,X
TLIJSZO,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
TLIJZSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
TLIJZOS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TLIJOSZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TLIJOZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TLISJZO,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLISJOZ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLISZJO,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLISZOJ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLISOJZ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLISOZJ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLIZJSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
TLIZJOS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TLIZSJO,X,X,,X,X,O,X,X,X,X,X,X,X,O,X
TLIZSOJ,X,X,,X,X,O,X,X,X,X,X,X,X,O,X
TLIZOJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
TLIOJSZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TLIOJZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TLIOSJZ,X,X,,O,X,O,X,O,X,X,O,X,X,O,X
TLIOSZJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
TLIOZJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
TLJISZO,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
TLJISOZ,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
TLJIZSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
TLJIZOS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TLJIOSZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TLJIOZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TLJSIZO,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
TLJSZIO,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,,X,O,X,O,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
TLJSOZI,X,X,,X,O,X,O,X,X,X,X,X,X,X,X
TLJZISO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
TLJZIOS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TLJZSIO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,,X,X,X,O,X,X,X,X,X,X,X,O
TLJZOIS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TLJZOSI,X,X,,O,X,X,O,X,X,X,X,X,X,X,O
TLJOISZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TLJOIZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TLJOSIZ,X,X,,O,X,O,X,O,X,X,X,X,X,X,X
TLJOSZI,X,X,,O,X,X,O,X,X,X,X,X,X,X,X
TLJOZIS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TLJOZSI,X,X,,O,X,X,O,X,X,X,X,X,X,X,O
TLSIJZO,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLSIJOZ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLSIZJO,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLSIZOJ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLSIOJZ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLSIOZJ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLSJIZO,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLSJIOZ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLSJZIO,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLSJZOI,X,X,,X,O,X,O,X,X,X,X,X,X,O,X
TLSJOIZ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLSJOZI,X,X,,X,O,X,O,X,X,X,X,X,X,O,X
TLSZIJO,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLSZIOJ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLSZJIO,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLSZJOI,X,X,,X,O,X,O,X,X,X,X,X,X,O,X
TLSZOIJ,X,X,,X,O,X,X,X,X,X,X,X,X,O,X
TLSZOJI,X,X,,X,O,X,O,X,X,X,X,X,X,O,X
TLSOIJZ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLSOIZJ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLSOJIZ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TLSOJZI,X,X,,X,O,X,O,X,X,X,X,X,X,O,X
TLSOZIJ,X,X,,X,O,X,X,X,X,X,X,X,X,O,X
TLSOZJI,X,X,,X,O,X,O,X,X,X,X,X,X,O,X
TLZIJSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
TLZIJOS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TLZISJO,X,X,,X,X,O,X,X,X,X,X,X,X,O,X
TLZISOJ,X,X,,X,X,O,X,X,X,X,X,X,X,O,X
TLZIOJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TLZIOSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
TLZJISO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
TLZJIOS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TLZJSIO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
TLZJSOI,X,X,,X,X,X,O,X,X,X,X,X,X,X,O
TLZJOIS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TLZJOSI,X,X,,O,X,X,O,X,X,X,X,X,X,X,O
TLZSIJO,X,X,,X,X,O,X,X,X,X,X,X,X,O,X
TLZSIOJ,X,X,,X,X,O,X,X,X,X,X,X,X,O,X
TLZSJIO,X,X,,X,X,O,X,X,X,X,X,X,X,O,X
TLZSJOI,X,X,,X,X,X,O,X,X,X,X,X,X,O,O
TLZSOIJ,X,X,,X,X,X,X,X,X,X,X,X,X,O,X
TLZSOJI,X,X,,X,X,X,O,X,X,X,X,X,X,O,O
TLZOIJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TLZOISJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
TLZOJIS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TLZOJSI,X,X,,O,X,X,O,X,X,X,X,X,X,X,O
TLZOSIJ,X,X,,O,X,X,X,X,X,X,X,X,X,O,X
TLZOSJI,X,X,,O,X,X,O,X,X,X,X,X,X,O,O
TLOIJSZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TLOIJZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TLOISJZ,X,X,,O,X,O,X,O,X,X,O,X,X,O,X
TLOISZJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
TLOIZJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TLOIZSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
TLOJISZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TLOJIZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TLOJSIZ,X,X,,O,X,O,X,O,X,X,X,X,X,X,X
TLOJSZI,X,X,,O,X,X,O,X,X,X,X,X,X,X,X
TLOJZIS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TLOJZSI,X,X,,O,X,X,O,X,X,X,X,X,X,X,O
TLOSIJZ,X,X,,O,X,O,X,O,X,X,X,X,X,O,X
TLOSIZJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
TLOSJIZ,X,X,,O,X,O,X,O,X,X,X,X,X,O,X
TLOSJZI,X,X,,O,X,X,O,X,X,X,X,X,X,O,X
TLOSZIJ,X,X,,O,X,X,X,X,X,X,X,X,X,O,X
TLOSZJI,X,X,,O,X,X,O,X,X,X,X,X,X,O,X
TLOZIJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TLOZISJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
TLOZJIS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TLOZJSI,X,X,,O,X,X,O,X,X,X,X,X,X,X,O
TLOZSIJ,X,X,,O,X,X,X,X,X,X,X,X,X,O,X
TLOZSJI,X,X,,O,X,X,O,X,X,X,X,X,X,O,O
TJILSZO,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
TJILSOZ,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
TJILZSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
TJILZOS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TJILOSZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TJILOZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TJISLZO,X,X,,X,O,X,X,X,X,X,X,O,O,X,X
TJISLOZ,X,X,,X,O,X,X,X,X,X,X,O,O,X,X
TJISZLO,X,O,,X,O,X,X,X,X,X,X,O,O,X,X
TJISZOL,X,O,,X,O,X,X,X,X,X,X,O,O,X,X
TJISOLZ,X,X,,X,O,X,X,X,X,X,X,O,O,X,X
TJISOZL,X,O,,X,O,X,X,X,X,X,X,O,O,X,X
TJIZLSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
TJIZLOS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TJIZSLO,X,X,,X,X,X,X,X,X,X,X,O,O,X,X
TJIZSOL,X,X,,X,X,X,X,X,O,X,X,O,O,X,X
TJIZOLS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
TJIZOSL,O,X,,O,X,X,X,X,O,X,O,O,O,X,X
TJIOLSZ,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
TJIOLZS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
TJIOSLZ,O,X,,O,X,X,X,X,X,X,O,O,O,X,X
TJIOSZL,O,X,,O,X,X,X,X,X,X,O,O,O,X,X
TJIOZLS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
TJIOZSL,O,X,,O,X,X,X,X,O,X,O,O,O,X,X
TJLISZO,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
TJLISOZ,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
TJLIZSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
TJLIZOS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TJLIOSZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TJLIOZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TJLSIZO,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
TJLSIOZ,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
TJLSZIO,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
TJLSZOI,X,X,,X,O,X,O,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
TJLSOZI,X,X,,X,O,X,O,X,X,X,X,X,X,X,X
TJLZISO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
TJLZIOS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TJLZSIO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
TJLZSOI,X,X,,X,X,X,O,X,X,X,X,X,X,X,O
TJLZOIS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TJLZOSI,X,X,,O,X,X,O,X,X,X,X,X,X,X,O
TJLOISZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TJLOIZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TJLOSIZ,X,X,,O,X,O,X,O,X,X,X,X,X,X,X
TJLOSZI,X,X,,O,X,X,O,X,X,X,X,X,X,X,X
TJLOZIS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TJLOZSI,X,X,,O,X,X,O,X,X,X,X,X,X,X,O
TJSILZO,X,X,,X,O,X,X,X,X,X,X,O,O,X,X
TJSILOZ,X,X,,X,O,X,X,X,X,X,X,O,O,X,X
TJSIZLO,X,O,,X,O,X,X,X,X,X,X,O,O,X,X
TJSIZOL,X,O,,X,O,X,X,X,X,X,X,O,O,X,X
TJSIOLZ,X,X,,X,O,X,X,X,X,X,X,O,O,X,X
TJSIOZL,X,O,,X,O,X,X,X,X,X,X,O,O,X,X
TJSLIZO,X,X,,X,O,X,X,X,X,X,X,O,O,X,X
TJSLIOZ,X,X,,X,O,X,X,X,X,X,X,O,O,X,X
TJSLZIO,X,X,,X,O,X,X,X,X,X,X,O,O,X,X
TJSLZOI,X,X,,X,O,X,X,X,X,X,X,O,X,X,X
TJSLOIZ,X,X,,X,O,X,X,X,X,X,X,O,O,X,X
TJSLOZI,X,X,,X,O,X,X,X,X,X,X,O,X,X,X
TJSZILO,X,O,,X,O,X,X,X,X,X,X,O,O,X,X
TJSZIOL,X,O,,X,O,X,X,X,X,X,X,O,O,X,X
TJSZLIO,X,O,,X,O,X,X,X,X,X,X,O,O,X,X
TJSZLOI,X,O,,X,O,X,X,X,X,X,X,O,X,X,X
TJSZOIL,X,O,,X,O,X,X,X,X,X,O,O,X,X,X
TJSZOLI,X,O,,X,O,X,X,X,X,X,X,O,X,X,X
TJSOILZ,X,X,,X,O,X,X,X,X,X,O,O,O,X,X
TJSOIZL,X,O,,X,O,X,X,X,X,X,O,O,O,X,X
TJSOLIZ,X,X,,X,O,X,X,X,X,X,X,O,O,X,X
TJSOLZI,X,X,,X,O,X,X,X,X,X,X,O,X,X,X
TJSOZIL,X,O,,X,O,X,X,X,X,X,O,O,X,X,X
TJSOZLI,X,O,,X,O,X,X,X,X,X,X,O,X,X,X
TJZILSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
TJZILOS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TJZISLO,X,X,,X,X,X,X,X,X,X,X,O,O,X,X
TJZISOL,X,X,,X,X,X,X,X,O,X,X,O,O,X,X
TJZIOLS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
TJZIOSL,O,X,,O,X,X,X,X,O,X,O,O,O,X,X
TJZLISO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
TJZLIOS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TJZLSIO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
TJZLSOI,X,X,,X,X,X,O,X,X,X,X,X,X,X,O
TJZLOIS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TJZLOSI,X,X,,O,X,X,O,X,X,X,X,X,X,X,O
TJZSILO,X,X,,X,X,X,X,X,X,X,X,O,O,X,X
TJZSIOL,X,X,,X,X,X,X,X,O,X,X,O,O,X,X
TJZSLIO,X,X,,X,X,X,X,X,X,X,X,O,O,X,X
TJZSLOI,X,X,,X,X,X,X,X,X,X,X,O,X,X,O
TJZSOIL,X,X,,X,X,X,X,X,O,X,O,O,X,X,X
TJZSOLI,X,X,,X,X,X,X,X,X,O,X,O,X,X,O
TJZOILS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
TJZOISL,O,X,,O,X,X,X,X,O,X,O,O,O,X,X
TJZOLIS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
