sequence,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBCdBTeBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEuhBciBTeBa?mBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEWiBTeBamBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEicBTeB1mBx?rBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBTeBUhB6?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBSjBUhBl?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEFdBTeBimB/?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEFdBTeBimBG?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhExcBTeBlmBi?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBTeBUnBC?nBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhETeBFhB3mB+?nBasB
ITZLJOS,X,O,X,O,X,X,X,X,O,O,X
ITZLSJO,X,O,X,O,X,O,X,X,O,X,X
ITZLSOJ,X,O,X,O,X,O,X,X,O,X,X
ITZLOJS,X,O,X,O,X,X,X,X,O,O,X
ITZLOSJ,X,O,X,O,X,X,X,X,O,X,X
ITZJLSO,X,O,X,O,X,O,X,X,O,X,X
ITZJLOS,X,O,X,O,X,X,X,X,O,O,X
ITZJSLO,O,X,X,O,O,O,X,X,X,X,X
ITZJSOL,O,O,X,O,O,X,X,X,O,X,X
ITZJOLS,X,O,X,O,X,X,X,X,O,O,X
ITZJOSL,O,O,X,O,O,X,X,X,O,X,X
ITZSLJO,O,X,X,O,X,O,X,X,X,X,X
ITZSLOJ,O,X,X,O,O,O,X,X,X,X,X
ITZSJLO,O,X,X,O,X,X,X,X,X,X,X
ITZSJOL,O,O,X,O,X,X,X,X,O,X,X
ITZSOLJ,O,X,X,O,O,X,X,X,X,X,X
ITZSOJL,O,O,X,O,X,X,X,X,O,X,X
ITZOLJS,X,O,X,O,X,X,X,X,O,O,X
ITZOLSJ,X,O,X,O,X,X,X,X,O,X,X
ITZOJLS,X,O,X,O,X,X,X,X,O,O,X
ITZOJSL,O,O,X,O,O,X,X,X,O,X,X
ITZOSLJ,O,X,X,O,O,X,X,X,X,X,X
ITZOSJL,O,O,X,O,X,X,X,X,O,X,X
ITOLJSZ,O,X,O,X,X,X,X,X,X,X,X
ITOLJZS,X,O,O,O,X,X,X,O,X,X,X
ITOLSJZ,O,X,O,X,X,X,X,X,X,X,X
ITOLSZJ,O,O,X,X,X,X,X,X,X,X,X
ITOLZJS,X,O,O,O,X,X,X,O,X,X,X
ITOLZSJ,X,O,X,O,X,X,X,O,X,X,X
ITOJLSZ,O,X,O,X,X,X,X,X,X,X,X
ITOJLZS,X,X,O,O,X,X,X,X,X,X,X
ITOJSLZ,O,X,X,X,X,X,X,X,X,X,X
ITOJSZL,O,X,X,O,X,X,X,X,X,X,X
ITOJZLS,X,O,X,O,X,X,X,X,O,O,X
ITOJZSL,O,O,X,O,O,X,X,X,O,X,X
ITOSLJZ,O,X,X,X,X,X,X,X,X,X,X
ITOSLZJ,O,X,X,X,X,X,X,X,X,X,X
ITOSJLZ,O,X,X,X,X,X,X,X,X,X,X
ITOSJZL,O,X,X,O,X,X,X,X,X,X,X
ITOSZLJ,O,X,X,O,X,X,X,X,X,X,X
ITOSZJL,O,O,X,O,X,X,X,X,X,X,X
ITOZLJS,X,O,X,O,X,X,X,X,O,O,X
ITOZLSJ,X,O,X,O,X,X,X,X,O,X,X
ITOZJLS,X,O,X,O,X,X,X,X,O,O,X
ITOZJSL,O,O,X,O,O,X,X,X,O,X,X
ITOZSLJ,O,X,X,O,O,X,X,X,X,X,X
ITOZSJL,O,O,X,O,X,X,X,X,O,X,X
ILTJSZO,O,X,X,X,X,X,X,X,X,X,X
ILTJSOZ,O,X,O,X,X,X,X,X,X,X,X
ILTJZSO,X,O,X,O,X,O,X,O,X,X,X
ILTJZOS,X,O,O,O,X,X,X,O,X,X,X
ILTJOSZ,O,X,O,X,X,X,X,X,X,X,X
ILTJOZS,X,O,O,O,X,X,X,O,X,X,X
ILTSJZO,O,X,X,X,X,X,X,X,X,X,X
ILTSJOZ,O,X,O,X,X,X,X,X,X,X,X
ILTSZJO,O,O,X,X,X,X,X,X,X,X,X
ILTSZOJ,O,O,X,X,X,X,X,X,X,X,X
ILTSOJZ,O,X,O,X,X,X,X,X,X,X,X
ILTSOZJ,O,O,X,X,X,X,X,X,X,X,X
ILTZJSO,X,O,X,O,X,X,X,O,X,X,X
ILTZJOS,X,O,O,O,X,X,X,O,X,X,X
ILTZSJO,X,O,X,O,X,O,X,X,X,X,X
ILTZSOJ,X,O,X,O,X,O,X,O,X,X,X
ILTZOJS,X,O,O,O,X,X,X,O,X,X,X
ILTZOSJ,X,O,X,O,X,X,X,O,X,X,X
ILTOJSZ,O,X,O,X,X,X,X,X,X,X,X
ILTOJZS,X,O,O,O,X,X,X,O,X,X,X
ILTOSJZ,O,X,O,X,X,X,X,X,X,X,X
ILTOSZJ,O,O,X,X,X,X,X,X,X,X,X
ILTOZJS,X,O,O,O,X,X,X,O,X,X,X
ILTOZSJ,X,O,X,O,X,X,X,O,X,X,X
ILJTSZO,O,X,X,X,X,X,X,X,X,X,X
ILJTSOZ,O,X,O,X,X,X,X,X,X,X,X
ILJTZSO,X,O,X,O,X,O,X,O,X,X,X
ILJTZOS,X,O,O,O,X,X,X,O,X,X,X
ILJTOSZ,O,X,O,X,X,X,X,X,X,X,X
ILJTOZS,X,O,O,O,X,X,X,O,X,X,X
ILJSTZO,X,X,X,X,X,X,X,X,X,X,X
ILJSTOZ,O,X,X,X,X,X,X,X,X,X,X
ILJSZTO,X,X,X,X,X,O,O,O,X,X,X
ILJSZOT,O,X,X,X,X,O,O,O,X,X,X
ILJSOTZ,O,X,O,X,X,X,X,X,X,X,X
ILJSOZT,O,X,O,X,X,X,O,O,X,X,X
ILJZTSO,X,X,X,X,X,O,X,O,X,X,X
ILJZTOS,X,O,X,X,X,X,X,O,X,O,X
ILJZSTO,X,X,X,X,O,O,O,O,X,X,X
ILJZSOT,X,O,X,X,O,O,O,O,X,O,X
ILJZOTS,X,O,X,X,X,X,X,O,X,O,X
ILJZOST,X,O,O,X,O,O,O,O,X,O,X
ILJOTSZ,O,X,O,X,X,X,X,X,X,X,X
ILJOTZS,X,O,O,O,X,X,X,O,X,X,X
ILJOSTZ,O,X,O,X,X,X,X,X,X,X,X
ILJOSZT,O,X,O,X,X,X,O,O,X,X,X
ILJOZTS,X,O,X,X,X,X,X,O,X,O,X
ILJOZST,X,O,O,X,O,O,O,O,X,O,X
ILSTJZO,X,X,X,X,X,X,X,X,X,X,X
ILSTJOZ,O,X,O,X,X,X,X,X,X,X,X
ILSTZJO,X,O,X,X,X,X,X,X,X,X,X
ILSTZOJ,X,O,X,X,X,X,X,X,X,X,X
ILSTOJZ,O,X,O,X,X,X,X,X,X,X,X
ILSTOZJ,X,O,X,X,X,X,X,X,X,X,X
ILSJTZO,X,X,X,X,X,X,X,X,X,X,X
ILSJTOZ,O,X,X,X,X,X,X,X,X,X,X
ILSJZTO,X,X,X,X,X,O,O,O,X,X,X
ILSJZOT,O,X,X,X,X,O,O,O,X,X,X
ILSJOTZ,O,X,O,X,X,X,X,X,X,X,X
ILSJOZT,O,X,O,X,X,X,O,O,X,X,X
ILSZTJO,X,X,X,X,X,O,O,X,X,X,X
ILSZTOJ,X,X,X,X,X,O,O,O,X,X,X
ILSZJTO,X,X,X,X,X,O,O,O,X,X,X
ILSZJOT,O,O,X,X,X,O,O,O,X,X,X
ILSZOTJ,X,X,X,X,X,O,O,O,X,X,X
ILSZOJT,O,O,X,X,X,O,O,O,X,X,X
ILSOTJZ,O,X,O,X,X,X,X,X,X,X,X
ILSOTZJ,X,O,X,X,X,X,X,X,X,X,X
ILSOJTZ,O,X,O,X,X,X,X,X,X,X,X
ILSOJZT,O,X,O,X,X,X,O,O,X,X,X
ILSOZTJ,X,X,X,X,X,X,O,O,X,X,X
ILSOZJT,O,O,X,X,X,X,O,O,X,X,X
ILZTJSO,X,O,X,X,X,X,X,O,X,X,X
ILZTJOS,X,O,O,X,X,X,X,O,X,O,X
ILZTSJO,X,O,X,X,X,O,X,X,X,X,X
ILZTSOJ,X,O,X,X,X,O,X,O,X,X,X
ILZTOJS,X,O,O,X,X,X,X,O,X,O,X
ILZTOSJ,X,O,X,X,X,X,X,O,X,X,X
ILZJTSO,X,X,X,X,X,O,X,O,X,X,X
ILZJTOS,X,O,X,X,X,X,X,O,X,O,X
ILZJSTO,X,X,X,X,O,O,O,O,X,X,X
ILZJSOT,X,O,X,X,O,O,O,O,X,O,X
ILZJOTS,X,O,X,X,X,X,X,O,X,O,X
ILZJOST,X,O,O,X,O,O,O,O,X,O,X
ILZSTJO,X,X,X,X,X,O,O,X,X,X,X
ILZSTOJ,X,X,X,X,O,O,O,O,X,X,X
ILZSJTO,X,X,X,X,X,O,O,O,X,X,X
ILZSJOT,X,O,X,X,O,O,O,O,X,O,X
ILZSOTJ,X,X,X,X,O,O,O,O,X,X,X
ILZSOJT,X,O,X,X,O,O,O,O,X,O,X
ILZOTJS,X,O,O,X,X,X,X,O,X,O,X
ILZOTSJ,X,O,X,X,X,X,X,O,X,X,X
ILZOJTS,X,O,X,X,X,X,X,O,X,O,X
ILZOJST,X,O,O,X,O,X,O,O,X,O,X
ILZOSTJ,X,X,X,X,O,O,O,O,X,X,X
ILZOSJT,X,O,X,X,O,O,O,O,X,O,X
ILOTJSZ,O,X,O,X,X,X,X,X,X,X,X
ILOTJZS,X,O,O,O,X,X,X,O,X,X,X
ILOTSJZ,O,X,O,X,X,X,X,X,X,X,X
ILOTSZJ,O,O,X,X,X,X,X,X,X,X,X
ILOTZJS,X,O,O,O,X,X,X,O,X,X,X
ILOTZSJ,X,O,X,O,X,X,X,O,X,X,X
ILOJTSZ,O,X,O,X,X,X,X,X,X,X,X
ILOJTZS,X,O,O,O,X,X,X,O,X,X,X
ILOJSTZ,O,X,O,X,X,X,X,X,X,X,X
ILOJSZT,O,X,O,X,X,X,O,O,X,X,X
ILOJZTS,X,O,X,X,X,X,X,O,X,O,X
ILOJZST,X,O,O,X,O,O,O,O,X,O,X
ILOSTJZ,O,X,O,X,X,X,X,X,X,X,X
ILOSTZJ,X,O,X,X,X,X,X,X,X,X,X
ILOSJTZ,O,X,O,X,X,X,X,X,X,X,X
ILOSJZT,O,X,O,X,X,X,O,O,X,X,X
ILOSZTJ,X,X,X,X,X,X,O,O,X,X,X
ILOSZJT,O,O,X,X,X,X,O,O,X,X,X
ILOZTJS,X,O,O,X,X,X,X,O,X,O,X
ILOZTSJ,X,O,X,X,X,X,X,O,X,X,X
ILOZJTS,X,O,X,X,X,X,X,O,X,O,X
ILOZJST,X,O,O,X,O,X,O,O,X,O,X
ILOZSTJ,X,X,X,X,O,O,O,O,X,X,X
ILOZSJT,X,O,X,X,O,O,O,O,X,O,X
IJTLSZO,O,X,X,X,X,X,X,X,X,X,X
IJTLSOZ,O,X,X,X,X,X,X,X,X,X,X
IJTLZSO,X,X,X,O,X,O,X,X,X,X,X
IJTLZOS,X,X,X,O,X,X,X,X,X,X,X
IJTLOSZ,O,X,X,X,X,X,X,X,X,X,X
IJTLOZS,X,X,X,O,X,X,X,X,X,X,X
IJTSLZO,O,X,X,X,X,X,X,X,X,X,X
IJTSLOZ,O,X,X,X,X,X,X,X,X,X,X
IJTSZLO,O,X,X,O,X,X,X,X,X,X,X
IJTSZOL,O,X,X,O,X,X,X,X,X,X,X
IJTSOLZ,O,X,X,X,X,X,X,X,X,X,X
IJTSOZL,O,X,X,O,X,X,X,X,X,X,X
IJTZLSO,X,X,X,O,X,O,X,X,O,X,X
IJTZLOS,X,O,X,O,X,X,X,X,O,O,X
IJTZSLO,O,X,X,O,O,O,X,X,X,X,X
IJTZSOL,O,O,X,O,O,X,X,X,O,X,X
IJTZOLS,X,O,X,O,X,X,X,X,O,O,X
IJTZOSL,O,O,X,O,O,X,X,X,O,X,X
IJTOLSZ,O,X,X,X,X,X,X,X,X,X,X
IJTOLZS,X,X,X,O,X,X,X,X,X,X,X
IJTOSLZ,O,X,X,X,X,X,X,X,X,X,X
IJTOSZL,O,X,X,O,X,X,X,X,X,X,X
IJTOZLS,X,O,X,O,X,X,X,X,O,O,X
IJTOZSL,O,O,X,O,O,X,X,X,O,X,X
IJLTSZO,O,X,X,X,X,X,X,X,X,X,X
IJLTSOZ,O,X,O,X,X,X,X,X,X,X,X
IJLTZSO,X,O,X,O,X,O,X,O,X,X,X
IJLTZOS,X,O,O,O,X,X,X,O,X,X,X
IJLTOSZ,O,X,O,X,X,X,X,X,X,X,X
IJLTOZS,X,O,O,O,X,X,X,O,X,X,X
IJLSTZO,X,X,X,X,X,X,X,X,X,X,X
IJLSTOZ,O,X,X,X,X,X,X,X,X,X,X
IJLSZTO,X,X,X,X,X,O,O,O,X,X,X
IJLSZOT,O,X,X,X,X,O,O,O,X,X,X
IJLSOTZ,O,X,O,X,X,X,X,X,X,X,X
IJLSOZT,O,X,O,X,X,X,O,O,X,X,X
IJLZTSO,X,X,X,X,X,O,X,O,X,X,X
IJLZTOS,X,O,X,X,X,X,X,O,X,O,X
IJLZSTO,X,X,X,X,O,O,O,O,X,X,X
IJLZSOT,X,O,X,X,O,O,O,O,X,O,X
IJLZOTS,X,O,X,X,X,X,X,O,X,O,X
IJLZOST,X,O,O,X,O,O,O,O,X,O,X
IJLOTSZ,O,X,O,X,X,X,X,X,X,X,X
IJLOTZS,X,O,O,O,X,X,X,O,X,X,X
IJLOSTZ,O,X,O,X,X,X,X,X,X,X,X
IJLOSZT,O,X,O,X,X,X,O,O,X,X,X
IJLOZTS,X,O,X,X,X,X,X,O,X,O,X
IJLOZST,X,O,O,X,O,O,O,O,X,O,X
IJSTLZO,O,X,X,X,X,X,X,X,X,X,X
IJSTLOZ,O,X,X,X,X,X,X,X,X,X,X
IJSTZLO,O,X,X,O,X,X,X,X,X,X,X
IJSTZOL,O,X,X,O,X,X,X,X,X,X,X
IJSTOLZ,O,X,X,X,X,X,X,X,X,X,X
IJSTOZL,O,X,X,O,X,X,X,X,X,X,X
IJSLTZO,X,X,X,X,X,X,X,X,X,X,X
IJSLTOZ,O,X,X,X,X,X,X,X,X,X,X
IJSLZTO,X,X,X,X,X,O,X,X,X,X,X
IJSLZOT,O,X,X,X,X,O,X,X,X,X,X
IJSLOTZ,O,X,X,X,X,X,X,X,X,X,X
IJSLOZT,O,X,X,X,X,X,X,X,X,X,X
IJSZTLO,X,X,X,X,O,O,X,X,X,X,X
IJSZTOL,X,X,X,X,O,X,X,X,X,X,X
IJSZLTO,X,X,X,X,O,O,X,X,X,X,X
IJSZLOT,O,X,X,X,O,O,X,X,X,O,X
IJSZOTL,X,X,X,X,O,X,X,X,X,X,X
IJSZOLT,O,X,X,X,O,O,X,X,X,O,X
IJSOTLZ,O,X,X,X,X,X,X,X,X,X,X
IJSOTZL,O,X,X,O,X,X,X,X,X,X,X
IJSOLTZ,O,X,X,X,X,X,X,X,X,X,X
IJSOLZT,O,X,X,X,X,X,X,X,X,X,X
IJSOZTL,X,X,X,X,O,X,X,X,X,X,X
IJSOZLT,O,X,X,X,O,X,X,X,X,O,X
IJZTLSO,X,X,X,O,X,O,X,X,X,X,X
IJZTLOS,X,X,X,O,X,X,X,X,X,O,X
IJZTSLO,O,X,X,O,O,O,X,X,X,X,X
IJZTSOL,O,X,X,O,O,X,X,X,X,X,X
IJZTOLS,X,O,X,O,X,X,X,X,X,O,X
IJZTOSL,O,X,X,O,O,X,X,X,X,X,X
IJZLTSO,X,X,X,X,X,O,X,X,X,X,X
IJZLTOS,X,X,X,X,X,X,X,X,X,O,X
IJZLSTO,X,X,X,X,O,O,X,X,X,X,X
IJZLSOT,X,X,X,X,O,O,X,X,X,O,X
IJZLOTS,X,O,X,X,X,X,X,X,X,O,X
IJZLOST,X,O,X,X,O,O,X,X,X,O,X
IJZSTLO,X,X,X,X,O,O,X,X,X,X,X
IJZSTOL,X,X,X,X,O,X,X,X,X,X,X
IJZSLTO,X,X,X,X,O,O,X,X,X,X,X
IJZSLOT,O,X,X,X,O,O,X,X,X,O,X
IJZSOTL,X,X,X,X,O,X,X,X,X,X,X
IJZSOLT,O,O,X,X,O,O,X,X,X,O,X
IJZOTLS,X,O,X,O,X,X,X,X,X,O,X
IJZOTSL,O,X,X,O,O,X,X,X,X,X,X
IJZOLTS,X,O,X,X,X,X,X,X,X,O,X
IJZOLST,X,O,X,X,O,O,X,X,X,O,X
IJZOSTL,X,X,X,X,O,X,X,X,X,X,X
IJZOSLT,O,O,X,X,O,O,X,X,X,O,X
IJOTLSZ,O,X,X,X,X,X,X,X,X,X,X
IJOTLZS,X,X,X,O,X,X,X,X,X,X,X
IJOTSLZ,O,X,X,X,X,X,X,X,X,X,X
IJOTSZL,O,X,X,O,X,X,X,X,X,X,X
IJOTZLS,X,O,X,O,X,X,X,X,O,O,X
IJOTZSL,O,O,X,O,O,X,X,X,O,X,X
IJOLTSZ,O,X,O,X,X,X,X,X,X,X,X
IJOLTZS,X,O,O,O,X,X,X,O,X,X,X
IJOLSTZ,O,X,O,X,X,X,X,X,X,X,X
IJOLSZT,O,X,O,X,X,X,O,O,X,X,X
IJOLZTS,X,O,X,X,X,X,X,O,X,O,X
IJOLZST,X,O,O,X,O,O,O,O,X,O,X
IJOSTLZ,O,X,X,X,X,X,X,X,X,X,X
IJOSTZL,O,X,X,O,X,X,X,X,X,X,X
IJOSLTZ,O,X,X,X,X,X,X,X,X,X,X
IJOSLZT,O,X,X,X,X,X,X,X,X,X,X
IJOSZTL,X,X,X,X,O,X,X,X,X,X,X
IJOSZLT,O,X,X,X,O,X,X,X,X,O,X
IJOZTLS,X,O,X,O,X,X,X,X,X,O,X
IJOZTSL,O,X,X,O,O,X,X,X,X,X,X
IJOZLTS,X,O,X,X,X,X,X,X,X,O,X
IJOZLST,X,O,X,X,O,O,X,X,X,O,X
IJOZSTL,X,X,X,X,O,X,X,X,X,X,X
IJOZSLT,O,O,X,X,O,O,X,X,X,O,X
ISTLJZO,O,X,X,X,X,X,X,X,X,X,O
ISTLJOZ,O,X,X,X,X,X,X,X,X,X,O
ISTLZJO,O,X,X,X,X,X,X,X,X,X,X
ISTLZOJ,O,X,X,X,X,X,X,X,X,X,X
ISTLOJZ,O,X,X,X,X,X,X,X,X,X,O
ISTLOZJ,O,X,X,X,X,X,X,X,X,X,X
ISTJLZO,O,X,X,X,X,X,X,X,X,X,O
ISTJLOZ,O,X,X,X,X,X,X,X,X,X,O
ISTJZLO,O,X,X,O,X,X,X,X,X,X,O
ISTJZOL,O,X,X,O,X,X,X,X,X,X,O
ISTJOLZ,O,X,X,X,X,X,X,X,X,X,O
ISTJOZL,O,X,X,O,X,X,X,X,X,X,O
ISTZLJO,O,X,X,O,X,X,X,X,X,X,X
ISTZLOJ,O,X,X,O,X,X,X,X,X,X,X
ISTZJLO,O,X,X,O,X,X,X,X,X,X,O
ISTZJOL,O,O,X,O,X,X,X,X,X,X,O
ISTZOLJ,O,X,X,O,X,X,X,X,X,X,X
ISTZOJL,O,O,X,O,X,X,X,X,X,X,O
ISTOLJZ,O,X,X,X,X,X,X,X,X,X,O
ISTOLZJ,O,X,X,X,X,X,X,X,X,X,X
ISTOJLZ,O,X,X,X,X,X,X,X,X,X,O
ISTOJZL,O,X,X,O,X,X,X,X,X,X,O
ISTOZLJ,O,X,X,O,X,X,X,X,X,X,X
ISTOZJL,O,O,X,O,X,X,X,X,X,X,O
ISLTJZO,X,X,X,X,X,X,X,X,X,X,X
ISLTJOZ,O,X,O,X,X,X,X,X,X,X,X
ISLTZJO,X,O,X,X,X,X,X,X,X,X,X
ISLTZOJ,X,O,X,X,X,X,X,X,X,X,X
ISLTOJZ,O,X,O,X,X,X,X,X,X,X,X
ISLTOZJ,X,O,X,X,X,X,X,X,X,X,X
ISLJTZO,X,X,X,X,X,X,X,X,X,X,X
ISLJTOZ,O,X,X,X,X,X,X,X,X,X,X
ISLJZTO,X,X,X,X,X,O,X,O,X,X,X
ISLJZOT,O,X,X,X,X,O,X,O,X,X,X
ISLJOTZ,O,X,O,X,X,X,X,X,X,X,X
ISLJOZT,O,X,O,X,X,X,X,O,X,X,X
ISLZTJO,X,X,X,X,X,O,X,X,X,X,X
ISLZTOJ,X,X,X,X,X,O,X,O,X,X,X
ISLZJTO,X,X,X,X,X,O,X,O,X,X,X
ISLZJOT,O,O,X,X,X,O,X,O,X,X,X
ISLZOTJ,X,X,X,X,X,O,X,O,X,X,X
ISLZOJT,O,O,X,X,X,O,X,O,X,X,X
ISLOTJZ,O,X,O,X,X,X,X,X,X,X,X
ISLOTZJ,X,O,X,X,X,X,X,X,X,X,X
ISLOJTZ,O,X,O,X,X,X,X,X,X,X,X
ISLOJZT,O,X,O,X,X,X,X,O,X,X,X
ISLOZTJ,X,X,X,X,X,X,X,O,X,X,X
ISLOZJT,O,O,X,X,X,X,X,O,X,X,X
ISJTLZO,O,X,X,X,X,X,X,X,X,X,X
ISJTLOZ,O,X,X,X,X,X,X,X,X,X,X
ISJTZLO,O,X,X,O,X,X,X,X,X,X,X
ISJTZOL,O,X,X,O,X,X,X,X,X,X,X
ISJTOLZ,O,X,X,X,X,X,X,X,X,X,X
ISJTOZL,O,X,X,O,X,X,X,X,X,X,X
ISJLTZO,X,X,X,X,X,X,X,X,X,X,X
ISJLTOZ,O,X,X,X,X,X,X,X,X,X,X
ISJLZTO,X,X,X,X,X,O,X,X,X,X,X
ISJLZOT,O,X,X,X,X,O,X,X,X,X,X
ISJLOTZ,O,X,X,X,X,X,X,X,X,X,X
ISJLOZT,O,X,X,X,X,X,X,X,X,X,X
ISJZTLO,X,X,X,X,O,O,X,X,X,X,X
ISJZTOL,X,X,X,X,O,X,X,X,X,X,X
ISJZLTO,X,X,X,X,O,O,X,X,X,X,X
ISJZLOT,O,X,X,X,O,O,X,X,X,O,X
ISJZOTL,X,X,X,X,O,X,X,X,X,X,X
ISJZOLT,O,X,X,X,O,O,X,X,X,O,X
ISJOTLZ,O,X,X,X,X,X,X,X,X,X,X
ISJOTZL,O,X,X,O,X,X,X,X,X,X,X
ISJOLTZ,O,X,X,X,X,X,X,X,X,X,X
ISJOLZT,O,X,X,X,X,X,X,X,X,X,X
ISJOZTL,X,X,X,X,O,X,X,X,X,X,X
ISJOZLT,O,X,X,X,O,X,X,X,X,O,X
ISZTLJO,X,X,X,X,X,O,X,X,X,X,X
ISZTLOJ,X,X,X,X,O,O,X,X,X,X,X
ISZTJLO,X,X,X,X,X,X,X,X,X,X,X
ISZTJOL,X,X,X,X,X,X,X,X,X,X,X
ISZTOLJ,X,X,X,X,O,X,X,X,X,X,X
ISZTOJL,X,X,X,X,X,X,X,X,X,X,X
ISZLTJO,X,X,X,X,X,O,X,X,X,X,X
ISZLTOJ,X,X,X,X,O,O,X,X,X,X,X
ISZLJTO,X,X,X,X,X,O,X,X,X,X,X
ISZLJOT,O,X,X,X,O,O,X,X,X,O,X
ISZLOTJ,X,X,X,X,O,O,X,X,X,X,X
ISZLOJT,O,X,X,X,O,O,X,X,X,O,X
ISZJTLO,X,X,X,X,O,O,X,X,X,X,X
ISZJTOL,X,X,X,X,O,X,X,X,X,X,X
ISZJLTO,X,X,X,X,O,O,X,X,X,X,X
ISZJLOT,O,X,X,X,O,O,X,X,X,O,X
ISZJOTL,X,X,X,X,O,X,X,X,X,X,X
ISZJOLT,O,O,X,X,O,O,X,X,X,O,X
ISZOTLJ,X,X,X,X,O,X,X,X,X,X,X
ISZOTJL,X,X,X,X,X,X,X,X,X,X,X
ISZOLTJ,X,X,X,X,O,O,X,X,X,X,X
ISZOLJT,O,X,X,X,O,O,X,X,X,O,X
ISZOJTL,X,X,X,X,O,X,X,X,X,X,X
ISZOJLT,O,O,X,X,O,X,X,X,X,O,X
ISOTLJZ,O,X,X,X,X,X,X,X,X,X,O
ISOTLZJ,O,X,X,X,X,X,X,X,X,X,X
ISOTJLZ,O,X,X,X,X,X,X,X,X,X,O
ISOTJZL,O,X,X,O,X,X,X,X,X,X,O
ISOTZLJ,O,X,X,O,X,X,X,X,X,X,X
ISOTZJL,O,O,X,O,X,X,X,X,X,X,O
ISOLTJZ,O,X,O,X,X,X,X,X,X,X,X
ISOLTZJ,X,O,X,X,X,X,X,X,X,X,X
ISOLJTZ,O,X,O,X,X,X,X,X,X,X,X
ISOLJZT,O,X,O,X,X,X,X,O,X,X,X
ISOLZTJ,X,X,X,X,X,X,X,O,X,X,X
ISOLZJT,O,O,X,X,X,X,X,O,X,X,X
ISOJTLZ,O,X,X,X,X,X,X,X,X,X,X
ISOJTZL,O,X,X,O,X,X,X,X,X,X,X
ISOJLTZ,O,X,X,X,X,X,X,X,X,X,X
ISOJLZT,O,X,X,X,X,X,X,X,X,X,X
ISOJZTL,X,X,X,X,O,X,X,X,X,X,X
ISOJZLT,O,X,X,X,O,X,X,X,X,O,X
ISOZTLJ,X,X,X,X,O,X,X,X,X,X,X
ISOZTJL,X,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,X,X,X,X,O,X,X,X,X,X,X
ISOZLJT,O,X,X,X,O,X,X,X,X,O,X
ISOZJTL,X,X,X,X,O,X,X,X,X,X,X
ISOZJLT,O,O,X,X,O,X,X,X,X,O,X
IZTLJSO,X,O,X,O,X,X,X,X,X,X,X
IZTLJOS,X,O,X,O,X,X,X,X,X,O,X
IZTLSJO,X,O,X,O,X,O,X,X,X,X,X
IZTLSOJ,X,O,X,O,X,O,X,X,X,X,X
IZTLOJS,X,O,X,O,X,X,X,X,X,O,X
IZTLOSJ,X,O,X,O,X,X,X,X,X,X,X
IZTJLSO,X,O,X,O,X,O,X,X,X,X,X
IZTJLOS,X,O,X,O,X,X,X,X,X,O,X
IZTJSLO,O,X,X,O,O,O,X,X,X,X,X
IZTJSOL,O,O,X,O,O,X,X,X,X,X,X
IZTJOLS,X,O,X,O,X,X,X,X,X,O,X
IZTJOSL,O,O,X,O,O,X,X,X,X,X,X
IZTSLJO,O,X,X,O,X,O,X,X,X,X,X
IZTSLOJ,O,X,X,O,O,O,X,X,X,X,X
IZTSJLO,O,X,X,O,X,X,X,X,X,X,X
IZTSJOL,O,O,X,O,X,X,X,X,X,X,X
IZTSOLJ,O,X,X,O,O,X,X,X,X,X,X
IZTSOJL,O,O,X,O,X,X,X,X,X,X,X
IZTOLJS,X,O,X,O,X,X,X,X,X,O,X
IZTOLSJ,X,O,X,O,X,X,X,X,X,X,X
IZTOJLS,X,O,X,O,X,X,X,X,X,O,X
IZTOJSL,O,O,X,O,O,X,X,X,X,X,X
IZTOSLJ,O,X,X,O,O,X,X,X,X,X,X
IZTOSJL,O,O,X,O,X,X,X,X,X,X,X
IZLTJSO,X,O,X,X,X,X,X,O,X,X,X
IZLTJOS,X,O,O,X,X,X,X,O,X,O,X
IZLTSJO,X,O,X,X,X,O,X,X,X,X,X
IZLTSOJ,X,O,X,X,X,O,X,O,X,X,X
IZLTOJS,X,O,O,X,X,X,X,O,X,O,X
IZLTOSJ,X,O,X,X,X,X,X,O,X,X,X
IZLJTSO,X,X,X,X,X,O,X,O,X,X,X
IZLJTOS,X,O,X,X,X,X,X,O,X,O,X
IZLJSTO,X,X,X,X,O,O,X,O,X,X,X
IZLJSOT,X,O,X,X,O,O,X,O,X,O,X
IZLJOTS,X,O,X,X,X,X,X,O,X,O,X
IZLJOST,X,O,O,X,O,O,X,O,X,O,X
