sequence,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBCdBTeBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEuhBciBTeBa?mBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEWiBTeBamBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEicBTeB1mBx?rBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBTeBUhB6?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBSjBUhBl?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEFdBTeBimB/?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEFdBTeBimBG?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhExcBTeBlmBi?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBTeBUnBC?nBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhETeBFhB3mB+?nBasB
TIOJLSZ,O,X,O,X,X,X,X,X,X,X,X
TIOJLZS,X,X,O,O,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,X,X,O,X,X,X,X,X,X,X
TIOJZLS,X,O,X,O,X,X,X,X,O,O,X
TIOJZSL,O,O,X,O,O,X,X,X,O,X,X
TIOSLJZ,O,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,O,X,X,X,X,X,X,X
TIOSZLJ,O,X,X,O,X,X,X,X,X,X,X
TIOSZJL,O,O,X,O,X,X,X,X,X,X,X
TIOZLJS,X,O,X,O,X,X,X,X,O,O,X
TIOZLSJ,X,O,X,O,X,X,X,X,O,X,X
TIOZJLS,X,O,X,O,X,X,X,X,O,O,X
TIOZJSL,O,O,X,O,O,X,X,X,O,X,X
TIOZSLJ,O,X,X,O,O,X,X,X,X,X,X
TIOZSJL,O,O,X,O,X,X,X,X,O,X,X
TLIJSZO,O,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,O,X,X,X,X,X,X,X,X
TLIJZSO,X,O,X,X,X,O,X,O,X,X,X
TLIJZOS,X,O,O,X,X,X,X,O,X,X,X
TLIJOSZ,O,X,O,X,X,X,X,X,X,X,X
TLIJOZS,X,O,O,X,X,X,X,O,X,X,X
TLISJZO,O,X,X,X,X,X,X,X,X,X,X
TLISJOZ,O,X,O,X,X,X,X,X,X,X,X
TLISZJO,O,O,X,X,X,X,X,X,X,X,X
TLISZOJ,O,O,X,X,X,X,X,X,X,X,X
TLISOJZ,O,X,O,X,X,X,X,X,X,X,X
TLISOZJ,O,O,X,X,X,X,X,X,X,X,X
TLIZJSO,X,O,X,X,X,X,X,O,X,X,X
TLIZJOS,X,O,O,X,X,X,X,O,X,X,X
TLIZSJO,X,O,X,X,X,O,X,X,X,X,X
TLIZSOJ,X,O,X,X,X,O,X,O,X,X,X
TLIZOJS,X,O,O,X,X,X,X,O,X,X,X
TLIZOSJ,X,O,X,X,X,X,X,O,X,X,X
TLIOJSZ,O,X,O,X,X,X,X,X,X,X,X
TLIOJZS,X,O,O,X,X,X,X,O,X,X,X
TLIOSJZ,O,X,O,X,X,X,X,X,X,X,X
TLIOSZJ,O,O,X,X,X,X,X,X,X,X,X
TLIOZJS,X,O,O,X,X,X,X,O,X,X,X
