sequence,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZ6IvhETXB8hBCgB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZyIvhEKVB8hBTfB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZwIvhEKbB8hBTfB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZyIvhEKfBzaB8hB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8Je52IvhEKfBzaB8hB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8Jef3IvhEZaB8hBqkBT?gB+oB,v115@BhA8IeA8EeA8BeD8CeG8AeB8Je/wIvhEZaB8hBqkBT?gB+oB,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZ6IvhE3XB8hBqkBT?gB+oB,v115@BhA8IeA8EeA8BeD8CeG8AeB8Je52IvhETXBKfB8hB+?oBXlB
TSLZOJI,O,X,O,O,O,X,X,O,O
TSLOIJZ,O,X,O,O,O,X,X,O,O
TSLOIZJ,O,X,O,O,O,X,X,O,O
TSLOJIZ,O,X,O,O,O,X,X,O,O
TSLOJZI,O,X,O,O,O,X,X,O,O
TSLOZIJ,O,X,O,O,O,X,X,O,O
TSLOZJI,O,X,O,O,O,X,X,O,O
TSJILZO,O,X,X,O,O,X,X,O,O
TSJILOZ,O,X,X,O,O,X,X,O,O
TSJIZLO,O,X,X,O,O,X,X,O,O
TSJIZOL,O,O,X,X,X,X,X,X,O
TSJIOLZ,O,O,X,X,X,X,X,X,O
TSJIOZL,O,O,X,X,X,X,X,X,O
TSJLIZO,O,X,X,O,O,X,X,O,O
TSJLIOZ,O,X,X,O,O,X,X,O,O
TSJLZIO,O,X,X,O,O,X,X,O,O
TSJLZOI,O,X,O,O,O,X,X,O,O
TSJLOIZ,O,X,O,O,O,X,X,O,O
TSJLOZI,O,X,O,O,O,X,X,O,O
TSJZILO,O,X,X,O,O,X,X,O,O
TSJZIOL,O,O,X,X,X,X,X,X,O
TSJZLIO,O,X,X,O,O,X,X,O,O
TSJZLOI,O,X,O,O,O,X,X,O,O
TSJZOIL,O,O,O,X,X,X,X,X,O
TSJZOLI,O,O,O,X,X,O,X,O,O
TSJOILZ,O,O,O,X,X,X,X,X,O
TSJOIZL,O,O,O,X,X,X,X,X,O
TSJOLIZ,O,O,O,X,X,O,X,O,O
TSJOLZI,O,O,O,X,X,O,X,O,O
TSJOZIL,O,O,O,X,X,X,X,X,O
TSJOZLI,O,O,O,X,X,O,X,O,O
TSZILJO,O,X,X,O,O,X,X,O,O
TSZILOJ,O,X,X,O,O,X,X,O,O
TSZIJLO,O,X,X,O,O,X,X,O,O
TSZIJOL,O,O,X,X,X,X,X,X,O
TSZIOLJ,O,O,X,X,X,X,X,X,O
TSZIOJL,O,O,X,X,X,X,X,X,O
TSZLIJO,O,X,X,O,O,X,X,O,O
TSZLIOJ,O,X,X,O,O,X,X,O,O
TSZLJIO,O,X,X,O,O,X,X,O,O
TSZLJOI,O,X,O,O,O,X,X,O,O
TSZLOIJ,O,X,O,O,O,X,X,O,O
TSZLOJI,O,X,O,O,O,X,X,O,O
TSZJILO,O,X,X,O,O,X,X,O,O
TSZJIOL,O,O,X,X,X,X,X,X,O
TSZJLIO,O,X,X,O,O,X,X,O,O
TSZJLOI,O,X,O,O,O,X,X,O,O
TSZJOIL,O,O,O,X,X,X,X,X,O
TSZJOLI,O,O,O,X,X,O,X,O,O
TSZOILJ,O,O,O,X,X,X,X,X,O
TSZOIJL,O,O,O,X,X,X,X,X,O
TSZOLIJ,O,O,O,X,X,O,X,O,O
TSZOLJI,O,O,O,X,X,O,X,O,O
TSZOJIL,O,O,O,X,X,X,X,X,O
TSZOJLI,O,O,O,X,X,O,X,O,O
TSOILJZ,O,O,O,X,X,X,X,X,O
TSOILZJ,O,O,O,X,X,X,X,X,O
TSOIJLZ,O,O,O,X,X,X,X,X,O
TSOIJZL,O,O,O,X,X,X,X,X,O
TSOIZLJ,O,O,O,X,X,X,X,X,O
TSOIZJL,O,O,O,X,X,X,X,X,O
TSOLIJZ,O,O,O,X,X,O,X,O,O
TSOLIZJ,O,O,O,X,X,O,X,O,O
TSOLJIZ,O,O,O,X,X,O,X,O,O
TSOLJZI,O,O,O,X,X,O,X,O,O
TSOLZIJ,O,O,O,X,X,O,X,O,O
TSOLZJI,O,O,O,X,X,O,X,O,O
TSOJILZ,O,O,O,X,X,X,X,X,O
TSOJIZL,O,O,O,X,X,X,X,X,O
TSOJLIZ,O,O,O,X,X,O,X,O,O
TSOJLZI,O,O,O,X,X,O,X,O,O
TSOJZIL,O,O,O,X,X,X,X,X,O
TSOJZLI,O,O,O,X,X,O,X,O,O
TSOZILJ,O,O,O,X,X,X,X,X,O
TSOZIJL,O,O,O,X,X,X,X,X,O
TSOZLIJ,O,O,O,X,X,O,X,O,O
TSOZLJI,O,O,O,X,X,O,X,O,O
TSOZJIL,O,O,O,X,X,X,X,X,O
TSOZJLI,O,O,O,X,X,O,X,O,O
TZILJSO,X,X,X,O,X,X,O,O,X
TZILJOS,X,X,X,X,X,O,O,O,X
TZILSJO,X,X,X,O,X,X,O,O,X
TZILSOJ,X,X,X,O,X,X,O,O,X
TZILOJS,X,X,X,X,X,O,O,O,X
TZILOSJ,X,X,X,X,X,O,O,O,X
TZIJLSO,X,X,X,O,X,X,O,O,X
TZIJLOS,X,X,X,X,X,O,O,O,X
TZIJSLO,O,X,X,O,X,X,O,O,X
TZIJSOL,O,O,X,X,X,X,O,X,X
TZIJOLS,X,O,X,X,X,X,X,X,X
TZIJOSL,O,O,X,X,X,X,O,X,X
TZISLJO,O,X,X,O,X,X,O,O,X
TZISLOJ,O,X,X,O,X,X,O,O,X
TZISJLO,O,X,X,O,X,X,O,O,X
TZISJOL,O,O,X,X,X,X,O,X,X
