sequence,v115@9gA8IeA8IeA8GeA8AeD8BeD8JeuEJvhFFhB0iB6oBT?lBxrB3rB,v115@9gA8IeA8IeA8GeA8AeD8BeD8JeCAJvhFXhBxiBVqBU?nBGoBTrB,v115@9gA8IeA8IeA8GeA8AeD8BeD8JeRAJvhFFiB6oBzkBG?mB3nBUrB,v115@9gA8IeA8IeA8GeA8AeD8BeD8Jez/IvhFFiB6oBGmB3?nBRqBUrB
TJOILZS,O,O,X,X
TJOISLZ,O,O,X,X
TJOISZL,O,O,X,X
TJOIZLS,O,O,X,X
TJOIZSL,O,O,X,X
TJOLISZ,O,O,X,X
TJOLIZS,O,O,X,X
TJOLSIZ,O,O,X,X
TJOLSZI,O,O,X,X
TJOLZIS,O,O,X,X
TJOLZSI,O,O,X,X
TJOSILZ,O,O,X,X
TJOSIZL,O,O,X,X
TJOSLIZ,O,O,X,X
TJOSLZI,O,O,X,X
TJOSZIL,X,O,X,X
TJOSZLI,O,O,X,X
TJOZILS,O,O,X,X
TJOZISL,O,O,X,X
TJOZLIS,O,O,X,X
TJOZLSI,O,O,X,X
TJOZSIL,X,O,X,X
TJOZSLI,O,O,X,X
TSILJZO,X,O,X,O
TSILJOZ,X,O,X,O
TSILZJO,X,O,O,O
TSILZOJ,X,O,O,O
TSILOJZ,X,X,O,O
TSILOZJ,X,X,O,O
TSIJLZO,X,O,X,O
TSIJLOZ,X,O,X,O
TSIJZLO,X,O,X,O
TSIJZOL,X,O,X,O
TSIJOLZ,X,O,X,O
TSIJOZL,X,X,X,O
TSIZLJO,X,O,O,O
TSIZLOJ,X,O,O,O
TSIZJLO,X,O,O,O
TSIZJOL,X,O,O,O
TSIZOLJ,X,O,O,O
TSIZOJL,X,X,O,O
TSIOLJZ,X,X,O,O
TSIOLZJ,X,X,O,O
TSIOJLZ,X,X,O,O
TSIOJZL,X,X,X,O
TSIOZLJ,X,X,O,O
TSIOZJL,X,X,O,O
TSLIJZO,X,O,X,O
TSLIJOZ,X,O,X,O
TSLIZJO,X,O,O,O
TSLIZOJ,X,O,O,O
TSLIOJZ,X,X,O,O
TSLIOZJ,X,X,O,O
TSLJIZO,X,O,X,O
TSLJIOZ,X,O,X,O
