sequence,v115@GhA8IeA8CeA8DeF8CeC8JeOEJvhFlgBRiBzkB3nB0r?BirB,v115@GhA8IeA8CeA8DeF8CeC8Je1FJvhFxhBynBTkBcrBmk?BXsB,v115@GhA8IeA8CeA8DeF8CeC8Je0/IvhFlgB3hBziB2pBxr?BywB,v115@GhA8IeA8CeA8DeF8CeC8JeT/IvhFxgB8nBypBFmB3r?BOsB,v115@GhA8IeA8CeA8DeF8CeC8JeOEJvhFxgBiiBzkB3nB0r?BFrB,v115@GhA8IeA8CeA8DeF8CeC8Je3AJvhFRiB0kBOrBlnBik?BzrB,v115@GhA8IeA8CeA8DeF8CeC8JeT/IvhFlgBmiBypBxrBcr?BXsB,v115@GhA8IeA8CeA8DeF8CeC8JeT/IvhF8nBypBRmBmlB3r?BFsB
TIJZSLO,O,X,O,X,X,O,X,X
TIJZSOL,O,X,O,X,X,O,X,X
TIJZOLS,X,X,O,X,X,X,X,X
TIJZOSL,X,X,O,X,X,O,X,X
TIJOLSZ,X,X,O,X,X,X,X,X
TIJOLZS,X,X,O,X,X,X,X,X
TIJOSLZ,X,X,O,X,X,X,X,X
TIJOSZL,X,X,O,X,X,O,X,X
TIJOZLS,X,X,O,X,X,X,X,X
TIJOZSL,X,X,O,X,X,O,X,X
TISLJZO,O,X,O,O,X,X,X,X
TISLJOZ,O,X,O,O,X,X,X,X
TISLZJO,X,O,X,O,X,X,O,X
TISLZOJ,X,O,X,O,X,X,O,X
TISLOJZ,O,X,O,O,X,X,X,X
TISLOZJ,X,O,X,O,X,X,O,X
TISJLZO,O,X,O,O,X,O,X,X
TISJLOZ,O,X,O,O,X,X,X,X
TISJZLO,O,X,O,O,X,O,X,X
TISJZOL,O,X,O,X,X,O,X,X
TISJOLZ,O,X,O,X,X,X,X,X
TISJOZL,O,X,O,X,X,O,X,X
TISZLJO,O,O,X,O,X,X,X,X
TISZLOJ,O,O,X,O,X,X,X,X
TISZJLO,O,O,O,O,X,O,X,X
TISZJOL,O,O,O,X,X,O,X,X
TISZOLJ,O,O,X,O,X,X,X,X
TISZOJL,O,O,O,X,X,X,X,X
TISOLJZ,O,X,O,O,X,X,X,X
TISOLZJ,X,O,X,O,X,X,X,X
TISOJLZ,O,X,O,X,X,X,X,X
TISOJZL,O,X,O,X,X,X,X,X
TISOZLJ,O,O,X,O,X,X,X,X
TISOZJL,O,O,O,X,X,X,X,X
TIZLJSO,X,X,X,X,X,X,O,X
TIZLJOS,X,O,X,X,X,X,O,X
TIZLSJO,X,X,X,O,X,X,O,X
TIZLSOJ,X,O,X,O,X,X,O,X
TIZLOJS,X,O,X,X,X,X,O,O
TIZLOSJ,X,O,X,O,X,X,O,O
TIZJLSO,X,X,O,X,X,O,X,X
TIZJLOS,X,O,O,X,X,X,X,X
TIZJSLO,O,X,O,X,X,O,X,X
TIZJSOL,O,X,O,X,X,O,X,X
TIZJOLS,X,O,O,X,X,X,X,X
TIZJOSL,X,X,O,X,X,O,X,X
TIZSLJO,O,X,X,O,X,X,X,X
TIZSLOJ,O,O,X,O,X,X,X,X
TIZSJLO,O,X,O,O,X,O,X,X
TIZSJOL,O,X,O,X,X,O,X,X
TIZSOLJ,O,O,X,O,X,X,X,X
TIZSOJL,O,X,O,X,X,X,X,X
TIZOLJS,X,O,X,X,X,X,X,X
TIZOLSJ,X,O,X,X,X,X,X,X
TIZOJLS,X,O,O,X,X,O,X,X
TIZOJSL,O,X,O,X,X,O,X,X
TIZOSLJ,O,O,X,X,X,X,X,X
TIZOSJL,O,X,O,X,X,X,X,X
TIOLJSZ,X,X,O,O,X,X,X,X
TIOLJZS,X,X,O,X,X,X,O,X
TIOLSJZ,X,X,O,O,X,X,X,X
TIOLSZJ,X,X,X,O,X,X,O,X
TIOLZJS,X,O,X,X,X,X,O,X
TIOLZSJ,X,O,X,O,X,X,O,X
TIOJLSZ,X,X,O,X,X,O,X,X
TIOJLZS,X,X,O,X,X,O,X,X
TIOJSLZ,O,X,O,X,X,O,X,X
TIOJSZL,O,X,O,X,X,O,X,X
TIOJZLS,X,X,O,X,X,O,X,X
TIOJZSL,O,X,O,X,X,O,X,X
TIOSLJZ,O,X,O,O,X,X,X,X
TIOSLZJ,X,O,X,O,X,X,X,X
TIOSJLZ,O,X,O,X,X,X,X,X
TIOSJZL,O,X,O,X,X,X,X,X
TIOSZLJ,O,O,X,O,X,X,X,X
TIOSZJL,O,O,O,X,X,X,X,X
TIOZLJS,X,O,X,X,X,X,X,X
TIOZLSJ,X,O,X,X,X,X,X,X
TIOZJLS,X,O,O,X,X,O,X,X
TIOZJSL,O,X,O,X,X,O,X,X
TIOZSLJ,O,O,X,X,X,X,X,X
TIOZSJL,O,X,O,X,X,X,X,X
TLIJSZO,X,X,O,O,X,X,O,X
TLIJSOZ,X,X,O,O,X,X,O,X
TLIJZSO,X,X,O,X,X,X,O,X
TLIJZOS,X,X,O,X,X,X,O,X
TLIJOSZ,X,X,O,O,X,X,O,X
TLIJOZS,X,X,O,X,X,X,O,X
TLISJZO,X,X,O,O,X,X,O,X
TLISJOZ,X,X,O,O,X,X,O,X
TLISZJO,X,X,X,O,X,X,O,X
TLISZOJ,X,X,X,O,X,X,O,X
TLISOJZ,X,X,O,O,X,X,O,X
TLISOZJ,X,X,X,O,X,X,O,X
TLIZJSO,X,X,X,X,X,X,O,X
TLIZJOS,X,O,X,X,X,X,O,X
TLIZSJO,X,X,X,O,X,X,O,X
TLIZSOJ,X,O,X,O,X,X,O,X
TLIZOJS,X,O,X,X,X,X,O,O
TLIZOSJ,X,O,X,O,X,X,O,O
TLIOJSZ,X,X,O,O,X,X,O,X
TLIOJZS,X,X,O,X,X,X,O,X
TLIOSJZ,X,X,O,O,X,X,O,X
TLIOSZJ,X,X,X,O,X,X,O,X
TLIOZJS,X,O,X,X,X,X,O,O
TLIOZSJ,X,O,X,O,X,X,O,O
TLJISZO,X,X,O,O,X,O,O,X
TLJISOZ,X,X,O,O,X,X,O,X
TLJIZSO,X,X,O,X,X,O,O,X
TLJIZOS,X,X,O,X,X,X,O,X
TLJIOSZ,X,X,O,O,X,X,O,X
TLJIOZS,X,X,O,X,X,X,O,X
TLJSIZO,O,X,X,O,X,O,X,X
TLJSIOZ,O,X,X,O,X,X,X,X
TLJSZIO,O,X,X,O,X,O,X,X
TLJSZOI,X,X,X,O,X,O,X,X
TLJSOIZ,X,X,X,O,X,X,X,X
TLJSOZI,X,X,X,O,X,X,X,X
TLJZISO,X,X,O,X,X,O,X,X
TLJZIOS,X,O,O,X,X,X,X,X
TLJZSIO,O,X,X,X,X,O,X,X
TLJZSOI,X,X,X,X,X,O,X,X
TLJZOIS,X,O,O,X,X,X,X,X
TLJZOSI,X,O,X,X,X,X,X,X
TLJOISZ,X,X,O,O,X,X,O,X
TLJOIZS,X,X,O,X,X,X,O,X
TLJOSIZ,X,X,X,O,X,X,X,X
TLJOSZI,X,X,X,O,X,X,X,X
TLJOZIS,X,O,O,X,X,X,X,X
TLJOZSI,X,O,X,X,X,X,X,X
TLSIJZO,O,X,X,O,X,X,X,X
TLSIJOZ,O,X,X,O,X,X,X,X
TLSIZJO,X,O,X,O,X,X,O,X
TLSIZOJ,X,O,X,O,X,X,O,O
TLSIOJZ,O,X,X,O,X,X,X,X
TLSIOZJ,X,O,X,O,X,X,O,O
TLSJIZO,O,X,X,O,X,O,X,X
TLSJIOZ,O,X,X,O,X,X,X,X
TLSJZIO,O,O,X,O,X,O,X,X
TLSJZOI,X,O,X,O,X,O,X,X
TLSJOIZ,X,X,X,O,X,X,X,X
TLSJOZI,X,O,X,O,X,X,X,X
TLSZIJO,O,O,X,O,X,X,X,X
TLSZIOJ,O,O,X,O,X,X,X,O
TLSZJIO,O,O,X,O,X,O,X,X
TLSZJOI,X,O,X,O,X,O,X,X
TLSZOIJ,O,O,X,O,X,X,X,O
TLSZOJI,O,O,X,O,X,X,X,X
TLSOIJZ,O,X,X,O,X,X,X,X
TLSOIZJ,X,O,X,O,X,X,O,O
TLSOJIZ,O,X,X,O,X,X,X,X
TLSOJZI,O,O,X,O,X,X,X,X
TLSOZIJ,O,O,X,O,X,X,X,O
TLSOZJI,O,O,X,O,X,X,X,X
TLZIJSO,X,X,X,X,X,X,O,X
TLZIJOS,X,O,X,X,X,X,O,X
TLZISJO,X,X,X,O,X,X,O,X
TLZISOJ,X,O,X,O,X,X,O,X
TLZIOJS,X,O,X,X,X,X,O,O
TLZIOSJ,X,O,X,O,X,X,O,O
TLZJISO,X,X,X,X,X,O,X,X
TLZJIOS,X,O,X,X,X,X,X,X
TLZJSIO,O,X,X,X,X,O,X,X
TLZJSOI,X,X,X,X,X,O,X,X
TLZJOIS,X,O,X,X,X,X,X,X
TLZJOSI,X,O,X,X,X,X,X,X
TLZSIJO,O,X,X,O,X,X,X,X
TLZSIOJ,O,O,X,O,X,X,X,O
TLZSJIO,O,X,X,O,X,O,X,X
TLZSJOI,X,X,X,O,X,O,X,X
TLZSOIJ,O,O,X,O,X,X,X,O
TLZSOJI,O,O,X,O,X,X,X,X
TLZOIJS,X,O,X,X,X,X,O,O
TLZOISJ,X,O,X,O,X,X,O,O
TLZOJIS,X,O,X,X,X,O,X,X
TLZOJSI,O,O,X,X,X,O,X,X
TLZOSIJ,O,O,X,O,X,X,X,O
TLZOSJI,O,O,X,O,X,X,X,X
TLOIJSZ,X,X,O,O,X,X,O,X
TLOIJZS,X,X,O,X,X,X,O,X
TLOISJZ,X,X,O,O,X,X,O,X
TLOISZJ,X,X,X,O,X,X,O,X
TLOIZJS,X,O,X,X,X,X,O,O
TLOIZSJ,X,O,X,O,X,X,O,O
TLOJISZ,X,X,O,O,X,O,O,X
TLOJIZS,X,X,O,X,X,O,O,X
TLOJSIZ,O,X,X,O,X,O,X,X
TLOJSZI,O,X,X,O,X,O,X,X
TLOJZIS,X,O,O,X,X,O,X,X
TLOJZSI,O,O,X,X,X,O,X,X
TLOSIJZ,O,X,X,O,X,X,X,X
TLOSIZJ,X,O,X,O,X,X,O,O
TLOSJIZ,O,X,X,O,X,X,X,X
TLOSJZI,O,O,X,O,X,X,X,X
TLOSZIJ,O,O,X,O,X,X,X,O
TLOSZJI,O,O,X,O,X,X,X,X
TLOZIJS,X,O,X,X,X,X,O,O
TLOZISJ,X,O,X,O,X,X,O,O
TLOZJIS,X,O,X,X,X,O,X,X
TLOZJSI,O,O,X,X,X,O,X,X
TLOZSIJ,O,O,X,O,X,X,X,O
TLOZSJI,O,O,X,O,X,X,X,X
TJILSZO,X,X,O,O,X,O,O,X
TJILSOZ,X,X,O,O,X,X,O,X
TJILZSO,X,X,O,X,X,O,O,X
TJILZOS,X,X,O,X,X,X,O,X
TJILOSZ,X,X,O,O,X,X,O,X
TJILOZS,X,X,O,X,X,X,O,X
TJISLZO,O,X,O,O,X,O,X,X
TJISLOZ,O,X,O,O,X,X,X,X
TJISZLO,O,X,O,O,X,O,X,X
TJISZOL,O,X,O,X,X,O,X,X
TJISOLZ,O,X,O,X,X,X,X,X
TJISOZL,O,X,O,X,X,O,X,X
TJIZLSO,X,X,O,X,X,O,X,X
TJIZLOS,X,X,O,X,X,X,X,X
TJIZSLO,O,X,O,X,X,O,X,X
TJIZSOL,O,X,O,X,X,O,X,X
TJIZOLS,X,X,O,X,X,X,X,X
TJIZOSL,X,X,O,X,X,O,X,X
TJIOLSZ,X,X,O,X,X,X,X,X
TJIOLZS,X,X,O,X,X,X,X,X
TJIOSLZ,X,X,O,X,X,X,X,X
TJIOSZL,X,X,O,X,X,O,X,X
TJIOZLS,X,X,O,X,X,X,X,X
TJIOZSL,X,X,O,X,X,O,X,X
TJLISZO,X,X,O,O,X,O,O,X
TJLISOZ,X,X,O,O,X,X,O,X
TJLIZSO,X,X,O,X,X,O,O,X
TJLIZOS,X,X,O,X,X,X,O,X
TJLIOSZ,X,X,O,O,X,X,O,X
TJLIOZS,X,X,O,X,X,X,O,X
TJLSIZO,O,X,X,O,X,O,X,X
TJLSIOZ,O,X,X,O,X,X,X,X
TJLSZIO,O,X,X,O,X,O,X,X
TJLSZOI,X,X,X,O,X,O,X,X
TJLSOIZ,X,X,X,O,X,X,X,X
TJLSOZI,X,X,X,O,X,X,X,X
TJLZISO,X,X,O,X,X,O,X,X
TJLZIOS,X,O,O,X,X,X,X,X
TJLZSIO,O,X,X,X,X,O,X,X
TJLZSOI,X,X,X,X,X,O,X,X
TJLZOIS,X,O,O,X,X,X,X,X
TJLZOSI,X,O,X,X,X,X,X,X
TJLOISZ,X,X,O,O,X,X,O,X
TJLOIZS,X,X,O,X,X,X,O,X
TJLOSIZ,X,X,X,O,X,X,X,X
TJLOSZI,X,X,X,O,X,X,X,X
TJLOZIS,X,O,O,X,X,X,X,X
TJLOZSI,X,O,X,X,X,X,X,X
TJSILZO,O,X,O,O,X,O,X,X
TJSILOZ,O,X,O,O,X,X,X,X
TJSIZLO,O,X,O,O,X,O,X,X
TJSIZOL,O,X,O,X,X,O,X,X
TJSIOLZ,O,X,O,X,X,X,X,X
TJSIOZL,O,X,O,X,X,O,X,X
TJSLIZO,O,X,X,O,X,O,X,X
TJSLIOZ,O,X,X,O,X,X,X,X
TJSLZIO,O,O,X,O,X,O,X,X
TJSLZOI,X,O,X,O,X,O,X,X
TJSLOIZ,X,X,X,O,X,X,X,X
TJSLOZI,X,O,X,O,X,X,X,X
TJSZILO,O,O,O,O,X,O,X,X
TJSZIOL,O,O,O,X,X,O,X,X
TJSZLIO,O,O,X,O,X,O,X,X
TJSZLOI,X,O,X,O,X,O,X,X
TJSZOIL,O,O,O,X,X,O,X,X
TJSZOLI,O,O,X,X,X,O,X,X
TJSOILZ,O,X,O,X,X,X,X,X
TJSOIZL,O,X,O,X,X,O,X,X
TJSOLIZ,O,X,X,X,X,X,X,X
TJSOLZI,O,O,X,X,X,X,X,X
TJSOZIL,O,O,O,X,X,O,X,X
TJSOZLI,O,O,X,X,X,O,X,X
TJZILSO,X,X,O,X,X,O,X,X
TJZILOS,X,O,O,X,X,X,X,X
TJZISLO,O,X,O,X,X,O,X,X
TJZISOL,O,X,O,X,X,O,X,X
TJZIOLS,X,O,O,X,X,X,X,X
TJZIOSL,X,X,O,X,X,O,X,X
TJZLISO,X,X,O,X,X,O,X,X
TJZLIOS,X,O,O,X,X,X,X,X
TJZLSIO,O,X,X,X,X,O,X,X
TJZLSOI,X,X,X,X,X,O,X,X
TJZLOIS,X,O,O,X,X,X,X,X
TJZLOSI,X,O,X,X,X,X,X,X
TJZSILO,O,X,O,X,X,O,X,X
TJZSIOL,O,X,O,X,X,O,X,X
TJZSLIO,O,X,X,X,X,O,X,X
TJZSLOI,X,X,X,X,X,O,X,X
TJZSOIL,O,X,O,X,X,O,X,X
TJZSOLI,O,X,X,X,X,O,X,X
TJZOILS,X,O,O,X,X,O,X,X
TJZOISL,O,X,O,X,X,O,X,X
TJZOLIS,X,O,O,X,X,O,X,X
TJZOLSI,O,O,X,X,X,O,X,X
TJZOSIL,O,X,O,X,X,O,X,X
TJZOSLI,O,X,X,X,X,O,X,X
TJOILSZ,X,X,O,X,X,O,X,X
TJOILZS,X,X,O,X,X,O,X,X
TJOISLZ,O,X,O,X,X,O,X,X
TJOISZL,O,X,O,X,X,O,X,X
TJOIZLS,X,X,O,X,X,O,X,X
TJOIZSL,O,X,O,X,X,O,X,X
TJOLISZ,X,X,O,X,X,O,X,X
TJOLIZS,X,X,O,X,X,O,X,X
TJOLSIZ,O,X,X,X,X,O,X,X
TJOLSZI,O,X,X,X,X,O,X,X
TJOLZIS,X,O,O,X,X,O,X,X
TJOLZSI,O,O,X,X,X,O,X,X
TJOSILZ,O,X,O,X,X,O,X,X
TJOSIZL,O,X,O,X,X,O,X,X
TJOSLIZ,O,X,X,X,X,O,X,X
TJOSLZI,O,O,X,X,X,O,X,X
TJOSZIL,O,O,O,X,X,O,X,X
TJOSZLI,O,O,X,X,X,O,X,X
TJOZILS,X,O,O,X,X,O,X,X
TJOZISL,O,X,O,X,X,O,X,X
TJOZLIS,X,O,O,X,X,O,X,X
TJOZLSI,O,O,X,X,X,O,X,X
TJOZSIL,O,X,O,X,X,O,X,X
TJOZSLI,O,X,X,X,X,O,X,X
TSILJZO,O,X,O,O,X,X,X,X
TSILJOZ,O,X,O,O,X,X,X,X
TSILZJO,X,O,X,O,X,X,O,X
TSILZOJ,X,O,X,O,X,X,O,O
TSILOJZ,O,X,O,O,X,X,X,X
TSILOZJ,X,O,X,O,X,X,O,O
TSIJLZO,O,X,O,O,X,O,X,X
TSIJLOZ,O,X,O,O,X,X,X,X
TSIJZLO,O,X,O,O,X,O,X,X
TSIJZOL,O,X,O,X,X,O,X,X
TSIJOLZ,O,X,O,X,X,X,X,X
TSIJOZL,O,X,O,X,X,O,X,X
TSIZLJO,O,O,X,O,X,X,X,X
TSIZLOJ,O,O,X,O,X,X,X,O
TSIZJLO,O,O,O,O,X,O,X,X
TSIZJOL,O,O,O,X,X,O,X,X
TSIZOLJ,O,O,X,O,X,X,X,X
TSIZOJL,O,O,O,X,X,X,X,X
TSIOLJZ,O,X,O,O,X,X,X,X
TSIOLZJ,X,O,X,O,X,X,X,X
TSIOJLZ,O,X,O,X,X,X,X,X
TSIOJZL,O,X,O,X,X,X,X,X
TSIOZLJ,O,O,X,O,X,X,X,X
TSIOZJL,O,O,O,X,X,X,X,X
TSLIJZO,O,X,X,O,X,X,X,X
TSLIJOZ,O,X,X,O,X,X,X,X
TSLIZJO,X,O,X,O,X,X,O,X
TSLIZOJ,X,O,X,O,X,X,O,O
TSLIOJZ,O,X,X,O,X,X,X,X
TSLIOZJ,X,O,X,O,X,X,O,O
TSLJIZO,O,X,X,O,X,O,X,X
TSLJIOZ,O,X,X,O,X,X,X,X
TSLJZIO,O,O,X,O,X,O,X,X
TSLJZOI,X,O,X,O,X,O,X,X
TSLJOIZ,X,X,X,O,X,X,X,X
TSLJOZI,X,O,X,O,X,X,X,X
TSLZIJO,O,O,X,O,X,X,X,X
TSLZIOJ,O,O,X,O,X,X,X,O
TSLZJIO,O,O,X,O,X,O,X,X
TSLZJOI,X,O,X,O,X,O,X,X
TSLZOIJ,O,O,X,O,O,X,X,O
TSLZOJI,O,O,X,O,O,X,X,X
TSLOIJZ,O,X,X,O,O,X,X,X
TSLOIZJ,X,O,X,O,X,X,O,O
TSLOJIZ,O,X,X,O,O,X,X,X
TSLOJZI,O,O,X,O,O,X,X,X
TSLOZIJ,O,O,X,O,O,X,X,O
TSLOZJI,O,O,X,O,O,X,X,X
TSJILZO,O,X,O,O,X,O,X,X
TSJILOZ,O,X,O,O,X,X,X,X
TSJIZLO,O,X,O,O,X,O,X,X
TSJIZOL,O,X,O,X,X,O,X,X
TSJIOLZ,O,X,O,X,X,X,X,X
TSJIOZL,O,X,O,X,X,O,X,X
TSJLIZO,O,X,X,O,X,O,X,X
TSJLIOZ,O,X,X,O,X,X,X,X
TSJLZIO,O,O,X,O,X,O,X,X
TSJLZOI,X,O,X,O,X,O,X,X
TSJLOIZ,X,X,X,O,X,X,X,X
TSJLOZI,X,O,X,O,X,X,X,X
TSJZILO,O,O,O,O,X,O,X,X
TSJZIOL,O,O,O,X,X,O,X,X
TSJZLIO,O,O,X,O,X,O,X,X
TSJZLOI,X,O,X,O,X,O,X,X
TSJZOIL,O,O,O,X,X,O,X,X
TSJZOLI,O,O,X,X,X,O,X,X
TSJOILZ,O,X,O,X,X,X,X,X
TSJOIZL,O,X,O,X,X,O,X,X
TSJOLIZ,O,X,X,X,X,X,X,X
TSJOLZI,O,O,X,X,X,X,X,X
TSJOZIL,O,O,O,X,X,O,X,X
TSJOZLI,O,O,X,X,X,O,X,X
TSZILJO,O,O,X,O,X,X,X,X
TSZILOJ,O,O,X,O,X,X,X,O
TSZIJLO,O,O,X,O,X,O,X,X
TSZIJOL,O,O,X,X,X,O,X,X
TSZIOLJ,O,O,X,O,X,X,X,X
TSZIOJL,O,O,X,X,X,X,X,X
TSZLIJO,O,O,X,O,X,X,X,X
TSZLIOJ,O,O,X,O,X,X,X,O
TSZLJIO,O,O,X,O,X,O,X,X
TSZLJOI,X,O,X,O,X,O,X,X
TSZLOIJ,O,O,X,O,O,X,X,O
TSZLOJI,O,O,X,O,O,X,X,X
TSZJILO,O,O,X,O,X,O,X,X
TSZJIOL,O,O,X,X,X,O,X,X
TSZJLIO,O,O,X,O,X,O,X,X
TSZJLOI,X,O,X,O,X,O,X,X
TSZJOIL,O,O,X,X,X,O,X,X
TSZJOLI,O,O,X,X,X,O,X,X
TSZOILJ,O,O,X,O,O,X,X,X
TSZOIJL,O,O,X,X,O,X,X,X
TSZOLIJ,O,O,X,O,O,X,X,X
TSZOLJI,O,O,X,O,O,X,X,X
TSZOJIL,O,O,X,X,O,O,X,X
TSZOJLI,O,O,X,X,O,O,X,X
TSOILJZ,O,X,O,O,O,X,X,X
TSOILZJ,X,O,X,O,X,X,X,X
TSOIJLZ,O,X,O,X,O,X,X,X
TSOIJZL,O,X,O,X,X,X,X,X
TSOIZLJ,O,O,X,O,X,X,X,X
TSOIZJL,O,O,O,X,X,X,X,X
TSOLIJZ,O,X,X,O,O,X,X,X
TSOLIZJ,X,O,X,O,X,X,X,X
TSOLJIZ,O,X,X,O,O,X,X,X
TSOLJZI,O,O,X,O,O,X,X,X
TSOLZIJ,O,O,X,O,O,X,X,X
TSOLZJI,O,O,X,O,O,X,X,X
TSOJILZ,O,X,O,X,O,O,X,X
TSOJIZL,O,X,O,X,X,O,X,X
TSOJLIZ,O,X,X,X,O,O,X,X
TSOJLZI,O,O,X,X,O,O,X,X
TSOJZIL,O,O,O,X,O,O,X,X
TSOJZLI,O,O,X,X,O,O,X,X
TSOZILJ,O,O,X,O,O,X,X,X
TSOZIJL,O,O,X,X,O,X,X,X
TSOZLIJ,O,O,X,O,O,X,X,X
TSOZLJI,O,O,X,O,O,X,X,X
TSOZJIL,O,O,X,X,O,O,X,X
TSOZJLI,O,O,X,X,O,O,X,X
TZILJSO,X,X,X,X,X,X,O,X
TZILJOS,X,O,X,X,X,X,O,X
TZILSJO,X,X,X,O,X,X,O,X
TZILSOJ,X,O,X,O,X,X,O,X
TZILOJS,X,O,X,X,X,X,O,O
TZILOSJ,X,O,X,O,X,X,O,O
TZIJLSO,X,X,O,X,X,O,X,X
TZIJLOS,X,O,O,X,X,X,X,X
TZIJSLO,O,X,O,X,X,O,X,X
TZIJSOL,O,X,O,X,X,O,X,X
TZIJOLS,X,O,O,X,X,X,X,X
TZIJOSL,X,X,O,X,X,O,X,X
TZISLJO,O,X,X,O,X,X,X,X
TZISLOJ,O,O,X,O,X,X,X,X
TZISJLO,O,X,O,O,X,O,X,X
TZISJOL,O,X,O,X,X,O,X,X
TZISOLJ,O,O,X,O,X,X,X,X
TZISOJL,O,X,O,X,X,X,X,X
TZIOLJS,X,O,X,X,X,X,X,X
TZIOLSJ,X,O,X,X,X,X,X,X
TZIOJLS,X,O,O,X,X,O,X,X
TZIOJSL,O,X,O,X,X,O,X,X
TZIOSLJ,O,O,X,X,X,X,X,X
TZIOSJL,O,X,O,X,X,X,X,X
TZLIJSO,X,X,X,X,X,X,O,X
TZLIJOS,X,O,X,X,X,X,O,X
TZLISJO,X,X,X,O,X,X,O,X
TZLISOJ,X,O,X,O,X,X,O,X
TZLIOJS,X,O,X,X,X,X,O,O
TZLIOSJ,X,O,X,O,X,X,O,O
TZLJISO,X,X,X,X,X,O,X,X
TZLJIOS,X,O,X,X,X,X,X,X
TZLJSIO,O,X,X,X,X,O,X,X
TZLJSOI,X,X,X,X,X,O,X,X
TZLJOIS,X,O,X,X,X,X,X,X
TZLJOSI,X,O,X,X,X,X,X,X
TZLSIJO,O,X,X,O,X,X,X,X
TZLSIOJ,O,O,X,O,X,X,X,O
TZLSJIO,O,X,X,O,X,O,X,X
TZLSJOI,X,X,X,O,X,O,X,X
TZLSOIJ,O,O,X,O,X,X,X,O
TZLSOJI,O,O,X,O,X,X,X,X
TZLOIJS,X,O,X,X,X,X,O,O
TZLOISJ,X,O,X,O,X,X,O,O
TZLOJIS,X,O,X,X,X,O,X,X
TZLOJSI,O,O,X,X,X,O,X,X
TZLOSIJ,O,O,X,O,X,X,X,O
TZLOSJI,O,O,X,O,X,X,X,X
TZJILSO,X,X,O,X,X,O,X,X
TZJILOS,X,O,O,X,X,X,X,X
TZJISLO,O,X,O,X,X,O,X,X
TZJISOL,O,X,O,X,X,O,X,X
TZJIOLS,X,O,O,X,X,X,X,X
TZJIOSL,X,X,O,X,X,O,X,X
TZJLISO,X,X,O,X,X,O,X,X
TZJLIOS,X,O,O,X,X,X,X,X
TZJLSIO,O,X,X,X,X,O,X,X
TZJLSOI,X,X,X,X,X,O,X,X
TZJLOIS,X,O,O,X,X,X,X,X
TZJLOSI,X,O,X,X,X,X,X,X
TZJSILO,O,X,O,X,X,O,X,X
TZJSIOL,O,X,O,X,X,O,X,X
TZJSLIO,O,X,X,X,X,O,X,X
TZJSLOI,X,X,X,X,X,O,X,X
TZJSOIL,O,X,O,X,X,O,X,X
TZJSOLI,O,X,X,X,X,O,X,X
TZJOILS,X,O,O,X,X,O,X,X
TZJOISL,O,X,O,X,X,O,X,X
