sequence,v115@FhA8IeA8AeA8FeB8AeA8BeF8KeqGJvhFTiB5oBlkB3?lBmlB0pB,v115@FhA8IeA8AeA8FeB8AeA8BeF8Ke2EJvhFTiB5oBFmBC?lB0mBXqB,v115@FhA8IeA8AeA8FeB8AeA8BeF8KeUAJvhFamBGiB5oBz?mBFqB/pB,v115@FhA8IeA8AeA8FeB8AeA8BeF8KeT/IvhFcnB5oBVqBG?mBimBXqB,v115@FhA8IeA8AeA8FeB8AeA8BeF8Ke/EJvhFclBSnB5oBV?rBmmBzpB,v115@FhA8IeA8AeA8FeB8AeA8BeF8Ke/EJvhFclBemB5oBC?nBFnBzpB,v115@FhA8IeA8AeA8FeB8AeA8BeF8Ke/EJvhFclBemB5oBF?nBCnBzpB
TLISZJO,X,X,X,X,O,X,X
TLISZOJ,O,X,X,X,O,X,X
TLISOJZ,O,O,O,X,X,X,X
TLISOZJ,O,X,O,X,O,X,X
TLIZJSO,X,X,X,X,O,X,X
TLIZJOS,X,X,X,O,X,X,X
TLIZSJO,X,X,X,X,O,X,X
TLIZSOJ,O,X,X,X,O,X,X
TLIZOJS,X,X,O,O,X,X,X
TLIZOSJ,O,X,O,X,O,X,X
TLIOJSZ,O,O,O,X,X,X,X
TLIOJZS,X,O,O,O,X,X,X
TLIOSJZ,O,O,O,X,X,X,X
TLIOSZJ,O,X,O,X,O,X,X
TLIOZJS,X,X,O,O,X,X,X
TLIOZSJ,O,X,O,X,O,X,X
TLJISZO,X,X,X,X,O,O,O
TLJISOZ,O,X,X,X,X,X,X
TLJIZSO,X,X,X,X,O,O,O
TLJIZOS,X,X,X,O,X,X,X
TLJIOSZ,O,O,O,X,X,X,X
TLJIOZS,X,O,O,O,X,X,X
TLJSIZO,X,X,X,X,O,O,O
TLJSIOZ,O,X,X,X,X,X,X
TLJSZIO,X,X,X,X,O,O,O
TLJSZOI,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,X,X,X,X
TLJSOZI,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,O,O,O
TLJZIOS,X,X,X,O,X,X,X
TLJZSIO,X,X,X,X,O,O,O
TLJZSOI,X,X,X,X,X,X,X
TLJZOIS,X,X,X,O,X,X,X
TLJZOSI,X,X,X,X,X,X,X
TLJOISZ,O,O,O,X,X,X,X
TLJOIZS,X,O,O,O,X,X,X
TLJOSIZ,O,X,O,X,X,X,X
TLJOSZI,X,X,X,X,X,X,X
TLJOZIS,X,X,O,O,X,X,X
TLJOZSI,X,X,X,X,X,X,X
TLSIJZO,X,X,X,X,O,O,O
TLSIJOZ,O,O,X,X,X,X,X
TLSIZJO,X,X,X,X,O,X,X
TLSIZOJ,O,X,X,X,O,X,X
TLSIOJZ,O,O,O,X,X,X,X
TLSIOZJ,O,X,O,X,O,X,X
TLSJIZO,X,X,X,X,O,O,O
TLSJIOZ,O,O,X,X,X,X,X
TLSJZIO,X,X,X,X,O,O,O
TLSJZOI,X,X,X,X,X,X,X
TLSJOIZ,O,O,X,X,X,X,X
TLSJOZI,X,X,X,X,X,X,X
TLSZIJO,X,X,X,X,O,X,X
TLSZIOJ,O,X,X,X,O,X,X
TLSZJIO,X,X,X,X,O,X,X
TLSZJOI,X,X,X,X,X,X,X
TLSZOIJ,O,X,X,X,O,X,X
TLSZOJI,X,X,X,X,X,X,X
TLSOIJZ,O,O,O,X,X,X,X
TLSOIZJ,O,X,O,X,O,X,X
TLSOJIZ,O,O,O,X,X,X,X
TLSOJZI,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,X,O,X,X
TLSOZJI,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,O,X,X
TLZIJOS,X,X,X,O,X,X,X
TLZISJO,X,X,X,X,O,X,X
TLZISOJ,O,X,X,X,O,X,X
TLZIOJS,X,X,O,O,X,X,X
TLZIOSJ,O,X,O,X,O,X,X
TLZJISO,X,X,X,X,O,X,X
TLZJIOS,X,X,X,O,X,X,X
TLZJSIO,X,X,X,X,O,X,X
TLZJSOI,X,X,X,X,X,X,X
TLZJOIS,X,X,X,O,X,X,X
TLZJOSI,X,X,X,X,X,X,X
TLZSIJO,X,X,X,X,O,X,X
TLZSIOJ,O,X,X,X,O,X,X
TLZSJIO,X,X,X,X,O,X,X
TLZSJOI,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,X,O,X,X
TLZSOJI,X,X,X,X,X,X,X
TLZOIJS,X,X,O,O,X,X,X
TLZOISJ,O,X,O,X,O,X,X
TLZOJIS,X,X,O,O,X,X,X
TLZOJSI,X,X,X,X,X,X,X
TLZOSIJ,O,X,X,X,O,X,X
TLZOSJI,X,X,X,X,X,X,X
TLOIJSZ,O,O,O,X,X,X,X
TLOIJZS,X,O,O,O,X,X,X
TLOISJZ,O,O,O,X,X,X,X
TLOISZJ,O,X,O,X,O,X,X
TLOIZJS,X,X,O,O,X,X,X
TLOIZSJ,O,X,O,X,O,X,X
TLOJISZ,O,O,O,X,X,X,X
TLOJIZS,X,O,O,O,X,X,X
TLOJSIZ,O,X,O,X,X,X,X
TLOJSZI,X,X,X,X,X,X,X
TLOJZIS,X,X,O,O,X,X,X
TLOJZSI,X,X,X,X,X,X,X
TLOSIJZ,O,O,O,X,X,X,X
TLOSIZJ,O,X,O,X,O,X,X
TLOSJIZ,O,O,O,X,X,X,X
TLOSJZI,X,X,X,X,X,X,X
TLOSZIJ,O,X,X,X,O,X,X
TLOSZJI,X,X,X,X,X,X,X
TLOZIJS,X,X,O,O,X,X,X
TLOZISJ,O,X,O,X,O,X,X
TLOZJIS,X,X,O,O,X,X,X
TLOZJSI,X,X,X,X,X,X,X
TLOZSIJ,O,X,X,X,O,X,X
TLOZSJI,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,O,O,O
TJILSOZ,O,X,X,X,X,X,X
TJILZSO,X,X,X,X,O,O,O
TJILZOS,X,X,X,O,X,X,X
TJILOSZ,O,O,O,X,X,X,X
TJILOZS,X,O,O,O,X,X,X
TJISLZO,X,X,X,X,O,O,O
TJISLOZ,O,O,X,X,X,X,X
TJISZLO,X,X,X,X,O,O,O
TJISZOL,X,O,X,O,X,X,O
TJISOLZ,O,O,X,X,X,X,X
TJISOZL,X,O,X,O,X,X,O
TJIZLSO,X,X,X,X,O,O,O
TJIZLOS,X,X,X,O,X,X,X
TJIZSLO,X,X,X,X,O,O,O
TJIZSOL,X,X,X,O,X,X,O
TJIZOLS,X,O,X,O,X,X,X
TJIZOSL,X,O,X,O,X,X,O
TJIOLSZ,O,O,O,X,X,X,X
TJIOLZS,X,O,O,O,X,X,X
TJIOSLZ,O,O,O,X,X,X,X
TJIOSZL,X,O,X,O,X,X,O
TJIOZLS,X,O,O,O,X,X,X
TJIOZSL,X,O,X,O,X,X,O
TJLISZO,X,X,X,X,O,O,O
TJLISOZ,O,X,X,X,X,X,X
TJLIZSO,X,X,X,X,O,O,O
TJLIZOS,X,X,X,O,X,X,X
TJLIOSZ,O,O,O,X,X,X,X
TJLIOZS,X,O,O,O,X,X,X
TJLSIZO,X,X,X,X,O,O,O
TJLSIOZ,O,X,X,X,X,X,X
TJLSZIO,X,X,X,X,O,O,O
TJLSZOI,X,X,X,X,X,X,X
TJLSOIZ,O,X,X,X,X,X,X
TJLSOZI,X,X,X,X,X,X,X
TJLZISO,X,X,X,X,O,O,O
TJLZIOS,X,X,X,O,X,X,X
TJLZSIO,X,X,X,X,O,O,O
TJLZSOI,X,X,X,X,X,X,X
TJLZOIS,X,X,X,O,X,X,X
TJLZOSI,X,X,X,X,X,X,X
TJLOISZ,O,O,O,X,X,X,X
TJLOIZS,X,O,O,O,X,X,X
TJLOSIZ,O,X,O,X,X,X,X
TJLOSZI,X,X,X,X,X,X,X
TJLOZIS,X,X,O,O,X,X,X
TJLOZSI,X,X,X,X,X,X,X
TJSILZO,X,X,X,X,O,O,O
TJSILOZ,O,O,X,X,X,X,X
TJSIZLO,X,X,X,X,O,O,O
TJSIZOL,X,O,X,O,X,X,O
TJSIOLZ,O,O,X,X,X,X,X
TJSIOZL,X,O,X,O,X,X,O
TJSLIZO,X,X,X,X,O,O,O
TJSLIOZ,O,O,X,X,X,X,X
TJSLZIO,X,X,X,X,O,O,O
TJSLZOI,X,X,X,X,X,X,X
TJSLOIZ,O,O,X,X,X,X,X
TJSLOZI,X,X,X,X,X,X,X
TJSZILO,X,X,X,X,O,O,O
TJSZIOL,X,O,X,O,X,X,O
TJSZLIO,X,X,X,X,O,O,O
TJSZLOI,X,X,X,X,X,X,X
TJSZOIL,X,O,X,O,X,X,O
TJSZOLI,X,X,X,X,X,X,X
TJSOILZ,O,O,X,X,X,X,X
TJSOIZL,X,O,X,O,X,X,O
TJSOLIZ,O,O,X,X,X,X,X
TJSOLZI,X,X,X,X,X,X,X
TJSOZIL,X,O,X,O,X,X,O
TJSOZLI,X,X,X,X,X,X,X
TJZILSO,X,X,X,X,O,O,O
TJZILOS,X,X,X,O,X,X,X
TJZISLO,X,X,X,X,O,O,O
TJZISOL,X,X,X,O,X,X,O
TJZIOLS,X,O,X,O,X,X,X
TJZIOSL,X,O,X,O,X,X,O
TJZLISO,X,X,X,X,O,O,O
TJZLIOS,X,X,X,O,X,X,X
TJZLSIO,X,X,X,X,O,O,O
TJZLSOI,X,X,X,X,X,X,X
TJZLOIS,X,X,X,O,X,X,X
TJZLOSI,X,X,X,X,X,X,X
TJZSILO,X,X,X,X,O,O,O
TJZSIOL,X,X,X,O,X,X,O
TJZSLIO,X,X,X,X,O,O,O
TJZSLOI,X,X,X,X,X,X,X
TJZSOIL,X,X,X,O,X,X,O
TJZSOLI,X,X,X,X,X,X,X
TJZOILS,X,O,X,O,X,X,X
TJZOISL,X,O,X,O,X,X,O
TJZOLIS,X,X,X,O,X,X,X
TJZOLSI,X,X,X,X,X,X,X
TJZOSIL,X,X,X,O,X,X,O
TJZOSLI,X,X,X,X,X,X,X
TJOILSZ,O,O,O,X,X,X,X
TJOILZS,X,O,O,O,X,X,X
TJOISLZ,O,O,O,X,X,X,X
TJOISZL,X,O,X,O,X,X,O
TJOIZLS,X,O,O,O,X,X,X
TJOIZSL,X,O,X,O,X,X,O
TJOLISZ,O,O,O,X,X,X,X
TJOLIZS,X,O,O,O,X,X,X
TJOLSIZ,O,X,O,X,X,X,X
TJOLSZI,X,X,X,X,X,X,X
TJOLZIS,X,X,O,O,X,X,X
TJOLZSI,X,X,X,X,X,X,X
TJOSILZ,O,O,O,X,X,X,X
TJOSIZL,X,O,X,O,X,X,O
TJOSLIZ,O,O,O,X,X,X,X
TJOSLZI,X,X,X,X,X,X,X
TJOSZIL,X,O,X,O,X,X,O
TJOSZLI,X,X,X,X,X,X,X
TJOZILS,X,O,O,O,X,X,X
TJOZISL,X,O,X,O,X,X,O
TJOZLIS,X,X,O,O,X,X,X
TJOZLSI,X,X,X,X,X,X,X
TJOZSIL,X,X,X,O,X,X,O
TJOZSLI,X,X,X,X,X,X,X
TSILJZO,X,X,X,X,O,O,O
TSILJOZ,O,O,X,X,X,X,X
TSILZJO,X,X,X,X,O,X,X
TSILZOJ,O,X,X,X,O,X,X
TSILOJZ,O,O,O,X,X,X,X
TSILOZJ,O,X,O,X,O,X,X
TSIJLZO,X,X,X,X,O,O,O
TSIJLOZ,O,O,X,X,X,X,X
TSIJZLO,X,X,X,X,O,O,O
TSIJZOL,X,O,X,O,X,X,O
TSIJOLZ,O,O,X,X,X,X,X
TSIJOZL,X,O,X,O,X,X,O
TSIZLJO,X,X,X,X,O,X,X
TSIZLOJ,O,X,X,X,O,X,X
TSIZJLO,X,X,X,X,O,X,O
TSIZJOL,X,O,X,O,X,X,O
TSIZOLJ,O,X,X,X,O,X,X
TSIZOJL,X,O,X,O,X,X,X
TSIOLJZ,O,O,O,X,X,X,X
TSIOLZJ,O,X,O,X,O,X,X
TSIOJLZ,O,O,O,X,X,X,X
TSIOJZL,X,O,X,O,X,X,O
TSIOZLJ,O,X,X,X,O,X,X
TSIOZJL,X,O,X,O,X,X,X
TSLIJZO,X,X,X,X,O,O,O
TSLIJOZ,O,O,X,X,X,X,X
TSLIZJO,X,X,X,X,O,X,X
TSLIZOJ,O,X,X,X,O,X,X
TSLIOJZ,O,O,O,X,X,X,X
TSLIOZJ,O,X,O,X,O,X,X
TSLJIZO,X,X,X,X,O,O,O
TSLJIOZ,O,O,X,X,X,X,X
TSLJZIO,X,X,X,X,O,O,O
TSLJZOI,X,X,X,X,X,X,X
TSLJOIZ,O,O,X,X,X,X,X
TSLJOZI,X,X,X,X,X,X,X
TSLZIJO,X,X,X,X,O,X,X
TSLZIOJ,O,X,X,X,O,X,X
TSLZJIO,X,X,X,X,O,X,X
TSLZJOI,X,X,X,X,X,X,X
TSLZOIJ,O,X,X,X,O,X,X
TSLZOJI,X,X,X,X,X,X,X
TSLOIJZ,O,O,O,X,X,X,X
TSLOIZJ,O,X,O,X,O,X,X
TSLOJIZ,O,O,O,X,X,X,X
TSLOJZI,X,X,X,X,X,X,X
TSLOZIJ,O,X,X,X,O,X,X
TSLOZJI,X,X,X,X,X,X,X
TSJILZO,X,X,X,X,O,O,O
TSJILOZ,O,O,X,X,X,X,X
TSJIZLO,X,X,X,X,O,O,O
TSJIZOL,X,O,X,O,X,X,O
TSJIOLZ,O,O,X,X,X,X,X
TSJIOZL,X,O,X,O,X,X,O
TSJLIZO,X,X,X,X,O,O,O
TSJLIOZ,O,O,X,X,X,X,X
TSJLZIO,X,X,X,X,O,O,O
TSJLZOI,X,X,X,X,X,X,X
TSJLOIZ,O,O,X,X,X,X,X
TSJLOZI,X,X,X,X,X,X,X
TSJZILO,X,X,X,X,O,O,O
TSJZIOL,X,O,X,O,X,X,O
TSJZLIO,X,X,X,X,O,O,O
TSJZLOI,X,X,X,X,X,X,X
TSJZOIL,X,O,X,O,X,X,O
TSJZOLI,X,X,X,X,X,X,X
TSJOILZ,O,O,X,X,X,X,X
TSJOIZL,X,O,X,O,X,X,O
TSJOLIZ,O,O,X,X,X,X,X
TSJOLZI,X,X,X,X,X,X,X
TSJOZIL,X,O,X,O,X,X,O
TSJOZLI,X,X,X,X,X,X,X
TSZILJO,X,X,X,X,O,X,X
TSZILOJ,O,X,X,X,O,X,X
TSZIJLO,X,X,X,X,O,X,O
TSZIJOL,X,O,X,O,X,X,O
TSZIOLJ,O,X,X,X,O,X,X
TSZIOJL,X,O,X,O,X,X,X
TSZLIJO,X,X,X,X,O,X,X
TSZLIOJ,O,X,X,X,O,X,X
TSZLJIO,X,X,X,X,O,X,X
TSZLJOI,X,X,X,X,X,X,X
TSZLOIJ,O,X,X,X,O,X,X
TSZLOJI,X,X,X,X,X,X,X
TSZJILO,X,X,X,X,O,X,O
TSZJIOL,X,O,X,O,X,X,O
TSZJLIO,X,X,X,X,O,X,O
TSZJLOI,X,X,X,X,X,X,X
TSZJOIL,X,O,X,O,X,X,O
TSZJOLI,X,X,X,X,X,X,X
TSZOILJ,O,X,X,X,O,X,X
TSZOIJL,X,O,X,O,X,X,X
TSZOLIJ,O,X,X,X,O,X,X
TSZOLJI,X,X,X,X,X,X,X
TSZOJIL,X,O,X,O,X,X,X
TSZOJLI,X,X,X,X,X,X,X
TSOILJZ,O,O,O,X,X,X,X
TSOILZJ,O,X,O,X,O,X,X
TSOIJLZ,O,O,O,X,X,X,X
TSOIJZL,X,O,X,O,X,X,O
TSOIZLJ,O,X,X,X,O,X,X
TSOIZJL,X,O,X,O,X,X,X
TSOLIJZ,O,O,O,X,X,X,X
TSOLIZJ,O,X,O,X,O,X,X
TSOLJIZ,O,O,O,X,X,X,X
TSOLJZI,X,X,X,X,X,X,X
TSOLZIJ,O,X,X,X,O,X,X
TSOLZJI,X,X,X,X,X,X,X
TSOJILZ,O,O,O,X,X,X,X
TSOJIZL,X,O,X,O,X,X,O
TSOJLIZ,O,O,O,X,X,X,X
TSOJLZI,X,X,X,X,X,X,X
TSOJZIL,X,O,X,O,X,X,O
TSOJZLI,X,X,X,X,X,X,X
TSOZILJ,O,X,X,X,O,X,X
TSOZIJL,X,O,X,O,X,X,X
TSOZLIJ,O,X,X,X,O,X,X
TSOZLJI,X,X,X,X,X,X,X
TSOZJIL,X,O,X,O,X,X,X
TSOZJLI,X,X,X,X,X,X,X
TZILJSO,X,X,X,X,O,X,X
TZILJOS,X,X,X,O,X,X,X
TZILSJO,X,X,X,X,O,X,X
TZILSOJ,O,X,X,X,O,X,X
TZILOJS,X,X,O,O,X,X,X
TZILOSJ,O,X,O,X,O,X,X
TZIJLSO,X,X,X,X,O,X,O
TZIJLOS,X,X,X,O,X,X,X
TZIJSLO,X,X,X,X,O,X,O
TZIJSOL,X,X,X,O,X,X,O
TZIJOLS,X,O,X,O,X,X,X
TZIJOSL,X,O,X,O,X,X,O
TZISLJO,X,X,X,X,O,X,X
TZISLOJ,O,X,X,X,O,X,X
TZISJLO,X,X,X,X,O,X,O
TZISJOL,X,O,X,O,X,X,O
TZISOLJ,O,X,X,X,O,X,X
TZISOJL,X,O,X,O,X,X,X
TZIOLJS,X,X,O,O,X,X,X
TZIOLSJ,O,X,O,X,O,X,X
TZIOJLS,X,O,O,O,X,X,X
TZIOJSL,X,O,X,O,X,X,X
TZIOSLJ,O,X,X,X,O,X,X
TZIOSJL,X,O,X,O,X,X,X
TZLIJSO,X,X,X,X,O,X,X
TZLIJOS,X,X,X,O,X,X,X
TZLISJO,X,X,X,X,O,X,X
TZLISOJ,O,X,X,X,O,X,X
TZLIOJS,X,X,O,O,X,X,X
TZLIOSJ,O,X,O,X,O,X,X
TZLJISO,X,X,X,X,O,X,X
TZLJIOS,X,X,X,O,X,X,X
TZLJSIO,X,X,X,X,O,X,X
TZLJSOI,X,X,X,X,X,X,X
TZLJOIS,X,X,X,O,X,X,X
TZLJOSI,X,X,X,X,X,X,X
TZLSIJO,X,X,X,X,O,X,X
TZLSIOJ,O,X,X,X,O,X,X
TZLSJIO,X,X,X,X,O,X,X
TZLSJOI,X,X,X,X,X,X,X
TZLSOIJ,O,X,X,X,O,X,X
TZLSOJI,X,X,X,X,X,X,X
TZLOIJS,X,X,O,O,X,X,X
TZLOISJ,O,X,O,X,O,X,X
TZLOJIS,X,X,O,O,X,X,X
TZLOJSI,X,X,X,X,X,X,X
TZLOSIJ,O,X,X,X,O,X,X
TZLOSJI,X,X,X,X,X,X,X
TZJILSO,X,X,X,X,O,X,O
TZJILOS,X,X,X,O,X,X,X
TZJISLO,X,X,X,X,O,X,O
TZJISOL,X,X,X,O,X,X,O
TZJIOLS,X,O,X,O,X,X,X
TZJIOSL,X,O,X,O,X,X,O
TZJLISO,X,X,X,X,O,X,O
TZJLIOS,X,X,X,O,X,X,X
TZJLSIO,X,X,X,X,O,X,O
TZJLSOI,X,X,X,X,X,X,X
TZJLOIS,X,X,X,O,X,X,X
TZJLOSI,X,X,X,X,X,X,X
TZJSILO,X,X,X,X,O,X,O
TZJSIOL,X,X,X,O,X,X,O
TZJSLIO,X,X,X,X,O,X,O
TZJSLOI,X,X,X,X,X,X,X
TZJSOIL,X,X,X,O,X,X,O
TZJSOLI,X,X,X,X,X,X,X
TZJOILS,X,O,X,O,X,X,X
TZJOISL,X,O,X,O,X,X,O
TZJOLIS,X,X,X,O,X,X,X
TZJOLSI,X,X,X,X,X,X,X
TZJOSIL,X,X,X,O,X,X,O
TZJOSLI,X,X,X,X,X,X,X
TZSILJO,X,X,X,X,O,X,X
TZSILOJ,O,X,X,X,O,X,X
TZSIJLO,X,X,X,X,O,X,O
TZSIJOL,X,O,X,O,X,X,O
TZSIOLJ,O,X,X,X,O,X,X
TZSIOJL,X,O,X,O,X,X,X
TZSLIJO,X,X,X,X,O,X,X
TZSLIOJ,O,X,X,X,O,X,X
TZSLJIO,X,X,X,X,O,X,X
TZSLJOI,X,X,X,X,X,X,X
TZSLOIJ,O,X,X,X,O,X,X
TZSLOJI,X,X,X,X,X,X,X
TZSJILO,X,X,X,X,O,X,O
TZSJIOL,X,O,X,O,X,X,O
TZSJLIO,X,X,X,X,O,X,O
TZSJLOI,X,X,X,X,X,X,X
TZSJOIL,X,O,X,O,X,X,O
TZSJOLI,X,X,X,X,X,X,X
TZSOILJ,O,X,X,X,O,X,X
TZSOIJL,X,O,X,O,X,X,X
TZSOLIJ,O,X,X,X,O,X,X
TZSOLJI,X,X,X,X,X,X,X
TZSOJIL,X,O,X,O,X,X,X
TZSOJLI,X,X,X,X,X,X,X
TZOILJS,X,X,O,O,X,X,X
TZOILSJ,O,X,O,X,O,X,X
TZOIJLS,X,O,O,O,X,X,X
TZOIJSL,X,O,X,O,X,X,X
TZOISLJ,O,X,X,X,O,X,X
TZOISJL,X,O,X,O,X,X,X
TZOLIJS,X,X,O,O,X,X,X
TZOLISJ,O,X,O,X,O,X,X
TZOLJIS,X,X,O,O,X,X,X
TZOLJSI,X,X,X,X,X,X,X
TZOLSIJ,O,X,X,X,O,X,X
TZOLSJI,X,X,X,X,X,X,X
TZOJILS,X,O,O,O,X,X,X
TZOJISL,X,O,X,O,X,X,X
TZOJLIS,X,X,O,O,X,X,X
TZOJLSI,X,X,X,X,X,X,X
TZOJSIL,X,X,X,O,X,X,X
TZOJSLI,X,X,X,X,X,X,X
TZOSILJ,O,X,X,X,O,X,X
TZOSIJL,X,O,X,O,X,X,X
TZOSLIJ,O,X,X,X,O,X,X
TZOSLJI,X,X,X,X,X,X,X
TZOSJIL,X,O,X,O,X,X,X
