sequence,v115@HhA8IeB8EeA8BeB8BeF8Jex/IvhFmhBCjBFlB0mBTo?B3qB,v115@HhA8IeB8EeA8BeB8BeF8Jel/IvhFulBcmBxiBKqBXs?BTtB,v115@HhA8IeB8EeA8BeB8BeF8Jex/IvhFThBenBfoB6oB1q?BUqB,v115@HhA8IeB8EeA8BeB8BeF8Je0/IvhFXhBxiBFnBToBOq?BCrB,v115@HhA8IeB8EeA8BeB8BeF8Jex/IvhFlhBziB+oBUlByr?B3qB,v115@HhA8IeB8EeA8BeB8BeF8Jel/IvhFzhBGjBilBUoBRr?B3qB,v115@HhA8IeB8EeA8BeB8BeF8JeRBJvhFfoB6oBFlB8qBzm?BmpB
TISLZJO,O,O,O,X,X,O,X
TISLZOJ,X,O,X,O,X,O,X
TISLOJZ,X,O,O,O,X,X,X
TISLOZJ,X,O,X,O,X,O,X
TISJLZO,X,O,O,X,X,X,X
TISJLOZ,X,X,O,X,X,X,X
TISJZLO,X,X,O,X,X,X,X
TISJZOL,X,X,O,X,X,X,X
TISJOLZ,X,X,O,X,X,X,X
TISJOZL,X,X,O,X,X,X,X
TISZLJO,O,O,O,X,X,O,X
TISZLOJ,X,O,X,X,X,O,X
TISZJLO,O,X,O,X,X,O,X
TISZJOL,O,X,O,X,X,O,X
TISZOLJ,O,X,X,O,X,O,X
TISZOJL,O,X,X,O,X,O,X
TISOLJZ,X,O,O,O,X,X,X
TISOLZJ,O,O,X,O,X,O,X
TISOJLZ,X,O,O,O,X,X,X
TISOJZL,X,X,O,O,X,X,X
TISOZLJ,O,O,X,O,X,O,X
TISOZJL,O,X,X,O,X,O,X
TIZLJSO,O,X,X,X,O,O,X
TIZLJOS,O,X,X,X,O,O,X
TIZLSJO,O,X,X,X,O,O,X
TIZLSOJ,X,X,X,O,X,O,X
TIZLOJS,O,X,X,O,O,O,X
TIZLOSJ,O,X,X,O,X,O,X
TIZJLSO,O,X,X,X,O,O,X
TIZJLOS,O,X,X,X,O,O,X
TIZJSLO,O,X,O,X,X,O,X
TIZJSOL,O,X,O,X,X,O,X
TIZJOLS,O,X,X,X,O,O,X
TIZJOSL,O,X,O,X,X,O,X
TIZSLJO,O,X,O,X,X,O,X
TIZSLOJ,X,X,X,X,X,O,X
TIZSJLO,O,X,O,X,X,O,X
TIZSJOL,O,X,O,X,X,O,X
TIZSOLJ,O,X,X,O,X,O,X
TIZSOJL,O,X,X,O,X,O,X
TIZOLJS,O,X,X,O,X,O,X
TIZOLSJ,O,X,X,O,X,O,X
TIZOJLS,O,X,X,O,X,O,X
TIZOJSL,O,X,O,O,X,O,X
TIZOSLJ,O,X,X,O,X,O,X
TIZOSJL,O,X,X,O,X,O,X
TIOLJSZ,X,O,O,O,X,X,X
TIOLJZS,O,O,X,O,X,O,X
TIOLSJZ,X,O,X,O,X,X,X
TIOLSZJ,O,O,X,O,X,O,X
TIOLZJS,O,O,X,O,X,O,X
TIOLZSJ,O,O,X,O,X,O,X
TIOJLSZ,X,O,O,O,X,X,X
TIOJLZS,O,O,X,O,X,O,X
TIOJSLZ,X,O,O,O,X,X,X
TIOJSZL,X,X,O,O,X,X,X
TIOJZLS,O,X,X,O,X,O,X
TIOJZSL,O,X,O,O,X,O,X
TIOSLJZ,X,O,O,O,X,X,X
TIOSLZJ,O,O,X,O,X,O,X
TIOSJLZ,X,O,O,O,X,X,X
TIOSJZL,X,X,O,O,X,X,X
TIOSZLJ,O,O,X,O,X,O,X
TIOSZJL,O,X,X,O,X,O,X
TIOZLJS,O,O,X,O,X,O,X
TIOZLSJ,O,O,X,O,X,O,X
TIOZJLS,O,X,X,O,X,O,X
TIOZJSL,O,X,O,O,X,O,X
TIOZSLJ,O,O,X,O,X,O,X
TIOZSJL,O,X,X,O,X,O,X
TLIJSZO,X,X,O,X,X,X,X
TLIJSOZ,X,X,O,X,O,X,X
TLIJZSO,O,X,X,X,O,O,X
TLIJZOS,O,O,X,X,O,O,X
TLIJOSZ,X,X,O,X,O,X,X
TLIJOZS,X,O,X,X,O,O,X
TLISJZO,X,O,O,X,X,X,X
TLISJOZ,X,X,O,X,O,X,X
TLISZJO,O,O,O,X,X,O,X
TLISZOJ,X,O,X,O,X,O,X
TLISOJZ,X,O,O,O,X,X,X
TLISOZJ,X,O,X,O,X,O,X
TLIZJSO,O,X,X,X,O,O,X
TLIZJOS,O,O,X,X,O,O,X
TLIZSJO,O,X,X,X,O,O,X
TLIZSOJ,X,X,X,O,X,O,X
TLIZOJS,O,O,X,O,O,O,X
TLIZOSJ,O,O,X,O,X,O,X
TLIOJSZ,X,O,O,O,O,X,X
TLIOJZS,O,O,X,O,O,O,X
TLIOSJZ,X,O,X,O,X,X,X
TLIOSZJ,O,O,X,O,X,O,X
TLIOZJS,O,O,X,O,X,O,X
TLIOZSJ,O,O,X,O,X,O,X
TLJISZO,X,X,O,X,X,X,X
TLJISOZ,X,X,O,X,O,X,X
TLJIZSO,O,X,X,X,O,X,X
TLJIZOS,O,O,X,X,O,X,X
TLJIOSZ,X,X,O,X,O,X,X
TLJIOZS,X,O,X,X,O,X,X
TLJSIZO,X,O,O,X,X,X,X
TLJSIOZ,X,X,O,X,O,X,X
TLJSZIO,X,O,O,X,O,X,X
TLJSZOI,X,O,O,O,O,X,X
TLJSOIZ,X,O,O,O,O,X,X
TLJSOZI,X,O,O,O,O,X,X
TLJZISO,O,X,X,X,O,X,X
TLJZIOS,O,O,X,X,O,X,X
TLJZSIO,O,X,X,X,O,X,X
TLJZSOI,X,O,X,O,O,X,X
TLJZOIS,O,O,X,O,O,X,X
TLJZOSI,X,O,X,O,O,X,X
TLJOISZ,X,O,O,O,O,X,X
TLJOIZS,X,O,X,O,O,X,X
TLJOSIZ,X,O,O,O,O,X,X
TLJOSZI,X,O,O,O,O,X,X
TLJOZIS,X,O,X,O,O,X,X
TLJOZSI,X,O,X,O,O,X,X
TLSIJZO,O,O,O,X,X,X,X
TLSIJOZ,X,X,O,X,O,X,X
TLSIZJO,O,O,O,X,X,X,X
TLSIZOJ,O,O,X,O,X,X,X
TLSIOJZ,X,O,O,O,X,X,X
TLSIOZJ,O,O,X,O,X,X,X
TLSJIZO,O,O,O,X,X,X,X
TLSJIOZ,X,X,O,X,O,X,X
TLSJZIO,O,O,O,X,O,X,X
TLSJZOI,O,O,O,O,O,X,X
TLSJOIZ,X,O,O,O,O,X,X
TLSJOZI,X,O,O,O,O,X,X
TLSZIJO,O,O,O,X,O,X,X
TLSZIOJ,O,O,X,O,X,X,X
TLSZJIO,O,O,O,X,O,X,X
TLSZJOI,O,O,O,O,O,X,X
TLSZOIJ,O,O,X,O,X,X,X
TLSZOJI,O,O,X,O,X,X,X
TLSOIJZ,X,O,O,O,X,X,X
TLSOIZJ,O,O,X,O,X,X,X
TLSOJIZ,X,O,O,O,X,X,X
TLSOJZI,X,O,O,O,X,X,X
TLSOZIJ,O,O,X,O,X,X,X
TLSOZJI,O,O,X,O,X,X,X
TLZIJSO,O,X,X,X,O,O,X
TLZIJOS,O,O,X,X,O,O,X
TLZISJO,O,X,X,X,O,O,X
TLZISOJ,X,X,X,O,X,O,X
TLZIOJS,O,O,X,O,O,O,X
TLZIOSJ,O,O,X,O,X,O,X
TLZJISO,O,X,X,X,O,O,X
TLZJIOS,O,O,X,X,O,O,X
TLZJSIO,O,X,X,X,O,X,X
TLZJSOI,O,O,X,O,O,X,X
TLZJOIS,O,O,X,O,O,X,X
TLZJOSI,O,O,X,O,O,X,X
TLZSIJO,O,O,X,X,O,X,X
TLZSIOJ,O,O,X,O,X,X,X
TLZSJIO,O,O,X,X,O,X,X
TLZSJOI,O,O,X,O,O,X,X
TLZSOIJ,O,O,X,O,X,X,X
TLZSOJI,O,O,X,O,X,X,X
TLZOIJS,O,O,X,O,O,X,X
TLZOISJ,O,O,X,O,X,X,X
TLZOJIS,O,O,X,O,O,X,X
TLZOJSI,O,O,X,O,O,X,X
TLZOSIJ,O,O,X,O,X,X,X
TLZOSJI,O,O,X,O,X,X,X
TLOIJSZ,X,O,O,O,O,X,X
TLOIJZS,O,O,X,O,O,X,X
TLOISJZ,X,O,X,O,X,X,X
TLOISZJ,O,O,X,O,X,X,X
TLOIZJS,O,O,X,O,X,X,X
TLOIZSJ,O,O,X,O,X,X,X
TLOJISZ,X,O,O,O,O,X,X
TLOJIZS,O,O,X,O,O,X,X
TLOJSIZ,X,O,O,O,O,X,X
TLOJSZI,X,O,O,O,O,X,X
TLOJZIS,O,O,X,O,O,X,X
TLOJZSI,O,O,X,O,O,X,X
TLOSIJZ,X,O,X,O,X,X,X
TLOSIZJ,O,O,X,O,X,X,X
TLOSJIZ,X,O,X,O,X,X,X
TLOSJZI,X,O,X,O,X,X,X
TLOSZIJ,O,O,X,O,X,X,X
TLOSZJI,O,O,X,O,X,X,X
TLOZIJS,O,O,X,O,O,X,X
TLOZISJ,O,O,X,O,X,X,X
TLOZJIS,O,O,X,O,O,X,X
TLOZJSI,O,O,X,O,O,X,X
TLOZSIJ,O,O,X,O,X,X,X
TLOZSJI,O,O,X,O,X,X,X
TJILSZO,X,X,O,X,X,X,X
TJILSOZ,X,X,O,X,O,X,X
TJILZSO,O,X,X,X,X,O,X
TJILZOS,O,X,X,X,O,O,X
TJILOSZ,X,X,O,X,O,X,X
TJILOZS,X,X,X,X,O,O,X
TJISLZO,X,X,O,X,X,X,X
TJISLOZ,X,X,O,X,X,X,X
TJISZLO,X,X,O,X,X,X,X
TJISZOL,X,X,O,X,X,X,X
TJISOLZ,X,X,O,X,X,X,X
TJISOZL,X,X,O,X,X,X,X
TJIZLSO,O,X,X,X,O,O,X
TJIZLOS,O,X,X,X,O,O,X
TJIZSLO,O,X,O,X,X,O,X
TJIZSOL,O,X,O,X,X,O,X
TJIZOLS,O,X,X,X,O,O,X
TJIZOSL,O,X,O,X,X,O,X
TJIOLSZ,X,X,O,X,O,X,X
TJIOLZS,O,X,X,X,O,O,X
TJIOSLZ,X,X,O,X,X,X,X
TJIOSZL,X,X,O,X,X,X,X
TJIOZLS,O,X,X,X,O,O,X
TJIOZSL,O,X,O,X,X,O,X
TJLISZO,X,X,O,X,X,X,X
TJLISOZ,X,X,O,X,O,X,X
TJLIZSO,O,X,X,X,O,X,X
TJLIZOS,O,O,X,X,O,X,X
TJLIOSZ,X,X,O,X,O,X,X
TJLIOZS,X,O,X,X,O,X,X
TJLSIZO,X,O,O,X,X,X,X
TJLSIOZ,X,X,O,X,O,X,X
TJLSZIO,X,O,O,X,O,X,X
TJLSZOI,X,O,O,O,O,X,X
TJLSOIZ,X,O,O,O,O,X,X
TJLSOZI,X,O,O,O,O,X,X
TJLZISO,O,X,X,X,O,X,X
TJLZIOS,O,O,X,X,O,X,X
TJLZSIO,O,X,X,X,O,X,X
TJLZSOI,X,O,X,O,O,X,X
TJLZOIS,O,O,X,O,O,X,X
TJLZOSI,X,O,X,O,O,X,X
TJLOISZ,X,O,O,O,O,X,X
TJLOIZS,X,O,X,O,O,X,X
TJLOSIZ,X,O,O,O,O,X,X
TJLOSZI,X,O,O,O,O,X,X
TJLOZIS,X,O,X,O,O,X,X
TJLOZSI,X,O,X,O,O,X,X
TJSILZO,X,O,O,X,X,X,X
TJSILOZ,X,X,O,X,X,X,X
TJSIZLO,X,X,O,X,X,X,X
TJSIZOL,X,X,O,X,X,X,X
TJSIOLZ,X,X,O,X,X,X,X
TJSIOZL,X,X,O,X,X,X,X
TJSLIZO,X,O,O,X,X,X,X
TJSLIOZ,X,X,O,X,X,X,X
TJSLZIO,X,O,O,X,X,X,X
TJSLZOI,X,O,O,O,X,X,X
TJSLOIZ,X,O,O,O,X,X,X
TJSLOZI,X,O,O,O,X,X,X
TJSZILO,X,X,O,X,X,X,X
TJSZIOL,X,X,O,X,X,X,X
TJSZLIO,X,X,O,X,X,X,X
TJSZLOI,X,X,O,X,X,X,X
TJSZOIL,X,X,O,O,X,X,X
TJSZOLI,X,X,O,O,X,X,X
TJSOILZ,X,O,O,O,X,X,X
TJSOIZL,X,X,O,O,X,X,X
TJSOLIZ,X,O,O,O,X,X,X
TJSOLZI,X,O,O,O,X,X,X
TJSOZIL,X,X,O,O,X,X,X
TJSOZLI,X,X,O,O,X,X,X
TJZILSO,O,X,X,X,O,O,X
TJZILOS,O,X,X,X,O,O,X
TJZISLO,O,X,O,X,X,O,X
TJZISOL,O,X,O,X,X,O,X
TJZIOLS,O,X,X,X,O,O,X
TJZIOSL,O,X,O,X,X,O,X
TJZLISO,O,X,X,X,O,O,X
TJZLIOS,O,X,X,X,O,O,X
TJZLSIO,O,X,X,X,O,X,X
TJZLSOI,X,X,X,O,O,X,X
TJZLOIS,O,X,X,O,O,X,X
TJZLOSI,O,X,X,O,O,X,X
TJZSILO,O,X,O,X,X,O,X
TJZSIOL,O,X,O,X,X,O,X
TJZSLIO,O,X,O,X,X,X,X
TJZSLOI,X,X,O,X,X,X,X
TJZSOIL,O,X,O,O,X,X,X
TJZSOLI,O,X,O,O,X,X,X
TJZOILS,O,X,X,O,O,O,X
TJZOISL,O,X,O,O,X,O,X
TJZOLIS,O,X,X,O,O,X,X
TJZOLSI,O,X,X,O,O,X,X
TJZOSIL,O,X,O,O,X,X,X
TJZOSLI,O,X,O,O,X,X,X
TJOILSZ,X,O,O,O,O,X,X
TJOILZS,O,O,X,O,O,X,X
TJOISLZ,X,O,O,O,X,X,X
TJOISZL,X,X,O,O,X,X,X
TJOIZLS,O,X,X,O,O,X,X
TJOIZSL,O,X,O,O,X,X,X
TJOLISZ,X,O,O,O,O,X,X
TJOLIZS,O,O,X,O,O,X,X
TJOLSIZ,X,O,O,O,O,X,X
TJOLSZI,X,O,O,O,O,X,X
TJOLZIS,O,O,X,O,O,X,X
TJOLZSI,O,O,X,O,O,X,X
TJOSILZ,X,O,O,O,X,X,X
TJOSIZL,X,X,O,O,X,X,X
TJOSLIZ,X,O,O,O,X,X,X
TJOSLZI,X,O,O,O,X,X,X
TJOSZIL,X,X,O,O,X,X,X
TJOSZLI,X,X,O,O,X,X,X
TJOZILS,O,X,X,O,O,X,X
TJOZISL,O,X,O,O,X,X,X
TJOZLIS,O,X,X,O,O,X,X
TJOZLSI,O,X,X,O,O,X,X
TJOZSIL,O,X,O,O,X,X,X
TJOZSLI,O,X,O,O,X,X,X
TSILJZO,O,O,O,X,X,X,X
TSILJOZ,X,X,O,X,X,X,X
TSILZJO,O,O,O,X,X,O,X
TSILZOJ,O,O,X,O,X,O,X
TSILOJZ,O,O,O,O,X,X,X
TSILOZJ,O,O,X,O,X,O,X
TSIJLZO,O,O,O,X,X,X,X
TSIJLOZ,X,X,O,X,X,X,X
TSIJZLO,O,X,O,X,X,X,X
TSIJZOL,O,X,O,X,X,X,X
TSIJOLZ,O,X,O,X,X,X,X
TSIJOZL,O,X,O,X,X,X,X
TSIZLJO,O,O,O,X,X,O,X
TSIZLOJ,O,O,X,X,X,O,X
TSIZJLO,O,O,O,X,X,O,X
TSIZJOL,O,X,O,X,X,O,X
TSIZOLJ,O,X,X,O,X,O,X
TSIZOJL,O,X,X,O,X,O,X
TSIOLJZ,O,O,O,O,X,X,X
TSIOLZJ,O,O,X,O,X,O,X
TSIOJLZ,O,O,O,O,X,X,X
TSIOJZL,O,X,O,O,X,X,X
TSIOZLJ,O,O,X,O,X,O,X
TSIOZJL,O,X,X,O,X,O,X
TSLIJZO,O,O,O,X,X,X,X
TSLIJOZ,X,X,O,X,X,X,X
TSLIZJO,O,O,O,X,X,X,X
TSLIZOJ,O,O,X,O,X,X,X
TSLIOJZ,O,O,O,O,X,X,X
TSLIOZJ,O,O,X,O,X,X,X
TSLJIZO,O,O,O,X,X,X,X
TSLJIOZ,X,X,O,X,X,X,X
TSLJZIO,O,O,O,X,X,X,X
TSLJZOI,O,O,O,O,X,X,X
TSLJOIZ,X,O,O,O,X,X,X
TSLJOZI,X,O,O,O,X,X,X
TSLZIJO,O,O,O,X,X,X,X
TSLZIOJ,O,O,X,O,X,X,O
TSLZJIO,O,O,O,X,X,X,X
TSLZJOI,O,O,O,O,X,X,O
TSLZOIJ,O,O,X,O,X,X,O
TSLZOJI,O,O,X,O,X,X,O
TSLOIJZ,O,O,O,O,X,X,X
TSLOIZJ,O,O,X,O,X,X,O
TSLOJIZ,O,O,O,O,X,X,X
TSLOJZI,O,O,O,O,X,X,X
TSLOZIJ,O,O,X,O,X,X,O
TSLOZJI,O,O,X,O,X,X,O
TSJILZO,O,O,O,X,X,X,X
TSJILOZ,X,X,O,X,X,X,X
TSJIZLO,O,X,O,X,X,X,X
TSJIZOL,O,X,O,X,X,X,X
TSJIOLZ,O,X,O,X,X,X,X
TSJIOZL,O,X,O,X,X,X,X
TSJLIZO,O,O,O,X,X,X,X
TSJLIOZ,X,X,O,X,X,X,X
TSJLZIO,O,O,O,X,X,X,X
TSJLZOI,O,O,O,O,X,X,X
TSJLOIZ,X,O,O,O,X,X,X
TSJLOZI,X,O,O,O,X,X,X
TSJZILO,O,X,O,X,X,X,X
TSJZIOL,O,X,O,X,X,X,X
TSJZLIO,O,X,O,X,X,X,X
TSJZLOI,O,X,O,X,X,X,X
TSJZOIL,O,X,O,O,X,X,X
TSJZOLI,O,X,O,O,X,X,X
TSJOILZ,O,O,O,O,X,X,X
TSJOIZL,O,X,O,O,X,X,X
TSJOLIZ,O,O,O,O,X,X,X
TSJOLZI,O,O,O,O,X,X,X
TSJOZIL,O,X,O,O,X,X,X
TSJOZLI,O,X,O,O,X,X,X
TSZILJO,O,O,O,X,X,O,X
TSZILOJ,O,O,X,X,X,O,O
TSZIJLO,O,O,O,X,X,O,X
TSZIJOL,O,X,O,X,X,O,X
TSZIOLJ,O,X,X,O,X,O,O
TSZIOJL,O,X,X,O,X,O,O
TSZLIJO,O,O,O,X,X,X,X
TSZLIOJ,O,O,X,O,X,X,O
TSZLJIO,O,O,O,X,X,X,X
TSZLJOI,O,O,O,O,X,X,O
TSZLOIJ,O,O,X,O,X,X,O
TSZLOJI,O,O,X,O,X,X,O
TSZJILO,O,O,O,X,X,O,X
TSZJIOL,O,X,O,X,X,O,X
TSZJLIO,O,O,O,X,X,X,X
TSZJLOI,O,O,O,X,X,X,O
TSZJOIL,O,O,O,O,X,X,O
TSZJOLI,O,O,O,O,X,X,O
TSZOILJ,O,O,X,O,X,X,O
TSZOIJL,O,O,X,O,X,X,O
TSZOLIJ,O,O,X,O,X,X,O
TSZOLJI,O,O,X,O,X,X,O
TSZOJIL,O,O,X,O,X,X,O
TSZOJLI,O,O,X,O,X,X,O
TSOILJZ,O,O,O,O,X,X,X
TSOILZJ,O,O,X,O,X,X,O
TSOIJLZ,O,O,O,O,X,X,X
TSOIJZL,O,X,O,O,X,X,X
TSOIZLJ,O,O,X,O,X,X,O
TSOIZJL,O,O,X,O,X,X,O
TSOLIJZ,O,O,O,O,X,X,X
TSOLIZJ,O,O,X,O,X,X,O
TSOLJIZ,O,O,O,O,X,X,X
TSOLJZI,O,O,O,O,X,X,X
TSOLZIJ,O,O,X,O,X,X,O
TSOLZJI,O,O,X,O,X,X,O
TSOJILZ,O,O,O,O,X,X,X
TSOJIZL,O,X,O,O,X,X,X
TSOJLIZ,O,O,O,O,X,X,X
TSOJLZI,O,O,O,O,X,X,X
TSOJZIL,O,X,O,O,X,X,X
TSOJZLI,O,X,O,O,X,X,X
TSOZILJ,O,O,X,O,X,X,O
TSOZIJL,O,O,X,O,X,X,O
TSOZLIJ,O,O,X,O,X,X,O
TSOZLJI,O,O,X,O,X,X,O
TSOZJIL,O,O,X,O,X,X,O
TSOZJLI,O,O,X,O,X,X,O
TZILJSO,O,X,X,X,O,O,X
TZILJOS,O,X,X,X,O,O,X
TZILSJO,O,X,X,X,O,O,X
TZILSOJ,X,X,X,O,X,O,X
TZILOJS,O,X,X,O,O,O,X
TZILOSJ,O,X,X,O,X,O,X
TZIJLSO,O,X,X,X,O,O,X
TZIJLOS,O,X,X,X,O,O,X
TZIJSLO,O,X,O,X,X,O,X
TZIJSOL,O,X,O,X,X,O,X
TZIJOLS,O,X,X,X,O,O,X
TZIJOSL,O,X,O,X,X,O,X
TZISLJO,O,X,O,X,X,O,X
TZISLOJ,X,X,X,X,X,O,O
TZISJLO,O,X,O,X,X,O,X
TZISJOL,O,X,O,X,X,O,X
TZISOLJ,O,X,X,O,X,O,O
TZISOJL,O,X,X,O,X,O,O
TZIOLJS,O,X,X,O,X,O,X
TZIOLSJ,O,X,X,O,X,O,O
TZIOJLS,O,X,X,O,X,O,X
TZIOJSL,O,X,O,O,X,O,O
TZIOSLJ,O,X,X,O,X,O,O
TZIOSJL,O,X,X,O,X,O,O
TZLIJSO,O,X,X,X,O,O,X
TZLIJOS,O,O,X,X,O,O,X
TZLISJO,O,X,X,X,O,O,X
TZLISOJ,X,X,X,O,X,O,X
TZLIOJS,O,O,X,O,O,O,X
TZLIOSJ,O,O,X,O,X,O,X
TZLJISO,O,X,X,X,O,O,X
TZLJIOS,O,O,X,X,O,O,X
TZLJSIO,O,X,X,X,O,X,X
TZLJSOI,O,O,X,O,O,X,X
TZLJOIS,O,O,X,O,O,X,X
TZLJOSI,O,O,X,O,O,X,X
TZLSIJO,O,O,X,X,O,X,X
TZLSIOJ,O,O,X,O,X,X,O
TZLSJIO,O,O,X,X,O,X,X
TZLSJOI,O,O,X,O,O,X,O
TZLSOIJ,O,O,X,O,X,X,O
TZLSOJI,O,O,X,O,X,X,O
TZLOIJS,O,O,X,O,O,X,X
TZLOISJ,O,O,X,O,X,X,O
TZLOJIS,O,O,X,O,O,X,X
TZLOJSI,O,O,X,O,O,X,X
TZLOSIJ,O,O,X,O,X,X,O
TZLOSJI,O,O,X,O,X,X,O
TZJILSO,O,X,X,X,O,O,X
TZJILOS,O,X,X,X,O,O,X
TZJISLO,O,X,O,X,X,O,X
TZJISOL,O,X,O,X,X,O,X
TZJIOLS,O,X,X,X,O,O,X
TZJIOSL,O,X,O,X,X,O,X
TZJLISO,O,X,X,X,O,O,X
TZJLIOS,O,O,X,X,O,O,X
TZJLSIO,O,X,X,X,O,X,X
TZJLSOI,O,O,X,O,O,X,X
TZJLOIS,O,O,X,O,O,X,X
TZJLOSI,O,O,X,O,O,X,X
TZJSILO,O,X,O,X,X,O,X
TZJSIOL,O,X,O,X,X,O,X
TZJSLIO,O,X,O,X,X,X,X
TZJSLOI,O,X,O,X,X,X,O
TZJSOIL,O,X,O,O,X,X,O
TZJSOLI,O,X,O,O,X,X,O
TZJOILS,O,O,X,O,O,O,X
TZJOISL,O,X,O,O,X,O,O
TZJOLIS,O,O,X,O,O,X,X
TZJOLSI,O,O,X,O,O,X,X
TZJOSIL,O,X,O,O,X,X,O
TZJOSLI,O,X,O,O,X,X,O
TZSILJO,O,O,O,X,X,O,X
TZSILOJ,O,O,X,X,X,O,O
TZSIJLO,O,X,O,X,X,O,X
TZSIJOL,O,X,O,X,X,O,X
TZSIOLJ,O,X,X,O,X,O,O
TZSIOJL,O,X,X,O,X,O,O
TZSLIJO,O,O,O,X,X,X,X
TZSLIOJ,O,O,X,O,X,X,O
TZSLJIO,O,O,O,X,X,X,X
TZSLJOI,O,O,O,O,X,X,O
TZSLOIJ,O,O,X,O,X,X,O
TZSLOJI,O,O,X,O,X,X,O
TZSJILO,O,X,O,X,X,O,X
TZSJIOL,O,X,O,X,X,O,X
TZSJLIO,O,X,O,X,X,X,X
TZSJLOI,O,X,O,X,X,X,O
TZSJOIL,O,X,O,O,X,X,O
TZSJOLI,O,X,O,O,X,X,O
TZSOILJ,O,O,X,O,X,X,O
TZSOIJL,O,X,X,O,X,X,O
TZSOLIJ,O,O,X,O,X,X,O
TZSOLJI,O,O,X,O,X,X,O
TZSOJIL,O,X,X,O,X,X,O
TZSOJLI,O,X,X,O,X,X,O
TZOILJS,O,O,X,O,X,O,X
TZOILSJ,O,O,X,O,X,O,O
TZOIJLS,O,O,X,O,X,O,X
TZOIJSL,O,X,O,O,X,O,O
TZOISLJ,O,O,X,O,X,O,O
TZOISJL,O,X,X,O,X,O,O
TZOLIJS,O,O,X,O,X,X,X
TZOLISJ,O,O,X,O,X,X,O
TZOLJIS,O,O,X,O,X,X,X
TZOLJSI,O,O,X,O,X,X,X
TZOLSIJ,O,O,X,O,X,X,O
TZOLSJI,O,O,X,O,X,X,O
TZOJILS,O,O,X,O,X,O,X
TZOJISL,O,X,O,O,X,O,O
TZOJLIS,O,O,X,O,X,X,X
TZOJLSI,O,O,X,O,X,X,X
TZOJSIL,O,X,O,O,X,X,O
TZOJSLI,O,X,O,O,X,X,O
TZOSILJ,O,O,X,O,X,X,O
TZOSIJL,O,X,X,O,X,X,O
TZOSLIJ,O,O,X,O,X,X,O
TZOSLJI,O,O,X,O,X,X,O
TZOSJIL,O,X,X,O,X,X,O
TZOSJLI,O,X,X,O,X,X,O
TOILJSZ,X,O,O,O,X,X,X
TOILJZS,O,O,X,O,X,O,X
