sequence,v115@9gA8IeA8IeA8GeC8BeB8AeD8Je5EJvhF0hB6nBTjB3?lBlrBOqB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeuEJvhF6nBTjBxlB8?rBFmBXqB,v115@9gA8IeA8IeA8GeC8BeB8AeD8Je5EJvhFigBTjBcqB/?rBGsBFsB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeWFJvhFxgBSoBXmB8?rBlnBzpB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeFAJvhFXhB+nBTjBq?pBxqB8rB,v115@9gA8IeA8IeA8GeC8BeB8AeD8Je5EJvhFSnBTjBOqB/?rBlqBUsB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeCAJvhFGjBllBRnB/?rBUnBzpB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeWFJvhFThBSoB8rBl?nBRqBXqB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeCAJvhFGjBxlBlnBX?mB8rBzpB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeFBJvhFGjBClB3nBx?qB8rBzpB,v115@9gA8IeA8IeA8GeC8BeB8AeD8Je1FJvhFRiBSoBWqBU?nB/rBzpB
TIZJLOS,O,X,X,X,X,X,X,O,X,X,X
TIZJSLO,O,X,X,X,X,X,X,X,X,X,X
TIZJSOL,O,X,X,X,X,X,X,X,X,X,X
TIZJOLS,O,X,X,X,X,X,X,O,X,X,X
TIZJOSL,O,X,X,X,X,X,X,X,X,X,X
TIZSLJO,O,X,O,X,X,X,X,X,X,X,X
TIZSLOJ,O,X,O,X,X,X,X,X,X,X,X
TIZSJLO,O,X,O,X,X,X,X,X,X,X,X
TIZSJOL,O,X,O,X,X,X,X,X,X,X,X
TIZSOLJ,O,X,O,X,X,X,X,X,X,X,X
TIZSOJL,O,X,O,X,X,X,X,X,X,X,X
TIZOLJS,O,X,X,X,X,X,X,O,X,X,X
TIZOLSJ,O,X,O,X,X,X,X,X,X,X,X
TIZOJLS,O,X,X,X,X,X,X,O,X,X,X
TIZOJSL,O,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,O,X,X,X,X,X,X,X,X
TIZOSJL,O,X,O,X,X,X,X,X,X,X,X
TIOLJSZ,O,X,X,X,X,X,O,X,O,X,X
TIOLJZS,O,X,X,X,X,X,O,X,O,X,X
TIOLSJZ,O,X,X,X,X,X,O,X,O,X,X
TIOLSZJ,O,X,X,X,X,X,X,X,X,X,X
TIOLZJS,O,X,X,X,X,X,O,X,O,X,X
TIOLZSJ,O,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,X,X,X,O,X,O,X,X
TIOJLZS,O,X,X,X,X,X,O,X,O,X,X
TIOJSLZ,O,X,X,X,X,O,O,X,O,X,X
TIOJSZL,O,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,X,X,X,X,X,O,X,O,X,X
TIOJZSL,O,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,X,X,O,O,X,O,X,X
TIOSLZJ,O,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,X,X,O,O,X,O,X,X
TIOSJZL,O,X,O,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,O,X,X,X,X,X,X,X,X
TIOSZJL,O,X,O,X,X,X,X,X,X,X,X
TIOZLJS,O,X,X,X,X,X,O,X,O,X,X
TIOZLSJ,O,X,O,X,X,X,X,X,X,X,X
TIOZJLS,O,X,X,X,X,X,O,X,O,X,X
TIOZJSL,O,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,X,O,X,X,X,X,X,X,X,X
TIOZSJL,O,X,O,X,X,X,X,X,X,X,X
TLIJSZO,O,X,X,X,O,X,O,X,X,X,X
TLIJSOZ,O,X,X,X,O,X,O,X,X,X,X
TLIJZSO,O,X,X,X,O,X,O,X,X,X,X
TLIJZOS,O,X,X,X,O,X,X,O,X,X,X
TLIJOSZ,O,X,X,X,O,X,O,X,X,X,X
TLIJOZS,O,X,X,X,O,X,X,X,X,X,X
TLISJZO,O,X,X,X,O,X,O,X,X,X,X
TLISJOZ,O,X,X,X,O,X,O,X,X,X,X
TLISZJO,O,X,X,X,X,X,X,X,X,X,X
TLISZOJ,O,X,X,X,X,X,X,X,X,X,X
TLISOJZ,O,X,X,X,O,X,X,X,X,X,X
TLISOZJ,O,X,X,X,X,X,X,X,X,X,X
TLIZJSO,O,X,X,X,O,X,O,X,X,X,X
TLIZJOS,O,X,X,X,O,X,X,O,X,X,X
TLIZSJO,O,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,O,X,X,X,X,X,X,X,X,X,X
TLIZOJS,O,X,X,X,O,X,X,O,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,X,X,O,X,O,X,X,X,X
TLIOJZS,O,X,X,X,O,X,X,X,X,X,X
TLIOSJZ,O,X,X,X,O,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,X,X,X,X,X
TLIOZJS,O,X,X,X,O,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,X,X,X,X
TLJISZO,O,X,X,X,O,X,O,X,X,X,X
TLJISOZ,O,X,X,X,O,X,O,X,X,X,X
TLJIZSO,O,X,X,X,O,X,O,X,X,X,O
TLJIZOS,O,X,X,X,O,X,X,X,X,X,X
TLJIOSZ,O,X,X,X,O,X,O,X,X,X,X
TLJIOZS,O,X,X,X,O,X,X,X,X,X,X
TLJSIZO,O,X,X,X,O,X,O,X,X,X,X
TLJSIOZ,O,X,X,X,O,X,O,X,X,X,X
TLJSZIO,O,X,X,X,X,X,X,X,X,X,O
TLJSZOI,O,X,X,X,X,X,X,X,X,X,O
TLJSOIZ,O,X,X,X,O,X,X,X,X,X,X
TLJSOZI,O,X,X,X,X,X,X,X,X,X,X
TLJZISO,O,X,X,X,O,X,O,X,X,X,O
TLJZIOS,O,X,X,X,O,X,X,X,X,X,X
TLJZSIO,O,X,X,X,X,X,X,X,X,X,O
TLJZSOI,O,X,X,X,X,X,X,X,X,X,O
TLJZOIS,O,X,X,X,O,X,X,X,X,X,X
TLJZOSI,O,X,X,X,X,X,X,X,X,X,O
TLJOISZ,O,X,X,X,O,X,O,X,O,X,X
TLJOIZS,O,X,X,X,O,X,X,X,O,X,X
TLJOSIZ,O,X,X,X,O,X,X,X,O,X,X
TLJOSZI,O,X,X,X,X,X,X,X,X,X,X
TLJOZIS,O,X,X,X,O,X,X,X,O,X,X
TLJOZSI,O,X,X,X,X,X,X,X,X,X,O
TLSIJZO,O,X,X,X,O,X,O,X,X,X,X
TLSIJOZ,O,X,X,X,O,X,O,X,X,X,X
TLSIZJO,O,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,O,X,X,X,O,X,X,X,X,X,X
TLSIOZJ,O,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,X,X,X,O,X,O,X,X,X,X
TLSJIOZ,O,X,X,X,O,X,O,X,X,X,X
TLSJZIO,O,O,X,X,X,X,X,X,X,X,X
TLSJZOI,O,O,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,X,O,X,X,X,X,X,X
TLSJOZI,O,O,X,X,X,X,X,X,X,X,X
TLSZIJO,O,O,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,O,X,X,X,X,X,X,X,X,X
TLSZJIO,O,O,X,X,X,X,X,X,X,X,X
TLSZJOI,O,O,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,O,X,X,X,X,X,X,X,X,X
TLSZOJI,O,O,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,X,X,X,O,X,X,X,X,X,X
TLSOIZJ,O,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,X,X,X,O,X,X,X,X,X,X
TLSOJZI,O,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,X,X,X,X,X,X,X,X,X
TLSOZJI,O,O,X,X,X,X,X,X,X,X,X
TLZIJSO,O,X,X,X,O,X,O,X,X,X,X
TLZIJOS,O,O,X,X,O,X,X,O,X,X,X
TLZISJO,O,X,X,X,X,X,X,X,X,X,X
TLZISOJ,O,X,X,X,X,X,X,X,X,X,X
TLZIOJS,O,O,X,X,O,X,X,O,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,X,X,X,X
TLZJISO,O,X,X,X,O,X,O,X,X,X,O
TLZJIOS,O,X,X,X,O,X,X,X,X,X,X
TLZJSIO,O,X,X,X,X,X,X,X,X,X,O
TLZJSOI,O,X,X,X,X,X,X,X,X,X,O
TLZJOIS,O,X,X,X,O,X,X,X,X,X,X
TLZJOSI,O,X,X,X,X,X,X,X,X,X,O
TLZSIJO,O,O,X,O,X,X,X,X,X,X,X
TLZSIOJ,O,O,X,X,X,X,X,X,X,X,X
TLZSJIO,O,O,X,O,X,X,X,X,X,X,X
TLZSJOI,O,O,X,O,X,X,X,X,X,X,X
TLZSOIJ,O,O,X,O,X,X,X,X,X,X,X
TLZSOJI,O,O,X,O,X,X,X,X,X,X,X
TLZOIJS,O,O,X,X,O,X,X,O,X,X,X
TLZOISJ,O,X,X,X,X,X,X,X,X,X,X
TLZOJIS,O,X,X,X,O,X,X,X,X,X,X
TLZOJSI,O,X,X,O,X,X,X,X,X,X,X
TLZOSIJ,O,O,X,O,X,X,X,X,X,X,X
TLZOSJI,O,O,X,O,X,X,X,X,X,X,X
TLOIJSZ,O,X,X,X,O,X,O,X,O,X,X
TLOIJZS,O,X,X,X,O,X,X,X,O,X,X
TLOISJZ,O,X,X,X,O,X,X,X,O,X,X
TLOISZJ,O,X,X,X,X,X,X,X,X,X,X
TLOIZJS,O,X,X,X,O,X,X,X,O,X,X
TLOIZSJ,O,X,X,X,X,X,X,X,X,X,X
TLOJISZ,O,X,X,X,O,X,O,X,O,X,X
TLOJIZS,O,X,X,X,O,X,X,X,O,X,X
TLOJSIZ,O,X,X,X,O,X,X,X,O,X,X
TLOJSZI,O,X,X,X,X,X,X,X,X,X,X
TLOJZIS,O,X,X,X,O,X,X,X,O,X,X
TLOJZSI,O,X,X,O,X,X,X,X,X,X,X
TLOSIJZ,O,X,X,X,O,X,X,X,O,X,X
TLOSIZJ,O,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,X,X,X,O,X,X,X,O,X,X
TLOSJZI,O,O,X,X,X,X,X,X,X,X,X
TLOSZIJ,O,O,X,X,X,X,X,X,X,X,X
TLOSZJI,O,O,X,X,X,X,X,X,X,X,X
TLOZIJS,O,O,X,X,O,X,X,X,O,X,X
TLOZISJ,O,X,X,X,X,X,X,X,X,X,X
TLOZJIS,O,X,X,X,O,X,X,X,O,X,X
TLOZJSI,O,X,X,O,X,X,X,X,X,X,X
TLOZSIJ,O,O,X,O,X,X,X,X,X,X,X
TLOZSJI,O,O,X,O,X,X,X,X,X,X,X
TJILSZO,O,X,X,X,X,X,O,X,X,O,X
TJILSOZ,O,X,X,X,X,X,O,X,X,X,X
TJILZSO,O,X,X,X,X,X,O,X,X,X,O
TJILZOS,O,X,X,X,X,X,X,X,X,X,X
TJILOSZ,O,X,X,X,X,X,O,X,X,X,X
TJILOZS,O,X,X,X,X,X,X,X,X,X,X
TJISLZO,O,X,X,X,X,X,O,X,X,O,X
TJISLOZ,O,X,X,X,X,O,O,X,X,X,X
TJISZLO,O,X,X,X,X,X,X,X,X,X,X
TJISZOL,O,X,X,X,X,X,X,X,X,X,X
TJISOLZ,O,X,X,X,X,O,X,X,X,X,X
TJISOZL,O,X,X,X,X,X,X,X,X,X,X
TJIZLSO,O,X,X,X,X,X,O,X,X,X,O
TJIZLOS,O,X,X,X,X,X,X,X,X,X,X
TJIZSLO,O,X,X,X,X,X,X,X,X,X,X
TJIZSOL,O,X,X,X,X,X,X,X,X,X,X
TJIZOLS,O,X,X,X,X,X,X,X,X,X,X
TJIZOSL,O,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,O,X,X,X,X,X,O,X,O,X,X
TJIOLZS,O,X,X,X,X,X,O,X,O,X,X
TJIOSLZ,O,X,X,X,X,O,O,X,O,X,X
TJIOSZL,O,X,X,X,X,X,X,X,X,X,X
TJIOZLS,O,X,X,X,X,X,O,X,O,X,X
TJIOZSL,O,X,X,X,X,X,X,X,X,X,X
TJLISZO,O,X,X,X,O,X,O,X,X,X,X
TJLISOZ,O,X,X,X,O,X,O,X,X,X,X
TJLIZSO,O,X,X,X,O,X,O,X,X,X,O
TJLIZOS,O,X,X,X,O,X,X,X,X,X,X
TJLIOSZ,O,X,X,X,O,X,O,X,X,X,X
TJLIOZS,O,X,X,X,O,X,X,X,X,X,X
TJLSIZO,O,X,X,X,O,X,O,X,X,X,X
TJLSIOZ,O,X,X,X,O,X,O,X,X,X,X
TJLSZIO,O,X,X,X,X,X,X,X,X,X,O
TJLSZOI,O,X,X,X,X,X,X,X,X,X,O
TJLSOIZ,O,X,X,X,O,X,X,X,X,X,X
TJLSOZI,O,X,X,X,X,X,X,X,X,X,X
TJLZISO,O,X,X,X,O,X,O,X,X,X,O
TJLZIOS,O,X,X,X,O,X,X,X,X,X,X
TJLZSIO,O,X,X,X,X,X,X,X,X,X,O
TJLZSOI,O,X,X,X,X,X,X,X,X,X,O
TJLZOIS,O,X,X,X,O,X,X,X,X,X,X
TJLZOSI,O,X,X,X,X,X,X,X,X,X,O
TJLOISZ,O,X,X,X,O,X,O,X,O,X,X
TJLOIZS,O,X,X,X,O,X,X,X,O,X,X
TJLOSIZ,O,X,X,X,O,X,X,X,O,X,X
TJLOSZI,O,X,X,X,X,X,X,X,X,X,X
TJLOZIS,O,X,X,X,O,X,X,X,O,X,X
TJLOZSI,O,X,X,X,X,X,X,X,X,X,O
TJSILZO,O,X,X,X,X,X,O,X,X,O,X
TJSILOZ,O,X,X,X,X,O,O,X,X,X,X
TJSIZLO,O,X,X,X,X,X,X,X,X,X,X
TJSIZOL,O,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,O,X,X,X,X,O,X,X,X,X,X
TJSIOZL,O,X,X,X,X,X,X,X,X,X,X
TJSLIZO,O,X,X,X,X,X,O,X,X,X,X
TJSLIOZ,O,X,X,X,X,O,O,X,X,X,X
TJSLZIO,O,X,X,X,X,X,X,X,X,X,O
TJSLZOI,O,X,X,X,X,X,X,X,X,X,O
TJSLOIZ,O,X,X,X,X,O,X,X,X,X,X
TJSLOZI,O,X,X,X,X,X,X,X,X,X,X
TJSZILO,O,X,X,X,X,X,X,X,X,X,X
TJSZIOL,O,X,X,X,X,X,X,X,X,X,X
TJSZLIO,O,X,X,X,X,X,X,X,X,X,O
TJSZLOI,O,X,X,X,X,X,X,X,X,X,O
TJSZOIL,O,X,X,X,X,X,X,X,X,X,X
TJSZOLI,O,X,X,X,X,X,X,X,X,X,X
TJSOILZ,O,X,X,X,X,O,X,X,O,X,X
TJSOIZL,O,X,X,X,X,X,X,X,X,X,X
TJSOLIZ,O,X,X,X,X,O,X,X,O,X,X
TJSOLZI,O,X,X,X,X,X,X,X,X,X,X
TJSOZIL,O,X,X,X,X,X,X,X,X,X,X
TJSOZLI,O,X,X,X,X,X,X,X,X,X,X
TJZILSO,O,X,X,X,X,X,O,X,X,X,O
TJZILOS,O,X,X,X,X,X,X,X,X,X,X
TJZISLO,O,X,X,X,X,X,X,X,X,X,X
TJZISOL,O,X,X,X,X,X,X,X,X,X,X
TJZIOLS,O,X,X,X,X,X,X,X,X,X,X
TJZIOSL,O,X,X,X,X,X,X,X,X,X,X
TJZLISO,O,X,X,X,X,X,O,X,X,X,O
TJZLIOS,O,X,X,X,X,X,X,X,X,X,X
TJZLSIO,O,X,X,X,X,X,X,X,X,X,O
TJZLSOI,O,X,X,X,X,X,X,X,X,X,O
TJZLOIS,O,X,X,X,X,X,X,X,X,X,X
TJZLOSI,O,X,X,X,X,X,X,X,X,X,O
TJZSILO,O,X,X,X,X,X,X,X,X,X,X
TJZSIOL,O,X,X,X,X,X,X,X,X,X,X
TJZSLIO,O,X,X,X,X,X,X,X,X,X,O
TJZSLOI,O,X,X,X,X,X,X,X,X,X,O
TJZSOIL,O,X,X,X,X,X,X,X,X,X,X
TJZSOLI,O,X,X,X,X,X,X,X,X,X,X
TJZOILS,O,X,X,X,X,X,X,X,O,X,X
TJZOISL,O,X,X,X,X,X,X,X,X,X,X
TJZOLIS,O,X,X,X,X,X,X,X,O,X,X
TJZOLSI,O,X,X,X,X,X,X,X,X,X,O
TJZOSIL,O,X,X,X,X,X,X,X,X,X,X
TJZOSLI,O,X,X,X,X,X,X,X,X,X,X
TJOILSZ,O,X,X,X,X,X,O,X,O,X,X
TJOILZS,O,X,X,X,X,X,O,X,O,X,X
TJOISLZ,O,X,X,X,X,O,O,X,O,X,X
TJOISZL,O,X,X,X,X,X,X,X,X,X,X
TJOIZLS,O,X,X,X,X,X,O,X,O,X,X
TJOIZSL,O,X,X,X,X,X,X,X,X,X,X
TJOLISZ,O,X,X,X,O,X,O,X,O,X,X
TJOLIZS,O,X,X,X,O,X,O,X,O,X,X
TJOLSIZ,O,X,X,X,O,X,O,X,O,X,X
TJOLSZI,O,X,X,X,X,X,X,X,X,X,X
TJOLZIS,O,X,X,X,O,X,O,X,O,X,X
TJOLZSI,O,X,X,X,X,X,X,X,X,X,O
TJOSILZ,O,X,X,X,X,O,O,X,O,X,X
TJOSIZL,O,X,X,X,X,X,X,X,X,X,X
TJOSLIZ,O,X,X,X,X,O,O,X,O,X,X
TJOSLZI,O,X,X,X,X,X,X,X,X,X,X
TJOSZIL,O,X,X,X,X,X,X,X,X,X,X
TJOSZLI,O,X,X,X,X,X,X,X,X,X,X
TJOZILS,O,X,X,X,X,X,O,X,O,X,X
TJOZISL,O,X,X,X,X,X,X,X,X,X,X
TJOZLIS,O,X,X,X,X,X,O,X,O,X,X
TJOZLSI,O,X,X,X,X,X,X,X,X,X,O
TJOZSIL,O,X,X,X,X,X,X,X,X,X,X
TJOZSLI,O,X,X,X,X,X,X,X,X,X,X
TSILJZO,O,X,X,X,X,X,O,X,X,O,X
TSILJOZ,O,X,X,X,X,O,O,X,X,X,X
TSILZJO,O,X,X,X,X,X,X,X,X,O,X
TSILZOJ,O,X,X,X,X,X,X,X,X,O,X
TSILOJZ,O,X,X,X,X,O,X,X,X,X,X
TSILOZJ,O,X,X,X,X,X,X,X,X,X,X
TSIJLZO,O,X,X,X,X,X,O,X,X,O,X
TSIJLOZ,O,X,X,X,X,O,O,X,X,X,X
TSIJZLO,O,X,O,X,X,X,X,X,X,X,X
TSIJZOL,O,X,O,X,X,X,X,X,X,X,X
TSIJOLZ,O,X,X,X,X,O,X,X,X,X,X
TSIJOZL,O,X,O,X,X,X,X,X,X,X,X
TSIZLJO,O,X,O,X,X,X,X,X,X,X,X
TSIZLOJ,O,X,O,X,X,X,X,X,X,X,X
TSIZJLO,O,X,O,X,X,X,X,X,X,X,X
TSIZJOL,O,X,O,X,X,X,X,X,X,X,X
TSIZOLJ,O,X,O,X,X,X,X,X,X,X,X
TSIZOJL,O,X,O,X,X,X,X,X,X,X,X
TSIOLJZ,O,X,X,X,X,O,X,X,X,X,X
TSIOLZJ,O,X,X,X,X,X,X,X,X,X,X
TSIOJLZ,O,X,X,X,X,O,X,X,X,X,X
TSIOJZL,O,X,O,X,X,X,X,X,X,X,X
TSIOZLJ,O,X,O,X,X,X,X,X,X,X,X
TSIOZJL,O,X,O,X,X,X,X,X,X,X,X
TSLIJZO,O,X,X,X,X,X,O,X,X,X,X
TSLIJOZ,O,X,X,X,X,O,O,X,X,X,X
TSLIZJO,O,X,X,X,X,X,X,X,X,X,X
TSLIZOJ,O,X,X,X,X,X,X,X,X,X,X
TSLIOJZ,O,X,X,X,X,O,X,X,X,X,X
TSLIOZJ,O,X,X,X,X,X,X,X,X,X,X
TSLJIZO,O,X,X,X,X,X,O,X,X,X,X
TSLJIOZ,O,X,X,X,X,O,O,X,X,X,X
TSLJZIO,O,O,X,X,X,X,X,X,X,X,X
TSLJZOI,O,O,X,X,X,X,X,X,X,X,X
TSLJOIZ,O,X,X,X,X,O,X,X,X,X,X
TSLJOZI,O,O,X,X,X,X,X,X,X,X,X
TSLZIJO,O,O,X,X,X,X,X,X,X,X,X
TSLZIOJ,O,O,X,X,X,X,X,X,X,X,X
TSLZJIO,O,O,X,X,X,X,X,X,X,X,X
TSLZJOI,O,O,X,X,X,X,X,X,X,X,X
TSLZOIJ,O,O,X,X,X,X,X,X,X,X,X
TSLZOJI,O,O,X,X,X,X,X,X,X,X,X
TSLOIJZ,O,X,X,X,X,O,X,X,X,X,X
TSLOIZJ,O,X,X,X,X,X,X,X,X,X,X
TSLOJIZ,O,X,X,X,X,O,X,X,X,X,X
TSLOJZI,O,O,X,X,X,X,X,X,X,X,X
TSLOZIJ,O,O,X,X,X,X,X,X,X,X,X
TSLOZJI,O,O,X,X,X,X,X,X,X,X,X
TSJILZO,O,X,X,X,X,X,O,X,X,O,X
TSJILOZ,O,X,X,X,X,O,O,X,X,X,X
TSJIZLO,O,X,O,X,X,X,X,X,X,X,X
TSJIZOL,O,X,O,X,X,X,X,X,X,X,X
TSJIOLZ,O,X,X,X,X,O,X,X,X,X,X
TSJIOZL,O,X,O,X,X,X,X,X,X,X,X
TSJLIZO,O,X,X,X,X,X,O,X,X,X,X
TSJLIOZ,O,X,X,X,X,O,O,X,X,X,X
TSJLZIO,O,O,X,X,X,X,X,X,X,X,X
TSJLZOI,O,O,X,X,X,X,X,X,X,X,X
TSJLOIZ,O,X,X,X,X,O,X,X,X,X,X
TSJLOZI,O,O,X,X,X,X,X,X,X,X,X
TSJZILO,O,O,O,X,X,X,X,X,X,X,X
TSJZIOL,O,O,O,X,X,X,X,X,X,X,X
TSJZLIO,O,O,O,X,X,X,X,X,X,X,X
TSJZLOI,O,O,O,X,X,X,X,X,X,X,X
TSJZOIL,O,O,O,X,X,X,X,X,X,X,X
