sequence,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeuEJvhF3gB1mB0iB6?oBxqBzsB,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeRAJvhF3hBFjBzkBW?rB6sBctB,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeuEJvhF1lB0hB6nBT?jBxqBXtB,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeRBJvhFGjBClBTmBl?nBUlBXtB,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeCAJvhFxhBVqBUmBG?nBToBXtB,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeRAJvhF3hBzkBWrBl?nBctBCtB
TSILOZJ,O,X,O,O,X,X
TSIJLZO,O,X,O,X,X,X
TSIJLOZ,O,X,O,O,X,X
TSIJZLO,O,X,O,X,X,X
TSIJZOL,O,X,O,O,X,X
TSIJOLZ,O,X,O,O,X,X
TSIJOZL,O,X,O,O,X,X
TSIZLJO,O,X,O,X,X,X
TSIZLOJ,O,X,O,X,X,X
TSIZJLO,O,X,O,X,X,X
TSIZJOL,O,X,O,O,X,X
TSIZOLJ,O,X,O,O,X,X
TSIZOJL,O,X,O,O,X,X
TSIOLJZ,O,X,O,O,X,X
TSIOLZJ,O,X,O,O,X,X
TSIOJLZ,O,X,O,O,X,X
TSIOJZL,O,X,O,O,X,X
TSIOZLJ,O,X,O,O,X,X
TSIOZJL,O,X,O,O,X,X
TSLIJZO,O,X,O,X,X,X
TSLIJOZ,O,X,O,O,X,X
TSLIZJO,O,X,O,X,X,X
TSLIZOJ,O,X,O,X,X,X
TSLIOJZ,O,X,O,O,X,X
TSLIOZJ,O,X,O,O,X,X
TSLJIZO,O,X,O,X,X,X
TSLJIOZ,O,X,O,O,X,X
TSLJZIO,O,X,X,X,O,X
TSLJZOI,O,X,X,O,O,X
TSLJOIZ,O,X,O,O,X,X
TSLJOZI,O,X,X,O,O,X
TSLZIJO,O,X,O,X,O,X
TSLZIOJ,O,X,O,X,X,X
TSLZJIO,O,X,X,X,O,X
TSLZJOI,O,X,X,O,O,X
TSLZOIJ,O,X,O,O,X,X
TSLZOJI,O,X,X,O,O,X
TSLOIJZ,O,X,O,O,X,X
TSLOIZJ,O,X,O,O,X,X
TSLOJIZ,O,X,O,O,X,X
TSLOJZI,O,X,X,O,O,X
TSLOZIJ,O,X,O,O,X,X
TSLOZJI,O,X,X,O,O,X
TSJILZO,O,X,O,X,X,X
TSJILOZ,O,X,O,O,X,X
TSJIZLO,O,X,O,X,X,X
TSJIZOL,O,X,O,O,X,X
TSJIOLZ,O,X,O,O,X,X
TSJIOZL,O,X,O,O,X,X
TSJLIZO,O,X,O,X,X,X
TSJLIOZ,O,X,O,O,X,X
TSJLZIO,O,X,X,X,O,X
TSJLZOI,O,X,X,O,O,X
TSJLOIZ,O,X,O,O,X,X
TSJLOZI,O,X,X,O,O,X
TSJZILO,O,X,X,X,O,X
TSJZIOL,O,X,X,O,O,X
TSJZLIO,O,X,X,X,O,X
TSJZLOI,O,X,X,O,O,X
TSJZOIL,O,X,X,O,O,X
TSJZOLI,O,X,X,O,O,X
TSJOILZ,O,X,O,O,X,X
TSJOIZL,O,X,O,O,X,X
TSJOLIZ,O,X,O,O,X,X
TSJOLZI,O,X,X,O,O,X
TSJOZIL,O,X,X,O,O,X
TSJOZLI,O,X,X,O,O,X
TSZILJO,O,X,O,X,O,X
TSZILOJ,O,X,O,X,X,X
TSZIJLO,O,X,O,X,O,X
TSZIJOL,O,X,O,O,O,X
TSZIOLJ,O,X,O,O,X,X
TSZIOJL,O,X,O,O,X,X
TSZLIJO,O,X,O,X,O,X
TSZLIOJ,O,X,O,X,X,X
TSZLJIO,O,X,X,X,O,X
TSZLJOI,O,X,X,O,O,X
TSZLOIJ,O,X,O,O,X,X
TSZLOJI,O,X,X,O,O,X
TSZJILO,O,X,X,X,O,X
TSZJIOL,O,X,X,O,O,X
TSZJLIO,O,X,X,X,O,X
TSZJLOI,O,X,X,O,O,X
TSZJOIL,O,X,X,O,O,X
TSZJOLI,O,X,X,O,O,X
TSZOILJ,O,X,O,O,X,X
TSZOIJL,O,X,O,O,X,X
TSZOLIJ,O,X,O,O,X,X
TSZOLJI,O,X,X,O,O,X
TSZOJIL,O,X,X,O,O,X
TSZOJLI,O,X,X,O,O,X
TSOILJZ,O,X,O,O,X,X
TSOILZJ,O,X,O,O,X,X
TSOIJLZ,O,X,O,O,X,X
TSOIJZL,O,X,O,O,X,X
TSOIZLJ,O,X,O,O,X,X
TSOIZJL,O,X,O,O,X,X
TSOLIJZ,O,X,O,O,X,X
TSOLIZJ,O,X,O,O,X,X
TSOLJIZ,O,X,O,O,X,X
TSOLJZI,O,X,X,O,O,X
TSOLZIJ,O,X,O,O,X,X
TSOLZJI,O,X,X,O,O,X
TSOJILZ,O,X,O,O,X,X
TSOJIZL,O,X,O,O,X,X
