sequence,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFUgBFhBTjBW?qByvBXtB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFUgBFhB6oBf?qBetBzqB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFzfBFhB6oBf?rBetBUqB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFUgBFhBWqBT?oByvBXtB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JexAJvhF0kBllBToBO?pByvBXtB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFqkBFhBTjB0?lBXtB2vB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFCgBllBToBO?rBUqBXtB
TSOZLIJ,O,O,X,X,X,X,X
TSOZLJI,O,O,X,X,X,X,X
TSOZJIL,O,O,X,X,X,X,X
TSOZJLI,O,O,X,X,X,X,X
TZILJSO,O,X,X,O,X,X,X
TZILJOS,O,X,X,O,X,X,O
TZILSJO,O,X,X,X,X,X,X
TZILSOJ,O,X,X,X,X,X,O
TZILOJS,X,X,X,O,X,X,O
TZILOSJ,X,X,X,X,X,X,O
TZIJLSO,O,O,O,X,X,X,X
TZIJLOS,X,O,O,X,X,X,O
TZIJSLO,O,O,O,X,X,X,X
TZIJSOL,O,O,O,X,X,X,X
TZIJOLS,X,O,O,X,X,X,O
TZIJOSL,O,O,O,X,X,X,X
TZISLJO,O,O,O,X,X,X,X
TZISLOJ,O,X,O,X,X,X,O
TZISJLO,O,O,O,X,X,X,X
TZISJOL,O,O,O,X,X,X,X
TZISOLJ,O,X,O,X,X,X,O
TZISOJL,O,O,O,X,X,X,X
TZIOLJS,X,X,X,O,O,X,O
TZIOLSJ,X,X,X,X,O,X,O
TZIOJLS,X,O,O,X,O,X,O
TZIOJSL,X,O,O,X,X,X,X
TZIOSLJ,X,O,O,X,X,X,O
TZIOSJL,X,O,O,X,X,X,X
TZLIJSO,O,X,X,O,X,X,X
TZLIJOS,O,X,X,O,O,X,O
TZLISJO,O,X,X,X,X,X,X
TZLISOJ,O,X,X,X,O,X,O
TZLIOJS,X,X,X,O,O,X,O
TZLIOSJ,X,X,X,X,O,X,O
TZLJISO,O,X,X,O,X,X,X
TZLJIOS,O,X,X,O,O,X,O
TZLJSIO,O,X,X,O,X,X,X
TZLJSOI,O,X,X,O,X,X,X
TZLJOIS,O,X,X,O,O,X,O
TZLJOSI,O,X,X,O,O,X,X
TZLSIJO,O,X,X,X,X,X,X
TZLSIOJ,O,X,X,X,O,X,O
TZLSJIO,O,X,X,X,X,X,X
TZLSJOI,O,X,X,X,X,X,X
TZLSOIJ,O,X,X,X,O,X,O
TZLSOJI,O,X,X,X,O,X,X
TZLOIJS,X,X,X,O,O,X,O
TZLOISJ,X,X,X,X,O,X,O
TZLOJIS,X,X,X,O,O,X,O
TZLOJSI,X,X,X,O,O,X,X
TZLOSIJ,X,X,X,X,O,X,O
