sequence,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFUgBFhBTjBW?qByvBXtB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFUgBFhB6oBf?qBetBzqB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFzfBFhB6oBf?rBetBUqB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFUgBFhBWqBT?oByvBXtB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JexAJvhF0kBllBToBO?pByvBXtB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFqkBFhBTjB0?lBXtB2vB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFCgBllBToBO?rBUqBXtB
ISOTLZJ,O,O,X,X,X,O,X
ISOTJLZ,O,O,O,X,X,X,X
ISOTJZL,O,O,O,X,X,X,X
ISOTZLJ,O,O,O,X,X,X,X
ISOTZJL,O,O,O,X,X,X,X
ISOLTJZ,O,O,X,O,X,X,X
ISOLTZJ,O,O,X,X,O,O,X
ISOLJTZ,O,O,X,O,X,X,X
ISOLJZT,O,O,X,O,X,O,X
ISOLZTJ,O,O,X,X,X,O,X
ISOLZJT,O,O,X,X,X,O,X
ISOJTLZ,O,O,O,X,X,X,X
ISOJTZL,O,O,O,X,X,X,X
ISOJLTZ,O,O,O,O,X,X,X
ISOJLZT,O,O,O,O,X,O,X
ISOJZTL,O,O,O,X,X,X,X
ISOJZLT,O,O,O,X,X,X,X
ISOZTLJ,O,O,O,X,X,X,O
ISOZTJL,O,O,O,X,X,X,X
ISOZLTJ,O,O,O,X,X,O,X
ISOZLJT,O,O,O,X,X,O,X
ISOZJTL,O,O,O,X,X,X,X
ISOZJLT,O,O,O,X,X,X,X
IZTLJSO,O,X,X,O,X,X,X
IZTLJOS,O,X,X,O,X,X,O
IZTLSJO,O,X,X,X,X,X,X
IZTLSOJ,O,X,X,X,X,X,O
IZTLOJS,X,X,X,O,X,X,O
IZTLOSJ,X,X,X,X,X,X,O
IZTJLSO,O,O,O,X,X,X,X
IZTJLOS,X,O,O,X,X,X,O
IZTJSLO,O,O,O,X,X,X,X
IZTJSOL,O,O,O,X,X,X,X
IZTJOLS,X,O,O,X,X,X,O
IZTJOSL,O,O,O,X,X,X,X
IZTSLJO,O,O,O,X,X,X,X
IZTSLOJ,O,X,O,X,X,X,O
IZTSJLO,O,O,O,X,X,X,X
IZTSJOL,O,O,O,X,X,X,X
IZTSOLJ,O,X,O,X,X,X,O
IZTSOJL,O,O,O,X,X,X,X
IZTOLJS,X,X,X,O,O,X,O
IZTOLSJ,X,X,X,X,O,X,O
IZTOJLS,X,O,O,X,O,X,O
IZTOJSL,X,O,O,X,X,X,X
IZTOSLJ,X,O,O,X,X,X,O
IZTOSJL,X,O,O,X,X,X,X
IZLTJSO,O,X,X,O,X,O,X
IZLTJOS,O,X,X,O,O,X,O
IZLTSJO,O,X,X,X,X,O,X
IZLTSOJ,O,X,X,X,O,O,O
IZLTOJS,X,X,X,O,O,X,O
IZLTOSJ,X,X,X,X,O,O,O
IZLJTSO,O,X,O,O,X,O,X
IZLJTOS,O,X,O,O,X,X,X
IZLJSTO,O,X,O,O,X,O,X
IZLJSOT,O,X,O,O,X,O,X
IZLJOTS,O,X,O,O,X,X,X
IZLJOST,O,X,O,O,X,X,X
IZLSTJO,O,X,O,X,X,O,X
IZLSTOJ,O,X,O,X,X,O,X
IZLSJTO,O,X,O,X,X,O,X
IZLSJOT,O,X,O,X,X,O,X
IZLSOTJ,O,X,O,X,X,O,X
IZLSOJT,O,X,O,X,X,O,X
IZLOTJS,X,X,X,O,O,X,O
IZLOTSJ,X,X,X,X,O,O,O
IZLOJTS,X,X,O,O,X,X,X
IZLOJST,X,X,O,O,X,X,X
IZLOSTJ,X,X,O,X,X,O,X
IZLOSJT,X,X,O,X,X,O,X
IZJTLSO,O,O,O,X,X,X,X
IZJTLOS,X,O,O,X,X,X,O
IZJTSLO,O,O,O,X,X,X,X
IZJTSOL,O,O,O,X,X,X,X
IZJTOLS,X,O,O,X,X,X,O
IZJTOSL,O,O,O,X,X,X,X
IZJLTSO,O,O,O,O,X,X,X
IZJLTOS,O,O,O,O,X,X,X
IZJLSTO,O,O,O,O,X,X,X
IZJLSOT,O,O,O,O,X,X,X
IZJLOTS,O,O,O,O,X,X,X
IZJLOST,O,O,O,O,X,X,X
IZJSTLO,O,O,O,X,X,X,X
IZJSTOL,O,O,O,X,X,X,X
IZJSLTO,O,O,O,X,X,X,X
IZJSLOT,O,O,O,X,X,X,X
IZJSOTL,O,O,O,X,X,X,X
IZJSOLT,O,O,O,X,X,X,X
IZJOTLS,X,O,O,X,X,X,O
IZJOTSL,O,O,O,X,X,X,X
IZJOLTS,X,O,O,O,X,X,X
IZJOLST,X,O,O,O,X,X,X
IZJOSTL,O,O,O,X,X,X,X
IZJOSLT,O,O,O,X,X,X,X
IZSTLJO,O,O,O,X,X,X,X
IZSTLOJ,O,X,O,X,X,X,O
IZSTJLO,O,O,O,X,X,X,X
IZSTJOL,O,O,O,X,X,X,X
IZSTOLJ,O,X,O,X,X,X,O
IZSTOJL,O,O,O,X,X,X,X
IZSLTJO,O,O,O,X,X,O,X
IZSLTOJ,O,X,O,X,X,O,X
IZSLJTO,O,O,O,X,X,O,X
IZSLJOT,O,O,O,X,X,O,X
IZSLOTJ,O,X,O,X,X,O,X
IZSLOJT,O,X,O,X,X,O,X
IZSJTLO,O,O,O,X,X,X,X
IZSJTOL,O,O,O,X,X,X,X
IZSJLTO,O,O,O,X,X,X,X
IZSJLOT,O,O,O,X,X,X,X
IZSJOTL,O,O,O,X,X,X,X
IZSJOLT,O,O,O,X,X,X,X
IZSOTLJ,O,O,O,X,X,X,O
IZSOTJL,O,O,O,X,X,X,X
IZSOLTJ,O,O,O,X,X,O,X
IZSOLJT,O,O,O,X,X,O,X
IZSOJTL,O,O,O,X,X,X,X
IZSOJLT,O,O,O,X,X,X,X
IZOTLJS,X,X,X,O,O,X,O
IZOTLSJ,X,X,X,X,O,X,O
IZOTJLS,X,O,O,X,O,X,O
IZOTJSL,X,O,O,X,X,X,X
IZOTSLJ,X,O,O,X,X,X,O
IZOTSJL,X,O,O,X,X,X,X
IZOLTJS,X,X,X,O,O,X,O
IZOLTSJ,X,X,X,X,O,X,O
IZOLJTS,X,X,O,O,X,X,X
IZOLJST,X,X,O,O,X,X,X
IZOLSTJ,X,X,O,X,X,X,X
IZOLSJT,X,X,O,X,X,X,X
IZOJTLS,X,O,O,X,X,X,O
IZOJTSL,X,O,O,X,X,X,X
IZOJLTS,X,O,O,O,X,X,X
IZOJLST,X,O,O,O,X,X,X
IZOJSTL,X,O,O,X,X,X,X
IZOJSLT,X,O,O,X,X,X,X
IZOSTLJ,X,O,O,X,X,X,O
IZOSTJL,X,O,O,X,X,X,X
IZOSLTJ,X,O,O,X,X,X,X
IZOSLJT,X,O,O,X,X,X,X
IZOSJTL,X,O,O,X,X,X,X
IZOSJLT,X,O,O,X,X,X,X
IOTLJSZ,O,O,X,O,X,X,X
IOTLJZS,O,O,X,O,O,X,X
IOTLSJZ,O,O,X,O,X,X,X
IOTLSZJ,O,O,X,X,O,X,X
IOTLZJS,X,X,X,O,O,X,X
IOTLZSJ,X,X,X,X,O,X,X
IOTJLSZ,X,O,O,O,X,X,X
IOTJLZS,X,O,X,O,X,X,X
IOTJSLZ,O,O,O,X,X,X,X
IOTJSZL,O,O,O,X,X,X,X
IOTJZLS,X,O,X,X,X,X,X
IOTJZSL,O,O,X,X,X,X,X
IOTSLJZ,O,O,X,O,X,X,X
IOTSLZJ,O,O,X,X,X,X,X
IOTSJLZ,O,O,O,X,X,X,X
IOTSJZL,O,O,O,X,X,X,X
IOTSZLJ,O,O,O,X,X,X,X
IOTSZJL,O,O,O,X,X,X,X
IOTZLJS,X,X,X,O,X,X,O
IOTZLSJ,X,X,X,X,X,X,O
IOTZJLS,X,O,X,X,X,X,O
IOTZJSL,X,O,X,X,X,X,X
IOTZSLJ,X,O,X,X,X,X,O
IOTZSJL,X,O,X,X,X,X,X
IOLTJSZ,O,O,X,O,X,X,X
IOLTJZS,O,O,X,O,O,X,X
IOLTSJZ,O,O,X,O,X,X,X
IOLTSZJ,O,O,X,X,O,X,X
IOLTZJS,X,X,X,O,O,X,X
IOLTZSJ,X,X,X,X,O,X,X
IOLJTSZ,O,O,X,O,X,X,X
IOLJTZS,O,O,X,O,O,X,X
IOLJSTZ,O,O,X,O,X,X,X
IOLJSZT,O,O,X,O,X,X,X
IOLJZTS,O,O,X,O,X,X,X
IOLJZST,O,O,X,O,X,X,X
IOLSTJZ,O,O,X,O,X,X,X
IOLSTZJ,O,O,X,X,O,O,X
IOLSJTZ,O,O,X,O,X,X,X
IOLSJZT,O,O,X,O,X,O,X
IOLSZTJ,O,O,X,X,X,O,X
IOLSZJT,O,O,X,X,X,O,X
IOLZTJS,X,X,X,O,O,X,O
IOLZTSJ,X,X,X,X,O,O,O
IOLZJTS,X,X,X,O,X,X,X
IOLZJST,X,X,X,O,X,X,X
IOLZSTJ,X,X,X,X,X,O,X
IOLZSJT,X,X,X,X,X,O,X
IOJTLSZ,X,O,O,O,X,X,X
IOJTLZS,X,O,X,O,X,X,X
IOJTSLZ,O,O,O,X,X,X,X
IOJTSZL,O,O,O,X,X,X,X
IOJTZLS,X,O,X,X,X,X,X
IOJTZSL,O,O,X,X,X,X,X
IOJLTSZ,O,O,O,O,X,X,X
IOJLTZS,O,O,X,O,O,X,X
IOJLSTZ,O,O,O,O,X,X,X
IOJLSZT,O,O,O,O,X,X,X
IOJLZTS,O,O,O,O,X,X,X
IOJLZST,O,O,O,O,X,X,X
IOJSTLZ,O,O,O,X,X,X,X
IOJSTZL,O,O,O,X,X,X,X
IOJSLTZ,O,O,O,O,X,X,X
IOJSLZT,O,O,O,O,X,X,X
IOJSZTL,O,O,O,X,X,X,X
IOJSZLT,O,O,O,X,X,X,X
IOJZTLS,X,O,O,X,X,X,O
IOJZTSL,O,O,O,X,X,X,X
IOJZLTS,X,O,O,O,X,X,X
IOJZLST,X,O,O,O,X,X,X
IOJZSTL,O,O,O,X,X,X,X
IOJZSLT,O,O,O,X,X,X,X
IOSTLJZ,O,O,X,O,X,X,X
IOSTLZJ,O,O,X,X,X,O,X
IOSTJLZ,O,O,O,X,X,X,X
IOSTJZL,O,O,O,X,X,X,X
IOSTZLJ,O,O,O,X,X,X,X
IOSTZJL,O,O,O,X,X,X,X
IOSLTJZ,O,O,X,O,X,X,X
IOSLTZJ,O,O,X,X,O,O,X
IOSLJTZ,O,O,X,O,X,X,X
IOSLJZT,O,O,X,O,X,O,X
IOSLZTJ,O,O,X,X,X,O,X
IOSLZJT,O,O,X,X,X,O,X
IOSJTLZ,O,O,O,X,X,X,X
IOSJTZL,O,O,O,X,X,X,X
IOSJLTZ,O,O,O,O,X,X,X
IOSJLZT,O,O,O,O,X,O,X
IOSJZTL,O,O,O,X,X,X,X
IOSJZLT,O,O,O,X,X,X,X
IOSZTLJ,O,O,O,X,X,X,O
IOSZTJL,O,O,O,X,X,X,X
IOSZLTJ,O,O,O,X,X,O,X
IOSZLJT,O,O,O,X,X,O,X
IOSZJTL,O,O,O,X,X,X,X
IOSZJLT,O,O,O,X,X,X,X
IOZTLJS,X,X,X,O,O,X,O
IOZTLSJ,X,X,X,X,O,X,O
IOZTJLS,X,O,O,X,O,X,O
IOZTJSL,X,O,O,X,X,X,X
IOZTSLJ,X,O,O,X,X,X,O
IOZTSJL,X,O,O,X,X,X,X
IOZLTJS,X,X,X,O,O,X,O
IOZLTSJ,X,X,X,X,O,X,O
IOZLJTS,X,X,O,O,X,X,X
IOZLJST,X,X,O,O,X,X,X
IOZLSTJ,X,X,O,X,X,X,X
IOZLSJT,X,X,O,X,X,X,X
IOZJTLS,X,O,O,X,X,X,O
IOZJTSL,X,O,O,X,X,X,X
IOZJLTS,X,O,O,O,X,X,X
IOZJLST,X,O,O,O,X,X,X
IOZJSTL,X,O,O,X,X,X,X
IOZJSLT,X,O,O,X,X,X,X
IOZSTLJ,X,O,O,X,X,X,O
IOZSTJL,X,O,O,X,X,X,X
IOZSLTJ,X,O,O,X,X,X,X
IOZSLJT,X,O,O,X,X,X,X
IOZSJTL,X,O,O,X,X,X,X
IOZSJLT,X,O,O,X,X,X,X
LTIJSZO,O,O,O,O,X,X,X
LTIJSOZ,O,O,O,O,X,X,X
LTIJZSO,O,O,O,O,X,X,X
LTIJZOS,O,O,X,O,O,X,X
LTIJOSZ,O,O,O,O,X,X,X
LTIJOZS,O,O,X,O,O,X,X
LTISJZO,O,O,O,O,X,X,X
LTISJOZ,O,O,O,O,X,X,X
LTISZJO,O,O,O,X,X,O,X
LTISZOJ,O,X,O,X,O,O,X
LTISOJZ,O,X,X,O,X,X,X
LTISOZJ,O,X,X,X,O,O,X
LTIZJSO,O,X,X,O,X,O,X
LTIZJOS,O,X,X,O,O,X,X
LTIZSJO,O,X,X,X,X,O,X
LTIZSOJ,O,X,X,X,O,O,X
LTIZOJS,X,X,X,O,O,X,X
LTIZOSJ,X,X,X,X,O,O,X
LTIOJSZ,O,O,X,O,X,X,X
LTIOJZS,O,O,X,O,O,X,X
LTIOSJZ,O,O,X,O,X,X,X
LTIOSZJ,O,O,X,X,O,X,X
LTIOZJS,X,X,X,O,O,X,X
LTIOZSJ,X,X,X,X,O,X,X
LTJISZO,O,O,O,O,X,X,X
LTJISOZ,O,O,O,O,X,X,X
LTJIZSO,O,O,O,O,X,X,X
LTJIZOS,O,O,X,O,O,X,X
LTJIOSZ,O,O,O,O,X,X,X
LTJIOZS,O,O,X,O,O,X,X
LTJSIZO,O,O,O,O,X,X,X
LTJSIOZ,O,O,O,O,X,X,X
LTJSZIO,O,O,O,O,X,X,X
LTJSZOI,O,O,X,O,X,X,X
LTJSOIZ,O,O,O,O,X,X,X
LTJSOZI,O,O,X,O,X,X,X
LTJZISO,O,O,O,O,X,X,X
LTJZIOS,O,O,X,O,O,X,X
LTJZSIO,O,O,O,O,X,X,X
LTJZSOI,O,O,X,O,X,X,X
LTJZOIS,O,O,X,O,O,X,X
LTJZOSI,O,O,X,O,O,X,X
LTJOISZ,O,O,O,O,X,X,X
LTJOIZS,O,O,X,O,O,X,X
LTJOSIZ,O,O,O,O,X,X,X
LTJOSZI,O,O,X,O,X,X,X
LTJOZIS,O,O,X,O,O,X,X
LTJOZSI,O,O,X,O,O,X,X
LTSIJZO,O,O,O,O,X,X,X
LTSIJOZ,O,O,O,O,X,X,X
LTSIZJO,O,O,O,X,X,O,X
LTSIZOJ,O,X,O,X,O,O,X
LTSIOJZ,O,X,X,O,X,X,X
LTSIOZJ,O,X,X,X,O,O,X
LTSJIZO,O,O,O,O,X,X,X
LTSJIOZ,O,O,O,O,X,X,X
LTSJZIO,O,O,O,O,X,X,X
LTSJZOI,O,O,X,O,X,X,X
LTSJOIZ,O,O,O,O,X,X,X
LTSJOZI,O,O,X,O,X,X,X
LTSZIJO,O,O,X,X,X,O,X
LTSZIOJ,O,X,X,X,O,O,X
LTSZJIO,O,O,X,X,X,O,X
LTSZJOI,O,O,X,X,X,O,X
LTSZOIJ,O,X,X,X,O,O,X
LTSZOJI,O,X,X,X,O,O,X
LTSOIJZ,O,X,X,O,X,X,X
LTSOIZJ,O,X,X,X,O,O,X
LTSOJIZ,O,X,X,O,X,X,X
LTSOJZI,O,X,X,O,X,X,X
LTSOZIJ,O,X,X,X,O,O,X
LTSOZJI,O,X,X,X,O,O,X
LTZIJSO,O,X,X,O,X,O,X
LTZIJOS,O,X,X,O,O,X,X
LTZISJO,O,X,X,X,X,O,X
LTZISOJ,O,X,X,X,O,O,X
LTZIOJS,X,X,X,O,O,X,X
LTZIOSJ,X,X,X,X,O,O,X
LTZJISO,O,X,X,O,X,O,X
LTZJIOS,O,X,X,O,O,X,X
LTZJSIO,O,X,X,O,X,O,X
LTZJSOI,O,X,X,O,X,O,X
LTZJOIS,O,X,X,O,O,X,X
LTZJOSI,O,X,X,O,O,X,X
LTZSIJO,O,X,X,X,X,O,X
LTZSIOJ,O,X,X,X,O,O,X
LTZSJIO,O,X,X,X,X,O,X
LTZSJOI,O,X,X,X,X,O,X
LTZSOIJ,O,X,X,X,O,O,X
LTZSOJI,O,X,X,X,O,O,X
LTZOIJS,X,X,X,O,O,X,X
LTZOISJ,X,X,X,X,O,O,X
LTZOJIS,X,X,X,O,O,X,X
LTZOJSI,X,X,X,O,O,X,X
LTZOSIJ,X,X,X,X,O,O,X
LTZOSJI,X,X,X,X,O,O,X
LTOIJSZ,O,O,X,O,X,X,X
LTOIJZS,O,O,X,O,O,X,X
LTOISJZ,O,O,X,O,X,X,X
LTOISZJ,O,O,X,X,O,X,X
LTOIZJS,X,X,X,O,O,X,X
LTOIZSJ,X,X,X,X,O,X,X
LTOJISZ,O,O,X,O,X,X,X
LTOJIZS,O,O,X,O,O,X,X
LTOJSIZ,O,O,X,O,X,X,X
LTOJSZI,O,O,X,O,X,X,X
LTOJZIS,O,O,X,O,O,X,X
LTOJZSI,O,O,X,O,O,X,X
LTOSIJZ,O,O,X,O,X,X,X
LTOSIZJ,O,O,X,X,O,X,X
LTOSJIZ,O,O,X,O,X,X,X
LTOSJZI,O,O,X,O,X,X,X
LTOSZIJ,O,O,X,X,O,X,X
LTOSZJI,O,O,X,X,O,X,X
LTOZIJS,X,X,X,O,O,X,X
LTOZISJ,X,X,X,X,O,X,X
LTOZJIS,X,X,X,O,O,X,X
LTOZJSI,X,X,X,O,O,X,X
LTOZSIJ,X,X,X,X,O,X,X
LTOZSJI,X,X,X,X,O,X,X
LITJSZO,O,O,O,O,X,X,X
LITJSOZ,O,O,O,O,X,X,X
LITJZSO,O,O,O,O,X,X,X
LITJZOS,O,O,X,O,O,X,X
LITJOSZ,O,O,O,O,X,X,X
LITJOZS,O,O,X,O,O,X,X
LITSJZO,O,O,O,O,X,X,X
LITSJOZ,O,O,O,O,X,X,X
LITSZJO,O,O,O,X,X,O,X
LITSZOJ,O,X,O,X,O,O,X
LITSOJZ,O,X,X,O,X,X,X
LITSOZJ,O,X,X,X,O,O,X
LITZJSO,O,X,X,O,X,O,X
LITZJOS,O,X,X,O,O,X,X
LITZSJO,O,X,X,X,X,O,X
LITZSOJ,O,X,X,X,O,O,X
LITZOJS,X,X,X,O,O,X,X
LITZOSJ,X,X,X,X,O,O,X
LITOJSZ,O,O,X,O,X,X,X
LITOJZS,O,O,X,O,O,X,X
LITOSJZ,O,O,X,O,X,X,X
LITOSZJ,O,O,X,X,O,X,X
LITOZJS,X,X,X,O,O,X,X
LITOZSJ,X,X,X,X,O,X,X
LIJTSZO,O,O,O,O,X,X,X
LIJTSOZ,O,O,O,O,X,X,X
LIJTZSO,O,O,O,O,X,X,X
LIJTZOS,O,O,O,O,O,X,X
LIJTOSZ,O,O,O,O,X,X,X
LIJTOZS,O,O,X,O,O,X,X
LIJSTZO,O,O,O,O,X,X,X
LIJSTOZ,O,O,O,O,X,X,X
LIJSZTO,O,O,O,O,X,O,X
LIJSZOT,O,O,O,O,X,O,X
LIJSOTZ,O,O,O,O,X,X,X
LIJSOZT,O,O,O,O,X,O,X
LIJZTSO,O,O,O,O,X,O,X
LIJZTOS,O,O,O,O,X,X,X
LIJZSTO,O,O,O,O,X,O,X
LIJZSOT,O,O,O,O,X,O,X
LIJZOTS,O,O,O,O,X,X,X
LIJZOST,O,O,O,O,X,X,X
LIJOTSZ,O,O,O,O,X,X,X
LIJOTZS,O,O,X,O,O,X,X
LIJOSTZ,O,O,O,O,X,X,X
LIJOSZT,O,O,O,O,X,X,X
LIJOZTS,O,O,O,O,X,X,X
LIJOZST,O,O,O,O,X,X,X
LISTJZO,O,O,O,O,X,X,X
LISTJOZ,O,O,O,O,X,X,X
LISTZJO,O,O,O,X,X,O,X
LISTZOJ,O,X,O,X,O,O,X
LISTOJZ,O,X,X,O,X,X,X
LISTOZJ,O,X,X,X,O,O,X
LISJTZO,O,O,O,O,X,X,X
LISJTOZ,O,O,O,O,X,X,X
LISJZTO,O,O,O,O,X,O,X
LISJZOT,O,O,O,O,X,O,X
LISJOTZ,O,O,O,O,X,X,X
LISJOZT,O,O,O,O,X,O,X
LISZTJO,O,O,O,X,X,O,X
LISZTOJ,O,X,O,X,X,O,X
LISZJTO,O,O,O,X,X,O,X
LISZJOT,O,O,O,X,X,O,X
LISZOTJ,O,X,O,X,X,O,X
LISZOJT,O,X,O,X,X,O,X
LISOTJZ,O,O,X,O,X,X,X
LISOTZJ,O,O,X,X,O,O,X
LISOJTZ,O,O,X,O,X,X,X
LISOJZT,O,O,X,O,X,O,X
LISOZTJ,O,O,X,X,X,O,X
LISOZJT,O,O,X,X,X,O,X
LIZTJSO,O,X,X,O,X,O,X
LIZTJOS,O,X,X,O,O,X,O
LIZTSJO,O,X,X,X,X,O,X
LIZTSOJ,O,X,X,X,O,O,O
LIZTOJS,X,X,X,O,O,X,O
LIZTOSJ,X,X,X,X,O,O,O
LIZJTSO,O,X,O,O,X,O,X
LIZJTOS,O,X,O,O,X,X,X
LIZJSTO,O,X,O,O,X,O,X
LIZJSOT,O,X,O,O,X,O,X
LIZJOTS,O,X,O,O,X,X,X
LIZJOST,O,X,O,O,X,X,X
LIZSTJO,O,X,O,X,X,O,X
LIZSTOJ,O,X,O,X,X,O,X
LIZSJTO,O,X,O,X,X,O,X
LIZSJOT,O,X,O,X,X,O,X
LIZSOTJ,O,X,O,X,X,O,X
LIZSOJT,O,X,O,X,X,O,X
LIZOTJS,X,X,X,O,O,X,O
LIZOTSJ,X,X,X,X,O,O,O
LIZOJTS,X,X,O,O,X,X,X
LIZOJST,X,X,O,O,X,X,X
LIZOSTJ,X,X,O,X,X,O,X
LIZOSJT,X,X,O,X,X,O,X
LIOTJSZ,O,O,X,O,X,X,X
LIOTJZS,O,O,X,O,O,X,X
LIOTSJZ,O,O,X,O,X,X,X
LIOTSZJ,O,O,X,X,O,X,X
LIOTZJS,X,X,X,O,O,X,X
LIOTZSJ,X,X,X,X,O,X,X
LIOJTSZ,O,O,X,O,X,X,X
LIOJTZS,O,O,X,O,O,X,X
LIOJSTZ,O,O,X,O,X,X,X
LIOJSZT,O,O,X,O,X,X,X
LIOJZTS,O,O,X,O,X,X,X
LIOJZST,O,O,X,O,X,X,X
LIOSTJZ,O,O,X,O,X,X,X
LIOSTZJ,O,O,X,X,O,O,X
LIOSJTZ,O,O,X,O,X,X,X
LIOSJZT,O,O,X,O,X,O,X
LIOSZTJ,O,O,X,X,X,O,X
LIOSZJT,O,O,X,X,X,O,X
LIOZTJS,X,X,X,O,O,X,O
LIOZTSJ,X,X,X,X,O,O,O
LIOZJTS,X,X,X,O,X,X,X
LIOZJST,X,X,X,O,X,X,X
LIOZSTJ,X,X,X,X,X,O,X
LIOZSJT,X,X,X,X,X,O,X
LJTISZO,O,O,O,O,X,X,X
LJTISOZ,O,O,O,O,X,X,X
LJTIZSO,O,O,O,O,X,X,X
LJTIZOS,O,O,O,O,O,X,X
LJTIOSZ,O,O,O,O,X,X,X
LJTIOZS,O,O,X,O,O,X,X
LJTSIZO,O,O,O,O,X,X,X
LJTSIOZ,O,O,O,O,X,X,X
LJTSZIO,O,O,O,O,X,X,X
LJTSZOI,O,O,X,O,X,X,X
LJTSOIZ,O,O,O,O,X,X,X
LJTSOZI,O,O,X,O,X,X,X
LJTZISO,O,O,O,O,X,X,X
LJTZIOS,O,O,O,O,O,X,X
LJTZSIO,O,O,O,O,X,X,X
LJTZSOI,O,O,O,O,X,X,X
LJTZOIS,O,O,O,O,O,X,X
LJTZOSI,O,O,O,O,O,X,X
LJTOISZ,O,O,O,O,X,X,X
LJTOIZS,O,O,X,O,O,X,X
LJTOSIZ,O,O,O,O,X,X,X
LJTOSZI,O,O,X,O,X,X,X
LJTOZIS,O,O,X,O,O,X,X
LJTOZSI,O,O,X,O,O,X,X
LJITSZO,O,O,O,O,X,X,X
LJITSOZ,O,O,O,O,X,X,X
LJITZSO,O,O,O,O,X,X,X
LJITZOS,O,O,O,O,O,X,X
LJITOSZ,O,O,O,O,X,X,X
LJITOZS,O,O,X,O,O,X,X
LJISTZO,O,O,O,O,X,X,X
LJISTOZ,O,O,O,O,X,X,X
LJISZTO,O,O,O,O,X,O,X
LJISZOT,O,O,O,O,X,O,X
LJISOTZ,O,O,O,O,X,X,X
LJISOZT,O,O,O,O,X,O,X
LJIZTSO,O,O,O,O,X,O,X
LJIZTOS,O,O,O,O,X,X,X
LJIZSTO,O,O,O,O,X,O,X
LJIZSOT,O,O,O,O,X,O,X
LJIZOTS,O,O,O,O,X,X,X
LJIZOST,O,O,O,O,X,X,X
LJIOTSZ,O,O,O,O,X,X,X
LJIOTZS,O,O,X,O,O,X,X
LJIOSTZ,O,O,O,O,X,X,X
LJIOSZT,O,O,O,O,X,X,X
LJIOZTS,O,O,O,O,X,X,X
LJIOZST,O,O,O,O,X,X,X
LJSTIZO,O,O,O,O,X,X,X
LJSTIOZ,O,O,O,O,X,X,X
LJSTZIO,O,O,O,O,X,X,X
LJSTZOI,O,O,X,O,X,X,X
LJSTOIZ,O,O,O,O,X,X,X
LJSTOZI,O,O,X,O,X,X,X
LJSITZO,O,O,O,O,X,X,X
LJSITOZ,O,O,O,O,X,X,X
LJSIZTO,O,O,O,O,X,O,X
LJSIZOT,O,O,O,O,X,O,X
LJSIOTZ,O,O,O,O,X,X,X
LJSIOZT,O,O,O,O,X,O,X
LJSZTIO,O,O,O,O,X,O,X
LJSZTOI,O,O,O,O,X,O,X
LJSZITO,O,O,O,O,X,O,X
LJSZIOT,O,O,O,O,X,O,X
LJSZOTI,O,O,O,O,X,O,X
LJSZOIT,O,O,O,O,X,O,X
LJSOTIZ,O,O,O,O,X,X,X
LJSOTZI,O,O,X,O,X,X,X
LJSOITZ,O,O,O,O,X,X,X
LJSOIZT,O,O,O,O,X,O,X
LJSOZTI,O,O,X,O,X,O,X
LJSOZIT,O,O,X,O,X,O,X
LJZTISO,O,O,O,O,X,O,X
LJZTIOS,O,O,O,O,O,X,X
LJZTSIO,O,O,O,O,X,O,X
LJZTSOI,O,O,O,O,X,O,X
LJZTOIS,O,O,O,O,O,X,X
LJZTOSI,O,O,O,O,O,X,X
LJZITSO,O,O,O,O,X,O,X
LJZITOS,O,O,O,O,X,X,X
LJZISTO,O,O,O,O,X,O,X
LJZISOT,O,O,O,O,X,O,X
LJZIOTS,O,O,O,O,X,X,X
LJZIOST,O,O,O,O,X,X,X
LJZSTIO,O,O,O,O,X,O,X
LJZSTOI,O,O,O,O,X,O,X
LJZSITO,O,O,O,O,X,O,X
LJZSIOT,O,O,O,O,X,O,X
LJZSOTI,O,O,O,O,X,O,X
LJZSOIT,O,O,O,O,X,O,X
LJZOTIS,O,O,O,O,O,X,X
LJZOTSI,O,O,O,O,O,X,X
LJZOITS,O,O,O,O,X,X,X
LJZOIST,O,O,O,O,X,X,X
LJZOSTI,O,O,O,O,X,X,X
LJZOSIT,O,O,O,O,X,X,X
LJOTISZ,O,O,O,O,X,X,X
LJOTIZS,O,O,X,O,O,X,X
LJOTSIZ,O,O,O,O,X,X,X
LJOTSZI,O,O,X,O,X,X,X
LJOTZIS,O,O,X,O,O,X,X
LJOTZSI,O,O,X,O,O,X,X
LJOITSZ,O,O,O,O,X,X,X
LJOITZS,O,O,X,O,O,X,X
LJOISTZ,O,O,O,O,X,X,X
LJOISZT,O,O,O,O,X,X,X
LJOIZTS,O,O,O,O,X,X,X
LJOIZST,O,O,O,O,X,X,X
LJOSTIZ,O,O,O,O,X,X,X
LJOSTZI,O,O,X,O,X,X,X
LJOSITZ,O,O,O,O,X,X,X
LJOSIZT,O,O,O,O,X,X,X
