sequence,v115@GhA8IeC8GeF8BeA8AeA8Jei/IvhFTiBZoBUlBFmBGm?BXsB,v115@GhA8IeC8GeF8BeA8AeA8Je2EJvhFRgBzhB3lB1sB0r?BatB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhF0gBSnBZoB2qBlm?BXsB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhF3gBFiBZoB6rBcs?B2vB,v115@GhA8IeC8GeF8BeA8AeA8Jei/IvhFmiBUlBRmBftBFm?BzrB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhFlgB3hBZoB2qBCs?BcsB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhFKlBfmBZoBWsBcs?BlrB,v115@GhA8IeC8GeF8BeA8AeA8Je2EJvhFRgB3hB1qB0nBzr?BatB
TLIJOZS,X,X,X,X,X,O,X,O
TLISJZO,X,X,X,X,X,X,O,X
TLISJOZ,X,X,X,X,X,X,O,X
TLISZJO,O,X,X,O,X,X,X,X
TLISZOJ,O,X,X,O,X,X,X,X
TLISOJZ,X,X,X,X,X,X,O,X
TLISOZJ,O,X,X,O,X,X,X,X
TLIZJSO,O,X,X,O,X,X,X,X
TLIZJOS,X,X,X,O,X,X,X,X
TLIZSJO,O,X,X,O,X,X,X,X
TLIZSOJ,O,X,X,O,X,X,X,X
TLIZOJS,X,X,X,O,X,X,X,X
TLIZOSJ,O,X,X,O,X,X,X,X
TLIOJSZ,X,X,X,X,X,O,O,O
TLIOJZS,X,X,X,X,X,O,X,O
TLIOSJZ,X,X,X,X,X,X,O,O
TLIOSZJ,X,X,X,O,X,X,X,O
TLIOZJS,X,X,X,O,X,X,X,O
TLIOZSJ,X,X,X,O,X,X,X,O
TLJISZO,X,O,X,X,X,O,O,X
TLJISOZ,X,X,X,X,X,O,O,X
TLJIZSO,X,X,X,X,X,O,X,X
TLJIZOS,X,X,X,X,X,O,X,X
TLJIOSZ,X,X,X,X,X,O,O,O
TLJIOZS,X,X,X,X,X,O,X,O
TLJSIZO,X,O,X,X,X,O,O,X
TLJSIOZ,X,X,X,X,X,O,O,X
TLJSZIO,X,O,X,X,X,X,X,X
TLJSZOI,X,O,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,O,O,X
TLJSOZI,X,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,O,X,X
TLJZIOS,X,X,X,X,X,O,X,X
TLJZSIO,X,O,X,X,X,X,X,X
TLJZSOI,X,O,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,O,X,X
TLJZOSI,X,O,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,O,O,O
TLJOIZS,X,X,X,X,X,O,X,O
TLJOSIZ,X,X,X,X,X,O,O,O
TLJOSZI,X,X,X,X,X,X,X,O
TLJOZIS,X,X,X,X,X,O,X,O
TLJOZSI,X,X,X,X,X,X,X,O
TLSIJZO,X,O,X,X,X,X,O,X
TLSIJOZ,X,X,X,X,X,X,O,X
TLSIZJO,O,O,X,O,X,X,X,X
TLSIZOJ,O,O,X,O,X,X,X,X
TLSIOJZ,X,X,X,X,X,X,O,X
TLSIOZJ,O,X,X,O,X,X,X,X
TLSJIZO,X,O,X,X,X,X,O,X
TLSJIOZ,X,X,X,X,X,X,O,X
TLSJZIO,X,O,X,X,O,X,X,X
TLSJZOI,X,O,X,X,O,X,X,X
TLSJOIZ,X,X,X,X,X,X,O,X
TLSJOZI,X,X,X,X,O,X,X,X
TLSZIJO,O,O,X,O,O,X,X,X
TLSZIOJ,O,O,X,O,X,X,X,X
TLSZJIO,O,O,X,O,O,X,X,X
TLSZJOI,O,O,X,O,O,X,X,X
TLSZOIJ,O,O,X,O,O,X,X,X
TLSZOJI,O,O,X,O,O,X,X,X
TLSOIJZ,X,X,X,X,X,X,O,X
TLSOIZJ,O,X,X,O,X,X,X,X
TLSOJIZ,X,X,X,X,X,X,O,X
TLSOJZI,X,X,X,X,O,X,X,X
TLSOZIJ,O,X,X,O,O,X,X,X
TLSOZJI,O,X,X,O,O,X,X,X
TLZIJSO,O,X,X,O,X,X,X,X
TLZIJOS,X,X,X,O,X,X,X,X
TLZISJO,O,X,X,O,O,X,X,X
TLZISOJ,O,X,X,O,X,X,X,X
TLZIOJS,X,X,X,O,X,X,X,X
TLZIOSJ,O,X,X,O,X,X,X,X
TLZJISO,O,X,X,O,X,X,X,X
TLZJIOS,X,X,X,O,X,X,X,X
TLZJSIO,O,O,X,O,X,X,X,X
TLZJSOI,O,O,X,O,X,X,X,X
TLZJOIS,X,X,X,O,X,X,X,X
TLZJOSI,X,O,X,O,X,X,X,X
TLZSIJO,O,O,X,O,O,X,X,X
TLZSIOJ,O,O,X,O,X,X,X,X
TLZSJIO,O,O,X,O,O,X,X,X
TLZSJOI,O,O,X,O,O,X,X,X
TLZSOIJ,O,O,X,O,O,X,X,X
TLZSOJI,O,O,X,O,O,X,X,X
TLZOIJS,X,X,X,O,X,X,X,X
TLZOISJ,O,X,X,O,O,X,X,X
TLZOJIS,X,X,X,O,X,X,X,X
TLZOJSI,X,O,X,O,X,X,X,X
TLZOSIJ,O,O,X,O,O,X,X,X
TLZOSJI,O,O,X,O,O,X,X,X
TLOIJSZ,X,X,X,X,X,O,O,O
TLOIJZS,X,X,X,X,X,O,X,O
TLOISJZ,X,X,X,X,X,X,O,O
TLOISZJ,X,X,X,O,X,X,X,O
TLOIZJS,X,X,X,O,X,X,X,O
TLOIZSJ,X,X,X,O,X,X,X,O
TLOJISZ,X,X,X,X,X,O,O,O
TLOJIZS,X,X,X,X,X,O,X,O
TLOJSIZ,X,X,X,X,X,O,O,O
TLOJSZI,X,X,X,X,X,X,X,O
TLOJZIS,X,X,X,X,X,O,X,O
TLOJZSI,X,X,X,X,X,X,X,O
TLOSIJZ,X,X,X,X,X,X,O,O
TLOSIZJ,X,X,X,O,X,X,X,O
TLOSJIZ,X,X,X,X,X,X,O,O
TLOSJZI,X,X,X,X,O,X,X,O
TLOSZIJ,X,X,X,O,O,X,X,O
TLOSZJI,X,X,X,O,O,X,X,O
TLOZIJS,X,X,X,O,X,X,X,O
TLOZISJ,X,X,X,O,O,X,X,O
TLOZJIS,X,X,X,O,X,X,X,O
TLOZJSI,X,X,X,O,X,X,X,O
TLOZSIJ,X,X,X,O,O,X,X,O
TLOZSJI,X,X,X,O,O,X,X,O
TJILSZO,X,O,X,X,X,O,O,X
TJILSOZ,X,X,X,X,X,O,O,X
TJILZSO,X,X,X,X,X,O,X,X
TJILZOS,X,X,X,X,X,O,X,X
TJILOSZ,X,X,X,X,X,O,O,O
TJILOZS,X,X,X,X,X,O,X,O
TJISLZO,X,O,O,X,X,O,O,X
TJISLOZ,X,X,O,X,X,O,O,X
TJISZLO,O,O,O,X,X,X,X,X
TJISZOL,O,O,O,X,X,X,X,X
TJISOLZ,X,X,O,X,X,O,X,O
TJISOZL,O,O,O,X,X,X,X,O
TJIZLSO,O,X,X,X,X,O,X,X
TJIZLOS,X,X,X,X,X,O,X,X
TJIZSLO,O,O,O,X,X,X,X,X
TJIZSOL,O,O,O,X,X,X,X,X
TJIZOLS,X,X,X,X,X,O,X,O
TJIZOSL,X,O,O,X,X,X,X,O
TJIOLSZ,X,X,X,X,X,O,O,O
TJIOLZS,X,X,X,X,X,O,X,O
TJIOSLZ,X,X,O,X,X,O,X,O
TJIOSZL,X,O,O,X,X,X,X,O
TJIOZLS,X,X,X,X,X,O,X,O
TJIOZSL,X,X,O,X,X,X,X,O
TJLISZO,X,O,X,X,X,O,O,X
TJLISOZ,X,X,X,X,X,O,O,X
TJLIZSO,X,X,X,X,X,O,X,X
TJLIZOS,X,X,X,X,X,O,X,X
TJLIOSZ,X,X,X,X,X,O,O,O
TJLIOZS,X,X,X,X,X,O,X,O
TJLSIZO,X,O,X,X,X,O,O,X
TJLSIOZ,X,X,X,X,X,O,O,X
TJLSZIO,X,O,X,X,X,X,X,X
TJLSZOI,X,O,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,O,O,X
TJLSOZI,X,X,X,X,X,X,X,X
TJLZISO,X,X,X,X,X,O,X,X
TJLZIOS,X,X,X,X,X,O,X,X
TJLZSIO,X,O,X,X,X,X,X,X
TJLZSOI,X,O,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,O,X,X
TJLZOSI,X,O,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,O,O,O
TJLOIZS,X,X,X,X,X,O,X,O
TJLOSIZ,X,X,X,X,X,O,O,O
TJLOSZI,X,X,X,X,X,X,X,O
TJLOZIS,X,X,X,X,X,O,X,O
TJLOZSI,X,X,X,X,X,X,X,O
TJSILZO,X,O,O,X,X,O,O,X
TJSILOZ,X,X,O,X,X,O,O,X
TJSIZLO,O,O,O,X,X,X,X,X
TJSIZOL,O,O,O,X,X,X,X,X
TJSIOLZ,X,X,O,X,X,O,X,O
TJSIOZL,O,O,O,X,X,X,X,O
TJSLIZO,X,O,O,X,X,O,O,X
TJSLIOZ,X,X,O,X,X,O,O,X
TJSLZIO,X,O,O,X,X,X,X,X
TJSLZOI,X,O,O,X,X,X,X,X
TJSLOIZ,X,X,O,X,X,O,O,X
TJSLOZI,X,X,O,X,X,X,X,X
TJSZILO,O,O,O,X,X,X,X,X
TJSZIOL,O,O,O,X,X,X,X,X
TJSZLIO,O,O,O,X,X,X,X,X
TJSZLOI,O,O,O,X,X,X,X,X
TJSZOIL,O,O,O,X,X,X,X,X
TJSZOLI,O,O,O,X,X,X,X,X
TJSOILZ,X,X,O,X,X,O,X,O
TJSOIZL,O,O,O,X,X,X,X,O
TJSOLIZ,X,X,O,X,X,O,X,O
TJSOLZI,X,X,O,X,X,X,X,O
TJSOZIL,O,O,O,X,X,X,X,O
TJSOZLI,O,O,O,X,X,X,X,O
TJZILSO,O,X,X,X,X,O,X,X
TJZILOS,X,X,X,X,X,O,X,X
TJZISLO,O,O,O,X,X,X,X,X
TJZISOL,O,O,O,X,X,X,X,X
TJZIOLS,X,X,X,X,X,O,X,O
TJZIOSL,X,O,O,X,X,X,X,O
TJZLISO,O,X,X,X,X,O,X,X
TJZLIOS,X,X,X,X,X,O,X,X
TJZLSIO,O,O,X,X,X,X,X,X
TJZLSOI,O,O,X,X,X,X,X,X
TJZLOIS,X,X,X,X,X,O,X,X
TJZLOSI,X,O,X,X,X,X,X,X
TJZSILO,O,O,O,X,X,X,X,X
TJZSIOL,O,O,O,X,X,X,X,X
TJZSLIO,O,O,O,X,X,X,X,X
TJZSLOI,O,O,O,X,X,X,X,X
TJZSOIL,O,O,O,X,X,X,X,X
TJZSOLI,O,O,O,X,X,X,X,X
TJZOILS,X,X,X,X,X,O,X,O
TJZOISL,X,O,O,X,X,X,X,O
TJZOLIS,X,X,X,X,X,O,X,O
TJZOLSI,X,O,X,X,X,X,X,O
TJZOSIL,X,O,O,X,X,X,X,O
TJZOSLI,X,O,O,X,X,X,X,O
TJOILSZ,X,X,X,X,X,O,O,O
TJOILZS,X,X,X,X,X,O,X,O
TJOISLZ,X,X,O,X,X,O,X,O
TJOISZL,X,O,O,X,X,X,X,O
TJOIZLS,X,X,X,X,X,O,X,O
TJOIZSL,X,X,O,X,X,X,X,O
TJOLISZ,X,X,X,X,X,O,O,O
TJOLIZS,X,X,X,X,X,O,X,O
TJOLSIZ,X,X,X,X,X,O,O,O
TJOLSZI,X,X,X,X,X,X,X,O
TJOLZIS,X,X,X,X,X,O,X,O
TJOLZSI,X,X,X,X,X,X,X,O
TJOSILZ,X,X,O,X,X,O,X,O
TJOSIZL,X,O,O,X,X,X,X,O
TJOSLIZ,X,X,O,X,X,O,X,O
TJOSLZI,X,X,O,X,X,X,X,O
TJOSZIL,X,O,O,X,X,X,X,O
TJOSZLI,X,O,O,X,X,X,X,O
TJOZILS,X,X,X,X,X,O,X,O
TJOZISL,X,O,O,X,X,X,X,O
TJOZLIS,X,X,X,X,X,O,X,O
TJOZLSI,X,O,X,X,X,X,X,O
TJOZSIL,X,O,O,X,X,X,X,O
TJOZSLI,X,O,O,X,X,X,X,O
TSILJZO,X,O,O,X,X,X,O,X
TSILJOZ,X,X,O,X,X,X,O,X
TSILZJO,O,O,X,X,X,X,X,X
TSILZOJ,O,O,X,X,X,X,X,X
TSILOJZ,X,X,O,X,X,X,O,X
TSILOZJ,O,X,X,X,X,X,X,X
TSIJLZO,X,O,O,X,X,X,O,X
TSIJLOZ,X,X,O,X,X,X,O,X
TSIJZLO,O,O,O,X,X,X,X,X
TSIJZOL,O,O,O,X,X,X,X,X
TSIJOLZ,X,X,O,X,X,X,X,O
TSIJOZL,O,O,O,X,X,X,X,O
TSIZLJO,O,O,X,X,X,X,X,X
TSIZLOJ,O,O,X,X,X,X,X,X
TSIZJLO,O,O,X,X,X,X,X,X
TSIZJOL,O,O,X,X,X,X,X,X
TSIZOLJ,O,O,X,X,X,X,X,X
TSIZOJL,O,O,X,X,X,X,X,X
TSIOLJZ,X,X,O,X,X,X,X,O
TSIOLZJ,O,X,X,X,X,X,X,O
TSIOJLZ,X,X,O,X,X,X,X,O
TSIOJZL,O,O,O,X,X,X,X,O
TSIOZLJ,O,O,X,X,X,X,X,O
TSIOZJL,O,O,X,X,X,X,X,O
TSLIJZO,X,O,O,X,X,X,O,X
TSLIJOZ,X,X,O,X,X,X,O,X
TSLIZJO,O,O,X,X,X,X,X,X
TSLIZOJ,O,O,X,X,X,X,X,X
TSLIOJZ,X,X,O,X,X,X,O,X
TSLIOZJ,O,X,X,X,X,X,X,X
TSLJIZO,X,O,O,X,X,X,O,X
TSLJIOZ,X,X,O,X,X,X,O,X
TSLJZIO,X,O,O,X,O,X,X,X
TSLJZOI,X,O,O,X,O,X,X,X
TSLJOIZ,X,X,O,X,X,X,O,X
TSLJOZI,X,X,O,X,O,X,X,X
TSLZIJO,O,O,X,X,O,X,X,X
TSLZIOJ,O,O,X,X,X,X,X,X
TSLZJIO,O,O,X,X,O,X,X,X
TSLZJOI,O,O,X,X,O,X,X,X
TSLZOIJ,O,O,X,X,O,X,X,X
TSLZOJI,O,O,X,X,O,X,X,X
TSLOIJZ,X,X,O,X,X,X,O,X
TSLOIZJ,O,X,X,X,X,X,X,X
TSLOJIZ,X,X,O,X,X,X,O,X
TSLOJZI,X,X,O,X,O,X,X,X
TSLOZIJ,O,X,X,X,O,X,X,X
TSLOZJI,O,X,X,X,O,X,X,X
TSJILZO,X,O,O,X,X,X,O,X
TSJILOZ,X,X,O,X,X,X,O,X
TSJIZLO,O,O,O,X,X,X,X,X
TSJIZOL,O,O,O,X,X,X,X,X
TSJIOLZ,X,X,O,X,X,X,X,O
TSJIOZL,O,O,O,X,X,X,X,O
TSJLIZO,X,O,O,X,X,X,O,X
TSJLIOZ,X,X,O,X,X,X,O,X
TSJLZIO,X,O,O,X,O,X,X,X
TSJLZOI,X,O,O,X,O,X,X,X
TSJLOIZ,X,X,O,X,X,X,O,X
TSJLOZI,X,X,O,X,O,X,X,X
TSJZILO,O,O,O,X,O,X,X,X
TSJZIOL,O,O,O,X,X,X,X,X
TSJZLIO,O,O,O,X,O,X,X,X
TSJZLOI,O,O,O,X,O,X,X,X
TSJZOIL,O,O,O,X,O,X,X,X
TSJZOLI,O,O,O,X,O,X,X,X
TSJOILZ,X,X,O,X,X,X,X,O
TSJOIZL,O,O,O,X,O,X,X,O
TSJOLIZ,X,X,O,X,X,X,X,O
TSJOLZI,X,X,O,X,O,X,X,O
TSJOZIL,O,O,O,X,O,X,X,O
TSJOZLI,O,O,O,X,O,X,X,O
TSZILJO,O,O,X,X,O,X,X,X
TSZILOJ,O,O,X,X,X,X,X,X
TSZIJLO,O,O,X,X,O,X,X,X
TSZIJOL,O,O,X,X,X,X,X,X
TSZIOLJ,O,O,X,X,X,X,X,X
TSZIOJL,O,O,X,X,X,X,X,X
TSZLIJO,O,O,X,X,O,X,X,X
TSZLIOJ,O,O,X,X,X,X,X,X
TSZLJIO,O,O,X,X,O,X,X,X
TSZLJOI,O,O,X,X,O,X,X,X
TSZLOIJ,O,O,X,X,O,X,X,X
TSZLOJI,O,O,X,X,O,X,X,X
TSZJILO,O,O,X,X,O,X,X,X
TSZJIOL,O,O,X,X,X,X,X,X
TSZJLIO,O,O,X,X,O,X,X,X
TSZJLOI,O,O,X,X,O,X,X,X
TSZJOIL,O,O,X,X,O,X,X,X
TSZJOLI,O,O,X,X,O,X,X,X
TSZOILJ,O,O,X,X,O,X,X,X
TSZOIJL,O,O,X,X,O,X,X,X
TSZOLIJ,O,O,X,X,O,X,X,X
TSZOLJI,O,O,X,X,O,X,X,X
TSZOJIL,O,O,X,X,O,X,X,X
TSZOJLI,O,O,X,X,O,X,X,X
TSOILJZ,X,X,O,X,X,X,X,O
TSOILZJ,O,X,X,X,X,X,X,O
TSOIJLZ,X,X,O,X,X,X,X,O
TSOIJZL,O,O,O,X,O,X,X,O
TSOIZLJ,O,O,X,X,O,X,X,O
TSOIZJL,O,O,X,X,O,X,X,O
TSOLIJZ,X,X,O,X,X,X,X,O
TSOLIZJ,O,X,X,X,X,X,X,O
TSOLJIZ,X,X,O,X,X,X,X,O
TSOLJZI,X,X,O,X,O,X,X,O
TSOLZIJ,O,X,X,X,O,X,X,O
TSOLZJI,O,X,X,X,O,X,X,O
TSOJILZ,X,X,O,X,X,X,X,O
TSOJIZL,O,O,O,X,O,X,X,O
TSOJLIZ,X,X,O,X,X,X,X,O
TSOJLZI,X,X,O,X,O,X,X,O
TSOJZIL,O,O,O,X,O,X,X,O
TSOJZLI,O,O,O,X,O,X,X,O
TSOZILJ,O,O,X,X,O,X,X,O
TSOZIJL,O,O,X,X,O,X,X,O
TSOZLIJ,O,O,X,X,O,X,X,O
TSOZLJI,O,O,X,X,O,X,X,O
TSOZJIL,O,O,X,X,O,X,X,O
TSOZJLI,O,O,X,X,O,X,X,O
TZILJSO,O,X,X,O,X,X,X,X
TZILJOS,X,X,X,O,X,X,X,X
TZILSJO,O,X,X,O,O,X,X,X
TZILSOJ,O,X,X,O,X,X,X,X
TZILOJS,X,X,X,O,X,X,X,X
TZILOSJ,O,X,X,O,X,X,X,X
TZIJLSO,O,X,X,O,X,X,X,X
TZIJLOS,X,X,X,O,X,X,X,X
TZIJSLO,O,O,X,X,X,X,X,X
TZIJSOL,O,O,X,X,X,X,X,X
TZIJOLS,X,X,X,O,X,X,X,O
TZIJOSL,X,O,X,X,X,X,X,O
TZISLJO,O,O,X,O,O,X,X,X
TZISLOJ,O,O,X,O,X,X,X,X
TZISJLO,O,O,X,X,O,X,X,X
TZISJOL,O,O,X,X,X,X,X,X
TZISOLJ,O,O,X,O,X,X,X,X
TZISOJL,O,O,X,X,X,X,X,X
TZIOLJS,X,X,X,O,X,X,X,O
TZIOLSJ,O,X,X,O,X,X,X,O
TZIOJLS,X,X,X,O,X,X,X,O
TZIOJSL,X,O,X,X,X,X,X,O
TZIOSLJ,O,O,X,O,X,X,X,O
TZIOSJL,O,O,X,X,X,X,X,O
TZLIJSO,O,X,X,O,X,X,X,X
TZLIJOS,X,X,X,O,X,X,X,X
TZLISJO,O,X,X,O,O,X,X,X
TZLISOJ,O,X,X,O,X,X,X,X
TZLIOJS,X,X,X,O,X,X,X,X
TZLIOSJ,O,X,X,O,X,X,X,X
TZLJISO,O,X,X,O,X,X,X,X
TZLJIOS,X,X,X,O,X,X,X,X
TZLJSIO,O,O,X,O,X,X,X,X
TZLJSOI,O,O,X,O,X,X,X,X
TZLJOIS,X,X,X,O,X,X,X,X
TZLJOSI,X,O,X,O,X,X,X,X
TZLSIJO,O,O,X,O,O,X,X,X
TZLSIOJ,O,O,X,O,X,X,X,X
TZLSJIO,O,O,X,O,O,X,X,X
TZLSJOI,O,O,X,O,O,X,X,X
TZLSOIJ,O,O,X,O,O,X,X,X
TZLSOJI,O,O,X,O,O,X,X,X
TZLOIJS,X,X,X,O,X,X,X,X
TZLOISJ,O,X,X,O,O,X,X,X
TZLOJIS,X,X,X,O,X,X,X,X
TZLOJSI,X,O,X,O,X,X,X,X
TZLOSIJ,O,O,X,O,O,X,X,X
TZLOSJI,O,O,X,O,O,X,X,X
TZJILSO,O,X,X,O,X,X,X,X
TZJILOS,X,X,X,O,X,X,X,X
TZJISLO,O,O,X,X,X,X,X,X
TZJISOL,O,O,X,X,X,X,X,X
TZJIOLS,X,X,X,O,X,X,X,O
TZJIOSL,X,O,X,X,X,X,X,O
TZJLISO,O,X,X,O,X,X,X,X
TZJLIOS,X,X,X,O,X,X,X,X
TZJLSIO,O,O,X,O,X,X,X,X
TZJLSOI,O,O,X,O,X,X,X,X
TZJLOIS,X,X,X,O,X,X,X,X
TZJLOSI,X,O,X,O,X,X,X,X
TZJSILO,O,O,X,X,X,X,X,X
TZJSIOL,O,O,X,X,X,X,X,X
TZJSLIO,O,O,X,X,X,X,X,X
TZJSLOI,O,O,X,X,X,X,X,X
TZJSOIL,O,O,X,X,X,X,X,X
TZJSOLI,O,O,X,X,X,X,X,X
TZJOILS,X,X,X,O,X,X,X,O
