sequence,v115@GhA8IeA8AeB8AeA8CeB8AeD8DeA8JeZEJvhFzfBulB?9mBynB0sBXsB,v115@GhA8IeA8AeB8AeA8CeB8AeD8DeA8JeZEJvhFzfBulB?9mBynBXsB0sB,v115@GhA8IeA8AeB8AeA8CeB8AeD8DeA8JeZEJvhFzfBulB?3hBtnB8rByxB,v115@GhA8IeA8AeB8AeA8CeB8AeD8DeA8JeZEJvhFzfBtlB?6mBmiBXsB0sB,v115@GhA8IeA8AeB8AeA8CeB8AeD8DeA8JeZEJvhFzfBtlB?0hBCsB3sBmsB
TLIOSJZ,O,O,X,O,O
TLIOSZJ,X,O,X,O,O
TLIOZJS,O,O,O,O,O
TLIOZSJ,O,X,O,O,O
TLJISZO,X,O,X,O,O
TLJISOZ,O,O,X,O,O
TLJIZSO,O,X,O,X,O
TLJIZOS,O,O,O,O,O
TLJIOSZ,O,O,X,O,O
TLJIOZS,O,O,O,O,O
TLJSIZO,X,O,X,O,X
TLJSIOZ,O,O,X,O,X
TLJSZIO,X,O,X,O,X
TLJSZOI,X,O,X,O,X
TLJSOIZ,O,O,X,O,X
TLJSOZI,X,O,X,O,X
TLJZISO,O,X,O,X,O
TLJZIOS,O,O,O,O,O
TLJZSIO,O,X,O,X,X
TLJZSOI,O,X,O,X,X
TLJZOIS,O,O,O,O,O
TLJZOSI,O,X,O,X,X
TLJOISZ,O,O,X,O,O
TLJOIZS,O,O,O,O,O
TLJOSIZ,O,O,X,O,X
TLJOSZI,X,O,X,O,X
TLJOZIS,O,O,O,O,O
TLJOZSI,O,X,O,X,X
TLSIJZO,X,O,X,O,O
TLSIJOZ,O,O,X,O,O
TLSIZJO,X,O,X,O,O
TLSIZOJ,X,O,X,O,O
TLSIOJZ,O,O,X,O,O
TLSIOZJ,X,O,X,O,O
TLSJIZO,X,O,X,O,X
TLSJIOZ,O,O,X,O,X
TLSJZIO,X,O,X,O,X
TLSJZOI,X,O,X,O,X
TLSJOIZ,O,O,X,O,X
TLSJOZI,X,O,X,O,X
TLSZIJO,X,O,X,O,O
TLSZIOJ,X,O,X,O,O
TLSZJIO,X,O,X,O,X
TLSZJOI,X,O,X,O,X
TLSZOIJ,X,O,X,O,O
TLSZOJI,X,O,X,O,X
TLSOIJZ,O,O,X,O,O
TLSOIZJ,X,O,X,O,O
TLSOJIZ,O,O,X,O,X
TLSOJZI,X,O,X,O,X
TLSOZIJ,X,O,X,O,O
TLSOZJI,X,O,X,O,X
TLZIJSO,O,X,O,X,O
TLZIJOS,O,O,O,O,O
TLZISJO,O,X,O,O,O
TLZISOJ,O,X,O,O,O
TLZIOJS,O,O,O,O,O
TLZIOSJ,O,X,O,O,O
TLZJISO,O,X,O,X,O
TLZJIOS,O,O,O,O,O
TLZJSIO,O,X,O,X,X
TLZJSOI,O,X,O,X,X
TLZJOIS,O,O,O,O,O
TLZJOSI,O,X,O,X,X
TLZSIJO,O,X,O,O,O
TLZSIOJ,O,X,O,O,O
TLZSJIO,O,X,O,O,X
TLZSJOI,O,X,O,O,X
TLZSOIJ,O,X,O,O,O
TLZSOJI,O,X,O,O,X
TLZOIJS,O,O,O,O,O
TLZOISJ,O,X,O,O,O
TLZOJIS,O,O,O,O,O
TLZOJSI,O,X,O,X,X
TLZOSIJ,O,X,O,O,O
TLZOSJI,O,X,O,O,X
TLOIJSZ,O,O,X,O,O
TLOIJZS,O,O,O,O,O
TLOISJZ,O,O,X,O,O
TLOISZJ,X,O,X,O,O
TLOIZJS,O,O,O,O,O
TLOIZSJ,O,X,O,O,O
TLOJISZ,O,O,X,O,O
TLOJIZS,O,O,O,O,O
TLOJSIZ,O,O,X,O,X
TLOJSZI,X,O,X,O,X
TLOJZIS,O,O,O,O,O
TLOJZSI,O,X,O,X,X
TLOSIJZ,O,O,X,O,O
TLOSIZJ,X,O,X,O,O
TLOSJIZ,O,O,X,O,X
TLOSJZI,X,O,X,O,X
TLOSZIJ,X,O,X,O,O
TLOSZJI,X,O,X,O,X
TLOZIJS,O,O,O,O,O
TLOZISJ,O,X,O,O,O
TLOZJIS,O,O,O,O,O
TLOZJSI,O,X,O,X,X
TLOZSIJ,O,X,O,O,O
TLOZSJI,O,X,O,O,X
TJILSZO,X,O,X,O,O
TJILSOZ,O,O,X,O,O
TJILZSO,O,X,O,X,O
TJILZOS,O,O,O,O,O
TJILOSZ,O,O,X,O,O
TJILOZS,O,O,O,O,O
TJISLZO,X,O,X,O,X
TJISLOZ,O,O,X,O,X
TJISZLO,O,O,O,O,X
TJISZOL,O,O,O,O,X
TJISOLZ,O,O,X,O,X
TJISOZL,O,O,O,O,X
TJIZLSO,O,X,O,X,O
TJIZLOS,O,O,O,O,O
TJIZSLO,O,O,O,X,X
TJIZSOL,O,O,O,X,X
TJIZOLS,O,O,O,O,O
TJIZOSL,O,O,O,X,X
TJIOLSZ,O,O,X,O,O
TJIOLZS,O,O,O,O,O
TJIOSLZ,O,O,X,O,X
TJIOSZL,O,O,O,O,X
TJIOZLS,O,O,O,O,O
TJIOZSL,O,O,O,X,X
TJLISZO,X,O,X,O,O
TJLISOZ,O,O,X,O,O
TJLIZSO,O,X,O,X,O
TJLIZOS,O,O,O,O,O
TJLIOSZ,O,O,X,O,O
TJLIOZS,O,O,O,O,O
TJLSIZO,X,O,X,O,X
TJLSIOZ,O,O,X,O,X
TJLSZIO,X,O,X,O,X
TJLSZOI,X,O,X,O,X
TJLSOIZ,O,O,X,O,X
TJLSOZI,X,O,X,O,X
TJLZISO,O,X,O,X,O
TJLZIOS,O,O,O,O,O
TJLZSIO,O,X,O,X,X
TJLZSOI,O,X,O,X,X
TJLZOIS,O,O,O,O,O
TJLZOSI,O,X,O,X,X
TJLOISZ,O,O,X,O,O
TJLOIZS,O,O,O,O,O
TJLOSIZ,O,O,X,O,X
TJLOSZI,X,O,X,O,X
TJLOZIS,O,O,O,O,O
TJLOZSI,O,X,O,X,X
TJSILZO,X,O,X,O,X
TJSILOZ,O,O,X,O,X
TJSIZLO,O,O,O,O,X
TJSIZOL,O,O,O,O,X
TJSIOLZ,O,O,X,O,X
TJSIOZL,O,O,O,O,X
TJSLIZO,X,O,X,O,X
TJSLIOZ,O,O,X,O,X
TJSLZIO,X,O,X,O,X
TJSLZOI,X,O,X,O,X
TJSLOIZ,O,O,X,O,X
TJSLOZI,X,O,X,O,X
TJSZILO,O,O,O,O,X
TJSZIOL,O,O,O,O,X
TJSZLIO,O,O,O,O,X
TJSZLOI,O,O,O,O,X
TJSZOIL,O,O,O,O,X
TJSZOLI,O,O,O,O,X
TJSOILZ,O,O,X,O,X
TJSOIZL,O,O,O,O,X
TJSOLIZ,O,O,X,O,X
TJSOLZI,X,O,X,O,X
TJSOZIL,O,O,O,O,X
TJSOZLI,O,O,O,O,X
TJZILSO,O,X,O,X,O
TJZILOS,O,O,O,O,O
TJZISLO,O,O,O,X,X
TJZISOL,O,O,O,X,X
TJZIOLS,O,O,O,O,O
TJZIOSL,O,O,O,X,X
TJZLISO,O,X,O,X,O
TJZLIOS,O,O,O,O,O
TJZLSIO,O,X,O,X,X
TJZLSOI,O,X,O,X,X
TJZLOIS,O,O,O,O,O
TJZLOSI,O,X,O,X,X
TJZSILO,O,O,O,X,X
TJZSIOL,O,O,O,X,X
TJZSLIO,O,O,O,X,X
TJZSLOI,O,O,O,X,X
TJZSOIL,O,O,O,X,X
TJZSOLI,O,O,O,X,X
TJZOILS,O,O,O,O,O
TJZOISL,O,O,O,X,X
TJZOLIS,O,O,O,O,O
TJZOLSI,O,X,O,X,X
TJZOSIL,O,O,O,X,X
TJZOSLI,O,O,O,X,X
TJOILSZ,O,O,X,O,O
TJOILZS,O,O,O,O,O
TJOISLZ,O,O,X,O,X
TJOISZL,O,O,O,O,X
TJOIZLS,O,O,O,O,O
TJOIZSL,O,O,O,X,X
TJOLISZ,O,O,X,O,O
TJOLIZS,O,O,O,O,O
TJOLSIZ,O,O,X,O,X
TJOLSZI,X,O,X,O,X
TJOLZIS,O,O,O,O,O
TJOLZSI,O,X,O,X,X
TJOSILZ,O,O,X,O,X
TJOSIZL,O,O,O,O,X
TJOSLIZ,O,O,X,O,X
TJOSLZI,X,O,X,O,X
TJOSZIL,O,O,O,O,X
TJOSZLI,O,O,O,O,X
TJOZILS,O,O,O,O,O
TJOZISL,O,O,O,X,X
TJOZLIS,O,O,O,O,O
TJOZLSI,O,X,O,X,X
TJOZSIL,O,O,O,X,X
TJOZSLI,O,O,O,X,X
TSILJZO,X,O,X,O,O
TSILJOZ,O,O,X,O,O
TSILZJO,X,O,X,O,O
TSILZOJ,X,O,X,O,O
TSILOJZ,O,O,X,O,O
TSILOZJ,X,O,X,O,O
TSIJLZO,X,O,X,O,X
TSIJLOZ,O,O,X,O,X
TSIJZLO,O,O,O,O,X
TSIJZOL,O,O,O,O,X
TSIJOLZ,O,O,X,O,X
TSIJOZL,O,O,O,O,X
TSIZLJO,O,O,O,O,O
TSIZLOJ,O,O,O,O,O
TSIZJLO,O,O,O,O,X
TSIZJOL,O,O,O,O,X
TSIZOLJ,O,O,O,O,O
TSIZOJL,O,O,O,O,X
TSIOLJZ,O,O,X,O,O
TSIOLZJ,X,O,X,O,O
TSIOJLZ,O,O,X,O,X
TSIOJZL,O,O,O,O,X
TSIOZLJ,O,O,O,O,O
TSIOZJL,O,O,O,O,X
TSLIJZO,X,O,X,O,O
TSLIJOZ,O,O,X,O,O
TSLIZJO,X,O,X,O,O
TSLIZOJ,X,O,X,O,O
TSLIOJZ,O,O,X,O,O
TSLIOZJ,X,O,X,O,O
TSLJIZO,X,O,X,O,X
TSLJIOZ,O,O,X,O,X
TSLJZIO,X,O,X,O,X
TSLJZOI,X,O,X,O,X
TSLJOIZ,O,O,X,O,X
TSLJOZI,X,O,X,O,X
TSLZIJO,X,O,X,O,O
TSLZIOJ,X,O,X,O,O
TSLZJIO,X,O,X,O,X
TSLZJOI,X,O,X,O,X
TSLZOIJ,X,O,X,O,O
TSLZOJI,X,O,X,O,X
TSLOIJZ,O,O,X,O,O
TSLOIZJ,X,O,X,O,O
TSLOJIZ,O,O,X,O,X
TSLOJZI,X,O,X,O,X
TSLOZIJ,X,O,X,O,O
TSLOZJI,X,O,X,O,X
TSJILZO,X,O,X,O,X
TSJILOZ,O,O,X,O,X
TSJIZLO,O,O,O,O,X
TSJIZOL,O,O,O,O,X
TSJIOLZ,O,O,X,O,X
TSJIOZL,O,O,O,O,X
TSJLIZO,X,O,X,O,X
TSJLIOZ,O,O,X,O,X
TSJLZIO,X,O,X,O,X
TSJLZOI,X,O,X,O,X
TSJLOIZ,O,O,X,O,X
TSJLOZI,X,O,X,O,X
TSJZILO,O,O,O,O,X
TSJZIOL,O,O,O,O,X
TSJZLIO,O,O,O,O,X
TSJZLOI,O,O,O,O,X
TSJZOIL,O,O,O,O,X
TSJZOLI,O,O,O,O,X
TSJOILZ,O,O,X,O,X
TSJOIZL,O,O,O,O,X
TSJOLIZ,O,O,X,O,X
TSJOLZI,X,O,X,O,X
TSJOZIL,O,O,O,O,X
TSJOZLI,O,O,O,O,X
TSZILJO,O,O,O,O,O
TSZILOJ,O,O,O,O,O
TSZIJLO,O,O,O,O,X
TSZIJOL,O,O,O,O,X
TSZIOLJ,O,O,O,O,O
TSZIOJL,O,O,O,O,X
TSZLIJO,O,O,O,O,O
TSZLIOJ,O,O,O,O,O
TSZLJIO,O,O,O,O,X
TSZLJOI,O,O,O,O,X
TSZLOIJ,O,O,O,O,O
TSZLOJI,O,O,O,O,X
TSZJILO,O,O,O,O,X
TSZJIOL,O,O,O,O,X
TSZJLIO,O,O,O,O,X
TSZJLOI,O,O,O,O,X
TSZJOIL,O,O,O,O,X
TSZJOLI,O,O,O,O,X
TSZOILJ,O,O,O,O,O
TSZOIJL,O,O,O,O,X
TSZOLIJ,O,O,O,O,O
TSZOLJI,O,O,O,O,X
TSZOJIL,O,O,O,O,X
TSZOJLI,O,O,O,O,X
TSOILJZ,O,O,X,O,O
TSOILZJ,X,O,X,O,O
TSOIJLZ,O,O,X,O,X
TSOIJZL,O,O,O,O,X
TSOIZLJ,O,O,O,O,O
TSOIZJL,O,O,O,O,X
TSOLIJZ,O,O,X,O,O
TSOLIZJ,X,O,X,O,O
TSOLJIZ,O,O,X,O,X
TSOLJZI,X,O,X,O,X
TSOLZIJ,X,O,X,O,O
TSOLZJI,X,O,X,O,X
TSOJILZ,O,O,X,O,X
TSOJIZL,O,O,O,O,X
TSOJLIZ,O,O,X,O,X
TSOJLZI,X,O,X,O,X
TSOJZIL,O,O,O,O,X
TSOJZLI,O,O,O,O,X
TSOZILJ,O,O,O,O,O
TSOZIJL,O,O,O,O,X
TSOZLIJ,O,O,O,O,O
TSOZLJI,O,O,O,O,X
TSOZJIL,O,O,O,O,X
TSOZJLI,O,O,O,O,X
TZILJSO,O,X,O,X,O
TZILJOS,O,O,O,O,O
TZILSJO,O,X,O,O,O
TZILSOJ,O,X,O,O,O
TZILOJS,O,O,O,O,O
TZILOSJ,O,X,O,O,O
TZIJLSO,O,X,O,X,O
TZIJLOS,O,O,O,O,O
TZIJSLO,O,O,O,X,X
TZIJSOL,O,O,O,X,X
TZIJOLS,O,O,O,O,O
TZIJOSL,O,O,O,X,X
TZISLJO,O,O,O,O,O
TZISLOJ,O,O,O,O,O
TZISJLO,O,O,O,O,X
TZISJOL,O,O,O,O,X
TZISOLJ,O,O,O,O,O
TZISOJL,O,O,O,O,X
TZIOLJS,O,O,O,O,O
TZIOLSJ,O,X,O,O,O
TZIOJLS,O,O,O,O,O
TZIOJSL,O,O,O,X,X
TZIOSLJ,O,O,O,O,O
TZIOSJL,O,O,O,O,X
TZLIJSO,O,X,O,X,O
TZLIJOS,O,O,O,O,O
TZLISJO,O,X,O,O,O
TZLISOJ,O,X,O,O,O
TZLIOJS,O,O,O,O,O
TZLIOSJ,O,X,O,O,O
TZLJISO,O,X,O,X,O
TZLJIOS,O,O,O,O,O
TZLJSIO,O,X,O,X,X
TZLJSOI,O,X,O,X,X
TZLJOIS,O,O,O,O,O
TZLJOSI,O,X,O,X,X
TZLSIJO,O,X,O,O,O
TZLSIOJ,O,X,O,O,O
TZLSJIO,O,X,O,O,X
TZLSJOI,O,X,O,O,X
TZLSOIJ,O,X,O,O,O
TZLSOJI,O,X,O,O,X
TZLOIJS,O,O,O,O,O
TZLOISJ,O,X,O,O,O
TZLOJIS,O,O,O,O,O
TZLOJSI,O,X,O,X,X
TZLOSIJ,O,X,O,O,O
TZLOSJI,O,X,O,O,X
TZJILSO,O,X,O,X,O
TZJILOS,O,O,O,O,O
TZJISLO,O,O,O,X,X
TZJISOL,O,O,O,X,X
TZJIOLS,O,O,O,O,O
TZJIOSL,O,O,O,X,X
TZJLISO,O,X,O,X,O
TZJLIOS,O,O,O,O,O
TZJLSIO,O,X,O,X,X
TZJLSOI,O,X,O,X,X
TZJLOIS,O,O,O,O,O
TZJLOSI,O,X,O,X,X
TZJSILO,O,O,O,X,X
TZJSIOL,O,O,O,X,X
TZJSLIO,O,O,O,X,X
TZJSLOI,O,O,O,X,X
TZJSOIL,O,O,O,X,X
TZJSOLI,O,O,O,X,X
TZJOILS,O,O,O,O,O
TZJOISL,O,O,O,X,X
TZJOLIS,O,O,O,O,O
TZJOLSI,O,X,O,X,X
TZJOSIL,O,O,O,X,X
TZJOSLI,O,O,O,X,X
TZSILJO,O,O,O,O,O
TZSILOJ,O,O,O,O,O
TZSIJLO,O,O,O,O,X
TZSIJOL,O,O,O,O,X
TZSIOLJ,O,O,O,O,O
TZSIOJL,O,O,O,O,X
TZSLIJO,O,O,O,O,O
TZSLIOJ,O,O,O,O,O
TZSLJIO,O,O,O,O,X
TZSLJOI,O,O,O,O,X
TZSLOIJ,O,O,O,O,O
TZSLOJI,O,O,O,O,X
TZSJILO,O,O,O,O,X
TZSJIOL,O,O,O,O,X
TZSJLIO,O,O,O,O,X
TZSJLOI,O,O,O,O,X
TZSJOIL,O,O,O,O,X
TZSJOLI,O,O,O,O,X
TZSOILJ,O,O,O,O,O
TZSOIJL,O,O,O,O,X
TZSOLIJ,O,O,O,O,O
TZSOLJI,O,O,O,O,X
TZSOJIL,O,O,O,O,X
TZSOJLI,O,O,O,O,X
TZOILJS,O,O,O,O,O
TZOILSJ,O,X,O,O,O
TZOIJLS,O,O,O,O,O
TZOIJSL,O,O,O,X,X
TZOISLJ,O,O,O,O,O
TZOISJL,O,O,O,O,X
TZOLIJS,O,O,O,O,O
TZOLISJ,O,X,O,O,O
TZOLJIS,O,O,O,O,O
TZOLJSI,O,X,O,X,X
TZOLSIJ,O,X,O,O,O
TZOLSJI,O,X,O,O,X
TZOJILS,O,O,O,O,O
TZOJISL,O,O,O,X,X
TZOJLIS,O,O,O,O,O
TZOJLSI,O,X,O,X,X
TZOJSIL,O,O,O,X,X
TZOJSLI,O,O,O,X,X
TZOSILJ,O,O,O,O,O
TZOSIJL,O,O,O,O,X
TZOSLIJ,O,O,O,O,O
TZOSLJI,O,O,O,O,X
TZOSJIL,O,O,O,O,X
TZOSJLI,O,O,O,O,X
TOILJSZ,O,O,X,O,O
TOILJZS,O,O,O,O,O
TOILSJZ,O,O,X,O,O
TOILSZJ,X,O,X,O,O
TOILZJS,O,O,O,O,O
TOILZSJ,O,X,O,O,O
TOIJLSZ,O,O,X,O,O
TOIJLZS,O,O,O,O,O
TOIJSLZ,O,O,X,O,X
TOIJSZL,O,O,O,O,X
TOIJZLS,O,O,O,O,O
TOIJZSL,O,O,O,X,X
TOISLJZ,O,O,X,O,O
TOISLZJ,X,O,X,O,O
TOISJLZ,O,O,X,O,X
TOISJZL,O,O,O,O,X
TOISZLJ,O,O,O,O,O
TOISZJL,O,O,O,O,X
TOIZLJS,O,O,O,O,O
TOIZLSJ,O,X,O,O,O
TOIZJLS,O,O,O,O,O
TOIZJSL,O,O,O,X,X
TOIZSLJ,O,O,O,O,O
TOIZSJL,O,O,O,O,X
TOLIJSZ,O,O,X,O,O
TOLIJZS,O,O,O,O,O
TOLISJZ,O,O,X,O,O
TOLISZJ,X,O,X,O,O
TOLIZJS,O,O,O,O,O
TOLIZSJ,O,X,O,O,O
TOLJISZ,O,O,X,O,O
TOLJIZS,O,O,O,O,O
TOLJSIZ,O,O,X,O,X
TOLJSZI,X,O,X,O,X
TOLJZIS,O,O,O,O,O
TOLJZSI,O,X,O,X,X
TOLSIJZ,O,O,X,O,O
TOLSIZJ,X,O,X,O,O
TOLSJIZ,O,O,X,O,X
TOLSJZI,X,O,X,O,X
TOLSZIJ,X,O,X,O,O
TOLSZJI,X,O,X,O,X
TOLZIJS,O,O,O,O,O
TOLZISJ,O,X,O,O,O
TOLZJIS,O,O,O,O,O
TOLZJSI,O,X,O,X,X
TOLZSIJ,O,X,O,O,O
TOLZSJI,O,X,O,O,X
TOJILSZ,O,O,X,O,O
TOJILZS,O,O,O,O,O
TOJISLZ,O,O,X,O,X
TOJISZL,O,O,O,O,X
TOJIZLS,O,O,O,O,O
TOJIZSL,O,O,O,X,X
TOJLISZ,O,O,X,O,O
TOJLIZS,O,O,O,O,O
TOJLSIZ,O,O,X,O,X
TOJLSZI,X,O,X,O,X
TOJLZIS,O,O,O,O,O
TOJLZSI,O,X,O,X,X
TOJSILZ,O,O,X,O,X
TOJSIZL,O,O,O,O,X
TOJSLIZ,O,O,X,O,X
TOJSLZI,X,O,X,O,X
TOJSZIL,O,O,O,O,X
TOJSZLI,O,O,O,O,X
TOJZILS,O,O,O,O,O
TOJZISL,O,O,O,X,X
TOJZLIS,O,O,O,O,O
TOJZLSI,O,X,O,X,X
TOJZSIL,O,O,O,X,X
TOJZSLI,O,O,O,X,X
TOSILJZ,O,O,X,O,O
TOSILZJ,X,O,X,O,O
TOSIJLZ,O,O,X,O,X
TOSIJZL,O,O,O,O,X
TOSIZLJ,O,O,O,O,O
TOSIZJL,O,O,O,O,X
TOSLIJZ,O,O,X,O,O
TOSLIZJ,X,O,X,O,O
TOSLJIZ,O,O,X,O,X
TOSLJZI,X,O,X,O,X
TOSLZIJ,X,O,X,O,O
TOSLZJI,X,O,X,O,X
TOSJILZ,O,O,X,O,X
TOSJIZL,O,O,O,O,X
TOSJLIZ,O,O,X,O,X
TOSJLZI,X,O,X,O,X
TOSJZIL,O,O,O,O,X
TOSJZLI,O,O,O,O,X
TOSZILJ,O,O,O,O,O
TOSZIJL,O,O,O,O,X
TOSZLIJ,O,O,O,O,O
TOSZLJI,O,O,O,O,X
TOSZJIL,O,O,O,O,X
TOSZJLI,O,O,O,O,X
TOZILJS,O,O,O,O,O
TOZILSJ,O,X,O,O,O
TOZIJLS,O,O,O,O,O
TOZIJSL,O,O,O,X,X
TOZISLJ,O,O,O,O,O
TOZISJL,O,O,O,O,X
TOZLIJS,O,O,O,O,O
TOZLISJ,O,X,O,O,O
TOZLJIS,O,O,O,O,O
TOZLJSI,O,X,O,X,X
TOZLSIJ,O,X,O,O,O
TOZLSJI,O,X,O,O,X
TOZJILS,O,O,O,O,O
TOZJISL,O,O,O,X,X
TOZJLIS,O,O,O,O,O
TOZJLSI,O,X,O,X,X
TOZJSIL,O,O,O,X,X
TOZJSLI,O,O,O,X,X
TOZSILJ,O,O,O,O,O
TOZSIJL,O,O,O,O,X
TOZSLIJ,O,O,O,O,O
TOZSLJI,O,O,O,O,X
TOZSJIL,O,O,O,O,X
TOZSJLI,O,O,O,O,X
ITLJSZO,X,O,X,O,O
ITLJSOZ,O,O,X,O,O
ITLJZSO,O,X,O,X,O
ITLJZOS,O,O,O,O,O
ITLJOSZ,O,O,X,O,O
ITLJOZS,O,O,O,O,O
ITLSJZO,X,O,X,O,O
ITLSJOZ,O,O,X,O,O
ITLSZJO,X,O,X,O,O
ITLSZOJ,X,O,X,O,O
ITLSOJZ,O,O,X,O,O
ITLSOZJ,X,O,X,O,O
ITLZJSO,O,X,O,X,O
ITLZJOS,O,O,O,O,O
ITLZSJO,O,X,O,O,O
ITLZSOJ,O,X,O,O,O
ITLZOJS,O,O,O,O,O
ITLZOSJ,O,X,O,O,O
ITLOJSZ,O,O,X,O,O
ITLOJZS,O,O,O,O,O
ITLOSJZ,O,O,X,O,O
